घबराना मत.	భయపడకూడదు.
सभी ने उससे कहा, "तुम कुछ नहीं हो. "	"నువవు ఏమీ కావు" అని అందరూ అనేవారు.
अकाउंटिंग को लेकर तुमने मन बना लिया?	అకౌంటింగ కోరసులో ఖచచితంగా చేరుతావా?
चटटान से कूदोगी? तुमहें नंबर चाहिए.	కొండ పెనుండి దూకుతారా? నంబరు ఉండాలి.
कया हाल है? अचछा, तुम नंबर सात हो.	ఏంటి సంగతులు? సరే, నువవు నంబరు ఏడు.
तुमहारी माँ हर रात जोर से रोती है!	మీ అమమ పరతిరాతరి నా పేరు అరుసతుంది!
मैं उनसे पैसे नहीं माँग सकती, माँ.	అమమా, నేను వాళళను వతతిడి చేయలేను.
ताकि उसे अंधेरे से जयादा डर न लगे.	అపపుడు తనకు చీకటి అంటే భయం వేయదు.
शायद वह रात को उसकी मदद करता है,	అది రాతరి ఆమెకు సహాయపడుతుందేమో,
पिछले साल लोग मारे गए थे, नैटली.	గత ఏడాది, జనం చనిపోయారు, నాటలీ.
-कया कर रही हो? -जाम उठाना है.	-ఏం చేసతుననావు? -ఇది అభినందనలు.
पर ठीक से संभाल भी नहीं पा रहे.	నువవు దారుణంగా వయవహరిసతుననావు.
उसने कह दिया, मुझे जरूरत नहीं.	అతను చెపపాడు ఇక చెపపనవసరం లేదు.
कुछ बातें याद रखना चाहता हूँ.	నాకు కొనని గురతుంచుకోవాలనుంది.
मैं हमेशा यहीं रहने वाली हूँ.	నేను ఎపపటికీ ఇకకడే ఉండిపోతాను.
सहारा बनते हैं, परतियोगी नहीं.	సహకరించుకోవాలి, పోటీ పడకూడదు.
पर एक तुम ही तो काम करती हो.	పని అంటూ చేసేది నువవు మాతరమే.
हाँ, जब मुझे डिगरी मिल जाएगी,	అవును, అసోసియేట డిగరీ వచచాక,
देखने पर भी पंगा हो सकता है.	చూసతే చాలు, సమసయలో పడిపోతావు.
हारने वाले यहीं रह जाते हैं, जहाँ हम हारने में माहिर हैं.	పరాజితులు ఇకకడే ఉంటారు, ఓడిపోవడం అంటే మనం బాగా చేసతాము.
हे भगवान. तुम पहली इंसान हो जो पैनिक देखने से भी डरती है.	దేవుడా. పానిక చూడడానికి కూడా భయపడే మొదటి వయకతివి నువవే.
लो, तुमहारे लिए कुछ लाई हूँ.	ఇదిగో, నీకోసం ఒకటి తెచచాను.
इस मौके की खुशी में समझ लो.	వేడుకనో, ఇంకేదో, అందుకోసమని.
-यह रहा. -बहुत-बहुत शुकरिया.	-ఇదిగో. -ఉదారతకు ధనయవాదాలు.
अचछा, लैंगली, विलियमस, आतिशबाजी फिर से शुरू हो चुकी है.	సరే, లాంగలీ, విలియమస, బాణాసంచా పరదరశన మళళీ మొదలయింది.
हर साल नए खिलाडी होते हैं,	పరతి సంవతసరం, కొతత ఆటగాళళు,
यानि तुमहें हमारी याद आएगी?	మమమలని మిస అవుతానంటుననావా?
तो तब तक हमें रुकना पडेगा?	అపపటి వరకూ మనం వేచి ఉండాలా?
-अपना नाम बताओ. -डॉज मेसन.	-నీ పేరు చెపపు. -డాడజ మేసన.
तो हवा ने अपनी बाहें खोली,	అపపుడు గాలి చేతులు చాచింది,
यह रहा खिलाडी 12, बडी आसानी से हाई डरॉप से कूदते हुए!	అది ఆటగాడు 12, హె డరాప నుండి సునాయసంగా దూకొచచననటటు.
और पूरी गरमियाँ चलते रहे.	అది వేసవి అంతా కొనసాగింది.
कया? अगर अपने पापा से मिलना चाहो तो काम आ सकता है.	ఏంటి? నువవు మీ నాననను కలిసేందుకు వెళితే ఉపయోగపడవచచు.
कयों? तुम भी तो जग रही हो.	ఎందుకు? నువవు నిదరపోలేదు.
शुभकामनाएँ. एक मशाल ले लो.	బెసట ఆఫ లక. మతాబు తీసుకో.
रे हॉल जीतने चला है, यार!	విజయం కోసం రే హాల, బంగారం!
मैं यह कह रही हूँ कि तुम दो निकममे मुझे छोड रहे हो.	మీ పరాజితులు ఇదదరూ ననను వదిలేసతుననారని అంటుననాను.
कारप, टेकसस में, बाहर निकलना ही एकमातर रासता है.	కారప, టెకసాసలో, బయటకు రాగల చోటు మాతరమే బాగుంటుంది.
लॉनगहॉरन सटेट विशवविदयालय	లాంగహారన సటేట యూనివరశిటీ
तुम इससे अचछा कर सकती हो?	నువవు ఇంకా బాగా చేయగలవా?
मिटटी से बनी उस लडकी से.	ఆ మటటితో చేయబడడ అమమాయితో.
वह डेविलस डरॉप जा रही है.	డెవిలస డరాపకు వెళుతుంది.
हर रात, मिटटी से बनी वह लडकी हवा से बातें करती,	పరతిరాతరి, మటటితో చేయబడడ అమమాయి గాలితో మాటలాడేది,
पर विजेता एक ही होता है.	కానీ విజేత మాతరం ఒకకరే.
जेल-से-आजाद-हो कारड है.	జెలు నుంచి విడుదల కారడు.
हेदर, 8: 00 बज चुके हैं!	హేథర, ఎనిమిది అవుతోంది!
यही असल जिंदगी है, बेटा.	అదే నిజ జీవితం, బంగారం.
तो डेविलस डरॉप तो है ही.	డెవిల డరాప ఎపపుడూ ఉంది.
तुमहारे लिए गरेजुएशन का छोटा सा तोहफा लाया हूँ.	నీకు డిగరీ వచచినందుకు బహుమతి తెచచాను. చిననది.
सटारटर में कोई गडबड है.	సటారటరలో ఏదో పాడయింది.
चलो. मुझे अपने पैसे दो.	ఇదిగో. నీ డబబులు ఇవవు.
याद है आठवीं कलास के टूर में तुमने उलटी की थी?	ఎనిమిదో తరగతి ఫీలడ టరిపలో వాంతి చేసుకుననావు?
पैनिक जीतने पर नौकरी की चिंता नहीं करनी पडेगी.	నేను పానిక గెలిచాక, ఉదయోగాల చింత అవసరం లేదు.
तुम जैसी समझदार लडकी को जलदी काम मिल जाएगा.	నీలాంటి తెలివెనదానికి మరో ఉదయోగం దొరుకుతుంది.
जिसमें कोई दरवाजा नहीं था, बस एक खिडकी थी.	దానికి తలుపులు లేవు, ఒకక కిటికీ మాతరమే ఉంది.
कशती के अडडे पर मिलना.	బోట యారడ దగగర కలవండి.
जितना माँ को मिलता है, उसका दोगुना कमाऊँगी.	మా అమమ గంట సంపాదనకు రెటటింపు సంపాదిసతాను.
अपने चाचा से बात करो.	మీ అంకులని పలకరించు.
-नहीं, चलो. -यार, बाद में सही. मुझे. . .	-లేదు, రా. -హే. తరువాత వసతానులే. నేను. . .
तुमहें ये कपडे मैंने खरीदकर दिए, तुम मेरे पैसों का खाती हो!	నేను కొనన బటటలు వేసుకుననావు, నేను సంపాదించిన తిండి తింటుననావు!
जितने दिन सकूल खुलेगा, हर दिन का एक डॉलर.	ఆ సకూల సెషనలో పరతి రోజూ ఒక డాలర ఇవవాలి.
मुझे कुछ समझ नहीं आ रहा. वे हर जगह हैं.	అదెకకడో తెలియడం లేదు. వాళళు అంతటా ఉననారు.
हम सब खेलेंगे, साले.	మనమంతా ఆడతాం, వెధవ.
ऐसी कोई चीज नहीं है.	అలాంటిది ఏమీ ఉండదు.
हँसने की कया बात है?	అందులో వింత ఏముంది?
टरबाइन पर मिलते हैं.	మనం తవరగా కలుదదాము.
-तुम डॉज हो न? -हाँ.	-డాడజ, కదా? -అవును.
दरअसल, कारप कुछ न होने की राजधानी है.	నిజానికి, కారప ఏమీ లేకపోడానికి రాజధాని.
जज लोगों के इशारे का इंतजार करते हैं.	నయాయనిరణేతలు సూచన పంపేవరకూ వేచి ఉండాలి.
गरमी के कारण फूल गया. जोर लगाना होगा.	వేసవికాలంలో ఉబబుతుంది. బలం ఉపయోగించాలి.
लॉनगहॉरन सटेट विशवविदयालय भुगतान का सार	లాంగహారన సటేట యూనివరశిటీ ఫీజు సారాంశం
शायद कोई खिलाडी हाई पाइंट पर जा रहा है.	చూసతుంటే హె పాయింట నుండి దూకే ఆటగాడు.
कयोंकि गरमियाँ थीं,	ఇది వేసవి కావడంతో,
यकीन नहीं होता तुम रसम पर नहीं जा रहे.	నువవు వేడుకకు వెళళడం లేదంటే నమమలేను.
हाँ. बुतों की तरह.	అవును. విగరహాలలాగా.
पता नहीं, मैं अभी वहाँ तक पहुँची नहीं.	తెలియదు, నేను ఇంకా అకకడదాకా చదవలేదు.
लॉनगहॉरन सटेट के अकाउंटिंग कोरस के लिए 6, 000 डॉलर चाहिए.	లాంగహారన సటేటలో అకౌంటింగ కోరసుకు 6, 000 డాలరలు కావాలి.
-तुमहें डर नहीं लगा? -कूदने में? नहीं.	-నీకు భయం వేయలేదా? -దూకడానికా? లేదు.
नीचे उतर आओ, हेदर!	కిందకు వచచేయ, హేథర!
पिछले पूरे हफते का हिसाब कर सकता हूँ.	చివరి వారంలో నీ బకాయిలు చెలలిసతాను.
तुमहें इतनी बडी टोपी पहनकर वहाँ से कूदने नहीं दूँगी.	నినను ఆ దిబబపె నుండి ఒక పెదద కాండోమ దూకినటటు దూకనివవను.
मैं सात साल की थी.	ఏడేళళపపుడనుకుంటా.
नियम तो नियम हैं.	నియమాలంటే నియమాలే.
-कुछ न कुछ कर लूँगी, ठीक है? -हाँ.	-నేను ఏదో ఒకటి చేసతాను, సరేనా? -సరే.
सभी जरा धयान दें.	అందరూ ఇటు వింటారా?
माफी नहीं माँगोगी?	కషమించమని వచచావా?
या तुम या मैं, याद है? एक ही विजेता.	నువవో, నేనో, గురతుందా? విజేత ఒకరే.
उफ, तुम यह नहीं कर सकती. तुमहें हर चीज से डर लगता है.	దేవుడా, నువవు నిజంగా అనడం లేదు. అననిటికీ భయపడతావు.
गरेजुएशन के ठीक बाद खेल शुरू हुए,	డిగరీ అయిన వెంటనే ఆటలు పరారంభయయాయి,
-उसके लिए जाम नहीं उठाऊँगी. -कया?	-నేనందుకు అభినందనలు తెలుపను. -ఏంటి?
उनहोंने कहा कि मुझे रख नहीं पाएँगे.	వాళళు నాకు జీతం ఇవవలేరని చెపపాడు.
तुमहारी बहन उस दिन चितर बना रही थी.	ఆ రోజు చెలలి అకకడ బొమమలు వేసింది.
रचनातमक परयवेकषक रवीनदर शंकर शुकल	కరియేటివ సూపరవెజర: రాజేశవరరావు వలవల
शायद ऐसा नहीं लगता होगा, पर. . .	కానీ అలా కనిపించకపోవచచు, కానీ. . .
वह कया कर रही है?	తను ఏం చేసతుంది?
मुझे लगा तुमहें दुकान से निकाल ही नहीं पाऊँगी.	ఆ దుకాణం నుండి ఎపపటికీ తీసుకురాలేనేమో అనుకుననాను.
-ओए, आओ चलें! -यह साला कया है?	-ఏయ, ఇక వెళదాం పదండి! -ఏంటి ఇది?
और वे पतथर की जबानों से बोलते,	వాళళు రాతి నాలుకలతో మాటలాడేవారు,
तुम हमारे यहाँ काफी समय से हो.	నువవు మాకు చాలా కాలం పని చేశావు.
मैंने मेन में हर जगह कोशिश की.	అవును, మెయినలో అంతా పరయతనించాను.
पिछली बार मैंने सिसकयू फॉलस के पास आतिशबाजी देखी थी, तो. . .	చివరిసారి నేను చూసిన బాణాసంచా సిసకియూ జలపాతాల పకకన, అందుకని. . .
माफ करना. कर लो.	కషమించు. వెళళు.
-यह रहा मेरा बचचा. -हैलो, पापा.	-నా బంగారం వచచేసింది. -నాననా.
-हैलो, कया हाल है? -हैलो. मिमी.	-హే, ఏంటి సంగతులు? -హే, మిమి.
हेदर निल. टू पाइनस में रहती है, रूबी एन की बहन के घर के सामने.	హాథర నిల. రూబీ అన సోదరి ఉండే చోటు అవతల, టూ పెనసలో ఉంటుంది.
अगर मुझे वह मिल जाए जिसने मुझे वह बेची. . .	నాకు ఆ చెతతది అమమినవాడు ఎపపుడెనా దొరికితే. . .
हर छोटे शहर का एक राज होता है.	పరతి ఊరుకు ఒక రహసయం ఉంటుంది.
इसी लिए जीतने के लिए जीवन दाँव पर लगता है.	అందుకే ఆటగాళళు గెలవడానికి పరాణాలకు తెగిసతారు.
वाह, आप आ गईं.	అదభుతం, వచచావు.
कमाल की गरमियाँ होने वाली हैं.	ఇది అదభుతమెన వేసవి అవుతుంది.
देर हो चुकी है, लिलीबग. तुमहें सोना चाहिए.	బాగా రాతరయింది, లిలలీబగ. నువవు నిదరపోయిండాలి.
उनहें वापस लगाना अचछा लगता है.	తిరిగి పెటటడం ఇషటమనుకుననాను.
सभी का सवागत है	అందరికీ సవాగతం
उतना बुरा, हाँ?	అంతా బాగాలేదా?
शुभकामनाएँ दो.	నా మంచి కోరుకో.
नहीं, मैं. . .	లేదు, నేను. . .
लडकी अकेली थी.	అమమాయి ఒంటరిది.
सच यह है कि पैनिक की शुरुआत, यहाँ बाकी कई चीजों की तरह हुई.	నిజానికి పానిక కూడా మిగిలిన చాలా వాటిలాగే పరారంభమయింది.
बीयर देना. कया फरक पडता है?	రూట బీర ఇవవు. ఏదెనా పరవాలేదు.
न कुछ होना, न कुछ बदलना, न कुछ ऐसा जो देखना या करना चाहो.	ఏమీ జరగవు, ఏమీ మారదు, చూడటానికి, చేయడానికి ఏమీ ఉండదు.
अचछा. तो. . .	హే. అయితే. . .
वे जानते हैं कि जिमी और ऐबी ने हिससा लिया.	వాళళకు జిమమీ, ఆబీలు పోటీపడడారని తెలుసు.
-शेरिफ. -डॉज.	-షెరీఫ. -డాడజ.
परतियोगी 22, तुमहारी बारी.	పోటీదారుడు 22, తరువాత నువవే.
मैं भी मजे लूटना चाहती थी.	నాకు సరదాకు దూరమవవాలని లేదు.
वह खेल रही है.	తను ఆడుతుంది.
निरणय से पहले, सभी उतावले हो उठते हैं.	అందరూ తీరపుకు ముందు కాసత ఉతసుకతతో ఉంటారు.
मेरी गाडी को नए टरांसमिशन की जरूरत थी.	నా కారుకు కొతత టరానసమిషన కావాలసి వచచింది.
गाडी फिर से गैराज में है.	కారు మళళీ రిపేరుకు వచచింది.
अंतरराषटरीय पानी है, यार.	అది అంతరజాతీయ నీరు, మితరమా.
और डेविलस डरॉप से कूदने पर?	డెవిలస డరాప నుండి దూకితే?
नीचे उतर आओ! बेवकूफ मत बनो!	కిందకు రా! మూరఖంగా చేయకు!
बेवकूफी छोडो. जाओ यहाँ से.	పిచచిగా మాటలాడకు. వెళళు.
एकदम ठीक है.	చాలా బాగుంది.
बदले के नाम.	పరతీకారానికి.
बुतों की तरह.	విగరహాలలాగా.
तुमहें कुछ और मिल जाएगा.	నీకు మరొకటి దొరుకుతుందిలే.
अकाउंटिंग महज गणित नहीं.	అకౌంటింగ గణితం ఒకకటే కాదు.
अचछा. ठीक है.	సరే. మంచిది.
यार, थोडी छुटटी मिली है.	హే, నాకు విరామం దొరికింది.
वैसे भी, जब मैं एक अमीर और मशहूर अभिनेतरी बन जाऊँगी,	నీకు తెలుసా, పెపెచచు, నేను ధనిక, పరఖయాత నటినయయాక
दो लोग जेहन में आते हैं.	నాకు గురతుకు వచచేది ఇదదరే.
मुझे देखना नहीं, खेलना है.	చూడడం కాదు, ఆడాలని ఉంది.
तुम बेवकूफों के साथ फँसा रहा तो बहुत जलदी मर जाऊँगा.	జీవితకాలం ఎంతో ఉండదు, నేను మీలాంటి వెధవలతో ఉంటే.
तुमहें कया लगता है? पायलट पाइंट पर उदघाटन समारोह है.	ఏం అనుకుంటుననావు? పెలెట పాయింటలో పరారంభ వేడుకలు.
-हेदर! नीचे उतर आओ! -हेदर.	-హేథర! కిందకు రా! -హేథర!
उनके दिल भी पतथर के थे.	వారి గుండెలు కూడా రాతివే.
मुझे फरक नहीं पडता! सालों से जमा करती आई हूँ, माँ!	అది నాకు అనవసరం! అమమా, ఎననో ఏళళుగా దాసతుననాను!
पर हमारे यहाँ जयादा जगह खाली नहीं है.	కానీ పరసతుతం నా దగగర అంత పని లేదు.
-हमें हाउसबोट बनानी चाहिए. -बकवास.	-మనం ఒక హౌసబోట నిరమించుకోవాలి. -వెధవ.
आखिरी उगाही.	తుది సేకరణ.
आखिरी उगाही.	తుది సేకరణ.
आखिरी उगाही.	తుది సేకరణ.
तुमहारे पैसे नहीं लूँगी.	నేను నీ డబబు తీసుకోను.
अचछा. मुझे चलना चाहिए.	సరే. తిరిగి మొదలపెడతాను.
भुगतान फारम?	ఫీజు ఫామలు?
इसे लपेटना चाहते हो या गरलफरेंड बनाना चाहते हो?	నువవు అది చుడుతుననావా లేక అది నీ పరియురాలా?
पशचिमी मैदानों में नहीं दिख रहे.	నాకవి పశచిమ పొలాలలో కనిపించడం లేదు.
मुझे गाडी चालू चाहिए, इसलिए. . .	నాకు పనికి కారు కావాలి, అందుకు. . .
परतियोगी नंबर 11, अपना नाम बताओ.	పోటీదారుడు నంబరు 11, నీ పేరు చెపపు.
मैं बस मजाक कर रहा हूँ.	నీతో హాసయమాడుతుననాము.
कशती वाले अडडे को छोडो.	బోట యారడ విసమరించండి.
देखो, तुम बहुत अचछी लेखक हो, हेदर.	చూడు, నువవు మంచి రచయితవి, హేథర.
तब मेरा दिमाग ठिकाने कौन रखेगा?	నేను అణుకువగా ఉండేలా ఎవరు చూసతారు?
और खुद देख लो कि कितना आसान है.	అది ఎంత సులభమెనదో సవయంగా తెలుసుకో.
और देखा जाए तो मैं यहाँ आपसे पहले से हूँ.	నిజానికి నేను మీకంటే ఎకకువ కాలం నుండి ఉననాను.
देखो, फूल!	చూడు, పూలు!
और पतथर के हाथ हिलाते.	రాతి చేతులు ఊపేవారు.
हे भगवान. 6, 000 डॉलर?	అమమో. 6, 000 డాలరలా?
तुमहें गणित पसंद नहीं.	నీకు గణితం ఇషటంలేదు.
यार, नशा वयापारी हो,	మితరమా, ఒక డరగ డీలరగా,
चलो, हेदर.	దూకు, హేథర.
चलो, हेदर.	దూకు, హేథర.
ऐसा मत करो!	అలా చేయకు!
चलो, हेदर!	దూకు, హేథర!
जो भी नियम तोडेगा, उसे खेल के फायदे नहीं मिलेंगे.	ఎవరెనా ఉలలంఘించినటలెతే ఆట హకకులను కోలపోయే పరమాదం ఉంది.
गरेजुएट होने वाले सारे सीनियर खेल सकते हैं.	డిగరీలో సీనియరలు అందరూ ఆడేందుకు అరహులు.
उस बारे में बात नहीं करनी चाहिए.	మనం దాని గురించి మాటలాడకూడదు.
पहला परतियोगी, अपना नाम बताओ.	మొదటి పోటీదారుడు, పరిచయం చేసుకో.
मैं पूरी कोशिश कर रही हूँ, हेदर.	చేయగలిగింది చేసతుననాను, హేథర.
पैनिक में साथ-साथ कुछ नहीं होता!	పానికలో కలిసి అంటూ ఏదీ ఉండదు!
वह मिटटी की बनी थी.	ఆమె మటటితో చేయబడింది.
पलीज, डैनी. मुझे इस नौकरी की सखत जरूरत है.	దయచేసి నాకు ఈ ఉదయోగం చాలా అవసరం, డానీ.
खाने के कुछ कूपन फेंको, फिर देखो कैसे कूदती है.	రెండు ఆహార పొటలాలు పడేసతే, వాటి వెనకాల పరిగెడుతుంది.
-इसे छुटटी मिली है. -तो चलो!	-తనకు విరామం దొరికింది. -పదండి!
इकलौता रे हॉल शामिल हो चुका है!	ఒకేఒకకడు రే హాల ఆటలో ఉననాడు!
जो तुमहें इस साल के सनेहशील जज देंगे,	అది ఈ ఏడాది సనేహపూరవక నయాయనిరణేతల నిరణయం,
तुमहें निकाल दिया?	అతను నినను తీసేశాడా?
मरते हैं.	చనిపోతారు.
नहीं आ सकती, नैट. देखकर मुझे दिल का दौरा पड जाएगा.	నేను రాలేను, నాట. చూసతేనే గుండె పోటు వసతుంది.
सबको नियम पता हैं.	మీకు నియమాలు తెలుసు.
भगवान के लिए, मुझे एक मिनट दो.	దయచేసి, నాకు ఓ నిమిషం ఇవవు.
चलो, नैट!	దూకు, నాట!
वह कौन है?	అది ఎవరు?
वह कौन है?	అది ఎవరు?
और कई दिनों तक बारिश होती रही.	రోజుల తరబడి వరషం కురిసింది.
कहानी यहीं पर खतम होती है. यही होता है.	అదే ముగింపు. సరిగగా అదే జరుగుతుంది.
उनहें हमारा ठिकाना पता है.	వాళళకు మనమెకకడ ఉంటామో తెలుసు.
सुनता रहता हूँ कि किसी भी दिन काम शुरू हो जाएगा.	నిరమాణం ఎపపుడెనా మొదలు పెటటవచచని అంటుననారు.
-हाँ. -अजीब बात है.	-అవును. -విచితరం.
कया लगता है, वहाँ किस लिए काम करती थी?	అకకడ ఎందుకు పని చేశాననుకుంటుననావు?
माफ करना, यार. हाथ फिसल गया.	కషమించు. నా చేయి జారింది.
पाँच सौ? मैं दे सकता हूँ.	ఐదు వందలా? నేను అవి సరదగలను.
सविम सूट कयों पहन रखा है?	సనానం చేసే బటటలలో ఉననావేంటి?
तुमहें जो काम के पैसे मिलने वाले थे, उनका कया?	ఆ దుకాణంలో నీకు ఇవవాలసిన వాటి సంగతి ఏంటి?
वह अकेली थी? वहाँ अंधेरा था कया?	ఆమె ఒంటరిగా ఉందా? అకకడ చీకటిగా ఉందా?
मेनसटरीट वायरलेस	మెయిన సటరీట వెరలెస
निजी गाडियाँ लाना मना है	పరెవేట వాహనాలకు పరవేశం లేదు
