हर रोज?	రోజూనా?
बीनस एंड मीनस में सवागत है. हमारे पास एक पराणी की जरूरत की सभी बीनस हैं.	బీనస & మీనస కి సవాగతం. ఇకకడ ఒక వయకతికి నచచే అనని విధాల బీనస దొరుకుతాయి.
चाहिए? मैं तो बस चाहता हूँ लॉरब परभु हमारे सफर को और रोमांचक बना दें!	అవసరమా? నాకు కావాలసిందలలా లారబ మరింత ఆసకతికరమెన పరయాణానని అందించడమే!
मैं अब बाहर निकलकर अपने निरणय खुद लेने के लिए तैयार हूँ.	నేను ఇంటలో నుండి వెళలి సొంతంగా బరతకడానికి సిదధంగా ఉననా.
मुझे एक ऐसा एहसास हो रहा है जैसा पहले कभी नहीं हुआ.	నేను ముందెపపుడూ అనుభవించని ఫీలింగ ని అనుభవిసతుననాను.
मुझे लगता है आपको पहले से भी जयादा तनाव हो रहा है?	నువవు ఇంతకు ముందుకంటే ఎకకువ ఒతతిడిలో ఉననటటు ఉననావే?
कया तुमने एक आखिरी बार सब चीजों की जाँच कर ली है?	అననీ ఉననాయో లేదో చివరిగా ఒకసారి చెక చూసుకుననావా?
कनेकशन ठीक नहीं है पर मुझे लगता है तुम कह रही हो	కనెకషన ఏం బాలేదు, కానీ నువవు ఆ పయాన కేకు మెషిన ని
वह सही कह रही हैं. तैयारी करके रखना अचछी बात है.	వారు అననది నిజమే, తెలుసా. సిదధపడి ఉండడం మంచిది.
यह भी बीइंगसबरग की शिकषासंसथा में जा रहा है.	నా బిడడ కూడా బీయింగస బరగ కాలేజీకి వెళతుననారు.
मेरे बैग उठाने में मदद करने के लिए धनयवाद.	నా బయాగులు సరదడానికి సాయం చేసినందుకు థాంకస.
हमारा कॉफी पेय खतम हो गया है. अब कया करें?	ఇకకడ కాఫీ అయిపోయింది. నేను ఇపపడు ఏం చేయాలి?
ठीक है, मैं इंतजार करूँगा. मैनेजर का नहीं.	సరే, నేను ఎదురుచూసతాను. మేనేజర కోసం కాదు.
गराहकों, हमारा कॉफी पेय खतम हो गया है.	కసటమరలారా, మా దగగర ఉనన కాఫీ అయిపోయింది.
तो मैं वह लेने के लिए यहाँ पर आई हूँ.	అందుకే అవి కొనడానికి ఇకకడికి వచచాను.
-इसके चेहरे से तो यह भरोसा करने लायक लगता है. -यह जो कहेगा मैं कर लूँगा.	- వారిని చూసతుంటే నమమొచచు అనిపిసతోంది. - వారు ఏం చెపపినా నేను చేసతాను.
मैं तुमहें शिकषासंसथा ले जा रही हूँ.	నేను నినను కాలేజీకి తీసుకెళతుననాను.
अब इन सभी फलिप फलॉपरों का कया करें?	ఇపపుడు ఈ పయాన కేకులతో మనం ఏం చేయాలి?
और मालिक शहर से बाहर गया हुआ है तो मैं पहली बार इसे अकेला खोल रहा हूँ.	అలాగే ఓనర ఊరలో లేరు, కాబటటి నా అంతట నేనే షాప ని నడపడం ఇదే మొదటిసారి.
वहाँ हो कया रहा है? सब ठीक-ठाक है?	అకకడ ఏం జరుగుతోంది? అంతా బానే ఉందా?
आपको कयों लगता है वह कर नहीं पाएगा?	ఖచచితంగా తపపు చేసతారని ఎలా తెలుసు?
कया? नहीं, मैं अकेला जा सकता हूँ.	ఏంటి? వదదు, నా అంతట నేను వెళళగలను.
पर इसके अंत में बहुत से जीवनदाता पाते हैं कि इस पूरी परकरिया का	కానీ చాలా మంది అమమానాననలు చివరిగా తెలుసుకునే ఒక విషయం ఏంటంటే,
मेरे जहाज, संभावना, पर आ जाइए.	అందరూ నా బోటు ఎకకండి, ది చానసి.
पर तुमहें याद है कि हुआ कया था?	కానీ ఏమెందో నీకు గురతుంది కదా?
बिलकुल लगा. मुझे अब कोई चिंता नहीं कि कहीं रेसतोरां जल न जाए	చాలా. ఇపపుడు ఇక రెసటారెంట కాలి బూడిద అవుతుందేమో అనన భయమే లేదు,
मैं उनकी देखभाल करूँगी! पूरे जोर-शोर से उनकी देखभाल करूँगी.	నేను చాలా బాగా చేసతాను! చాలా గొపపగా వాళలకు తోడుగా ఉంటాను.
पर मुझे नहीं लगता वह तैयार है.	కానీ వారు సిదధంగా ఉననారనుకోను.
मुझे तुमहारी आवाज नहीं आ रही.	నాకు నీ మాట వినిపించడం లేదు.
तुम ये सनैकस तब खाना जब तुम तैयारी करके रखना सीख जाओगे.	నువవు సిదధపాటు గురించి తెలుసుకునన తరవాత నీ సనాకస తినొచచు.
तुम बहुत होशियार पराणी हो.	నువవు చాలా తెలివెన వయకతివి.
हैलो. तुमसे मिलकर अचछा लगा.	హాయ. మిమమలని కలవడం సంతోషం.
यातरियों! तूफान का सबसे मजेदार हिससा शुरू हो गया है.	పరయాణికులారా! తుఫాను కారణంగా ఎదురయయే సరదా మొదలవవనుంది.
अरे, मेरी तरफ फिर से देखो.	హేయ, ఇంకొకసారి ననను చూడు.
पहली बार तो काम कर गया था.	మొదటిసారి పనిచేసింది కదా?
मैं तुमहारे साथ हूँ, दोसत.	నీకు నేను ఉననాను, మితరమా.
आपको ये बीनस सूँघनी होंगी.	నువవు ఈ బీనస వాసన చూడాలి.
वे हमसे कितना धीरे-धीरे अलग होते हैं पर फिर अचानक बिलकुल छोड जाते हैं.	పిలలలు మనలని ఎంతో నెమమదిగా వదిలినటటే ఉంటుంది, కానీ ఉననటటుండి వెళళిపోతారు.
कया उनका सवाद बेहतर है?	అవి మరింత రుచిగా ఉంటాయా?
एक-एक करके आइए. एक कतार बनाकर. शुरू कर रहे हैं.	ఒకకొకకరిగా రండి. ఒకే లెన లో ఉండాలి. ఇసతుననాం.
तुमने मुझे फोन किया है.	నువవే నాకు కాల చేశావు.
-जरूर. -नहीं, सच में.	- సరే. - కాదు, నిజంగా.
ये पौषटिक हैं और कहीं भी ले जाई जा सकती हैं.	ఇది ఆరోగయవంతం అలాగే సులువుగా తీసుకెళలొచచు.
हमें इन पराणियों को ये बीनस सुँघानी होंगी.	మనం మిగతా వారికి కూడా ఈ బీనస వాసన చూపించాలి.
धनयवाद. मैनेजर को यह जानकर और भी खुशी होगी कि तुमने कितनी मदद की.	థాంకస. నువవు ఎంత సాయం చేశావో తెలిసతే మేనేజర చాలా మెచచుకుంటారు.
अगर मैं वहाँ नहीं हुई तो मेरा सहयोगी कहीं उसे जला कर राख ही न कर दे.	నేను గనుక వెళలకపోతే నా సహోదయోగి ఆ పరదేశానికి నిపపు పెటటి తగలబెటటేయగలరు.
आपके लिए कया ले आऊँ?	నేను మీకు ఏం ఇవవగలను?
अगर आप उस पर थोडा और भरोसा करके उसे सब कुछ खुद संभालने दें,	వారంతట వారిని పని చేయడానికి వదిలి వారిపె కాసత నమమకం ఉంచగలిగితే
माफी चाहता हूँ. मुझे लगा तुम मैनेजर हो.	ననను కషమించు. నువవు మేనేజర వి అనుకుననాను.
नहीं. उसे मत खोलना.	వదదు. దానిని తెరవకు.
हर कोई अपनी असफलताओं से सीखता है.	తమ వెఫలయం నుండి పాఠం నేరచుకుంటారు.
ठीक है, मैं तुमहारी बात समझ रही हूँ.	సరే, నువవు చెపపేది నాకు అరథం అవుతుంది.
मैं सबसे बदतर हालातों की कलपना करके उसके अनुसार काम करना पसंद करती हूँ.	నేను ముందు చెడు జరుగుతుందనన దృకకోణం నుండే ఆలోచించి పని చేయటానికి ఇషటపడతాను.
अगर यह सच है तो फिर मुझे यह थरथराते जीव वाला खिलौना,	సరే, అదే నిజం అయయుంటే నేను వెబరేట అయయే ఈ జంతువు బొమమని,
वह ठीक से बेहतर रहेगा. तुमने उसे बहुत अचछी तरह तैयार किया है.	బాగోడం కాదు, అదభుతంగా ఉంటుంది. మీరు మీ బిడడను చాలా బాగా పెంచారు.
तुमने यह कैसे. . .	నీకు ఇది ఎలా. . .
और चाहे मैं कॉफी पेय और फलिप फलॉपर मशीनों को लेकर तनाव ले लेती हूँ,	అలాగే కాఫీ గురించి ఇంకా పయాన కేకు మెషిన గురించి ఎంత ఒతతిడికి గురవుతుననా
मैंने इसके लिए तैयारी नहीं की थी.	నేను ఇలా అవుతుందని అససలు అనుకోలేదు.
हाँ, मुझे माफ कर दो. शायद मैं यह सब नहीं संभाल पाऊँगा.	అవును, కషమించు. బహుశా నేను ఈ పని సరిగగా చేయలేను ఏమో.
-ऐसा कुछ नहीं होता. -बेशक होता है.	- అదేం అవసరం లేదు. - చాలా అవసరం.
हैलो, नए दोसतों.	హలో, కొతత ఫరెండస.
हैलो, नए दोसतों.	హలో, కొతత ఫరెండస.
वह आ भी गई? मैंने तो आज सुबह उसका ऑरडर दिया था.	అది అపపుడే వచచేసిందా? దానిని ఇవాళ ఉదయమే ఆరడర చేశా.
मेरे खयाल से इससे उलटा हुआ था.	నాకు తెలిసి ఆ పని చేసింది నువవు.
- नहीं. कोई तैरनमशीन नहीं? - किसी के पास तो. . .	- అయయో. బోటు లేదా? - ఎవరొకరి దగగర ఖచచితంగా. . .
अचछा हुआ मैं तैयारी करके आई थी.	నేను సిదధపడి రావడం మంచిదెంది.
बडे पानी पर किसी चीज की कोई गारंटी नहीं है.	ఈ మహా సముదరంలో మన రకషణకు ఎవరూ గయారంటీ ఇవవలేరు,
कया. . . तुमहें सुन. . . कया कनेकशन कट. . .	నీ. . . నీకు నా మాట. . . కనెకషన కట అవుతోం. . .
मैं तुमहें अपनी संतान से मिलवाना चाहती हूँ.	నేను మీకు నా బిడడని పరిచయం చేయాలి అనుకుంటుననా.
मैं तैयार हूँ.	నేను ఎకకేసతాను.
माफ करना. कया तुम भी शिकषासंसथा जा रही हो?	ఏమండీ. మీరు కూడా నా బిడడ కాలేజీకి వెళతుననారా?
कहीं अगर तुम अपना गुरुतव केंदर चूक गए और ऑरब से कहीं दूर चले गए?	ఒకవేళ నువవు గురుతవాకరషణను కోలపోయి పరపంచం నుండి తేలుకుంటూ వెళళిపోతే?
कितना अचछा काम किया, संतान.	నువవు భలే సాయం చేశావు, బిడడా.
और किसी को थोडी देखभाल चाहिए?	ఇంకెవరికెనా నా ఆదరణ కావాలా?
हालाँकि मैं यही चाहूँगी कि ऐसा न हो. मुझे बस बहुत बेहतर महसूस हो रहा है.	కాకపోతే అలా జరగకుండా ఉంటే బాగుంటుంది అనుకో. ఏదో కాసత సంతోషపడడానికి.
यह मारने वाले हाथों के कवर और यह पेचकस भी रख लेना चाहिए.	ఈ బాకసింగ గలోవస అలాగే సకరూడరెవర ని కూడా పెటటుకోవాలి.
मैंनेजर को फोन करो. मैं होता तो यही करता.	మేనేజర కి ఫోన చెయ. నేనెతే అదే చేసతాను.
जीवनदाता, मैं यह ऐसे ही नहीं कह रहा पर आप सही थीं.	అమమా, నేను ఇది ఊరికే అనడం లేదు, కానీ నువవు అననది నిజం.
इतना साफ नजर आ रहा है, हँ?	అంత సపషటంగా తెలుసతుందా, ఆహ?
जरा रुकना, दोसत. मुझे और बनानी पडेगी.	ఒకక కషణం, మితరమా. నేను మళళీ కాఫీ చేయాలి.
मैं आभारी हूँ कि मेरे चेहरे पर लकीरें नहीं आतीं.	నా మొహం మీద ఇంకా ముడతలు రానందుకు నాకు సంతోషంగా ఉంది.
तुमहें सवावलंबी होने के लिए तैयार करना मेरा काम है	నువవు సవతంతరంగా బరతికేలా సిదధం చేయడం నా బాధయత,
जिजञासा और गुससा इस गरह पर जहाँ चारों तरफ है खतरा	ఆసకతి అలాగే ఆగరహం పరమాదంతో నిండి ఉనన పరపంచంలో
लगता है यह कपतान किसी भी सथिति के लिए तैयार होगा.	ఈ కెపటెన దేనికెనా రెడీగా ఉండే వయకతిలా ఉననారు.
समुदर, मेरी जान, तुम हमेशा मेरी बात मानते हो.	సముదరం, నా పరేయసీ, నువవు నా మాట పరతీసారీ వింటావు.
निरदेश-पुसतिका में तो बस कुछ अजीब सी तसवीरें हैं.	ఈ మానయువల లో తికమకపెటటే ఫోటోలు మాతరమే ఉననాయి.
कया करना है?	ఏం చేసతావు?
- ओह, यह कया! - हम रेसतोरां को आग लगा देंगे!	- ఓహ, ఊరుకో! - మనం రెసటారెంట ని తగలబెటటేసతుననాం!
तुमने यह शुरू में ही कयों नहीं किया?	ఈ ఐడియా నీకు ముందే ఎందుకు రాలేదు?
तुम और चाहे जो मरजी करो, वह फलिप फलॉपर मशीन मत खोलना.	నువవు ఏం చేసినా సరే, ఆ పయాన కేకు మెషిన ని మాతరం సెట చేయకు.
शुकर है तुमने मेरी चिंता दूर करने का तरीका ढूँढ लिया.	నా భయానని పోగొటటడానికి నువవు మారగానని కనిపెటటడం నా అదృషటం.
ठीक है, अचछा परिचय रहा. अपने सफर में मजे करना.	సరే, మంచి పరిచయం. మీ టరిప ని ఎంజాయ చేయండి.
अरे, वाह. ये निकल आए.	ఓహ, బేబీ. వచచేసతుననాయి.
काश मेरा पेट एक खाली कुँआ होता.	నా కడుపు ఒక అగాధం అయయుంటే బాగుండు.
इनहें आसानी से ले जा सकते हैं, ये पौषटिक हैं और तुमहें पसंद हैं.	వీటిని తీసుకెళలడం సులభం, ఆరోగయవంతమెనవి, అలాగే ఇవి అంటే నీకు చాలా ఇషటం.
मैंने अपनी कमर कस ली है पर मुझे नहीं लगता इससे कोई फायदा हो रहा है.	నేను నా సాకసులు పటటుకుని కూరచుననాను, కానీ ఇది పనిచేసేలా లేదు.
कया तुमने सुना नहीं?	నేను చెపపింది వినలేదా?
मैं किसी से पता पूछ लूँगा, कोई दवाई ले लूँगा	అపపుడు నేను దారి అడిగి, మందులు వేసుకొని,
कितना सुकून दे रही है.	చాలా పరశాంతంగా ఉంది.
सच तो यह है कि यहाँ से आप कुछ नहीं कर सकतीं.	నిజం ఏంటంటే, ఇకకడ ఉండి నువవు ఏం చేయలేవు.
यह कितना रोमांचक था!	నాకు భలే థరిల వచచింది!
कहीं अगर तुम खो गए? या बीमार पड गए?	నువవు దారి తపపిపోతే? నీ ఆరోగయం పాడెతే?
कृपया, एक मुफत कॉफी पेय देना.	దయచేసి ఒక ఫరీ కాఫీ ఇవవండి, పలీజ.
तुम रोए थे और मैं ऐसा फिर नहीं होने दूँगी.	నువవు ఏడచావు, నేను అలా మళళీ జరగనివవను.
वहाँ या तो सब कुछ ठीक है या नहीं है. पर इस समय, आपके हाथ में कुछ नहीं है.	బాగా నడిసతే నడిచింది, లేదంటే లేదు. ఇపపుడు అదేమీ నీ కంటరోల లో లేదు.
इस समय मैं और कुछ नहीं कर सकता.	పరసతుతానికి నేను ఏం చేయలేను.
वह फलिप फलॉपर मशीन ही तो है.	అది కేవలం పయాన కేకు మెషినే కదా.
नहीं, मैं उसका उलटा कह रही हूँ. मुझे बताओ तुमहें समझ आ गया है.	కాదు, నేను ఏం చేయకు అని అంటుననాను. నీకు అరథమెందని చెపపు.
आप मुझ पर भरोसा कयों नहीं करतीं? मैं यह सब खुद संभाल सकता हूँ.	నీకు నా మీద నమమకం లేదు ఎందుకు? నేను ఇది హయాండిల చేయగలను.
आपको इंतजार करना होगा. मुझे माफ कर दीजिए.	మీరు ఎదురుచూడక తపపదు. ననను కషమించండి.
और बुरे पल होते हैं.	సుదీరఘ పరయాణం అది.
अरे, नहीं.	ఓహ, లేదు.
तुम अब तक वहाँ पहुँचे भी नहीं हो, है ना?	మీరు ఇంకా రెసటారెంట కి వెళళలేదు కదా?
एक सितारे की परिकरमा कर रहा है	ఒక నకషతరం చుటటూ తిరుగుతోంది
आप कया कर रही हैं?	నువవు ఏం చేసతుననావు?
और अब बदतर होते जा रहे हैं.	పరిసథితి ఇంకా దారుణం అవుతుంది.
तो पूरा सच कया है?	మరి మొతతం నిజం ఏంటి?
मुझे अपना डर मेरे चेहरे के पोरों से निकलता महसूस हो रहा है.	నా భయాలననీ నా నోరు, ముకకు దవారా బయటకు పోతుననటటు ఉంది.
निरदेशों को भूल जाओ. हम यह कर सकते हैं.	సూచనలను పకకన పెటటు. మనం ఇది చేయగలం.
कया तुम पहले कभी बडे पानी पर नहीं आईं?	మీరు ముందెపపుడూ సముదరానని చూడలేదా?
उसकी किसमत अचछी है कि उसके पास हम हैं.	మనం ఉండడం వారికి బాగా కలిసొచచింది.
शायद मुझे पता है तुम किन बीनस की बात कर रही हो.	మీరు ఏ బీనస గురించి అంటుననారో నాకు తెలుసు,
कया यहाँ किसी को फलिप फलॉपर मशीन की जानकारी है?	ఇకకడ పయాన కేకు మెషిన ఎకసపరట ఎవరెనా ఉననారా?
हे मेरे लॉरब परभु. मैंने सबकी तबियत खराब कर दी.	ఓరి, లారబ. నేను అందరి కడుపులు పాడు చేశాను.
कुछ थोडे अजीब लग सकते हैं	కొనని విషయాలు వింతగా ఉండొచచు
अब इतना बुरा हाल नहीं है.	ఇపపుడు అంత దారుణంగా ఏం లేదు.
-ओह, यह कया है. -मुझे अपने रेसतोरां में अभी पहुँचना है.	- ఓహ, సరే. - నేను వెంటనే నా రెసటారెంట కి వెళళాలి.
तुमहें पराणियों से जान-पहचान करनी होगी ताकि तुमहारे पास मदद के लिए कोई हो.	నువవు నీకు తోడుగా ఉండడానికి కొతత వారిని పరిచయం చేసుకోవడం చాలా ముఖయం.
अफसोस हम आज इतने वयसत होंगे. मुझे इसे निकालकर इसतेमाल करने में बहुत मजा आता.	దురదృషటవశాతతు ఇవాళ మేము చాలా బిజీగా ఉంటాం. కానీ నాకు దీనిని వాడాలని ఉంది.
इस नाव पर बहुत से और पराणी हैं जो मेरी देखभाल और तैयारी के लिए	నీకు నా అవసరం లేదు అంటుననావు, కానీ ఈ బోటులో నా తోడును అలాగే సిదధపాటును
मुझे फलिप फलॉपर मशीन की जानकारी है.	నేను పయాన కేకు మెషిన ఎకసపరట ని.
दुरलभ कॉफी बीनस	పరీమియం కాఫీ బీనస
हाँ, नहीं पहुँचा.	లేదు, వెళళలేదు.
माफ करना. मुझे अपने खुद के तनाव से निपटना है.	కషమించండి. నేను కూడా ఒక విధమెన ఒతతిడి కిందే ఉననాను.
पता नहीं, खा लें?	ఏమో, తినేదదామా?
मैं समझ गई हूँ.	నేను తెలుసుకుననా.
मुझे समझ आ गया है कि तुम बडे पानी में फँसी हुई हो, तो मुझे ही कुछ करना होगा.	నువవు సముదరంలో ఇరుకకుపోయావు అని అరథమెంది, కాబటటి నేనే ఏమెనా చేయాలి.
हे समुदर की पवितर आतमा, तुमने आखिरकार मुझे गले लगा लिया है!	సముదర దేవతా, నువవు ననను చివరికి హకకును చేరచుకుననావు!
कया उसने पहले कभी आपको निराश किया है?	ముందెపపుడెనా ఆ వయకతి మిమమలని నిరాశపరిచారా?
मुझे तो यकीन ही नहीं हो रहा. यह बहुत बढिया दिन है.	నేను ఇది నమమలేకపోతుననాను. ఇది భలే గొపప రోజు.
हम जीवन को मायने देने के तरीके ढूँढ लेते हैं	జీవితానికి అరథానని ఇవవడానికి మారగాలను వెతుకుతుంటాం
मुझे तो ठीक लग रहा है.	సురకషితంగానే ఉండేలా ఉంది.
मेरा पेट कितना भर गया है.	నా కడుపు నిండిపోయింది.
और आज हमने अपने गराहकों के लिए मुफत कॉफी पेय दिवस रखा है.	అలాగే ఇవాళ మేము మా కసటమరలకు ఉచిత కాఫీ డే రోజును ఏరపాటు చేసతుననాం.
ठीक है. तुम सही हो. मैं उसे फोन करता हूँ.	సరే. నువవు అననదే కరెకటు. నేను ఫోన చేసతా.
जीवन जीने के लिए ऐसे ही तैयारी करते हैं.	నువవు జీవితానికి సిదధపడడానికి అదొకకటే మారగం.
तुम ऐसा धोखा कैसे खा गए? कया तुम उसके भाई नहीं हो?	అలా ఎలా తపపుబడతారు? నువవు ఆమె తోబుటటువువి కదా?
मेरे पास इस ढोल को खोलने के लिए कुछ नहीं है.	ఈ బయారెల ని తెరవడానికి నా దగగర ఏమీ లేదు.
बैकअप कहाँ है?	ఇంకొక బోటు ఎకకడ?
मुझे गले लगाओ, बडे पानी!	ననను హతతుకో, సముదరమా!
लंगर उठाकर और पालें तैयार करके हम बडे पानी की लहरों का सामना करते हैं	లంగరు పెకి లాగి, తెరచాపలు చాచిన తరవాత ఈ మహాసముదరపు అలలను దాటుకుంటూ బయలుదేరుతాము
मैं हर रोज तुमहारा कॉफी पेय खाने आता हूँ.	నేను ఇకకడికి పరతీరోజు మీ కాఫీ తినడానికే వసతాను.
मैं विशेष तौर पर जीव अधययन करना चाहता था.	నేను జీవుల అధయయనం మీద ఫోకస పెటటాలి అనుకుంటుననా.
जब हडडियाँ तक कँपकँपाएँ, इतना लगे डर आसमान की ओर मुँह करके चीखो, रॉरब सुने सब	భయంతో మీ ఎముకలు వణికినపపుడు ఆకాశానని చూసి అరిచి, రోరబ కి మొరపెటటండి
इसमें मजेदार कया है?	ఇందులో అంత సరదా ఏముంది?
मैंने बीनस सूँघने के बारे में कुछ नहीं कहा था.	నేను బీనస వాసన చూడడం గురించి ఏమీ అనలేదు.
इनहें एक बार सूँघिए.	ఒకసారి వీటి వాసన పీలచు.
और बाहय शूनय के पराणियों से दोसती कर लूँगा.	అంతరికషంలో ఉండే ఏలియనస తో సనేహం చేయడం మొదలెడతాను.
मेरे लिए तो तनाव और घबराहट केवल मेरी रोबदार जीवनदाता से आते हैं.	నాకు పరసతుతం ఉనన ఒతతిడి అలాగే ఆందోళన ననను పీడిసతునన మా అమమ వలలే వసతుననాయి.
जब मैंने कहा था कि मैनेजर ने अनुमति दे दी है, मैंने पूरा सच नहीं बताया था.	నేను నా మేనేజర అనుమతించింది అని చెపపినపపుడు మొతతం నిజం చెపపలేదు.
इसे चालू कैसे करना है?	దీనని ఆన చేయడం ఎలా?
कोई बात नहीं, पर आपको यह समझना होगा कि आपने मुझे तैयार कर दिया है.	ఏం పరలేదు, కానీ నువవు ననను సిదధం చేశావు అని తెలుసుకోవాలి.
नहीं, मुझे वह सब किए हुए कुछ परिकरमाएँ हो चुकी हैं.	కాదు, నా చదువు పూరతి అయి చాలా ఏళళు అవుతుంది.
तो फिर वे बेहतर कैसे हैं?	అయితే అవి ఏ విధంగా మెరుగెనవి?
पर हमने तय किया है कि बेहतर रहेगा अगर आज हम मुफत फलिप फलॉपर दिवस मनाएँ.	కానీ ఉచిత పయాన కేకు రోజును నడిపితే బాగుంటుంది అని నిరణయించాం.
जैसे-जैसे संतान बडी होती है,	పిలలలు ఎదుగుతునన సమయంలో,
आमतौर पर हमारे कॉफी पेय का सवाद बहुत बुरा होता है	సాధారణంగా మేము ఇచచే కాఫీ ఛండాలంగా ఉంటుంది,
बहुत अचछा है! जाकर उनकी देखभाल करो.	మంచిది! వెళలి వాళలకు సాయం చెయ.
एक कपतान, कपतान नहीं होता जब तक वह समुदर से बातें न करे.	సముదరంతో మాటలాడలేని వయకతి అసలు కెపటెన కానే కాదు.
बढिया.	అదభుతం.
धनयवाद.	థాంకస.
धनयवाद.	థాంకస.
हर सथिति के लिए तैयार रहना जरूरी है पर तुम तो कोशिश भी नहीं करना चाहते.	ఏ సందరభానికెనా సిదధంగా ఉండడం చాలా ముఖయం, కానీ నువవు నా మాట అససలు పటటించుకోవడం లేదు.
अगर यह सच है तो शायद आपको एक बार इनहें सूँघ लेना चाहिए.	అదే నిజం అయితే, ముందు మీరే వాటి వాసనను పీలచాలి.
मैं समझ सकती हूँ कयोंकि मैंने भी अपने करमचारी को तैयार करने की पूरी कोशिश की	నేను ఎందుకు అరథం చేసుకోగలను అంటే, నేను కూడా నా ఉదయోగిని సిదధం చేయడానికి వీలెనంత పరయతనించా
और अब आगे चीजें और अजीब होती जाएँगी	ఈ జీవితం ఇకపె మరింత వింతగా మారుతుంది అంతే
तूफान आ गया है, दोसतों!	తుఫాను మొదలవుతోంది, ఫరెండస!
उस नई फलिप फलॉपर मशीन का कुछ करूँ?	కొతతగా కొనన పయాన కేకుల మెషిన సంగతి ఏంటి?
मैं तुमहें पकड लूँगा. अभी पकडता हूँ.	నేను నీ పని పడతాను. ఖచచితంగా పటటుకుంటా.
शिकषासंसथा की हमारी यातरा जारी रखने के लिए तैयार हैं?	నాతో కలిసి కాలేజీకి రావడానికి సిదధంగా ఉననావా?
कोई भी ऐसे निरदेश कयों देगा?	ఇలాంటి సూచనలు అసలు ఎందుకు ఇసతారు?
या मैं इस बडे पानी के बीच में एक दलतैरनी पर मारी जाऊँगी जबकि मेरा रेसतोरां जलकर	లేదా నేను సముదరం మధయలో ఉండగా బోటు మీద చచచిపోతుంటే నా చావుకు కారణమెన
यह एक लंबी यातरा है जिसमें बहुत से अचछे	అనేక మంచి సందరభాలు అలాగే విచారకర సందరభాలు ఉండే
बीनस एंड मीनस	బీనస & మీనస
चिंता करने की कोई बात नहीं है. मैं हम सब को जलदी ही तट पर पहुँचा दूँगा.	భయపడాలసిన పనే లేదు. అతితవరలో మిమమలని తిరిగి దరికి చేరచుతాను.
कया? और तुमने मुझे इस गलत काम में भागीदार बना लिया?	ఏంటి? అంతేకాక ఇందులో నాకు భాగసవామయం ఇచచావా?
उनके जीवनदाता अनेक तरीकों से उनहें सवावलंबी जीवन जीने के लिए तैयार करते हैं.	వారు సవతంతరంగా బరతకడానికి అమమానాననలు అనేక విధాలుగా శికషణ ఇసతారు.
कया? नहीं. भाई? कया लोग मुझे उसका भाई समझते हैं?	ఏంటి? కాదు. తోబుటటువా? వారు ననను చూసి అలా ఫీల అవుతుననారా?
मेरा कुछ फलिप फलॉपर का झंझट चल रहा है.	నేను ఒక పయాన కేకు సమసయలో పడడాను.
हम सब को लगा यह जशन का हिससा है.	నేను ఇదంతా మీ వేడుకలో భాగం అనుకుననాను.
हैलो. मैंने मुफत कॉफी पेय दिवस के लिए बीनस ले लीं.	హేయ. నేను ఫరీ కాఫీ రోజు కోసం బీనస కొననాను.
यह है ऑरब नामक हमारा गरह थोडा सा एक ओर झुका हुआ है	ఇదుగోండి మా పరపంచం ఇది కాసత వంపుగా ఉంటుంది
