मैडेलिन पयू सटाफ लेखक	మయాడలిన పయూ సటాఫ రెటర
-शुभकामनाएँ. -शुभकामनाएँ.	-షో బాగుంది. -షో బాగుంది.
लूस.	లూస.
मैं कछुए पर एक पुराना चुटकुला सुनाता,	మీకు తాబేలు గురించి పాత జోక చెపపగలను,
तो, सब बढिया है, है न?	అంతా బాగానే ఉంది, కదా?
नहीं.	లేదు.
शुकरिया. एक और सवाल. आप हमें अपना नाम बताएँगे, पलीज?	ధనయవాదాలు. ఇంకొకక పరశన. దయచేసి మీ పేరేమిటో చెపుతారా?
बस उनहोंने गलत तसवीर दिखाई.	చితరం మాతరమే తపపుది వాడారు.
-चालू. -सपीड चालू.	-పెంచండి. -వేగంగా.
उसकी लाइन कया थी?	అతని డెలాగ ఏమిటి?
बिल? सैम?	బిల? శామ?
पेडरो? पाबलो?	పెడరో? పాబలో?
उसके फलैट में आमतौर पर घुस आते हैं, जिनकी आवाज डेसी आरनेज से बेहद मिलती है?	ఊరికే ఇంటలోకి వసతుంటారని, వాళళ గొంతు డెసి అరనాజలా ఉంటుందని, రికీ నమముతాడా?
मैगजीन सोमवार को छपती थी. उसका पबलिसिसट रविवार को एक परति लाया.	పతరిక సోమవారం వచచేది. కానీ ఆమె పరచారకరత ఆదివారం ఒక కాపీ తెచచారు.
डेसी साउंडसटेज पर पियानो, डरम और ऐन मिलर के साथ काम कर रहा था.	డెసి సౌండసటేజిపె ఒక పియానో, ఒక డరమ, ఇంకా ఆన మిలలరపె పని చేసాడు.
"वह चुटकी बजाती है और उसका नाम याद न आने का दिखावा करती है. "	"చిటికె వేసి పేరు గురతుచేసుకోవడానికి పరయతనిసతునటటు చేసతుంది. "
-तुमहें मेरे हुनर का कैसे पता होगा? -कयोंकि मुझमें भी हुनर है.	-నాకు టాలెంట ఉందని నీకెలా తెలుసు? -ఎందుకంటే నాకు టాలెంట ఉంది.
आठ एपिसोड का समूह जिसकी शुरुआत लूसी रिकी को खुशखबरी देकर करेगी	ఎనిమిది ఎపిసోడలు ఉంటాయి, లూసీ రికీకి శుభవారత చెపపటంతో మొదలయయి
उसके लिए जिसने भी दसतखत किए, उसे वफादारी की शपथ भी लेनी पडी.	తన బదులు సంతకం చేసిన ఎవరెనా, విధేయత పరతిజఞపె సంతకం చెయయాలి.
अगर लूसी गरभवती है, तो दरशक सोचने लगेंगे कि ऐसा कैसे हुआ.	లూసీ గరభవతి అయితే, పరేకషకులు ఇదెపపుడు జరిగిందా అనుకుంటారు.
जो सटूडियो दरशकों को बिना किसी रुकावट के शो देखने देता है,	సటూడియో పరేకషకులను ఎటువంటి ఆటంకం లేకుండా చూసేలా చేసతుంది.
लूसी और रिकी नया फरनीचर लेंगे. लेखकों को इसमें मजा आएगा.	లూసీ, రికారడోలు కొతత సామాను కొంటారు. రచయితలకూ బాగుంటుంది.
-निरदेशकों को मैं नहीं रखता. -जानती हूँ, बस कह रही हूँ.	-నేను దరశకులకు ఉదయోగం ఇవవను. -తెలుసు, ఊరికే చెపుతుననాను.
बस इतना कहना था कि इस शो के निरमाता डेसीलू परोडकशंस हैं	ఈ షో డెసిలు పరొడకషనస వారు చేసింది మీరు దాని అధయకషునితో
वह हफता बहुत डरावना था, कयोंकि आपको यह बात समझनी होगी.	అది భయానకమెన వారం, ఎందుకంటే మీరు ఇది అరథం చేసుకోవాలి.
-वे अलग बिसतरों पर सोते हैं. -हम बिसतर साथ मिला देंगे.	-వారు వేరువేరు మంచాలపె పడుకుంటారు. -మంచాలు కలుపుతాము.
कयोंकि वह अभी डांस, गरल, डांस की शूटिंग कर ही रही थी,	ఎందుకంటే ఆమె ఇంకా డానస, గరల, డానస షూటింగ మధయలో ఉంది.
तुम इस मामले में बच निकले, पर दूसरे मामले में फँस गए.	అది నినను సమసయ నుండి బయటకులాగి వేరేదానిలో పడేసతుంది.
टिप? अगर विंचेल को पकका पता होता, तो इसका नाम लेता,	టిప? వించెలకు బాగా తెలిసుంటే, ఆమె పేరు వాడుకునేవాడు.
टेबल पर चार लोगों का इंतजाम है, पर कुरसियाँ तीन हैं.	నలుగురి కోసం ఏరపాటెన బలల, కానీ మూడు కురచీలే ఉననాయి.
हमें नहीं लगा कि कल उनहें तीसरी बात बताना सही रहता.	మూడవదాని గురించి చెపపటానికి నినన మంచిరోజు అనుకోలేదు.
-मेरी बात अचछे से. . . -हाँ, आपका मतलब समझ रही हूँ.	-నీకు తెలుసు నేను ఏమి-- -నువవు అనేదా? అవును, తెలుసు.
बाकी सबके साथ, उनहोंने वॉलटर विंचेल से यह खबर सुनी.	అందరికీ తెలిసినపుడే, వాలటర వించెల మాటలు విననపపుడు.
-भुना गोशत पहले से कटा होना चाहिए. -हो जाएगा, जान.	-గొడడుమాంసం వేపుడు ముందే కొయయాలి. -కోసతాను, బంగారం.
गरमजोशी से सवागत कीजिए आय लव लूसी के एक सितारे का.	ఐ లవ లూసీ తారలలో ఒకరికి కరతాళధవనులతో సవాగతం పలకండి.
द डैनी थॉमस शो में रसटी हेमर रसटी विलियमस बनता है.	ద డానీ థామస షోలో రసటీ, రసటీ విలియమస పాతర చేసతాడు.
कि वह चार लोगों के लिए सजी है और अगली लाइन कहोगे.	నాలుగవ పలేట పెటటబడిందని చూసి తరవాతి డెలాగ చెపపాలి.
हाँ, पर मैंने फोन किए हैं और हम इसे हल कर रहे हैं.	ఆ, కానీ నేను ఫోనలు చేసాను. దాని సంగతి చూసుకుంటాం.
बात में दम है. इसकी चार या पाँच बातों में दम है.	చాలా మంచి పాయింట చెపపింది. ఐదారు పాయింటలు ఉననాయి.
खासकर जब उसकी बीवी पर गैर-अमरीकी होने का आरोप हो.	ముఖయంగా తన భారయ అమెరికన కాదని నిందించబడుతుననటటు.
-हमारी बातचीत अचछी नहीं रही. -मुझे यह बढिया लगी.	-ఈ సంభాషణ బాగా సాగలేదు. -బాగా సాగిందనుకుంటుననాను.
डेसी के बारे में एक बात बता दूँ. शो वही चलाता है.	డెసి గురించి ఒకటి చెపుతాను. ఈ షో అతను నడుపుతాడు.
डेमन रनयन मुखय शूटिंग से पहले शहर से चला गया था,	డేమన రనయన పరినసిపాల ఫోటోగరఫీకి ముందే వెళళిపోయాడు,
हाँ, यह गे फैमिली सीरीज है, जिसमें हैं लूसील बॉल	అవును, లూసీల బాల నటించిన ఆనందకరమెన కుటుంబ సీరియల,
-शायद? -किसी चीज के लिए रुके हैं, पकका नहीं पता.	-అనుకుంటావా? -దేనికోసమో వేచి ఉననాం, ఏమిటో తెలీదు.
इसके साथ पतलून होती है, पर वह मैंने पहनी हुई है.	పయాంటు కూడా ఉంటుంది, కానీ అది నేను వేసుకుననాను.
डेसी और मेरा काम पर धुतत न होने का सौदा हुआ है.	పని సమయంలో తాగనని, నాకు, డెసికి మధయ ఒపపందం ఉంది.
मिसटर करनर अधयकष नहीं हैं, वह निरमाण परमुख हैं.	మిసటర కోరనర పరెసిడెంట కాదు, అతను హెడ ఆఫ పరొడకషన.
इस साउंडसटेज से 20 मिनट दायरे में हर रिपोरटर को.	ఈ సౌండసటేజికి 20 నిమిషాలోపు ఉనన పరతి విలేఖరికి.
-अब तुम मुझे डरा रही हो. -मैं बताने ही वाली थी.	-ఇపపుడు ననను భయపెడుతుననావు. -చెపపాలనుకుంటుననాను.
ऐसे हालात बनाएँगे जहाँ झूठ न बोलना मुशकिल होगा.	అబదధం చెపపకుండా ఉండలేని సథితిలో ఆమెను పడేసతాం.
जैसा वह सैंकडों बार कर चुका है, वह कहता है. . .	ఇపపటికే మనం 100సారలు చూసినటటు, ఇలా అంటాడు. . .
जब वे बडे आदमी बचचे बनते हैं, मुझे चिढ होती है.	పెదదవాళళు పిలలలలా చేసతుంటే, ఎబబెటటుగా ఉంటుంది.
-जाने दो. उनके नाम कया हैं? -फरेड और एथल मरटज.	-వదిలెయయి. వాళళ పేరలేమిటి? -ఫరెడ, ఎథెల మెరటజ.
-रुको! वह तुम थी? -". . . अनदेखा कर रहे हो. "	-ఆగు! అది నువవేనా? -". . . ఉదాసీనతతో ఉననావు. "
तुमहारा सवाल समझ नहीं आया. लगता है कि वह. . .	నువవు ఏమి అడుగుతుననావో తెలియదు. అదెలా ఉందంటే--
अपने दलाल से पिटने वाली एक भोंडी लडकी बनी थी.	అందులో ఆమె తన బరోకరతో తననులు తినన బార డానసర.
और रिचरड डैनिंग, अनुलेखन और परसतुतकरता हैं	రిచరడ డెననింగతో పాటు, జెల ఓ మిఠాయిలు వారిచే
हाँ, वे सांसद, जो सामयवाद की जाँच करते हैं.	అవును, కమయూనిజం గురించి విచారించే నాయకులు.
यार, समिति का फैसला इस पर निरभर नहीं होगा	బంగారం, ఈ వారం జరిగిన వాటిపె ఆధారపడి కమిటీ
सैंटा अनीता रेसों के बीच 30 मिनट होते हैं	శాంటా అనీటాలో రేసుకు 30 నిమిషాలు పడుతుంది.
-बचचों जैसा कैसे. . . -वह "वेंह" कहती है.	-ఎలా శిశువులా పరవరతిసతుంది? -"వా" అంటుంది.
-वे तुमहें चाहते हैं. -मुझे तुमसे पयार है.	-వారికి నువవంటే ఇషటం. -నాకు నువవంటే ఇషటం.
-लूसी. . . -जब छोटी थी, मेरे पिता चल बसे.	-లూసీ-- -మా నానన నా చిననతనంలో చనిపోయాడు.
-"रिकी जवाब देता है. " -नहीं, यह मैं हूँ!	-"రికీ దీనికి సపందిసతాడు. " -కాదు, నేను!
कोरस गरलस के झुंड से दूर लूसी खडी हुई थी,	కోరస అమమాయిల జటటుకు దూరంగా నిలచునన లూసీ,
उसे कैसे पता होगा मैंने नाशता नहीं किया?	నేను అలపాహారం తీసుకోలేదని ఆమెకెలా తెలుసు?
फूलों की काट-छाँट नहीं, सीन की काट-छाँट.	పూలను కట చెయయటం కాదు. పూల సీన కట చెయయాలి.
"और अब तक, रचनातमक फैसले हम करते आए हैं.	ఇపపటిదాకా, సృజనాతమకత మా చేతులలో ఉండేది.
-हाँ, वह उसे चिढाती है. -हाँ. वह साफ है.	-అవును, అతనని ఏడిపిసతోంది. -ఆ. సపషటంగా.
-हम नाव पर ताश खेल रहे थे. -कल रात से?	-పడవలో పేకాడుతుననాము. -నినన రాతరినుండా?
-हम तुमहें इटली भेजना चाहते हैं. -कयों?	-నినను ఇటలీ పంపాలనుకుంటుననాం. -దేనికి?
-वह "वेसटिन-गाउस" ही है. -वेसटिंगहाउस.	-"వెసటిన-గౌస" అనే అనాలి. -వెసటింగహౌస.
शायद हमें इसे पेशेवर रखना चाहिए, है न?	మనం దీనని వృతతిపరంగా ఉంచాలి, ఏమంటావు?
कैरोलिन को कह दूँगी कि मैं बीमार हूँ.	కారోలినకు ఫోన చేసి, బాగోలేదని చెపతాను.
-और कया करूँगा? -हर रात सीरोज में गाओ.	-ఉండి ఏమి చెయయాలి? -రోజు సీరోలు అమము.
टू मैनी गरलस नाम का एक बरॉडवे शो था.	టూ మెనీ గరలస అని ఒక బరాడవే షో ఉండేది.
ऐसा पहले हुआ है, मैं नाम नहीं लूँगा,	ఇది ఇంతకుముందూ జరిగింది. ఎవరో చెపపను,
कि फलैट में आठ और मरद होना मुमकिन है.	ఎనిమిది పరపురుషులు లేరని నమముతుందని.
मजाक की खातिर दरशक इसका यकीन करेंगे.	సరదాకు, పరేకషకులు పడీ పడీ నవవుతారు.
वह बहुत से रचनातमक फैसले भी लेता है.	చాలా సృజనాతమక నిరణయాలు తీసుకుంటాడు.
दरशकों के सामने खडा हूँ और हमारे साथ	సటూడియో పరేకషకుల ముందు నిలుచుననాను.
लोगों की संखया में भारी कमी आई थी.	నీరు వాడేవారి సంఖయ బాగా పడిపోయింది.
-"जरूर, मिसटर अरनेज. " -वह अचछी है.	-"తపపకుండా, అరనాజ గారు. " -మంచిది.
-कया कर रही हो? -सकरिपट पढ रही हूँ.	-ఏమి చేసతుననావు? -కథ చదువుతుననాను.
"जॉरज, जूलियस, सटीवन, आइवन? " -हाँ.	-"జారజ, జూలియస, సటీవెన, ఐవన? " -ఆ.
-इन सबक के पैसे लेती हो? -ढेर सारे.	-ఈ పాఠాలకు ఫీజ తీసుకుంటావా? -చాలా.
-वह बढिया शो था. -हाँ, मुझे भी लगा.	-షో బాగుంది. -నేనూ అదే అనుకుననాను.
उसे सोच लेंगे. बात यह है, अंगूरों के एक टब में लूसी पाँच मिनट के लिए.	అకకడికి వదదాం. విషయం ఏమిటంటే, లూసీ ఐదు నిమిషాలు దరాకష పాతరలో ఉండటం.
देखो, तुम सबको एक बात समझनी होगी.	చూడండి, మీరు ఒకటి అరథం చేసుకోవాలి.
महतवाकांकषा एक घर में रहने की है.	కుటుంబమునన ఇంటలో ఉండాలని నా కోరిక.
वह "घर" शबद का बहुत इसतेमाल करती थी. वह घर होने की बात किया करती थी.	"ఇలలు" అనన పదం బాగా వాడుతుంది. ఇలలు ఇలలాలి గురించి బాగా మాటలాడేది.
अब बाकी टहनियाँ भी छोटी कटती हैं.	మిగతావి కట చేసాను. పొటటిగా అయయాయి.
हर रचनातमक फैसला वह मंजूर करता है.	పరతీ సృజనాతమక నిరణయం అతనిగుండానే.
और वे हमें हॉलिडे या हेवरथ देंगे,	వారు మాకు హాలిడే, హేవరతలను ఇసతారు,
मुझे पता है तुमहें पीना कयों पसंद है. दो घंटे पहले तक नहीं समझती थी.	నీకు తాగటం ఎందుకు ఇషటమో తెలుసు. రెండు గంటల కరితం వరకూ అరథం కాలేదు.
कयोंकि तुम आय लव लूसी के "आय" हो.	ఎందుకంటే ఐ లవ లూసీలో నువవే "ఐ" వి.
-मैं आय लव लूसी का "आय" हूँ. -हाँ.	-ఐ లవ లూసీలో నేనే "ఐ" ని. -అవును.
अरे, डिनर पर कोई आ रहा है? कौन है?	భోజనానికి ఎవరెనా వసతుననారా? ఎవరు?
सकरीनपले पढते हुए तुमहें कया हुआ?	టేబుల రీడ సమయంలో ఎందుకలా చేసావు?
-फिर से करते हैं. -कया हो रहा है?	-వెనకకు వెళదాం. -ఏమి జరుగుతోంది?
अब, यूँ ही धकका-मुककी नहीं चलेगी.	ఇపపుడు ఇది కలగాపులగంగా ఉండకూడదు.
-कुछ हुआ कया? -नहीं. मैं तो. . .	-ఏమెనా జరిగిందా? -లేదు. నేను. . .
कयोंकि यह बेहद ही कामयाब शो है.	ఎందుకంటే ఇది పెదద హిట, భారీ హిట.
-कौन सा? -"लूसी इटली जाती है. "	-ఏది? -"లూసీ ఇటలీకి వెళుతుంది. "
-देखो कुछ कर सकती हो तो. -अब भी?	-ఇంకేమి చెయయగలవో చూడు. -ఇంకానా?
-वे सब भी छोटे होंगे. -समझ गया.	-అవీ చిననవవుతాయి, అలా అలా. -సరే.
-हम उसी को उभारेंगे. -कया मतलब?	-అహంకారానని ఒపపుకుంటాము. -ఏమిటి?
-तुम वापस सोने आ जाओ. -आती हूँ.	-నువవు వచచి నిదరపోవాలి. -వసతాను.
मैं कपडे धो रही थी और. . . नहीं.	బటటలు ఉతుకుతుననాను ఇంకా-- లేదు.
मुझे मजाकिया चीजों की परवाह है.	సరదాగా ఉండేది తెలుసుకోవటం ముఖయం.
कहानी में कुछ झोल है, इसीलिए कोई भी विंचेल की खबर नहीं छाप रहा.	కథలో ఏదో తపపుండి, అందుకే ఎవరూ వించెల గురించి నివేదించటం లేదు.
अगर लूसी गरभवती होगी, तो तुमहारे मुताबिक नौवें में ऐलान करेंगे.	లూసీ రికారడో గరభవతి కాబోతుననటలయితే, తొమమిదిలో చెపపాలంటుననారు.
जब यह सुना तो वे कया कर रहे थे?	వారు విననపపుడు ఏమి చేసతుననారు?
-नहीं! यह मैं हूँ. -हाँ, बेशक.	-లేదు! ఇది నేను. -అవును, నిజమే.
आज रात मेज खूबसूरत लग रही है न?	ఈరోజు బలల భలే అందంగా ఉంది కదా?
-बस टाँग खींच रही हूँ. -बढिया.	-ఊరికే ఆటపటటిసతుననాను. -మంచిది.
तुम किसी और से पयार न कर बैठो.	ఎవరితోనూ పరేమలో పడకుండా ఉండాలి.
-उनकी खबर सही थी न? -लूसी. . .	-వారు చెపపేది నిజమా? -లూసీ. . .
वह कभी सपेन नहीं गया. सपेनिश बोलता है. वह कयूबा में पैदा हुआ.	ఎపపుడూ సపెయిన వెళళలేదు. సపానిష మాటలాడతాడు. కయూబాలో పుటటాడు.
सैम सटाइन, लूसील बॉल का वकील.	లూసీల బాల నయాయవాది శామ సటెయిన.
-बताओ कौन है? -बिल? पैट? सैम?	-ఎవరో చెపపుకో? -బిల? పాట? శామ?
रिकी और लूसी रिकारडो के घर पर.	రికీ ఇంకా లూసీ రికారడో ఇంటలో.
शायद तुम एथल का किरदार निभाओ.	ఎథెల పాతర నువవు పోషిసతుండవచచు.
उसका इतालवी फिलम का ऑडिशन है.	ఆమెకు ఇటాలియన మూవీ ఆడిషన ఉంది.
