पहला खिलाडी हेंक रॉजरस	మొదటి పలేయర హెంక రాజరస
जूली आठ साल की है.	జూలీకి ఎనిమిదేళలు.
मॉसको में?	మాసకోలోనా?
अब उस पहलू की तरफ कोई नहीं देखता.	ఆ కోణానని ఇపపుడు ఎవరూ చూడటం లేదు.
-. . . बेसिक की शकति को. -बेसिक की शकति को.	-. . . బేసిక సామరథయానని. -బేసిక సామరథయానని.
-पर अगर तुम मेरे साथ आओगे तो. -कया?	-కానీ మీరు కూడా నాతో రావాలి. -ఏంటి?
एलेकसी!	అలెకసీ!
अकेमी रॉजरस?	అకెమీ రాజరస?
हेंक.	హెంక.
गुड मॉरनिंग!	గుడ మారనింగ!
तुमहारे पापा बहुत अचछे हैं	రాతరి పొదదుపోయాక వచచి కూడా
पापा, वह कौन है?	నాననా, ఎవరు ఈయన?
अंगरेजी?	ఇంగలీషా?
चलो, चलो, उठाओ.	ఎతతండి, ఎతతండి.
हैलो	హలో.
माया.	మాయా.
हेंक?	హెంక?
अकेमी?	అకెమీ?
एलोरग	ఎలారగ
जो कि मैं पहले ही ईमानदारी से ले चुका हूँ?	మళలీ కొతత ఒపపందంపె నేనెందుకు సంతకం చేయాలి?
कयोंकि राजय ने तय किया है कि "टेटरिस" मिररसॉफट में जाएगा.	కానీ "టెటరిస" మిరరర సాఫట కి ఇవవాలని పరభుతవం నిరణయించింది.
मि. मैकसवेल, विदेश वयापार मेरा विभाग है.	నాది విదేశీ వాణిజయ శాఖ, మిసటర మయాకస వెల.
उसने कया कहा?	అతను ఏమననాడు?
तुमहारे पास मेरा परसताव है.	నా ఆఫర ఏంటో మీకు చెపపా కదా.
हमने कर दिया.	మనం సాధించాం.
और 1965 में उनके एक सहयोगी को विदेश में अपनी किताब बेचने के आरोप में जेल हुई थी.	ఆయన సహచరుడు ఒకరు, తన పుసతకానని విదేశాలలో అమముకుననాడని 1965లో ఆయనని అరెసట చేశారు.
और इसने उनहें बरबाद कर दिया.	దానితో ఆయన నరకం అనుభవించారు.
लेकिन वे इसे फिर से कर रहे हैं, हेंक.	కానీ వాళలు మళలీ అలా చేసతుననారు, హెంక.
केजीबी?	కేజీబీ?
लेकिन वह. . .	కానీ తను. . .
कया मैं कोई संदेश ले सकती हूँ?	వాళలకేం చెపపాలో నాకు చెపపగలరా?
माया?	మాయా?
हे भगवान. नहीं.	దేవుడా. అయయయయో.
कुछ नहीं!	ఏమీ లేదు!
हैलो	హాయ.
हैलो	హాయ.
कया हो रहा है?	ఏం జరుగుతోంది?
निनटेंडो	నింటెండో
एलेकसी पजिटनॉव.	అలెకసీ పజిటనోవ.
तुमहें हमसे कया चाहिए?	మా నుండి నీకేం కావాలి?
मॉसको	మాసకో
वह वापस आ गया है.	అతను మళలీ వచచాడు.
हैलो	హలో.
कया हो रहा है?	ఏం జరుగుతోంది?
साशा!	సాషా!
कया हो रहा है?	ఏం జరుగుతోంది?
कौन सा तेजी से गिरेगा? फटाफट!	ముందు ఏది పడిపోతుంది? వేగంగా!
तुमहारे दोसत हेंक की तरह.	నీ సనేహితుడు హెంక లాగానే.
और तुमहें हैंडहेलड और वीडियो गेम दोनों पर बेचे गए परति यूनिट पर 50 सेंट देंगे.	హయాండ హెలడ, ఇంకా వీడియో గేమస లో అమముడయయే పరతీ యూనిట కి మీకు యాభె సెంటలు ఇసతాం.
नहीं.	లేదు.
पाँच मिलियन डॉलर?	యాభె లకషల డాలరలా?
बस एलोरग को दस लाख डॉलर भेज दो जिसका तुमहारे बेटे ने वादा किया था.	మీరు ఎలారగుకు ఇసతానని మాటిచచిన పది లకషల డాలరలను బదిలీ చేయండి చాలు.
और तुम कया हो?	మరి మీరు ఎవరు?
नहीं.	కాదు.
एलेकसी.	అలెకసీ.
तुम इसे तुमहारे लिए कर रहे हो.	లేదు, నీ కోసమే చేసుకుంటుననావు.
वॉकी टॉकी!	వాకీ టాకీ!
-पापा, कया हो रहा है? -कुछ नहीं.	-నాననా, ఏం జరుగుతోంది? -ఏం లేదు.
मैं एक अरब डॉलर का निगम चलाता हूँ. बेशक मेरे पास पैसा है.	నా సంసథ కోటల డాలరల విలువెనది. నా దగగర డబబులు ఎందుకు లేవు!
लेकिन, यार, मैं सच कह रहा हूँ.	కానీ నేను మనసఫూరతిగా చెపతుననా.
नहीं, यह अमेरिकी भावनाओं का समय नहीं है.	లేదు. అమెరికన భావావేశాలకి ఇది సమయం కాదు.
कुतते का. . .	దరిదరుడు. . .
वैलेनटिन इगरोविच. . .	వాలెంటిన ఇగరోవిచ. . .
पहला खिलाडी	మొదటి పలేయర
गेम पूरा हुआ	ఆట పూరతయింది
माया.	మాయా.
एलेकसी पजिटनॉव	అలెకసీ పజిటనోవ
पाँच मिनट के लिए. माँ को सच में बिसतर चाहिए.	. . . అయిదు నిమిషాలకు. అమమకు బెడ కావాలి మరి.
{\an8}रॉबरट मैकसवेल की रहसयमय मौत के बाद, कैविन मैकसवेल को अपने पिता के पेंशन चोरी के लिए	{\an8}అంతుచికకని విధంగా రాబరట మయాకస వెల మరణించాక, తండరి పాలపడిన పెనషన నిధుల మోసం విషయంలో,
अगली बार, कंपयूटरों को परिभाषित करें ताकि तुम अपने वीडियो गेम अधिकारों पर पकड बना सकें.	ఇకనుండి, కంపయూటరలంటే ఏంటో వివరంగా రాయండి, అపపుడు మీ వీడియో గేమ హకకులు మీ దగగరే ఉంటాయి.
-मैं तब तक रहूँगा जब तक तुम सुरकषित नहीं हो जाते. -एलेकसी, तुमने काफी जोखिम उठाया है.	-మీరు కషేమంగా వెళలేదాకా ఇకకడే ఉంటా. -అలెకసీ, ఇపపటికే నువవు చాలా రిసక తీసుకుంటుననావు.
तुमहारे पास विशववयापी हैंडहेलड अधिकारों के लिए परसताव देने के लिए एक हफता है.	పరపంచవయాపత హయాండ హెలడ హకకుల కోసం ఆఫర ఇవవడానికి మీకు వారం రోజుల సమయం ఇసతుననా.
तुमने अपने असफल वीडियो गेम के लिए इस बैंक से लिए उधार पैसों का इसतेमाल. . .	విఫలమెన నీ వీడియో గేమ కోసమని నువవు ఈ బయాంక నుండి అపపుగా తీసుకునన డబబుతో. . .
कयोंकि तुम जापान में "टेटरिस" के गरवित लाइसेंसधारी को देख रहे हो, कंपयूटर,	ఎందుకంటే, జపాన లో ఈ "టెటరిస"కి నేను హకకులు సొంతం చేసుకుననాను. కంపయూటర కి.
हालांकि इसे खुद आकर देने के लिए, हम बहुत सराहना करते हैं, मि. रॉजरस,	వయకతిగతంగా వచచి దీనని అందించినందుకు చాలా చాలా ధనయవాదాలు, మిసటర రాజరస,
मेरा मतलब, अगर वह कर रहा है, तो वह मुझसे जयादा लोगों को हटा रहा है.	అదే కనుక నిజమెతే, అతను నననేగాక చాలా మందిని పకకకు పెటటినవాడు అవుతాడు.
मैंने एक बडी कंपनी से इसका लाइसेंस लिया था जिसने मुझसे झूठ बोला था.	నేను దానని ఒక బడా సంసథ నుండి లెసెనస పొందాను, వాళలు ననను మోసం చేశారు.
-मैं बैंक को फोन करूँगा. मैं करज लूँगा. -नहीं. मैं ऐसा नहीं करूँगा.	-నేను బయాంకుకు కాల చేసి, రుణం తీసుకుంటా. -వదదు, అది మంచి పని కాదు.
मैंने तुमहारे लिए "टेटरिस" ढूँढा और तुमने मुझे कोई रॉयलटी नहीं दी!	నేను "టెటరిస"ని మీ దగగరికి తీసుకొసతే, మీరు నాకు రాయలటీలేవీ ఇవవలేదు.
मैं तुम लोगों की मदद करने की कोशिश कर रहा हूँ. मैं कैसे खतरा हुआ?	నేను మీకు మేలు చేదదామని చూసతుంటే, ఎందుకు ననను శతరువులా చూసతుననారు?
यह हावरड लिंकन है, मेरे वरिषठ उपाधयकष और मुखय कानूनी परामरशदाता.	ఈయన హొవరడ లింకన, మా సీనియర వెస పరెసిడెంట, ఇంకా చీఫ లీగల కౌనసిల.
वे राजय के सवामितव वाले खेत में हर रोज 18 घंटे काम करते थे.	వారు పరభుతవ ఆధీనంలోని పొలంలో రోజుకు 18 గంటలు పని చేసేవారు.
-बुलेट-परूफ, मैं हेंक बोल रहा हूँ. -हाँ, हैलो, मि. रॉजरस.	-బులలెట పరూఫ నుండి హెంక మాటలాడుతుననా. -హలో, మిసటర రాజరస?
बिना आमंतरण के सरकारी इमारत में परवेश करना बेहद अवैध है.	పరభుతవ భవనంలోకి ఆహవానం లేకుండా పరవేశించడం చాలా పెదద నేరం.
अब, अगर तुम मुझे माफ करो, तो मुझे एक भाषण तैयार करना है.	ఇక మీరు సెలవు ఇసతే, నేను వెళలి నా పరసంగానికి సిదధమవుతాను.
तुम जो चाहते हो, उसे पाने के लिए तुमने मेरा इसतेमाल किया.	నీకు కావాలసింది దకకించుకోవడం కోసం నువవు ననను ఆడుకుననావు.
तुमहारी तरह, मैं इस सथिति से सफल होकर निकलना चाहता हूँ.	మీలాగే, నేను కూడా మంచి ఒపపందంతో లాభం పొందాలనుకుంటుననా.
तुमहें हमारे कोलिएरस विशवकोश के परकाशन अधिकार मिलेंगे,	మా కొలియర ఎన సెకలోపీడియాలకు మీకు పబలిషింగ హకకులు ఇసతాం,
हमें बाहर जाना चाहिए. लेकिन किसी टुरिसट बार में नहीं.	మనం బయట సరదాగా గడపాలి. కానీ ఏదో ఒక టూరిసట బారులో కాదు.
और जब तक तुम पैसे नहीं देते, मैं उनहें नहीं दे सकता.	కానీ మీరు నాకు చెలలిసతే కానీ నేను వాళలకి చెలలించలేను.
मुझे फोन आया कि बचचों को सकूल से घर भेज दिया गया है?	పిలలలని సకూల నుండి ఇంటికి పంపారని నాకు ఫోన వచచింది.
कॉमरेड गोरबाचेव, देखो वे आपको कितना सममान देते हैं.	కామరేడ గొరబచవ, వీళళు మీపె కురిపిసతునన పరేమని చూడండి.
मैं इसे परकाशित करूँगा और सारे अगरिम खरचे उठाऊँगा.	దానని నేను పబలిష చేసతా, రిలీజ కి ఖరచులననీ భరిసతా.
मैंने इसे तुमहें भेजने के लिए मिररसॉफट को दिया था.	మీకు పంపమని నేను దానని మిరరర సాఫట కి కూడా ఇచచానే.
बढिया. चलो हसताकषर करते हैं और हम घर जा सकते हैं.	సరే. ఇక సంతకం చేయండి, మేము మా దేశానికి వెళలిపోతాం.
विशववयापी वीडियो गेम और हैंडहेलड अधिकारों के लिए.	నింటెండో ఇపపుడే రషయనలకు యాభె లకషల డాలరలు ఇసతానంది.
हेंक, रूस में कोई वीडियो गेम का बिजनेस नहीं है.	హెంక, రషయాలో వీడియో గేమస వయాపారమనేదే అససలు లేదు.
बिजनेस पारटनर के तौर पर नहीं, तो फैन के तौर पर.	వయాపార భాగసవామిలా కాకపోయినా, కనీసం ఒక అభిమానిగా.
. . . जहाँ आपकी जीतने की संभावनाएँ बहुत कम हैं,	. . . అకకడ మీకు నషటం జరిగే అవకాశమే ఎకకువ ఉంది,
लेकिन रात में, वह मनोरंजन के लिए गेम बनाता था.	రాతరి అయితే మాతరం, సరదాగా ఆటలను కనిపెడుతుంటాడు.
तुमने मुझसे यह वादा तो नहीं ही किया था, हेंक.	నువవు నాకు ఈ విషయం గురించి ఏమీ చెపపలేదు, హెంక.
लेकिन हमने अभी तक हैंडहेलड पर चरचा नहीं की है.	కానీ మనం హయాండ హెలడ గురించి మాటలాడుకోనే లేదే.
सामयवाद कभी भी आजादी को रोकने के लिए नहीं था.	సవేచఛకి అడడుగా ఉండాలననది కమయూనిజం ఉదదేశం కాదు.
मि. बेलिकॉव, उसकी बकवास में मत पडो. हर एक. . .	మిసటర బెలకొవ, వాడి సోదికి భయపడకండి. పరతీ. . .
मैंने वेगस में तुमहारे आदमी के साथ डील की थी.	నేను వేగస లో మీ మనిషితో ఒపపందం కుదురచుకుననా.
तुम कह रहे हो कि तुमने यह गेम कभी नहीं देखा?	అయితే, ఈ ఆటని మీరు ఎపపుడూ చూడలేదని అంటుననారా?
ठीक है, लेकिन होटल में फैकस मशीन है, है ना?	సరే, కానీ హోటల లో ఫయాకస మెషిన ఉంటుంది కదా?
लेकिन अभी मुझे तुमहारी माँ से बात करनी है.	కానీ ఇపపుడు ఫోన అమమకి ఇవవు, తనతో మాటలాడాలి.
मेरी सेलसगरल भी इसमें दिलचसपी नहीं रख पाई.	నా సేలస గరల కి కూడా ఆసకతి కలిగించలేకపోయా.
और निनटेंडो हम पर धोखाधडी का मुकदमा करेगा,	మోసం చేశామని నింటెండో మనపె కేసు వేసతుంది,
कया अब अमेरिकी भावनाओं के लिए अचछा समय है?	ఇపపుడెనా అమెరికా భావావేశ రుచి చూపించవచచా?
या तुम यहाँ रहो और परिणामों का सामना करो.	లేదా, ఇకకడే ఉంటే పరయవసానాలు అనుభవిసతారు.
हम चाहते हैं कि आप दो लाख कारटरिज बनाएँ.	మీరు రెండు లకషల కయాటరిడజులని చేసివవాలి.
तुमहारी वजह से हेंक रॉजरस वापस आ गया है.	హెంక రాజరస నీ వలలే మళలీ ఇకకడికి వచచాడు.
दुरभागय से, यह एक सामाजिक दौरा नहीं है.	దురదృషటవశాతతూ, నేను చుటటం చూపుగా రాలేదు.
एलेकसी और उसके साथ काम करने वाले कुछ दोसतों ने गेम को आईबीएम के अनुकूल बनाया.	అలెకసీ, ఇంకా అతని సహోదయోగులు కొందరు ఆ ఆటని ఐబీఎంలో ఆడగలిగే విధంగా రూపొందించారు.
हमें सोविएत संघ को कुछ पैसे देने चाहिए.	సోవియెటలకు మనం కొంత చెలలిసతే మంచిదేమో.
उसने तुमहारे साथ जो किया, उसके बाद भी?	అతను మిమమలని అంతగా మోసం చేశాక కూడానా?
हम काम करने के लिए कुछ और ढूँढ लेंगे.	మనం ఇంకేదెనా విషయంలో కలిసి పని చేదదాం.
तुम मेरी मदद कयों कर रहे हो, बेलिकॉव?	ఎందుకు నాకు సాయం చేసతుననారు, బెలకొవ?
हैंडहेलड अधिकार और वे विशववयापी वीडियो गेम अधिकारों का भी वादा कर रहे हैं.	హయాండ హెలడ హకకులు సాధించా, పరపంచవయాపత వీడియో గేమ హకకులు కూడా ఇసతామననారు.
लेकिन तुम अभी भी इसे ठीक कर सकते हो.	కానీ ఇపపటికీ నువవు దీనని సరి చేయగలవు.
{\an8}रॉबरट सटाइन एंडरोमेडा सॉफटवेयर	{\an8}రాబరట సటెన ఆండరోమెడా సాఫట వేర
हेंक रॉजरस. बुलेट-परूफ सॉफटवेयर से.	హెంక రాజరస ని. బులలెట పరూఫ సాఫట వేర.
पूरे संघ में सरकारी करमचारियों दवारा परतिदिन घंटों इसे खेला जा रहा था.	సోవియెట యూనియన లోని పరభుతవ ఉదయోగులందరూ గంటలు గంటలు మీ ఆటనే ఆడుతూ ఉననారు.
मैं हमेशा की तरह तुमहें बचा रहा था.	ఎపపటిలాగా, నీకు సాయపడుతుననారా నాయనా.
वह कहता है कि आजे के लिए बहुत हुआ.	ఇవాళటికి చరచలు ముగిశాయని అంటుననాడు.
हेंक रॉजरस की टीम एलोरग जा रही है.	హెంక రాజరస బృందం ఎలారగుకు వెళతోంది.
जो मेरी उममीद के मुताबिक नहीं हुआ.	కానీ అది నేను అనుకుననటటుగా జరగలేదు.
आशचरय है कि यहाँ इतना लोकपरिय खेल विदेशों में पैसा नहीं कमा रहा है.	ఇకకడ ఇంత ఆదరణ దకకించుకునన ఆట బయటి దేశాలలో అమముడు అవవటలేదు ఎందుకో ఏమో.
मुझे पता है, लेकिन तुम जानती हो कि ये बैंक वाले कितने अजीब होते हैं.	నాకు తెలుసు, కానీ ఈ బయాంకువాళలు ఎంత దారుణమెనవాళలో నీకు తెలుసు కదా.
-मुझे पता है. -हेंक गॉडडैम रॉजरस.	-నాకు తెలుసు. -వారెవవా హెంక రాజరస.
और मैं सब कुछ संभालने की कोशिश कर रहा हूँ, अकेमी, सच में कर रहा हूँ.	ఆ సమసయ నుండి ఎలా బయటపడాలా అనే నేను చూసతుననా, అకెమీ, నిజం చెపతుననా.
मि. मैकसवेल. तुमहारा सवागत है. . .	మిసటర మయాకస వెల, మీకు సవాగతం. . .
मैं गलत था. तुम इसके लायक नहीं हो.	నేను పొరబడడాను. నాకు ఆ అరహత లేదు.
मैं अपना परिचय दे सकता हूँ, पापा.	నా పరిచయం నేనే చేసుకుంటా, నాననా.
कैविन मैकसवेल, मिररसॉफट का सीईओ.	కెవిన మయాకస వెల, మిరరర సాఫట సీఈఓ.
तो, तुम इसे मारियो के साथ बेचोगे?	దీనని "మారియో"తో పాటు అందిసతారా?
खैर, तो मैं टूरिसट वीजा ले लूँगा.	అయితే టూరిసట వీసా మీద వెళతానులే.
मैं मूल रूप से एडी वैन हेलन हूँ.	నేను ఎడడీ వాన హేలెన అని చెపపవచచు.
तो, हेंक, तुमहें मॉसको कैसा लगा?	హెంక, మీకు మాసకో ఎలా అనిపిసతోంది?
मैं तुमसे वही बात पूछने वाला था.	నేను కూడా మిమమలని అదే అడగబోతుననా.
हाँ, मैंने पढा. यह उचित नहीं है.	హా, చదివా. . . అది అనయాయంగా ఉంది.
हम चोरों के देश में बदल रहे हैं.	దేశం దోపిడీ దొంగలతో నిండిపోతోంది.
लेकिन इससे समसया सुलझती नहीं है.	కానీ దాని వలల సమసయ పరిషకారం కాదు.
और अब मुझे पता चला है कि तुम रॉबरट सटाइन के साथ बातचीत कर रहे हो.	ఇపపుడేమో రాబరట సటెన తో మీరు చరచలు జరుపుతుననారని నాకు తెలిసింది.
नहीं, नहीं, नहीं. यह एक परतिसपरधी बोली थी और मैंने यही डील की थी.	లేదు, లేదు. "టెటరిస" కోసం చాలా పోటీ ఉండింది, నేను ఆ ఆఫర ఇచచాను.
और मेरे पास इतने सारे सवाल हैं.	నేను మిమమలని చాలా పరశనలు అడగాలి.
वह बेवकूफ है. पर वह ईमानदार है.	వీడు పిచచోడే గానీ నిజాయితీపరుడు.
-वह यहाँ कया कर रहा है? -इस पढो.	-ఇకకడ అతనికేం పని? -ఇది చదవండి.
मैंने अभी तक पेश नहीं किया है.	నేను ఇంకా ఆఫర ఏమీ చెపపలేదు కదా.
हम पुशकिन मयूजियम जा सकते हैं.	మనం పుషకిన మయూజియమ కి వెళలవచచు.
हाँ, हैलो. मैं हूँ हेंक रॉजरस.	అవును. హాయ, నా పేరు హెంక రాజరస.
सेगा को जापान में "टेटरिस" आरकेड बेचने का अधिकार किसने दिया?	జపాన లో "టెటరిస" ఆరకేడ ని అమమడానికి సెగాకి ఎవరు హకకులు ఇచచారు?
मिररसॉफट के साथ तुमहारा अनुबंध.	మిరరర సాఫట తో మీకు ఉనన ఒపపందం.
तुमहें बस इतना करना था कि भुगतान करना था. मेरा पैसा कहाँ है?	నువవు చేయాలసిందలలా నాకు ఇసతాననన డబబులు ఇవవడమే. నా డబబులు ఎకకడ?
लेकिन अब उनके पास कमबखत हमारा गेम वाला एक हैंडहेलड डिवाइस है.	కానీ ఇపపుడు వారి దగగర ఉనన హయాండ హెలడ పరికరంలో మన ఆట ఉందేమో.
वह निनटेंडो का परतिनिधि है और वे तुमहें कभी रिशवत नहीं देंगे.	అతను నింటెండోకి పరతినిధి, వారు మీకు లంచం ఇచచే అవకాశమే లేదు.
वह पूछता है कि कया आपने हेंक रॉजरस को "टेटरिस" वीडियो गेमस की बिकरी के लिए अधिकृत किया है.	"టెటరిస" వీడియో గేములు అమముకోడానికి హెంక రాజరస కి మీరు అధికారం ఇచచారా అని అడుగుతుననారు.
कृपया अपनी सीट बेलट बांध लें.	దయచేసి మీ సీట బెలట పెటటుకోండి.
इसलिए माइक टाइसन के पास वह शखस है जिसे वह मुकके मार रहा है.	అందుకే మెక టెసన కి "పంచ అవుట"లో తననులు తినే వయకతి ఉననాడు.
पापा को अपने बिजनेस टरिप के लिए तैयारी करने के लिए जाना है.	నేను పని మీద వేరే చోటికి వెళతుననా, కాబటటి నేను తయారవవాలి.
-हैलो. -मैं निनटेंडो, अमेरिका से हावरड लिंकन बोल रहा हूँ.	-హలో. -నింటెండో, అమెరికా నుండి హొవరడ లింకన ని మాటలాడుతుననా.
निनटेंडो दुनिया में सबसे लोकपरिय वीडियो गेम कंसोल है, सर.	నింటెండో అనేది పరపంచంలో అతయంత పరజాదరణ పొందిన గేమ కనసోల, సర.
"माफ करना" हमारे नयायालयों में काम नहीं करेगा, मि. रॉजरस.	"మననించాలి" అనే పదం మా నయాయసథానాలలో పని చేయదు, మిసటర రాజరస.
मेरे पास दिन-परतिदिन के पहलुओं में दखल देने का समय नहीं है.	రోజూ జరిగే చినన చినన వాటి గురించి మాటలాడే సమయం నాకు లేదు.
तुमहें पहले आशय पतर पर हसताकषर करना होगा. यह परोटोकॉल है.	మీరు ముందు లెటర ఆఫ ఇంటెట పె సంతకం చేయాలి. అది ఇకకడి విధానం.
तुम मुझे यह कयों बता रहे हो?	ఇదంతా నాకు ఎందుకు చెపతుననావు?
तुमहें दो मिलियन डॉलर चाहिए?	నీకు ఇరవె లకషల డాలరలు కావాలా?
मुझे पता है. हम मिल चुके हैं.	హా, నాకు తెలుసు. మనం కలిశాం.
लेकिन मुझे घर पर फोन करना है.	కానీ నేను ఇంటికి కాల చేయాలి.
और हमें लिवाइस की जीनस चाहिए.	మాకు లివెస జీనస కూడా కావాలి.
धयान रहे, सभी खरचों को मेरे बोरड दवारा मंजूर किया जाएगा.	ఖరచులననీ నా బోరడు ఆమోదించాలసి ఉంటుంది అనేది గురతుంచుకోండి.
उसके एजेंट से बात कर रहा है.	అతని ఏజెంటుతో మాటలాడుతుననాడు.
इसे हेंक रॉजरस के पास ले जाओ.	దీనని హెంక రాజరస కి పంపించు.
मेरा काम विशिषट मामलों में दखल देना नहीं है, मि. रॉजरस.	చిననా చితకా పనులని పటటించుకోవడం నా పని కాదు, మిసటర రాజరస.
{\an8}देवियों और सजजनों. . .	{\an8}సోదరసోదరీమణులారా. . .
नहीं, मुझे मि. मैकसवेल कहो.	కెవిన కాదు, మిసటర మయాకస వెల.
हम जून में लॉनच कर रहे हैं.	దీనని జూన లో లాంచ చేసతుననాం.
हेंक रॉजरस, चेक इन करना है.	హెంక రాజరస, చెక ఇన చేసతుననా.
तुम कई जगहों पर रह चुके हो.	మీరు చాలా పరదేశాలు తిరిగారు.
कुरसी को तेजी से गिरना चाहिए कयोंकि यह भारी है, है ना?	కురచీ బరువు ఎకకువ కాబటటి, అదే వేగంగా పడిపోవాలి, కదా?
सब कुछ उसी गति से गिरता है.	అననీ ఒకే వేగంతో పడిపోతాయి.
{\an8}यह एलेकसी पजिटनॉव है.	{\an8}ఇతను అలెకసీ పజిటనోవ.
उनकी परोफेसर की नौकरी चली गई और उनहें फिर से असली नौकरी करने से रोक दिया गया,	ఆయనని పరొఫెసర పదవి నుండి తొలగించారు, ఇంకెపపటికీ ఉదయోగం రాకుండా నిషేధం విధించారు,
मि. रॉजरस, निनटेंडो के पास हैंडहेलड डिवाइस नहीं है.	మిసటర రాజరస, నింటెండో వదద హయాండ హెలడ పరికరం లేదు కదా.
{\an8}रॉबरट सटाइन ने गेम का लाइसेंसिंग को जारी रखा.	{\an8}రాబరట సటెన ఆటలకు లెసెనస పొందే పని కొనసాగించారు.
यह सच नहीं है कयोंकि मैंने उसे आज सुबह देखा था और उसकी कार अभी भी बाहर खडी है.	అది నిజం కాదు, ఎందుకంటే, ఈ ఉదయమే నేను అతడిని చూశా, ఆయన కారు కూడా బయటే ఉంది.
लेकिन मैं तुमहारा शो देखने के लिए बेताब हूँ, ठीक है?	కానీ నీ షోని చూడాలని నాకు చాలా ఆతరంగా ఉంది, సరేనా?
