जेरलामरेल का एक संदेश.	జెరలామరెల యొకక సందేశం.
उसके लहजे ने मुझे कंजुआ में बिताए समय की याद दिला दी,	అతని యాస, విచచలవిడిగా డబబులు తగలేసతునన గొపపవంశసథులకు
मेरे लोगों ने हमेशा मेरे साथ ऐसा वयवहार किया.	మా వాళళు కూడా నాతో ఎపపుడూ అలానే పరవరతించేవారు.
तुमहारे साथ जैसा बरताव किया गया, यह गलत था.	నీ వాళళు నీతో వయవహరించిన తీరు సరెనది కాదు.
मैं अपने जीवन में एक भी कीडे से नहीं मिली.	నా జీవితంలో నేను ఒకక పురుగుని కూడా చూడలేదు.
वह अपने अंतिम दिन बहुत दुख में बिताता है.	తన ఆఖరి రోజులు చాలా విషాదకరంగా గడుపుతుంది.
कया मतलब है "अटक गई है"? कहाँ अटक गई है?	"ఇరుకకుపోయింది" అంటే? ఎకకడ ఇరుకకుపోయింది?
उसने मुझसे फुसफुसा कर कहा, "सावधान रहो. "	"జాగరతత" అని నాకు గుసగుసలాడుతూ చెపపింది.
- आराम से. - हम पीछे नहीं हट रहे हैं.	-సందేహమే లేదు. -మనం వెనుతిరిగేది లేదు.
तुमहारी माँ की चीजों का जो भी महतव हो,	మీ అమమ వసతువులు ఎంత ముఖయమెనవెనా కానీ,
ऐसा लगता है कि वह सीधे वहाँ नहीं गए.	అతను అకకడికి నేరుగా వెళలినటటు లేడు.
वे वही हैं जिनहोंने हमारी चीजें ली.	మన వసతువులను తీసుకువెళలింది వీళళే.
तुमहारे पिता दवारा तुमहें दिए गए कुछ हलके गहने इतने महतवपूरण कयों हैं	మీ నానన నీకిచచిన ఆ చినని నగలని మరలా పొందడానికి, నీ పిలలల జీవితానని,
मेरी देखभाल के लिए कोई नहीं था जैसे कि आप एक दूसरे के लिए करते हैं.	మీ కుటుంబ సభయుల పటల మీరు చూపిసతునన ఆదరణ నాకిదివరకూ ఎవవరూ చూపలేదు.
इसलिए मैं तुमहारे पास आ रही हूँ.	అందుకని నేనే నీ చెంతకు వసతుననాను.
यह पानी बहुत समय से ठहरा हुआ था.	ఈ మృగం చాలా కాలం నిదరావసథలో ఉంది.
मैं तुमहारा भरम समझती हूँ, और मैं तुमहारी जिजञासा को समझ सकती हूँ.	నీ అయోమయానని అరథంచేసుకోగలను, అలాగే నీ కుతూహలానని కూడా భరించగలను.
बाबा, मैंने उसका हाथ पकडा हुआ था.	బాబా, తన చేతిని పటటుకొనే ఉననాను.
मेरे लिए, यह मुझे उन लोगों के करीब ले आया जिनकी मैं छाया बनी.	నాకు మాతరం, నేను నీడలా అనుసరించిన వారికి అది ననను దగగర చేసింది.
उसके साथ एक जानवर की तरह वयवहार होने से बचाने के अलावा. . .	ఇతడిని జంతువుగా చూసే ఆ చెర నుండి బయటపడేయవచచు అంతేకాకుండా. . .
उसका और कया मतलब हो सकता है?	అతని ఉదదేశం ఇంకేమయయుండవచచు?
कया वे तुमहें पसंद करते हैं?	మరి నువవంటే వాళళకి ఇషటమేనా?
लेकिन मैं वादा करती हूँ. . .	కానీ నేను మాటిసతుననాను. . .
कभी राजधानी से इतनी दूर नहीं गई कि मैं इसे सुन न सकूँ.	ఆ శబదం వినబడనంత దూరం రాజధానిలోనే నేను వెళలింది లేదు.
तुम उससे बेहतर के लायक हो.	నిననింకా బాగా ఆదరించుండాలి.
अपने जीवन को ऐसे जीते हैं?	పనికొచచేదంటూ ఏదీ లేకుండా?
इसमें थोडा समय लग सकता है.	దానికి కాసత సమయం పటటవచచు.
मेरे साथ परारथना करो. . .	నాతో పాటు పరారథించు. . .
हाँ. शायद कुछ समय के लिए, यह तुमहें खुश कर देगा.	అవును. కొంతకాలం పాటు, అది నినను నివవెరపరచవచచు.
वे रात में काम करते हैं, और दिन में सोते हैं.	వీళళు తమ పనంతా రాతరి చేసేసి, పగలంతా నిదరపోతారు.
वे तुम पर चिललाते हैं.	నీ మీద అరుసతూ ఉంటారు.
हाँ, तुम रहोगे, बेटा.	అలాగే, తపపకుండా, బాబు.
माँ कहाँ हैं? कया हुआ?	అమమ ఏది? ఏం జరిగింది?
"मेरे पयारे बचचों, "	"నా పరియమెన పిలలలారా,
नदी मुझ तक पहुँचने के लिए तुमहारे लंबे सफर का पहला कदम है. '	ఈ నది, మీరు నా వదదకు సాగించబోయే సుదిరఘపు పరయాణంలో తొలి అడుగు. "
वे हमेशा नहीं समझते.	ఎలలపుడూ అరథంచేసుకోరు.
तो, वैसे भी, इसका तुमसे कया लेना देना है?	ఏదేమెనా, నీకూ, వీటననింటికీ ఏంటి సంబంధం?
मुझे मृत महिला की आवाज सुनाई दे रही है.	నాకు చావబోయే మహిళ యొకక గొంతు వినబడుతోంది.
कितना जयादा उबाऊ है.	ఎంతో దురభరంగా ఉంది.
आप उसे नहीं खोएँगे.	నువవు పోగొటటుకోవులే.
जो नहीं जानते कि तुम उनहें देख रहे हो?	వారిని గమనించడం ఎలా ఉంటుందో నీకు చెపపనా?
सब कुछ ठीक हो जाएगा.	అంతా సరదుకుపోతుంది.
उनहोंने कहा कि मैं उनके जैसा नहीं था.	నేను వాళళలాంటివాడిని కాదని అనేవారు.
तुम उसे यहाँ अचछी तरह से जान पाओगी.	తన గురించి ఇకకడ నీకు బాగా తెలుసతుంది.
मुझे यह अचछा लगा.	అలాగే చెపతానులే.
लगता है मेरे माता-पिता बुदधिमान थे	అటువంటి సమాచారం వాళళకు చెపపకుండా
तुमहारे लहजे ने उनहीं दिनों की याद ताजा कर दीं.	నీ యాస కూడా నాకు అవే జఞాపకాలను గురతుకుతెపపిసతోంది.
कयोंकि इस यातरा के अंत में. . .	ఎందుకంటే మన ఈ పరయాణం ముగిశాక. . .
रेशम का कीडा एक आकरषक पराणी है.	పటటుపురుగు అనేది అబబురపరిచే జీవి.
नहीं, वह मेरा हाथ छुडा कर चली गई.	లేదు, తనే నా చేతిని వదిలేసింది.
शायद मुझे पता है कि हमारी चीजें कौन ले गया. देखो.	మన వసతువులని తీసిందెవరో నాకు తెలుసు. అటు చూడు.
मुझे यकीन है कि अगर उस कहानी में कुछ और भी था जितना तुमने बताया,	నువవు చెపపిన కథలో ఏమెనా విషయాలు నువవు వెలలడించకుండా ఉండుంటే,
कया तुम यह कह रही हो कि हम उसे अपने साथ ले जाएँ?	ఇతడిని కూడా మనతో పాటే తీసుకెళదామని అంటుననావా?
कया हम कह रहे हैं कि वह इस तरह का निरणय लेने में असमरथ है?	ఆమెకి అలాంటి నిరణయం తీసుకొనే సమరథతే లేదని చెపపదలుచుకుంటుననామా?
और शायद अगर आप सुनें, हो सकता है कि यह आपको अपने रहसय बता दे.	మీరు ఆలకిసతే, అది మీకు తన రహసయాలని కూడా చెపపే అవకాశముంది.
मुझे नहीं याद.	నాకు గురతులేదు.
और अगर मुझे ऐसा होने से रोकना होता, पैरिस,	నేనే కనుక దీనని అడడుకోవాలని అనుకుంటే, పయారిస,
मेरा परिवार मुझे पयार करता है.	నా కుటుంబానికి నేనంటే పరాణం.
और मुझे संदेह है कि जेरलामरेल भी जानता था.	జెరలామరెల కి కూడా తెలిసే ఉంటుందని నా అనుమానం.
और मुझे डर है कि वहाँ. . .	నా భయమేంటంటే, ఇందులో మన. . .
एक आदमी नहीं, बलकि कुछ और.	మనిషిని కాకుండా, ఇంకేదో అని.
कि दुनिया के सबसे धनी पुरुष,	తమ భారయలకి, ఉంపుడుగతతెలకి,
उससे अलावा वह हमारे लिए लाभदायक है, एक कुशल सेनानी. . .	ఒక నేరపుగల యోధుడిగా ఇతను మనకు బాగా పనికివసతాడు. . .
और उनहोंने फिर भी हमें कहा.	అయినా తను మనలని అడిగింది.
लोगों का एक समूह, और वे गुनगुना रहे हैं.	కొందరు వయకతులు కూనిరాగాలు తీసతుననారు.
वहाँ कोई नहीं है. यह सुनसान दिखता है.	అకకడ ఎవవరూ లేరు. అంతా నిరమానుషయంగా ఉంది.
वह हम में से किसी के लिए भी ऐसे ही करती.	మనలో ఎవవరికోసమెనా తను ఈ పని చేసతుంది.
वह ऐसी सुंदरता, ऐसी पूरणता भरा एक पदारथ बनाता है,	తను ఎంత సుందరమెన, ఇంకా సరియెన వసతువును సృషటిసతుందంటే,
मेरे दोसत, तुम मुझे यहाँ नहीं चाहते.	నేసతమా, నేనికకడ ఉండటం నీకంత యోగయం కాదు.
लंगर उठा हुआ है, लेकिन यह अटक गई है.	లంగరు తీసేసాను కానీ, పడవ ఇరుకకుపోయింది.
नाजुक हाथ, जिनहोंने कभी काम नहीं किया.	పనికి అలవాటు పడని సుననితమెన చేతులు.
मुझे लगता है, तुम एक कुलीन सतरी थी.	నువవో గొపపవంశసథురాలివని అనుకుంటుననాను.
ईशवर ने हमें छोड दिया है!	దేవుడు మనలని వదిలేశాడు!
कया तुम मुझे सुन सकते हो?	నా మాటలు వినబడుతుననాయా?
मैंने अपना पूरा जीवन उसी में बिताया.	నా జీవితమంతా అందులో మునిగితేలాను.
मेरे पास सब है जो तुम चाहो. मेरे पास अँगूठियाँ हैं. भगवान निरमित चीज है.	మీకేం కావాలననా అది నా దగగరుంది. నా వదద ఉంగరాలుననాయి. దెవెముక ఉంది.
वे कर सकते हैं. लेकिन यह उनहें धीमा कर देगा.	పరయాణించగలరు. కానీ, ఇది వాళళ వేగానని తగగిసతుంది.
टैमैकटी जून!	టమాకటీ జూన!
मुझे आशचरय है कि ऐसा दावा करने वाली तुम कौन हो.	అలాంటి పరకటన చేయడానికి నువవెవరవు అయయుంటావు.
पता चला, कुछ भी नहीं सुनाई देता.	చూసతుంటే, పెదదగా ఏమీ లేదనిపిసతోంది.
मुझे अकेले जाना होगा.	నేను ఒంటరిగానే వెళళాలి.
तुम उसके बारे में और कया जानती हो?	ఇతని గురించి ఇంకా నీకేం తెలుసు?
आप जो भी कहेंगे, मैं वह करूँगा.	మీరేమడిగినా చేయడానికి నేను సిదదమే.
पर अगर तुमने उनमें से एक को जगा दिया, अनय जलदी से आ जाएँगे.	కానీ నువవు ఒకకరిని లేపినా, వెంటనే అందరూ బయటకు వచచేసతారు.
इतने साल याद रखने के लिए कुछ ठोस.	ఇననేళళూ నాకు ఆధారంగా నిలిచాయి.
कितने आदमी हैं, मैं कह नहीं सकता.	కానీ ఎంత మంది ఉననారో చెపపలేను.
यहाँ कोई रहसय नहीं है.	ఇకకడ ఏ రహసయాలూ లేవు.
हमारा भाई.	మా సోదరుడు.
मैंने भी वही चिंताएँ वयकत की हैं.	నీ ఆందోళననే నేనూ వయకతం చేశాను.
कितना सुहाना दिन है.	ఎంతటి ఆహలాదకరమెన రోజు.
अपनी माँ और पैरिस को ले जाओ और उनके लिए आशरय खोजो.	అమమనీ, పయారిస ని ఎకకడికెనా తలదాచుకొనే చోటుకి తీసుకెళళు.
वह हमेशा से समझता है.	వాడికి ఆ గుణం ఉంది.
मैंने तय किया है कि मैं इस शहर के लिए नहीं मरूँगी. यह शहर मेरे लिए मरेगा.	ఈ నగరం కోసం చావకూడదని నేను నిరణయించుకుననా. ఈ నగరమే నా కోసం చావాలి.
देखो मैंने कया किया.	నేనేం చేశానో చూడు.
ठीक है. अचछा बचचा.	సరేమరి. మంచి కుకకవి.
कोई अकेला कहीं नहीं जा रहा है.	ఒంటరిగా ఎవవరూ వెళళేది లేదు.
लेकिन. . .	కానీ. . .
लेकिन. . . जब उनके बचचे का जनम हुआ. . .	కానీ. . . అతని బిడడ జనమించగానే. . .
मैंने थोडा सा समय बिताया. . .	ఇటీవలి కొదదిపాటి సమయం. . .
उनहोंने ओपायोल से संपरक किया.	ఒపాయోల పరజల వదదకి వెళళాడు.
कया तुम जानना चाहोगी कयों?	ఎందుకో నీకు తెలుసుకోవాలనుందా?
उनहोंने तुमहें मुखौटा कयों पहनाया?	నీ ముఖానికి ఎందుకు ముసుగు వేయించేవారు?
हाँ. इधर, पिताजी.	ఆ. ఇకకడుననా, నాననా.
कया वासतव में लोग किसी भी महतव के अभाव में. . .	నిజంగా పరజలు ఇలాగే జీవనం సాగిసతుంటారా. . .
तुमहारी कहानी अब खतम हुई.	నీ కథ ఇంతటితో ముగిసిపోయింది.
वह वही करती है जो सही है.	ఏది సరెనదో అదే తను చేసతుంది.
कया तुम मुझे सुन सकते हो?	నీకు నా మాటలు వినబడుతుననాయా?
और मुझे लगता है उनहोंने तुम दोनों की रकषा के लिए इसे राज रखा.	మీ ఇదదరినీ కాపాడటానికే ఆ విషయం రహసయంగా ఉంచారని నా బావన.
मुझे लगता है कि शायद मैंने उसका मतलब गलत समझा है.	అతని ఉదదేశానని వేరేగా అరథంచేసుకుననానేమోనని అనిపిసతుంది.
उनके लिए खोज करने और चोरी करने के लिए मजबूर किया.	బలవంతంగా ఇతని చేత దోపిడీలు, దొంగతనాలు చేయించుకొనేవాళళు.
तुम सभी की. . . मैंने खतम कर दी.	మీ అందరి కథని. . . నేను ముగించేశాను.
या बिना किसी कारण.	కారణం లేకపోయినా.
और बोलो.	ఇక చెపపు.
शायद कभी तुम मुझे उनके बारे में कुछ और बता सको.	బహుశా ఇంకెపపుడెనా అతని గురించి నువవు నాకు చెపపవచచులే.
उनहोंने उनके बीच एक बचचे को जनम दिया और उसे छोड दिया.	వాళళ మధయ అతను ఓ కొడుకుని కని, అతడిని వదిలేశాడు.
चुडैलें फरार हो गई हैं.	మాంతరికులు తపపించుకుననారు.
कया तुमहें उस पर भरोसा है?	నీకితని మీద నమమకం ఉందా?
इसका हिससा बनने के लिए,	అందులో భాగం పంచుకోవడానికి,
तुमहें याद दिलाती हुई कि आज तुमने कितनी बडी गलती की.	మీ గొంతులను కోసేటపపుడు నేను కూడా అకకడే ఉంటాను.
किसी भी जानकारी की सौदेबाजी नहीं हो रही है.	సమాచారం ఇచచిపుచచుకోవడం లాంటిదేమీ లేదు.
ओपायोल ने बूटस को एक गुलाम की तरह रखा.	బూటస ని ఒపాయోల వారు ఒక బానిసలాగా చూడసాగారు.
मेरा कुछ बहुत महतवपूरण है. हमें इसे वापस लाना होगा.	నాకు చాలా ముఖయమెనది. మనం దానని దకకించుకోవాలి.
कया मैं तुमहें बताऊँ कि कैसा लगता है लोगों को देखना	నువవు జనాలని గమనిసతుననావని వారికి తెలియనపపుడు
वे इसे पार नहीं कर सकते, है न?	దీని గుండా వాళళు పరయాణించలేరు కదా?
यदि तुम मेरे लिए कडी मेहनत करोगी, तुम अचछे से रहोगी.	నువవు నాకోసం కషటపడి పనిచేసతే, నీ జీవితం సాఫీగా సాగిపోతుంది.
वे तुमहारे लिए पूरी तरह से कमजोर होते हैं.	వాళళ జీవితం నీ గుపపెటలోకి వచచేసతుంది.
मैं हमेशा सोचती थी कि अगर मैं थोडी सी बाहर जाऊँ तो दुनिया कैसी. . .	ఇంకాసత ముందుకు వెళతే ఈ పరపంచం ఎలా ఉంటుందోనని నేనెపపుడూ. . .
वे पुरुष जो अपनी पोशाकें, अपनी पतनियों की, अपनी उपपतनी की,	అలాగే దుసతులు ధరించే పరపంచంలోనే అతయంత సంపనన మగవారు,
मैं तुमसे पयार करता हूँ. जाओ.	నువవంటే నాకు పరాణం. వెళళు. వెళళు.
मेरे पास एक घोडा है. उसे पानी चाहिए.	నా వదద ఓ గురరం ఉంది. దానికి నీళళు కావాలి.
उतकृषट उँगलियाँ.	నాజూకెన వేళళు.
तुमने बहुत अचछा किया. इसके लिए शुकरिया. यह. . . एकदम सही रहेगी.	మీరిదదరూ చకకని పనితీరు కనబరిచారు. ధనయవాదాలు. తను. . . సరిగగా సరిపోతుంది.
वे खतरा मोल लेकर निहतथे चले गए कयोंकि तुमने ऐसा कहा था.	నిరాయుధులుగా ఇపపుడు పెనుపరమాదంలోకి అడుగుపెటటారు.
आपने खुद ही कहा, कि वे शायद सो रहे हैं.	వాళళు పడుకొనుండవచచని నువవే అననావు.
वे निशचित रूप से वहाँ नीचे हैं.	అకకడ ఖచచితంగా వాళళు ఉననారు.
मुझे नहीं लगता कि मेरा सबसे छोटा हिससा भी इसके लिए सुसजजित है.	నాలో ఏ అణువు కూడా అందుకు తగగటటుగా నిరమితమవవలేదనుకుంటా.
मेरे पास सब है जो तुम चाहो.	మీకేం కావాలననా అది నా దగగరుంది.
वह इतनी छोटी, इतनी मासूम, बेबाक शुरुआत करता है.	అది పుటటినపపుడు చాలా చిననగా, అమాయకంగా, తిననగా ఉంటుంది.
पर मुझे कभी भी एक पल के लिए भी संदेह नहीं हुआ कि वे मुझसे पयार नहीं करते हैं.	కానీ నా మీద పరేమ విషయంలో వారి మీద నాకు ఒకక కషణం కూడా సందేహం రాలేదు.
फिर कभी नहीं करेंगे.	ఇకపె దూరంకాకుండా ఉందాం.
अलकेनी में कोई कयों नहीं जानता कि. . .	ఆలకెననీ వాసులలో ఎవవరికీ కూడా. . .
अलविदा, पिताजी.	సెలవు, తండరి.
उस पल में, और तब से हर पल में,	ఆ కషణాన, ఇంకా అపపటి నుండి,
लेकिन कृपया यह मत बोलो कि मेरे पापी उददेशयों के कारण	కానీ నా కుటరపూరిత ఆలోచనల వలన నా భరత, ఇంకా నా పిలలలు పరమాదంలో
वह देख सकता है.	ఇతను చూడగలడు.
वह देख सकता है.	ఇతను చూడగలడు.
मैं कहाँ हूँ?	నేనెకకడ ఉననాను?
मैं कहाँ हूँ?	నేనెకకడ ఉననాను?
हनिवा. - हाँ.	-హనీవా. -చెపపు.
चलो हम अपने लिए देखने वालों की एक सेना बनाना शुरू करें. . .	కనుచూపుననవారితో మనం ఒక సెనయానని నిరమించుకుందాం. . .
वह बहुत अचछे इंसान थे.	అతను చాలా మంచివాడు.
वे डरे हुए हैं. . .	వాళళు జంకుతుననారు. . .
मैंने कुछ समय के लिए किसी पर भी भरोसा करने की योजना नहीं बनाई है.	కొంతకాలంపాటు కొతతవారిని ఎవవరినీ నమమకూడదని అనుకుంటుననాను.
खैर, यह देखते हुए कि बाकी सभी कैसे पलटे जब चुडैलखोजक आए,	మాంతరికాంతకుడు వచచినపపుడు పరతీ ఒకకరూ సపందించిన తీరును బటటి చూసతే,
यह वह पराणी है जिसने हमारी चीजें ली.	మన వసతువులను దొంగలించింది ఇతనే.
कयोंकि तुमहें सब कुछ शुरू से ही सीखना होगा.	ఎందుకంటే నువవు మొతతం మొదటనుంచీ నేరచుకోవాలి కాబటటి.
अगर तुम भागने की कोशिश करती हो, तो तुम दूर नहीं जा पाओगी, और परिणाम होंगे. . .	తపపించుకోవాలని పరయతనిసతే, ఎంతో దూరం వెళళలేవు, దానికి పరిణామాలు. . .
यह एक भयानक विचार है.	ఇది ఒక చెతత ఆలోచన.
हम आपको ले जाएँगे.	నినను తీసుకెళలిపోతాం.
ठीक है.	అలాగే.
ठीक है.	అలాగా.
ऐसा ईशवर करते हैं.	అదే దేవుళళు చేసే పని.
कया नाव सवतंतर है?	పడవకి లంగరు తీసేశావా?
हम पायान हैं. हम पवितर हैं. हम चुने गए हैं. . .	మనం పయాన పౌరులం. మనం పునీతులం. మనం ఎననుకోబడినవారము. . .
कया तुम मेरी आवाज सुन सकते हो, चुडैलखोजक?	నా గొంతు వినబడిందా, మాంతరికాంతకుడా?
जितना उनहें याद है यह बहुत समय से हमारे परिवार में है.	అతనికి గురతుననంతవరకూ అతని కుటుంబంతోనే గడిపాడు.
अब तुम हम में से एक हो.	ఇక నుంచి నువవు మాలో ఒకడివే.
लेकिन मैं जानती हूँ.	కానీ నాకు తెలుసు.
पर जिसे उडना मना है.	ఆ సామరధయమే దకకదు.
फिर करीब से सुनो.	అయితే జాగరతతగా విను.
यह आँखों के लिए एक संदेश है.	ఈ సందేశానని కళళతో మాతరమే చదవగలరు.
चुडैलखोजक के अभियान ने कुछ दिन पहले ही उसे यहाँ लाया था.	మాంతరికాంతకుడు, తన దండయాతరలో భాగంగా ఇకకడికి వచచి ఎంతో కాలం కాలేదు.
पिताजी, मैं आपके साथ रहूँगा.	నాననా, నేను నీతో కలిసి పోరాడతాను.
नहीं. रुको. आप नहीं जानते कि वह कौन है!	వదదు. ఆగు. ఆగు! అతనెవరో ఏంటో కూడా నీకు తెలీదు!
सुनाई देगी.	అనుకొనేదానని.
बूटस जेरलामरेल का बेटा है.	జెరలామరెల కొడుకే బూటస.
मेरे पिता के बारे में.	నీకు అంత ఎకకువగా చెపపలేదు.
यह उनके लिए मुशकिल है.	అది తనకి సంకలిషటమెన విషయం.
तुम उनहें उनके दुशमनों तक फैला सकते हो.	వాళళ శతరువులకు వాటిని చేరవేయవచచు.
यह तुमहारे माता-पिता ने तुमहारे लिए बनाया था.	అలా నినను మీ తలలిదండరులు తీరచిదిదదారు.
मैं तुमहें ढूंढ रहा था. . .	మీ కోసం నేను ఎంతోకాలం నుండి. . .
सभी ऐसे कयों पेश आ रहे हैं?	ఎందుకు అందరూ ఇలా పరవరతిసతుననారు?
कया तुमहें याद है कि जाते वकत जेरलामरेल ने मुझसे आखिरी बात कया कही थी?	జెరలామరెల వెళలేముందు చివరిగా నాకు ఏం చెపపాడో నీకు గురతుందా?
लेकिन कोई बात नहीं.	కానీ ఏదెతే ఏంటి.
फिर से जुडने का मौका,	అతడిని మళలీ కలిసే అవకాశం,
तुमने गलती की है. . .	నువవు పొరపాటు చేశావు. . .
यातरा को इसकी जरूरत हो सकती है,	ఈ పరయాణానికి అదే అవసరమేమో,
मैंने तुमसे कभी नहीं पूछा.	చెపపమని నేనెననడూ నినను అడగలేదు.
उडने की गुहार लिए एक पंखों वाला पराणी	ఎగరాలని ఆరాటపడే ఆ రెకకల జీవికి,
शायद मुझे यह बहुत अजीब लगता है कि तुम देख सकते हो और फिर भी बहुत कम गौर करते हो.	నీకు చూసే సామరధయముననా గమనించే సామరధయం తకకువ ఉండటం హాసయాసపదంగా ఉంది.
कौन फुसफुसाता है? लेडी एन? लॉरड डून?	ఎవరు గుసగుసలాడింది? అన నాయకీనా? డూన పరభువా?
- कया वह अभी भी साँस ले रही है? - हाँ.	-తనకింకా శవాస ఆడుతోందా? -ఆడుతోంది.
- तुमने इतने समय तक अपना राज कयों रखा? - तुम वह कैसे करती हो?	-నీ రహసయానని ఎందుకు అంత కాలం దాచావు? -అదెలా చేశావు?
चेट-चेट-चेट!	పారాహుషార!
सवाल कया है?	ఏంటా పరశన?
और इस नदी के रासते चल पडे. . .	మారిన పరిసథితులని బటటీ చూసతుంటే. . .
यह कया है?	ఏంటీ పరాంతం?
पापा!	నాననా!
मैं अपना खाना खाने के लिए तैयार हूँ.	నేను తినడానికి సిదధంగా ఉననాను.
चालक?	డరెవర?
चालक?	డరెవర?
नाइरी!	నెరీ!
नाइरी.	నెరీ.
नाइरी!	నెరీ!
नाइरी?	నెరీ?
नाइरी!	నెరీ!
जञानोदय की सभा में जाने के लिए, जैसा कि उनहोंने वादा किया था. . .	ఇచచిన మాట పరకారం తను జఞానోదయ నివాసానికి వెళళడానికి మనలని వదిలివెళలినపపుడు. . .
कौन सा रहसय?	రహసయమేంటి?
मेरे दोसतों.	మితరులారా.
जहाँ मैं पैसे वाले कुलीन लोगों को हमारा माल बेच रहा था.	నేను సరుకులు అమమడానికి వెళలిన కంజువా పరాంతానని గురతుకుతెపపించింది.
और उनहोंने उसे यहाँ खुद को बचाने के लिए छोड दिया.	నీ మానాన నువవు బరతుకు అని ఇతడిని ఇకకడే వదిలేసి వెళలిపోయారు.
