मेड इन हेवेन	మేడ ఇన హెవెన
शायद मैं वह मरदाना पंजाबी नहीं, जो मैंने खुद को समझा था.	అంటే నేననుకుననటటు నేను అంత మగతనం ఉనన పంజాబీని కానననమాట.
देखो, करन, मेरा एक परिवार है.	చూడు, కరణ, నాకు కుటుంబం ఉంది.
तुमहें कोई फरक पडता है? नहीं ना?	ఇది నీకేమెనా ఇబబందిగా ఉందా? లేదు కదా?
साइलेंट पारटनर ही रहूँगा मैं. कयों, भाटिया?	నేని సెలెంట పారటనరలా ఉంటాను. ఏమంటావు, భాటియా?
पर मेरा इरादा वो नहीं था. नहीं था.	ఇదంతా నేను కావాలని చెయయలేదు. నిజంగా.
सोचिए अगर आप जनम से ही ऐसे हों, और आपको लोगों से ये छुपाना पडे.	ఊహించుకో అలా పుటటి జనాలనుంచి దానని దాచాలసి ఉంటే ఎలా ఉంటుందో.
इन विषयों पर एक परेजेनटेशन देगी,	ఆ విషయాల మీద పరెజెంటేషన ఇసతుంది,
वादा करती हूँ, हालात बेहतर हो जाएँगे.	పరామిస చేసతుననాను, అననీ సరదుకుంటాయి.
वह मुझसे बात नहीं कर रही और मुझे इस बात का बेहद अफसोस है.	తెలుస, తను నాతో మాటలాడటలేదు నా మీద నాకు అసహయం వేసతోంది.
खैर. अरे, जसपरीत बेटा.	సరే, జసపరీత, రా మరి.
- उनके लिए ये जरूरी है. - साला, तुम एक पेड से शादी कर रही हो.	- అది వాళళకి ముఖయం. - నువవు చెటటుని పెళళి చేసుకుంటుననావు!
नहीं. मिलने का वकत लिया है?	లేరు. ఎపాయింటమెంట ఉందా?
जयादा बीच में पडने की जरूरत नहीं है.	ఈ చెతతలో తలదూరచాలసిన అవసరం లేదు.
मममी, पलीज दरवाजा खोल दो. पलीज, मममी. पलीज. मैं मर जाऊँगा.	పలీజ. తలుపు తియయి. నేనికకడ చచచిపోయేలా ఉననాను. తియయి.
मुझे लगता है हमने उसे गोद नहीं लिया. उसने हमें गोद लिया है.	మేం తనని దతతత తీసుకుననామనుకోను. తనే మమమలని దతతత తీసుకుననటటుంది.
बाकी सब देख लेंगे. कया बोलता है?	మిగతావి, చూసుకుందాం. ఏమంటావు?
- अचछा. तारा के नाम. तारा! - सभी: तारा के नाम!	- ఆలరెట. టు తార. తార! - టు తార! టు తార.
भैंसे नमर और जिजञासु जीव होते है.	గేదెలు నిజానికి చాలా సుననితమెన పరాణులు.
- हाँ! - हाँ.	- యా! - యా!
मगर दिल से माफी माँगूँगी तो तारा मैडम मानेंगी कया?	కానీ మనసఫూరతిగా సారీ చెబితే తార మామ ననను కషమిసతారంటావా?
हमने अभी- अभी आईपीओ शुरू किया है और बाजार के भाव तो चढेंगे-उतरेंगे ही.	మనం ఇపపుడే ఐ. పి. ఒ. లాంచ చేసాం మారకెట పరెసులు ఖచచితంగా మారిపోతాయి.
नहीं, नहीं. बस. . . आयुरवेदिक बकवास है.	కాదు, కాదు. కేవలం. . . అయురవేద చెతత.
अबे, करजा लिया है, तो वापस तो करना पडेगा ना?	చూడు, లోన తీసుకుంటే, అది చెలలించాలిగా?
हाथ तोड दिया था मेरा.	తను నా చెయయి విరిచేసింది.
सुनो, बहुत-बहुत शुकरिया, यार. . .	చూడు, చాలా థాంకస, ఆ రోజు. . .
- बाय, जान. - बाय. फिर मिलेंगे.	- బె, డారలింగ. - బె. సీయు.
वह पुलिस कमिशनर हैं, यार.	ఆయన పోలీస కమీషనర, కదా.
दफा 377 में जमानत मिल पाना बहुत मुशकिल है.	ఆరటికల 377 పె బెయిల రావడం చాలా కషటం.
ये उधार लेना बंद करना होगा, करन.	ఈ అపపు తీసకోవడం అంతా ఆపాలి, కరణ.
हाँ, सर. हाँ. बिलकुल, सर.	అవును, సర. అవును. తపపకుండ, సర.
जैज: पता है मेरी गलती है,	నాకు తెలుసు నేను తపపు చేసానని,
मैं ऐसा नहीं हूँ. ऐसे नहीं होता. मैं ये सब नहीं समझता. ऐसा नहीं. . .	ఇది నాకు నచచదు. ఇదంతా పనికి రానిది. నేనిలా చెయయను. ఇదసలు. . .
- अरे, आप मुझे सिखा रहे हैं? - हाँ, बिलकुल, कयों नहीं?	- నేనేం చెయయాలో కూడా మీరే నేరపిసతారా? - అవును, ఖచచితంగా నేరపిసతా.
कोई पकोडे-शकोडे तल दे अपने कलीग के वासते.	నీ కలీగ కోసం ఏదెనా వండి పెటటచచుగా?
तुम ठीक हो. ठीक है?	బానే ఉననాం. బానే ఉననాం.
बासकेट बॉल नहीं खेल पाया था मैं. मुझसे झूठ बुलवाया कि मैं गिर गया.	నేను బాసకెట బాల కూడా ఆడలేకపోయాను. తను నేను పడిపోయానని అబదధం చెపపమంది.
- रुचि: यार, वापस कराबी चलते हैं. - बिलकुल नहीं!	- గెస, మనం తిరిగి కరాబీకి వెళదాం. - అససలు కుదరదు!
बोला नहीं कुछ.	ఆవిడ ఏం చెపపలేదు.
इतना काम मत किया कर कि सब भूल जाए.	అంతగా పని చెయయకు అననీ మరచిపోయేలా.
मैं समझती हूँ कि ये सब बकवास है. मुझे पता है.	నాకు తెలుసు ఇదంతా మూరఖతవం అని. అవును.
सुपरिटेंडेंट बाहर हैं, आपको रुकना होगा.	సూపరింటెండ బయటకెళళారు. మీరు బయట వెయిట చెయయాలి.
भरोसा नहीं कर सकते. पर तुमहें थोडा रुककर देखना होगा.	మనం ఆధారపడలేం. కానీ మనం వేచి ఉండి వాచ చెయయాలసిందే.
नहीं. नहीं.	వదదు. ఏయ.
डॉकटर: आम तौर पर सपरम काउंट 40 से 300 मिलियन के बीच होना चाहिए.	మాములుగా, సపెరమ కౌంట 40 నుంచి 300 మిలియనల రేంజిలో ఉండాలి.
बस दूलहा और दुलहन की जरूरत होती है.	కావలసిందలలా పెళళికొడుకు పెళళికూతురు.
पता है, तुमहारे साथ जो हुआ, कानून में उसका उपाय है.	తెలుసా, నీకు జరిగినదానికి చటటపర నయాయం జరుగుతుంది.
एक और महीने तक, आप कानूनी तौर पर, मुझे निकाल नहीं सकते. जो चाहे कर लीजिए.	మీరు లీగలగా ననను ఇంకో నెల దాకా ఖాళీ చేయించలేరు, ఏం చేసకుంటారో చేసకోండి.
कबीर: मैं समझ सकता हूँ. बहुत खुश होगे.	నేనూహించగలను. ఎకసెటింగా ఉండచచు.
बहुत नशा किया ना तूने?	చాలా డరగస తీసుకుననావు, కదా?
पर, पता है, वह सच में, सच में मुझसे पयार करता है?	కానీ తను నిజంగా, నిజంగా ననను లవ చేసతుననాడు, తెలుసా?
आप करन की जासूसी कर रहे थे.	కరణ మీద నిఘా పెటటడానికి కదా.
- कया? - हाँ.	- ఏంటి? - అవును.
हाँ, कम से कम तुमहें जेल तो नहीं जाना पडा.	అవును, కనీసం నువవు జెలుకి వెళల లేదు.
गे समुदाय को अधिकार है,	గే కమయూనిటీకి హకకుంది,
मुझे नहीं पता इस वकत तुमसे ही बात कर रहा हूँ या नहीं.	నేనసలు నీతోనేనా మాటలాడుతుననానా అనిపిసతోంది.
तुमने असल में अचछा ही किया. जौहरी काफी शातिर है साला.	నిజానికి నువవు మంచి వాళళతో ఉననావు. జౌహారీ చాలా తెలివెనవాడు.
और हमें अकेला छोड दीजिए. शुकरिया.	ఈ టెంలో మమమలని ఒంటరిగా వదలండి. థాంకయు.
- हाँ जी, बोलिए. - ये जसपरीत कौर यहाँ पे रहती है कया?	- ఆ, సర, చెపపండి? - ఈ, జసపరీత కౌర ఇకకడే ఉంటుందా?
इस जमानत के हुकुमनामे पर मैं, दो दिन पहले की तारीख डाल रही हूँ.	ఈ బెయిల ఆరడర మీద నేను 2 రోజుల ముందు డేట వేసతుననాను.
- आदिल: हाँ. - है ना?	- అవును. - అవునా?
अगर तुम यह नहीं समझती, तो तुम मुझे नहीं समझती.	నీకరధం కాకపోతే, నననే అరధం చేసుకోలేదని అనుకుంటాను.
मुझे समझ में नहीं आता कि इतनी बडी कया बात है! एक रसम ही तो है.	ఇందులో పెదద సమసయేంటో తెలీటలేదు! ఇదో కారయకరమం అంతే.
पर हमें पूरा पैसा चाहिए. सब शादी से पहले.	కానీ మాకు మొతతం పేమెంట కావాలి. అదీ ముందరే.
टीवी कमेंटेटर: . . . विसलिंग डकस झील पर दिन बिताने की तैयारी कर रही हैं.	ఈ విసిలింగ డకస కొలను దగగరే రోజుని గడపాలని చూసతుననటటుననాయి.
वरुण: आदिल 30 साल का हो रहा है. गोवा नहीं जाएँगे.	- ఇది ఆదిల 30వది, మనం గోవాకి వెళళటలేదు. - మనం గోవాకి వెళళాలి.
हाँ, बहुत अचछ लग रहा है. घर आकर अचछा लग रहा है.	యా, చాలా బాగా ఉంది. ఇండియాకి రావడం ఆనందంగా ఉంది.
हाँ, बस यहीं रोक दो. अब घुमाना नहीं पडेगा.	ఆ, ఇకకడ ఆపు. నువవు రివరస చేసకోనకకరలేదు.
- हेलो. - हेलो.	- ఏయ. - హాయ.
तुमहें भी इस बात की बहुत खुशी है कि तारा, जो इतनी खूबसूरत है, हमारे साथ है,	నువవు థాంకస చెపపాలి నాకు, మనతో ఇకకడ ఈ అదభుతమెన తార ఉననందుకు,
बजाय. . . तुमहें पता है कौन.	తనకి బదులుగా. . . మీకు తెలుసు ఎవరో.
हाँ जी, कैसे हो? कया कर रहे हो यहाँ पे?	హలో, ఎలా ఉననావు? ఇకకడేం చేసతుననావు?
माँ-बाप तो असपताल में ही छोडकर चले गए थे. लडकी जो थी.	తలలిదండరులు పుటటినపపుడే హాసపటలలోనే వదిలేసి పోయారు. అమమయి కదా.
जेल में ये उसकी दूसरी रात है.	ఇది రెండవ రాతరి అతను జెలలో గడపడం.
दफा 377. पता है? होमो सेकस.	సెకషన 377 కింద. తెలుసా? హోమో సెకస.
कमिशनर: आदिल, मुशकिल लगता है. डिपटी से तुमहारी बात करवाने की कोशिश करता हूँ.	ఆదిల, ఇది కషటంగా ఉండేలా ఉంది. నేను మా డిపయూటీకి కనెకట చేసతాను.
वे लोग बस घसीटते हुए उसे घर से ले गए और गाडी में डाल दिया.	వాళళతనని ఇంటలోంచి బయటకిలాగి వానలోకి ఎకకించారట.
पागल हो कया? मुझे जाना होगा. बाय.	నీకు పిచచా? నే వెళళాలి. బె.
अचछा. तो जैसे हमने बात की, मेरी टीम आएगी,	ఒకే. మనం డిసకస చేసుకుననటటు, మా టీం వసతుంది,
तुम खुशकिसमत हो, अभी तक इनहोंने एफआईआर दरज नहीं की है.	నువవు లకకీ వాళళింకా ఎఫ. ఐ. ఆర. ఫెల చెయయలేదు.
पापा, पलीज.	నానన, పలీజ.
यही मान लेते हैं. हाँ.	దానని అలాగే టరీట చేదదాం. యా.
तुमहें जाना चाहिए.	నువవిక వెళళాలి.
वो कैमरा जो आपने खरीदा था, वो दफतर के लिए नहीं था.	మీరు తెపపించిన కేమెరా, అది ఆఫీస కోసం కాదు.
दततक मामला थोडा मुशकिल होता है. नहीं तो. . .	దతతత అమమాయి కాబటటి కొదదిగా ఆలసయం అయయింది, లేదంటే. . .
आने के लिए शुकरिया, मीरा. मैं एक फोन करके आता हूँ, ठीक है?	- వచచినందుకు థాంకస, మీరా. ఇపపుడే ఓ ఫోన కాల చేసతాను, - సరే!
निखिल को जरा भी भनक नहीं कि उसकी होने वाली पतनी उसे धोखा दे रही है.	నిఖిలకి తెలీదు తనకి కాబోయే పెళళికూతురు పరసతుతం తనని మోసం చేసతోందని.
तुम एक पुरानी परंपरा को बढावा दे रही हो.	ఓ పరాచీన సంపరదాయానని తిరగతోడుతుననావు.
और अपने पापा से कभी कुछ नहीं कहोगे!	మీ నాననకి దీని గురించి ఏమీ చెపపకు!
एक बार कर ले. हमम?	నాతో కూడా ఒకకసారి?
आप निकलिए इधर से.	ఇకకడనుంచి బయటకి పొండి.
नहीं होती है एकटिंग मुझसे, माँ.	ఈ నటించడాలు నా వలల కాదు, అమమా.
अबे, मेहमान को देते हैं पहले. धत.	ముందు అతిథులకివవాలిరా. పో!
घटिया हरकत तो आपने की है.	మీరు చేసింది నీచంగా ఉంది.
- अभी गई थी, हरा- हरा. . . - नहीं, सर, मैं. . . मैं उनको नहीं जानता.	- ఇపపుడే వెళళిందిగా, ఆకుపచచ టాప. - లేదు సర, నాకు తెలీదు.
मैं भी मानता हूँ. निखिल के लिए इससे अचछी लडकी नहीं मिल सकती थी.	ఒపపుకుంటుననాను. నిఖిలకి ఇంతకననా మంచి సంబంధం తేలేకపోయే వాళళం.
कोई संपरक मत रखो.	జీరో కాంటాకట.
मुझे मेड इन हेवेन से बहुत पयार है.	నాకు మేడ ఇన హెవెనంటే ఇషటం.
भैंसों के लिए चरने का एक और दिन, पानी पीने के साथ शुरू होता है.	గేదెలకి ఇంకో నెమరు వేసే రోజు నీళళూ తాగడంతో మొదలవుతుంది.
वह उन चंद मरदों में से है, जिनसे दिलली में मुझे कोई डर नहीं.	అతను, నిజానికి, నేను ఢిలలీలో కషేమంగా ఉంచే కొదదిమంది మాగాళలలలో ఒకడు.
मैं तुमहें नहीं चाहती.	కానీ, నాకు నువవు వదదు.
- निकलो! - हम बस. . . माँ. माँ.	మేం ఊరికే, మేం ఊరికే-అమమ. అమమ.
तुम ठीक हो?	బానే ఉననవా?
जसपरीत?	జసపరీత?
माफी?	సారీ?
भई, ये शादी- बयाह का कारोबार मेरे को तो समझ में आता नहीं.	చూడండి, ఈ పెళళి బిజినెస గురించి నాకేమీ తెలీదు.
हिसाब-किताब वगैरह दिखाते रहना आप मुझे.	ఎకౌంటసవీ నాకు చూపిసతూ ఉండండి చాలు.
अगरिम जमानत का आदेश है. मंजूरी है, दसतखत भी है.	ఇది ఏంటిసిపేటరీ బెయిల ఆరడర గరాంటయి ఇంకా సెనయయింది.
मैं करन की जासूसी कर रहा था.	నేను కరణ మీద సపె చేసతూ ఉననాను.
कबीर: और डर आपकी गलत सोच और अंधविशवास को भी बढावा दे सकता है.	భయం మీ పకషపాతాలని ఇంకా మూఢనమమకాలనీ శాశవతం చెయయచచు.
फैजा मुझे माफ कर दो, तारा. . .	ఫెజా అయాం సారీ, తార. . .
मैं उसे कभी चोट नहीं पहुँचाना चाहती थी.	తెలుసా, తనకెపపుడూ బాధ కలిగించాలనుకోలేదు.
देखिए, करन मेरा बेटा है.	చూడండి, కరణ నా కొడుకు.
करन मेहरा के खिलाफ शिकायत है.	కరణ మెహరా మీద కంపలెయింటుంది.
जिस दिन से वह हमारी जिंदगी में आई है, उस दिन से सब कुछ बदल गया.	తను మా జీవితాలలోకి వచచిన రోజునుంచీ మాకంతా మారిపోయింది.
मैंने कहा ना मुझे कुछ नहीं कहना. कया आप वो कर सकती हैं जो मैं कह रहा हूँ?	చెపపానుగా నేను చెపపడానికి ఏం లేదు, నేనడిగింది మాతరం చెయయగలవా?
जो उसने किया है ना, वो अपराध है. तू मिलकशेक पकड.	వాడు చేసింది ఓ పెదద కరెమ. ముందు నువవీ మిలక షేక తాగు.
हीरे की तरह.	ఓ వజరంలా.
साहस है तुममें.	నీకు ధెరయం ఉంది.
दस परतिशत का पारटनर मुझे बना लीजिए, बाकी सब माफ.	ననను 10% పారటనరని చేసకోండి లోన గురించి మరచిపోతాను.
झील तक पहुँचने की कोशिश में लगा हुआ एक छोटा रामानंदी कछुआ	ఒక చినన తాబేలు తానూ కొలను దగగరకి రావాలని పరయతనిసతోంది.
तो सारा दोस पीपल के पेड पर चला जाएगा.	అపపుడు దోషమంతా చెటటుకి తగులుకుంటుంది.
उसे पता है तुम मुझसे मिलना चाहते थे?	తనకి తెలుసా నీకు ననను చూడాలనుందని?
कुछ चाहिए तुमहें?	నీకేమెనా కావాలా?
- ऐसा कुछ नहीं है, माँ. - बाहर चलो.	- ఏం జరగటలేదు. - బయటకి పో.
- हाँ. - बस तुमहें हिममत नहीं हारनी है.	- ఆ. - నువవు ఇపపుడే ధెరయంగా ఉండాలి.
आप सब चाय लीजिए.	పలీజ టీ తీసకోండి.
बिलकुल.	అవును.
मैंने पहले कभी. . .	నేనెపపుడూ ఇలా.
नहीं, पर मैं तो बहुत खुश थी.	కానీ నాకు థరిలలింగ గా ఉండింది, తెలుసా?
पर अब एक बात बताऊँ?	కానీ మీకోటి తెలుసా?
हे भगवान. शुकर है भगवान का, हमें कल आदेश मिल गया.	వచచావా. దేవుడి దయతో మనకి ఆరడర నిననే వచచింది.
चलो, परिवार बहुत खुश होगा.	కనీసం, ఆ కుటుంబం సంతోషిసతుంది.
- मैं मजबूर था. - हमम.	నేను నిససహాయుడిని.
गीतांजलि, तुम ठीक तो हो? सब ठीक है?	గీతాంజలి, అసలు నీ బురర పని చేసతోందా? అంతా ఓకేనా?
अब तो पूरे सटाइल में रहती है. सिर से लेकर पैर तक बरैंड की चीजें.	ఇపపుడు, తను చాలా సటెలిష అయిపోయింది. పెనుంచి కింద దాకా అననీ బరాండేడే.
आप लोग भले ही जो भी समझें,	జనాలు ఏమనుకుననా సరే,
आ गई, जसपरीत?	జసపరీత, వచచావా.
करन: नहीं. नहीं. . . नहीं, सर, ये मुमकिन नहीं होगा. ऐसा नहीं हो सकता, सर.	లేదు. లేదు, లేదు, లేదు. . . అది సాధయం కాదు, సర. అంటే. . .
ए, इधर आ.	ఏయ, ఇలా రా.
मैं औपचारिक तौर पर ये बताने के लिए लिख रही हूँ कि मैं इसतीफा दे रही हूँ. . .	ఇది నేను రిజెన చేసతుననానని మీకు ఫారమలగా తెలియచెయయడానికి
और इस सवाल का जवाब तुम कयों दोगी?	ఆ పరశనకి అతనికి నువవెందుకు సమాధానం చెపపాలి?
उसका दिमाग खराब हो गया!	అతనికి పిచచెకకిపోయింది.
वहाँ बैठो. आएँगी तो कोशिश करना.	అలా కూరచో. ఆవిడ వచచాక మాటలాడడానికి టరె చెయ.
- माँ. - उनहें पता चला तो जान ले लेंगे दोनों की.	- అమమా! - ఆయనకి తెలిసిందంటే, నినను చంపేసతాడు!
- हाँ! - ये तो गलत बात है. . .	అంత దారుణంగా చెయయకు. . .
हाँ, पर तुमहें पता था कि तुम कया कर रही हो.	ఆ, కానీ నువు చేసిన పని నీకు తెలుసుగా.
कया बोला, कब तक आएँगी तारा मैडम?	తార మామ ఎపపుడు వసతానననారు?
मुझे बस मेरा काम करने दीजिए और सब खुश रहेंगे.	మీరు మా పని మమమలని చెయయనివవండి, అందరూ సంతోషంగా ఉంటారు.
शायद ऐसे किसी के साथ रह भी नहीं सकता जिसे ये सब ठीक लगता है.	ఇది పరలేదు అనుకునేవాళళతో నేనసలు మనగలనో లేదో కూడా నాకు తెలీదు.
मेरे बेटे से दूर रहना, नवाब.	మా అబబాయికి దూరంగా ఉండు, నవాబ.
एक बार? हमम?	రా, కానిదదాం.
दिलली में तो बहुत गरमी मची हुई है ना?	ఢిలలీలో చాలా వేడిగా ఉంది, కదా?
- संभाल लूँगी. - एक डरिंक हो जाए? खुशी मनाने के लिए.	- నేను చూసకుంటాను. - మందేదదామా పండగ చేసకుందాం.
मुझे साला मिलकशेक नहीं चाहिए.	నాకీ చెతత మిలక షేక వదదు.
कबीर: अपने पास जो है, उसे खो देने का डर.	మీ దగగరుననది కోలపోతామనే భయం.
अपनी माँ से ऐसे बात करते हैं?	మీ అమమతో ఇలానా మాటలాడేది.
पर मैं डॉ. बंसल की दवाइयाँ ले रहा हूँ ना?	కానీ నే ఆలరెడీ ఆ డా. బనసల చెతత తీసకుంటుననాను, అవునా?
मजाक तो नहीं कर रहे?	నాతో వేళాకోళమాడుతుననావా?
तू बस सामान बाँध और निकल जा मेरे घर से.	నువవు సామాను సదదుకుని నా ఇంటలోంచి వెళిపో.
कि कोई गडबड हो सकती है, तो मैं ये खतरा नहीं लूँगी.	జరగడానికి చినన ఛానసుననా సరే, నేను రిసక తీసుకోదలచుకోలేదు.
अरे. अरे.	హే. ఏయ.
दिलली में इनकी शाखा है, इसलिए रिकॉरड हाथ में आ गए.	ఢిలలీలో వాళల బరాంచి ఉంది. అందుకే రికారడస చేతికి వచచాయి.
अचछा, ठीक है.	ఆ, అలాగే.
- भाटिया: सोचके देख. . . - एक सेकंड. सौदा कया है?	- కనీసం ఆలోచించచచుగా. - ఒకక నిముషం. డీలేంటి?
गीतांजलि को कोई अपराध बोध नहीं है. ये सब अचछे के लिए है.	గీతాంజలి తపపుగా అనుకోవటలేదు. ఇది గొపప మంచి కోసం కదా.
मुझे महीने के अंत तक रहने का पूरा हक है.	ఈ నెలాఖరు దాకా ఉండడనికి నాకు హకకుంది.
तुझे तो विंटेज पसंद है ना?	నీకు వింటేజ ఇషటమే గా?
मुझे बस इतना पता है कि ये सवाल अधिकारों का है.	నాకు తెలిసుననంత వరకు ఇది హకకుల సమసయ.
वो तो मैं पहनकर वापस ही करने वाली थी, यार.	అవి నేను తొడుకకుని రిటరన చేసే దాననే.
