नहीं.	లేదు.
उसमें शायद जयादा मजा आएगा. शायद अगर हम शुरू करें तो बाकी लोग भी शामिल हो जाएँ.	ఆ పని మనం చేసతే బాగుంటుంది ఏమో. బహుశా మనం మొదలెడితే మిగతావారు వసతారు ఏమో?
मैं समझ रहा हूँ. तुमहारे पसंदीदा दोसत की जगह कोई नहीं ले सकता.	నేను అరథం చేసుకోగలను. మన ఫేవరెట ఫరెండ కి ఎవరూ సాటి రాలేరు.
हाँ, मुशकिल होता है अगर तुम उसकी तरह घटिया हो.	అవును, వారిలా పొగరుగా పరవరతిసతే చాలా కషటమే.
देखो, मैं तुमहारी मदद करूँगी ताकि मुझे इस तकलीफदेह सजा से जलदी छुटकारा मिले.	చూడు, ఈ డిపరెషన డిటెనషన నుండి తవరగా బయటపడడం కోసం నేను నీకు సాయ చేసతాను.
मैंने कर लिया!	నేను సాధించాను!
डीजे, शुरू करो.	డీజే, పలే చెయ.
मैं इन किशोर पराणियों को यह जगह दिखा रहा था.	నేను ఈ కురరాళలకు ఈ పరదేశానని చూపుతుననాను.
मुझे भी नहीं लगा था. मैंने अंग हिलाने का ऐसा कारयकरम आयोजित कर लिया जो सभी को पसंद आएगा.	నాకు కూడా అలాగే అనిపించింది. కానీ అందరికీ బాగా నచచే డానస ని ఎలాగోలా ఏరపాటు చేసేసా.
कि यहाँ हम कितने किशोर पराणियों को एक साथ आने दे सकते हैं?	వసతే మన హోటల తటటుకోగలదో ఇంజినీర ని అయినా అడిగి చూశావా?
जबसे तुम पर "डैंपवायरस" का भूत सवार हुआ है,	నీకు ఆ డాంపవెరస షో పిచచి పటటినపపటి నుండి
धनयवाद. जब मैं इशारा करूँ तो यह गाना चलाना.	థాంకస. నేను సిగనల ఇవవగానే ఈ పాట పలే చెయ.
यह रात याद रखने लायक होनी चाहिए! यही तो इसका थीम है!	ఇది అందరికీ గురతుండిపోయే రాతరి కావాలసి ఉంది! నా థీమ అదే!
जरूर. मुझे भी अपने अंगों के लिए कुछ चाहिए.	ఖచచితంగా. నా చేతులకు కూడా ఏమెనా కావాలి.
तो, चिंता करने की कोई बात नहीं है.	కాబటటి, చింతించాలసిన పని ఏం లేదు.
-माफ कर दो मैंने तुमहारी बात नहीं सुनी. -माफ कर दो मैं इतना बुरा हूँ.	- నీ మాటలు విననందుకు కషమించు. - పొగరుగా పరవరతించినందుకు కషమించు.
बढिया. यह शरारती छातरा अपनी शरारत की सजा के तौर पर	అదభుతం. అయితే పిచచి చిలిపి పని చేసిన ఒక అలలరి విదయారథి
और मुझे माफ कर दो मैंने तुमहारे सारे सॉस पॉकेट खा लिए.	అలాగే నీ సాస పయాకెటలు అననీ తినేసినందుకు కూడా సారి.
जानती हूँ और मेरे कारण भी तुमहारी मुशकिलें बढ रही थीं.	తెలుసు, అలాగే నేను కూడా నినను కాసత ఇబబంది పెటటాను.
हाँ, वे सब भूलने के लायक ही होते हैं.	అవును, దేనినెనా ఒకనాటికి మరచిపోవాలసిందే.
ठीक है, कया तुमने इंजीनियर से सलाह की है	సరే, మరి, ఈ పరదేశంలో ఎంతమంది కురరాళళు
इस अंग हिलाने के कारयकरम पर तुमहारे साथ काम करके मेरी जिंदगी और दिलचसप हो गई.	నీతో కలిసి ఈ డానస పారటీని ఏరపాటు చేయడం నా జీవితానని కూడా కాసత ఆసకతికరంగా చేసింది.
किशोरों को परभावित करना मुशकिल है. उनका मन बहुत चंचल होता है.	కురరాళలను ఇంపరెస చేయడం చాలా కషటమెన పని. వాళలకు ఒక పటటాన ఏదీ నచచదు.
खास तौर पर जब तुमहें जबरदसती मेरे साथ भेज दिया गया था.	ముఖయంగా ఈ పనిలో సాయం చేయమని నినను బలవంతం చేశారు కదా.
हे मेरे लॉरब परभु. वे. . .	ఓరి, నా లారబ. వాళళు. . .
अभिवादन, हम अभी नयूपलेसफीलड से यहाँ रहने आए हैं.	హలో, మేము నయూపలేస ఫీలడ నుండి ఈ మధయనే ఇకకడికి వచచాము.
यह अंग हिलाने का कारयकरम कितना उबाऊ है.	ఈ డానస కారయకరమం చాలా బోరు కొడుతోంది.
इसमें मैं तुमहारी मदद कर सकता हूँ. कया सोच रही हो?	ఆ విషయంలో నేను సాయం చేయగలను. నీ మనసులో ఏముంది?
तो तुम मुझसे नाराज हो कयोंकि मुझे "आकरषक पराणी" पसंद नहीं है.	అంటే నాకు హాట బీయింగస కారయకరమం నచచలేదని నీకు నా మీద కోపంగా ఉంది.
यह किसी की भी पसंद की जगह नहीं है.	ఈ పరదేశం ఎవరికీ కావాలనుకుననటటు ఉండదు.
जिजञासा और गुससा इस गरह पर जहाँ चारों तरफ है खतरा	ఆసకతి అలాగే ఆగరహం పరమాదంతో నిండి ఉనన పరపంచంలో
- और मैं वहीं जाता हूँ जहाँ मजा होता है. मिलते हैं! - ठीक है.	- నేను సరదా ఎకకడ ఉంటే అకకడికి పోతా. మళళీ కలుదదాం. - సరే.
सबसे आकरषक!	చాలా అందంగా!
चूँकि किसी भी नए सकूल में दोसत बनाना मुशकिल होता है.	ఎంతెనా కొతత సకూల లో ఫరెండస ని చేసుకోవడం కషటం కదా.
तो, अब हम टीम बनाकर काम करते हुए कई खतरनाक ततव बनाएँगे	సరే, మనం ఇపపుడు టీమస గా పనిచేసి అనేక పరమాదకర పదారధాలు కలిపి
याद रखने लायक एक रात शाम सात बजे	గురతుండిపోయే రాతరి రాతరి ఏడు గంటలకు
नहीं, सच में. मैं बहुत मुसीबत में पड सकता हूँ.	నిజంగా అంటుననా. లేదంటే నేను సమసయలో పడతాను.
इस जल में बहुत आकरषक लग रहे हो.	నువవు ఆ నీటిలో చాలా అందంగా ఉననావు.
वह सच में शानदार था.	అది నిజానికి భలే ఉంది.
माफ करना, अभी नहीं पर आखिरकार.	కషమించాలి, ఇవాళ కాదు, కానీ తవరలో.
शायद मैं यह कहने की कोशिश कर रही हूँ कि एक दिन हम सब खतम हो जाएँगे	నేను ఏమని చెపపాలనుకుంటుననాను అంటే, మనందరం ఏదోకరోజు చనిపోతాం,
इस अटपटी बातचीत का समय आधा रह जाएगा जो मैं नहीं करना चाहता.	సంభాషణ ఇంకాసత తవరగా ముగిసిపోతుంది, కానీ నాకు అలా జరగడం ఇషటం లేదు.
हाँ, मैंने सारे मैदान में झाग भर दी थी.	సరలే, నేను వరండా మొతతానని ఫోమ తో నింపేసాను.
मेरे दोसत की बातों के लिए माफी चाहता हूँ. वह डैंपवायरस को लेकर बहुत जोश में आ जाता है.	ఇందాక నా ఫరెండ అనన మాటలకు కషమించు. డాంపవెరస అనగానే తనకు చాలా ఉదవేగం పుడుతుంది.
अपने नये दोसत के साथ मजे करो.	నీ కొతత ఫరెండ తో బాగా ఎంజాయ చెయ.
अंग हिलाने के कारयकरम को लेकर थोडा उदास हूँ, बस.	నాకు డానస గురించి ఆలోచిసతుంటే కొంచెం బాధగా ఉంది అంతే.
अंग हिलाने पर ये मजेदार आवाज करते हैं.	మనం చేతులు ఊపినపపుడు ఇవి భలే శబదం చేసతాయి.
अफवाहों के अनुसार, इस अंग हिलाने के कारयकरम का थीम खतम होना है.	సరే, నాకు తెలిసిన పుకారు పరకారం, మన డానస కి ఉనన థీమ మరణం.
और जहाँ से मैं हूँ,	మా ఊరలో అయితే మరణానని
मैं उस समय बहुत छोटा पराणी था पर वह आनंद मन में जोश भर देता था.	అపపటికి నా వయసు తకకువే అయినా కానీ ఆ మజా మాతరం భలే ఉండేది.
चलो एक बार और करें.	ఇంకొకకసారి పరయతనించు.
यहाँ सीलन की बू है.	ఈ చోట వాసన ఏం బాలేదు.
एक सितारे की परिकरमा कर रहा है	ఒక నకషతరం చుటటూ తిరుగుతోంది
मैंने अपने मुँह के पतथर ठीक करवाए. और मुझे वहीं रहना पसंद है जहाँ मजा हो रहा हो.	నా పళళు బాగు చేయించుకుననాను. అలాగే సరదాగా ఉండే చోట ఉండడం అంటే నాకు ఇషటం.
ठीक है. चलो देखें यह शो कितना मजेदार है.	సరే. ఈ షో ఎంత సరదాగా ఉంటుందో చూదదాం.
यह छल है.	అది అబదధం.
मैं तुमसे "आकरषक पराणी" के बारे में बात करने के लिए बेताब हूँ.	నీతో హాట బీయింగస కారయకరమం గురించి మాటలాడటానికి ఆగలేకపోతుననా.
आरोप लगाया और और उसकी असफलता का जिममेदार मुझे बताया. मैंने यह तो नहीं चाहा था.	దీని వెఫలయానికి నేనే కారణం అంటుననారు. ఆ నింద భరించాలసిన పని నాకు లేదు.
हाँ. कया हम दोसत नहीं हैं?	అంటే, అవును. మనం ఫరెండస కాదా?
यहाँ बहुत अजीब ऊरजा है. मैं वहाँ जाती हूँ.	ఇకకడ చాలా వింతగా ఉంది. నేను ఇక అకకడికి వెళతాను.
कुछ थोडे अजीब लग सकते हैं	కొనని విషయాలు వింతగా ఉండొచచు
कभी-कभी तो मैं अकेले बैठकर उनका थीम गाना गाता हूँ.	కొననిసారలు నేను ఒంటరిగా ఉననపపుడు థీమ పాట పాడుతుంటా కూడా.
और उससे भी जयादा चुनौतीपूरण यह है	ఆ దశను మరింత కషటం చేయడానికే పెటటినటటు
कया आकरषक पराणी आकरषक चीजें करते हैं?	అందమెన వారు అందమెన పనులే చేసతారా?
और उस पर तुररा यह कि अपने सभी साथियों की नजरों का केंदर बनते हैं.	అంతేకాక తోటి వారి దృషటిలో ఎలాగుంటామో అనన భయానని కూడా ఎదురకోవాలసి వసతుంది.
नहीं, ऐसा नहीं है. सब जानते हैं एक अचछा अंग हिलाने का कारयकरम आयोजित करना कितना मुशकिल है.	కాదు, అదేం కాదు. ఒక మంచి డానస కారయకరమానని ఏరపాటు చేయడం ఎంత కషటమో అందరికీ తెలుసు.
कया मतलब?	ఏమననారు?
कया सभी पराणी खतम होते हैं?	మనుషులు అందరూ చనిపోతారా?
-पता नहीं. मजेदार भी हो सकता है. -आशा है मजेदार होगा.	- ఏమో. సరదాగా ఉండొచచు ఏమో. - నా కోరిక కూడా అదే.
हाँ. अफसोस कि कोई भी अंग नहीं हिला रहा.	అవును. పెదదగా ఎవరూ డానస వేయకపోవడం ఏం బాలేదు.
हाँ, कयोंकि तुम मुझे दिखा नहीं रहे हो कि तुम वासतव में कौन हो.	అవును, ఎందుకంటే నువవు నిజంగా ఎలాంటి వయకతివో నాకు చూపించడం లేదు కాబటటే.
मुझे उनके साथ समय बिताने में मजा आने लगा था. और मैं सच में मदद करना चाहती थी.	తనతో ఉండడం నాకు నచచింది. అందుకని నిజంగానే నేను సాయం చేయాలి అనుకుననా.
यह तो अचछी बात है. मुझे भी मदद करने की आदत नहीं है.	ఏం పరలేదు. నాకు కూడా సాయం చేయడం పెదదగా నచచదు.
कितने खिझाऊ हैं. मुझसे बरदाशत नहीं होता जब किसी पराणी को पता हो वे आकरषक हैं.	చాలా చిరాకు పుటటిసతుననారు. ఒక వయకతికి తాము అందంగా ఉంటాం అని తెలిసతే నాకు అససలు నచచదు.
हम जीवन को मायने देने के तरीके ढूँढ लेते हैं	జీవితానికి అరథానని ఇవవడానికి మారగాలను వెతుకుతుంటాం
मुझे तुमहारी बहुत याद आई.	నేను నినను మిస అయయాను.
यह हमारी पसंद की जगह नहीं है.	ఈ పరదేశం మాకు కావాలసినటటుగా లేదు.
कि उसका नतीजा होता है, बेहद शानदार अंग हिलाने के कारयकरम.	ఆ భయం అతయంత గొపప డానస లు వేయడానికి కారణం అవుతుంది.
करूँगा!	చేసతాను!
यह माइक मुझे दो.	మెక నాకు ఇవవు.
इससे मुझे खुशी मिली. मुझे नहीं लगा था कि ऐसा हो सकता है.	నేను ఎంజాయ చేశాను. అలా అవుతుందని అససలు అనుకోలేదు.
हे मेरे लॉरब परभु. तुम मेरी बात को सही साबित कर रहे हो.	ఓరి, నా లారబ. నువవు నేను చెపపేదే నిరూపిసతుననావు.
उनसे हमें अंग हिलाने के कारयकरम के लिए जगह नहीं मिलेगी.	మాకు డానస కోసం ఒక పరదేశం ఇపపటికిపపుడు దొరకదు కదా.
कोशिश करने में कोई हरज नहीं. कहाँ से शुरू करें?	టరె చేసతే వచచే నషటం ఏం లేదు. ఎకకడ వేదదాం?
अंग हिलाने के कारयकरम के लिए जगह? केयरफुल नाओ के बारे में कयों नहीं सोचते?	డానస కారయకరమం కోసం పరదేశానని వెతుకుతుననారా? కేరఫుల నవ లో పెటటొచచు కదా?
किशोरों के अंग हिलाने के कारयकरम की तैयारी करने में तुमहारी मदद करेगी.	తనకు శికషగా నీ కౌమారదశ డానస పలానింగ లో నీతో కలిసి పనిచేసతారు.
हमारी बातचीत में मुझे तुम पर जयादा धयान देना चाहिए था.	మన సంభాషణలలో నువవు చెపపేది కూడా నేను బాగా విని ఉంటే బాగుండేది.
ये बरेसलेट कैसे हैं?	ఈ బరాసలెటలు ఎలా ఉననాయి?
मैंने पूरा सीजन देखा	నేను మొతతం సీజన చూసేసా,
और हर एक में चुमबकीय गलॉमरॉक पतथर लगा हुआ है,	అలాగే ఇవి ఒకదానికి ఒకటి దగగరగా ఉననపపుడు
सुनो, इंजीनियर!	హేయ, ఇంజినీర!
-मुझे तुमहारी बनाई सजावट की चीजें पसंद आईं. -धनयवाद.	- నువవు చేసిన డెకరేషనలు నాకు నచచాయి. - థాంకస.
अगर खुशकिसमती से हम बूढे पराणी होने तक जीवित रह पाए.	ఈ రాతరిని మనం మరచిపోతాం అని నాకు అనిపిసతోంది.
शानदार है. और, हे मेरे लॉरब परभु. कया तुमने परफयूम का नया विजञापन देखा है जो. . .	అదభుతం. అలాగే, ఓరి నా లారబ. నువవు కొతతగా వచచిన పెరఫయూమ యాడ చూశావా. . .
कयोंकि मैं आज शाम को उसके लिए खरीददारी करने जा रहा हूँ.	ఎందుకంటే నేను ఇవాళ రాతరికి నా యాకససరీని కొనడానికి వెళతుననాను.
तो, अब हम बाद में खरीददारी करने नहीं जाएँगे?	అయితే మనం తరవాత షాపింగ కి వెళలడం లేదా?
ओह, हाँ, वह पता था.	ఓహ, సరలే, నాకు తెలుసు.
आह, किशोर होना भी कया चीज है.	ఆహ, టీనేజ పరాయం భలే సమయం.
तो कयों न इसमें मजा करें?	అలాంటపపుడు ఎంజాయ చేయొచచు కదా?
धनयवाद. मुझे थीम वाली पारटी के लिए मजेदार खाने की चीजें इजाद करना अचछा लगता है.	థాంకస. ఒక థీమ ఉండే పారటీకి తెలివెన మెనయు ఐటమలు చేయడం నాకు చాలా ఇషటం.
अपने बारे में हमें कुछ बताओ.	నీ గురించి నువవు కొంచెం చెపపు.
तुमने कर दिखाया! तुमने अंग हिलाने के कारयकरम को बचा लिया!	నువవు సాధించావు! నువవు డానస కారయకరమానని కాపాడావు!
पर अपने भाषण में तुमने थीम को बिलकुल सही तरीके से समझाया.	కానీ నువవు నీ సపీచ తో మన థీమ ని బాగా వయకతపరిచావు.
"डैंपवायरस" और "आकरषक पराणी" को भूल जाओ. यह बडा शानदार तमाशा हो रहा है.	డాంపవెరస అలాగే హాట బీయింగస కాదు, నాకు ఈ డరామానే బాగా నచచింది.
ओह, मेरा आतमसममान.	ఓహ, నా పరువు పోయింది.
परवेश मना है	పరవేశం నిషిదధం
मुझे तुमहारी मदद नहीं चाहिए.	నాకు నీ సాయం అవసరం లేదు.
मौत को हमारा थीम बनाने के बारे में तुमहारा कया विचार है?	చావును మన డానస థీమ గా పెడితే ఎలా ఉంటుంది అంటావు?
