यहाँ पडे-पडे.	ఇకకడ పడుకుని.
ऐसे एक पर भेजिए.	ఒకదానికి పంపండి.
परिफरल में पारी पूरी होने के बाद	అంటే నీ అసలు శరీరంలో మేలకొనగానే,
और मुझे बस चुनना है कि कहाँ से शुरुआत करनी है.	నేను చేయాలసిందలలా ఎకకడ మొదలెటటాలని ఎంచుకోవడమే.
मैं तुमहें ढूँढ लूँगी.	నేను నినను కనుగొంటాను.
मैं वादा करती हूँ.	నేను మాటిసతుననాను.
और तुमहें नहीं पता कि मैं कहाँ होऊँगी.	కానీ నేను ఎకకడ ఉండబోతానో నీకు తెలియదు.
नहीं!	వదదు!
अगर मैं यह कर पाई तो वहाँ हमारे नए रूप होंगे.	నేనీ పని చేసతే, మనం కొతతరూపాలలో ఇకకడ ఉండవచచు.
अगर मेरा वजूद खतम हो गया.	ఇపపటికే నేను చనిపోక ఉంటే.
धत.	ఛత.
सात,	ఏడు,
कुछ नहीं. कसम से.	ఏం చేయలేదు. ఒటటు.
किस बारे में?	దేని గురించి?
रिसरच इंसटीटयूट. वह हमें खतरे में डालता है.	ద రీసరచ ఇనసటిటయూట. మనలని రిసకులో పడేసతోంది.
घाव को नासूर बनने से रोको.	పుండును ఎండేలా చేయి, బాబు.
वह जो भी है, पर इसे ठीक करने के लिए आप उन पर भरोसा नहीं कर सकतीं.	అవేంటో తెలియదు కానీ, దీనని పరిషకరించడానికి మీరు ఆమెపె ఆధారపడకూడదు.
एलीटा कहा करती कि इस रूप में विकसित होने से पहले,	ఒకపపుడు మేమంతా సవరగంలో జీవించేవాళళమని ఎలీటా అనేది,
इसलिए नहीं याद कयोंकि तुमहें याद नहीं रहना चाहिए.	నీకది గురతులేకపోవడానికి కారణం, నీకది గురతుండకూడదు.
अगर तुम खुद को आजाद कर पाओ तो उनहें याद कर पाओगे.	నీ ఇంపలాంట తీసేసుకుంటే, వాళళు నీకు గురతుకొసతారు.
दुनिया को नियंतरित करने वाली शकति का नाजुक संतुलन	పరసతుతం పరపంచంలో ఉనన సుతారమెన అధికార సంతులనం వలల
तुमहारे एहसासों से मैं खुद नतीजा निकाल लूँगी.	నీ భావనలను బటటి నా నిరధారణలు నేను చేసుకుంటాను.
बिलकुल. गाडियों को बडे अचछे से संभालते हो.	కచచితంగా. నువవు కారలని భలే చకకగా కడుగుతావు.
बाकी चीजों में, परतिरोधक शकति खतम हो गई,	నీ వయాధినిరోధకతతో పాటు మరికొనని పోయాయి,
शेरीस मेरी समयरेखा में वह करना चाहती है.	అది నా కాలరేఖలో జరిగేలా చెరీస చూసతోంది.
तो तुम एक मूल बदलाव की बात कर रही हो.	మీరు విపలవాతమకమెన పరతిపాదన చేసతుననారు.
उसे काटकर अलग कर देता है. जला देता है.	ఆ పిచచికొమమని నరికేసతాడు. కాలచేసతాడు.
गलत हाथों में घातक साबित हो सकती है.	అది తపపుడు చేతులలో పరాణాంతక పరికరం.
मेरी जिंदगी, मेरा परिवार, हर वह चीज	నా జీవితం, నా కుటుంబం, నేను పరేమించే
-बैठो. -मुझे अपने पिता से मिलना. . .	-కూరచో. -నేను మా నాననని కలవాలి. . .
इतना कि होमलैंड सिकयूरिटी सचेत करे.	హోంశాఖ హెచచరించేంత గంభీరమెన విషయం.
कलैंटन अरजेंटमेड में गोलियाँ चलीं,	డిసపాచ, కలాంటన ఆసుపతరిలో కాలపులు,
कोई खास बात नहीं, एक अहसास सा है.	నిరదిషటమెంది కాదు, సూచనాపరాయమెంది.
तुमहें सब बताऊँगा. वादा करता हूँ.	నేను పరతీదీ చెపతాను. మాటిసతుననాను.
पहली मुलाकात में मैंने पूछा था कि	మనం మొదటిసారి కలిసినపుడు, నా సటబకు
{\an8}वॉलटर रीड मेडिकल सेंटर 2028	{\an8}వాలటర రీడ వెదయ కేందరం 2028
बरटन के साथ उस लेवल पर वापस जाता.	మళలీ కుకక ఉనన ఆ సథాయికి వెళలాలి.
तुमहारी पतनी अचछी लग रही थी, लेव.	నీ భారయ అందంగా కనిపించింది, లెవ.
कया? आप उनकी मदद नहीं कर सकतीं?	ఏంటి? మీరు ఆమెకు సాయం చేయలేరా?
कि वह मौका पाते ही चमकने लगेगी.	ఎదిగే అవకాశం కోసం చూసతుననాయవి.
जिसे नए सिरे से नहीं बनाया गया.	వాళళు ఇంకా పునరనిరమించని భాగం.
तुम जिस इंसान को जानती हो, उसके परसताव से, या वह जो भी है.	నీకు తెలిసిన వయకతి, అతని పరతిపాదన, లేదా దానని ఏమని పిలిచినా,
पर पूरे शरीर को बचाने के लिए, मुझे एक पैर काटना मंजूर है.	కానీ మొతతం శరీరానని కాపాడటానికి నేను ఒక అంగానని తొలగిసతాను.
एलीटा वेसट ने जो डेटा चुराया.	ఎలీటా వెసట దొంగిలించిన డేటా.
इंसपेकटर लोबीयर ने परसताव पर	ఇనసపెకటర లోబీర ఒక మాట అడగమంది
वरना माली देखने के लिए आएगा.	లేదా తోటమాలి సందరశనకు వసతాడు.
मिसटर जूबोव की टेकनोलॉजी के	జుబోవ గారి సాంకేతిక నిపుణులు
मुझे शक है कि पूरा संगरह है.	మొతతం గరంథాలయం, అనుకుంటాను.
आपको एक नया सटब खोलना होगा.	మీరు నాకొక కొతత సటబ తెరవాలి.
अगर मैं ठीक से समझ रही हूँ,	దీనని సరిగగా అరథం చేసుకుంటే,
मरती हुई चीजों को काबू में करने की बुरी आदत है, शेरीस.	నీకు చనిపోయేవి అదుపులోకి తీసుకునే చెడడ అలవాటుంది, చెరీస.
अब मैं शिकार करना चाहती हूँ.	ఇపపుడు వేటగతతెను నేనవుతాను.
मैं एक समझौता करना चाहूँगी.	ఒక కూటమిని పరతిపాదిసతుననా.
बडे से बलूत के पेड की तरह.	ఒక పెదద సింధూరపు వృకషంలాగా.
और उससे दूसरे पेडों को खतरा हो, तो माली कया करता है?	అది మిగిలిన చెటలకు ముపపుగా మారితే, తోటమాలి ఏం చేసతాడు?
वह न होती तो मैं मर जाता.	ఆమే లేకుంటే చనిపోయేవాడిని.
सच में तुमसे पयार करती थी.	నినను నిజంగా పరేమించింది.
आँखें और कान, वुलफ. इसके वाले और किसी से जुडे हैं.	సావధానం, వూలఫ. ఆమె ఇందరియాలను మరొకరితో పంచుకుంటోంది.
और तुमहें वह कहाँ मिलेगी?	అది నీకు ఎకకడ దొరుకుతుంది?
हम तुमहें आगाह कर रहे हैं.	మేము నినను హెచచరిసతుననాం.
मैंने एक उममीद के सच होने का भरोसा दिया, और तुमहें हमारी मदद करने को मनाया.	ఒక సంభావయతను నిశచయ విషయంగా నీకు చూపించాను, నీతో మా పని చేయించుకోవడానికి.
उनहें सटब दवार कहते हैं.	వాటిని సటబ పోరటలస అంటారు.
पर शायद वह महज कलपना थी.	అది కలపితం కూడా కావచచు.
उसने मेरी जिममेदारी ली.	నా రకషణ బాధయత తీసుకుంది.
शेरीस की मदद करने के लिए, ताकि उसकी समसया हल हो.	చెరీస సమసయ పరిషకరించడంలో ఈవిడ సాయం చేసతుననటటు.
आप उनहें ठीक कर दीजिए.	ఆమెను మీరు బాగు చేయాలి.
सडकों पर. खंडहरों में.	వీధులలోకి. శిథిలాలలోకి.
उनकी लडते-लडते जान गई,	ఆయన పోరాడుతూ చనిపోయాడు,
गाडियाँ वगैरह धोते हो.	మా కారలను బాగా కడగవచచు.
और कोई हमें सुन न पाए.	మన మాటలు ఎవరూ వినకుండా.
मैं हॉथरोन करीक पर. . .	అలా నడకకు వెళతాను. . .
एलीटा ने जो चुराया, जलद ही कलेपट के पास होगा.	తవరలో ఎలీటా చోరీ చేసినది కలెపటకు వెళుతుంది.
तुमहें कुछ कहने की जरूरत नहीं होगी. पता नहीं,	నువవేమీ చెపపాలసిన పని లేదు. నేను ఊరికే అలా,
मैं उससे बात करता हूँ.	వెళళి తనతో మాటలాడుతా.
"शायद अब फलिन सच में अपनी जिंदगी जी पाएगी. "	"ఫలిన ఇకపె దాని జీవితం అది గడుపుతుందేమో. "
जहाँ हम पहली बार मिले.	మొదట మనమికకడే కలిశాం.
लगता है कुछ है जो जाहिर है पर दिख नहीं रहा,	సపషటమెనదేదో చూడలేకపోతుననానని అనిపిసతోంది,
वे परिफरल हैं, दूर से संचालित किए जाते हैं.	అవి పెరిఫరలస, దూరం నుండి నియంతరించబడతాయి.
तुमहें याद नहीं है न?	నీకు గురతులేదు, కదా?
वे सब यहीं हैं, है न? बाकी की जिंदगियाँ.	అవననీ ఇకకడే ఉననాయి కదా? ఎననెననో ఇతర జనమలు.
वह साला बैरा कहाँ है?	ఆ చెతత వెయిటర ఎకకడా?
वह अभी मरे नहीं हैं.	ఆయన ఇంకా చనిపోలేదు.
तुम कहाँ जा रही हो?	ఎకకడికి వెళుతుననావు?
मिसाइल परकषेपण सुविधा को उडाया जाएगा.	కషిపణి కేందరానని పేలచేయాలని చూసతుననారట.
उनहें गोली मार दी.	అతనని కాలచి చంపాడు.
तो, हाँ, वे हमारी याददाशत को दबाते हैं	కనుక, వాళళు మన జఞాపకాలను అణిచేసతారు,
मुझे अचछी तरह पता है कि तुम कहाँ हो.	నువవు కచచితంగా ఎకకడుననావో నాకు తెలుసు.
तबियत कुछ नासाज है.	అంత ఆరోగయంగా లేడు.
सिरफ टहनी को नहीं.	కొమమను మాతరమే కాదు.
तुमहारे पिता बचपन में तुमहें छोटा बाँजफल कहा करते थे.	నీ చిననతనంలో మీ నానన నినను బుజజి సింధూరం అని పిలిచేవారు.
कयोंकि खेल के शुरू में, अनजाने में आपसे कोई गलती हुई थी.	ఎందుకంటే ఆటలో ముందే మనకు తెలియని తపపును చేసేసి ఉంటాం.
शायद आपकी दवा का असर हो रहा है, माँ.	నీ మాతరలు పని చేసతుననటటు ఉననాయమమా.
आप उसे मार डालिए.	మీరు అతనని చంపాలి.
एलीटा ने कहा, बचपन में मेरा घर था.	బాలయంలో నాకొక ఇలలుండేదని ఎలీటా అంది.
मैं बीमार हो गया.	నాకు జబబు చేసింది.
लडकी के दिमाग में.	ఆ అమమాయి తల లోపల.
पर वह किसी सूरमा की मौत मरे, है न?	కానీ ఆయన రాజవీరుడిలా చనిపోయాడు, కదా?
आगे रासता नहीं है.	అదొక వయరథ పరయతనం.
आप मेरे सटब का संपरक काट सकती हैं?	సంధానానని మీరు తెంచగలరా అని అడిగాను.
वापस आकर ऐसे ही बेचैनी सी रहती है?	నువవెళళాక ఇంకా వాంతి కంపు కొడుతుందా?
हिफाजत से रहेंगे.	మనం అకకడ సురకషితం.
समझ रहे हो मैं कया कह रही हूँ, कॉनर?	ఏం అడుగుతుననానో అరథమవుతోందా, కానర?
सैर के लिए जाऊँगी,	హాథోరన కరీక దగగర,
मैं बहुत छोटा था.	నేను చిననవాడిని.
तुमहें इसे साफ करना होगा, जैसपर.	నువవు దానని శుభరం చేయాలిగా, జాసపర.
वापस कयों आई हो?	మళళీ ఎందుకొచచావు?
यहाँ कयों आए हैं?	ఇకకడ ఎందుకుననాం?
आप फंस जाते हैं.	మనం చికకుకుపోతాం.
यहाँ काम हो गया?	మన పని ముగిసిందా?
मौके का फायदा उठाने के लिए, मैंने नियमों के मुताबिक	రీసరచ ఇనసటిటయూటలో పనిచేసతునన వయకతిని బంటుగా. . .
पर अगर मैंने ऐसा कुछ किया जिससे हमारी परतिषठा को	కానీ నేను గాఢంగా చింతిసతుననా, ఒకవేళ మన సథితిని. . .
मेरे साथ चलो, पर यह नहीं चलेगी.	ననను అనుసరించు, కానీ ఆమె రాకూడదు.
तो हम इसे इस तरह से करते हैं. . .	అయితే మనం దీనని ఇలా చూదదాం. . .
और मुझे बुरा सा लग रहा था, इसलिए मैं लोगों को पैसे उधार देता रहा,	దాని గురించి బాధపడడాను, దాంతో మిగతావారిని అపపు తీసుకోనిచచాను,
जो टेकनोलॉजी आपसे चुराई गई है.	మీ నుండి చోరీకి గురెన సాంకేతికత.
यहाँ लाशें हैं,	ఇకకడ శవాలుననాయి,
तुमहारे लिए यह सिरफ एक खेल है न?	మీకు అదొక మామూలు ఆట, అంతే కదా?
पता है कि इसमें कितना खतरा है?	దీనికి తకకువ అవకాశముందని తెలుసా?
तुमहारा बंदा या उनसे जुडी कोई भी चीज वापस आए तो,	నీ బంటు, ఆమె సహాయకులు ఎవరెనా నీ దగగరికి వసతే,
आरआई दवारा बनाए गए हर एक चमतकार के राज मिल जाएँ	ఆరఐ నిరమించిన పరతీ అదభుతానికి వెనకునన రహసయం.
कहा कि मुझे तैयार रहना चाहिए.	ఆయన మృతి చెందే అవకాశం ఉందననాడు.
मुझे अफसोस है.	ననను కషమించండి.
माफ करना, फलिन.	కషమించు, ఫలిన.
वह मर चुकी है.	తను చనిపోయింది.
भोजन की कतारें.	ఆహారపు వరుసలు.
दो से थोडा ऊपर.	రెండు దాటింది.
मुझे बताना पडा.	చెపపక తపపలేదు.
गेम की तरह, नए सिरे से शुरू करना चाहती हो?	నువవు రీబూట చేయాలనుకుంటుననావు, ఒక సిమలో లాగా?
नहीं जानतीं कि कितना कुछ खतरे में डाल रही हो.	ఎంత నషటానని కలిగించబోతుననావో నీకు తెలియదు.
गेम की तरह, नए सिरे से शुरू करना चाहती हो?	నువవు రీబూట చేయాలనుకుంటుననావు, ఒక సిమలో లాగా?
मैं उसकी चिंता नहीं करूँगा.	నేను దాని గురించి దిగులుపడను.
वह फलिन फिशर के दिमाग में है.	అది ఫలిన ఫిషర మెదడులో ఉంది.
कभी हम सब जननत में रहते थे.	పరసతుత సథితికి దిగజారే ముందు.
तुम मुझसे कुछ कहना चाहते हो	నాకు ఏదెనా చెపపాలనుకుంటుననావా
मुझे उससे खुशी मिलेगी, हाँ?	అది ననను సంతోషపెడుతుంది, కదా?
"बरटन तो नहीं बदलेगा, चाहे अचछा हो या बुरा.	"మంచికో, చెడడకో, బరటన బరటనలాగానే ఉంటాడు.
मुझे शिविर पर पडे छापों का कुछ याद नहीं,	నాకు శిబిరాలపె దాడులు జరిగిన జఞాపకాలు లేవు,
तीन लाशें हैं. संदिगध भाग गया है, शायद हथियारबंद है.	ముగగురు చనిపోయారు. నిందితుడు పరారయయాడు, ఆయుధంతో ఉండవచచు.
जैसा कि आपने इस सब के शुरू में किया था.	దీనంతటికీ ముందు నువవు నాకు మాట ఇచచినటటుగా.
मैं तुमसे सवाल पूछ सकती हूँ.	నేను నినను పరశనలు అడగవచచు.
शेरीस नयूलैंड.	చెరీస నులాండ.
तुम समझते हो.	అరథమవుతుందిగా.
हम समझते हैं.	మాకు అరథమెంది.
जानना चाहते हो, हमारे परिवारों को किसने मारा? कलेपट ने!	మన కుటుంబాలని ఎవరు చంపారో తెలుసా, వూలఫ? కలెపట వరగం!
सुविधा को उडाना? जो हमने जैकपॉट के मयूजियम में देखा था.	కషిపణి కేందరం పేలుడు? మనం జాకపాట మయూజియంలో చూసినది.
पूरी कोशिश करो, या फिर सुबह दोबारा देखना.	చేతనెనది చేయి, బహుశా ఉదయం మళళీ చూదదాం.
जैकपॉट. मैं उसे अगले सतर पर ले जाऊँगी.	జాకపాట ఘటన. దానని మరో ఎతతుకి తీసుకెళతాను.
तुम उस ताकत को बढने दोगी.	ఆ శకతిని నువవు ఎదగనిసతావని.
एलीटा ने जो डेटा चुराया था, हम उस तक पहुँच पाएँगे,	ఎలీటా దొంగిలించిన డేటా అంతా మనకు అందుబాటులోకి వసతుంది,
पहरेदारों को भी नहीं पता कि वे कहाँ हैं.	వాటి గురించి భదరతా సిబబందికీ తెలియదు.
-अचछा, पर इंसपेकटर लोबीयर. . . -उनका अपना ही मतलब है.	-ఇనసపెకటర లోబీర. . . -ఆమె ఉదదేశయాలు ఆమెకు ఉననాయి.
-कया हुआ? -गोलियाँ चलीं.	-ఏమెంది? -కాలపులు జరిగాయి.
रोक सकती हैं?	మీరు ఆపగలరా?
मैं उस कारण से नहीं आया.	నేను ఇకకడుంది అందుకు కాదు.
तुमने कुछ बातों को छुपाकर रखा, फलिन.	నువవు రహసయాలు దాసతుననావని తెలుసు, ఫలిన.
कुलहाडा लेकर.	ఒక గొడడలితో.
बस में जो भी था, वे सब कर चुके हैं.	వాళళకు చేతనెనవననీ ఇపపటికే పరయతనించారు.
पर मुझे समझ नहीं आ रहा कि कया कहूँ,	కానీ ఏం చెపపాలో నాకు కచచితంగా తెలియదు,
दोहराता हूँ, संदिगध भाग गया है, शायद हथियारबंद है.	మరోసారి, నిందితుడు పరారయయాడు, ఆయుధంతో ఉండవచచు.
मैं उसकी बातें करता था.	దాని గురించి చెపపేవాడినట.
यह सबसे अहम है. यह चलेगी.	ఆమే ముఖయం. ఆమె వసతోంది.
जब एक टहनी पर कीडा लगा हो	ఓ చెటటు కొమమకి చీడపటటి,
कुछ नहीं. आई लव यू. जलदी घर आऊँगा.	ఏం లేదు. లవ యు. తవరగా ఇంటికి వచచేసతా.
और मन में दस से उलटी गिनती करूँगी.	నా తలలో పది నుండి వెనకకు లెకకబెడతాను.
माँ को तुमहारा साथ पसंद है, डॉमिनिका.	మా అమమకు నీ సహచరయం ఇషటం, డొమినికా.
हमें हमेशा मानकर चलना चाहिए कि वह चाहें तो हमें सुन सकती हैं.	ఎందుకంటే కావాలనుకుంటే, ఆమె మనలని వినగలదని మనం అనుకోవాలి.
वह कहाँ था?	ఎకకడ అననావు?
तुम सच में यह कह रही हो?	నా ఆలోచనే చెబుతుననావా?
अब और खेल नहीं, एलीटा. तुम कहाँ हो?	ఇక ఆటలు వదదు, ఎలీటా. ఎకకడుననావు?
तुमहारे और बरटन के आसपास जो भी अजीबोगरीब चीजें हो रही हैं,	నీ చుటటూ, బరటన చుటటూ వింత విషయాలు జరుగుతునన నేపథయంలో,
द परिफरल पर इससे पहले	ద పెరిఫరల లో ఇంతకుముందు
नए सिरे से शुरुआत नहीं.	జరిగినవాటిని మారచలేం.
साथ में उसका घर, शहर, परिवार. उसका पूरा पिछडा इलाका.	ఆమె ఇలలు, నగరం, కుటుంబంతో సహా. ఆ అసహయమెన పరాంతానని మొతతం.
मैं एक बहुत बडी गलती करने वाला था.	నేను ఓ భారీ తపపు చేయబోయేవాడిని.
कयोंकि मैं उस कमीनी को मारूँगी.	ఎందుకంటే నేను ఆ టకకులాడిని చంపాలి.
तुमहें सिरफ शेरीस नयूलैंड का सामना नहीं करना,	చెరీస నులాండ కననా ఎకకువ సమసయలు మీకుననాయి,
जो तुमहारी और मेरी दुनिया को तबाह कर सकता है.	నీ, నా పరపంచాలలో భారీ కలలోలం సృషటించగలదు.
जरा समझो, अगर वह कलेपट के हाथ लग गया. . .	అరథం చేసుకో, కలెపట దానని కెవసం చేసుకుంటే. . .
जिसका तुमहें शुरू से ही शक था?	మొదటి నుండి నీ అంచనా అదేననుకుంటా?
एलीटा ने साथ रहने की कोशिश की.	మేము విడిపోకుండా ఎలీటా పోరాడింది.
इसलिए, शायद इसके बाद मैं सब संभालूँगा, है न?	కాబటటి, తరవాత పెతతనం నాదే అనుకుంటా, కదా?
तुमहें सच में लगा कि इतनी आसानी से मुझसे बच पाओगी?	నా నుండి అంత సులభంగా తపపించుకుందామని నిజంగా అనుకుననావా?
पर अपनी दुनिया में मर चुके होंगे.	కానీ మనం మన పరపంచంలో చనిపోతాం.
और इस दुनिया का कया?	మరి ఈ పరపంచం సంగతేంటి?
मुझे यह बुरी खबर देने के बदले में तुमहें किसी इनाम की उममीद होगी?	నాకు ఈ దురవారత చెపపినందుకు నువవు బహుమానం ఆశిసతుననావనుకుంటా?
कलैंटन अरजेंटमेड में. यह वही अपराधी है.	కలాంటన అరజెంట మెడలో. ఈ నిందితుడే అయయుంటాడు.
मुझे उस दुनिया में नहीं रहना.	ఆ పరపంచంలో నాకు జీవించాలని లేదు.
या मैं बस उसके बहुत करीब हूँ.	దానని చూడటానికి మరీ దగగరగా ఉననా.
रेल दुरघटना का पता चला, टॉमी.	రెలు గుదదటం గురించి విననా, టామీ.
बहुत ही सीधा-सादा है.	ఇది సాదాసీదా విషయం.
मुझसे वादा करो, फलिन,	నాకు మాటివవు, ఫలిన,
बात करने को कहा है,	ఆమె పరతిపాదన గురించి,
मुझे बहुत अफसोस है.	ననను కషమించు, బంగారం.
यह अपनी मरजी से जा सकती है, या मैं इसे भेज सकती हूँ.	ఆమె తనకె తానే వెళళిపోవచచు, లేదా నేనే పంపిసతాను.
तुम और तुमहारे सिम के बारे में.	నీ గురించి, నీ సిమస గురించి.
वही जीवन की सबसे बडी मुशकिल है.	జీవితానని కషటతరం చేసేది అదే.
नीली तिरपाल पर गिरती हुई बारिश.	నీలం టారపలినపె వాన చినుకులు.
जिसे मैंने हमेशा अपनी माँ समझा.	ఆమే మా అమమని నా బలమెన నమమకం.
कयोंकि अभी भी हमसे डरते हैं.	ఎందుకంటే మనమంటే వారికింకా భయమే.
पर, उसे हमेशा से वैसी ही जिंदगी चाहिए थी. "जब हम आजाद थे, " वह कहा करती.	కానీ ఎపపుడూ ఆ జీవితం కోసం తపించేది. "మనం సవేచఛగా ఉననపపుడు" అనేది.
तुमहारी दुनिया अपने जैकपॉट के कगार पर है.	మీ పరపంచం జాకపాట గడప ముందు నిలబడింది.
पता है कि तुम उदास हो, फलिन, पर. . .	నీకు బాధగా ఉందని తెలుసు, ఫలిన, కానీ. . .
मुझे लगा, "वे चाहें, तो शायद घर बेच सकते हैं.	ఏమనుకుననానంటే, "కావాలంటే, వాళళు ఇలలు అమముకోవచచేమో.
वह गलत था.	అది తపపు.
तुम बहुत ही भोली हो, मिस फिशर.	నీలో హరివిలలులుననాయి, ఫిషర.
तुम सात के थे, वुलफ.	నీకు ఏడేళళు, వూలఫ.
हे भगवान.	ఓరి నాయనో.
-टॉमी. . . -धोखा देने की कोशिश मत करना. समझता हूँ.	-టామీ. . . -నాతో డొంకతిరుగుడు వదదు. అరథమెంది.
मुझे वापस जाना है.	నేను తిరిగి వెళళాలి.
पर मुझे तुमहारी जरूरत पडेगी. और लोबीयर को भी.	కానీ నాకు నీ సహాయం కావాలి. అలాగే లోబీర సహాయం కూడా.
इस तरह के कदम को युदध की सपषट घोषणा बना देगा.	అలాంటి చరయ తీసుకోవడం యుదధానని పరకటించడమే అవుతుంది.
पर मुझे तुमहारी जरूरत पडेगी. और लोबीयर को भी.	కానీ నాకు నీ సహాయం కావాలి. అలాగే లోబీర సహాయం కూడా.
जो हमें मंजूर नहीं. सच में.	ఇది ఆమోదయోగయం కాదు. ముమమాటికీ.
इसका अंजाम बुरा होगा, बेटा.	అందుకు మూలయం చెలలించాలి, బాబు.
मैं आपको यकीन दिलाता हूँ कि वह मेरा इरादा नहीं था.	అది నా ఉదదేశయం కానే కాదని రూఢిగా చెబుతుననాను.
बलकि अपने फायदों के लिए भी.	మన పరయోజనాలను కాపాడుకోవడానికి.
अगर डॉकटर नयूलैंड का बस चला तो और भी लोग मारे जाएँगे.	డా. నులాండ తన పంథాను ఇలాగే కొనసాగిసతే, అతను చివరివాడు కాడు.
मैं दोहराती हूँ, 1052, मदद माँग रहे हैं. कोड तीन.	మళళీ, 1052, అదనపు బలగాలు పంపండి. తీవరత మూడు.
जंगल था. दूर-दूर तक पेड नजर आते थे.	అడవి ఉండేది. కనుచూపు మేరా చెటలు ఉండేవి.
मेरी दुनिया में, मेरे अधिकार से बाहर काम कर सकती हो,	సామరథయముందని అనిపిసతోంది, ఇపపుడునన పరిసథితులను బటటి చూసతే,
ऐसा है कि हमारे इंपलांट काफी जटिल यंतर हैं.	చూసతుంటే, మన ఇంపలాంటలు చాలా సంకలిషటమెన పరికరాలు.
तुम जो चाहती हो, वह उतना आसान नहीं है,	నువవు అడుగుతుననది ఏమంత సులభం కాదు,
और मौजूदा परिसथिति को देखते हुए ऐसा लगता है कि तुम	చూసతుంటే, మీకు నా పరపంచంలో నా సథాయికి మించిన పనులను చేసే
मैंने जैसा चाहा, उसी तरह अपनी जिंदगी जी है, माँ, ठीक है?	ఎలా జీవించాలనుకుననానో అలానే జీవిసతుననానమమా, సరేనా?
