मारकस.	మారకస.
तो यहाँ आने के लिए आप सबका बहुत-बहुत शुकरिया.	కాబటటి ఇకకడికి వచచినందుకు అందరికీ ధనయవాదాలు.
तो, अब मैं बलैक मामबा नाम रख सकता हूँ न?	అయితే, నా పేరు ఇక బలాక మాంబాగా ఉండవచచా?
सुनो, चूँकि हमारे पास रेडियो नहीं हैं,	హే, మన వదద సమాచార పరికరాలు లేవు కాబటటి,
जहाँ तक मैंने सुना है, गलोरिया बोनालडे	నేను విననదానని బటటి, గలోరియా బొండేలకి
तो लोगों से जबरन यह कबूल कयों करवाया?	మరి ఈ బలవంతపు నేర అంగీకారాలు ఎందుకు?
वहाँ 50 से जयादा सथानीय लोग काम करते हैं. हम उन सबसे पूछताछ कर रहे हैं.	ఆ భవనంలో 50కంటే ఎకకువమంది సథానికులు పని చేసతుననారు, అందరినీ పరశనిసతుననాం.
मैकडिल वायुसेना छावनी टैंपा, फलोरिडा	మాక డీల విమాన దళ బేస టాంపా, ఫలోరిడా
असपताल में बायीं आँख से घायल आदमी को ढूंढने के लिए मैंने लोग लगाए हैं.	ఎడమ కంటలో దెబబ తగగిన వయకతి కోసం నా మనుషులు అనని ఆసుపతరులు వెతుకుతుననారు.
तुमने हमेशा मेरी सलाह की कदर की है.	నా సలహాకి ఎపపుడూ విలువ ఇచచేవాడివి.
"वे अंत में हमेशा आजाद रहते हैं! "	చివరికి ఎపపుడూ సవేచఛ పొందుతారు! "
मतलब इस जंगल में जाने और बाहर आने के लिए हमारे पास बस यह नाव ही है.	అంటే, అడవిలోకి పోవడానికి, బెటికి రావడానికి, ఈ పడవే మన ఏకెక మారగం.
जब तक है एकता, कोई हरा नहीं सकता!	ఐకమతయంగా ఉనన జనం ఎపపుడూ ఓడిపోరు!
- लो, मेरा वाला ले लो. - शुकरिया.	-ఇదిగో, నాది తీసుకో. -ధనయవాదాలు.
पर असल में वह करांति नहीं चाहते.	కానీ అతనికి నిజంగా విపలవం వదదు.
यहाँ आने का बहुत-बहुत शुकरिया.	వచచినందుకు అందరికీ ధనయవాదాలు.
और परारथना के बाद, सब अपने घर के बाहर कोई भेंट रखते थे.	పరారథన తరువాత, పరతి ఒకకరు తమ ఇంటి బెట నెవేదయం పెటటేవాళళు.
- तुम होजे से मिले हो. - सर.	-నువవు జోసటని కలిసావు. -సర.
इली, शुकर मनाओ. हमारी किसमत अचछी है कि हमारे पास हैम है.	ఐలీ, సంతోషించు. మనం హామ తినగలుగుతుననామంటే అదృషటవంతులం.
और हम इसे वापस लेकर रहेंगे!	మనం దీనని వెనకకి తీసుకుంటాం!
रेयस जंगल में कया कर रहा है?	రేయేస అడవిలో ఏం చేసతుననాడు?
मीराफलोरेस कराकस, वेनेजुएला	మీరాఫలోరెస కరాకస, వెనిజులా
वह अपने काम में माहिर है.	తన పని తాను బాగా చేసతుంది.
तुमने मुझे शेयर बाजार के लिए एक भी सलाह नहीं भेजी.	మీరెతే నాకు ఒకకసారి కూడా సటాకల గురించి సలహా ఇవవలేదు.
पता नहीं किस पर यकीन करूँ.	ఏం నమమాలో నాకు తెలీటలేదు.
और हम पिछले हफते के मुकाबले चार पॉइंट आगे आ गए हैं.	ఇంకా గత వారం నుండి మనకు నాలుగు పాయింటలు పెరిగాయి.
- जमकर पढाई करना. - जरूर.	-బోలెడు నేరచుకో. -అలాగే.
मैं आपको बताना चाहता हूँ कि वेनेजुएला आपके साथ है.	వెనిజులా మీ వెనకాల ఉందని మీకు తెలియాలి అనుకుననా.
ठीक है, ऊबर, हमें ले चलो.	సరే, ఉబెర, మన దిశ మారచు.
राज बस इतना है कि तुम अपने लिए एक जबरदसत एसएंडपी 500 इंडेकस फंड ले लो.	నువవు నిజంగా మంచి ఎస&amp; పి 500 సూచిక నిధి కొనుకకోవడమే అసలు రహసయం.
मुझे अमरीकी सांसद के बारे में कयों नहीं बताया?	నాకు అమెరికన సెనెటర గురించి ఎందుకు చెపపలేదు?
तुमहारा अंदाज गलत था. जाने का वकत हो गया है.	నువవు తపపు నిరణయం తీసుకుననావు. ఇక మనం వెళళాలి.
नदी के इस हिससे पर पानी का कोई भरोसा नहीं है,	నదిలో ఈ భాగంలో నీటి ఒరవడి అనూహయంగా ఉంటుంది,
अपना जूस मत भूल जाना.	జయూస తాగడం మరచిపోకండి.
- शुकरिया. - माफ करना, हमें देर हो रही है.	-ధనయవాదాలు. -కషమించాలి, మాకు ఆలసయం అవుతుంది.
पर धयान रखना होगा कि वह कया बोलती है, खासकर निकोलस के बारे में.	కానీ తను ఏమంటుందో మనం గమనించాలి, అదీ నికోలస గురించి మాటలాడినపపుడు.
मुझे दिल की बीमारी है.	నా గుండెలో సమసయ ఉంది.
इसे डुबाना चाहते हो?	దీనని ముంచుతావా ఏంటి?
इसने ही मेटरो में सुलेमान का पीछा किया था.	మెటరో సటేషనలో సులేమానని వెంటాడింది ఇతనే.
गुड मॉरनिंग. कैसे हो?	శుభోదయం, ఎలా ఉననారు?
लोगों में जोश जगाने के लिए कोई जादू करूँ?	ఏదెనా మయాజిక చేసి, ట జనానని ఉతసాహపరచనా?
हमें यहाँ से 500 मीटर दकषिण में ले चलो.	మమమలని దకషిణానికి 500 మీటరల దూరంలో దింపు.
टॉम कलैनसीज जैक रायन	టామ కలానసీస జాక రెన
माफ करना, ऊबर, पर तुमहारा नाम ऊबर ही है.	కషమించు, ఉబెర, కానీ నీ పేరు చెతత ఉబెర.
मैंने उसे नहीं मारा.	అతనని నేను చంపలేదు.
कोई फल, खाना, जो भी उनके पास होता था.	కొనని పళళు, ఆహారం, వారి వదద ఉంది ఏదెనా.
भाड में जाऊँ? किस हाथ से गोली चलाते हो?	నేను చావాలా? నువవు ఏ చేతతో కాలుసతావు?
उतरने की जगह से दस किलोमीटर दूर हैं.	దిగాలసిన పరాంతానికి పది కిలోమీటరలుంది.
- रायन को सबसे जयादा चोट आई. - ठीक है.	-రెన పెనే ఎకకువ పరభావం పడింది. -సరే.
पसंद होना ही चाहिए.	ఇషటపడితేనే మంచిది.
मुझसे कया चाहती हो?	ననను ఏం చేయమంటావు?
उनहोंने अधिकतर डिबबे हटाकर किसी ऊँची जगह रख दिए होंगे.	వాళళు దాదాపు కంటెయినరలననీ ఎగువ భూమికి తరలించినటటు ఉననారు.
न उनका अंदाज है, न वे इस काबिल हैं.	వారి శెలి కాదు, వారికంత నెపుణయం లేదు.
और अपने पति सरजियो के सममान में किया,	ఇంకా నా భరత సేరిగో గౌరవారథం చేసాను,
मैं काम चला लूँगा.	నేను చూసుకుంటాను.
नाव में एक छेद है.	పడవలో రంధరం ఉంది.
तुम सटेशन चीफ हो.	నువవు సటేషన ఛీఫవి.
उसे बहुत पसंद आई.	తనకి చాలా నచచింది.
मैं गुससे में था.	నాకు కోపం వచచింది.
"वेनेजुएला हमारा परिवार है, मिगेल. "	"వెనిజులా మన కుటుంబం, మిగవెల" అని.
बडे साहब यहीं हैं.	బాస ఇకకడే ఉననాడు.
और मैंने वही किया.	నేను చేసింది అదే.
अगर तुमहें कुछ बताने की जरूरत होगी,	నువవు తెలుసుకోవలసింది ఏదెనా ఉంటే,
हम अपने अधिकार सरकार को दे रहे हैं,	మనం మన హకకులను రాషటరానికి ఇచచేది,
हाँ, यह बेकार है.	అవును, అది చెతత.
हम अपना पयारा वतन वेनेजुएला आपके हवाले करते हैं.	మా పరియమెన వెనిజులా దేశానని నీ చేతులలో పెడుతుననాము.
लो, यह तुमने गलती से गिरा दिया था.	ఇదిగో, ఇవి పారేసుకుననటటు ఉననావు.
अमोनियम नाइटरेट?	అమమోనియం నెటరేటా?
उनहें वापस नदी में मत जाने देना!	వాళళని నదిలోకి తిరిగి వెళళనివవదదు!
- है कि नहीं, ऊबर? - जैसा यह कहे.	-అంతే కదా, ఉబెర? -అతనేమంటే అది.
ताकत का इसतेमाल करने, धमकाने और इसकी इजाजत देने का अधिकार होता है.	బెదిరించడానికి, లేదా అధికారమివవడానికి పరతయేక హకకు కలిగిన సంసథ.
हमें तो वहाँ होना भी नहीं चाहिए.	మనం అసలు అకకడికి వెళళదదు కూడా.
इसका नाम ऊबर है.	ఇతని పేరు ఉబెర.
हम पहुँच गए हैं.	మనం చేరుకుననాం.
यहाँ आने का बहुत-बहुत शुकरिया.	ఇకకడ ఉననందుకు అందరికీ ధనయవాదాలు.
कौन सुन रहा है?	ఎవరు వింటుననారు?
गलोरिया बोनालडे,	గలోరియా బొండేల,
तुम एक मालवाहक बंदरगाह पर गए,	నువవు కారగో దించే రేవుకి వెళళి,
पकड लिया, बॉस.	పటటుకుననా, బాస.
राषटरपति रेयस बदलाव लाने की,	పరెసిడెంట రేయేస మారపు గురించి,
वे जो भी थे, बहुत सोच-समझकर काम करते हैं.	వాళళు ఎవరెనా కానీ, చాలా వయవసథీకృతంగా ఉననారు.
- देखो तुमने कया शुरू कर दिया. - तो कया हुआ?	-నువవు ఏం మొదలుపెటటావో చూడు. -అయితే ఏంటి?
इस देश में बहुत सारे लोगों के पास खाने को कुछ नहीं है.	తినడానికి సరిపడా తిండిలేని వాళళు ఈ దేశంలో చాలామంది ఉననారు.
ये सब यहाँ आपके लिए आए हैं.	వాళళు ఇకకడికి మీ కోసం వచచారు.
एफएएल एक छोटी सी वामपंथी विदरोही सेना है.	ఎఫ ఏ ఎల చాలా చినన లెఫటిసట విపలవకారులు.
करांति की बातें करते हैं,	విపలవం గురించి మాటలాడుతాడు,
ओय, नए बंदे.	హే, కొతతవాడా.
मेरे वहाँ पहुँचने से पहले वे भाग गए थे.	నేను చేరుకునేలోగా వాళళు వెళళిపోయారు.
तुमने यह कल भी माँगा था.	నువవే నినన అది కావాలననావు.
कोई बात नहीं. मैं जानता हूँ कि तुम बहुत तनाव में हो.	ఫరలేదు. నువవు చాలా ఒతతిడిలో ఉననావని నాకు తెలుసు.
फाइबरगलास में दरार आ गई है, पर मैं ठीक कर सकता हूँ.	ఫెబరగలాస పగిలింది, కానీ నేను దానని బాగుచేయగలను.
डॉकटर, तुम इस चिरकुट को संभाल लोगे?	డాకటర, ఈ వెధవ సంగతి నువవు చూసుకుంటావా?
दोसतों, हम तट से 20 किलोमीटर से जयादा दूर हैं.	మనం తీరానికి 20 కిలోమీటరల కంటే ఎకకువ దూరంలో ఉననాం.
कयोंकि मचछर कारबन डाइऑकसाइड की ओर आकरषित होते हैं,	ఎందుకంటే దోమలు కారబన డె ఆకసెడకి ఆకరషించబడతాయి,
सवाल यह है कि लोग सरकार को कयों पसंद करते हैं?	ఇకకడ పరశన ఏంటంటే, జనానికి రాషటరం అంటే ఎందుకు ఇషటం?
- मैकस वेबर. - मैकस वेबर.	-మాకస వెబర. -మాకస వెబర.
- हे भगवान! - दोबारा आवाज की, तो एक और काट दूँगा.	-దేవుడా! -చినన శబదం వచచినా, ఇంకోటి తీసేసతాను.
सब फटाफट नाव से उतर जाओ.	అంతా ముందు పడవ దిగండి.
मेरे साथ चलो, तुम दोनों.	నాతో పాటు రండి, ఇదదరూ.
- तो उनहें हैम खिलाओ. - बहुत हुआ.	-ఈ హయామ వాళళకి తినిపించు. -ఇంక చాలు.
अचछा, अब मुझे जाना होगा. शुकरिया.	సరే, నేనిక వెళళడం మంచిది. ధనయవాదాలు.
जैसा कि तुम सब जानते हो,	మీ అందరికీ తెలిసినటటు,
- चलो. हमें जाना होगा. - कहा न, मैं ठीक हूँ!	-పద. మనం వెళలాలి. -నీకు చెపపాను, నేను బాగుననాను!
किसी को पता भी नहीं चलेगा कि हम यहाँ आए थे.	మనం ఇకకడికి వచచాం అనన విషయం కూడా ఎవరికీ తెలీదు.
और यहाँ पर है ऊबर डूबर.	ఇకకడ ఉననది ఉబెర డూబర.
मैं तुमहें और रायन को छोडकर ऊबर को लेने वापस जाऊँगा.	నినను, రెనని దింపిన తరువాత, మేము ఉబెర కోసం తిరిగి వెళతాం.
शुकरिया, मटेयो. तुम जा सकते हो.	ధనయవాదాలు, మేటియో. నువవు వెళళవచచు.
बहुत-बहुत शुकरिया, और यहाँ आने का भी शुकरिया.	ధనయవాదాలు, ఇంకా ఇకకడికి వచచినందుకు థాంకస.
अपने हाथ सिर पर रखो.	చేతులు తల మీద పెటటుకో.
और मेरे खयाल से लोगों को लगना चाहिए कि कोई उनकी हिफाजत कर रहा है.	తమను ఎవరో ఒకరు కాపాడుతుననారని పరజలు భావించాలసిన అవసరం ఉంది.
वेनेजुएला के अखबारों में नहीं, पर पेरू,	వెనిజులాలోని వారతా పతరికలు కాదు, కానీ పెరు,
दरजनों लापता देशपरेमियों पर जाए,	డజనల కొదదీ కనిపించకుండా పోయిన
तुम पलटकर काटते हो?	నువవు తిరిగి కుడతావా?
तो, अब हम कया करें?	అయితే, మనం ఏం చేదదాం?
निकोलस उसके अंकल हैं.	నికోలస ఆమెకు అంకుల.
यह नहीं चलेगा. तुम नाव संभालते हो, है न?	అది కుదరదు. నువవు పడవ నడుపుతావు కదా?
मैं ठीक हो जाऊँगा.	ఫరలేదు, తగగిపోతుంది.
हमें पता है कि वे नदी से आगे गए हैं.	వాళళు నదికి ఎగువగా వెళళారని మనకు తెలుసు.
हर रविवार हमें परारथना में जाना पडता था.	పరతి ఆదివారం చరచికి వెళలాలసి వచచేది.
उसकी उतनी ही कदर करता हूँ जिसके वह काबिल है.	నేను అతనికి ఖచచితంగా ఎంత విలువ ఇవవాలో అంత ఇసతాను.
"मोरटन हाउगलैंड"?	"మారటెన హౌగలయాండా"?
हम दोनों भूखे थे.	ఇదదరం ఆకలితో ఉననాం.
शुकरिया, रॉडरिगो.	ధనయవాదాలు, రోడరిగో.
जनमदिन की पारटी में मजा आया?	15TH బరత డే ఎంజాయ చేసావా?
एक ऐसी संसथा जिसके पास अपनी सीमा में रहने वाले नागरिकों पर	తన భూభాగంలోని నివాసితులకు వయతిరేకంగా భౌతిక శకతిని ఉపయోగించడానికి,
धत तेरे की! उपकरण गीले हो गए हैं.	అయయో! ఎలకటరానిక పరికరాలు తడిచిపోయాయి.
इसे ठीक करने में कितना वकत लगेगा?	దీనని బాగుచేయడానికి ఎంతసేపు అవుతుంది?
वह तानाशाही उसकी ताकत तय करती है.	గుతతాధిపతయం దాని శకతిని నిరణయిసతుంది.
हाँ, चलो!	సరే, పద!
वेनेजुएला के तट के पास कैरिबियन सागर	వెనిజులా కరేబియన సముదరం తీరం పెన
सब नाव से उतर जाओ.	అంతా పడవ దిగండి.
अमरीका से नफरत तो उनके उसूलों में भी नहीं है.	అమెరికా వయతిరేకత అనేది వారి రకతంలో లేదు.
उनहोंने फरश तक साफ कर दिया.	వాళళు నేల కూడా ఊడచేసారు.
कुछ नहीं.	ఏమీలేదు.
धीरे से.	నిదానంగా.
ऊबर? बकवास है. बलैक मामबा.	ఊబరా? చెతత. బలాక మాంబా.
मैं लुइजियाना का बंदा हूँ.	నేను లూయిసియానా వాడిని.
कोई परेशानी है कया, मिगेल?	ఏమెనా జరిగిందా, మిగవెల?
वह निशाने पर कयों होगी?	తనను ఎందుకు లకషయం చేసతారు?
रायन? कया मतलब?	రెనా? ఏమంటుననావు?
मैं गाडी चलाऊँगा.	నేను నడుపుతాను.
ठीक है, चलते हैं.	సరే, పద వెళదాం.
और किसे पता है?	ఇంకెవరికి తెలుసు?
हाँ, वे मुझसे पंगा नहीं लेते कयोंकि वे सच जानते हैं.	అవును, వాటికి నా గురించి నిజం తెలుసు కాబటటి నాతో పెటటుకోవు.
रायन विकिरणों की मातरा की जाँच करेगा.	రెన, ఇకకడ, రేడియేషన సథాయిలు తనిఖీ చేసతాడు.
यह डाकू रानी है डिसको.	ఈ యోధ యువరాణి పేరు డిసకో.
इसलिए मचछर मुझे परेशान नहीं करते.	బయూ తతవంనా నరాలలో నిండి ఉంది.
अचछा, ऊबर, हमें वहाँ ले चलो, ठीक है?	సరే ఉబెర, మమమలని ఇటు వెపుకి తిపపు, సరేనా?
ठीक है.	విననాము.
किसने बताया कि मुझ पर नजर रखी जा रही है?	నా పె నిఘా ఉందని నీకు ఎవరు చెపపారు?
दया की देवी. . .	దయ గల మాత. . .
वे आपका इंतजार कर रहे हैं, गलोरिया.	వాళళు నీ కోసం ఎదురు చూసతుననారు, గలోరియా.
कि आपका धयान सरजियो जैसे	మాయం అయిన సేరిగోలాంటి
मुझे कुछ बताना चाहते हो?	నాతో ఏమెనా మాటలాడాలా?
चीयरस, दोसतों!	ఛీరస, మితరులారా!
यहाँ आओ.	ఇలా రా.
- साला ऊबर है कहाँ? - हम उसे लेने वापस आ जाएँगे.	-ఉబెర ఎకకడుననాడు? -అతని కోసం తిరిగి వదదాం.
मैं बेल चेस से हूँ, जो नयू ऑरलियनस के पास ही है.	నేను బెలలా చేస వాడిని, అది నయూ ఒరేలనస శివారలలో ఉంటుంది.
कह रहा है कि बंडी और बिलला पहनकर रखना है.	నీ కోటు, బయాడజి తపపకుండా వేసుకోవాలని అంటుననాడు.
सिमोन बोलिवार ने एक बार कहा था,	సెమన బొలివార ఒకసారి అననాడు,
डॉकटर, हमें जाना होगा. इसी वकत!	డాకటర, మనం వెళళాలి. వెంటనే!
मेरे एसएडी वाले साथी कुछ घंटे पहले मौके पर पहुँचे हैं.	మా ఎస ఏ డి సేన రెండు గంటల కింద రంగంలోకి దిగారు.
अगर हम अलग-अलग हो गए, तो तुम सब जहाँ हो वहीं रुक जाना.	ఒకవేళ మనం విడిపోతే, మీరంతా ఎకకడి వారకకడ ఉండండి.
नदी के काम के लिए सॉक-आर बेहतर नाव होती.	నదిలో పనికి సొక - ఆర పడవ అయితే మెరుగగా ఉండేది.
तुरकी में तुमने कहा था कि तुम सिनसिनाटी से हो.	టరకీలో, నువవు సినసినాటీ వాడివని చెపపావు.
मैं पलटकर काट लेता हूँ.	నేను తిరిగి కుడతాను.
वे हमारे साथ तट पर जाएँगे.	వాళళు మనతో తీరం దగగరకు వసతారు.
हाँ. जयादा लोग होने से कोई नुकसान तो नहीं है.	అవును. మానవ వనరులు ఎకకువుంటే నషటం లేదు.
इस हसीना का नाम है कायोटी.	ఇకకడునన ఈ చిననదాని పేరు కయోటే.
तब तक गोली मत चलाना जब तक तुम पर गोली न चले, ठीक है? समझ गए?	మన మీద కాలపులు జరిపితే తపప కాలచదదు, సరేనా? అరథమెందా?
कोई आ रहा है.	ఎవరో వసతుననారు.
मॉसको का सटेशन चीफ और तुम.	మాసకోలో సటేషన ఛీఫకి ఇంకా నీకు.
मुझे आज यह नहीं चाहिए.	నాకు అది ఇవాళ వదదు.
चलो, जलदी चलो! उस ओर चलो.	పదండి, పదండి! కిందికి దిగండి.
अमरीकी दूतावास कराकस, वेनेजुएला	యు. ఎస. దౌతయకారయాలయం కరాకస, వెనిజులా
गैरकानूनी हथियारों के दसते ढूँढेंगे.	అకరమ ఆయుధ సామగరి ఉందేమో చూదదాం.
ठीक है, बात साफ कर लेते हैं.	సరే, ఒకటి సపషటం చేసతాను.
मेरी बात सुनो.	నా మాట విను.
यह एक निहतथा सिपाही है. हम इसे ऐसे नहीं मार सकते.	అతను నిరాయుధ సెనికుడు. మనం అతనని చంపకూడదు.
मिगेल,	మిగవెల,
हवाई जहाज से कूदते वकत रेडियो खराब हो गए.	దిగిన తరువాత రేడియోలు పని చేయటలేదు.
- ठीक है, तो तुम डराइवर हो? - हाँ.	-సరే, నువవు డరెవరువా? -అవును.
यहाँ आने के लिए बहुत-बहुत शुकरिया.	ఇకకడికి వచచినందుకు ధనయవాదాలు.
कमाल की पारटी थी.	అది చాలా గొపప పారటీ.
हम केवल निगरानी रखेंगे. कोई जाँबाजी दिखाने की कोशिश मत करना.	ఇది ఇంటలిజెనస నిఘా మాతరమే. మీ ఇషటం వచచినటటు చేయదదు.
अपने घुटनों पर बैठो.	మోకాళళ మీద కూరచో.
फिर अचानक तुम पर हमला हुआ जिसमें तुम मारे जा सकते थे?	కంగారు పడి, అకసమాతతుగా చావాలని అనుకుంటుననావా?
कि कह सको कि मुझे साला एक इंडेकस फंड खरीद लेना चाहिए?	నేను చెతత సూచిక నిధి కొనుకకోవాలని చెపపడానికా?
तुमहें तो वे छू भी नहीं रहे.	అవి నినను కనీసం ముటటుకోవడమే లేదు.
तो सही भी है कि उनहोंने सामान हटा दिया.	కాబటటి వాళళు కంటెయినరలని తరలించడంలో అరథం ఉంది.
और इसका लहजा बता रहा है कि कोई गडबड नहीं होनी चाहिए, लडकों.	తను చెపతునన తీరును బటటి, పిలలలూ వెధవవేషాలు వేయదదు.
ठीक है, गाडी यहाँ लगा दो. सिंकोपामस वहाँ है.	సరే, ఇకకడ పారక చెయయి. సింకోపాలమాస సరిగగా ఇకకడే ఉంది.
हमसे जबरन परारथना करवाते थे. कया परारथना थी?	మనతో బలవంతంగా పరారథన చేయించేవారు. ఆ పరారథన గురతుందా?
हाँ, पर तुमहें उससे फरक नहीं पडा.	అవును, కానీ నువవు ఆకలిని పటటించుకోలేదు.
वह मरिया को कुछ नहीं होने देंगे.	అతను మరియాకు ఏమీ జరగనివవడు.
- कया तुम ठीक हो? - मैं ठीक हूँ. जाकर नाव में बैठो.	-నువవు బాగుననావా? -బాగుననాను. పడవలోకి ఎకకు.
- हमारी सथिति कैसी है? - लाजवाब.	-మన పరిసథితి ఎలా ఉంది? -అదభుతంగా ఉంది.
इस देश में तो नहीं.	ఈ దేశంలోవి కాదు.
तुमने मुझसे कहा,	నువవు నాకు చెపపావు,
मैं उनसे मिलने जा रहा हूँ, फिर नदी के साथ-साथ माल के गोदाम तक जाऊँगा.	నేను వారిని కలిసి, తరువాత కారగో డిపోకి నది ఎగువకి వెళతాను.
फिर हम घर लौट जाएँगे.	తరువాత మనం ఇంటికి వెళతాం.
सैड की तसवीरों के अनुसार,	ఎస ఏ డి ఫోటోల పరకారం,
मैं नहीं चाहता कि वह भी निशाने पर आए.	తను కూడా లకషయం కావడం ఇషటం లేదు.
इसी वजह से मैंने मॉसको छोडा था.	నేను మాసకో వదిలి రావడానికి కారణం అదే.
हमें जहाँ जाना हो, यह हमें ले जाएगा.	మనలని ఎకకడికి కావాలంటే అకకడికి తీసుకెళతాడు.
सतयानाश! ऊपर से, मैं मचछर भगाने वाला सपरे भी नहीं लाया.	దేవుడా! పెగా, నేను దోమల మందు సపరే తెచచుకోలేదు.
यह नवारो है.	తను నవారో.
जानता हूँ.	నాకు తెలుసు.
जानता हूँ.	నాకు తెలుసు.
सच कया है?	ఆ నిజం ఏంటి?
जैसे ही हमें आते हुए देखो, यहाँ से निकलने के लिए तैयार रहना.	మేము రావడం చూడగానే, తవరగా వెళళడానికి సిదధంగా ఉండు.
मैंने बताया कि मुझे तुमहारी कितनी याद आई?	నినను ఎంత మిస అయయానో నీకు చెపపానా?
नहीं, पर सोचा कि तुमहारी हिममत बढानी चाहिए.	నిజంగా కాదు కానీ కాసత ఆతమ విశవాసం పెంచుదామని అననాను.
तुमने पूछा था न कि मुझे सपैनिश आती है या नहीं?	నాకెంత సపానిష వచచని అడిగావు, గురతుందా?
ऊबर, इंजन चालू करो!	ఉబెర, ఇంజన సటారట చెయయి!
हम तैयार हैं, मिसेज बोनालडे.	మేము సిదధంగా ఉననాం, శరీమతి బొండేల.
मैं कहना तो चाहूँगा कि उनमें से कोई भी रेयस का जासूस नहीं है,	వారిలో ఒకకరు కూడా రేయేస గూఢచారి కాదని చెపపాలనుంది,
जयादा कुछ याद नहीं है.	నా బటటలు బాగాలేవు.
- तुमने बताया ही नहीं. - तुमने पूछा ही नहीं.	-నువవు ఏమీ చెపపలేదు? -నువవు అడగలేదు.
हे भगवान.	ఓరి దేవుడా.
- कया तुमने यह कहा था? - नहीं, मैंने यह नहीं कहा!	-నువవు ఆ మాట అననావా? -లేదు, నేను అనలేదు!
अंदर जाने के बाद, हम एक या दो डिबबे खोलेंगे,	ఒకకసారి లోపలికి వెళళాక, ఒకటి, రెండు కంటెయినరలు తెరిచి,
जगह के बारे में किसने कहा?	మన గమయం గురించి ఎవరు ఏం చెపపారు?
ठीक है, तो मैं साथ चलूँगा.	సరే, అయితే, నేనూ నీతో వసతుననాను.
ये नामुराद मचछर.	ఈ చెతత దోమలు.
और तुम, मिसटर अरथशासतर के डॉकटर,	ఇంకా అరథశాసతరపు డాకటరుగారు
मुझे सच बताओ.	నాకు నిజం చెపపు.
- गुड मॉरनिंग, रॉडरिगो. - गुड मॉरनिंग, मिसेज बोनालडे.	-శుభోదయం, రోడరిగో. -శుభోదయం, శరీమతి బొండేల.
मुझे यह बताते हुए बेहद खुशी हो रही है	నేను ఇది గరవంగా పరకటిసతుననాను,
गुड मॉरनिंग, साथियों.	శుభోదయం, అందరికీ.
