वाह.	వావ.
तो हमें काफी देर इंतजार करना होगा.	అలా అయితే మనం చాలాకాలం వేచి ఉండాలి.
हाँ. कया मैं सवेटबैंड पहनकर आऊँ?	సరే. నేను సవెట బయాండ పెటటుకోవాలా?
और तुमहारे डैड लापरवाह डराइवर थे.	కానీ మీ నానన చాలా దురుసు డరెవరు.
मैं इतनी बेवकूफ महसूस कर रही हूँ.	నేను ఒక పిచచిదానిని అనిపిసతోంది.
-कया उसके पेशाब में परोटीन है? -मैंने पेशाब की जाँच नहीं की है.	-తన మూతరంలో పరొటీన ఉందా? -నేను ఇంకా తన మూతరానని పరీకషించలేదు.
-कया? -"कभी पयार में मत पडना. "	-ఏంటి? -"పరేమలో ఎపపుడూ పడకు. "
मैं उन गोलियों को फरीज करूँगी.	ఈ చినన చెతతవాటిని ఫరీజ చేసతాను.
तुम और मैं जेपी के पीछे जाएँगे.	నువవు, నేను జెపిని అనుసరిదదాం.
हाँ, मैं भूल गई थी कि तुमहें गोलियाँ चलाना कितना पसंद है.	అవును, ఏదెనా షూట చేయడం అంటే నీకు ఎంత ఇషటమో నేను మరచిపోయాను.
मैं कोशिश कर रहा हूँ, थेरेसा.	నేను పరయతనిసతుననాను, థెరెసా.
-हम अंदर आ सकते हैं? -नहीं.	-మేము లోపలికి రావచచా? -లేదు.
देखो, मैंने फोन किया कयोंकि तुमने गरुप में जेपी के जनमदिन को लेकर जवाब नहीं दिया.	చూడు. నీకు ఎందుకు ఫోన చేశానంటే, జెపి పుటటినరోజు గురించి గరూపులో నువవు రిపలె ఇవవలేదు.
-अलविदा. -कयों, बिबी? बिबी!	-బె బె. -దేనికి, బీబీ? బీబీ!
वैसे, ऐसी विरासत अमूलय हैं.	సరే, ఇటువంటి వారసతవం అమూలయం.
हैलो. हैलो, मैं गैबरिएल हूँ.	హాయ. హాయ, నా పేరు గాబరియేల.
मैंने फोटो डिलीट कर दी थी.	ఆ ఫోటోని నేను డిలీట చేశాను.
मैंने उनहें फोन किया. उतसाही खिलाडी होने का नाटक किया.	వాళలకి ఫోన చేశాను. ఒక పిచచి ఔతసాహికురాలిగా నటించాను.
उप-शीरषक अनुवादक: मून कलिता	తెలుగు అనువాదం: సతీశ కుమార
और मुझे सटूडियो लौटना है.	నేను నా సటూడియోకి వెళలాలి.
तुमहें पता है मुझे कया पसंद है. वह गलती कर देगा. बुरा तो नहीं मानोगे, जान?	నేను ఏం తింటానో నీకు తెలుసు. తను సరిగగా తేలేడు. నువవు ఏమీ అనుకోవు కదా, బుజజీ?
चलो डॉनल और जेपी को एक टीम में रखें. जेपी को यह पसंद आएगा. लडके बनाम लडकियाँ.	డోనల ని జెపి జటటులో పెడదాం. అబబాయిలతో అమమాయిలు ఢీ కొటటడం అంటే జెపికి ఇషటం.
रकतचाप थोडा कम हो गया है.	రకతపోటు కొదదిగా తగగింది.
थोडा? पर यह 120 से कम और 80 से जयादा होना चाहिए.	కొదదిగానా? కానీ అది 120, 80 కననా తకకువ ఉండాలి కదా.
शांत हो जाओ, शांत हो जाओ. दुरघटनाएँ घट जाती हैं.	శాంతంగా ఉండు, శాంతంగా ఉండు. పరమాదాలు జరుగుతుంటాయి.
हम सपोरटी लोगों को नहीं.	మనలాంటి తాగుబోతులకు కాదు.
उसे देखो. कमीना कहीं का.	వాడిని చూడండి. చెతత వెధవ.
तो, अगर बात बाहर आई, तो हम उनकी गलतियाँ छुपाने के जुरम में जेल जाएँगे. . .	కాబటటి, ఈ విషయం బయటకు పొకకితే, నానన చేసిన చెతతకి మనం జెలుకు వెళతాం. . .
इसमें बस मुदरा मायने रखती है. पकड मायने रखती है. साँस मायने रखती है.	ఇది అంతా నిలబడటం మీదనే ఆధారపడి ఉంటుంది. ఇంకా పటటుకోవడం. శవాస తీసుకోవడం.
बीमा डेटाबेस - साइन इन	పాలసీల డేటాబేస - సెన ఇన
रासते में मत आओ, बैका.	దారికి అడడు రాకు, బెకా.
-माफ करना. हम. . . -मुझे पता है तुम कौन हो.	-కషమించాలి. మేము. . . -మీరు ఎవరో నాకు తెలుసు.
जैसा कि गरेस अपने सपंज केक के बारे में कहती है, "जब तक यह ढह नहीं जाता तब तक परिपूरण है. "	కానీ, తన సపాంజ కేక గురించి గరేస ఏం చెబుతుందంటే, "అది కూలిపోయే వరకూ చకకగా ఉంటుంది" అని.
हमारे पास दो हफते हैं. तुम वह निकाल सकोगी?	మనకి రెండు వారాలు ఉంది. వాటిని సంపాదించగలవా?
मुझे यह वाली पसंद है.	నాకు ఇది చాలా నచచింది.
कया तुमहारे पास मेल खाने वाले रिसटबैंड हैं?	మరి, నీ దగగర మయాచింగ రిసట బయాండలు ఉననాయా?
जानती हूँ, जानती हूँ.	నాకు తెలుసు, తెలుసు.
यहाँ आओ. मुझे पता है.	ఇలా రా. నాకు తెలుసు.
हम उसे ऑसकर के बगल में दफनाएँगे. ठीक है?	మనం దీనిని ఆసకర పకకనే పూడచి పెడదాం, సరేనా?
937 मील 035. 9 24. 5	937 మెలస 035. 9 24. 5
सुनो, आज-कल कारें काफी सुरकषित होती हैं.	విను, కారలు ఈ మధయకాలంలో చాలా సురకషితమెనవి.
कल कोशिश करना, मैमी.	రేపు పరయతనించు, మామీ.
नहीं, मेरी आँखों से भी तरंगें निकलती हैं.	లేదు, నేను కూడా కళలతో నిపపులు చిమమగలను.
कया हो रहा है, मैट?	ఏం జరుగుతోంది, మయాట?
तुमने ऐसा कयों किया?	ఎందుకని ఇలా చేశావు?
और मेरे परिवार के मामले में, कुछ भी. . .	నా కుటుంబానికి, ఏదీ అంగీకారం కాదు. . .
-शांत रहो. शांत रहो. -बस हाथ अपने बगल में रखने की कोशिश करो.	-శాంతంగా ఉండు, శాంతంగా ఉండు. -నీ చేయి నీ పకకనే ఉంచు చాలు.
मुझे बस अपनी निजी और कामकाजी जिंदगी को अलग रखना पसंद है.	నా వయకతిగత జీవితం, వృతతి జీవితం వేరువేరుగా ఉంచడం నాకు ఇషటం.
जिस लडके को मैंने मारा, वह बेवकूफ है.	నేను కొటటిన ఆ అబబాయి తెలివితకకువ దదదమమ.
यह आसान नहीं होगा.	అది అంత తేలిక కాదు.
वैसा ही जैसा तुमने पिछले साल. . . रैसबेरी डालकर बनाया था,	కిందటి ఏడాది నువవు రాసబెరీస తో. . . చేసినది నాకు ఇషటం,
-कया? -यह कैरन है.	-ఏంటి? -అతను కలారన.
वैसे, मैं अभयास नहीं कर पाई हूँ, कयोंकि मैं इसे घर पर नहीं निकाल सकती.	సరే, నేను దీనిని ఇంటి బయటకి తీసుకురాలేను కాబటటి ఇంతవరకూ సాధన చేయలేకపోయాను.
हाँ, नोरा बचचों की देखभाल कर लेगी. तो अरसला आ सकेगी.	అవును, పిలలలందరినీ నోరా చూసుకోగలదు. ఖాళీ చేసుకో ఉరసులా.
पर तुमहें कैसे पता वे कैसी गोलियाँ इसतेमाल करते हैं?	కానీ వాళలు ఎలాంటి తూటాలు ఉపయోగిసతారో నీకెలా తెలుసతుంది?
अगली बार मिलेंगे.	మళలీసారి కలుసతాను.
जैरलड को चॉकलेट बेहद पसंद है, और तुम सबसे बेहतरीन चॉकलेट केक बनाती हो.	జెరాలడ కి చాకొలేట అంటే ఇషటం, నువవు చాకొలేట కేకస చాలా బాగా చేసతావు.
-कार रोको! कार रोको! -नहीं. छोडो.	-కారు ఆపు! కారు ఆపు! -లేదు. వదిలేయ.
-ए, बलानड. कया कर रही हो? -बस कुछ योजना बना रही हूँ.	-హేయ, బలానడ. ఏం చేసతుననావు? -ఊరికే ఆలోచిసతుననాను.
मेरा घर पुरावसतुओं से भरा पुराना पारिवारिक घर है.	మా చకకని కుటుంబం ఇంటిలో చాలా పురాతన వసతువులు ఉననాయి.
नहीं. रुको, मैट.	వదదు. ఉండు, మయాట.
मैं बस. . . मैं बस इतनी थक गई हूँ.	నేను కేవలం. . . చాలా అలసిపోయాను.
विततीय निदेशक अपने जनमदिन पर छुटटी नहीं लेता है.	ఒక ఫెనానషియల డెరెకటర తన పుటటినరోజున సెలవు తీసుకోడు.
तुमहें अचछा लगा?	నీకు ఇది నచచిందా?
मुझे महिलाएँ पसंद नहीं हैं, इवा.	నేను ఆడవాళలతో సంభోగం చేయలేను, ఈవా.
तुमहें मुझे इशारा करना चाहिए था.	నాకు ఏదెనా సంకేతమో ఏదో ఇవవాలసింది.
अरसला कहती है कि काश बेन ने उसे उसके बेहतरीन रूप में देखा होता.	తన సరెన యవవనంలో బెన గనుక తనని కలిసి ఉంటే బాగుండేదని ఉరసులా అంటోంది.
गनाश. जैरलड को गनाश बेहद पसंद है.	గనాష. జెరాలడ కి గనాష అంటే ఇషటం.
तो, टीम ए में जेपी, डॉनल, अरसला और गरेस होंगे.	కాబటటి, ఏ జటటులో జెపి, డోనల, ఉరసులా, గరేస ఉంటారు.
खैर, हम सब इंसान ही हैं, है न?	ఏది ఏమెనా, మనమంతా మనుషులమే, కదా?
मुझे यह खाते जलदी निपटाने हैं.	నేను లేచి ఈ అకౌంటస సంగతి చూడాలి.
कयोंकि यह एक लिफाफे के पीछे 22 बार लिखा हुआ था.	ఎందుకంటే అది ఎనవలప వెనుక 22 సారలు రాసి ఉంది.
रीटा - सटैनली - एलिजाबेथ - रॉजर - अनीटा - एमिली	రీటా - సటానలీ - ఎలిజబెత రోజర - అనితా - ఎమిలీ
-मैं कया कह रही थी? -जॉन पॉल.	-నేను ఏం చెబుతుననాను? -జాన పాల.
जानते हो मुझे यह कैसे पता है?	నాకు ఆ విషయం ఎలా తెలుసో తెలుసా?
मैं तुमहारा पोल इसतेमाल करूँगी.	నేను నీ సతంభానని ఉపయోగిసతాను.
हिलो मत. शांत रहने की कोशिश करो, दोसत. शाबाश. बस लेटे रहो.	కదలదదు. అలాగే ఉండు, మితరమా. అంతే. ఇలాగే వెలలకిలా పడుకుని ఉండు.
कया कलाफिन भाई वापस लौटेंगे?	ఆ ఆకతాయి కురరాళలు మళలీ వసతారా?
माफ करना, डैड.	మననించు, తండరీ.
नाविक का वादा.	నావికుడి రహసయం.
मेरा मतलब, मुझे सुरकषा का पूरा खयाल है, समझी?	నా ఉదదేశం, నేను కషేమంగా నడుపుతాను, తెలుసా?
-नहीं, धनयवाद. -नहीं, जयादा जलदी हो गया? अपने कदम गिनो.	-లేదు, ధనయవాదాలు. -లేదు, ఇంత పొదదుననే? అడుగులు లెకకపెటటుకో.
-कार रोको! -नहीं, रुको! रुको!	-కారు ఆపు! -లేదు, ఆపు! ఆగు!
मुझे लगा था मैं नाच सकूँगी.	నేను డానస చేయగలను అనుకుననాను.
तुमहरा काम है गोली खाए बिना बाधा कोरस के	అడడంకుల దారిలో ఒక వెపు నుండి మరొక వెపు వరకూ
और मैंने कहा, "जब वह चिललाकर रुकने को कह रही थी, तो तुमहें रुक जाना चाहिए था. "	అపపుడు నేను చెపపాను, "ఆమె నీ మీద అరిచిందీ అంటే, అది నీకు పరమాద సంకేతంగా భావించు" అని.
मैं मैट हूँ और यह थॉमस है.	నా పేరు మయాట ఇంకా ఇతను థామస.
-बला. मुझे माफ कर दो. -नहीं!	-బలా. ననను మననించు. -లేదు!
भगवान, रुबेन!	దేవుడా, రూబెన!
कोई बात नहीं.	మరేం ఫరవాలేదు.
हम यह सकारातमक पेरेंटिंग कोरस कर रहे हैं.	మనం పాజిటివ పేరెంటింగ కోరసు చేసతుననాం.
-नोरा से पूछ लो. -तुमने नोरा को बता दिया?	-నోరాని అడగండి. -నువవు నోరాకి చెపపావా?
मैं गलती कर रही हूँ, इवा.	నేను వెనుకంజలో ఉననాను, ఈవా.
-कया हुआ? -चीखो मत, मैमी.	-ఏం జరిగింది? -అరవకు, మామీ.
और मेरे साथ बचचों सा बरताव करने के बजाय, अगर तुमने मुझे बताया होता,	ననను ఒక పిలలవాడిలా చూడటానికి బదులు ఈ విషయం అపపుడే నాతో చెబితే,
"टॉम, मुझे खेद है कि मैं ऐसे जा रहा हूँ.	"టామ, ఇలా వదిలి వెళతుననందుకు కషమించు.
ठीक है. चलो इस पर बाद में बात करेंगे.	సరే. కానీ, ఇపపటికి మనం దీనితో వదిలేదదాం.
मैं पयार में नहीं हूँ, समझे? मुझे कभी पयार नहीं होगा.	నేను పడలేదు, సరేనా? ఆ తలుపు ఎపపుడో మూసుకుపోయింది.
हम काफी समय ले चुके हैं.	మనం ఎకకువ సమయం తీసుకుననాం.
-मैं बडी हूँ. जयादा शकतिशाली हूँ. -मेंढक को कैसे डुबोते हैं?	-నేను పెదదదానని. నీకననా బలవంతురాలిని. -కపపని ఎవరెనా ఎలా ముంచగలరు?
कोई भी बहन सपोरटी नहीं है.	ఆటలాడే వాళలు ఎవవరూ లేరు.
शायद एक आँख वाली माँ हो.	బహుశా ఒక కనను లేని తలలివి.
तुम रानी हो.	నువవు రాణివి.
नहीं, नहीं, नहीं, नहीं, नहीं, नहीं. भगवान. नहीं. समसया मुझमें है.	లేదు, లేదు, లేదు, లేదు, లేదు, లేదు. దేవుడా. లేదు. తపపు నాదే.
भागो. तुम छुप नहीं सकती.	పరిగెతతు. నువవు దాకకోలేవు.
कयोंकि वे हमेशा किसी न किसी चीज को लेकर चिललाती रहती हैं. "	ఎందుకంటే వాళలు ఏదో విషయం గురించి ఎపపుడూ అరుసతునే ఉంటారు" అననాడు.
अरे, हाँ. हाँ. उसने कहा, "तुमहें पता है वह कैसी है.	అవును. అవును. తను అననాడు, "ఆమె ఎలాంటిదో తెలుసా.
कसम से, मुझे पता नहीं था वह कौन है.	అతను ఎవరో నాకు తెలియదు, పరమాణపూరవకంగా.
भगवान, तो तुमहें मेरे घर आना चाहिए.	దేవుడా, నువవు ఒకసారి మా ఇంటికి రావాలి.
वह कैसे उसके साथ एक ही टेबल पर बैठती थी, यह मेरी समझ से परे है.	అటువంటి వయకతితో కలిసి భోజనం చేయడం అంటే, నా వలల అయితే కాదు.
हमें हमारी पसंदीदा पेंटिंग चुनकर पेंट करनी थी.	మేము మాకు ఇషటమెన చితరకళలని ఎంచుకుని వాటిని గీయాలి.
मैं परिंसिपल नि'हारा पर इसका इसतेमाल करती हूँ.	నేను వాటిని మీ పరినసిపాల నిమిహారా మీద పరయోగిసతాను.
मैं नहीं देना चाहता था.	అంటే, నా ఉదదేశం ఇది కాదు.
इस हफते कुछ नए सुंदर चेहरे आए हैं.	ఈ వారం అందమెన కొతత ముఖాలను చూసతుననాం.
बहुत बढिया. अब हम उसे पेंटबॉल से नहीं मरेंगे.	ఇది ఎంత ఆశచరయం. మనం పెయింట బాల తో అతడిని చంపలేము.
पता है मैं कैसे अचछी और शांत रहूँगी? एक कबाब और चिपस से.	ననను మంచిగా, పరశాంతంగా ఏం ఉంచుతాయో తెలుసా? ఒక కబాబ ఇంకా చిపస.
हैलो. मैं नोरा हूँ, बिबी की पतनी.	హలో. నా పేరు నోరా, నేను బీబీ భారయని.
ठीक है. हाँ.	సరే. అలాగే.
पुरानी पारिवारिक रेसिपी.	మా కుటుంబపు పాత వంటకం.
मैंने कुछ गलत नहीं किया!	నేను ఏమీ తపపు చేయలేదు!
तुमहें अपने जनमदिन के लिए शुकरवार को छुटटी लेनी चाहिए.	నీ పుటటినరోజు సందరభంగా శుకరవారంనాడు నువవు సెలవు తీసుకోవాలి.
-तो तुम जॉन पॉल को दोष नहीं देती हो? -नहीं.	-అయితే మీరు అందుకు జాన పాల ని నిందించరా? -లేదు.
और जब तुम यहाँ से जाती हो, बुरी चीजें होती हैं.	నువవు లేనపపుడు ఇకకడ చెడు సంఘటనలు జరుగుతాయి.
तुम में से एक की जेब में खरगोश का पैर होगा.	మనలో ఒకరికి షరటు జేబులో కుందేలు పాదానని పెడతాం.
तुम लोगों का कचरा चुराना बंद करोगे?	నువవు జనం చెతతని ఏరడం మానేసతావా?
फरीज की हुई गोलियाँ बदलूँगी. . .	గడడ కటటిన తూటాలను మారచుకుంటాను. . .
इसका मतलब है. . . भगवान. मुझे रिशता तोड देना चाहिए, पर नहीं तोड सकती.	దాని అరథం. . . దేవుడా. నేను దీనిని ముగించాలి, కానీ నా వలల కాదు.
डॉनल काम पर होगा, तो मुझे बचचों को संभालना होगा. माफ करना, जान.	డోనల కి ఉదయోగం ఉంది, కాబటటి నేను పిలలలని చూసుకోవాలి. మననించు, బంగారం.
