गोल!	గోల!
और उसकी नजरें जहाँ होनी चाहिए थीं, उसके सिवाय कहीं भी और हैं.	కానీ వాళళ కళళు మాతరం ఎకకడ ఉండాలో అకకడ కాకుండా ఇంకెకకడో ఉననాయి.
-तुमने हार मान ली? -नहीं, हम बस अपनी योजना बना रहे थे.	-ఆటను వదులుకుంటుననారా? -లేదు, ఇపపుడే మా వారమ-అప అయింది.
बशरते तुम किनहीं खास फुटगोले टीमों की बात न कर रही हो.	కాకపోతే నువవు కొనని ఫుటబాల జటలను ఉదదేశించి చెపతే తపప.
. . . और फैनस ने काफी दुःख देने वाली नारेबाजी की.	. . . కారణంగా అభిమానులు కోపంతో అరిచి నినదించారు.
तुमहें कोरस को पूरा करते देखकर बहुत खुशी हुई.	నువవు ఆ కోరసును పూరతి చేసతుంటే చూడడం భలే ఉంది.
मुझे अफसोस है मैं भावनातमक रूप से शामिल हुआ.	నేను ఇంతగా ఆశలు పెంచుకుననందుకు బాధపడుతుననాను.
फिर से, ठीक से दिलासा नहीं दे रहे. माफ करना.	మళళీ చెపతుననా, మేము బాగా ఓదారచలేం. కషమించు.
साफ है, तुम नहीं जानतीं तुम कया चूक रही हो.	నువవు ఏం మిస అవుతుననావో నీకు అససలు తెలీదు.
पर अचछा लगेगा अगर तुम किताब एक तरफ रख कर	కానీ నువవు కొంచెం నీ పుసతకానని పకకన పెటటి
साफ दिख रहा है, वह खिलाडी नाटक कर रहा था.	ఆ పలేయర కావాలనే దెబబ తగిలినటటు నటించారు.
नौकरी पाने के लिए तुमने बहुत मेहनत की थी	పనిచేసావు అని గురతుపెటటుకోవడం చాలా ముఖయం,
जहाँ हारने वाली टीम को खा लिया जाता है.	అందులో ఓడిన జటటును పరతయరథి తినేసతుంది.
इस जगह को बेकार समझ लेना बहुत आसान है.	ఈ పరదేశానని చినన చూపు చూడడం చాలా సులభం.
वैसे मैंने इस नतीजे की आशा नहीं की थी.	అలా జరుగుతుందని నేను అససలు అనుకోలేదు.
मुझे तुमसे बेहतर होने में मजा आता है.	నీకంటే ఏపనినెన బాగా చేయడం నాకు సరదానే.
एक बार मैं भूल गया कि मैं रेफरी हूँ, मुझे पास मिला और मैंने गोल कर दिया.	ఒకసారి నేను రెఫరీని అనన విషయం మరచిపోయి, ఒక బాల వసతే దానిని తనని సకోర చేశా.
मैं तो इससे कहीं बुरा कर चुका हूँ.	నేను ఇంతకననా దారుణమెన పనులు చేశా.
जो एक बहुत सुंदर संयोजन बनाता है, काफी हद तक तुमहारे फुटगोले की तरह.	కారణంగా నీకు బాగా నచచే ఫుటబాల లో లాగే అదభుతమెన సామరసయం ఏరపడుతుంది.
तुम लोगों ने भी वह उललंघन देखा ना?	మీరు కూడా ఆ ఉలలంఘనను చూశారు, కదా?
अब मैं खुशी-खुशी खतम हो सकता हूँ.	ఇపపుడు నేను సంతోషంగా కనను మూయగలను.
गरव मिलता है कि तुम सामने वाले से बेहतर हो पर खेलने में मजा आएगा.	అనే ఫీలింగ వసతుందని నాకు తెలుసు, కానీ ఇది ఆడడం భలే సరదాగా ఉంది.
तुममें से हर एक को हमारे इस अतयाधुनिक बाधा कोरस को पार करना होगा.	మీలో పరతీఒకకరూ మా అతయాధునిక ఆటంకాల కోరసులో పరిగెతతాలసి ఉంటుంది.
पर यह अब कुछ जयादा ही हो रहा है.	కానీ నువవు మరీ దూరం వెళతుననావు.
-अभी निराश होने की कोई बात नहीं. -चलो, हम हार तो नहीं रहे.	-ఇంకా అపపుడే నిరాశపడాలసిన పనిలేదు. -అంటే, మనం ఓడడం లేదు కదా.
तुम दोनों यहाँ कया कर रहे हो?	మీరు ఇదదరూ ఇకకడ ఏం చేసతుననారు?
एक पराणी ने एक छोटा गोला बनाया और दूसरे पराणी से कहा. . .	ఒక మనిషి ఒక చినన బంతిని చేసి, ఇంకొక మనిషితో ఇలా అననారు. . .
बीच में बाधा डालने के लिए, तुमहारी परीकषा सबसे पहले होगी.	మధయలో అంతరాయం కలిగించినందుకు, నువవే ముందు టెసటు తీసుకోవాలి.
अधिकारी बहुत मेहनत से निरणय के बारे में चरचा कर रहे हैं.	అఫీషియలస నిరణయానని వెలలడించే ముందు బాగా చరచించుకుంటుననారు.
कि मैं बार-बार गलत होता हूँ.	ఎపపుడూ తపపులు చేసతుంటాను అని.
और अगर मेरे खतम होने से पहले तुम दोसत नहीं बने, तो वह मेरे खतम होने की वजह बन जाएगा.	అలాగే నేను చచచిపోయేలోగా మీరు ఫరెండస కాకపోతే, అపపుడు నా చావుకు అదే కారణం అవుతుంది.
पर हमेशा ऐसा नहीं हो पाता.	కాకపోతే, అలా అసతమాను జరగదు.
मैं कभी भी खतम हो सकता हूँ.	నేను ఏ కషణమెనా చచచిపోవచచు.
या तुम अचानक खतम हो जाओगे.	లేదా సడన గా చచచిపోతావేమో.
मैंने सबको निराश कर दिया.	నేను అందరినీ బాధపెటటాను.
तुमहें मिलकर भी अचछा लगा.	నినను చూడడం కూడా సంతోషం.
अगर तुमहें लगता है कि एक जंगल को देखना रोमांचक है,	సరే, నీకు ఒక అడవిని చూడడంలో అంత సంతోషం ఉంది అంటే
जैसे फुटगोले के मैदान में केवल घास पर धयान देना.	ఫుటబాల ఫీలడ లో ఉనన గడడిని మాతరమే చూసినటటు ఉంటుంది.
-तुमहें होना भी चाहिए. -नयूटस बहुत शानदार जीव हैं,	-మీరు అలాగే ఫీల అవవాలి. -నయూటస చాలా గొపప జీవులు,
यह मैच हमारे कटटर परतिसपरदधी, नयूटस के विरुदध है.	మా బదధశతరువులెన నయూటస జటటుతో ఒక మయాచ నడుసతోంది.
कया यह गोले के खेलों के आकरषण का एक कारण नहीं है?	బాల తో ఆడే ఆటలలో ఉండే ఆసకతికరమెన విషయం అదే కదా?
वहाइटटेलस उनके चंगुल से बचने के लिए हरकत में आए.	ఆ జింకలు వాటిని వదిలించుకోవడానికి పరయతనించాయి.
हम हलका जहर पीने के लिए द सलॉपी जग जा रहे हैं.	మనం మదయం తాగడానికి ది సలాపి జగ కు వెళతుననాం.
-गोल! -गोल, बेबी! हाँ!	-గోల! -గోల, బేబి! సూపర!
-कितनी गहरी बात. -मेरा दिमाग तो जैसे फट गया.	-అరథవంతమెన మాటలు. -నా బురర పేలినంత పని అయింది.
तुम सच में सुन रहे थे.	నువవు నా మాటలు విననావు.
तुम उस कोको की टिककी जितनी ही मीठी हो जो तुम हमेशा मेरे लिए लाती हो.	నువవు నాకోసం పరతీసారి తెచచే చాకలెట అంతటి తియయని మనసు ఉనన వయకతివి.
मेरा डर खतम नहीं होगा.	ఎంత మందు తాగినా పోదు.
मैं इसके बारे में पूरी तरह आशवसत नहीं हूँ.	నాకు నేను అందులో పాస అవుతాను అనిపించడం లేదు.
कि पराणी उसमें तुमहारी आँखों के सामने शानदार	అలాగే మన కళళ ముందే లెవ లో ఆటగాళలు అదభుతమెన
हमें तुम पर भरोसा है!	మాకు నీ మీద నమమకముంది!
हमें तुम पर भरोसा है!	మాకు నీ మీద నమమకముంది!
रेफरियों को पकषी-संबंधित रुकावटों के लिए परशिकषण दिया जाता है	రెఫరీలకు పకషుల వలల ఎదురయయే అడడంకుల విషయంలో చాలా టరెనింగ ఉంటుంది,
किसी वासतव में दिलचसप चीज में सचची दिलचसपी दिखाने के लिए धनयवाद.	నిజంగా ఆసకతిగా ఉండే విషయం మీద నీ ఆసకతిని చూపించినందుకు థాంకస.
तुम हाउलरस हमसे हारना चाहते हो जैसे कल रात तुमहारी टीम हारी थी?	మీ హౌలరస కి కూడా నినన రాతరి మీ జటటు ఓడినటటే ఓడిపోవాలని ఉందా?
देखो, यह एक गलती थी.	చూడు, ఇది ఒక పొరపాటు.
अजीब है उनहोंने अपनी टीम का नाम इतने नाजुक जीव के नाम पर रखा.	అంత బలహీనమెన జీవి పేరును తమ జటటుకు పెటటుకోవడం వింతగా ఉంది.
अब इनके पास मौका है.	ఇదే మన వాళలకు ఛానస.
तुमहारे वापस आने से बहुत अचछा लग रहा है.	నువవు తిరిగి రావడం చాలా సంతోషంగా ఉంది.
हम दो से पीछे हैं और तुमहें अब समझदारी से काम करना होगा.	మనకు రెండు గోలస తకకువ ఉననాయి, నువవు సరిగగా ఆడడం మొదలెటటాలి.
मुझे लगता है तुमहें सच में मजा आएगा.	నీకు ఈ ఆట నిజంగా నచచుతుందని నా ఉదదేశం.
-रेफरी, कृपया. -छल.	-రెఫ, పలీజ. -మోసం.
ठीक है. अगर तुम दोनों यही चाहते हो.	సరే. మీ ఇదదరికీ అదే చూడాలని ఉంటే సరే.
अपने खिलाडियों की काबिलियत को छोडकर झट से किसी भी और चीज पर दोष डाल देंगे.	తమ ఆటగాళల నెపుణయం మీద తపప మిగతా అననింటిపె నిందలు వేయడానికి ముందుంటారు.
पराणियों को यह विचार इतना अचछा लगा	మనుషులకు ఈ ఐడియా ఎంతగా నచచింది అంటే,
कि पराणी अपनी पसंदीदा टीमों से अपना पयार दिखाने के लिए	కొందరు తమ ఫేవరెట జటటు మీద ఉనన ఇషటానని వయకతపరచడానికి
यह ताकत कैसी लगी?	గటటిగా తననాను కదా?
हम पराणी अपनी रोजमररा की जिंदगी में इतने उलझ जाते हैं	మనుషులమెన మనం రోజువారీ కారయకలాపాలలో నిమగనం అయిపోయి
पराकृतिक आवास के ऊपर सटेडियम बनाया.	ఆ పకషులకు ఏమాతరం నచచలేదు అనుకుంట.
जरूर. कयों नहीं?	సరే. పరయతనిసతావా?
मुझे इस बातचीत की कमी नहीं खलती.	ఇలాంటి చరచలకు దూరంగా ఉండడం మంచిది.
हम जंगल में हैं.	మనం అడవిలో ఉననాం.
तुमहारी यह कहानी भी जाँच लेते हैं.	నీ థియరీ ఎంత వరకు కరెకటో చూదదాం.
हम यह कर रहे हैं!	మనం గెలుసతుననాం!
-पर मुझे लगता है उस पराणी को अडंगा मारा गया? -मैं वह नहीं देख पाया.	-కానీ ఆ వయకతికి కాలు అడడుపెటటారు కదా? -నాకు కూడా ఐడియా ఏం లేదు.
पर मैं बाहरी-शूनयता का खोजकरता	కానీ నేను ఒక అంతరికష అనవేషకుడిని
और फिर उसे वापस लाओ, चाहे तुमने उसे न पढा हो.	అలాగే మీరు చదవకపోయినా, దానిని తిరిగి తీసుకురండి.
हाँ, जरूरी नहीं है. तुम यह देख रही हो, है ना?	ఏమో, నాకు తెలీదు. నువవు చూసతుననావు కదా, ఏమంటావు?
साफ है, यह इनका पहली बार आमना-सामना नहीं हुआ है.	తోడేళళను ఎదురకోవడం వాటికి ఇది మొదటిసారి కాదు.
पराणी अपनी फुटगोले की टीमों को लेकर काफी जोश में आ जाते हैं.	మనుషులు తమ ఫుటబాల జటల విషయానికి వసతే చాలా ఉదవేగానికి గురికాగలరు.
-हाँ! -अरे, हाँ!	-భలే! -ఓహ, భలే!
मैंने पढा था कुछ बज सटिंगरस यानि मधुमकखियाँ एक बार डंक मारकर ही खतम हो जाती हैं.	నేను నిజానికి బజ సటింగరలు ఒకకసారి ఎవరినెనా కుటటగానే చచచిపోతాయి అని విననాను.
उसमें शरमिंदगी की कोई बात नहीं.	అందులో సిగగుపడాలసిన పనే లేదు.
तो समझना सीख जाओगी कि कब वे जीवों के बारे में कोई तथय सुनना चाहते हैं,	వాళలకు జంతువుల గురించి ఇలాంటి విషయాలు ఎపపుడు వినాలని ఉంటుందో తెలిసి ఉండేది,
मैं अब एक बूढा पराणी हूँ और बहुत जलदी मैं खतम हो जाऊँगा.	నేను ఇపపుడు చాలా ముసలి వయకతిని, ఇంకెననో రోజులు బరతికి ఉండను.
तो जरा फुटगोला खेल कर देखना.	ఒకసారి ఫుటబాల చూసతే ఏమెపోతావో.
केवल पेडों पर धयान देना ऐसे है	చెటల మీద మాతరమే దృషటి పెడితే
लगता है वह किसमत से ही हुआ था.	బహుశా ముందు గోల లక వలలేనేమో.
कोई भी पराणी दोषहीन नहीं होता.	లోపాలు లేని వారు ఎవరూ ఉండరు.
अगर एक-दूसरे के लिए नहीं, तो जीवनदाता के लिए.	మన కోసం కాకపోతే, మన పరాణదాత కోసం గెలుదదాం.
वे शारीरिक तौर पर खिलाडियों जितने ही सकषम थे	వాళళు కూడా ఆటగాళల లాగే ఆడగల సతతా ఉననవారు,
हमारा जैसा भी रिशता होना चाहिए, वह वही है जैसा अभी है.	మా మధయ ఎలాంటి బంధం అయితే ఉండాలో పరసతుతం అలాంటి బంధమే ఉంది.
शुरुआत में किसमत साथ दे गई.	మొదటిసారి కాబటటి కలిసొచచింది.
कयों न हम वापस फुटगोला मैच देखना शुरू करें?	మనం తిరిగి ఫుటబాల మయాచ చూడడం మొదలెడదామా?
इसके हर पहलू को महसूस करने की कोशिश करो.	ఇకకడ ఉనన అసలు చితరానని చూడడానికి పరయతనించు.
तब इसके साथ पद घटाए जाने से कहीं बुरा होगा.	అపపుడు డిమోట కంటే దారుణమెనది జరుగుతుంది.
तुम जितना जयादा देखोगे, उतना जयादा तुमहारी जानकारी बढेगी.	ఇకకడ నువవు మరింత చూసేకొదదీ నీ మనసు మరింత వికసిసతుంది.
मैं यह परीकषा अचछे से पास करूँगा, चाहे मुझे पता नहीं है कि कया करना है.	నేను అసలు ఏం చేయాలో తెలీకపోయినా కూడా నేను ఈ టెసటులో టాప లో వసతాను.
किताबों की शकति के माधयम से.	పుసతకాలలో ఉనన శకతి సాయంతో.
ठीक है, थोडा नीचा दिखाने की कोशिश है, पर अब तुम मेरी भाषा में बात करने लगी हो.	సరే, కొంచెం వెటకారంగానే అననావు, కానీ నువవు చివరికి నా ఫీలింగ ని అరథం చేసుకుంటుననావు.
तुम एक बार परमाणित हो चुके हो, तुम यह दोबारा कर सकते हो.	నువవు ఇంతకు ముందు సరటిఫికేషన పొందావు, మళళీ పొందగలవు.
हाँ. दुःखी होने का मौका जैसे आप हर मैच में होते हो.	అవును. పరతీ మయాచ లోలాగే మీరు నిరాశపడటానికి మంచి అవకాశం.
वे शायद उनके नजरिये से हुए अनयाय को वयकत कर रहे थे.	తమకు అనయాయం జరిగింది అని అనుకోవడం వలలే అలా చేసి ఉంటారు.
हाउलरस मैदान में भागते चले जा रहे हैं.	హౌలరస ఫీలడ చివరికి బాల ని తీసుకెళతుననారు.
बीइंगसबरग का यह हिससा संरकषित भूमि है.	బీయింగస బరగ లో ఉనన ఈ పరదేశం రకషిత పరాంతం.
आज हम तुमहारी कषमताओं की परीकषा लेंगे.	ఇవాళ మేము మీ సామరధయానని పరీకషించబోతుననాం.
मैं तुमहारी दिलासा के लिए आभारी हूँ पर साफ है, मैंने गलत निरणय दिया.	నీ ఓదారపుకు థాంకస, కానీ నేను సపషటంగా తపపుడు నిరణయం తీసుకుననాను.
हम सबसे गलतियाँ होती हैं.	మనం అందరం తపపులు చేసతుంటాం.
पराणियों का अपनी कषमता पर सवाल उठाना असामानय नहीं है.	అందరూ తమ సామరధయానని ఒకకోసారి పరశనించుకోవడం సహజమే.
तो इससे अचछा तो हमें टीम में ही रख लें.	వాళళు మనలని కూడా జటటులో చేరచుకోవచచు.
यह मजेदार है.	భలే చెపపావు.
हम तैयार हैं.	మాకు సమమతమే.
अंतिम चुनौती.	ఆఖరి ఛాలెంజ.
मैंने तुमहें कुछ ऐसा दिखाने की कोशिश की जो मुझे बहुत पसंद है	నేను నాకు ఇషటమెన ఒకదాని గురించి నీకు కొంచెం చూపించాలి అనుకుననాను,
सयाही के निशान लगवाने लगे	పచచబొటలు పొడిపించుకోవడం
हम रेफरी हैं. हमें जो नजर आता है, हम वही कहते हैं.	మనం రెఫరీలం. మనకు ఎలా కనిపించిందో అదే చెపతాము.
अभी तो यह केवल शुरुआत है.	మనం ఇంకా మొతతం చూడలేదు.
तुमने केवल आधे फैनस को निराश किया.	నువవు సగం మంది ఫయానస నే నిరాశపరిచావు.
शांत हो जाओ. मुझे बस कुछ देर सोना है.	రిలాకస. చినన కునుకు తీసతుననా అంతే.
जिजञासा और गुससा इस गरह पर जहाँ चारों तरफ है खतरा	ఆసకతి అలాగే ఆగరహం పరమాదంతో నిండి ఉనన పరపంచంలో
और आज शाम का अंत हाउलरस के लिए बहुत बुरा हुआ.	అలాగే హౌలరస కి ఇవాళ అతిదారుణమెన ముగింపు ఎదురెంది.
और मुदरा खरचने लगे ताकि वे मौजूद रहें जब उनकी टीम जीते.	అలాగే తమ జటటు గెలిసతే చూడడం కోసం డబబు ఖరచు చేయడం మొదలెటటారు.
बिलकुल नहीं.	సమసయే లేదు.
और सुनिशचित करते थे कि गोले के दोनों ओर संतुलन बना रहे.	అలాగే బంతికి ఇరువెపుల ఉనన ఆటగాళలు సరిగగా ఆడేలా చూసుకునేవారు.
-हाँ! -हाँ!	-భలే! -సూపర!
तुमहें इतने सारे पराणियों के सामने असफल होते देखकर बहुत अचछा लगा.	ఎంతో మంది ముందు మీరు తపపుడు నిరణయం తీసుకోవడం నిజంగా చాలా అదబుతంగా ఉంది.
नहीं, यह अचछा है. चलो, थोडा फुटगोला खेलें.	లేదు, ఇది మంచి విషయమే. మన కొంచెం ఫుటబాల ఆడదాం.
सबकी छुटटी कर दो, चैमप!	వెళలి అదరగొటటు, ఛాంప!
पराणियों के यहाँ रहने से बहुत पहले से यह जीवों की धरती थी	మనుషులు రావడానికి ముందు నిజానికి ఈ పరాంతం ఈ జీవులదే,
दरअसल, हाँ, मुझे पसंद है कि फुटगोले का खेल पहले से तय नहीं होता और उसमें कुछ भी हो सकता है.	అంటే, ఫుటబాల కి ఉండే ముందుగానే నిరణయించని అలాగే ఊహించశకయం కాని గుణం నాకు చాలా ఇషటం.
वाह. पराचीन पेड. कितना रोमांचक है.	వావ. పాత చెటలు. భలే గొపప విషయం.
उनहें मेरा साथ तुमहारे साथ से जयादा पसंद है.	వారికి నీతో ఉండడం కంటే నాతో ఉండడమే ఇషటం.
आज ही किताब उधार लो.	ఇవాళే అరువు తీసుకోండి.
खैर, यह तो सच नहीं है.	అంటే, అది నిజం కాదు.
जो कि तुमहारे मामले में पूरी तरह सच नहीं था?	నీ విషయంలో అయితే అది నిజం కాకపోవచచు ఏమో?
तो हो जाए.	సరే, అలాగే.
मेरी पसंद को हमें एक साथ लाना था.	నా ఇషటం మనిదదరినీ దగగర చేయాలి.
ये हाउलरस शिकार करने की कोशिश करते हुए अपने इलाके की रकषा कर रहे हैं.	ఆ తోడేళళు తమ పరాంతానని కాపాడుకుంటూనే వాటి ఆహారానని పటటుకోవడానికి చూసతుననాయి.
जंगली जीवों के बारे में एक बहुत सुंदर वृततचितर आ रहा होगा.	అడవి జంతువుల మీద ఒక అందమెన డాకయూమెంటరీ ఒకటి పరసారం అవుతుంది అంట.
कया हाउलरस को अपना शिकार मिलेगा?	తోడేళలకు వాటి ఎర దొరుకుతుందా?
यह लो. गेम खतम हो गई.	అంతే. ఆట ముగిసింది.
आप खतम होने वाले हैं?	మీరు చచచిపోతుననారా?
इसके लिए हमारा आदेश है कि आपको पुनःपरमाणीकरण करवाना होगा.	కాబటటి నువవు తిరిగి నీ సరటిఫికేషన ని తెచచుకోవాలి అని మా ఉదదేశం.
हाँ! जीवनदाता के लिए!	సూపర! పరాణదాత కోసం!
उस रेफरी को तो पकका कोई और काम ढूँढ लेना चाहिए.	ఆ రెఫరీ ఈ పని మానేసి వేరొక ఉదయోగం వెతుకకుంటే మంచిది.
मुझे नहीं लगता वह तुमहें बुरा महसूस करवाना चाहते थे.	నాకు తెలిసి వారి ఉదదేశం నినను బాధపెటటాలని కాదు.
तुम यह कभी नहीं देखना चाहते.	అలా జరగడం చూడాలని ఎవరికీ ఉండదు.
मैं यहाँ केवल जीवनदाता को शांत करने के लिए आया हूँ.	నేను పరాణదాతను బాధపెటటకూడదనన కారణంగానే వచచాను.
तुम बहुत अचछे रेफरी हो और हम सब को तुम पर भरोसा है.	మీరు గొపప రెఫరీ, మా అందరికీ మీ మీద నమమకం ఉంది.
एक सितारे की परिकरमा कर रहा है	ఒక నకషతరం చుటటూ తిరుగుతోంది
गेम यहीं खतम हो जानी चाहिए थी.	ఈ ఆట ఈపాటికి ముగిసి ఉండాలి.
सबकी नजरें उसी पर टिकी हुई हैं	అందరి కళళు వారిపెనే ఉననాయి,
तो कृपा करके, लडना बंद करो.	కాబటటి దయచేసి గొడవపడటం మానండి.
तो तुम चाहती हो मैं यह मान लूँ कि जीव और पौधे	అంటే ఈ జీవులు అలాగే మొకకలు కూడా ఫుటబాల ఆటగాళల లాగే
मुझे यकीन है कुछ-कुछ दोनों ही होंगे.	నాకు తెలిసి రెండు కారణాలూ సరెనవే కావచచు.
मैं गोल कर सकता हूँ!	నేను షాట కొటటగలను!
तुम मेरी बात कयों नहीं सुनते?	నువవు నా మాట ఎందుకు వినవు?
पर हाउलरस फिर भी बहुत बुरी टीम है.	అయినా కూడా హౌలరస ఇపపటికీ ఒక చెతత జటటే.
मुझे मैदान पर वापस जाने का बेसबरी से इंतजार है.	తిరిగి ఫీలడ మీదకు ఎపపుడు వెళతానా అని ఉంది.
कुछ थोडे अजीब लग सकते हैं	కొనని విషయాలు వింతగా ఉండొచచు
मुझे लगता है ये सही दरशकों के सामने नहीं दिखा रहे.	వాళళు తమ యాడ ని సరెన పరజలకు చూపించడం లేదు అనుకుంటుననాను.
हम खेलेंगे या तुम दोनों सारी शाम बडबडाते ही रहोगे?	మనం ఆట ఆడాలి, లేదా మీరు రాతరి వరకు ఇలాగే వాదించుకుంటారా?
हैलो. तुम लोग शायद मुझे एक पेशेवर गोला-किकर के तौर पर जानते होगे.	హేయ. మీకు నేను ఒక పరొఫెషనల ఫుట బాల పలేయర గా తెలిసి ఉంటాను.
अब मेरे बॉस मेरी एक परीकषा ले रहे हैं	ఇపపుడు నా బాస లు నా ఉదయోగ సథితిని
तुम, जो बहुत बुरी तरह डरे हुए हो, तुम आओ!	అతయధికంగా ఆందోళన పడుతునన వయకతివి, తరవాత నువవే!
तुमहें कया लगता है, दिल?	నువవు ఏమనుకుంటుననావు, మనసా?
अब मैं यह भी तय नहीं कर पा रहा कि कौन सी पैरों की नलियाँ पहनूँ.	ఇపపుడు కనీసం ఏ సాకసులు వేసుకోవాలో కూడా నాకు తెలీడం లేదు.
मैं तुमहें ढेर सारे फुटगोले के पैंतरे करवाने वाला हूँ.	నేను నీతో బోలెడనని ఫుటబాల డరిలస చేయించబోతుననాను.
-मैं? -मैं नहीं.	-నేనా? -నేను కాదు.
वे अंक नहीं हैं.	అవి పాయింటలు కాదు.
-कया? -अरे. कया?	-ఏంటి? -హేయ. ఏంటి?
जीवनदाता.	పరాణదాత.
जीवनदाता?	పరాణదాత?
लगता है रेफ वापस शानदार काम कर रहे हैं!	చూసతుంటే మన రెఫ తిరిగి ఫామ లో ఉననటటు ఉననారు.
तुम वह मैच कभी नहीं जीतते अगर वह गलत निरणय नहीं होता.	తపపుడు నిరణయం తీసుకుని ఉండకపోతే మీరు ఆ మయాచ గెలిచేవారే కాదు.
सबसे बुरा कया ही हो सकता है? तुमहें कोई नया काम ढूँढने को कहा जाएगा?	అయినా అది ఎంత దారుణంగా ఉంటుందిలే? నినను వేరే ఉదయోగం వెతుకకోమని ఏమెనా చెపపారా?
तुम उनसे बहुत कुछ सीख सकते हो.	వాటి నుండి నువవు చాలా నేరచుకోవచచు.
और वे अब भी वैसे ही रहते हैं जैसे तब रहते थे.	అవి అపపుడు ఎలా బరతికాయో ఇపపుడూ అలాగే బరతుకుతుననాయి.
गेम की शुरुआत नहीं चूकना चाहती थी.	ఆట పరారంభానని మిస కాకూడదు కదా.
तुम कभी मेरी बात नहीं सुनतीं और मेरी पसंद को कोई महतव ही नहीं देती.	నువవు నా మాటను ఎపపుడూ వినవు, నాకు ఇషటమెన వాటిని ఎపపుడూ తకకువచేసి మాటలాడతావు.
हम जीवन को मायने देने के तरीके ढूँढ लेते हैं	జీవితానికి అరథానని ఇవవడానికి మారగాలను వెతుకుతుంటాం
