लंदन 2099	లండన 2099
जितना सोचती हो, यह परिसथिति उससे कहीं जटिल और खतरनाक है.	మీరు ఊహించేదానికననా పరిసథితి సంకలిషటమెనది, విపతకరమెనది.
माना जा रहा है कि तुम और तुमहारा परिवार इसका निशाना हो.	అందుకు మీరు, మీ కుటుంబం లకషయాలని నమమడానికి కారణం ఉంది.
जलते हुए अनाजघर में फंसे किसी घबराए हुए घोडे की तरह.	కాలిపోతునన పశువులపాకలో చికకుకునన బెదురు గురరంలా ఉంది.
कह सकते हैं कि वह एक तरह की तातकालिक सोच को दरशाता.	నీ నుండి ఊహించని సథాయి సమయసఫూరతిని అది సూచిసతోంది.
यानी तुमने सिरफ गोलियाँ बदली नहीं, बलकि चुराई हैं.	అంటే నువవు మారచుకోవడమే కాదు, దొంగలిసతుననావు కూడా.
गराहक को जानना है कि यह कहाँ-कहाँ से होकर गुजरा.	తపపుగా అనుకోకు. కసటమర ఆధీన ఆధారాలు కోరుకుననాడు.
अमीर लोगों के लिए खेलकर बरटन कितने कमा लेता है?	ధనవంతులకు పనులు చేసతూ బరటన ఎంత సంపాదిసతుననాడు?
-पता है, तुमहें वह नकशा कयों नहीं मिला? -कयों?	-ఆ మయాప మీరెందుకు కనుకకోలేదో తెలుసా? -ఎందుకు?
जब यह पैंतरा मुझ पर चला था, मेरी उमर कया थी?	చివరిసారిగా ఈ కిటుకు నాపె ఎపపుడు పని చేసింది?
मुझे तुम पर नाज है, तुम इसमें कितनी माहिर हो.	ఇందులో నీకునన పరతిభకు గరవిసతుననాని తెలుసుగా.
उनके वातावरण पर निरभर करता है. आतमा की तरह.	తమ పరిసరాలకు అనుగుణంగా. అంటే ఆ మనిషి మనసులా.
तुमहारी टोपी बडी अचछी है, रीस. बडी सजीली है.	నాకు నీ టోపీ నచచింది, రీస. చాలా చకకగా ఉంది.
-किस तरह की? -वही जो बोगोटा में पंजीकृत है.	-ఎలాంటిది? -బొగొటాలో నమోదెన కంపెనీలాంటిది.
मुझे मुशकिल दौर से गुजरने में मदद करती हैं.	నొపపి మరీ ఎకకువెనపపుడు అవి నాకు సాయపడతాయి.
मैं, और रीस, और कैलिफोरनिया का कोई बंदा.	నేను, రీస అలాగే కాలిఫోరనియా నుండి ఒకడు.
मुझे पता नहीं था कि मुझे इतना मजा आएगा.	దీనని ఇంతగా ఆసవాదిసతానని నేను అనుకోలేదు.
अगर तुमने उस लडकी को एक गोली बेची होती,	నువవు ఆ అమమాయికి మాతర అమమాలని నిరణయిసతే,
"मिलकर अचछा लगा! नबिन के लिए शुकरिया! "	"నినను చూడటం బాగుంది! నబినసకు థాంకస! "
घर में नाजी दल है. हम अनाजघर में हैं.	ఇంటలో నాజీ దళముంది. పశువులపాకలో ఉననాం.
यह लडकी जो माँग रही है, इसे वह दे दो.	ఆ అమమాయి అడిగింది ఇచచేసతే ఎలా ఉంటుంది?
बचचों को दिखाने के लिए रिकारड करना है.	రేపటి తరాల కోసం ఈ ఘటనని చితరీకరిదదాం.
बाप रे! ऐसा लगा जैसे सच में वहाँ हूँ.	ఛత! అకకడే నిజంగా ఉననటటు అనిపించింది.
-कया मतलब? -तुम अजीब सी पेश आ रही हो.	-ఏమంటుననావు? -వింతగా పరవరతిసతుననావు.
अब तुम किस मुसीबत में पड गई, एलीटा?	నువవు ఎలాంటి చెతతలోకి దిగావు, ఎలీటా?
अगर उसकी पककी सहेली होती, तो पूछती.	నేను ఆమె పరాణసనేహితురాలెతే, అడుగుతా.
कोई खिलौना पकडाकर मेरा धयान हटाना?	నా దృషటి మళళించడానికి బొమమని ఇవవడం?
बरटन को चाहिए तो खुद से बना लेगा.	బరటనకి కావాలంటే, వాడే చేసుకుంటాడు.
तुमहें अपने समय की कदर है, मेरिएल?	మీ సమయానికి విలువనిసతారా, మరియెల?
मेरे मन में भी अकसर यही खयाल आया.	అపపుడపపుడూ నాకూ అదే ఆలోచన వచచింది.
-और उनहोंने पैसा बढा दिया. -नहीं.	-డబబుని పెంచారు. -నమమలేకపోతుననా.
मेरे साथ जयादा से जयादा कया होगा?	నాకు జరగగలిగే ఘోరమెన విషయం ఏంటి?
आप बिली ऐन को चुगलखोर कह रही हैं?	బిలలీ యానని వదురుబోతు అంటుననావా?
अपने बेकार डरोन लेकर खेल रहे हैं.	వాళళ చెతత డరోనలతో ఆడుకుంటుననారు.
मुझे किसी बात का पता होना चाहिए?	నేను ఏమెనా తెలుసుకోవాలసింది ఉందా?
निरभर करता है कि किससे पूछते हो.	ఎవరిని అడుగుతావు అనేదానని బటటి.
गाडी में अभी भी वो डरोन पडे हैं?	నీ కారులో ఇంకా ఆ డరోనలు ఉననాయా?
किसी मिलागरोस कोलडायरन ने दिए.	మీలాగరోస కోలడఐరన అననది కటటింది.
मुझे घर ले जाने को कह सकता हूँ.	మీ ఇంటికి తీసుకెళళమని అడగొచచు.
पर यह कुछ भी सच नहीं है, है न?	కానీ ఇందులో ఏదీ నిజం కాదు, కదా?
सातवीं ककषा का दीवानापन है जिसे भुलाने की मुझमें अकल नहीं थी.	7వ తరగతిలో ఇషటపడిన అబబాయిని వదులుకునేంత బుదధి నాకింకా లేదు.
कैसे हमें उस बारे में जानकारी थी. जिसके चलते उसका वह हाल हुआ.	దాని గురించి మనకు సమాచారం ఉండింది. వాడిపె దాడి జరగబోతోందని.
बोला कि डारक नेट पर हमारे नाम की 9 मिलियन की सुपारी दी गई है.	మనలని లేపేసతే 90 లకషల డాలరల నజరానా అని డారక నెటలో పెటటారంట.
कम से कम भेडों को बाहर निकालो.	కనీసం ఆ గొరరెలని వదిలేయచచుగా.
-तुमहें आगाह कर दूँ. -शुकरिया.	-నినను హెచచరిసతుననా. -థాంకయూ.
तुमहें कुछ ऐसा करना होगा कि यह नौजवान औरत तुमहें घर ले जाए.	ఆ యువతి నినను తన ఇంటికి తీసుకెళళేలా నువవు తనను ఒపపించాలి.
"तुमहें अपने समय की कदर है? "	"నీ సమయానికి విలువనిసతావా? "
पर तुमहें इसे सकैन करना होगा.	దీని కోసం నువవు సకాన చేయాలి.
माँ की गोलियाँ लेने के बारे में जो कहा, उसके लिए माफ करना.	అమమ మాతరలు నువవు తీసుకోవడం గురించి నేననన మాటలకి మననించు.
पर मैं यकीन दिलाती हूँ कि यह एक भले काम के लिए है, ठीक है?	కానీ ఇది ఒక మంచి పని కోసమని నేను నొకకి చెబుతుననా, సరేనా?
वह बहुत पहले की बात है, माँ.	అది చాలా కాలం నాటి మాట, అమమా.
हालांकि हम सब ने उस बारे में बात न करने का फैसला किया था.	ఈ విషయం గురించి మనం మళళీ మాటలాడకూడదని అనుకుననమాట నిజమే.
मैं अपना परिचय दे सकता हूँ,	ననను నేను పరిచయం చేసుకోవచచు,
और मेरा मतलब है कि सबसे बुरा	అంటే చాలా పెదద ఘోరం ఏంటంటే,
-नींद की गोली? -हाँ, दे दो.	-నిదర మాతర కావాలా? -అవును.
इसकी सबसे अहम बात यह है कि इसमें हर बात असली लगती है.	అందులో ముఖయమెనదీ ఏంటంటే, పరతీదీ నిజమేనని అనిపించడం.
एटीएम - हेफटी 24 घंटे नकद	ఏటీఎం - హెఫటీ 24 గంటల నగదు
आजकल लोग सिरफ गलत कामों के लिए नकद इसतेमाल करते हैं.	ఈ రోజులలో ఏదో తేడా పని చేయటానికే నగదు వాడుతుననారు.
हाँ. पूछने के लिए शुकरिया.	అవును. అడిగినందుకు థాంకస.
ए, फलिन? टॉमी का आरडर है.	ఫలిన? ఇకకడ టామీ ఆరడర ఉంది.
चमकीली सुईयाँ किसलिए हैं?	ఈ వెండి ముళళననీ దేని కోసం?
अब, एक छोटा सा खेल खेलें?	ఇపపుడు, ఓ చినన ఆట ఆడుదామా?
तुमहारी तारीफ कर सकता हूँ.	మిమమలని పొగుడుతూ గడపవచచు.
-कल तुम बैंक लूटोगी? -बरटन ने कुछ बंदोबसत किया है.	-రేపు బయాంకు దోపిడీనా? -బరటన రహసయంగా ఏదో చేసతుననాడు.
इसका मतलब बहुत कुछ हो सकता है, पर बेवकूफी नहीं है.	దానికి ఎననో అరథాలు ఉండవచచు, కానీ మూరఖతవం అయితే కాదు.
हैलो, फलिन. कया चल रहा है?	హేయ, ఫలిన. ఏం జరుగుతోంది?
मुझे बार-बार यही लग रहा है कि मैं सच में वहाँ थी.	నేను నిజంగానే అకకడ ఉననాననే ఆలోచన ననను వెంటాడుతోంది.
मेरा तुमहें वहाँ न डालना,	నీకు మతతుమందు ఇవవకపోవడం,
आप पूरे शरीर को महसूस करते हैं, मानो वह असली हो.	మన శరీరానని అనుభూతి చెందవచచు, అంటే నిజమెనదానిలాగా.
बस कहता रहता है, "शांति रखो. " बडी चिढ होती है.	ఎపపుడూ "నిదానం" అంటుంటాడు. అది పరమ చిరాకుగా ఉంది.
कुछ पता है कि दो दूलहे और एक दुलहन कयों माँगे?	ఇదదరు వరులను, ఒక వధువును ఎందుకు ఆరడర చేశారంటావు?
बोलो, "मैं पहुँच गया. "	"నేను వచచాను" అని చెపపు.
यह बात कोई मायने रखेगी?	దానికి ఏదెనా విలువ ఉందా?
अपनी आँख वहाँ ले जाओ, या फिर, पयारी मेरिएल की.	నీ కనను, అదే పరియమెన మరియెల కనను దానికి చూపించు.
गुड नाइट. तुमसे पयार है.	గుడ నెట. నువవంటే పరాణం.
जो आदमी तुमहें मारने आए थे, वे आखिरी नहीं होंगे.	మిమమలని చంపడానికి వచచిన వారు, చివరి వారు కాదు.
तुम उससे भी जयादा कमा सकती हो. उसके अवतार से.	నువవింకా ఎకకువ సంపాదించవచచు. తన అవతారని వాడితే.
पर अगर देर तक घूरते रहो, तो शक सा होने लगता है,	కానీ తదేకంగా చూసతూ ఉంటే, కాసత అనుమానమేసతుంది,
तुमहारा नंबर पता करना कोई मुशकिल काम नहीं था.	మీ నెంబర కనుకకోవడం అతి తకకువ శరమతో కూడిన సవాలు.
और उसने इतनी पी होगी कि उसे अपना फोन ही न मिले.	అలాగే వాడి ఫోన ఎకకడుందో వెతకలేనంతగా తాగాడేమో.
ईजी आइस रीस106 - टॉम217	ఈజీ ఐస రీస106 - టామ217
उममीद है कि इस लायक हो.	అరహుడివని అనుకుంటుననా.
मेरे साथ लोग हैं, फलिन.	నా మితరులుననారు, ఫలిన.
तुम लेवल 83, आग वाली गुफा के आगे कभी नहीं गए.	ఏంటి, నువవు అగని గుహలునన 83వ సథాయే దాటలేదు.
दस से उलटी गिनती करो.	పది నుండి వెనకకు ఎంచు.
तुमहें शांत रहना होगा,	నువవు శాంతంగా ఉండాలి,
बहुत जलद तुमहारी होगी.	తవరలో నీది కాబోతోంది.
यहाँ पर कलेजा है कया?	ఇకకడుననది కాలేయమే కదా?
अचछा लगे चाहे न लगे, यही मेरी दुनिया है.	నచచినా నచచకపోయినా, ఇకకడ ఉననదే నాకు పరపంచం.
कोई परेशानी है, बेटा?	ఏదెనా కషటమా, బంగారం?
तुमहें बहुत खतरा है.	మీకు పెదద ముపపు ఉంది.
तुमहें बहुत खतरा है.	మీ పరాణాలకు ముపపుంది.
"कया हाल है, बिली ऐन! एक नबिन मिलेगा? "	"బిలలీ యాన! నబిన తీసుకోనా? " అని అడగొచచు.
-बाकी खुद-ब-खुद समझ में आ जाएगा. -अचछा.	-మిగిలినదంతా నీకే తెలుసతుందనుకుంటా. -సరే.
तुम बहुत खूबसूरत हो.	మీరు అందానికే అందం.
मुझे टेमोसीन चाहिए.	నాకు టామొసీన కావాలి.
बरटन मुझे अपनी फालतू गोलियाँ दे रहा है. उससे थोडा फायदा हुआ.	బరటన తన అదనపు మాతరలను నాకు ఇసతుననాడు. అవి కాసత సాయపడడాయి.
किसी बडे की गैरमौजूदगी में गडबड करेंगे.	పెదదవారి పరయవేకషణ లేకపోతే చెడగొడతారు.
हमारे चलते उसने उस पर धयान नहीं दिया.	కానీ మనం సరిగా పటటించుకోకుండా వదిలేశాం.
बरटन, दरवाजा खोलो!	బరటన, తలుపు తెరువు!
लोग चाहते हैं कि इसकी जाँच करूँ, बहुत सारा पैसा भी देंगे.	దీని మాదిరి పరీకషను ననను చేయమంటుననారు, భారీ మొతతానికి.
मैं नाखुश नहीं हूँ.	నేను బాధపడటం లేదు.
मेरी आँख निकाल दी.	నా కంటిని పెరికారు.
अगले सतर पर पहुँचा तो 1, 000. जिसमें तुम मदद कर सकती हो.	తరువాతి సథాయికెళతే, వెయయి వసతాయి. నువవూ సాయం చేయవచచు.
हाँ, मुझे दो. इसके साथ खेलना बंद करो.	సరే, నాకు అది ఇవవు. దాంతో ఆడటం ఆపు.
तुमहें "समूलोचछेदन" का मतलब पता है?	నీకు "సమూల నిరమూలన" అంటే ఏంటో తెలుసా?
एकदम समय के हिसाब से. जितनी देर टिकोगी, उतना कमाओगी.	సమయం ఆధారంగా చెలలిసతారు. ఎంత సేపుంటే, అంత సంపాదించవచచు.
अपने हक से जयादा.	వాడి అరహతకు మించే.
सामाजिक कैलेंडर का मुखय आकरषण. जो छूटना नहीं चाहिए.	వారి సామాజిక కాలెండరలో ఇది ముఖయ వేడుక. హాజరు తపపనిసరి.
और फिर, अगर सभी इशारे सही लगें तो,	ఇక ఆ తరవాత, అననీ కుదిరితే, ననను. . .
कयों? तुमहें अपने परेमी की चिंता है?	ఎందుకు? నీ పరియుడి గురించి దిగులా?
तुमहारी चिंता है.	మీ గురించి దిగులు.
उनहें काम खतम करना चाहिए था, कॉनर.	వాళళు పని పూరతి చేసుండాలసింది, కానర.
हम कया कर रहे हैं?	మనం ఏం చేసతుననాం?
यानी, कुछ करने की.	పటటుకునేంత బుదధా?
कोलंबिया की कोई कंपनी है. पता किया.	కొలంబియా దేశపు కంపెనీ. ఆరా తీశాం.
-कोई पैसे नहीं देगा? -एक पैसा नहीं.	-చెబుతుననారా? -పెసా కూడా కటటలేదు.
वाह. तुमहारा असली नाम कया है, लडके?	అదభుతం. నీ అసలు పేరేంటి, కురరోడా?
बलू रिज परवत 2032	బలూ రిడజ పరవతాలు
हमारी शादी के केक के टॉपरस के लिए.	మా పెళళి కేకుపె అలంకరణల ముదరణకు.
उनहें कया चाहिए?	వారికి ఏం కావాలి?
मैं सोच रहा था कि तुमहारे साथ होना	మీలా ఉండటం అంటే ఏంటో ఊహించడానికి
उसकी मौजूदा हालत.	తన పరసతుత సథితి.
शायद तुम मन ही मन चिललाना शुरू कर रहे हो, है न?	నీ తలలో కేకలు పెటటడం మొదలుపెటటావని ఊహిసతుననా, కదా?
नहीं, तुमहें पता है कि यह कया था.	లేదు, ఇదెలా ఉండేదో నీకు తెలుసు.
तुम कुछ कहोगी या बस लेटी रहोगी?	ఏమెనా చెపతావా లేక అలా ఉండిపోతావా?
मुफत में जो मिल जाए, वही अचछा है.	బిచచగాళళకి ఎంపికలు ఉండవు, బరటన.
आपके लिए कॉफी लाई हूँ. संभलकर. थोडी सी गरम है.	నీ కోసం కాఫీ తెచచాను. జాగరతత. కొంచెం వేడిగా ఉంది.
माँ की आखिरी टेमोसीन सिरफ 10 मिलिगराम कयों है?	అమమ వేసుకునన టామొసీన 10 ఎంజీలే ఎందుకుందో చెపతావా?
अचछा. तो फिर मुझे बेवकूफ की तरह पेश आना चाहिए?	అలాగా. అయితే, నేను కాసత మొదదు బురరలా పరవరతించాలా?
कंपनी की पारटी.	ఒక కంపెనీ పారటీ.
और ऐसा करते समय,	ఇలా చేసేటపపుడు,
तुम कया इसके बाद होश में आकर अपनी जिंदगी बदलोगे?	ఇకకడి నుండి వెళళి, నీ జీవితానని మారచుకుంటావా?
मैं समझ रही हूँ.	నాకు వినపడింది.
नहीं, मैं ठीक हूँ, बरटन. मुझे थोडी हवा चाहिए.	వదదు, నేను వెళతాను, బరటన. నాకూ తాజా గాలి కావాలి.
मिलागरोस कोलडायरन तुमहें ऐसे मुसकुराते न देख ले.	మిలాగరోస కోలడఐరన వారికి ఇలా నవవుతూ కనిపించకు.
मेरे हाथ की हथेली फट गई, ठीक है?	నా అరచేయి తెగిపోయింది, తెలుసా?
मैं जैसपर की गाडी में बैठी सोच रही थी कि माँ का खयाल रख रही हो.	మీ అమమను చూసుకుంటుననావు అనుకొని జాసపర టరకలో వేేచి చూసతుననా.
बोलो, बोलो कयों हो मौन, यहाँ सबसे दिलकश कौन?	అదదం, అదదం గోడపె అదదం, ఎవరికి సొంతం చకకని అందం?
साइकल पर तेजी से सामने की पहाडी पर जाते हुए.	సెకిళళలో కొండపె నుండి జోరుగా కిందికి వచచేవాళళు.
इसे संभालो. मुझे पेशाब करना है.	ఇది చూసుకో. బాతరూంకి వెళళాలి.
धत. उसका अंत काफी अचछा था, हाँ?	ఛత. అది బాగానే ముగిసింది కదా?
दिखाओ कि उस पर काबू कर सकते हो.	దానని కటటడి చేయగలవని చూపించు.
तो उसके नीचे मशीन कयों लगानी?	దాని కింద యంతరం ఎందుకు పెటటాలి?
खुद को किसी हंस के अंदर कलपना करने जैसा है.	ననను నేను ఒక హంసలో ఉననటటు ఊహించుకోవడం లాంటిది.
वह कहता है कि अभी उसे उनकी उतनी जरूरत नहीं है.	అవి ఇక ఏమాతరం అతనికి అవసరం లేదని అంటుననాడు.
और तुमने बचाया.	కాపాడావు కూడా.
". . . जब हम पसीने में लथपथ आपस में. . . "	". . . మనం చెమటలు పటటిన వాటిని రుదదుతూ. . . "
माँ की गोलियों के बारे में बात करना चाहते हो?	అమమ మాతరల గురించి పనికొచచే విషయం చెబుతావా?
शायद मुझे पता है कि यह कया है.	ఇదేంటో నాకు తెలుసనుకుంటుననా.
पारटी का मजा लीजिए, मिसटर आइस.	పారటీని ఆనందించండి, ఐస గారు.
आरआई नामक एक छोटी सी कंपनी है.	ది ఆరఐ అనే పేరుతో చినన సంసథ.
यह अचछा रहेगा.	అది బాగుంటుంది.
इंसान का असली हाथ कयों नहीं?	నిజమెన మనిషి చేతినే వాడొచచుగా?
उसने वजह बताई?	ఎందుకో చెపపాడా?
मुझे नहीं पता. कोई तंतरिका काटी गई है. मेरे हैपटिकस की तरह.	నాకు తెలియదు. ఒకలాంటి నాడీ పరికరం. నా సపరశ సాంకేతికతలా.
मैं बताऊँगी कि कया करना है, और तुम वह करोगे.	ఏం చేయాలో నేను చెపతాను, అది నువవు చేయాలి.
जिस तरह वह अपंग आदमी तुमहारे साथ पेश आया?	ఆ తాగుబోతు అవిటివాడు నీతో పరవరతించిన తీరుని?
उनकी 10 मिलिगराम की गोली है.	ఆమెకు ఉననది 10 ఎంజీల మాతర.
शराफत नहीं है?	మంచితనం లేదా?
रुको. सच में?	ఆగు. నిజంగానా?
एचीवर और एकसपलोरर. तुम दोनों में माहिर हो.	సాధించేవాడు, శోధించేవాడు. అవి నీ బలాలు.
तुमहारा इनाम.	ఈమే నీ బహుమతి.
मुझे नहीं पता.	నాకు తెలియదు.
अचछा, शायद यह सब थोडा सा परपीडक लगता होगा,	సరే, ఇవననీ చాలా పెశాచికంగా కనిపించవచచు,
होश में आ गए?	మళళీ వచచేశామా?
खुलकर कह डालो.	బయటకు చెపపేయ.
आपसे पयार है.	నువవంటే పరాణం.
जहाँ तक लगता है, तुम मेरा एक रूप होगी.	నాకు తెలిసినంతలో, నువవు ననను పోలి ఉంటావు.
किसी को अगवा करने का? पर वह बस शुरुआत है.	అపహరణా? కానీ అది కేవలం పరారంభం మాతరమే.
और फिर तुम कहती, "तो फिर ये कीमती पल बातों में जाया कयों करना. . . "	ఇక నువవు, "ఈ విలువెన కషణాలని ఇలా మాటలలో వృధా చేయడమెందుకు. . . "
कि हो सका तो तुमको बचाऊँगी.	వీలెతే నినను కాపాడుతానని.
असपताल में भरती करना पडेगा.	మళళీ ఆసుపతరిపాలు అవుతావు.
"खुद को किसी शेर के अंदर कलपना करने के बराबर है. "	"సింహం లోపల నేను ఉననటటుగా ఊహించుకుననటటు అనిపిసతోంది. "
पता है, एक हाथ होने का सबसे बडा फायदा कया है, कैश?	ఒక చేయి మాతరమే ఉండటంలోని ఉతతమ విషయం ఏంటో తెలుసా, కయాష?
अजीब है ना, कैसे पैरों के तलवे सखत हो सकते हैं, या नरम पड सकते हैं.	మనిషి పాదాలు రాటుదేలి గటటిగా మారడం లేదా మృదువుగా మారడం అదభుతం.
-तुमहें यह नंबर कैसे मिला? -मिस फिशर.	-నీకు ఈ నెంబర ఎలా దొరికింది? -ఫిషర గారు.
तुम ही कयों?	నువవే ఎందుకు?
हर लेवल के पैसे मिलते हैं?	లెవెల పరకారం చెలలిసతారా?
"और सब कुछ की सृषटि अंधकार से ही हुई. "	"పరతీదీ చీకటి నుండి సృషటించబడింది. "
कल रात मैंने तुमहें देखा, खिडकी में से.	నినన రాతరి కిటికీలోంచి నినను చూశాను.
कुछ गडबड है?	ఏమెనా ఇబబందా?
और पता है कि उसके बाद कया होगा? नाम बताओ, मिस वेसट!	అపపుడేం జరుగుతుందో తెలుసా? పేరలు చెపపండి, వెసట!
तंग करना देखकर मैं सोच में पड गया हूँ.	ఆ బెదిరింపే ననను ఆలోచనలో పడేసతోంది.
आपका वजन और नहीं घट सकता.	నువవు బరువు కోలపోకూడదు.
महीनों तक तंगी नहीं होगी.	నెలల ఖరచుకు ఢోకా ఉండదు.
बस अपनी समझ से काम लेना है, अगर तुम में वह है.	నీ చతురతకు పదునుంటే చాలు, అలాంటి గుణం నీకు ఉంటేనే.
तो मैं यह सोचता कि तुमने सोच-समझकर फैसला किया.	నువవు సరెన నిరణయమే తీసుకుని ఉంటావని నేను నమముతాను.
हम उसके जिममेदार होंगे.	అపపుడది మన తపపే అవుతుంది.
बरटन, तुमने माँ की गोलियाँ बदलीं?	బరటన, అమమ మాతరలతో నీవి మారుసతుననావా?
वह ठीक हैं.	ఆమె బాగుంది.
"तब यहाँ सिरफ अंधेरा था.	"చీకటి మాతరమే ఉండింది.
अरे, बाप रे!	ఓరి దేవుడా!
तुम कहाँ हो?	ఎకకడుననావు?
बात बस यह है कि, किसी न किसी रात,	ఇదీ విషయం, రాబోయే రాతరులలో ఒక రాతరి,
बिली ऐन तुमहारा इंतजार कर रही है. नबिन लिए.	బిలలీ యాన నీ కోసం వేచి చూసతోంది. కొనని నబినలతో.
अगर दोबारा उसमें न गईं तो मैं कुछ नहीं कर सकता.	మీరు మళళీ సెన ఇన అయితే తపప నేను సహాయపడలేను.
"जब सूरय, चंदरमा, गरहों और पृथवी को	"సూరయుడు, చందరుడు, గరహాలు, భూమి,
नहीं, यह सच है. दस साल.	అవును, నిజమే. పదేళళు.
आज तक इतनी अचछी नहीं देखी. ऐसा लगता है कि. . .	నేను చూసినవాటిలో ఉతతమం. ఎలా ఉంటుందంటే. . .
