पिकेटमोटरस. कॉम	పికెటమోటరస. కామ
जिसके चलते उसके बाद जो कुछ हुआ,	ఇది ఆ తరవాత జరిగే పరతి విషయానని
मान लेते हैं कि अगर हम आरआई से दूर रहें	ఆరఐకు మనం వెలలడి కావడానని ఎంతగా తగగిసతే
वह तुमहारे इलाके में नशीले पदारथ बनाता है. काफी हिंसक है.	మీ పరాంతంలో ఇతను మాదకదరవయాల తయారీదారు. హింసాతమకమెన మనిషి.
तुमहारे सटब के वेब टरेफिक पर नजर रखी.	సటబలో నీ వెబ లావాదేవీలను గమనిసతుననాం.
दोनों में एक रिशता है.	విడదీయలేని జోడీ వీళళు.
वुलफगैंग का छोटा नाम.	వూలఫగయాంగకు పొడిరూపం.
एलीटा.	ఎలీటా.
विलफरेड?	విలఫరెడ?
हैलो, माँ.	హలో, అమమా.
शायद उतना समय भी नहीं हुआ.	బహుశా అది కూడా కాదనుకుంటా.
मैं सेंट जेमस में थी. विलटनस में से निकली.	సెయింట జేమసలో ఉననా. విలటనస నుండి బయటకొచచా.
"जहाँ लंदन में आखिरी बार बरफ पडी. "	"లండనలో చివరగా సనో నేలరాలిన చోటు. "
"जहाँ लंदन में आखिरी बार बरफ पडी. "	"లండనలో చివరగా సనో నేలరాలిన చోటు. "
पास में ऐसे मंडरा रहे हो तो मुझे थकावट महसूस हो रही है.	కమమేసతుననటటు ఉండే నీ చూపులు ననను అలసిపోయేలా చేసతుననాయి.
कभी-कभी, जब मुझे नींद नहीं आती,	కొననిసారలు, నాకు నిదర రానపపుడు,
विलफरेड, जब किसी का साथ न हो	మనసు ఒంటరిదవుతుంది, విలఫరెడ,
पर वह वैसा ही इंसान है.	కానీ అతను అలాంటి వయకతి.
धत.	ఛత.
मतलब, बाद में.	అంటే, ఆ తరవాత.
सुरकषा में चूक होने पर वे चुप नहीं बैठते.	వాళళు భదరతా లోపాలను అంత తేలికగా కషమించరు.
बाप रे.	ఓరి నీ.
जैसपर.	జాసపర.
और तुमहारी सेवा के लिए शुकरिया.	నీ సేవకు ధనయవాదాలు తెలుపుతుననా.
रफतार, तीवरता, हिंसातमकता.	వేగం, తీవరత, హింసాతమక చరయ.
पर कभी इस शहर का बहुत ही बुरा हाल था,	కానీ ఈ ఊరు ఒకపపుడు చెతతకుపపలా ఉండేది,
यही मेरी धमकी है.	ఇదీ నా బెదిరింపు.
डॉकटर!	డాకటర!
वे अपने पंख फडफडाते हैं.	అవి తమ రెకకలని ఆడిసతాయి.
विलफ?	విలఫ?
जब एलीटा मिल जाए, तब उससे पूछ लेना. मुझे कुछ नहीं पता.	మనకు ఎలీటా జాడ తెలిశాక, ఆమెనే అడగవచచు. నాకెతే తెలియదు.
साथ में कुछ असवीकृत सुधार हैं.	కొనని ఆమోదయోగయం కాని మారపులతో.
उसे लेकर निकलने से पहले बता सकती थी.	ఆమెతో బయటకి వచచే ముందే చెపపి ఉండాలి.
और उसे उस चीज से बात करने मत देना.	ఇక ఆ చెతతదానితో ఆమెను మాటలాడనీయకు.
वेकफीलड जेल में तुमहारे लिए सामान जरूर भेजूँगी.	కానీ వేకఫీలడ జెలుకి కావాలసిన వసతువులు పంపుతాలే.
रेनी बिना तैयारी के चली आई.	రెయినీ అనాలోచితంగా ఉంటోంది.
वह पिछली परेमिका के हिसाब से था.	నా మాజీ పరేయసి రూపంలో మలచబడింది.
जलद से जलद इनकी यातरा दरज करवा लीजिए, मिसटर नेदरटन.	తన పరయటనని వీలెనంత తవరగా నమోదు చేయండి, నెథరటన గారు.
गरेस.	గరేస.
वहाँ के लोगों की एक कहावत थी.	అకకడి పరజలకి ఒక సామెత ఉండేది.
तुमहारा पसीना, छतते से निकलने वाले एक रसायन जैसा लगने लगेगा.	నీ చెమట వాసన కందిరీగలు విడుదల చేసే రసాయనపు వాసనలా మారుతుంది.
एक सवाल पूछूँ?	ఒక పరశన అడగనా?
चाहो तो, कोशिश कर सकता हूँ,	నీకు కావాలంటే, పరయతనిసతాను,
-कहीं नशीले पदारथ न हों. -नहीं हैं.	-అందులో డరగస లేకుంటే మంచిది. -లేవు.
पता करो कि यह सब कया है.	ఇది దేని గురించో కనుకకో.
यह लीजिए.	ఇదిగోండి.
मतलब. . .	అంటే. . .
-ले लो. -अचछा.	-తీసుకో. -సరే.
खैर. . .	మరి. . .
अपने हैपटिकस से जुडकर	నీకు ఎలా అనిపిసతుంది,
उसे समझाना मुशकिल है.	దానని వివరించడం కషటం.
जुडने को झेलने के लिए टरेनिंग चाहिए.	విలీనానని తటటుకోవడానికి శికషణ అవసరం.
"जहाँ लंदन में आखिरी बार बरफ पडी. "	"లండనలో చివరగా సనో నేలరాలిన చోటు. "
"ऐबी जंग, वह जगह जहाँ हैरोलड गिरा. "	"యాబీ యుదధం, హెరాలడ నేలరాలిన చోటు. "
जॉन सनो.	జాన సనో.
इनहें कया हुआ?	వాళళకు ఏమెంది?
बरटन.	బరటన.
हमें चलना चाहिए.	మనం వెళళిపోవాలి.
ठीक से ढूँढने के लिए हम अलग हो गए. अब एक मेट कॉएड उसका पीछा कर रहा है.	ఎకకువ పరాంతం జలలెడ పటటాలని విడిపోయాం. పోలీసు రోబో ఆమెను అనుసరిసతోంది.
तुम सटब से जो जानकारी ला रही हो, शायद किसी दिन वह हम सब को बचाएगी.	సటబ నుండి నువవు తీసుకొసతునన డేటా, ఒకరోజున మనలని అందరినీ రకషించవచచు.
खैर, जंग के खतम होने के बाद, मैं कवांटिको में था. एक बार में गया.	యుదధం ముగిసిన తరవాత, కవాంటికో సెనయకషేతరంలో ఉననా. బారులోకి వెళళా.
पर, सच तो यह है कि औरतों के लिए बैठकर करना काफी आसान होता है.	కానీ నయాయంగా చెపపాలంటే, ఆడవారి పని సులభం, కూరచుని కానివవచచు.
सिलटवेल मारग पर बारह लाशें सलीबों से लटकती हुई पाई गईं. . .	సిలటవెల రోడడుపె 12 శవాలు శిలువలపె వేలాడుతూ కనిపించాయి. . .
पर फौज ने मुझे वैसा इंसान बनाने में काफी पैसा खरच किया था.	కానీ ననను అలాంటి వయకతిగా చేయడానికే సెనయం ఎంతో ఖరచు చేసింది.
मुझे वह चेतावनीपूरण लगता है, हौसला पैदा करने वाले तरीके से.	నాకు అవి హెచచరినటలుగా అనిపిసతుంది, అంటే ఉతతేజకరమెన రీతిలో.
हमले के बाद उसने निकाल दिया होगा, ताकि उसका पता न चल सके.	దాడి జరిగిన తరవాత తీసేసి ఉంటుంది, తన జాడ ఎవరూ పసిగటటకుండా.
और हमें लगता है कि यहाँ से किसी ने उससे संपरक किया होगा.	ఇకకడివారు ఎవరో అతనని సంపరదించి ఉండొచచని మాకు అనిపిసతోంది.
उसे सुनते ही, सवाइप करना, पहली उंगली को अंगूठे पर मारना.	అది విననపపుడు, సవెప చేసి, చూపుడు వేలితో బొటన వేలిని తటటు.
जहाँ जाना अचछा लगता हो? तरोताजा होने के लिए? मेरी यह है.	తరచూ వెళళే చోటు? ఉలలాసం పొందటానికి? ఇది నాకు అలాంటి చోటు.
बोली कि इसकी इचछा को अनदेखा करके मैंने इसका अपमान किया.	తన విననపాలు నిరలకషయం చేసతే, తనపె నాకు గౌరవం లేనటటే అంది.
पर उसके अलावा, अगर बारीकी में परौदयोगिकी की बात करें?	కానీ అంతకు మించి, ఆ నిరదిషట సాంకేతికత గురించి అడిగితే?
मुझे इतना पता है कि 70 सालों में बहुत कम लोग बचेंगे.	ఒకటెతే కచచితంగా తెలుసు, 70 ఏళళలో జనాభా తగగిపోనుంది.
कभी पैरागुए नामक एक देश हुआ करता था. जैकपॉट से पहले.	పరాగవే అనే దేశం ఒకపపుడు ఉండేది. జాకపాట ఘటనకు ముందు.
कलैंटन, उततर कैरोलाइना में आज सुबह की एक भयानक खोज.	నారత కారోలీనా కలాంటనలో ఈ ఉదయం ఘోరం వెలుగు చూసింది.
माफ कीजिए, डॉकटर. आपको निराश किया. मैं समझ रही हूँ.	మననించండి, డాకటర. మిమమలని నిరాశపరిచా. అరథమవుతోంది.
टट को शायद शक था कि वह काँच बुलेटपरूफ है या नहीं.	ఆ అదదం బులెటపరూఫా కాదా అని టటకు సందేహముననటటు ఉంది.
सतताईस दिनों में दस की हो जाऊँगी. वुलफ आठ का है.	27 రోజులలో పదేళళు నిండుతాయి. వూలఫకు ఎనిమిదేళళు.
जरा सोचो कि उनहें बचाने के लिए किस हद तक जाओगी.	వారిని రకషించడానికి నువవు ఎలా తపిసతావో ఆలోచించు.
सच में, ऐसी मशीन के लिए ढेरों खरच कर सकता हूँ.	ఇలాంటి యంతరం కోసం నేను నా కాలు, చేయి ఇవవగలను.
मेरे साथ इस तरह बात मत करो. मैं बचची नहीं हूँ.	ఆ చెతత సవరంతో మాటలాడకు. నేను చిననపిలలను కాదు.
पता है, पिछले पाँच सालों में ऐसा दो बार हुआ	నీకు తెలుసా, అవి 2 సారలు అంతరించేపోయే ఘటనలను
अगर मेट को फलिन का पता चला तो खुद संभालना.	ఫలిన సటబ మనిషని పోలీసుకి తెలిసతే, పారిపో.
इसने बताया कि परिफरल इसके मुताबिक नहीं था.	పెరిఫరల తనలా కనిపించడం లేదని రెయినీ అంది.
-हमें बाहर निकालो! -उनहें बाहर निकाल दूँ?	-మమమలని బయటకు రానీ! -వారిని బయటకు వదలనా?
उसके मन की अवसथा समझने की कोशिश में था.	ఆమె ఆలోచించే రీతిలో ఆలోచించాలని యతనించా.
शायद तुम इस लडकी से कुछ पूछना चाहती थी?	ఈ యువతిని ఏదో ఒక విషయం అడగాలని అననావు.
अगर उस रात से मेल खाती कोई भी चीज दिखे,	ఆ రాతరి నుండి ఏదెనా చూసినటటు అనిపిసతే,
हमेशा पूछो कि उनहें बदले में कया चाहिए.	వాళళకి బదులుగా ఏం కావాలో ఎపపుడూ అడుగు.
पता चला कि एलीटा को कहाँ से पैसा मिला?	ఎలీటా నిధులకు మూలం ఏమిటో కనుకకుననావా?
-वे मालिक नहीं हैं. -तुमने कहा. . .	-వాళళు నీ యజమానులు కారు. -నువవు. . .
कयोंकि तुम खयालों में जीते हो, विलफ.	ఎందుకంటే నువవు పరణయాభిమానివి, విలఫ.
पर मैं तुमहारी कदर करती हूँ, डेनिएल.	కానీ నీ విలువ నాకు తెలుసు, డానియెల.
मुझे लगा कि इसे बिसतर पर रखा होगा.	దీనని మంచంపె భదరపరుసతారని అనుకుననా.
एक साल तक दोनों एक ही कमरे में थीं.	వాళళు ఒక సంవతసరం పాటు గది సహచరులు.
-तुमहारा इंतजार कर रहे हैं. -वाह.	-నీ కోసం ఎదురుచూసతుననారు. -మంచిది.
मैं वापस आऊँगा. एक हथौडा लाना है.	ఇపపుడే వసతా. సుతతి తీసుకురావాలి.
वह कहीं जयादा पेचीदा हो जाता है.	సంకలిషటం చేసతోంది, సరళం చేయకుండా.
तुम उस तरफ जाओ. मैं इधर जाता हूँ.	నువవు అలా వెళళు. నేను ఇలా వెళతా.
हमें मिलकर काम करना होगा. समझे?	మనం జటటులా పని చేయాలి. అరథమెందా?
पर अगर आप हमसे दूर रहें तो, मैं आपको हफते के दो लाख दे सकता हूँ.	కానీ వారానికి 2 లకషల డాలరలు ఇసతా, మమమలని మా మానానికి వదిలేసతే.
जो सबसे दुरबल किसम की परेरणा है.	పరేరకాలలో భయం అతయంత బలహీనమెనది.
हाँ, हमारी वाली भी खराब पडी है.	అవును, మాది కూడా పని చేయడం లేదు.
तुम सच में इसे हमारे बेवकूफ भतीजे के हाथों में सौंपना चाहती हो?	ఇలాంటి విషయానని దదదమమ అయిన మన బంధువు చేతులలో పెటటాలనుకుంటావా?
तो तुमहें मुझे वापस भेजना होगा.	అయితే ననను మీరు వెంటనే పంపాలి.
कि इनके विलुपत होने की नौबत आई?	ఎదురకొననాయి, కేవలం గత ఐదేళళలో?
मुझे लगता है कि मैंने वह किया.	ఎందుకంటే, నేను అలాంటిది చేశాను.
उसे हमेशा से पहेलियाँ पसंद थीं.	ఆమెకు పొడుపు కథలంటే చాలా ఇషటం.
बरटन ने फोन पर बेकार सा एप डाला है. उसके चलते डरोन दिखते हैं.	బరటన నా ఫోనులో పెటటిన చెతత యాప. దాంతో నేను డరోనలను చూడవచచు.
शरीर को अपना मानकर चला रही हो.	శరీరం మీదే అయినటటు నడుపుతారు.
वह फलिन फिशर की पककी सहेली है.	ఫలిన ఫిషరకు పరాణ సనేహితురాలు.
सटूल पर एक बंदे को बैठे देखा.	సటూలుపె కూరచునన ఒకడిని చూశాను.
उनकी आँखों की रोशनी लौटने पर तो और बहुत कुछ समझाना पडेगा.	ఆమెకు కనుచూపు రావడంతో వచచే సందరశనలో ఇంకా ఎకకువే వివరించాలి.
मेकन और एडवरड मेरे मालिक हैं?	మేకన, ఎడవరడలు నాకు యజమానులా?
मुझे गरेस हमेशा अचछी लगती थी.	నాకు గరేస అంటే ఎపపుడూ ఇషటమే.
सब मैड डॉगस गुट के सदसय थे.	వీరంతా మాడ డాగస ముఠా సభయులు.
मुझे लगा कि मैं गेम में हूँ.	సిమ ఆడుతుననానని అనుకుననానే.
आदत पडने में समय लग सकता है.	అలవాటవవడానికి సమయం పటటవచచు.
तो पहले कबर खोद लेनी चाहिए.	నువవు మొదట ఒక గోతిని తవవాలి.
-तुमहारे पडोसी हैं न? -हाँ.	-నీ పొరుగువాళలు కదా? -అవును.
तो हम उन पर बम गिराते हैं.	మనం వారిపె బాంబు విసురుతాం.
तुमने किसी को बताया नहीं न?	నువవు ఎవరికీ చెపపలేదు కదా?
यानी, अपराध मे सही जोडीदार.	చకకటి సహ నేేరసతుడు అంటావా.
जैसे कि तुमहें बहुत पता है कि एक शादीशुदा जोडे के बीच	ఓ పెళళయిన జంట గురించి అసలు నీకు ఒక విషయమెనా తెలుసా,
मैं अपने वादे का पकका हूँ.	ఆడిన మాట తపపనని తెలుసుగా.
और मैं नहीं चाहती कि तुम डरकर इंसटीटयूट की सेवा करो,	ఇనసటిటయూట అవసరాలను నువవు కేవలం భయం వలలే తీరచకూడదు,
कोई हमसे पहले यहाँ आया था.	ఎవరో మనకననా ముందే వచచారు.
उससे कहो कि तैयारी में लगे हो. थोडा समय लग सकता है.	సిదధమవుతుననావని చెపపు. కొంత సమయం పడుతుందని చెపపు.
-इस नजारे को देख आपको खुशी मिलती है? -मधुमकखियाँ.	-ఈ దృశయం మీకు ఉతతేజానని ఇసతుందా? -తేనెటీగలు ఇసతాయి.
ये नया पैंतरा अपनाया हो.	పరిషకరించే వెఖరి ఉండొచచు.
तो वह जैसपर भी जान जाएगा.	అది జాసపరకు చెబుతుననటటే.
मैं कया मदद कर सकता हूँ?	నేను నీకు ఎలా సహాయపడగలను?
उसमें काफी चुनौतियाँ हैं. मुझे अचछी तरह पता है.	అది పరతయేక సవాళళను విసురుతోంది. నాకు బాగా తెలుసు.
जब अपनी ठोडी को हाथ लगाऊँ, घर जाने की बात करना.	నేను నా గడడానని తాకగానే, ఇంటికి వెళళనా అని అడుగు.
शायद अचछी खबर नहीं होगी.	అది దురవారత అయయింటుంది.
हम फिर से रसोई में हैं.	మనం మళళీ వంటగదిలో ఉననాం.
उससे टकराते-टकराते बची.	తనతో ముఖాముఖి ఎదురుపడడా.
धत. कुछ ठीक नहीं लग रहा.	ఛత. నాకు బలహీనంగా ఉంది.
पहले अचछी वाली सुनेंगे?	మీకు మొదట బహుమతి కావాలా?
हैपटिक भरती के लिए, फौज गाँव में जाकर तलाशती है.	హాపటిక నియామకాలకు సెనయం పలలెలపె గురిపెడుతుంది.
कैसे लगता है कि हमारे अनाज और फलियाँ विभाग में	ధానయాలు, పపపు దినుసుల విభాగంలో పని చేసతుననవారికి
आपको बदले में कया चाहिए?	మీకు బదులుగా ఏం కావాలి?
वापस सवागत है, मिस फिशर.	మళళీ సవాగతం, ఫిషర గారు.
इसी पर हाथ मिलाते हैं.	ఒపపందంపె చేయి కలుపుదాం.
उन पर थोडा पानी छिडको.	వాటిపె కొంత నీళళు చళళు.
अगर उनहोंने डॉकटर को दिखाईं तो समझाना पडेगा.	ఆమె వాటిని డాకటరుకి చూపిసతే, మనం వివరణ ఇవవాలి.
मैं उनहें सच बता देता,	నేను ఆమెకు నిజమే చెపతా,
मैं उसे यकीन दिला रहा था कि एलीटा को ढूँढने के लिए तुम सही इंसान हो.	ఎలీటాను కనుకకోవడానికి నువవు సరెన వయకతివని ఆమెకి రూఢిగా చెపపానంతే.
यह परिफरल इस इलाके में इस तरह से घूमता रहा है	ఈ పెరిఫరల పరిసర పరాంతాలలో సాంకేతిక అంచనాలను
मुशकिल यह है कि शायद यह कोई घटिया चाल न हो	ఈ ఎంపికలో సమసయ ఏంటంటే, ఇది ఉచచు కాకపోవచచేమో,
शायद हम वहाँ मुडे थे.	ఇకకడ తిరిగాం అనుకుంటా.
तुरंत परिफरल को जमा करें ताकि जाँच और. . .	ఈ పెరిఫరలను పరయవేకషణకు అపపజెపపండి అలాగే. . .
थोडी तकलीफ होती है न?	కాసత నొపపిగా ఉంది కదా?
या शायद कुछ जजबात जागने लगे हैं, अगर आप मेरी बात समझ पाएँ तो.	కనీసం ఆ భావనలు వచచే అవకాశం ఉందనిపిసతోంది, నేను మీకు అరథమవుతోంటే.
और किसी चीज को बकसे के अलावा कहाँ रखोगे?	పెటటెలో కాకుండా, ఒక వసతువును ఎకకడ పెటటాలి?
हाँ, जरूर, कानसटेबल.	తపపకుండా, కానిసటేబుల.
मैं ऐसा कभी नहीं. . .	నేను అలా ఎపపుడూ. . .
मेरे साथ चलो. मुझे खुले में साँस लेनी है.	నాతో నడువు. నాకు కొంత తాజా గాలి కావాలి.
खिडकियाँ और दरवाजे भी नहीं खुल रहे, जो कि अफसोस की बात है.	కిటికీలు, తలుపులు కూడా తెరుచుకోవడం లేదు, ఇది చాలా దురదృషటకరం.
तुमहारे पास यहाँ काम करने का समय नहीं.	ఇకకడ పని చేయడానికి నీకు ఎలాగూ సమయం లేదు.
ऐसे दिखा रहे हो जैसे तुमहीं इंचारज हो?	పెతతనమంతా నీదే అయినటటు ఎందుకు ఉంటుననావు?
तुम, तुमहारा परिवार.	నీపె, నీ కుటుంబంపె.
लडके का नाम वुलफ है?	ఆ బాబు పేరు వూలఫ ఆ?
-और? -एक महीना पहले.	-తరవాత? -నెల కరితం.
मैं वह नहीं कर रहा.	అది నేను చేయడం లేదు.
सच कहूँ तो, थोडी सी.	ఆశచరయమే, అబదధమాడను.
यह सच नहीं है, है न?	ఇది నిజం కాదు, కదా?
बताओ कि लोग मुझे और मेरे परिवार को कयों मारना चाहते हैं.	ననను, నా కుటుంబానని ఎందుకు చంపాలనుకుంటుననారో నువవు చెపపాలి.
शायद एक लडकी को खतम करने का कोई आसान तरीका जरूर होगा, है न?	ఆ అమమాయిని చంపడానికి సులభమెన మారగమేదో ఉండే ఉంటుంది, కదా?
उनहें उतार रहा हूँ.	వాటిని తీసేసతుననా.
अब कोई तुमहें उसके लिए मारना चाहता है.	అందుకు నినను ఎవరో చంపాలనుకుంటుననారు.
थोडी बहस हो गई थी.	కాసత వాదన జరిగింది.
मतलब, उनकी अजञानता.	అంటే, వాటి అజఞానం.
सही जगह पर पेशाब करना कितना मुशकिल है?	సరెన చోట మూతరం పోయడం ఎంత కషటమెన పని?
तुम इसे ले चुके हो.	నువవు తీసుకుననావు.
कैसे भटक सकते हैं?	కొటటుకుపోవడమా, ఎలా?
इसके नाम में दूरसथ-यातरा वीजा की अरजी दी थी. दस यातराएँ.	నేను దూర సందరశన వీసా దరఖాసతు చేశాను. పది పరయటనల కోసం.
हालाँकि मुझे माफी की उममीद नहीं है.	అంటే నీ కషమాపణ ఎదురుచూసతుననానని కాదు.
मैं जासूस नहीं हूँ, पर आगे बढने के लिए इतना काफी है.	సంకలిషటత ఏమీ లేదు, కానీ పని పరారంభించడానికి సరిపోతుంది.
गाडियाँ बेचना बंद किया तो इनकी सरविस कैसे करवाएँगे?	నువవు కారల అమమకం ఆపేసతే, వీటి సరవీస ఎలా చేయించుకోవాలి?
सबसे जयादा खतरनाक?	ముపపుననది చెపపనా?
हाँ, यह हुई न बात.	అదిగో, వచచేసింది.
तुमहारा बगीचा. . .	నీ పూదోట ఎలా. . .
-जुड सकते हैं? -कोई घंटी सुनाई देगी.	-సంధానమా? -నీకు రింగ వినిపిసతుంది.
ऊपर या नीचे. मुझे पास या दूर करने.	పెకి, కిందకి. పిలవడానికి, పంపడానికి.
वो वातावरण से कारबन को खींचते हैं.	వాతావరణంలో ఉనన కరబనానని పటటుకుంటాయి.
डॉ. नयूलैंड, पलीज!	డా. నులాండ, పలీజ!
तो उसकी बात का सही मतलब समझ पाती.	తను చెపపేది నాకు అరథమవుతుందని అంది.
बैठो, विलफरेड. पल भर के लिए ही सही.	కూరచో, విలఫరెడ. ఒక నిమిషం పాటెనా.
हाँ, पर तुम हमारे साथ जो भी करोगी	అవును, నిజం ఏంటంటే, మమమలని గిలలితే,
अगर उनहोंने आपसे कम की बात की है,	కనుక, మీకు అంతకననా తకకువ చెపపారంటే,
घर आ गया है, जैसपर. गाडी बंद करो.	ఇలలు వచచింది, జాసపర. టరక ఆఫ చేయాలి.
वह कया कह रहा है?	అతను ఏమంటుననాడు?
-दिल दुखा रहे हो! -मजाक नहीं है.	-బాగా గాయపరిచావు! -నిజంగా అంటుననా.
रीस और उनसे कहा कि तुम गेम में थीं	రీసకు, మిగిలినవారికి సిమ ఆడావని,
तुमने कहा, वह हमें मारना चाहता है.	మనలని చంపాలనుకుంటుననాడని అననావు.
उसके पास पहुँचो.	ఆమె దగగరకు వెళళు.
सोचा कि उसे इसतेमाल करता रहता हूँ,	దీనని వాడటం సులభంగా అనిపించింది,
वह कया था? सुराग.	ఏంటది? ఆ సంకేతం.
पर एक जरा सी चूक हुई नहीं कि फिर से मुसीबतों का पहाड टूट पडेगा.	కానీ పరయవేకషణలో కషణమాతరపు లోపం జరిగినా ముపపుల జలపాతం ముంచుకొసతుంది.
पता है, अमेरिकी फौज की कौन सी बात अचछी लगती है?	అమెరికా సెనయంలో నాకు నచచిన ఉతతమ విషయం ఏంటో తెలుసా?
जब मैं उलझन में पड गई, तब उसने मेरा अपमान किया.	నేను తికమకపడడానని చెపతే తనకి అమరయాదగా అనిపించింది.
अंदर चलो. वे तुमहें समझा देंगे.	లోపలికి రా. నీకు అననీ వివరిసతారు.
हाँ, शायद मेरे खुमार के चलते है. तुम उसे ठीक कर सकती हो. देखो.	అవును, నా తాగుడు పరభావం అనుకుంటా. దానని సంతులనం చేసుకోగలవు. ఇదిగో.
अपनी तरफ से तैयारी करके रखिए, कयोंकि मैं अब सिरफ मैं नहीं हूँ.	నువవు రోజులు లెకకబెటటుకోవాలసిందే, ఎందుకంటే నేను, నేను మాతరమే కాదు.
जितनों के साथ सेवा की, वे सब हूँ.	సెనయంలో నాతో పని చేసిన అందరినీ.
आप यहाँ सुरकषित महसूस करते हैं?	ఇకకడ మీకు సురకషితంగా అనిపిసతోందా?
मैं कोरबेल पिकेट को जानती हूँ.	నాకు ఈ చెతత కారబెల పికెట తెలుసు.
और आपने बात की?	నువవు మాటలాడావా?
तुम सोचो कि मुझे कया करना चाहिए,	నువవు పని చేసే ఓ వయూహం కనుకకో,
आप चाहें तो, इसे हल कर सकता हूँ.	దానని పరిషకరిసతా, మీకు నచచితే.
कनाडा की नागरिक.	కెనడా పౌరురాలు.
मैंने उनसे पूछा था, पर उनहोंने साफ मना कर दिया.	నేను వారిని అడిగాను, వాళళు జవాబుని దాటేశారు.
मानता हूँ. हाथ को कया हुआ है?	ఒపపుకుంటుననా. నీ చేతికి ఏమెంది?
उसे पहले कभी देखा तक नहीं था.	వాడిని అంతకు ముందెననడూ చూడలేదు.
जब रेनी ने खुद को उसी परिफरल में पाया, तो उसे गुससा आ गया.	ఈసారి కూడా రెయినీ ఇదే పెరిఫరలలోకి రావడంతో, ఆమెకు కోపం వచచింది.
तुम मुझे बहुत ही आकरषक लगती हो.	ననను ఎంతగానో ఆకటటుకుంటుననావు.
तुम एक समझदार आदमी हो, जैसपर.	నువవు తెలివెన యువకుడివి, జాసపర.
जो होना तय है उसे टाल रही हो.	అనివారయానని ఆలసయం చేసతుననావంతే.
अगली बार दूसरा नमूना भाडे पर लेना चाहती थी.	ఈసారి వచచినపపుడు మరో మోడలను అదదెకు తీసుకోమంది.
तुमहारे आने से बहुत पहले बनाया गया. पता है, वो कैसे चलते हैं?	నువవు చేరడానికి ముందే కటటారు. అవి ఎలా పని చేసతాయో తెలుసా?
या तुमहारे उस रूप के बारे में?	లేదా వారి లోకంలో నీ గురించి?
वापस सवागत है.	మరోసారి సవాగతం.
हाँ, मैं यहाँ काफी सुरकषित महसूस करता हूँ.	అవును, నాకు ఇకకడ చాలా సురకషితంగా అనిపిసతోంది.
बिना हडबडाए चलना. मैं उलटी तरफ से आता हूँ.	తొందరపడకుండా నడువు. నీకు ఎదురుగా నేను వసతాను.
बस भी करो, ऐश.	ఏంటీ చెతత, యాష.
कयोंकि यही सबसे अहम सवाल है.	నిజానికి అదే అతి ముఖయమెన పరశన.
मुझे लगता है कि वे ऐसे किसी काम में शामिल हैं	నా దృషటిలో వాళళు ఏదో విషయంలో చికకుకుననారు,
तुम हमेशा बच निकलते हो. मानो तुम पर यकीन नहीं किया जा सकता.	ఎపపుడూ తపపించుకు తిరుగాడుతుంటావు. నినను నమమలేని రీతిలో.
इनको नहीं पता कि इनहोंने किससे पंगा लिया.	వాళళు ఎవరితో పెటటుకుంటుననారో వాళళకు తెలియదు.
मैं तुमहें जीवन भर की गारंटी दूँगा, सीजे.	నేను మీకు జీవితకాలపు హామీని ఇసతుననాను, సీజే.
