हाँ.	సరే.
हमारे साथ 95वें नीचे उडान भरते हुए नेतृतव करेगा और 390वें ऊँचाई पर रहेगा.	దిగువన 95వ బృందం మనకి సారథయం వహిసతుంది, అలాగే ఎగువన 390వ బృందం ఉంటుంది.
जॉरज, चलो भी, कमबखत! वह मर चुका है!	జారజ, ఇంక పద, డామిట! అతను చనిపోయాడు!
मैंने अभी-अभी कहा कि चीथडे उड गए.	ఆ విమానం పేలిపోయిందని చెపపాను కదా.
यह तब तक खतम नहीं होगा जब तक हम उनहें गंभीर कषति नहीं पहुँचाएँगे.	కానీ, వాళలకి నషటం కలిగేలా మనం దాడి చేయకపోతే ఈ యుదధానికి అంతం ఉండదు.
जिस दिन से मैं 100वें में शामिल हुआ था, बक कलेवेन हमारे लीडर थे.	నేను 100వ గరూప లో చేరిన రోజు నుంచి, బక కలెవెన మా నాయకుడిగా ఉననాడు.
बाईं तरफ सारी बंदूकें तैयार रखो.	ఎడమ వెపు గనస అననీ సిదధంగా ఉంచండి.
तुम यह पहले से जानती हो, पर तुमहारा पति मेरा सबसे अचछा दोसत था.	నీకు ఇపపటికే ఈ విషయం తెలుసు, కానీ నీ భరత నాకు ఎపపటికీ బెసట ఫరెండ.
- कया हमें गोली लगी है? - हैरी!	- మన మీద దాడి జరిగిందా? - హయారీ!
अनुरकषक विमानों का ईंधन खतम हो गया है. वे वापस लौट रहे हैं.	ఎసకారట విమానాలలో ఇంధనం అయిపోయింది. అవి తిరిగి వెళలిపోతుననాయి.
हे भगवान, वह बलेकली का दल है.	దేవుడా, బలేకలీ సిబబంది వచచారు.
"ऑ-आर-गो"? उसका कया मतलब है?	"ఆవ ఆర గో"? దాని అరథం ఏంటి?
यह मेरा विमान है! तुम कूदो!	ఇది నా విమానం! నువవే దూకు!
उप-शीरषक अनुवादक: मून कलिता	తెలుగు అనువాదం: సతీశ కుమార
हमने कभी शहर के इतने करीब किसी लकषय पर हमला नहीं. . .	ఒక నగరానికి ఇంత దగగరగా మనం ఎపపుడూ దాడి చేయలేదు. . .
तुमने. . . तुमने. . . माफ करना, तुमने कया किया?	నువవు ఏంటి. . . నువవు. . . సారీ, నువవు ఏం చేశావు?
- पर तुमने चिटठी भेजी तो नहीं न? - नहीं, नहीं.	- కొంపదీసి ఆమెకి అది పంపలేదు, కదా? - లేదు, లేదు.
चलो इस विमान से निकलें!	ఈ విమానం నుండి బయటపడదాం!
तो, 230830, बरेडी. और 30725, वह करुकशैंक को दो.	230830, బరాడీ. 30725, దానని కరూకషాంక కి ఇవవు.
वे लीड में मौजूद करुकशैंक के पीछे जा रहे हैं.	లీడ లో ఉనన కరూకషాంక విమానం వెపు దూసుకొసతుననారు.
- मैंने तुमहें कभी बताया मुझे इन हमलों से नफरत है? - आज नहीं बताया.	- ఈ శతరువులని ఎంత దవేషిసతానో ఎపపుడెనా మీకు చెపపానా? - ఈ రోజు చెపపలేదు.
ए एडोलफ - भाड में जाओ तुमहारा दोसत बक कलेवेन	హేయ అడాలఫ - నీ అంతు చూసతా నీ మితరుడు బక కలెవెన
- वह हमारे विमानों में से एक है. - वह कौन है?	- అది మన విమానాలలో ఒకటి. - అది ఎవరి విమానం?
जैसे ही उनहें हमारी जगह लेने वाले मिल जाएँगे, वे हमें बदल देंगे.	వేరే మనుషులు దొరకగానే మమమలని తపపించి మా సథానాలని భరతీ చేయబోతుననారు.
मैं जीप में आ जाऊँगा.	నేను జీప లో అందుకుంటా.
सपेंस तुमहें नैविगेशन के फीलड आदेश दे देगा.	నావిగేషన ఫీలడ ఆదేశాలని నీకు సపెనస ఇసతాడు.
अचछी खबर यह है कि यह काफी छोटी उडान होगी. मुंसटर काफी पास है.	మంచి వారత ఏమిటంటే ఇది తకకువ దూరమే. ముంసటర మనకి చాలా దగగరగా ఉంది.
हाँ, और कल सोमवार है.	అవును, రేపు సోమవారం.
हे भगवान, चौथा इंजन तबाह हो गया! अब हमारे पास बस एक इंजन है.	దేవుడా, నాలుగో ఇంజన ఆగిపోయింది! మనకి ఒకక ఇంజన మాతరమే మిగిలింది.
भले ही वह इतना विनमर था कि उसने यह कभी खुद सवीकार नहीं किया.	అయినా కూడా అతను ఆ విషయానని ఒపపుకోవడానికి చాలా మొహమాటపడుతుంటాడు.
- चिडियाघर में सवागत है, कैपटन. - धनयवाद.	- మంకీ హౌస కి సవాగతం, కెపటెన. - థాంకయూ.
तुमहें पता है मेरा दल कहाँ उतर रहा है?	నా గరూప ఎకకడ లయాండ అవుతుందో మీకు తెలుసా?
मैंने उनहें देखा था.	నేను వాళలని చూశాను.
हम सभी को मेजर कलेवेन की कमी खलेगी, सर.	మనమంతా మేజర కలెవెన ని మిస అవుతాం, సర.
मैं तुमहें रहने के लिए अलग जगह दूँगा.	నీకు కొతత వసతిని నేను ఏరపాటు చేయిసతాను.
तो, हम डयूटी ऑफिसर से शुरुआत करेंगे.	అయితే, మనం డయూటీ ఆఫీసర తో మొదలుపెడదాం.
ठीक है. 057 डिगरी मोड रहा हूँ. ओवर.	విననాం. 057 డిగరీలకి మళలుతుననాం. ఓవర.
बॉमबसाइट नषट कर दो! उसे गोली मर दो!	బాంబ సెట ని ధవంసం చేయండి! షూట చేయండి!
चिंता मत करो, मैं उनसे बात कर लूँगा.	కంగారుపడకు. నేను ఆమెతో మాటలాడతాను.
कमबखत काफी जयादा.	చాలా ఎకకువ తాగాను.
कलैनटन मर चुका है.	కలాంటన చనిపోయాడు.
पेटरोस, चलो चलें!	పెటరోస, వెళదాం పద!
वेसटफालिया, जरमनी	వెసట ఫాలియా, జరమనీ
तुमहारे पहले तीन दिनों में तीन मिशन.	మా మొదటి మూడు రోజులలో మూడు మిషనలు.
हे भगवान, तुमने फोन कयों नहीं किया?	దేవుడా, నువవు ఎందుకు ఫోన చేయలేదు?
बक को हमेशा से उस जैकेट से नफरत थी.	ఆ జాకెట అంటే బక కి ఎపపుడూ చిరాకే.
- हमें जैकेट बदलनी होंगी. - कया?	- మనం జాకెటలు మారచుకోవాలి. - ఏంటి?
ठीक है, डटे रहो.	సరే, వేచి ఉండండి.
मैं नहीं जाऊँगा.	నేను ఆ పని చేయను.
- हैरी करॉसबी. . . - सीधा टककर.	- హయారీ కరోసబీ. . . - మన ఎదురుగా.
पायलट, नैविगेटर के लिए. ठीक है.	నావిగేటర కి పెలెట సందేశం. విననాం.
ठीक है, कौन पीएगा? मैं खरीद रहा हूँ. करैंक भी.	సరే, ఎవరు తాగుతారు? డబబు నేను ఇసతాను. కరాంక కూడా.
मौसम की रिपोरट.	వాతావరణ నివేదిక.
- मैं? - हाँ, वह खरीदेगा. चलो.	- నేనా? - అవును, తను కూడా. రండి.
हम तुमहें घर ले जाएँगे, लॉरेन.	నినను ఇంటికి పంపిసతుననాం, లోరెన.
नैविगेटर, पायलट के लिए, मेजर इगन तेजी से नीचे गिर रहे हैं.	పెలెట కి నావిగేటర సందేశం, మేజర ఈగన విమానం వేగంగా నేలకూలుతోంది.
किसी मैकेनिक ने छेद गिने थे.	ఒక మెకానిక వాటిని లెకకపెటటాడు.
टॉप टरेट, बॉमबारडियर के लिए.	బంబారడియర కి ఎగువ గననర సందేశం.
- माफ कीजिए, सर. मुझे बताया गया था कि आपका विमान. . . - उसे कुछ नहीं हुआ.	- సారీ, సర. మీ విమానం దెబబతిందని చెపపారు. . . - కానీ, అదేమీ జరగలేదు.
वैसे, मैं चाहूँगा कि जरमन बेशरत आतमसमरपण करें, पर इससे काम हो जाएगा.	కానీ, ఆ జరమనలు బేషరతుగా లొంగిపోవాలని కోరుకుంటాను, కానీ ఇలాగయినా ఫరవాలేదు.
दो इंजन धवसत हो चुके थे, पूरे ढांचे में छेद ही छेद थे.	రెండు ఇంజనలని షూట చేశారు, మా ఫయూసలేజ నిండా చిలలులు పడడాయి.
मैंने जीन को चिटठी लिखी थी.	తెలుసా, నేను జీన కి లేఖ రాశా.
मैं पहले तुमहारे पैर उठाऊँगा.	ముందు మీ కాళలు అందుకుంటాను.
वे मुझे फिर से जबरदसती नहीं भेज सकते. मैं नहीं जाऊँगा.	ననను మళలీ విమానంలోకి వాళలు పంపించలేరు. నేను చచచినా వెళలను.
आज हम जिन लोगों पर बम गिराने वाले हैं, उनमें से किसी ने बक को नहीं मारा.	ఈ రోజు మనం దాడి చేయబోయే వారిలో ఒకకరు కూడా బక విమానానని నేలకూలచలేదు.
यह कमबखत चमतकार था कि यह आदमी, एवरेट बलेकली, विमान को उतार भी सका.	ఆ విమానానని ఈ మనిషి, ఏవరెట బలేకలీ, నేల మీదకి దించగలగడం అనేది ఒక అదభుతం.
हद है, करैंक.	దేవుడా, కరాంక.
- मेरा पैर! - मैं आ रहा हूँ!	- నా కాలు! - నేను వసతుననా!
टेल 23237. सलाइटली डेंजरस.	టెయిల 23237. సలయిటలీ డేంజరస.
कि बस किसमत नहीं हो सकती.	కాబటటి వాటిని అదృషటం అంటాం.
हाँ, दिख रहा है. लगता है चौथा इंजन खराब हो गया है.	అవును, నిరధారిసతుననాం. దాని నాలుగో ఇంజన పాడెనటలు ఉంది.
बॉल टरेट, दल के लिए. जमीन से हमला, नीचे हलका दाईं तरफ.	కరూతో దిగువ గననర. శతరు విమానాలు, కుడి వెపు దిగువన.
हमारे लडके कहाँ हैं, चिक?	మన సెనికులు ఏమెపోయారు, చిక?
टेल 23229. पैसडीना नीना.	టెయిల 23229. పాసడీనా నీనా.
उनके उडान भरने के बाद, मैं कुछ नहीं कर सकता था.	విమానం గాలిలోకి ఎగిరాక, నేను చేయగలిగింది ఏమీ ఉండదు.
मैं आपको छोड आऊँ, मेजर?	మిమమలని దింపమంటారా, మేజర?
शांत रहो. धयान से सुनो.	నిశశబదంగా ఉండండి. వినండి.
हाँ, हम जितना हो सके, उतनी तेजी से जा रहे हैं.	అవును, మనం సాధయమెనంత వేగంగా విమానానని నడుపుతుననాం.
मुझे छुडाओ! मुझे छुडाओ!	ననను లాగండి! ననను లాగండి!
मुझे वे सुनाई दे रहे हैं.	నాకు శబదం వినిపిసతోంది.
बबलस, वह पिछले हफते मारा गया. वह मेरी गलती थी.	బబులస, కిందటి వారం అతను చనిపోయాడు. అది నా పొరపాటు.
हे भगवान, हमें लगा था कि तुम मारे गए.	దేవుడా, నువవు చనిపోయావు అనుకుననాం.
- बबलस. . . कैसे हो, दोसत? - कया यह सच में तुम हो, करॉज?	- బబులస. . . ఎలా ఉననావు, మితరమా? - నిజంగా నువవే చేశావా, కరోజ?
मैं सुनिशचित करना चाहता था कि सारे नैविगेटरों के पास जरूरत की सारी चीजें हों.	అంటే, నావిగేటరలు అందరికీ వాళలకి కావాలసినవి అందించేలా దగగరుండి చూసుకోవాలి అనుకుననాను.
हैरी, नहीं.	హయారీ, లేదు.
पहला इंजन बंद हो गया है.	మొదటి ఇంజన ఆగిపోయింది.
सीधे सामने को 12: 00 कहते हैं. तो, पीछे का मतलब है. . .	సరిగగా నెతతి మీద ఉంటే పననెండు గంటలు. మరి, మీ వెనుక ఉంటే. . .
इगन का कया?	ఈగన ఏమయయాడు?
पायलट, दल के लिए, कया किसी को 100वें के कोई और विमान दिख रहे हैं?	సిబబందికి పెలట సందేశం, 100వ గరూపులో మిగతా విమానాలు ఏమెనా కనిపిసతుననాయా?
तट तक पहुँचने से पहले, हमारे और 95वें के बीच की	తీరం చేరుకునే వరకూ మనకీ, 95వ విమానానికీ మధయ
शायद उनहोंने अपना फैसला ले लिया.	బహుశా వాళలు నిరణయం తీసుకుని ఉంటారు.
कलरक को बताइए कि आपको कया चाहिए.	మీకు ఏవేం కావాలో గుమాసతాకి చెపపండి.
शायद किसी को गिनती नहीं आती है. विमान से कोई नहीं कूदा था.	వాళలు సరిగగా లెకకపెటటలేదనుకుంటా. మాలో ఎవరూ చనిపోలేదు.
वह बस सुनिशचित कर रहा है कि तुम मेरा विमान उडवा न दो.	నా విమానానని నువవు నేలకూలచకుండా చూసుకోవాలి అనుకుని ఉంటాడు.
मौसम साफ हो जाना चाहिए.	అంతా కలియర అయిపోవచచు.
तुमहें कोई मदद चाहिए?	మీకు ఏమెనా సాయం కావాలా?
. . . एटथ एयर फोरस का सबसे महान नैविगेटर, वह रहा वहाँ, देवियों.	. . . ఎయిత ఎయిర ఫోరస లో చాలా గొపప నావిగేటర, అదిగో అకకడ ఉననాడు, లేడీస.
मुझे पैराशूट नहीं दिखे.	నాకు ఏమీ కనిపించలేదు.
समझ गया, विमान 087. एमबुलेंस भेज रहा हूँ.	విననాము, విమానం 087. అంబులెనస ని పంపిసతుననాం.
- मैंने यह पहले कभी नहीं सुना. कभी नहीं. - सच में?	- ఇంతకుముందు ఎపపుడూ నేను అది వినలేదు. ఎపపుడూ. - నిజంగా?
हद है. कोई बात नहीं.	దేవుడా. మరేం ఫరవాలేదు.
हम ठीक उस समय हमला करेंगे जब सब परारथना करके निकल रहे होंगे.	అందరూ పరారథనలు ముగించుకుని బయటకి వచచే సమయంలో మనం దాడి చేయబోతుననాం.
यह युदध है.	ఇది యుదధం.
"जी, सर. "	"సరే, సర. "
"शीज गॉना"	"షీస గోననా"
वह इंतजार.	ఎదురుచూడటం.
हैमबोन काफी घायल है.	హాంబోన బాగా గాయపడడాడు.
बॉमबारडियर, पायलट के लिए. अभी?	పెలట కి బంబారడియర సందేశం. ఇపపుడా?
मैं 100वें का सीओ बोल रहा हूँ.	నేను 100వ గరూప కమాండింగ ఆఫీసర ని.
ठीक है. बिलकुल यहीं, बिलकुल यहीं.	సరే. సరిగగా ఇకకడ, సరిగగా ఇకకడ.
वैसे, तुमने आयुध विभाग को बम लोड का विवरण पहुँचा दिया?	సరే, బాంబ లోడ వివరాలని ఆరడినెనస వాళలకి పంపించారా?
यह सही नहीं है. आज रविवार है.	ఇది సరెనది కాదు. ఈ రోజు ఆదివారం.
हद है, बरेडी, मैं तुमहारा वरिषठ अधिकारी हूँ. अब कूदो!	డామిట, బరాడీ, నేను సీనియర ఆఫీసర ని. వెంటనే దూకు!
ए, तुमने मेरा लॉकर भेज तो नहीं दिया न?	హేయ, నా లాకర ని ఇపపటికే తరలించేశారా, ఏంటి?
हम अभी-अभी दो दिनों में दो मिशन पर गए.	మనం రెండు రోజులలో రెండు మిషనలు నిరవహించాం.
टेल 23534. ओलड डैड.	టెయిల 23534. ఓలడ డాడ.
- मेजर? - कलिफट! कया हमारे पास 230758 है?	- మేజర? - కలిఫట! మన దగగర 230758 ఉందా?
सटेबलाइजर पूरी तरह तबाह हो चुका था. हम पहिए उतार न सके.	సటెబిలెజర పూరతిగా తునాతునకలయిపోయింది. చకరాలు కిందికి దిగలేదు.
मैंने सब संभाल लिया है. उनके पास सारी जरूरी जानकारी है.	ఆ ఏరపాటలు అననీ పూరతయయాయి. వాళలకి కావాలసినవననీ సిదధంగా ఉననాయి.
मुझे एक डरिंक चाहिए.	నేను డరింక తాగాలి.
और करैंक?	మరి కరాంక?
टेल 23433. लियोना.	టెయిల 23433. లియోనా.
पयारी जीन,	డియర జీన,
पयारी जीन,	డియర జీన,
हमें अभी यहाँ से निकलना होगा. चलो चलें!	మనం ఇకకడ నుండి బయటపడాలి. వెళదాం పద!
वह एचिनसन के दल के साथ है.	అందులో అచినసన సిబబంది ఉననారు.
अभी जाता हूँ, मेजर.	వెళతుననాను, మేజర.
वह हमारा नहीं है.	అది మన విమానం కాదు.
तुम बेहद बुरे दिख रहे हो.	నువవు నీరసంగా కనిపిసతుననావు.
चलो चलें! हमें तुरंत यहाँ से निकलना होगा!	వెళదాం పదండి! మనం వెంటనే ఇకకడి నుండి బయటపడాలి!
पता चला तुमहारे विमान से चार पैराशूट निकलते देखे गए थे.	మీ విమానం నుండి నాలుగు పారాచూటలు చూశామని చెపపారు.
- ठीक है, बबस. - एक तुमहारे लिए?	- ఫరవాలేదు, బబస. - నీకు కూడా కావాలా?
ए, वह इगन है. वह इतनी जलदी कैसे लौट आया?	హేయ, తను ఈగన. ఇంత తొందరగా వచచి ఏం చేసతుననాడు?
चलो. मुझे अपनी जैकेट दो.	ఇలా రా. నీ జాకెట నాకు ఇవవు.
लडाकू विमान, सीधे सामने. कमबखत कई सौ की तादाद में होंगे.	ఫెటర విమానాలు, మన పెనే ఉననాయి. ఆ చెతతవెధవలు వందల సంఖయలో ఉండచచు.
अरे, धत!	ఓహ, చెతత!
बाकी सभी कहाँ हैं?	అందరూ ఏమెపోయారు?
पीछे हलका बाईं तरफ, ऊँचाई पर और भी कमीने हैं.	ఎకకువమంది వెధవలు ఎడమ వెపు దిగువన ఉననారు.
नहीं, सर. कोई पैराशूट नहीं दिखा.	లేదు, సర. పారాచూటలు ఏమీ కనిపించలేదు.
हम एक मिशन पर मुंसटर गए थे.	ముంసటర కి మిషన వెళలింది.
कया उनहें सकवाडरनों को बारी-बारी से नहीं भेजना चाहिए?	వాళలు సకవాడరనలని మారచి మారచి వినియోగించాలి కదా?
लगता है वे विमान से कूदने की तैयारी कर रहे हैं.	వాళలు విమానానని విడిచిపెటటడానికి సిదధమవుతుననటలుననారు.
वहाँ नीचे कया हो रहा है? हमें बम गिराने हैं.	కింద ఏం జరుగుతోంది? మనం బాంబులు వదలాలి.
कैपटन, इसे एस-2 के पास ले जाइए.	కెపటెన, మీరు ఎస-2 విమానం తీసుకోండి.
शायद मैं अपने पद से हटा दिया जाऊँगा. कारटर भी.	తొలగించే వారి జాబితాలో నేను కూడా ఉననాను. కారటర కూడా.
हम लकषय तक पहुँच सकते हैं.	మనం లకషయానని చేరుకోగలం.
विमान छोडने का अलारम बजाओ!	నిషకరమణ బెల ని నొకకండి!
- मदद करो! मदद करो, मेरा हारनेस फँस गया है! - हैमबोन!	- సాయం చేయండి! సాయం చేయండి, నా పటటీ ఇరుకకుపోయింది! - హాంబోన!
यह अचछा विचार है.	అది మంచి ఐడియా.
कलैनटन. . . उसका चेहरा उड गया.	కలాంటన. . . అతని ముఖం కాలిపోయింది.
मुझे गोली लगी है!	నేను గాయపడడాను!
हमें हैरी को नीचे उतारना होगा.	మనం హయారీని కిందికి తీసుకువెళలాలి.
डटे रहो, लडकों.	ఆగండి, మితరులారా.
लीड पायलट, नैविगेटर के लिए, इसे एक और यांतरिकी खराबी के रूप में नोट करोगे?	నావిగేటర కి లీడ పెలెట సందేశం, ఇది మరొక మెకానికల లోపంగా లాగ బుక లో నమోదు చేయి, సరేనా?
आरएएफ बेस में फोन ही नहीं था.	ఆర. ఎ. ఎఫ. సథావరంలో టెలిఫోన లేదు.
लीड पायलट, टेल के लिए, तुमहें दिख रहा है कि फलैनगन के विमान को कया हुआ है?	వెనుక భాగానికి లీడ పెలెట సందేశం, ఫలానగన విమానానికి ఏమెందో చూశారా?
ऑकसीजन का कया? तुम वहाँ पीछे ठीक हो?	ఆకసిజన సంగతి ఏంటి? అకకడ నీకు బాగానే ఉందా?
जमीन से हमला, दाईं तरफ. बिलकुल पीछे.	శతరు విమానాలు, పూరతిగా కుడి వెపు. దిగువన.
ठीक है. करुकशैंक उनकी जगह ले रहा है.	విననాం. కరూకషాంక లీడ సథానంలోకి వసతుననాడు.
हमारी तरफ रॉकेट आ रहे हैं. बाईं तरफ.	రాకెటలు దూసుకొసతుననాయి. కుడి వెపు ఒరగాలి.
टेल. हमने एक और खो दिया! नीचे उडान भरने वाला आखिरी विमान!	వెనుక భాగం. మనం ఇంకో విమానానని కోలపోయాం! దిగువ విమానాలలో చివరిది!
और बेशक, मैं नहीं चाहता कि मेरी माँ उनकी गिनती करें, हँ?	వాటిని మా అమమ లెకకపెటటకుండా నేను చూసుకోవాలి, కదా?
तुमहें अपनी जीप मिलेगी. यह इस पद के फायदों में से एक है.	మీకు సొంతంగా ఒక జీప ఉంటుంది. ఈ పదవికి ఇది నజరానా.
जी, सर.	సరే. సర.
समझ गया.	విననాం.
ठीक है.	విననాను.
अमरीकी!	అమెరికన!
अमरीकी?	అమెరికన?
इतने कंडोम हैं कि मैं गिन भी नहीं सकता.	నేను లెకకపెటటలేననని కండోమస ఉననాయి.
हम सोचते थे कि वह अजेय हैं.	అతడు ఓడిపోవడం అసాధయం అనుకుననాం.
जाकर सो कयों नहीं जाते?	వెళలి పడుకోవచచు కదా?
टेल 230087. शैक रैट.	టెయిల 230087. షాక రయాట.
टेल 230823. इनवेडिंग मेडेन. वह वॉलटस का दल है.	టెయిల 230823. ఇనవేడింగ మెయిడెన విమానం. వాలటస సిబబంది.
- ए, ए. 100वें के नाम! - 100वें के नाम!	- హేయ, హేయ. 100వ గరూప కోసం! - 100వ గరూప కోసం!
थॉमपसन का दल.	థాంపసన సిబబంది.
फलैनगन विनयास से बाहर जा रहा है.	ఫలానగన మన ఫారమేషన నుండి తపపుకుంటోంది.
यही मिशन है, लडकों:	అదే మన మిషన, అబబాయిలూ:
मैं उनहें सीधे तुमहारे सामने ले आऊँगा.	ఆ రెండు విమానాలనీ నీ ముందుకి వచచేలా చేసతాను.
बबलस पेन. नैविगेटर.	బబులస పెయిన. నావిగేటర.
मुझे पैराशूट दिख रहे हैं!	నాకు పారాచూటలు కనిపిసతుననాయి!
वे हम पर दोबारा हमला करने आ रहे हैं.	వాళళు మళళీ మన మీదికి వసతుననారు.
मैं विमान को जयादा देर सथिर नहीं रख पाऊँगा!	విమానానని ఎకకువ సేపు సథిరంగా ఉంచలేను!
अगर तुमहें कुछ और चाहिए, तो टरिप को बताना. ठीक है?	ఇంకా ఏమెనా కావాలంటే, టరిప ని అడగచచు. సరేనా?
हे भगवान. एक और मिशन.	దేవుడా. మరొక మిషన.
ठीक है, बंदूकें देखो.	సరే, గనస చెక చేయి.
बम गिरा दिए!	బాంబుల విడుదల!
बॉमबारडियर, पायलट के लिए. हाँ.	పెలెట కి బంబారడియర సందేశం. విననాను.
- और दो आ रहे हैं. - सामने, हलका दाईं तरफ.	- ఇంకో రెండు విమానాలొసతుననాయి. - కుడి వెపు ఎగువన.
वह नए लडकों में से एक है. रोजेनथॉल.	కొతత కురరాళలలో ఒకడు, రోసెనథాల.
रॉनलड?	రొనాలడ?
यह युदध. . .	ఇది యుదధం. . .
नहीं, सर. वह अब भी अरदली अधिकारी के कमरे में है.	లేదు, సర. అది ఇపపటికీ వసతి గృహంలోనే ఉంది.
हमारे पास लॉग लिखने का समय नहीं था.	లాగ పుసతకాలలో రాసుకునేంత సమయం లేకపోయింది.
विया और यैविच असपताल में हैं.	వీయా ఇంకా యెవిచ హాసపిటల లో ఉననారు.
उनहें मार गिराओ, लडकों.	వాళల అంతు చూడండి, కురరాళలూ.
तो, इसे लेकर हमने तीन विमान खोए या चार? मैं गिनती भूल गया. ओवर.	అయితే, మనం కోలపోయిన విమానాలు మూడా లేక నాలుగా? నాకు లెకక తెలియడం లేదు. ఓవర.
पर यह उडेगा. कम से कम उतनी दूर तो उडेगा.	కానీ ఇది బాగానే ఎగురుతుంది. కనీసం ఆ మాతరం దూరం.
पायलट, नैविगेटर के लिए, लॉग में नोट करो:	నావిగేటర కి పెలట సందేశం, లాగ పుసతకంలో ఇది రాయి:
शाबाश. मेजर इगन कमांड पायलट होंगे और बरेडी के फोरट में उडान भरेंगे.	మంచిది. బరాడీ విమానంలో మేజర ఈగన కమాండింగ పెలెట గా ఉంటాడు.
कम से कम वे हमें खाडी पार करवा गए.	కనీసం ఛానెల వరకూ అవి వెంట వచచాయి సంతోషం.
इसे दफनाना चाहिए.	అతడిని సమాధి చేయాలి.
- जाओ! - तुम जाओ!	- పద! - నువవు వెళలు!
