माघरा!	మాగరా!
यह सच है, कोफुन.	అదే నిజం, కొఫూన.
नव युवक.	కురరాడా.
ठीक है.	సరేమరి.
नहीं.	లేదు.
ओह, हाँ.	అవునుగా.
मैं सेना को आगे बढा रहा हूँ. मैं तुमहें पीछे नहीं छोड सकता.	నేను సెనయానని కదిలిసతుననాను. నినను ఒంటరిగా వదిలేసి వెళళలేను.
आप उस पुल के ऊपर से जञानोदय सभा में जा सकते हैं.	ఆ వంతెన గుండా మీరు జఞానోదయ నివాసానికి చేరుకోవచచు.
नौकरों को, कयोंकि तुमहें उनकी गंध पसंद नहीं थी.	తమ శరీర వాసన నచచలేదని పనివారిని చంపావని విననాను.
एक पिता अपने बचचों की सुरकषा के लिए यही करता है.	తన పిలలలని కాపాడుకోవటానికి ఒక తండరి చేసేది అదే.
जब तक तुमहारी फिरौती का भुगतान नहीं हो जाता,	నినను విడిపించడానికి అవసరమెన డబబులు అందేవరకూ,
एक बात सपषट कर दूँ, वे पुरुष कायर होते हैं.	సపషటంగా చెపపాలంటే, అలాంటి వాళళు పిరికిపందలు.
मुझे लगता है, एक लंबे समय में पहली बार. . .	నా ఉదదేశంలో, చాలా కాలం తరవాత తొలిసారిగా. . .
एक ही आदमी को यह करना चाहिए, एक-एक कर के.	ఒకకొకకొడి పని పడుతూ, ఆ పనిని ఒకకడే చేయాలి.
कया जञानोदय सभा में एक मरहम लगाने वाला है?	ఆ జఞానోదయ నివాసంలో ఎవరెనా వెదయులు ఉననారా?
हाँ, महारानी जी. मेरे साथ चार आदमी हैं.	అవును, మహారాణి. నా కరింద నలుగురు ఉననారు.
वह अनिशचित भविषय का सामना कर रही है. . .	తన ముందు ఒక అగమయగోచర భవిషయతతు ఉంది. . .
पहरेदारों ने किस तरह के जूते पहने हैं?	కాపలాదారులు ఎలాంటి బూటలు ధరించి ఉననారు?
वह उसे दूसरे कबीले में ले जा सकते हैं.	ఆమెని అతను వేరే తెగ వదదకి తీసుకెళళగలడు.
उनहें उनके नेता के सामने ले जाया गया.	ఆవిడని వాళళ నాయకుడి వదదకు తీసుకెళళారు.
वह मेरी माँ है. तुमहें पता है, है न?	తను నా తలలి. ఆ విషయం నీకు తెలుసు కదా?
तुमने युवा युवतियों की जुबान काट दी	తగినంత తవరగా నినను మెపపించలేకపోయారని
मैं बहुत छोटी थी जब मेरी माँ की मृतयु हुई, लेकिन तब भी मैं यह जानती थी.	మా అమమ నేను చాలా చిననగా ఉననపపుడే చనిపోయింది, అయినా కానీ నాకది తెలుసు.
जिस दिन तुम पैदा हुए थे, मैं तुमहारी रकषा के लिए एक दीवार बन कर खडा था,	మీరు జనమించిన రోజున, మిమమలని కాపాడటానికి ఒక గోడ మీద నిలచొని పోరాడాను,
-कया तुमहें मेरी बात समझ आई? -हाँ.	-నేను చెపపింది అరథమెందా? -అరథమెంది.
रानी का अपहरण कोई कैसे कर सकता है?	మహారాణిని ఎవరెనా ఎలా అపహరించగలరు?
तो तुम सिरफ आराम कयों नहीं करती?	అందుకని కాసత శాంతంగా ఉండవచచు కదా?
जब आपका काम महतवपूरण होता है और आपको आगंतुक नहीं चाहिए होते हैं.	ఇంకా నీకు ఇతరుల జోకయం వదదు అని అనుకుననపపుడు ఇలాంటిదే జరుగుతుందేమో.
अगर तुमने कोई संकेत नहीं दिया तो?	ఒకవేళ మీరు ఏ సంకేతానని ఇవవకుంటే?
इस तथय को अलग रखो कि उसने अपने बचचे को गाली खाने के लिए छोड दिया	తన కొడుకుని వదిలేసి అతడిని ఒక నరరూప రాకషసుడిగా మారచిన విషయానని
रानी बनने पर यह सब होता ही है.	సింహాసనం అననాక శతరువులు ఉంటారు.
तुम सब कुछ जला कर राखन कर देना	అపపుడు ఈ చోటినంతా తగలబెటటేయండి,
केवल कुछ चीजें हैं जिनहें हमें पहले हल करने की आवशयकता है.	కానీ అంతకుముందు కొనని విషయాలను మనం మాటలాడి పరిషకరించుకోవాలి.
कृपया जानो, हालांकि मैंने उन कहानियों को मनोरंजक पाया. . .	దయచేసి తెలుసుకో, నాకు ఆ కథలననీ బాగా వినోదానని అందించినా. . .
-हनिवा, नहीं! -मारना बंद करो!	-హనీవా, వదదు! -శరసంధానం ఆపండి!
मुझे लगता है कि इसीलिए वह कभी भी खुद उसे दूर नहीं कर सके	అందుకే ఆమెకి అననింటికననా ఎకకువ నచచిన విషయానికి వచచినపపుడు,
मैं बता नहीं सकता मुझे राहत मिली है या मैं उममीद कर रहा था हमें यह कभी नहीं मिलेगा.	ఇది చూసి ఆనందపడాలో లేక ఇది అసలు కనబడదు అని ఆశించినందుకు బాధపడాలో అరథంకావడం లేదు.
तुमने खुद को गरवित किया है.	నినను చూసి నువవే గరవపడాలి.
परवेश करो, और दिख जाओगे. "	పరవేశించారంటే, చూడబడతారు. "
अब हम आ रहे हैं, हम दोनों.	మేము వసతుననాం, ఇదదరమూ కూడా.
और तुम इस नई दुनिया का निरमाण देखने वालों और दृषटिहीन दोनों के लिए बना रहे हो.	మీరు ఈ కొతత పరపంచానని, చూపునన వారికీ, అలాగే చూపులేనివారికి కూడా నిరమించాలి.
परवेश करो, और दिख जाओगे.	పరవేశించారంటే, చూడబడతారు.
पिताजी, आप मेरे पिता हैं.	నాననా, నువవే నా తండరివి.
कम से कम हम जानते हैं हम सही रासते पर जा रहे हैं.	కనీసం మనం సరెన దిశలోనే వెళతుననామనెనా తెలిసింది.
मेरा इसे जानना आवशयक है.	నేను తెలుసుకొని తీరాలి.
हम पीछे नहीं हट रहे हैं.	మనం వెనకకి వెళళడం లేదు.
तुम दोनों, धयान से सुनो.	ఇదదరూ, జాగరతతగా వినండి.
यह विशेष रूप से करूर महसूस होता था कि हर बार मेरी बहन पास थी. . .	మా అకక నా దగగర ఉనన పరతీసారి నాకేదో ఒకరమెన గగురపాటు భావన కలిగేది. . .
और तुमहारी तरह, मुझे यकीन है कि वह जान जाएगी कि वह अकेली नहीं है.	ఇంకా నువవు చేసినటలుగానే, తను కూడా ఒంటరి కాదని తనకి తెలిసేలా చేసతాను.
अनगिनत परतिदवंदविता, शिकायतें और परतिशोध.	లెకకలేననని వెరాలు, వేదనలు మరియు పరతీకారాలు.
लेकिन वह उस अंधेरे की चपेट में नहीं आया है.	కానీ అదే దుషట పరభావానికి అతను లోనుకాలేదు.
पैरिस, मुझे नहीं पता.	పయారిస, నాకు తెలీదు.
मैं उसके साथ रहूँगी.	నేను అతనితోనే ఉంటాను.
उसका जनमसिदध अधिकार.	తన జననహకకు విషయంలో.
तुमहें कया लगता है हम किस ओर जा रहे हैं?	మనం ఎకకడికి వెళతుననామని అనుకుంటుననావు?
कया खबर है, महारानी?	ఏ సమాచారం, మహారాణీ?
मैं और तुम उनसे अलग दुनिया में रहते हैं.	మనిదదరి పరపంచం వేరు, అతని పరపంచం వేరు.
हाँ, उसने बताया था.	అవును, తనే చెపపింది.
यह उस पल ही सपषट हो गया था जब उसे तुमहारे पास लाया गया था.	అతడిని నీ ముందుకు తెచచినపపుడే నాకా విషయం తెలిసిపోయింది.
तुम कया कह रही हो? हम उसे यहाँ नहीं छोड रहे हैं, हनिवा.	నువవేం మాటలాడుతుననావు? మనం తనని ఇకకడ వదిలి వెళళలేం, హనీవా.
वह पागल हो गया है.	అతనికి మతి తపపింది.
मुझे पता है कि आपकी बहन किसके पास है.	నీ సోదరి ఎవరి దగగరుందో నాకు తెలుసు.
मुझे खेद है कि तुमहारे साथ ऐसा हुआ.	మీకు జరిగినదానికి నేను చింతిసతుననాను.
मेरे बचचों, मैं सब की तरह अंधा हूँ.	పిలలలారా, అందరిలాగా నేను గుడడివాడినే.
मैं तुमहें देखना कभी बंद नहीं करूँगा.	అంతేగాక మీ ఇదదరినీ చూడటం నేను ఆపను.
विशवास करने से डर लगता था कि मैं बच गया और यह सच था.	నేను నిజంగా తపపించుకుననానని, అది నిజమేనని నమమాలంటే భయం.
घंटी बजती है तो हमें कैसे पता चलेगा कि तुम भागने की कोशिश नहीं कर रही हो?	గంట మరోగితేనే కదా, నువవు పారిపోవడానికి పరయతనిసతుననావని మాకు తెలిసేది?
हाँ, मैम, बिलकुल.	బాగా తెలుసు, మేడమ.
वह करोध और मैं कितना विनाशकारी था?	ఎంత కరోధంతో, ఎంత పరళయభీకరంగా ఉననానో?
मैं यह कभी नहीं मानना चाहता था, लेकिन पैरिस सही है.	దీనని అసలు నమమాలని నాకు లేదు, కానీ పయారిస అననది నిజమే.
और वह देख सकता है.	అతనికి చూపు ఉంది.
शासन करने के लिए सिंहासन पर केन न हुआ, तो वे फिर से वापस आ जाएँगे.	సింహాసనం మీద కేన వంశసథులు లేకపోతే, మరలా ఆ పరిసథితులే పునరావృతతమవుతాయి.
वे मेरा जीवन हैं.	వాళళే నా జీవితం.
अपनी बहन को देखो.	నీ సోదరిని చూడు.
हमेशा, छोटी बहन.	ఎపపటికీ, చెలలెలా.
