यह बहुत डरावना है.	ఇది భయంకరంగా ఉంది.
मुझे लगा तुमने कहा था तुम समझोगे.	నువవు అరథం చేసుకుంటాను అననావు కదా.
"चाँद" का दरअसल मतलब है, "पास में चककर काटता हुआ छोटा गोला. "	"చందమామ" అంటే "దగగరలో ఉంటూ కకషయలో తిరిగే చినని ఖగోళం" అని అరథం.
मुझे खुशी है हमने दवि-छाया दिवस सबके लिए बरबाद नहीं कर दिया.	మనం డబుల షాడో డేని పాడు చేసి అందరినీ నిరాశపరచకపోవడం మంచిదెంది.
ये ढेर सारे सहनशील लोग वाहवाही करते हुए खुशी से चिलला रहे हैं.	ఈ భారీ, ఓరపు కలిగిన గుంపులో జనం కేరింతలు కొడుతూ అరుసతుననారు.
-जैसे ऊपर से तारों की रोशनी -जैसे ऊपर से तारों की रोशनी	-పె నుండి పడే తారల వెలుగులాగ -పె నుండి పడే తారల వెలుగులాగ
-वह पयार है -हम पर गिरता है	-అది పరేమే -మన పె పడుతుంది
पर इसके कारण जो मेरी आँखों में जलन होती है, उसकी नहीं.	కానీ దీని వలల నా కళళు మండే విషయానని మాతరం మిస అవవను.
अचछा, माफ कीजिए. उनहोंने मुझसे कहा था कि शायद ऐसा हो.	సరే, కషమించండి. ఇలా జరుగుతుందని నాకు ముందే చెపపారు.
तो, मुझे दाखिला मिल गया.	సరే, నాకు సీటు వచచింది!
मुझे तुमहारे साथ समय बिताना बहुत अचछा लगता है.	మనం కలిసి గడిపిన సమయానని నేను చాలా ఎంజాయ చేశాను.
-वह काम किया? -पता नहीं.	-ఇది పని చేసిందా? -ఏమో.
यह अचछा विचार नहीं है पर हमारे पास केवल यही विचार है. कोशिश करके देखें?	అది మంచి ఐడియా కాదు, కానీ మనకు వచచిన ఒకే ఒకక ఐడియా అదే. పరయతనిదదామా?
हाथ से निकलते समय के साथ आपकी कया परतिकरिया है?	సమయం గడిచిపోతుండడంతో మీరు ఏమని అనుకుంటుననారు?
वे बेचैन होने लगे हैं.	కసటమరలు వెళలిపోతుననారు.
मुझे वह सच में पसंद है.	నాకు వారు చాలా నచచారు.
है तो. पर यह जानना कि हम खतम हो सकते हैं, इसके आकरषण का हिससा है.	నిజమే. కానీ ఏ కషణమెనా చచచిపోతాం అనన భయమే దీనిని ఆసకతికరంగా చేసతుంది.
यह तो बहुत अचछा हुआ. तो तुमहें कब जाना होगा?	అది చాలా గొపప విషయం. నువవు ఎపపుడు వెళళాలి?
हम लगातार बदल रहे हैं	మనం ఆగకుండా మారుతుంటాం
नहीं. माफ करना. देखो.	కాదు. సారి. ఇకకడ చూడు.
छोटे-छोटे कण जो इस सब को समझने के लिए अपनी पूरी कोशिश कर रहे हैं.	కణాలలాంటి మనం ఇకకడి నుండి దానిని అరథం చేసుకోవడానికి చూసతుననాం.
जानता हूँ. तुम सही कह रहे हो. पयार बहुत पेचीदा चीज है, है ना?	నాకు తెలుసు. నువవు అననది నిజమే. పరేమ చాలా కలిషటమెన వయవహారం, కదా?
तुमहें कया लगता है वह अभी कया कर रही होगी?	వారు ఇపపుడు ఏం చేసతుంటారు అనుకుంటుననావు?
यह गडढे से निकलती हुई खतरनाक धुँध केयरफुल नाओ की तरफ आ रही है.	కొండ చీలికల నుండి వచచే ఈ పొగ ఇపపుడు కేరఫుల నవ వెపు వసతోంది.
इस रहसयमयी गुलाबी धुएँ की तरह ही हवा में निराशा छाई हुई है.	ఈ అంతుచికకని పింక పొగ వలల అందరూ నిరాశకు గురి అవుతుననారు.
हमें बात करनी होगी.	మనం మాటలాడుకోవాలి.
कया कहीं आग लगी है?	ఏదెనా తగలబడుతుందా?
और सायों की तरह ही	అలాగే వాటి నీడ లాగే
हमारी खास कडी जो हमेशा मौजूद रहती है	మన మధయ ఉండే సపెషల బంధం ఎపపటికీ ఉంటుంది
तो हम अपनी अगली एलबम के कवर के लिए अपने बैंड की एक शानदार फोटो लेने आए हैं.	కాబటటి మేము మా తరవాతి ఆలబమ కవర కి అందమెన ఫోటో దిగడానికి ఇకకడికి వచచాము.
-अँ-हँ. और सीधा? -चलो. और ऊँचा करो.	-ఆహ-హాహ. ఇంకా పెకా? -అంతే. ఇంకా పెకి.
मुझे शायद अब रेसतोरां जाना चाहिए.	నేను ఇక రెసటారెంట కి వెళితే మంచిది.
और कया हम आशवसत हैं कि तुमने रेसतोरां में जो संरचनातमक बदलाव किए हैं,	అలాగే ఈ మధయన నువవు నిరమాణానికి బలానని ఇవవడానికి చేసిన మరమతతుల వలల
-हम हमेशा अपना पयार बाँटेंगे -हमेशा अपने पयार के कारण जुडे रहेंगे	-మనం నిరంతరం మన పరేమను పంచుకుంటాం -పరేమ దవారా ఎపపటికీ కనెకట అయి ఉంటాం
-हम हमेशा अपना पयार बाँटेंगे -हमेशा अपने पयार के कारण जुडे रहेंगे	-మనం నిరంతరం మన పరేమను పంచుకుంటాం -పరేమ దవారా ఎపపటికీ కనెకట అయి ఉంటాం
साफ है, वह भी तुमहें पसंद करती है.	అంటే, వారికి కూడా నువవంటే ఇషటమే.
एक दूसरे से ऐसे जुडे हैं जैसे कोई ताकतवर गलॉमरॉक हो	ఒక బలమెన అయసకాంతంలాగ ఒకరికి ఒకరం కనెకట అయి ఉంటాం
बेहतर होगा वहाँ नीचे कुछ न करो.	నేనెతే కింద ఎలాంటి ఏరపాటలు చేయను.
सुनो, सब लोगों, यहाँ दवि छाया तमाशा हो रहा है.	హేయ, అందరూ వినండి, ఇకకడ డబుల షాడో డరామా మొదలెంది.
जैली वाले जानवरों को पिघला लें	ఆ గమమీ బేరలను కరిగించడానికి వాడి
पहले चरण, तुम शुरू कर सकते हो.	మొదటి అంకం, మీరు పని మొదలెటటండి.
मैं जा रही हूँ.	నేను వెళతుననాను.
ताकि हमारे गराहकों को किसी तरह की निराशा न हो.	కలుగకుండా వారి దృషటి మళలించే పనిమీద ఉంటాను.
मैंने कर लिया!	నేను సాధించాను!
-बेकार सुझाव. इससे कुछ नहीं होगा. -समय कम है.	-ఐడియా బాలేదు. పనికిరాదు. -మనకు సమయం లేదు.
कहीं उसे शिकषासंसथा में कोई नया पराणी मिल गया	వారు ఆ కాలేజీలో తన పిలలి దగగర తుమములు రాని
-यह कया हो रहा है? -चलो, यहाँ से चलते हैं.	-భలే నిరాశ ఎదురెంది. -ఇకకడి నుండి వెళళిపోదాం.
अह-ओह. धयान से!	ఆహ-ఓహ. చూసుకో!
शुरू से ही, पराणियों को सितारों को देखना बहुत अचछा लगता था.	పరారంభం నుండి, మనుషులకు నకషతరాలను చూడడం అంటే చాలా ఇషటం.
संरचनातमक इंजीनियर आज एक आखिरी बार निरीकषण कर रहा है,	మా నిరమాణ ఇంజినీర ఇవాళ మా రెసటారెంట కూలిపోకుండా ఉండటానికి
दवि-छाया दिवस!	డబుల షాడో డే!
वहाँ पूरे ऑरब की सबसे परतिषठित हॉसपिटैलिटी शिकषा है.	పరపంచంలోనే హాసపిటాలిటీ విదయకు పేరుగాంచిన అతిగొపప కాలేజీ.
दवि-छाया दिवस.	డబుల షాడో డే.
मेरी सलाह? जाकर ऑरब में घूमो और नए अनुभव परापत करो.	సలహా ఇవవనా? వెళలి పరపంచానని చుటటి కొతత అనుభవాలను పొందు.
तुमहारे पास कुछ और चीजें देखने का समय है?	మరినని చూడడానికి నీకు ఇంకాసత టెమ ఉందా?
मैं तुम दोनों को बातें करने देता हूँ और खुद उधर जाकर कुछ न सुनने का ढोंग करता हूँ.	నేను అకకడికి వెళలి మీ ఇదదరూ మాటలాడుకోవడానికి సథలం ఇచచి ఏమీ విననటటు నటిసతాను.
वह मेरे सबसे अचछे फैसलों में से एक था.	నేను తీసుకునన ఉతతమమెన నిరణయాలలో అది ఒకటి.
तुम परशिकषण परापत कर रहे नए मैनेजर को देख रही हो.	మీరు ఇపపుడు టరెనింగ లో ఉనన కొతత మేనేజర ని చూసతుననారు.
मैं बस. . . मैं उसके शिकषासंसथा में न जाने का कारण नहीं बनना चाहता	నేను. . . వారు కాలేజీకి వెళలకుండా ఆగడానికి నేను కారణం కాలేను,
कया कर लिया?	ఏం సాధించావు?
-ऐसा करना ठीक नहीं होगा. -कई कारणों से.	-నేనెతే అలా చేయను. -చాలా కారణాల వలల.
कया वह आज है?	అది ఇవాళేనా?
मैं कई परिकरमाओं से गडढे में जाने का जयादा सुरकषित रासता ढूँढ रहा हूँ.	నేను ఎననో ఏళలుగా ఈ సందులలోకి రావడానికి ఒక సురకషితమెన మారగానని వెతుకుతుననాను.
तीसरे चरण का समय आ गया.	మూడవ అంకానికి టెమ అయింది.
और यह सब आज होगा कयोंकि आज है. . .	అదంతా ఇవాళే జరగడానికి కారణం నేడు. . .
दूसरा चरण. मैं लोगों का धयान बँटाऊँगा	రెండవ అంకం. నేను మన అతిథులకు నిరాశ
पर मैं चाहता हूँ वह रहे. मुझे पहले कभी कोई पराणी इतना अचछा नहीं लगा.	కానీ నాకు వారు ఇకకడే ఉండాలని ఉంది. నేను ఇంతగా ముందెపపుడూ ఎవరినీ ఇషటపడలేదు.
तुमहें लगता है इस सबके कोई मायने हैं?	అసలు దీని అంతటికీ ఏమెనా అరథం ఉందా?
जिजञासा और गुससा इस गरह पर जहाँ चारों तरफ है खतरा	ఆసకతి అలాగే ఆగరహం పరమాదంతో నిండి ఉనన పరపంచంలో
और मुझे अपने नए रोमांटिक दोसत को बताने में डर लग रहा है.	కానీ ఆ విషయం నా కొతత బాయ ఫరెండ కి చెపపడానికి నాకు భయంగా ఉంది.
मेरी पूरी जिंदगी मैं दुनिया भर में घूमा हूँ.	అంటే, నేను నా జీవితమంతా పరయాణాలు చేసతూనే ఉననాను.
मेरे शानदार,	నా తెలివెన,
और सीधा यहाँ हमारे नजारे के सामने आ रहा है.	అలాగే నేరుగా పెకి వచచి ఏమీ చూడలేకుండా చేసతోంది.
पराणी रात के अंधेरे में चमकने वाली हर रोशनी का नकशा बना लेते थे.	రాతరి ఆకాశంలో వెలిగే పరతీ నకషతరానని కలిపి మనుషులు ఆకారాలను సృషటించారు.
चाहे पास आते समय या दूर जाते हुए	దగగరకు వసతుననా లేక దూరంగా వెళుతుననా
मुझे बिलकुल नहीं पता.	నాకు ఆ విషయం ఏం తెలీదు.
मनमौजी दोसतों के नाम.	అంతుచికకని ఫరెండస కోసం.
-वह पयार है -वह पयार है	-అది పరేమే -అది పరేమే
पर मुझे तुमहारी जयादा याद आएगी.	నేను నినను ఇంకా ఎకకువ మిస అవుతాను.
अह-ओह. एक पटाखा पहले से ही जुडा हुआ होगा.	అయయో. ఒక టపాకాయకు అది ముందే కనెకట అయి ఉందేమో.
बैकअप जेनरेटर के साथ मुझे उस छेद के पास मिलो.	బయాకప జనరేటర తో ఆ చీలిక దగగర ననను కలవండి.
अगर तुम चाहोगी तो तुमहें तुमहारी नौकरी कभी भी मिल जाएगी.	నీకు కావాలంటే నీ ఉదయోగం ఇకకడ ఎపపుడూ రెడీగా ఉంటుంది.
तुम ऐसे पलों की सूची बनाते हो?	నువవు ఈ విషయాలను గురతుంచుకుంటావా?
-वह पयार है जो हमें करीब रखता है -वह पयार है	-పరేమే మనలని దగగరగా ఉంచుతుంది -అది పరేమే
-फलिप फलॉपर. -कया वह बंद हुआ?	-మన పయాన కేకులు. -మనం పూరించామా?
हमारे सितारे के आसपास 15 चककरों के दौरान एक बार,	మా నకషతరం చుటటూ పదిహేను సారలు చకకరలు కొటటిన పరతీసారి,
बस एक ही कदम नीचे है.	ఇకకడ ఒక మెటటు ఉంది.
कितना निराशाजनक होगा.	నీకు అననిటికీ భయమే.
मैं अपने भाई से दूर रहता था और मुझे उसकी बहुत याद आती थी.	నేను నా తోబుటటువుకు చాలా దూరంగా ఉండడంతో వారిని ఎంతో మిస అయయాను.
शायद. . . अगर हम. . .	బహుశా. . . మనం. . .
जरूर, कह नहीं सकता.	సరే, అది కూడా చూదదాం.
पर मैंने यह पढ लिया कि वह कहाँ से आया है.	కానీ అది ఎకకడి నుండి వచచిందో చదివాను.
वे इस रिमोट कंटरोल से जुडे हुए होंगे.	అవననీ ఈ రిమోట కంటరోల కి కనెకట అయి ఉంటాయి.
मुझे लगता बात कहीं से कहीं चली गई है.	నువవు అసలు విషయానని గురతించలేదు అనుకుంటా.
एक सितारे की परिकरमा कर रहा है	ఒక నకషతరం చుటటూ తిరుగుతోంది
बिलकुल है.	ఖచచితంగా.
जिससे अब लगातार यह धुँध निकल रही है.	అకకడి నుండే ఈ పొగ ఆగకుండా బయటకు వసతోంది.
जिंदगी ऐसी ही है. कभी-कभी तुमहें मुशकिल चीजें करना पडती हैं.	జీవితం అంటేనే అంత. కొననిసారలు కషటమెన పనులు చేయక తపపదు.
दो आशावादी नई चीजें और मुझे दोनों ही चाहिए.	రెండు మంచి విషయాలు జరిగాయి, నాకు ఆ రెండూ కావాలి.
जैसे कि सुदूर ऊपर वे चाँद इस धुँधले दिन में	ఈ నీడ కమమిన రోజున చందమామలు ఉననటటు ఆకాశంలో ఎతతుగా
-हैलो. मुझे तुमहारा संदेश मिला. -हैलो.	-హాయ. నాకు నీ మెసేజ అందింది. -హాయ.
-यह कया बोल रही है? -बहुत अजीब था.	-వారు ఏం మాటలాడుతుననారు? -వింతగా ఉంది.
हम अभी मेरे फैसले के बारे में ही बात कर रहे थे.	మేము నా పెదద నిరణయం గురించి మాటలాడుకుననాం.
कुछ थोडे अजीब लग सकते हैं	కొనని విషయాలు వింతగా ఉండొచచు
मैं ताजा कॉफी पेय बनाता हूँ.	నేను వెంటనే కాఫీ కాసతాను.
मैं अब यह सब नहीं सहूँगी.	నేను ఇక ఇదంతా సహించేది లేదు.
मुझे भी तुम अचछी लगती हो.	నాకు కూడా నువవు చాలా నచచావు.
तो, तुमने कोई निरणय लिया?	అయితే నీ నిరణయం తీసుకుననావా?
और यह संबंध पयार पर तैरता है	ఈ బంధం నిలిచేది పరేమ మీదే
मुझे भी तुमहारी याद आएगी.	నేను కూడా నినను మిస అవుతాను.
वे अंदर घुस रहे हैं. मुझे दिख रहा है.	అవి వెళతుననాయి. నాకు కనిపిసతుంది.
जैली वाले जानवर, हँ? तुम सही थीं. अभी भी कुछ मेरे मुँह के पतथरों में चिपके हुए हैं.	గమమీ బేరలు, ఆహ? నువవు అననది నిజమే. నా పళలలో ఒకటి ఇంకా అలాగే ఇరుకకుని ఉంది.
जबकि रॉरब, राइट यानि दायाँ ऑरब, इसके चककर ऐसे काटता है.	అయితే రోరబ, అంటే కుడివెపు ఉండేది ఇలా తిరుగుతుంది.
केयरफुल नाओ का नाम इतिहास में बीइंगसबरग के सबसे बडे जशन के दौरान	బీయింగస బరగ లోని అతిపెదద వేడుక జరిగే సందరభంలో వందల మందిని
हमें एक-दूसरे से संबंध जोडने का यह खूबसूरत अवसर मिलता है.	మనం ఒకరితో ఒకరం కనెకట కావడానికి మనకు ఒక అందమెన అవకాశం దొరికింది.
और तुमहें नौकरी पर रखना मेरे अचछे फैसलों में से था. साथ ही यह भी.	అలాగే నినను పనిలో పెటటుకోవడం కూడా నా ఉతతమమెన నిరణయాలలో ఒకటి. దీనితో పాటు.
हाँ, लग तो रहा है.	అవును, అనుకుంటా.
मेरा बुलावा आ गया.	ఇక నేను వెళళాలి.
वह पहाड की दरार में से फलिप फलॉपर खा रहे हैं?	వారు చీలికలో ఉనన పయాన కేకులు తింటుననారా?
-यह बहुत चिंतादायक है. -तुम हमेशा चिंता करते रहते हो.	-ఇది చాలా దారుణం. -నువవు అననిటికీ భయపడుతుంటావు.
-तुमहें दाखिला मिल गया. बधाई हो! -आभार.	-నీకు సీటు వచచింది. అభినందనలు! -చాలా సంతోషం.
फिर मैं उसके पास रहने के लिए यहाँ आ गया	అందుకే వారికి దగగరగా ఉండడం కోసం ఇకకడికి వచచా
तुम जानते हो हम यह कर सकते हैं.	ఈ పనిని మనం చేయగలం అని మీకు తెలుసు.
जो इततफाक से हमारे अपने बीइंगसबरग से होकर गुजरता है.	అది మన ఊరు అయిన బీయింగస బరగ గుండానే వెళుతుంది.
-बढिया काम किया, दोसत. -तुमहारे बिना नहीं कर सकता था.	-భలే పని చేశావు, మితరమా. -నువవు లేకుంటే ఇది సాధయమయయేది కాదు.
हाँ. हमें जो पठार मिला, वहाँ से मैंने पुषटि की कि अब केयरफुल नाओ में	అవును. పీఠభూమిని కనుగొనన తరవాత కేరఫుల నవ ఇంతకు ముందు కంటే ఇపపుడు ఎకకువ మందిని
मुझे नया मॉडल खरीदना चाहिए था.	నేను కొతత మోడల ని కొని ఉండాలసింది.
-वहाँ कैसा लग रहा है? -उससे हमें कुछ समय मिल गया है.	-ఇంతకీ అకకడ పరిసథితి ఎలా ఉంది? -మనకు కొంచెం సమయం దొరికింది.
तुम लोगों को जो भी करना है, जलदी करो.	మీరు ఏం చేసినా ఆ పనిని తవరగా చేసతే మంచిది.
हम जीवन को मायने देने के तरीके ढूँढ लेते हैं	జీవితానికి అరథానని ఇవవడానికి మారగాలను వెతుకుతుంటాం
मैंने अभी तक हाँ नहीं कहा है.	నేను ఇంకా వారి ఆఫర అంగీకరించలేదు.
माफी चाहती हूँ. वह हमेशा से मेरा सपना था.	కషమించు. అది నాకు ఎపపటి నుండో ఒక కల.
-यह हो कया रहा है? -तुम हमेशा उलझे रहते हो.	-అసలు ఏం జరుగుతోంది? -నువవు అననిటికీ తికమకపడతావు.
पर कभी-कभी बाकी करमचारियों को खिझाता भी है.	కాకపోతే మిగతా సటాఫ కి చిరాకు తెపపించే విషయం కూడా.
लेफट यानि बायाँ ऑरब या छोटा करके कहें तो "लॉरब, " हमारे गरह के ऐसे चककर काटता है.	ఎడమ చందమామ, అంటే కలుపతంగా "లారబ" అనేది మా పరపంచం చుటటూ ఇలా తిరుగుతుంది.
थोडा सा.	కొంచెం.
तो मैं बता देती हूँ. मैंने तुमसे पहले ही कहा था.	నేను చెపతాను. నేను ఇది మీకు ముందే చెపపాను.
यह हर-15-परिकरमाओं-में-एक-बार होने वाली घटना है.	ఇది పదిహేను సంవతసరాలకు ఒకసారి జరిగే విషయం.
हजारों पराणियों को निराश करने के लिए नहीं आ सकता.	నిరాశకు గురిచేసిన పరదేశంగా కేరఫుల నవ చరితరలోకి ఎకకకూడదు.
धयान से!	చూసుకో!
हाँ. निकलते रहो.	అంతే. వెళళండి.
मैं मिलने आ सकता हूँ?	నేను వచచి నినను కలవవచచా?
-इससे हो जाना चाहिए. -इससे काम हो रहा है.	-ఇది ఖచచితంగా పనిచేసి తీరాలి. -ఇది పనిచేసతోంది.
वाह, आज तो हम काफी वयसत हैं. जाइए.	వావ, ఇవాళ భలే బిజీగా ఉననాం. ఇక వెళళండి.
दूसरा चरण. शुरू करो.	రెండవ అంకం. మొదలెటటండి.
-फलिप फलॉपरों, अपना काम करो! -और.	-పయాన కేకులలారా, మీ పని చేయండి! -ఇంకా.
-यह मिटने वाला नहीं है. -दिलचसप जगह बनवाया है.	-శాశవతంగా ఉంటుంది. -భలే గొపప పరదేశంలో వేయించుకుననారు.
-चियरस. -चियरस.	-చీరస. -చీరస.
हम गराहकों के सामने बहस नहीं कर सकते.	మనం కసటమరల ముందు వాదించుకోకూడదు.
और इसी के साथ तुमहारे निजी जीवन में अनपेकषित रूप से	మన వయకతిగత జీవితంలో కూడా ఊహించని పరిణామాలు చోటుచేసుకుంటాయని
पराणी बहुत खुश हैं.	అందరూ సంతోషంగా ఉననారు.
आतिशबाजी की रोशनी का मजा देने का इंतजाम कर रहा हूँ.	నేను కొనని టపాకాయల కారయకరమానని సెట చేసతుననా.
मेरे दिमाग में पहली चीज यही आई.	నా మనసుకు వచచిన మొటటమొదటి ఐడియా అదే.
गराहकों को धुआँ नजर आने लगा है.	కసటమరలు ఆ పొగను గమనించడం మొదలెటటారు.
किसी को पेशेवर तरककी मिल गई है.	ఇకకడ ఒకరికి ఉదయోగంలో పరొమోషన ఇచచాను.
अरे, हाँ. मैंने उस शिकषासंसथा में आवेदन दिया था पर मुझे नहीं लगता मुझे दाखिला मिला होगा. मैं बस. . .	ఓహ, అవును. నేను వాళళ పరోగరామ కి అపలె చేశా, కానీ నాకు సీటు వచచి ఉంటుందనుకోను. నేను. . .
अगर तुम जूम इन करो, तो शहर में	మీరు గనుక జూమ చేసతే, డబుల షాడో డేని
पर एक अचछी खबर यह है, यहाँ नेरे साथ हैं ऑरब के परसिदध संगीतकार,	కానీ మంచి విషయం ఏంటంటే, నేను పరపంచ పరసిదధ రాక గాయకులు,
-यह रहे तुम दोनों. -अभिवादन.	-మీరు ఇకకడ ఉననారా. -హలో.
-हम परवाह करते हैं -आराम वरग की तरह दिल को सुकून देता है	-మనం పటటించుకుంటాం -తలగడలా మనసుకు హాయిని ఇసతుంది
कोकोसलैब दवीप जाने वाली फलाइट 334 पर जाने वाले सभी पराणियों के लिए आखिरी कॉल.	ఫలెట 334లో కోకోసలాబ దీవికి వెళలే కసటమరలకు బోరడింగ కొరకు చివరి కాల.
तो, तुमहें याद है मैंने कोकोसलैब दवीप की शिकषासंसथा में आवेदन करने का जिकर किया था?	సరే, నేను కోకోసలాబ దీవిలో ఒక కాలేజీకి అపలె చేశాను అని చెపపాను గురతుందా?
और अब आगे चीजें और अजीब होती जाएँगी	ఈ జీవితం ఇకపె మరింత వింతగా మారుతుంది అంతే
