नहीं.	లేదు.
बरेमेन गए 18 विमानों में से जिंदा वापस लौटने वाले वह इकलौते पायलट थे.	పరాణాలు దకకించుకుని బరెమన నుండి తిరిగొచచిన ఏకెక పెలెట అతనే అని విననాను.
समझ गया. 253 पर मुड रहा हूँ. ओवर.	విననాను. 253 దిశగా వెళతుననాం. ఓవర.
तुम फिर से मिशन पर जाना चाहते हो?	మీకు మరినని మిషనలు చేపటటాలని ఉందా?
जनरल डूलिटिल ने हवाई रणनीति को पूरी तरह से बदलने के आदेश दिए हैं.	వెమానిక యుదధ వయూహాలను సమూలంగా మారచివేయాలని జనరల డూలిటిల ఆదేశించారు.
पकका ऊपर सथिति काफी खतरनाक होगी.	అకకడ విధవంసం బాగానే జరుగుతుండచచు.
उसने अपना करतवय पूरा कर लिया था.	అతను తన విధిని తాను నిరవరతించాడు.
- गलेमनिटज को बुलाओ! - अंदर जाओ!	- గలెమనిటజ ని వెతుకు! - లోనికి!
हम पापियों के लिए परारथना करें, अभी और हमारी मौत के इस पल में.	మాలాంటి పాపుల కోసం పరారథించండి, ఇపపుడు ఇంకా మేము మరణించే సమయంలో.
मुझे यहाँ एक मेडिक चाहिए, अभी!	ఒక వెదయసహాయకుడు కావాలి, వెంటనే!
तो फिर, शायद तुमहें अचछी संभावनाओं वाली योजना बनानी चाहिए.	అయితే, నువవు ఎకకువ అవకాశాలు ఉండే పలాన ని సిదధం చేయడం మంచిది.
पहले कभी कुछ ऐसा नहीं हुआ था.	ఇలాంటిది గతంలో ఎపపుడూ జరగలేదు.
विमान सीधा ऊपर गया, ऊपर विनयास में मौजूद विमानों की तरफ.	భారీ సంఖయలో వచచిన శతరు విమానాల వెపు నేరుగా దూసుకువెళలింది.
कया तुम धयान नहीं दे रहे हो?	నువవు సరిగగా గమనించడం లేదా?
- तुमहें लगता है कि 100वां उनके साथ है? - जरूर होगा.	- ఆ దాడి చేసతుననది 100వ గరూప అంటావా? - అదే అయి ఉండచచు.
उप-शीरषक अनुवादक: मून कलिता	తెలుగు అనువాదం: సతీశ కుమార
यह अंदाजा लगाने के लिए किसी गणितजञ की जरूरत नहीं थी	ఒకటి అంచనా వేయడానికి మనం గణిత శాసతరజఞులే కానవసరం లేదు
उनहोंने हैरी को गोली मारी!	వాళలు హయారీని షూట చేశారు!
जयादातरों से जयादा समय जिंदा रहने की उममीद नहीं थी.	మాలో చాలామంది ఎకకువ కాలం ఇకకడ ఉండే పరిసథితి లేదు.
काश मैं साफ मौसम में पायलटों को परशिकषण दे पाता.	పెలెటలకి టరెనింగ ఇచచే అవకాశం వసతే ఎందుకు కాదంటాను.
नॉरथ कंपाउंड में अंगरेजों ने तीन सुरंगें बनाईं.	ఉతతరం వెపు ఆవరణలో బరిటీషరలు మూడు సొరంగాలు తవవారు.
- जलदी! - मेरे साथ चलो.	- తవరగా! - నాతో పాటు రా.
समझ गया. विमान मेरा हुआ.	కాపీ. ఇక ఇది నా విమానం.
बस इसे शांत करना होगा.	ముందు అతడిని ఊరడించాలి.
पूरे मिशन के दौरान मसटैंगस के मारगरकषण के साथ,	మొతతం మిషన కోసం మసటాంగ విమానాలు వెంటరావడంతో,
एक अचछी खबर है, लडकों.	కొంత సమాచారం, కురరాళలూ.
इटली में, मोंटे कसीनो में बरिटिश सेना को एक बार फिर खदेड दिया गया,	ఇటలీలో, బరిటీష సేనల దాడిని మాంటే కాసినోలో మరోసారి తిపపికొటటారు,
दूसरे लोगों को चिटठियाँ मिलती हैं. तुमहें चिटठियाँ मिलती हैं.	మిగతా వాళలందరికీ ఉతతరాలు వసతుననాయి. నీకు కూడా ఉతతరాలు వసతుననాయి.
कबजे वाले यूरोप से जिंदा लौटता है, तो उसे और मिशनों में जाने की अनुमति नहीं मिलती है.	అందులోని సిబబంది ఆకరమిత యూరప ని దాటి వసతే, వారిని ఇక నుండి వేరే మిషనలకి పంపించరు.
हमें एक डॉकटर चाहिए!	మనకి ఒక డాకటర కావాలి!
हम जरूर निकलेंगे. और तुमहारे इस रूप को जानना दिलचसप अनुभव होगा.	మనం బయటపడతాం. కానీ నీ కొతత వయకతితవం తపపనిసరిగా తెలుసుకోవాలి.
मैं घर नहीं जा सकता.	నేను ఇంటికి వెళలలేను.
कया तुम आलू छोडकर कुछ और खाना नहीं चाहते?	ఆలుగడడలు కాకుండా ఇంకేమెనా తినాలని ఉందా?
मेरी माँ ने भेजी है.	ఇది మా అమమ రాసింది.
वरिषठ ऑफिसर आए हैं.	మన అధికారి వచచాడు.
तुमने कर दिखाया, रोजी. हमने कर दिखाया.	నువవు సాధించావు, రోసీ. మనం సాధించాం.
यहाँ सटालग लुफट III में केवल अमरीकी हैं, मेजर सिमोलेट.	మూడో సటాలగ లుఫత లో అమెరికనలు మాతరమే ఉననారు, మేజర సిమొలెట.
जरमन लडाकू विमानों से चौकनना रहना. उनहें पता है कि हम कहाँ जा रहे हैं.	జరమన ఫెటర విమానాల మీద దృషటి పెటటండి. మనం ఎటువెపు వెళతుననామో వాళలకి తెలుసు.
आपके अचछे बरताव की सराहना की जाएगी.	మీ సత పరవరతనని మేము చాలా అభినందిసతాం.
फिर कोई रुकावट आई?	ఇంకా ఎదురుచూడాలా?
बॉमबारडियर, पायलट के लिए. तैयार हूँ.	పెలెట కి బంబారడియర సందేశం. విననాం.
वैसे, तुमहारा भी समय आएगा, करॉज.	కానీ, నీకు కూడా టెమ వసతుంది, కరోజ.
शोएनस और हेलमिक.	షోనస ఇంకా హెలమిక.
तो, अब तुमहें कया लगता है कि कया संभावनाएँ हैं?	అయితే, ఇపపుడు మనం తపపించుకునే అవకాశాలు ఎలా ఉననాయి?
इतनी दूर पूरव में दिन में छापा?	ఈ తూరపు పరాంతంలో పగటి పూట దాడులా?
मेजर शोएनस, तुमने बिलकुल सही कहा.	మేజర షోనస, మీరు సరిగగా చెపపారు.
तुम फलोरिडा भेजे जाने का अनुरोध करोगे? या टेकसास?	నువవు ఫలోరిడాని కోరుకుంటావా? టెకసాస అడుగుతావా?
- मैंने कहा, "ए, बैटी". . . - फिर शुरू हो गया.	- నేను చెపపాను, "హేయ, బెటటీ". . . - ఇదిగో తీసుకో.
- ए, तुमने हमारे सैनिक को चोट पहुँचाई? - वह अपने बलॉक से बाहर था.	- హేయ, మావాడిని గాయపరిచారా? - అతను తన బలాక దాటి బయటకి వచచాడు.
चिंता मत करो, हम वह बदल देंगे.	కంగారు లేదు, మేమ అలా మారచేసతాము.
छह मारच, 1944 को बलैक मंडे के नाम से जाना गया	మారచి ఆరవ తేదీ, 1944 బలాక మండేగా పేరు తెచచుకుంది
यह बढिया खबर है.	అది గొపప విషయం.
मैं थक गया हूँ.	నేను అలసిపోయాను.
जिस तरह तुम बेवकूफ मेहनत कर रहे हो, यह वरक कैंप जैसा दिख रहा है.	మీరు పడుతునన కషటం చూసతుంటే ఇది ఏదో పని శిబిరంలా కనిపిసతోంది.
बॉमबारडियर, पायलट के लिए. लडाकू विमान, सामने हलका बाईं तरफ.	పెలెట కి బంబారడియర సందేశం. ఎడమ వెపు ఎగువన ఫెటర విమానాలు ఉననాయి.
मैं यह जानकर रात को कैसे चैन से सो सकता हूँ कि मैं घर जा सकूँगा	మిషన మధయలో పె అధికారులు ఈ మిషనల సంఖయని పెంచారని తెలిసి కూడా
और वे दुशमन के इलाके के काफी अंदर. . . मेजर जनरल ओरड विंगेट के	మేజర జనరల ఓరడే వినగేట సాగిసతునన. . . షిండిట దండయాతరతో చేరి
हमें जरमन लुफटवॉफ को पूरी तरह से तबाह करना था.	మేము జరమన వెమానిక సేనని పూరతిగా దెబబతీయాలి.
वे चाहते हैं कि हम सभी वहाँ ऊपर मारे जाएँ और किसी को कोई परवाह नहीं है.	మనమంతా ఇకకడే చావాలని వాళలు కోరుకుంటుననారు, ఇంకా మన గురించి ఎవరూ పటటించుకోరు.
पकका माइनर और किनसेला तुरंत मारे गए होंगे.	మెనర ఇంకా కినసెలలా అకకడికకకడే మరణించి ఉంటారు.
हमारे लडाकू विमान हमारे लिए रासता बनाएँगे.	మన ఫెటర విమానాలు మనకి మారగం కలియర చేసతుననాయి.
हम किसका इंतजार कर रहे हैं?	మనం దేని కోసం ఎదురుచూసతుననాం?
पर उसने अपना 25वां मिशन पूरा कर लिया था.	కానీ అతను తన ఇరవె ఐదో మిషన ని పూరతి చేశాడు.
हमें लगा था कि रेगेनसबरग में	సారజెంటలు కవిన ఇంకా బెయిలీ
आराम से. चलो.	మెలలగా. ఇదిగో.
बीस मिनट बाद?	ఇరవె నిమిషాలా?
24 मारच, 1944	మారచి 24, 1944
समझ गया. पी-51 तेजी से आगे बढ रहे हैं.	విననాము. పి-51 విమానాలు వేగంగా వసతుననాయి.
सुरकषित उडान भरना, लडकों.	జాగరతతగా వెళలండి, కురరాళలూ.
विमान में घायल मौजूद हैं!	విమానంలో కషతగాతరులు ఉననారు!
तुम यह जानना चाहते हो कि मैं कहाँ थी?	నేను ఎకకడికి వెళలానో తెలుసుకోవాలని ఉందా?
- धत तेरी की. - यैंकीज ने डमाजिओ का सौदा कर दिया?	- డామిట. - నీ పని యాంకీస జటటు డిమాజియోని కొననటలయిందా?
सौवां बॉमब गरुप अपनी भूमिका निभाएगा.	100వ బాంబ గరూప తన వంతు పాతర పోషించింది.
यह बढिया है.	చాలా బాగుంది.
विमान बिलकुल ठीक है, सर.	ఈ విమానం ఏ వన గా ఉంది, సర.
उसने कया कहा?	ఆమె ఏం అంది?
गरिमामयी मैरी की जय हो.	దయామయి, మేరీ మాతకి వందనం.
जबकि मितर देशों की सेना एनजिओ के तटों पर ही फँसी हुई है.	కాగా మితరదేశాల సెనిక దళాలు ఆంజియో సముదరతీరంలో చికకుబడిపోయాయి.
कमीनों ने पैराशूट लेकर उतरने वाले हमारे सैनिकों पर हमला किया, एक-एक करके.	పారాచూటలతో దూకిన మన సెనికులని ఆ చెతతవెధవలు ఒకకొకకరిగా కాలచి చంపారు.
ईंट की बेगम.	డెమండ కవీన.
मैं. . . चिडी की अठठी.	నేను. . . కళావర ఎనిమిది.
तुमहारा मिशन ही इसे संभव बनाएगा.	మీ మిషన ఈ లకషయానని సుసాధయం చేసింది.
बरमा में जापानियों से लडना जारी रख रही हैं	బరమాలో జపనీస సెనయంతో యుదధానని కొనసాగిసతుననారు,
हमें तभी भाग जाना चाहिए था जब वे उन अंगरेजों का पीछा कर रहे थे.	వాళలు బరిటీష ఖెదీలని వేటాడే సమయంలోనే మనం తపపించుకునే పరయతనం చేసేయాలి.
हाँ. आपको और करनल को.	అవును. నువవు ఇంకా కలనల.
और चारा होंगे, बॉमबर.	బాంబరలని మనం ఎర వేయాలి.
पायलट, बॉमबारडियर के लिए. बम गिराने के लिए तैयार हो?	బంబారడియర కి పెలెట సందేశం. మీరు బాంబులు వేయడానికి సిదధమా?
सबसे जयादा घायलों को पराथमिकता दो.	బాగా గాయపడిన వారిని గురతించండి.
यहाँ से जिंदा और सलामत निकलने की संभावना. . .	ఇకకడి నుండి పరాణాలతో బయటపడే అవకాశాలు. . .
वह यहूदी नाम है, है न?	అది యూదుల పేరు, కదా?
ए, नौसिखिए!	హేయ, రూకీ!
मैं कैपटन रॉबरट रोजेनथॉल हूँ. मैं 418वें में पायलट हूँ.	నేను కెపటెన రాబరట రోసెనథాల. 418వ బృందంలో పెలెట ని.
वह कया था?	అదంతా ఏంటి?
लकी सटराइक	లకకీ సటరయిక
नहीं. तुमहारी तरह मैं भी इस जगह को बरदाशत नहीं कर सकता.	లేదు. నాకు కూడా నీలాగే ఈ పరదేశంలో ఉండటం ఇషటం లేదు.
आज आपका लकषय होगा. . .	ఈ రోజు మీ లకషయం. . .
मैंने सांडरा को फोन करने का फैसला लिया.	నేను శాండరాకి ఫోన చేయాలని నిరణయించుకుననాను.
यह टावर के करीब से गुजरने का आखिरी मौका है.	టవర మీదుగా వెళలడానికి ఇదే చివరి అవకాశం.
बरेमेन जाने से पहले मेरी आखिरी चिटठी में, मैंने उसे शादी का परसताव दिया था.	బరెమన దాడికి ముందు నేను చివరిగా ఉతతరం రాశాను. పెళలి గురించి అడిగాను.
कोई अचछी खबर नहीं है.	ఒకక మంచి వారత లేదు.
- पकका बरलिन पर हमला हो रहा है, है न? - एए हमलों से सटीक जगह का पता लगाना मुशकिल है.	- ఇది బెరలిన మీద దాడి కావచచు, కదా? - యాంటీ ఎయిర కరాఫట ఫెర ని కనుకకోవడం కషటం.
- हाँ. - इसे घुमाओ.	- దానని తిపపు. - సరే.
खैर, बधाई हो, रोजी.	సరే, అభినందనలు, రోసీ.
योजनाएँ बन रही हैं.	పలానలు తయారవుతుననాయి.
अरे, नहीं. तुम लोगों को इस बारे में कुछ पता है?	ఓహ, బాబు. దీని గురించి మీకు ఏమెనా తెలుసా, మితరులారా?
हाँ, खैर, राइख के सभी युदध कैदियों के कैंपों को	అవును, కానీ, బెరలిన లో పరసతుతం జరుగుతునన చరచల పరకారం
हाँ, और जब मैं बनाऊँगा, तो तुम मेरे साथ चलोगे?	సరే, నేను పథకం సిదధం చేశాక, నువవు నాతో పాటు వసతావా?
इकटठा करने की कोशिश करूँगा.	నేను ఏవేం సేకరించగలనో చూసతాను.
हमें एक और सटरेचर चाहिए! जलदी, जलदी!	మనకి ఇంకో సటరెచర కావాలి! కదలండి! కదలండి!
तुम नियम जानते हो.	మీకు డరిల తెలుసుకదా.
तीन? हे भगवान, कैसे?	మూడా? దేవుడా, ఎలా?
उनकी किसमत अचछी थी, कि एक नियम था कि अगर कोई दुरघटनागरसत सैनिक	వాళలు అదృషటవంతులు, మాకు ఒక నియమం ఉంది, అదేమిటంటే ఏదెనా విమానం నేలకూలి
जैसे-जैसे हमारे मिशन बढते गए और जयादा खतरनाक होते गए,	మా మిషనల సంఖయ పెరిగిపోయి అవి మరింత పరాణాంతకంగా మారిపోవడంతో,
मैं यह भी सोच रहा था कि शायद तुम मेरे बेसट मैन बनोगे.	నువవు నా తోడిపెళలికొడుకువి కావాలని కూడా నేను ఆలోచిసతుననాను.
वैसे, हमें 350वें के लिए एक नया कमांडिंग ऑफिसर चाहिए.	350వ బృందం కోసం మేము కొతత కమాండింగ ఆఫీసర ని నియమించుకోవచచు.
तीस सौ उनचासवें सकवाडरन का नया सीओ.	349వ సకవాడరన కి కొతత కమాండింగ ఆఫీసర ని.
पर उनहें हेडफोन नहीं मिला.	కానీ వాళలకి హెడ ఫోన దొరకలేదు.
न किसी आदेश की अवहेलना करने दें, न कोई. . .	మా ఆదేశాలని తిరసకరించవదదని, లేదా భవిషయతతులో. . .
कि रोजी और उसके दल के अपने 25वें मिशन से जिंदा वापस लौटने की	అదేమిటంటే రోసీ ఇంకా అతని సిబబంది తమ ఇరవె ఐదో మిషన ని పూరతి చేసుకుని
चिंडिट अभियान में शामिल हो गई हैं.	శతరువు సరిహదదుల లోపలికి జొరపడుతుననారు.
हमें कुछ मिला है!	మాకు ఏదో దొరికింది!
खैर, तुमहारा कया?	సరే, నీ సంగతి ఏంటి?
- काफी करीब से आवाज आई. - मदद करो!	- అది చాలా దగగరగా పేలింది. - కాపాడండి!
अंदर जाओ! अंदर जाओ!	లోపలికి! లోపలికి!
- तुमहें कुछ नहीं होगा. - उनसे कम से कम और तीन लाने को कहो.	- నువవు తవరగా కోలుకుంటావు. - ఇంకో మూడు తీసుకురమమని వాళలకి చెపపండి.
कमांडेंट वॉन लिंडाइनेर को उनके सभी करतवयों से मुकत कर दिया गया है.	కమాండర వాన లిండెనర ని అనని విధుల నుండి తపపించడం జరుగుతోంది.
चलते हुए बीमार होकर अपने सब अंगों के साथ मरोगे.	ఆ చెతత కంచె దగగరకి వెళలావని కాలచిపడేసతారు.
आ जाओ, किटी, किटी, किटी.	ఇదిగో, పిలలి, పిలలి, పిలలి.
नयूज का समय लगभग हो गया है.	వారతలు వచచే సమయం అయింది.
छह, सात.	ఆరు, ఏడు.
- कैसा महसूस कर रहे हो? - बस ठीक ही हूँ.	- నీకు ఇపపుడు ఎలా ఉంది? - నేను బాగానే ఉననాను.
बैठ जाओ.	కూరచోండి.
तुम लोग बंदूकों की चिंता करो, विमान की चिंता मैं करूँगा.	మీ కురరాళలు గనస సంగతి చూసుకోండి, విమానం సంగతి నేను చూసుకుంటాను.
समझ गया. मैं देख रहा हूँ कि पी-51 मदद करने जा रहे हैं.	విననాను. పి-51 సాయం చేయడానికి రావడం కనిపిసతోంది.
या किसी ने रोजी को देखा?	లేదా రోసీ విమానానని చూశారా?
"तुमहें उन सीलिंग को अपने पसंदीदा रंग में रंगना चाहिए,	"నువవు ఆ సీలింగ కి నీకు ఇషటమెన రంగులు వేయించుకో,
यह साफ हो गया था	ఒక విషయం సపషటమెంది
चिटठी मिलने के लिए, उसे भेजने वाला भी कोई चाहिए.	మనకి ఉతతరం రావాలంటే, అది రాయడానికి మనకి ఎవరెనా ఉండాలి.
वे केवल मेरे इस रूप को जानेंगे. मेरे पुराने रूप को नहीं.	వాళలకి ఇపపటి నేను మాతరమే పరిచయం అవుతాను. నా గతం వాళలకి తెలియదు.
फिर हमें बताया गया कि हम बरलिन पर हमला करने वाले हैं.	ఆ తరువాత మేము బెరలిన ని టారగెట చేయాలని చెపపారు.
और अगर किसी ने फलोरिडा जाने का हक अरजित किया है, तो वह तुम हो.	ఇంకా దేవుడా, ఫలోరిడా యాతరకి అరహత సాధించినది ఎవరెనా ఉననారంటే, అది మీరే.
मेरे करिगी मारकोनी, हँ?	నా చిటటి ఖెదీ మారకోనీ, హా?
ठीक है, लडकों. यहाँ आओ.	సరే, కురరాళలూ. తవరగా రండి.
हम करनल बैनेट की कमान में हैं, उनके साथ लकषय के लिए मुड रहे हैं. ओवर.	మనం కలనల బెననెట కమాండ లో ఉననాం, లకషయం వెపు ఆయనతో పాటు మలుపు తిరుగుతుననాం. ఓవర.
पुन: भरती के लिए आवेदन पतर	పునరనియామకానికి దరఖాసతు
आ जाओ, किटी, किटी, किटी, किटी.	ఇదిగో, పిలలి, పిలలి, పిలలి, పిలలి.
आराम से. आराम से.	మెలలగా. మెలలగా.
पर उनहें मार गिराने के लिए, हमें उनहें आसमान में आने के लिए मजबूर करना होगा.	కానీ ఆ విమానాలని ధవంసం చేయాలంటే ముందు వాటిని గాలిలోకి రపపించగలగాలి.
जिनहें हमने मृत सोचा था, उनकी वापसी की तुलना में और किसी से उतनी उममीद नहीं बढती थी.	మేము కోలపోయాము అనుకునన సెనికులు తిరిగి రావడం మాలో కొతత ఆశలు రేకెతతించింది.
कया कहते हो, तुम और मैं भागने की कोशिश करें?	నువవు, నేను, తపపించుకునే పరయతనం చేదదాం, ఏం అంటావు?
तुमसे दोबारा मिलकर बेहद खुशी हुई.	నినను మళలీ కలుసుకోవడం సంతోషం.
हताहत हुए कई लोगों में सारजेंट कविन और बेइली भी शामिल थे,	రేగనస బరగ మిషన లో పరాణాలు కోలపోయిన వారిలో ఉననారని మేము అనుకుననాం,
एसएस और गेसटापो के अधिकार कषेतरों में सथानांतरित करने के लिए बरलिन में चरचाएँ चल रही हैं.	లుఫత వాఫే పరిధి నుండి ఎస. ఎస. ఇంకా గెసటాపో పరిధిలోకి బదిలీ చేయాలని చూసతుననారు.
यहाँ आओ.	ఇలా రా.
अचछे दिख रहे हो, सजजनों.	బాగుననారు, జెంటిలమెన.
चिटठियाँ आई हैं!	ఉతతరాల పిలుపు!
चिटठियाँ आई हैं!	ఉతతరాల పిలుపు!
साव-धान!	అటెనషన!
नहीं, तुमसे. . .	లేదు, అదీ. . .
हाँ. हाँ, हाँ, यह बीबीसी है.	అవును. అవును, అవును, ఇది బిబిసి.
पर मुझे आपको यह बताते हुए खेद हो रहा है,	కానీ మీకు చెపపడానికి చింతిసతుననాను,
रेड करॉस को कैंप तक डाक पहुँचाने में परेशानी हो रही है.	ఉతతరాలని శిబిరంలోకి తీసుకురావడం రెడ కరాస వాళలకి సమసయగా ఉంటోంది.
खासतौर पर अरकनर बॉल बेअरिंग पलांट.	మరీ ముఖయంగా ఎరకనెర బాల బేరింగ కరమాగారం.
तुम अगली बार करीबी रिशते बना लोगे.	ఈసారి నువవు సరెన బంధాలని ఏరపరచుకుంటావు.
- मैं तुमहारे बारे में बोल रहा था. - हाँ. मैं भी काफी वयसत थी.	- నా ఉదదేశం, మీరు. - అవును. నేను కూడా బిజీగానే ఉననాను.
और जरमनों ने एनजिओ में नौ या दस टुकडियाँ भेजीं.	ఇంకా ఆంజియోకి జరమనలు తొమమిది, పది డివిజనలని పంపించారు.
पदोननत होकर ऑपरेशनस में जाने का यही नुकसान है.	ఆపరేషనస విభాగంలోకి పరమోషన వసతే అదే సమసయ.
जी, सर, मुझे पता है.	అవును, సర. నాకు తెలుసు.
