अरे, गैबरिएल.	ఓహ, గాబరియేల.
हम भी तुमहारा परिवार हैं. तुम, मैं और वे बचचे.	మేము కూడా నీ కుటుంబమే. నేను, నువవు ఇంకా మన పిలలలు.
-मुझे माफ कर दो. -आपने ऐसा कयों किया?	-ననను మననించు. -అలా ఎందుకు చేశావు?
गरेस के साथ दुरघटना घटी थी. देखो. . .	గరేస కి పరమాదం జరిగింది. చూడు. . .
कया तुम मेरे लिए कपडे लेकर आई हो?	నువవు నా కోసం ఏమెనా దుసతులు తెచచావా?
और तुम, उस समय के हीरो, जिसने उसकी जान बचाई.	నువవు, ఆ సమయానికి హీరోవి, అతని పరాణాలు కాపాడావు.
मेरे साथ अपना सैंडविच साझा करोगी?	నీ మెతతని శాండవిచ ని నాకు అందిసతావా?
मेरी जान के लिए सबसे बेहतरीन फूल.	నా మంచి పరేయసికి అననీ మంచివే దకకాలి.
तुमहें नेजल सपरे मिली?	ఆ నాసల సపరే తీసుకుననావా?
यह शानदार सुनाई पडता है.	ఇది వినడానికి బాగుంది.
माँ, डेविड का हाथ देखिए.	అమమా, డేవిడ చేయి చూడు.
बस ऐसी नाव के साथ. . .	ఇలాంటి పడవలో ఎందుకు. . .
कया वजह है?	ఏంటి సందరభం?
बेसमेंट में.	నేలమాళిగలో.
मैं फिसल गई थी और मेरा सिर टकरा गया. यह पूरी तरह से मेरी गलती है.	కానీ, నేను జారిపడడాను ఆపె తలకి తగిలించుకుననాను. ఇది పూరతిగా నా పొరపాటే.
मुझे जानना है कि कया हो रहा है. कया हो. . .	ఏం జరుగుతోందో నాకు తెలియాలి. ఏం జరుగుతోంది. . .
हे भगवान. मैं नहीं कह सकता कि मैं बीमार हूँ कयोंकि मैं बीमार नहीं हूँ.	దేవుడా. నేను అనారోగయంగా ఉననానని చెపపలేను ఎందుకంటే నేను అలా లేను.
मेरा मतलब, जनमदिन था.	అంటే, అది మరోలా జరగాలి.
दुनिया छोटी है, है न?	చినన పరపంచం, అవును కదా?
वह ठीक हो जाएगा. भगवान, वह तुमहें इतना तनाव देता है.	అతను బాగానే కోలుకుంటాడు. దేవుడా, అతను నినను పెటటే ఒతతిడి.
पर मैं बस बताना चाहती थी कि मैं तुमसे मिलने को बेताब हूँ,	కానీ నినను చూడాలని ఉందని మాతరం నీకు చెపపదలచుకుననాను,
सपरे ढूँढने के बाद साफ कर दोगी?	సపరే దొరికాక దానిని శుభరం చేయగలవా?
-मैंने आतमहतया करने की कोशिश नहीं की. -कृपया, जेपी.	-ననను నేను చంపుకోవాలని పరయతనించలేదు. -దయచేసి విను, జెపి.
मुझे अब भी समझ नहीं आ रहा कि तुमने मुझे कयों नहीं बताया, टॉम.	నానన విషయం నువవు ఎందుకు చెపపలేదో ఇపపటికీ నాకు అరథం కావడం లేదు, టామ.
बलकि उसने इस बारे में झूठ भी बोला और उसे भी झूठ बोलने को कहा.	దాని గురించి ఆమె అబదధం చెపపింది ఇంకా ఇతడిని అబదధం చెపపమని అడిగింది.
-तुमने देखा वह पानी में कैसे गिरा? -नहीं. पर शायद, वह अपनी नाव में था.	-అతను నీటిలో ఎలా పడడాడో చూశారా? -లేదు. కానీ అతను తన పడవ మీద ఉననాడు, అనుకుంటా.
बैका मोबाइल	బెకా మొబెల
कयों? तुमहें और मासूम परिवारों को परेशान करना है?	ఎందుకు? నువవు ఇబబంది పెటటాలసిన అమాయక కుటుంబాలు ఉననాయా?
चाहे किसी को भी नौकरी मिले, वह परिवार के बीच ही रहेगी.	ఎవరికి ఉదయోగం వచచినా, అది మీ కుటుంబంలోనే ఉంటుంది.
तुम मेरे फोन का जवाब नहीं देती हो, अरस.	నా ఫోన కాలస కి నువవు జవాబు ఇవవడం లేదు, ఉరస.
मैं एक पुरानी दोसत के लिए सज नहीं सकती?	ఒక పాతర సనేహితురాలి కోసం నేను ఏమీ చేయకూడదా?
कया तुम कल वही कर रहे थे? उस गारवी लडकी की जाँच कर रहे थे?	నినన నువవు చేసింది ఆ పనే కదా? ఆ గారవీ అమమాయిని పరిశోధించావు కదా?
थोडा आराम कर लूँगा, तो बेहतर महसूस करूँगा.	నేను నిదరపోతే తపప మళలీ మనిషిని కాలేను.
मैंने तुमहारे सामने वे माँगें रखीं, तुमहारी मरदानगी पर सवाल उठाया.	నేను కొనని కోరికలు కోరాను, అవి నీ మగతనానని తకకువ చేసినటలు భావించి ఉంటావు.
ए, बेहतर होगा मुझे सथिति बिगडने से पहले बता दो.	హేయ, నువవు మళలీ ఆమెని కలిసే లోగా నాకు చెబితే మంచిది.
पता है लाश खोदकर निकालने में कितना खरच होता है?	ఒక శవానని వెలికితీయాలంటే ఎంత ఖరచవుతుందో నీకు తెలుసా?
मुझे लगा कि अगर मैं तुमहें बताऊँगा, तो तुम भी अपराधी बन जाओगे.	నీకు తెలిసతే, నువవు కూడా ఉదాసీనంగా మారిపోతావని భయపడడాను.
मैं शादीशुदा हूँ. मेरा परिवार है. . .	నాకు పెళలయింది. నాకు ఒక కుటుంబం ఉంది. . .
तुमने कहा था रोहिपनॉल से याददाशत चली जाती है, है न?	రోహిపనాల వలల ఏమీ గురతుకురావు అని చెపపావు, కదా?
चलो भी, जिददी कमीने.	కదులు, మొండి వెధవ.
गरेस, अगर तुमहें कोई मदद चाहिए, तो बस हमें फोन करना, ठीक है?	గరేస, నీకు ఏమెనా కావాలంటే వెంటనే మాకు ఫోన చేయి, సరేనా?
जैरलड फिशर एंड कंपनी	జెరాలడ ఫిషర అండ కో
कयोंकि मुझे साथ पीने के लिए एक साथी चाहिए था,	ఎందుకంటే మందు తాగడానికి ఒక తోడు అవసరం అనిపించింది,
शायद, कहीं मेरा सिर टकराया था.	నా తల కొటటుకుంది, అనుకుంటా.
कया तुमने अभी-अभी अपनी जेब में कुछ डाला?	నీ జేబులో ఇపపుడు ఏమెనా పెటటుకుననావా?
तुम कया कर रही हो?	నువవు ఏం చేసతుననావు?
ऊह, उनके पास गरम चिकन और बलैक पुडिंग सलाद है.	వీళల దగగర వేడి చికెన ఇంకా బలాక పుడింగ సాలడ ఉననాయి.
मैमी, मैं जयादा तनाव में और उदास हूँगा अगर मुझे यह पदोननति नहीं मिली.	మామీ, నాకు ఈ పరమోషన రాకపోతే నేను మరింత కుంగిపోయి బాధలో ఉంటాను.
यही होता है जब तुम एक महिला को इंटरनेट कनेकशन नहीं देते हो.	ఒక ఆడదానికి ఇంటరనెట కనెకషన ఇవవకపోతే ఇలాగే జరుగుతుంది.
जाहिर है, इवा का इंटरवयू काफी अचछा रहा.	చూడబోతే, ఈవా ఇంటరవయూలో అదరగొటటింది.
ए, बदमाश. हम आज रात को मिल रहे हैं? मैं मारगरिटा बना रही हूँ.	హేయ, పిచచోడా. మనం ఈ రాతరికి కలుసతుననామా? నేను మారగరిటాలు చేసతుననాను.
मुझे वापस काम पर लौटना है.	హుమ, నేను ఉదయోగానికి వెళలాలి.
वह खुद ही ठीक नहीं हुआ है.	అతను ఇంకా పూరతిగా కోలుకోలేదు.
जिसका मतलब है कि उसकी मौत से पहले की सारी घटनाओं की जाँच करनी होगी.	తదవారా ఆయన మరణానికి దారితీసిన అనని సంఘటనలను పరిశీలిసతుననాము.
वह कया कर रहा है?	అతను ఏం చేసతుననాడు?
हमें कुछ नहीं होगा.	మనం బాగానే ఉంటాం.
खासकर तब जब कोई परिणाम नहीं निकलता है.	ముఖయంగా దాని నుండి ఏమీ బయటపడకపోతే.
हमारे पास चशमदीद गवाह है जिसने जॉन पॉल की दुरघटना की रात को	జాన పాల కి పరమాదం జరిగిన రాతరి మరీనాలో ఇదదరు గారవీ సిసటరస ని చూసిన
लॉफटस को लाश निकालने के लिए मनाने के लिए यह काफी है. . .	మృతదేహానని లోఫటస వెలికితీయడానికి ఈ కారణం చాలు. . .
वह जिन हालातों से गुजरी है, जिन कठिनाइयों को पार किया है, और. . .	ఆమె ఎననో కషటాలను ఎదురకొంది, వాటిని అధిగమించింది, ఇంకా. . .
-वह ठीक है. हाँ. वह ठीक है. -हाँ?	-బాగుననాడు. అవును. బాగుననాడు. -అవునా?
मैं तुरंत कागजी कारवाई शुरू कर दूँगा.	నేను నేరుగా పతరాలు సిదధం చేసతాను.
कया? नहीं, नहीं. हे भगवान. नहीं, नहीं. यह तो. . .	ఏంటి? వదదు, వదదు. దేవుడా. వదదు, వదదు. అది ఫరవాలేదు. . .
