मुकदमे चलाने को कहा.	అలఫోనసిన ఆదేశించారు.
हेकटर एलसिडेस?	హెకటర అలసిడెస?
तो अदालत ने मुझे सारवजनिक बचाव वकील बनाया है.	ననను పరభుతవ నయాయవాదిగా నయాయసథానం నియమించింది.
इसमें देर नहीं लगेगी.	ఇది ఎకకువ సమయం పటటదు.
सब खडे हो जाएँ.	అందరూ నిలబడండి.
ऑरलैंडो रेमोन अगोसती. मैं इस अदालत की वैधता को नहीं मानता.	ఒరలాండో రమోన అగోసతి. నేను ఈ నయాయసథానం చటటబదధతను గురతించను.
मोरेनो ओकामपो.	మొరేనో ఒకాంపో.
-गुजारे लायक कमा लेते हो, मोलीना कामपोस? -मोरेनो. लगभग.	-నువవు సంపాదిసతుననావు, మొలీనా కంపోస? -మొరేనో. అలాంటిదే.
पेश करने का खतरनाक लेकिन सही फैसला लिया.	మంచి నిరణయం తీసుకుననారు, కోరటుకు పిలిచి.
-हमें तुरंत एक टीम चाहिए. -बिलकुल, मोलीना कामपोस.	-వెంటనే ఒక బృందం కావాలి. -కచచితంగా, మొలినా కంపోస.
मोरेनो ओकामपो.	మొరేనో ఒకాంపో.
-पेरोन पर कया सोचते हो? -वह एक अहम राजनेता थे.	-పెరోనపె అభిపరాయం? -ఆయన ఒక ముఖయమెన రాజకీయవేతత.
इसका जवाब देना होगा?	నేను సమాధానం ఇవవాలా?
गुससा मत कीजिए, पापा.	అంత కోపం వదదు, నాననా.
-हाँ, लॉस अबेलोस ने बजाया था. -लॉस अबेलोस?	-అవును, లోస అబుయెలోస ఆడాడు. -లోస అబుయెలోస?
हमें साबित करना है कि वह वयवसथित योजना थी.	ఇదంతా వయూహాతమకంగా చేశారని మనం నిరూపించాలి.
-जानते कैसे नहीं होंगे? -वे कहेंगे कि नहीं जानते थे.	-వాళళకు తెలియకపోవచచు. -తమకు తెలియదని వాళళు చెబుతారు.
-किसी ने उनहें जरूर देखा होगा. -नहीं.	-వాళళను ఎవరో ఒకరు చూసి ఉంటారు. -లేదు.
तुम उसे जानते हो?	అతను నీకు తెలుసా?
उस बंदे से पूछो.	ఆ మనిషిని అడుగు.
अभियोकता हर परांत में जा रहे हैं	ఆ రాషటరానికి వెళలిన పరాసికయూటరలు
या ऐसे नाम लिए जो नहीं जानता था. उससे वे गुससा हो गए.	పేరలు అడిగారు. తెలియదు అని చెపపటంతో కోపంతో ఊగిపోయారు.
एकस-96.	ఎకస-96.
तुमहें कैसे पता कि वे सेना से ही थे?	వాళళు సెనయంలోని వారే అని ఎలా తెలుసు?
बैठ जाइए, पलीज.	కూరచోండి, పలీజ.
और जेवियर को मत भेजिए.	హావియరను కూడా పంపవదదు.
आपको जयादा अहम चीजों की चिंता करनी है.	మీరు ఆలోచించాలసిన విషయాలు వేరే ఉననాయి.
15 फरवरी सबूतों की पेशी	ఫిబరవరి 15 సాకషయం సమరపణ
कहाँ?	ఎకకడ?
आप हमारे साथ चलेंगे!	మీరు మాతో వసతుననారు!
कया हो रहा है?	ఏం జరుగుతోంది?
यह बात याद रखिएगा.	ఇది గురతుంచుకోండి.
पूरे भरोसे से कह रहा हूँ.	నేను చెపపేది నాకు తెలుసు.
आपको लगता है कि इतने सबूत काफी हैं?	ఈ సాకషయం సరిపోతుందని అనుకుంటుననారా?
शुकर है तुमहारे अंकल ने अभी तक नहीं देखा.	దేవుడి దయవలన మీ మామయయ నినను ఇంకా చూడలేదు.
पेरला?	పెరలా?
आप ठीक तो हैं, सर?	అంతా బాగుందా, సార?
हाँ. मैं ठीक हूँ.	అవును, బాగుననాను.
नहीं.	వదదు.
विदेश मंतरालय का कहना है कलाइड सनो कल पहुँच जाएगा.	కలెడ సనో రేపు వసతారని విదేశాంగ కారయాలయం చెబుతోంది.
उसे सुरकषा मिलेगी. दूतावास सहयोग कर रहा है.	అతను సురకషితం. రాయబార కారయాలయం సహకరిసతుంది.
वह आदमी आपके साथ है?	ఆ మనిషి మీతో వచచారా?
नहीं.	కాదు.
यहाँ पर एक आदमी था. -	అకకడ ఒక మనిషి ఉననాడు.
आज पहला दिन है!	ఇది మొదటి రోజు!
अगर आपने अपने सकारफ नहीं उतारे.	మీరు తలగుడడలను తీయాలసి ఉంటుంది.
लेफटिनेंट जनरल लियोपोलडो फोरटुनाटो गैलटिएरि,	లెఫటినెంట జనరల లియోపోలదో ఫోరచునాతో గలతియేరి,
मैंने कभी युदध की बात नहीं की.	నేను యుదధం గురించి మాటలాడలేదు.
-है न? आपने अभी यही तो कहा, मिसटर लयूडर. -हाँ, यह सच है.	-అవునా? ఇపపుడు మీరు అదే చెపపారు, లూడర. -అవును, అది నిజం.
आप जान सकते हैं कि इसे कुछ मीटर दूर से ही गोली मारी गई थी.	ఆ వయకతిని కొదది మీటరల దూరంనుంచే కాలచి చంపారని అరథమవుతుంది.
25 अपरैल	ఏపరిల 25
26 अपरैल	ఏపరిల 26
आप बोलिए, वाइस एडमिरल.	కొనసాగండి, వెస అడమిరల.
-हमारी कया सथिति है? -हमारी सथिति अचछी है.	-మనం ఎలా చేసతుననాము? -మనం బాగా చేసతుననాము.
-कभी नहीं. -मुमकिन लगता है?	-ఎపపటికీ. -మనం చేయగలమంటావా?
29 अपरैल	ఏపరిల 29
पुलिस से दूर रहना ही अचछा है.	పోలీసులకు దూరంగా ఉండటం ఉతతమం.
सुनवाई में आपकी गवाही दरज करेगी.	పరసతుత నయాయసథానం నమోదు చేసతుంది.
जैसे ही कार आगे बढी,	కారు మలుపు తిరగగానే,
अदालत की कारयवाही लापता मारिया करिसटीना लेफटरॉफ की माँ,	కుబిక ఇచచిన హృదయ విదారక సాకషయంతో నయాయసథానం పరారంభమెంది,
अगवा करके एक गुपत नजरबंदी केंदर में ले जाया गया.	అపహరించి, ఒక రహసయ నిరబంధ కేందరానికి తీసుకెళళారు.
9 मई	మే 9
20 मई	మే 20
21 जून	జూన 21
मुझे उनके बीच में जीना है.	నేను వాళళ మధయలో జీవించాలి.
अभियोकता के दफतर ने गवाहों की रोजाना की सूची जारी करना बंद कर दिया है.	రోజువారీ సాకషుల జాబితాను విడుదల చేయటానని పరాసికయూషన కారయాలయం ఆపేసింది.
गवाहों को मिल रही लगातार धमकियों के कारण हुआ है.	వసతునన బెదిరింపుల నేపథయంలో ఈ నిరణయం తీసుకుననారు.
उनहोंने कहा कि कोई फरक नहीं पडता, कयोंकि. . .	దానివలన తేడా ఏమీ ఉండదని అననారు, ఎందుకంటే. . .
मैंने उसे मुझे देने की, मुझे थामने देने की विनती की, पर उनहोंने नहीं सुना.	నేను వాళళను పరాధేయపడడాను ఆమెను నాకు ఇవవమని, ననను తాకనివవమని, కానీ ఇవవలేదు.
हमने अपनी नौकरियाँ, अपना घर खो दिया,	మా ఉదయోగాలు పోయాయి, మా ఇలలు పోయింది,
-आपको मैं सही लगता हूँ? -हाँ, लुइस, तुम सही हो.	-నేను కరెకట అంటావా? -అవును, లూయిస, నువవే కరెకట.
कल की सुनवाई की तैयारी कर रहे हैं.	మేము రేపటి పనికి సిదధం అవుతుననాము.
-कया बात है? -तुमहारा यह कहना अचछा नहीं लगता.	-ఏమిటి విషయం? -నువవు అది చెపపటం నాకు నచచలేదు.
-कि अचछा कर रहे हैं? -यह पसंद नहीं.	-మనం బాగుననామనా? -నాకు అది నచచలేదు.
-आप ठीक हैं? -नहीं, लेकिन तुम भी ठीक नहीं हो!	-మీరు బాగుననారా? -లేదు, కానీ నువవు కూడా లేవు!
वे हमारे घर में घुस आए और एक घंटे में सुनवाई है.	వాళళు మన ఇంటలోకి వచచారు, విచారణ ఇంకా గంటలో ఉంది.
कहा था वह उसकी धजजियाँ उडा देगा.	వాడు అతనిని తొకకేసతాడని చెపపాను.
कि उस पर दबाव था या नहीं.	సరిపోతుందని భావిసతుననాను.
गवाह हीरो हैं. हमें उनका धयान रखना होगा.	సాకషులు హీరోలు. మనం వారిని కాపాడుకోవాలి.
कि मैंने सतता पकष को फायदा पहुँचाया और तानाशाही में निठलला बना रहा.	నేను పరభుతవానికి అనుకూలంగా ఉననానని, నియంతృతవం సమయంలో చూసతూ ఉననానని.
ढेर सारा पैसा कमाया?	డబబులు దండుకుననామనా?
मैं परिवार के लिए जवाबदेह नहीं.	నా కుటుంబం తరపున జవాబు ఇవవలేను.
मैं भी खुद के लिए जवाबदेह हूँ.	నేనూ నా తరపున సమాధానం ఇవవగలను.
बरुजो.	బరూజో.
मुझे ही नहीं,	ఒకకడినే కాదు,
कॉफी?	కాఫీ?
सेना में भारी असंतोष है.	దళాలలో బాగా అశాంతి ఉంది.
हूलियो.	హూలియో.
पलीज.	పలీజ.
उसने. . .	అతను. . .
मिसाल के लिए, मैंने अभी सावधानी से अपना पिछवाडा पोंछा है.	ఉదాహరణకు, ఇపపుడే నేను నా వెనకభాగం తుడుచుకుననాను జాగరతతగా.
यकीन नहीं होता.	నమమశకయంగా లేదు.
-शुकरिया. -चलो, हूलियो.	-థాంకస. -వెళళు, హూలియో.
सब खडे हो जाएँ.	అందరూ నిలబడండి.
हमें. . .	మేము. . .
ओकामपो चाहता है कि मैं नयूसटैड के शो पर आऊँ.	మొరేనో టీవీలో మాటలాడమంటుననాడు. నయూసటాట షోలో.
-वह मोरेनो ओकामपो का नहीं है. -तो कौन है?	-కాదు, అది మొరేనో ఒకాంపో కాదు. -మరి ఎవరు?
ठीक है.	మంచిది.
पलीज.	పలీజ.
वह अरजेंटीना की नयाय परणाली के लिए बेहद अहम है.	అరజెంటీనా నయాయవయవసథకు చాలా ముఖయమని మీకు తెలుసు.
उनहें दुख हुआ है.	అతను కదిలిపోయాడు.
यह अजीब है, है न? और कुछ नहीं कहा?	అది వింతగా ఉంది, కదా? ఇంకేమీ లేదా?
हूलियो.	హూలియో.
जानते हैं फरांसिसको ऑरटिज दे ओकामपो कौन थे?	ఫరానసిసకో ఒరతీజ డి ఒకాంపో ఎవరో మీకు తెలుసా?
मुझे दीजिए.	ఇలా ఇవవండి.
मुझे देखने दो.	ననను చూడనివవు.
"उनकी ओर से मैं यह ऐलान करने की जिममेदारी लेता हूँ	"పరభుతవం తరపున పెశాచికతవం ఒక రాజకీయ వయూహం కాదు అని
नहीं?	కాదా?
यह कया है?	ఇది ఏమిటి?
सब खडे हो जाएँ.	అందరూ నిలబడండి.
सैनय बलों की ओर से फैसला लिया,	పరజల అభీషటానని పటటించుకోకుండా,
जब उचित परकरिया को खतम किया गया, तो असल में नयाय का विनाश हुआ.	జరగవలసిన పరకరియను జరపకుండా, నిజమెన నయాయవయవసథకు విదరోహం చేశారు.
पूछताछ की जगह यातना होने लगी.	పరశనించటం సథానంలో చితరహింసలు.
यह मानवता के सममान से जुडा एक अहम मुददा है.	మానవాళి గౌరవానికి సంబంధించిన ఒక బలమెన అంశం.
पेरोनिसट आरमड फोरसेस.	పెరొనిసట సాయుధ దళాలు.
"धीरे-धीरे, ताकि हमारा धयान न जाए,	"మెలలగా, ఎవరమూ గమనించకుండా ఉండేలా,
न ही यह युदध की रणनीति है, बलकि एक नैतिक विकृति है.	పరభుతవం తరపున పరకటించే బాధయతను నేను తీసుకుంటుననాను.
चशमे वाले ने उसे देखा.	కళళజోడు అతనిని చూశాడు.
-जो फैसला होना चाहिए, वही करो. -ठीक है.	-నిరణయించాలసిన దానిని నిరణయించటం. -సరే.
हाँ.	సరే.
पलीज, खाँसिए.	పలీజ, దగగండి.
अचछा, ठीक है. आपको रात यहीं बितानी होगी.	సరే, మంచిది. మీరు ఈ రాతరికి ఇకకడ ఉండాలి.
सब कुछ. हम जीते या नहीं?	అంతా. మనం గెలిచామా లేదా?
-वायु सेना वालों को भी? -वायु सेना वालों को भी.	-వెమానిక దళానికి కూడానా? -వెమానిక దళానికి కూడా.
अचछा, बताओ.	సరే, చెపపు.
कसम से. सबूत मौजूद था. सारा का सारा.	నేను పరమాణం చేసతుననాను. సాకషయం ఉంది.
-और विडेला को? -उमरकैद.	-మరి విదేలా? -యావజజీవం.
कमाल हो गया, पापा!	అది అదభుతం, నాననా!
-अगर अनुभवी यह काम नहीं करेंगे. . . -तो हम नौसिखियों को लाएँगे.	-అనుభవజఞులు చేయకపోతే. . . -అపపుడు, అనుభవం లేనివాళళను తీసుకుంటాం.
और एक दोसत ने कहा, "आइरिस, उसे मत खोजो, उनहोंने उसे मार दिया. "	ఓ సనేహితుడు, "ఐరిస, అతనికోసం చూడొదదు, అతనిని చంపేశారు. " అననాడు.
अगर हमारा मकसद उनहें यकीन दिलाना है, तो हम सफल नहीं हो पाएँगे.	ఆమెను ఒపపించటం మన పని అయితే మన పని అయిపోయినటలే. ఎపపటికీ కుదరదు.
कि वे जनता की मरजी नजरअंदाज करके ताकत के बल पर सरकार हथियाएँगे.	పరభుతవానని బలవంతంగా తమ చేతులలోకి తీసుకోవాలని నిరణయించుకుననారు.
उनहोंने मेरे सारे कपडे उतार दिए. उनहोंने मुझे "पनडुबबी" बनाया.	వాళళు నా బటటలు ఊడతీయించారు. ననను "జలాంతరగామి" లాగా చేయించారు.
मैं, इसे मैं करूँगा. दूसरी बात, मेरे साथ लोग काम कर रहे हैं.	నేను, నేను చేసతుననాను. రెండోది, నాతోపాటు మనుషులు పని చేసతారు.
इसमें दम घुटने तक आपका सिर पानी की बालटी में डाल देते हैं.	నిండా నీళళు ఉనన బకెటలో తల పెటటించి ఇక వీలుకాదనేవరకు ఉంచారు.
जब वह खुले, तो तुमहें मौजूद होना चाहिए, और फिर, हाँ. . .	అది తెరుచుకుననపపుడు, నువవు అకకడ ఉండాలి, తరవాత, అవును. . .
कहा कि यह मेरा पहला बचचा नहीं था और जनम होने ही वाला था.	ఆపమని చెపపాను, ఇది నాకు మొదటిసారి కాదని, పరసవ సమయం అని.
-मुझे बताएँगे कि बरुजो ने कया कहा? -मैं टॉयलेट में हूँ.	-బరూజో ఏం చెపపాడో నాకు చెబుతావా? -నేను టాయిలెటలో ఉననాను.
कया किसी को अधिकार है कि वह एडरियाना कैलवो दी लाबॉरडे को	అడరియానా కాలవో డి లబోరడే అనే మహిళపె సంకెళళతో పరసవించటం,
-मैं आपकी सेवा में हाजिर हूँ. -मुझे किसी ने नहीं बताया.	-నేను మీకు సాయం చేయటానికి వచచాను. -నాకు ఎవరూ చెపపలేదు.
आपको बता दूँ कि यह हमने बेहद कम समय में हासिल किया है.	మీకు ఒక విషయం చెబుతాను, దీనిని రికారడ సమయంలో సాధించాము.
उममीद है कि अभियोकता का बरताव तानाशाही से बेहतर होगा.	ఆ పరాసికయూటర నియంతృతవంలోలాగా కాకుండా బాగా పని చేసతాడని
अब जबकि अरजेंटीना की जनता ने सरकार और उसके संसथानों का	ఇపపుడు అరజెటీనా పరజలు పరభుతవానని సవాధీనం చేసుకుననారు,
कया तुमहारे पडोसियों ने तुमहें ले जाने वालों को देखा?	మిమమలని తీసుకెళళినవారిని మీ పొరుగువాళళు చూసిఉండొచచా?
ऐसा कहने के लिए माफी चाहूँगी, पर मुझे यह अहम लगता है,	ఇది చెపపినందుకు ననను కషమించండి, కానీ ఇది చాలా ముఖయం,
-किसी फासीवादी की आवाज जैसी. -फासीवादी की? कया मतलब?	-ఒక అతివాది గొంతులాగా. -ఒక అతివాదా? మీరు అనేది ఏమిటి?
"हम अरजेंटीना में मौत का खुला नाच बरदाशत नहीं करेंगे.	"అరజెంటీనాలో మృతయువు సవేచఛగా తిరగటానని మేము సహించము.
-मेरी बेटी को अपनी पराइवेसी चाहिए. -मुझे पता है, सर.	-నా కుమారతె చాలా ఆంతరంగిక వయకతి. -నాకు తెలుసు, సార.
अबके बाद से, सिरफ तुम और मैं ही फोन उठाएँगे, समझीं?	ఇపపటి నుంచి, నువవు, నేను మాతరమే ఫోన తీయాలి, సరేనా?
फिर उनहोंने पूछा कि कया मुझे फिरमीनीच का घर पता है	తరవాత ఫిరమెనిచ ఎకకడ ఉననాడని, ఇంకా నాకు తెలియని వేరే
-कया आपको धमकी दी गई थी? -मैं उसे नजरअंदाज करूँगा.	-మీకు బెదిరింపులు వచచాయా? -వాటిని నేను పటటించుకోను.
. . . परतिवादी बार-बार आकरामक रणनीति दोहरा रहे हैं.	పరతివాది యొకక దురుసు వయూహం మళళీ మళళీ కొనసాగుతోంది.
-मत देखो! -उनहें बताया है न कि यह उनके खिलाफ नहीं?	-చూడవదదు! -అది అతనిపెన కాదని అతనికి చెపపావు, కదా?
लेकिन हम तुमहारी बेहद हसीन बेटी को जिंदा रखेंगे.	కానీ మీ అమమాయిని ఉంచుతాం, ఆమె అందంగా ఉంటుంది కదా.
इस बार उनहें कोई जानकारी नहीं चाहिए थी, जज साहब.	ఈసారి, వాళళు ఏ సమాచారం కోసమూ కాదు, నయాయమూరతిగారూ.
-बूढा? कयों? उसकी उमर कया है? -वह 78 साल का है.	-పెదదవాడా? ఎందుకు? అతనికి ఎనని ఏళళు? -అతనికి 78.
नौ कमांडरों के खिलाफ अकाटय सबूत पेश करने के लिए	తొమమిదిమంది కమాండరలపె బలమెన సాకషయం సమరపించటానికి
बदकिसमती से, इस अदालत के पास उसका जवाब नहीं है.	దురదృషటవశాతతూ, దానికి ఈ నయాయసథానం జవాబు ఇవవలేదు.
देखिए, सर, मुझे यातना दी गई, अगवा किया गया. . .	చూడండి, సార, ననను హింసించారు, కిడనాప చేశారు. . .
इस शबद "दमन" के बारे में अपनी समझ बताने दीजिए.	"నిరమూలన" అనే పదానని సాకషి వివరంగా నిరవచించాలి.
कलाउडिया ने एक बात कही जो मैं कभी नहीं भूलूँगा.	కలాడియా చెపపిన ఒక విషయం నేను ఎపపటికీ మరచిపోను.
बेशक पता था, यह नहीं पता था कि आप सुन रही हैं.	అవును నాకు తెలుసు, నువవు వింటావని నాకు తెలియదు.
मारने वाले धमकी नहीं देते. यह जग-जाहिर बात है.	చంపేవాళళు బెదిరించరు. అది అందరికీ తెలిసిన సతయం.
. . . एसमा में काम करने को मजबूर किया जाता था.	. . . ఎసమాలో, వాళళు బలవంతంగా ఆ పనులు చేయించారు.
तो "सावधान" और "वायु सेना" एक साथ नहीं कहे थे?	అయితే "జాగరతత", "వెమానిక దళం" ఒకే వాకయంలో లేవా?
"बचचा आ रहा है, उसे रोक नहीं सकती. रुक जाओ! "	"బిడడ వసతోంది, లోపల నిలపలేకపోతుననాను. ఆపండి! "
कया आप बाकी करमचारियों की तरह ही आते-जाते थे?	మిగిలిన సిబబందిలాగే లోపలకు, బయటకు వెళళేవాడివా?
लेकिन यह राषटरपति के दफतर में नहीं हो सकता था.	కానీ ఇది అధయకష కారయాలయంలో చేయటానికి వీలుకాదు.
और शायद परतिवादियों के लिए यह सखती बरतना है.	పరతివాదులకోసం చెబుతుననాను, ఇదే అకృతయాలు అంటే.
यह फैसला अदालत करेगी कि वे उचित हैं या नहीं.	అవి సముచితమెనవో, కాదో నయాయసథానం నిరణయిసతుంది.
शायद वे उसके जरिए मुझ तक पहुँचना चाहते हों.	వాళళు తన దవారా ననను పటటుకోవాలని చూసతుండవచచు.
गवाहों और हमें छह महीने से धमकाया जा रहा है!	సాకషులను, మమమలని ఆరునెలలుగా బెదిరిసతుననారు!
-जिस बंदे का बताया था, वह यहाँ है. -और 2772.	-నేను చెపపిన మనిషి అకకడ ఉననాడు. -ఇంకా 2772.
-उनहें कभी यकीन नहीं दिला पाएँगे. -सही कहा.	-ఆమెను మనం ఎపపటికీ ఒపపించలేము. -లేదు, నిజమే.
"मैं तुमहारा आरोप-पतर सुनने को बेताब हूँ. "	"మీ ముగింపు వాదనను వినాలని కోరుకుంటుననాను. "
बिलकुल नहीं. मैं उस संसथान का आदर करता हूँ.	లేదు, అససలు లేదు. నేను ఆ వయవసథను గౌరవిసతాను.
मसलन, इसका तयाग करने से निमनलिखित बातें हुई.	ఉదాహరణకు, అది లేకపోవటంతో ఈ కిందివి జరిగాయి.
सिसिलिया इनेस ककाबेलियोस एक चटाई पर पडी थी.	సిసిలియా ఇనెస కకబెలోస ఒక చాపపె పడుకుని ఉంది.
घंटों तक चली इस यातना का सिरफ एक ही मकसद था	కొనని గంటలపాటు సాగిన ఈ చితరహింస లకషయం. . .
यकीन करो, लुइस. हम इसमें बिलकुल अकेले हैं.	నమము, లూయిస. మనం సవతంతరంగా ఉననాము. ఒంటరిగా.
-कुल मिलाकर, कुछ नहीं जानते. -हम जानते हैं.	-మొతతం మీద మనకు ఏమీ తెలియదు. -మనకు తెలుసు.
मैंने उसे ढूँढा, उसके बारे में पूछताछ की.	నేను ఆమెకోసం వెతికాను, సమాచారం సేకరించాను.
-मुझे चुनने की वजह जानना चाहते हैं? -हाँ.	-నేను ఎందుకు చేసతుననామో చెపపనా? -తపపకుండా.
-हाँ, मजाकिया लडके. -चलो संगठित होते हैं.	-అవును, సరదా మనిషి. -మనం వరగీకరించుకుందాం.
केंदरों पर उनके होने के चशमदीद गवाह चाहिए.	వాళళు చేయించటం చూసిన సాకషులు మనకు కావాలి.
-बताया था, फासीवादी हैं. -तो हम कया करें?	-అతివాదులు, నీకు చెపపాను. -మనం ఏమి చేయాలి?
-हाँ, जानते हैं. -सिरफ सच मायने नहीं रखता.	-అవును, మాకు తెలుసు. -నిజం ఒకకటే సరిపోదు.
तुमको पता है तुमहारा बेटा पागल बन रहा है?	మీరు ఓ పిచచిదానిని పెంచుతుననారని తెలుసా?
-अटॉरनी जनरल किसी को भेजेंगे. -मत भेजना!	-అటారనీ జనరల ఎవరో ఒకరిని పంపుతాడు. -వదదు!
"मातहतों ने जरूरत से जयादा सखती बरती थी.	"అవి కిందిసథాయి అధికారులు చేసిన అకృతయాలు.
मैं उसके और बाकियों के नाम का जाम पियूँ.	నా కోసం, పరతి ఒకకరికోసం ఛీరస చెపపాలి అని.
अरजेंटीना के इतिहास में पहले जनरल कमांडर.	అరజెంటీనా చరితరలో మొటటమొదటి జనరల కమాండర.
-यह कया कह रहा है? -तुमहें कया उममीद थी?	-ఆయన ఏమి చెబుతుననాడు? -ఏమి ఆశిసతుననారు?
अचानक ही सभी तानाशाहों को जेल हो जाएगी.	అకసమాతతుగా నియంతలు అందరూ జెలుకు వెళతారు.
उसने मुकदमे के खिलाफ अरजी पर दसतखत किए.	విచారణకు వయతిరేకంగా అరజీపె సంతకం చేశాడు.
अचछा, समझ गया. अब मुझे और जयादा मत डराओ.	సరే, అరథమయింది. ననను ఇంకా కంగారుపెటటకు.
कया चल रहा है? कया कानाफूसी कर रहे हो?	ఏమిటది? దేని గురించి మీ ఇదదరి గుసగుసలు?
आज की खबर यह है कि गवाहों के अनुरोध पर,	ఇవాళ వారత ఏమిటంటే, సాకషులు కోరినటలుగా,
उसके बाद ही मैं बचची को गोद में ले पाई.	ఆ తరవాతే నేను నా బిడడను పటటుకోగలిగాను.
यह सच है कि अभी तक तुम धयान खींचने में	అది నిజం, ఇపపటి వరకు, నువవు బాగానే. . .
बलकि दुनिया भर की नयायिक अंतरातमा ने भी	విశవవయాపతంగా నయాయ వయవసథలోని ఆతమపరబోధం,
और उनसे लडने के लिए सरकार ने कया किया?	పరభుతవం వారిపె పోరాడటానికి ఏమి చేసింది?
मैं बात कराती हूँ. सजा का ऐलान हो गया.	నేను ఆయనకు ఇసతాను. శికషలు బయటకు వచచాయి.
हथकडियों में जकडे, आँखों पर पटटी बंधे, गशत कार की पिछली सीट पर, फरश पर लेटे	కళళకు గంతలు కటటబడటం, కారు వెనుక సీటులో, కింద, పాపను పటటుకోవటానికి కూడా అవకాశం
. . . हमारे देश में पेचीदा हालात हैं.	. . . మన దేశానికి ఒక సంకలిషట పరిసథితి.
लेफटिनेंट जनरल होरखे रफाएल विडेला. . .	లెఫటినెంట జనరల హోరగే రఫేల విదేలా. . .
हथियारबंद दलों के खिलाफ जिनहोंने. . .	ముపపుగా పరిణమించిన సాయుధ బృందాలపె. . .
तुमने सुन लिया. यह अचछी तरह जानते हैं.	మీరు అతని మాట విననారు. అతనికి తెలుసు.
वह मुझे कलाउडिया की कोठरी में ले गया,	అతను తీసుకెళళి, కలాడియా సెలలో పెటటాడు,
खुशकिसमती से, वे सभी को डरा नहीं पाए.	అదృషటవశాతతూ, వాళళు అందరినీ భయపెటటలేదు.
कया हम भोर के समय गुमनाम गिरोहों दवारा	ఆతమరకషణలేనివారిని తెలలవారుఝాము సమయంలో
-एल मोनो कामपो? -लुइस मोरेनो ओकामपो.	-ఎల మోనో కాంపో? -లూయిస మొరేనో ఒకాంపో.
मैं इस अदालत की वैधता को नहीं मानता.	ఈ నయాయసథానం చటటబదధతను నేను గురతించను.
-तो कयों कर रहे हो? -शायद उसी वजह से.	-మరి ఎందుకు చేసతుననావు? -అందుకేనేమో.
कुछ नहीं सोचता. वह एक अहम राजनेता थे.	ఏమీ లేదు. ఆయన ఒక ముఖయమెన రాజకీయవేతత.
तुमहें डरपोक बिलकुल नहीं होना चाहिए.	నువవు ఒక బలహీనుడవు కాకూడదని మా కోరిక.
उनहें नहीं लगता कि यह उनके खिलाफ है.	అది అతనికి వయతిరేకం అని అతను అనుకోడు.
हम सडक पर 15 मिनट तक उसी हाल में रहे.	మేము అలా 15 నిమిషాలు వీధిలో గడిపాము.
हम गवाहों या जजों से जुडते नहीं हैं.	మనం సాకషులతో, నయాయమూరతులతో కలిసిపోము.
-वे सहमति पर पहुँच गए. -एक नैपकिन पर.	-వారు ఒపపందానికి వచచారు. -నయాపకినపె.
