मिसटर आदिल खनना?	మిసటర ఆదిల ఖననా?
बस, एक छोटी सी रसम हो जाए, हम तो उसमें भी खुश हैं.	ఒక చినన శుభకారయం జరిగితే చాలు మాకు సంతోషిసతాము.
पता नहीं. वे जाँच कर रहे हैं.	తెలీదు. వాళళు వెయిట చేసతుననారు.
दूसरी पैसेंजर?	ఇంకో పయాసింజరా?
परणव: तुझे कया कुछ नहीं पता?	అసలు ఏమీ తెలీకుండా ఎలా ఉంటావు?
फरक पडता है कयोंकि मुझे नहीं पता तुम साले हो कौन.	తేడా ఉంటుంది ఎందుకంటే నాకు నువవసలు ఎవరో తెలీదు.
पर उनहें एक छोटी सी शादी चाहिए. सादी सी. तो हम कया कह सकते हैं?	కానీ వాళలకి పెదద వేడుక వదదంటుననారు. సింపుల. మరి మేమేం చేయగలం?
घर नहीं, तो चार करोड.	4 కోటలు, ఇలలు లేకపోతే.
अचछा, ये सारे बैग संभालके दफतर ले जाना.	ఓకే, ఈ బయాగలననీ జాగరతతగా ఆఫీసుకి తీసకెళళు.
तुमहारे बिना नहीं रह सकता.	నువవు లేకుండా నేను బరతకలేను.
हमारी औरतें इससे बेहतर हैं.	మన సతరీలు ఇంతకననా మెరుగు.
अब चलें? मेरे हील वाले जूते बहुत तंग कर रहे हैं, इनहें उतारना है.	మనం పలీజ వెళదామా. నా హీలస భయంకరం గా ఉననాయి. వాటికి నేను. . .
वो सिरफ परियंका को मिलेगा.	అది పరియాంకకే వెళుతుంది.
दोगले रूप का परदाफाश करने के लिए बस इसी की जरूरत थी.	. . . దురహంకారానని చూపడానికి అదే కావలసి వచచింది.
पर, मतलब, परियंका और विशाल खुद ही शादी का खरचा उठा रहे हैं.	కానీ నేననేది, పరియాంక, విశాల పెళళి ఖరచులు వాళళే పెటటుకుంటుననారు.
बबल और उतसव हारमनी के साथ	బబుల ఇంకా ఉతసవ హారమనీతో
- हाँ. - शुकरिया, रीना.	- బాగుంది. - థాంకస, రీనా.
- शिबानी: अचछा. - तो फिर, काम हो गया?	- అలాగే. - అయితే మన పని అయినటటేగా?
सर, मिसेज खनना आ गई हैं.	సర, మిసెస ఖననా వచచారు.
तो, आपके लिए परियंका कैसी बहू है?	మరి మీకు పరియా౦క ఎలాంటి కోడలవుతుంది?
टीचर: आप में से कुछ सोचेंगे कि आपके बचचे बस आठ साल के हैं.	మీలో కొందరు అనుకోవచచు మీ పిలలలు కేవలం ఎనిమిదేళళ వాళళేనని.
हाँ. उसने लाल गुलाब देकर मेरा दिल जीत लिया था.	అవును. అతను ననను ఎరర గులాబి పూలలో పడేశాడు.
सुनो, वे दोनों बस गाडी में साथ थे. इसका. . .	చూడు, వాళళు కేవలం కారలో కలిసి ఉననారు. అది. . .
मेरे लिए एक सरपराइज पारटी रखने के लिए, ये लोग नीमराना गए थे.	వాళళు నీమరానాకి వెళళారు నా కోసం సరపరెజ పారటీని పలాన చెయయడానికి.
गलोबल इंटरनेशनल में,	మేం గలోబల ఇంటరనేషనలలో,
मेड इन हेवेन के साथ कितना वकत हो गया?	మేడ ఇన హెవెనలో ఎననాళళ నుంచి ఉననావు?
अब चलो भी! ये बहुत ही खूबसूरत है. मुझे ये बहुत पसंद है.	హేయ ఇది చూడు. ఇది నిజ౦గా బాగు౦ది, నాకు చాలా నచచింది.
कुछ लोगों की भी तसवीरें ले लोगे?	కొందరు మనుషులని కూడా తీసతావా?
परी, सुनो, तुम और मैं ही तो हैं. हम कुछ करेंगे. भरोसा रखो.	పరీత, చూడు, ఈ విషయం మనిదదరిదీ. మనం దీనని తేలచుకోవచచు. ననను నమము.
- मर जाऊँगा अगर तूने मेरा नाम ना लिया. - परणव: चुप रह, चुप रह.	- నీ ఆసకార సపీచ లో లేకపోతే చచచిపోతాను. - నోరముయ, నోరముయ.
यहाँ रहने पर समझ आ जाता है कि ये सब मामूली बात है.	ఇకకడ ఉంటుననపపుడు, అదంత పటటించుకోనకకర లేదని తెలుసతుంది.
डॉकटर आ रहा है, ठीक है?	డాకటరు వసతుననారు, సరేనా?
शादी है, विशाल! करियाकरम नहीं.	ఇది పెళళి విశాల. తదదినం కాదు.
बेटा नहीं, साँप है. देख ले.	వాడు కొడుకు కాదు, పాము. చూడు
पैसा हमारे लिए ही तो है ना, परी. कया फरक पडता है?	డబబు మన కోసమేగా, కాదా? పరీత. తేడా ఏముంటుంది?
मेड इन हेवेन	మేడ ఇన హెవెన
कुछ भी चाहिए तो मेरे पास आना.	దేని కోసమెనా నా దగగరకి రా.
तुमहें कैसे पता था कि मुझे कुछ पीना है?	నాకు డరింక కావాలని నీకెలా తెలిసింది?
कि जिंदगी भर दूसरों के बचचों की शादी में जाके बस खाएँ?	మేము ఇతరుల పిలలల పెళళిళళకి వెళళి భోజనాలు చేసి వసతుననాం.
- तो फिर, यहीं से ले लेते हैं. - हाँ.	- అయితే, దీనని తీసుకెళదాం. - సరే.
शुरू कहाँ से करूँ? मैं. . . बहुत वयसत था, यार.	ఎకకడ మొదలుపెటటను? బాగా కషటంగా ఉంది, గురూ.
वह ठीक हो जाएगी.	తనకి బాగవుతుంది.
अरे, हाँ.	సరే సరే.
दूलहे ने दहेज की माँग की और दुलहन के परिवार को बलैकमेल करने की कोशिश की.	పెళళికొడుకు కటనం అడిగి పెళళికూతురు ఫయామిలీని బలాక మెయిల చేదదామని చూసాడు.
- दुकानदारों को थोडा बाद में. . . - नहीं, नहीं. हम इस तरह काम नहीं करेंगे.	- అమమేవాళళకి తరవాత ఇసతామని ఇంకా. - లేదు, లేదు. మనం పని చేసేది అలా కాదు.
लोग कया कहेंगे?	జనాలు ఏమంటారు?
ये कभी ठीक नहीं हो सकता. और चाहे जो भी हो,	ఇదెపపటికీ సరికాదు. ఇందులో చాలా విషయాలుండచచు.
हाँ! हाँ, हाँ, ये ठीक रहेगा.	అవును నువవు చెపపేది బాగుంది.
पता है, मेरे खयाल से ये तुमहारी पसंद के हिसाब से है.	చెపపాలంటే. . . ఇది మీ టేసటుకి దగగరగా ఉంటుంది అనుకుంటుననాను.
लेकिन अभी हाँ बोलेगा तो अडवांस मिलेगा.	కానీ ఇపపుడే సరే అంటే అడవానస దొరుకుతుంది.
वह ठीक हो जाएगा. देखो, आज तारा को परेशान मत करना.	తను బాగానే ఉంటాడు. చూడు, ఇవవాళ తారని డిసటరబ చెయయదదు.
- माफ कीजिए? - नताशा: मुझसे ये सब नहीं होता, यार.	- కషమించండి? - నేను వీళళని హాండిల చెయయలేను.
मुझसे शादी करने के लिए किसी को पैसे नहीं दूँगी.	ననను పెళళి చేసకోవడానికి నేనెవరికీ డబబివవను.
बहुत हो गया. मुझसे और नहीं होगा.	అయిపోయింది కదా. సరిదిదదలేను.
हाँ. ये लीजिए.	ఇదిగో. తీసకోండి.
हाँ, हो सकता है.	అవును, అవగలదు.
अब बेचकर नशा करेगा.	డరగస కోసం అమమేసతాడు.
और अगर उनहें ये विशवास होता. . .	మరి వాళళు దాననే నమమి ఉంటే. . .
कोई बात नहीं. छोडो इसे.	పరలేదులే, పోతే పోనీ.
माफ कीजिए.	కషమించండి.
जयादा चोट उनहीं को आई है. अंदरूनी चोट से खून बहा. . .	ఆమెకే గటటి దెబబలు తగిలాయి. ఇంటరనల హెమరేజ ఉంది.
और. . . एकशन.	ఇంకా. . . ఏకషన.
हाँ? साथ मिलकर, हम लोग इस कंपनी को खडा करेंगे	చెపపండి? కలిసి, మేం ఈ కంపెనీని నిరమించి
मालूम है यूपी, बिहार में, एक आइएएस अफसर का कया भाव है? पता है आपको?	యుపి, బీహారలో ఒక ఐ. ఎ. ఎస ఆఫీసర రేటెంతో తెలుసా? తెలుసా మీకు?
ये पीला और सुनहरे रंग वाला देखो.	హేయ ఇది చూడు పసుపు మరియు గోలడ రంగుది.
हाँ, वह मुझे उधार देने को तैयार नहीं.	అవును, తను నాకు అడవానస ఇవవటలేదు.
परियंका के बारे में, हम तो कहेंगे हमें बहू नहीं, बेटी मिल गई है.	పరియాంక గురించి చెపపాలంటే మాకు కోడలు కాదు, కూతురు దొరికిందనుకుంటాము.
लडकी ने फेरे लेने से मना कर दिया, उनसे दफा होने को कहा, और वहाँ से चली गई.	ఆమె పరదకషిణలు ఆపేసి వాళలని అవతలకి పొమమని చెపపి, లేచి వెళిపోయింది.
तेरी शादी के लिए एक सेट रखा था.	నీ పెళళికని కొనని నగలు దాచి ఉంచాను,
तो, आखिर हो ही गया.	చివరికది జరిగిందననమాట.
नहीं, पुराना तोहफा है.	కాదు. ఇది పాత గిఫట.
पर ये गैरकानूनी है.	కానీ ఇది చటట వయతిరేకం.
तुम आइएएस अफसर हो. मैं ये नहीं कह रही कि महंगे तोहफे दो.	నువవు ఒక ఐ. ఎ. ఎస ఆఫీసర వి. నేను గిఫటస ఖరీదెనవిగా ఉండాలనటలేదు.
तुमहारे बचचे की माँ बनने की कोशिश कर रही हूँ, आदिल.	నేను నీకు బిడడనిదదామని పరయతనిసతుననాను, ఆదిల.
पलीज, मुझे माफ कीजिए. मैं यहाँ बस घूमने आया हूँ और हम. . .	పలీజ. అయాం సారీ. నేనికకడ కేవలం విజిటరని ఇంకా మేము.
कबीर: सदियों की पितृसतता को चूर-चूर करने के लिए बस इसी की जरूरत थी.	శతాబదాల పితరుసవామయానని తునాతునకలు చెయయడానికి ఈ మాతరం సరిపోయింది.
ये ले.	తీసుకో.
- इसकी फिलम आउटफेसट में दिखाई जाएगी. - वो कया है?	- తను ఔట ఫెసటులో పలే చేసతుననాడు. - అదేంటి?
पलीज अब बारात को लेकर अंदर आओ.	పలీజ పెళళి వారిని లోపలికి తీసుకురా.
कया तब से जब वह हमारे साथ रहने लगी?	తను మనతో ఉంటుననపపుడు మొదలెందా?
नरस तुमहारे साथ होगी.	ఓ నరస నీతో ఉంటుంది.
विशाल की माँ: आ जाओ, बेटा. परियंका के पिता: आजा, बेटा.	- ఇకకడికి, రా బాబూ - ఆ, అదీ. ఇకకడ నుంచో, బాబూ.
अपने ही बेटे को जेल भिजवा दोगे?	మీ సొంత కొడుకుని జెలుకి పంపిసతారా?
मैं डॉकटर को बताती हूँ. जब तक सर ना देख लें, इनहें कुछ मत दीजिएगा.	నేను డాకటరుకి చెబుతాను. ఆయన చూసే దాకా అతనికి ఏమీ ఇవవదదు.
ये बात हमें बताने की जरूरत भी नहीं पडनी चाहिए.	ఈ మాట మేం చెపపాలసిన అవసరం కూడా రాకూడదు.
हाँ, हाँ. शुकरिया, यार.	సరే, అలాగే, థాంకయు, యార.
विशाल से कहो साली घोडी से उतरे और अंदर आए.	విశాలని ఆ వెధవ గురరం దిగి లోపలికి రమమను.
इस बारे में बाद में बात करें? हमें फेरे लेने हैं.	ఇది తరవాత మాటలాడుకుందామా? మనం పరదకషిణలు చెయయాలి.
परियंका दीदी, ये नहीं. ये तो बहुत ही ससते लग रहे हैं.	పరియాంకకక ఇవి లేకుండా చాలా చీప గా కనపడుతుననాయి.
मेरी नाक के नीचे, तुम मेरी सहेली के साथ सो रहे थे?	నువవు నా ఫరెండుతో నా వెనకాలే పడుకుంటుననావు.
पर सरकारी मुलाजिम हूँ. ये सब शोशा ठीक नहीं लगता.	కానీ నేను గవరనమెంట సరవెంట ని. నాకిలాంటివి నచచవు.
पारटी नहीं, जान, कॉकटेल. ठीक है?	అది పారటీ కాదు డారలింగ. కాకటెయిల. ఓకే?
इनहें होश आ गया है. पानी माँग रहे हैं.	తను లేచాడు. నీళళు కావాలంటుననాడు.
विशाल की मानयताएँ भी ऐसी ही हैं.	విశాల విలువలు కూడా అలాంటివే.
कुछ अलग से.	పరతయేకంగా.
फैजा का काफी खून बह गया है.	ఫెజాకి చాలా రకతం పోయింది.
पर हमें लगता है कि कला और संसकृति से परिचय	కానీ మా నమమకం ఆరట ఇంకా సంసకృతి గురించి తెలుసుకోవడం
कया? ऐसा कैसे कह सकता है?	ఏంటి? అలా ఎలా అనగలవు?
चिंता मत कीजिए. वह ठीक हो जाएगी, आंटी.	ఖంగారు పడొదదు. తను బాగానే ఉంటుంది, ఆంటీ.
अफसोस कि दूसरी पैसेंजर इतनी खुशकिसमत नहीं थीं.	ఇంకో పయాసింజర గురించి చింతిసతుననాను అతను అంత లకకీ కాదు.
इस फारम पर दसतखत कर दीजिए.	మీరు ఈ ఫారమ మీద సెన చెయయాలి.
- गुड मॉरनिंग. - हेलो, शिबानी.	- మారనింగ. - హాయ, షిబానీ.
- पिता: आओ. - चलो.	- రా. - వెళదాం.
तो तुमहें दूलहे के साथ सोना नहीं चाहिए था.	మరి పెళళికొడుకుతో పడుకుని ఉండకూడదు.
शिबानी: हाँ, बिलकुल.	అవును తపపకుండా ఇసతావులే.
कमरे में, और कहाँ?	గదిలో, ఇంకెకకడ?
अगले महीने हिसाब बराबर कर लेंगे ना.	అది మనం వచచే నెలలో సరిపెటటచచుగా?
तो फिर अपने डैड से कहो कि भाड में जाएँ.	అయితే మీ నాననని అవతలకి పొమమని చెపపు.
शिबानी, कोई ऑरगैनिक चीज सोचो.	షిబానీ ఆరగానిక గా ఆలోచించు.
बहुत ही खूबसूरत है.	చాలా అందంగా ఉంది.
यार, ऐसे नहीं होता.	గెస, ఇదససలు పనికిరాదు.
- परियंका: चलो. - अरे, आजा, आजा.	- రండి రండి. - వెనకకి వెళళండి.
नहीं, साझेदारी नहीं है.	కాదు, పారటనర ని కాదు.
मुझे लगता है ये तुम पर बडा जंचेगा.	ఇది నీకు బరంహమాడంగా ఉంటుంది.
नहीं, सर, पलीज. मैं ये दोबारा कभी नहीं करूँगी.	లేదు, సర, పలీజ. మళళీ ఎపపుడూ ఇలా చెయయను.
रम और कोक से अचछा और कया हो सकता है?	నీలోంచి సీసాల నిండా రకతం లాగేసినపపుడు.
पढाई-लिखाई में जयादा धयान देते हैं.	చదువు సంధయల మీద ఎకకువ శరదధ వహిసతాం.
भाई, अलग किसम की होगी.	ఇది వేరే టెపులో ఉంటుంది.
अपनी बेटी की शादी है. कुछ तो करना चाहिए ना?	ఇది మా అమమాయి పెళళి అది బరంహమాండంగా జరగాలి కదా.
हाँ, हमारे साथ यहाँ रहो ना?	సరే కానీ ఇకకడ మాతో ఉండచచుగా?
- शुकरिया. - नई है?	- థాంకస. - కొతతదా?
छोडो, तारा. अब हमारे बस में कुछ नहीं है.	పోనియయి తార. ఇపపుడు మనం ఏం చెయయలేం.
ये तुमहारा घर है, तुमहें पता है. तुम जब तक चाहो यहाँ रह सकती हो.	ఇదీ నీ ఇలలే, సరేనా. ఎంత కాలం కావాలంటే అంత కాలం ఉండు.
- अरे! - हाँ.	- అయయో. - అవును.
बेटा, पंडित जी कह रहे हैं कि शादी के मुहूरत का समय खतम हो जाएगा.	బాబూ, ముహూరత సమయం దాటిపోతుందని పురోహితుడు అంటుననాడు.
कितना बकवास करती हो, यार.	నువవు ఎంత వాగుతావో నిజంగా.
हमने बलड बैंक से बात की है, पर मुझे समझ में नहीं आया और किसके पास जाऊँ.	మేం బలడ బయాంకుకి ఫోన చేసాం కానీ, ఇంకెవరి దగగరకి వెళళాళో తెలీలేదు.
और बहुत ही गलत भी है.	ఇది పూరతిగా తపపు.
कितनी गलत बात है.	ఇది చాలా చెతతగా ఉంది.
तो, कंपनी में तुमहारी साझेदारी है?	అయితే కంపెనీలో నువవు పారటనర వా?
- अचछा, तो. . . - ओए, शिवराज?	- ఓకే, అయితే. - ఏయ శుభరాజ.
ठीक है?	బాగు౦దా?
पलीज इस बात को समझो.	పలీజ అది అరధం చేసకో.
ऑरगैनिक है.	ఇది ఆరగానిక.
चुप करो, यार करन.	ఆపు ఇక. . . కరణ.
और दरअसल, ये कंपनी कारड अपने साथ रखो.	ఇంకా ఏం ఉననాయంటే. . . కంపెనీ కారడ నీ దగగరుంచు.
वे तुमहें अचछे-खासे पैसे देते होंगे, हमम?	వాళళు నీకు జీతం బాగానే ఇసతారననమాట.
वह बहुत ही अचछा है. इतना सफल है और इतना पयारा है.	అతను బరహమాండమెన వాడు ఇంకా అతను గొపప వాడే కాదు మంచి వాడు కూడా.
एक बात कहूँ?	నీకొకటి చెపపనా?
- बिलकुल. - ये कितने अचछे लगते हैं, यार.	- తపపకుండా - చాలా బాగుననారు, యా.
नताशा: हाँ, बिलकुल आऊँगी.	సరే తపపకుండా వసతాను.
- नताशा: जान? - हाँ?	- బేబీ? - చెపపు.
अचछा.	సరే.
ये बारात बहुत वकत लगा रही है. जाके जरा बात करो ना. जलदी जाओ.	వీళళింత సమయం తీసుకుంటుననారు కొంచం వాళళతో మాటలాడు.
वो देख. वहाँ चलते हैं.	అకకడ చూడు. అకకడకి వెళదాం.
आदिल को एक बार फिर तुमसे पयार हो जाएगा.	ఆదిల నీతో మళళీ పరేమలో పడిపోతాడు.
ये सब हुआ कैसे?	ఇదంతా ఎలా జరిగింది?
मेरी सकरीनिंग पर कयों नहीं आया?	నా సకరీనింగుకి ఎందుకు రాలేదు?
माता- पिता: शुकरिया.	- థాంకయు. - థాంకయు.
अचछा है और जयादा भडकीला भी नहीं है.	బాగుంది ఇంకా డాబుగా కూడా లేదు.
छोटी उमर में ही होना चाहिए.	నిజానికి చినన వయసులోనే మొదలవవాలి.
मैं पास में ही था. इसलिए मैं. . .	నేను దగగరలోనే ఉననాను, కాబటటి నేను.
विशाल ही का भला होगा ना?	విశాల కే మంచి జరుగుతుంది కదా?
मुझे नहीं पता था दोनों साथ हैं.	నాకు వాళళు కలిసుననారని తెలీదు.
पर मैं कर भी कया सकती हूँ? कामवाली गाँव गई हुई है.	కానీ ఏం చెయయను. మా పని మనిషి ఊరెళళింది.
हम चाहते हैं कि हमारे बचचों को दुनिया के अचछे से अचछे अनुभव मिलें.	మా పిలలలకి పరపంచంలోనే బెసట అనుభవాలు కలగాలని కోరుకుంటాం.
और तुमहारी तरह,	ఇంకా, నీలాగా. . .
तेरी पयारी पककी सहेली तेरी आँखों के नीचे से ले उडेगी.	ఇపుడు నీ డారలింగ బెసట ఫరెండ నీ కళల ముందు నుంచే అతనని లాకకుపోతుంది.
उधर का पैसा इधर, इधर का पैसा उधर.	డబబుతో అంత అజాగరతతగా ఉండకూడదు.
ट-डा! कया कहती हो?	ట-డా. ఎలా ఉంది?
शुकरिया, जसपरीत.	థాంకస, జసపరీత.
- बाय. - चल, चल. तुझसे पयार है.	- బె. - ఓకే, ఓకే. లవ యు.
उतना बुरा भी नहीं है, मतलब. . .	ఇదేమంత విషయం కాదు. అంటే.
- हेलो, मैडम. - तुमहें देर हो गई.	- హలో, మేడమ. - నువవు లేటయయావు.
- मैडम को कॉल भी कर लेता हूँ. - हाँ, बिलकुल. शुकरिया.	- నేను వాళలకి కాల కూడ చేసతాను. - సరే, తపపకుండా. థాంకయు.
हाँ, हाँ. कयों नहीं?	సరే మంచిది. ఎందుకు చెయయను?
मुझे कया?	నాకేంటి?
इस कंपनी में ऐसा कोई नहीं चाहिए जिस पर भरोसा ना कर सकूँ, जैज.	నా కంపెనీలో నేను నమమలేని వాళళని ఉంచుకోలేను, జాజ.
मंडप के लिए फूल देख लेना. पहले ही देर हो चुकी है.	మండపంలో పూలు చెక చెయయి. ఆలరెడీ లేటయయాం.
पता है, इटली में शादी हो रही है इन लोगों की?	తెలుసా, వాళళు ఇటలీలో పెళళి చేసుకుంటుననారు.
बिलकुल. अब बस भाई-बहनों के लिए कुछ लेना बाकी है.	బాగా సంతోషంగా ఉననాను. ఇక కజినస కోసం ఏదెనా తీసకోవడం మిగిలింది.
तुमने हमारा करेडिट कारड इसतेमाल किया. ये चोरी है.	నువవు మా కరెడిట కారడ వాడావు, అది దొంగతనం.
करुणा, पलीज. उसकी अभी- अभी दुरघटना हुई है.	కరుణా, పలీజ. అతనికి ఏకసిడెంటయయింది.
देखने में ठीक ही लग रहे हैं. बस कुछ टेसट कर रहे हैं.	అతని ఆరోగయం పరసతుతానికి బాగానే ఉంది. కానీ మేం కొనని టెసటస చేసతుననాం.
चिललाना बंद करोगी? तुमहें हुआ कया है?	అరవడం ఆపు, సరేనా? ఏమయింది నీకు?
उसका ऑपरेशन चल रहा है.	తనింకా సరజరీలో ఉంది.
शादी हो रही है, धूम मचनी चाहिए. ये ऑरगैनिक में हम कहाँ फँस गए?	ఇది పెళళి, ధూం ధాంగా ఉండాలి. కానీ ఇలా ఆరగానిక లో ఎలా చికకుకు పోయాం రా బాబు.
तुमहें यह बात पता है.	అది నీకు తెలుసు.
वे हाइवे पर कया कर रहे थे?	వాళళు హెవే మీద ఏం చేసతుననారు?
साला.	అయయో.
मैं आप सब का यहाँ आने के लिए शुकरिया अदा करना चाहूँगा.	ముందసతుగా మీ అందరికీ ఇకకడికి వచచినందుకు థాంకస.
कुछ और लेना होगा तो फोन करूँगी. ठीक है?	ఇంకేమెనా తీసకోవాలంటే నీకు కాల చేసతాను. సరేనా?
करुणा: झूठ बोल रही थी ना तू? संभाल ले उसे.	అబదధం చెబుతుననావు, కదా? అతనని జాగరతతగా చూసుకో.
मारटिन, आराम से. आराम से. मैं संभालता हूँ.	మారటిన, రిలాకస, రిలాకస. నేనుననా గా, నేను చూసుకుంటాను.
भला किसका होगा? हमारा?	మంచి ఎవరికి జరుగుతుంది? మాకా?
तारा के लिए जनमदिन की पारटी की तैयारी के लिए नीमराना गए थे.	తార కోసం వాళళు నెమరానా ఫోరటుకి బరత డే పారటీ పలాన చెయయడానికి వెళళారు.
शुकर है, इस बात को लेकर कोई एतराज नहीं करते.	నేను చెపపేది ఏంట౦టే. . . అదృషటం కొదదీ వాళళు కాదనరు.
- तुम पियानो बार में हो ना? - हाँ, जलदी आओ.	- పలీజ పియానో బారలో ఉననానని చెపపు. - ఆ, తవరగా రా ఇకకడికి.
नताशा: ऐसा नहीं कि हम एक-दूसरे को बहुत चाहते हैं.	మేము నిజంగా ఒకరనొకరం ఇషటపడం. మేం ఒకరనొకరం ఓ రకంగా అసహయించుకుంటాం.
उससे कहो मैं बोर हो चुकी हूँ!	నాకు బోర కొడుతోందని చెపపు.
विशाल के खाते में दो करोड, और बारात अंदर.	విశాల బయాంకు ఎకౌంటులో రెండు కోటలు వేసతే మే౦ సిదధం.
ढेर सारा खून देने के बाद,	మరి రమ తో కోక కననా బెటర ఏదీ లేదు
विशाल: नहीं!	బాగాలేదు.
बाय.	బె.
बस थोडी मौज-मसती कर रहे हैं.	వాళలు మజా చేసతుననారు.
जब तक मामला सुलझ नहीं जाता, वे अंदर नहीं आएँगे.	మనం ఇది పరిషకరిసతే కానీ లోపలికి రారు.
फिर जौहरी को कया बोलेगा?	అయితే, జౌహరీకి ఏం చెబుతావు?
ये ठीक है. आप एक बार जाकर सुरकषा अनुमति से चेक करिए.	సరే, ఇది బానే ఉంది. మీరొక సారి వెళళి సెకయూరిటీ పరమిషనస చెక చెయయండి.
तारा? वह ठीक तो है ना?	తారా? తను బాగానే ఉననాడు కదా?
मैं ये बात समझता हूँ, परी.	అది నేనరధం చేసకుంటాను, పరీత.
उनसे कहो दो करोड, पर घर की कोई मंजिल नहीं मिलेगी.	వాళళకి 2 కోటలని చెపపు కానీ ఇలలు ఇవవను.
पलीज परियंका को इस सब में शामिल मत करना.	పలీజ ఇది పరియాంకకి తెలియనీయదదు.
बिलाल इसे मारता- पीटता है.	బిలాల తనని కొడుతూ ఉండేవాడు.
सच बताना, हाँ. बिलाल के बारे में तुमहारा कया खयाल है?	నాకు నిజంగా చెపపు బిలాల గురించి ఏమనుకుంటుననావు?
