पैट!	పాట!
सर, अंदर जाने से पहले, मैंने कारडोना से बात की थी.	సర, మనం లోపలికి వెళలే ముందు నేను కారడోనాతో మాటలాడాను.
- कंटरोल अलफा बरावो एक के लिए. - धत. मुझे मिनट दो!	- కంటరోల నుండి ఆలఫా బరావో వన కి. - అబబా. ఆగెహే నువవు!
और उसे देखिए, उसकी जिंदगी को देखिए.	తనని చూడండి, తన జీవితానని చూడండి.
इस बारे में सोचो.	ఒకసారి ఆలోచించు.
इन चीजों को लेकर जो तुम कहते हो.	నువవు అనే కొనని మాటలు ఉననాయి చూడు!
यह लीजिए. देखिए.	ఇదుగోండి. చూడండి.
एरॉल, मेरा बेटा,	నా కొడుకు, ఎరరొల,
मुझे याद नहीं है.	నాకు గురతు లేదు.
पर पैटरिक ने मुझे यह नहीं बताया.	కానీ పాటరిక నాకు అలా ఏమీ చెపపలేదు.
हम यहाँ डयूटी पर नहीं हैं, इसलिए कृपया, ईशवर को इसमें मत घसीटो.	మనం ఇకకడ డయూటీలో భాగంగా లేము. కాబటటి దేవుడిని మధయలోకి తీసుకురావదదు.
इसका यह मतलब नहीं कि उसने उसे छुरा घोंपा, है न?	ఆ ఒకక దానని బటటే అతనే ఆమెని పొడిచాడని చెపపలేం కదా?
तो तुमहें दिखेगा कि तुम एक कठिन सथिति में फँसे हो.	మీరు చాలా కలిషట పరిసథితిలో ఉననారని అరథమవుతుంది.
बढिया है. सुनकर खुशी हुई. "वह मैं नहीं था. मैं चोर नहीं हूँ. "	హమమయయ. ఈ మాట విననాక హాయిగా ఉంది. "నేను కాదు. నేనేమీ దొంగని కాదు. "
और फिर, उसके तीन हफते बाद. . .	అది జరిగిన మూడు వారాల తరవాత. . .
तो फिर, तुमहें वह पसंद है, लीसा?	అయితే, నీకు అది నచచిందా, లీసా?
नौ बार उसे रोककर उसकी तलाशी ली गई थी. नौ बार.	అతడిని తొమమిదిసారలు ఆపి, వెతికారు. తొమమిదిసారలు.
मैं उसी आदमी से मिला था. मैंने उसी से बात की थी.	కానీ అతడినే నేను కలిశాను. అతనితోనే మాటలాడాను.
यह करना बंद करो.	అలా మాటలాడకండి.
तुमहें उसे खाना खिलाना होगा. और तुम उसके लिए जिममेदार हो. है न?	నువవే దానికి ఆహారం పెటటాలి. దాని బాధయత అంతా నీదే. అరథమెందా?
तुम जो भी फैसला लो. बस इतना ही.	నిరణయం నీ చేతులలో ఉంది. అంతే.
चौबीस घंटे पहले जैसा था, उससे काफी बेहतर है. उसे होश आ गया है.	ఇరవె నాలుగు గంటల ముందు కంటే ఇపపుడు పరవాలేదు. సపృహ వచచింది.
हाँ. मैं उसे खुश नहीं कहूँगा.	హా. సంతోషంగా ఉందని నేను అననులే.
हाँ, मैं. . . हाँ, मैं अभी उसे ही देख रहा हूँ.	హా, నేను. . . నేను ఇపపుడు దాననే చూసతుననాను.
अँगूठी कहाँ है?	మరి ఉంగరం ఏది?
मुझे मेरा फोन नहीं मिल रहा है. मुझे बस फलैट में ढूँढना होगा.	నా ఫోన కనిపించటలేదు. ఫలాటులో మరచిపోయానేమో చూదదామని వచచా.
शाबाश. धनयवाद.	హమమయయ. థయాంకయూ.
तुमने उसके गले में छुरा घोंपा?	కతతితో ఆమె గొంతులో పొడిచారా?
गवाही, बयान चाहिए कि एरॉल उस फलैट में था.	ఆ వయకతి నుండి నాకు సాకషి వాంగమూలం తీసుకోండి.
चलो पता करें, पूछताछ करें अगर किसी को भी फलैट से निकलते देखा गया है.	టరేస చేయండి, ఆ ఫలాట బయటకు ఎవరెనా వచచినటటు తెలిసతే, వాళలని ఇంటరవయూ చేయండి.
शायद कई रातों में से एक का.	అలాంటివి చాలానే జరిగి ఉంటాయి.
मैं आलोचना नहीं कर रहा हूँ.	నేనేమీ మిమమలని విమరశించటలేదు.
- ठीक है, चलो चलें. - ठीक है.	- సరే. వెళదాం పదండి. - సరే.
कोई भी तुमहें वह याद मिटाना चाहने के लिए दोष नहीं दे सकता.	ఆ జఞాపకానని నువవు దూరం చేసుకోవాలనుకోవడంలో ఏ తపపూ లేదు.
वह चीजें जो बस समझी जाती हैं.	అవి మనకి అరథమెపోతాయి, అంతే.
- सामने देखते रहो, मेरी तरफ. - पैट. चलो भी.	- ముందుకు నననే చూసతూ ఉండండి. - పాట. లేయ.
उन सभी को बुरा इंसान बना दें. यही संदेश है?	అందరినీ చెడడవారిగా చూపాలి. అదేనా సందేశం?
हाँ. उसके पूरे शरीर पर पीडित का खून लगा था.	అవును. అతని మీద చనిపోయిన మహిళ రకతం ఉంది.
- कुतता? - हाँ, इससे सब ठीक हो जाएगा, है न?	- కుకకనా? - హా, దానితో తను బాగెపోయేటటటు!
मेरी तरफ देखो. सामने देखो.	ననను చూడండి. ముందుకు చూడండి.
- मेरी तरफ देखो. - पैट, उठो.	- ననను చూడండి. - పాట, లేయ.
- पैटी! - इसे हथकडियाँ लगाओ.	- పయాటీ! - సంకెళలు వేయండి.
- हाँ. -"मुसतफा डेमिर" नामक एक आदमी से.	- మాటలాడాను. -"మొసతాఫా డెమీర" అనే వయకతితో.
मुसतफा डेमिर.	మొసతాఫా డెమీర.
कोई बात नहीं,	ఏం పరవాలేదులే,
लगता है वह दरवाजा तोडकर अंदर घुसने की कोशिश कर रहा है!	అతను తలుపును బదదలు కొటటడానికి పరయతనిసతుననటటుననాడు!
तो फिर, बढिया है, समय बीत रहा है. हमारे पास करीब सात घंटे हैं.	సూపర, అయితే సమయం మించిపోతోంది. మనకి ఇంకా ఏడు గంటల సమయం మాతరమే ఉంది.
अब तुम "कुततों की भाषा" बोलने लगी हो?	ఇపపుడు "కుకక భాష" మాటలాడుతుననావు అననమాట.
- हाँ. - इवेट तुमहें दरवाजे तक छोड आएगी.	- హా. - ఇవెట మీ ఇంటి దాకా దింపుతుంది.
तुम बस उसके डैड थे, एह? वही, सामानय डैड.	మీరు అతనికి నానన అననమాట. మామూలు నానన.
- मैं रिपोरट देख सकता हूँ? - हाँ, बेशक.	- ఆ రిపోరట నేను చూడవచచా? - తపపకుండా.
हैलो, पैटरिक.	హాయ, పాటరిక.
एक रात को. . . उनके बीच झगडा हुआ था.	ఒకరోజు రాతరి వేళ. . . ఇదదరూ గొడవపడడారు.
पडोसियों ने पुलिस को कोई हंगामा होने की सूचना दी थी.	ఏదో గొడవ జరుగుతోందని పొరుగువారు మాకు కాల చేశారు.
तुमहारे साझा आवास, 616 मैनिनघम फलैटस में लाश पाई गई	మీరిదదరూ ఉండే నివాసం అయిన 616, మానింగమ ఫలాటస లో
- वह मैं नहीं था! - मुझे लगा था तुमहें याद नहीं है.	- కానీ అది నేను కాదు! - మీకు గురతు లేదు అననారే.
मुझे बस लगा कि शायद तुमहें पैटरिक की फिकर होगी.	పాటరిక విషయంలో నువవు ఆందోళనగా ఉననావేమో అనిపించింది.
तुमहारा वकील तुमहारे साथ होगा. हर समय.	మీ లాయరు ఆ సమయమంతా మీ పకకనే ఉంటారు.
साफ है कि उसे अशवेत पुरुष पसंद थे.	తనకి నలలవాళలంటే ఇషటమని తెలిసిపోతోంది.
तो, शुरू करने से पहले मेरे मुवककिल ने	విచారణ పరారంభించే ముందు, నా కలయింట
तो, मैंने सबूत देखे, ऐसा नहीं है कि तुमहें किसी और की राय की जरूरत है. . .	నేను కూడా ఆధారాలని పరిశీలించాను, నీకు నా అభిపరాయం చెపపాలని కాదు. . .
- नाई की दुकान वाला आदमी. - हाँ, हमने शरी डेमिर से बात की थी.	- బారబర షాపులోని వయకతిని. - హా, మిసటర డెమీర తో మాటలాడాం.
छेद में से.	రంధరం గుండా.
हाँ. वह ठीक हो रहा है.	హా. అతను కోలుకుంటుననాడు.
यह सब उसके लिए बेहद मायने रखता होगा.	ఇదంతా తనకి చాలా ముఖయం అయయుంటుంది.
मैंने तुमहें अपने दिल की बात बताई	నా మనససులో ఉననదంతా మీతో పంచుకుననాను,
आपने कल भी यही कहा था. और परसों भी.	నినన కూడా అదే అననావు. మొనన కూడా.
- बहुत-बहुत धनयवाद. - कोई बात नहीं.	- చాలా చాలా థయాంకస. - ఏం పరలేదు.
ठीक है, तुम जा सकते हो.	ఇక నువవు బయలుదేరవచచు.
- बस बोलना चाहता था कि अगर तुमहें कुछ चाहिए. . . - ऑमलेट?	- ఇంకో విషయం ఏంటంటే, నీకేమెనా కావాలంటే. . . - ఆమలెట?
और तुमहें मेरी गरलफरेंड की कोई परवाह नहीं है, है न? है न?	చనిపోయిన నా లవర గురించి మీకు ఏ బాధా లేదు? నిజమే కదా?
हाँ, उनहोंने कहा था कि अकसर रात को, आपके बीच, पिता और बेटे के बीच झगडे होते थे.	హా, చాలా వరకు రాతరుళలు, మీ తండరీ కొడుకుల మధయ గొడవలు జరుగుతుంటాయి అననారు.
- धनयवाद, जान. - मुझे डीसीआई हैगरटी से बात करनी है.	- థయాంకస, బంగారం. - నేను డీసీఐ హెగరటీ కోసం కాల చేసతుననా.
काम ढूँढने?	పని కోసమా?
ठीक है. तो कहाँ काम ढूँढने गए थे?	సరే. పని కోసం ఎకకడికి వెళలారు?
मुझे पता है कि उसे ठीक होने में समय लगेगा पर	ఇది తొందరపాటు చరయ అని నాకు తెలుసు, కానీ,
मैं बता रहा हूँ, हम इस युदध में हार रहे हैं.	చెపతుననా కదా, మనం ఈ యుదధంలో ఓడిపోతుననాం.
एकस-रे करवाने के गयारह दिन बाद ही वह चल बसी.	ఎకస-రే తీసిన పదకొండు రోజులకే చనిపోయింది.
तुम लोग भी.	మీరుననారే!
मुझे आप पर विशवास है. यह कठिन है.	నేను నమముతుననానులే. అది కషటమే.
- मारको, कार बगल में ले आओ. - हाँ? जरूर.	- మారకో, కారును పకకకు తీసుకురా. - హా? అలాగే.
- रॉस. - तुम ठीक हो?	- రాస. - ఏమెంది, గురూ?
मुझे सुंदर भावनाओं के बारे में कुछ पता नहीं होगा, है न?	నాకు అలాంటి కషణాల గురించి తెలిసే అవకాశమే లేదు కదా?
भगवान. देखो कितनी बारिश हो रही है. थोडी देर यहीं रुको.	అబబా. ఇంత వరషం పడుతోందే. ఒకక నిమిషం ఆగుదాం, గురూ.
मेरी गरलफरेंड मर गई है! और जिसने भी यह किया, वह बाहर घूम रहा है!	నా లవర చనిపోయింది. అదీగాక హతయ చేసినవాడు బయట తిరుగుతుననాడు!
लाइटें जलाने में मेरी मदद करोगे?	వచచి లెటలు వేయడంలో సాయపడతారా?
जयादा देर नहीं लगेगी.	ఇంకాసేపటలో వచచేసతా.
मैं कोई चोर नहीं हूँ.	నేనేమీ దొంగను కాదు.
डैडी? डैड? एरॉल? कया वह तुमहारे बारे में पूछ रहा है?	నాననా? ఎరరొల? మిమమలని అడిగాడా అని అడుగుతుననారా?
साथ ही शरी मैथिस का यह भी कहना है कि मिस बरौज की हतया का	మిస బరరోస ఏ సమయంలో అయితే హతయకు గురయయారో, ఆ సమయంలో మిసటర మయాథిస
उसे एक उदाहरण के रूप में पेश करने का.	ఇతడిని ఉదాహరణగా చూపించాలని అనుకుంటుననారు.
- और रात को, वह चीखें. . . - तुमहें कया चाहिए?	- రాతరి గటటిగా కేకలు పెటటేది. . . - ఏం కావాలి మీకు?
रात दर रात दर रात.	పరతీ రాతరి అదే తంతు.
यह हो सकता है कि उसने उसे अपनी बाँहों में लिया हो.	ఆమెని తన చేతులలోకి తీసుకొని కూడా ఉండవచచు కదా.
और कया किसी ने तुमहें देखा था?	అకకడ మీరు ఎవరినెనా కలిశారా?
शरी मैथिस नहीं आए?	మిసటర మయాథిస రాలేదా?
तो, तुमहें याद है?	అంటే, మీకు గురతుందా?
कोई नहीं?	ఎవరూ లేరా?
तो, हम कया करेंगे?	ఇపపుడు మనమేం చేదదాం?
मुझे तुम पर विशवास है. मुझे विशवास है कि तुमहें याद नहीं है.	నేను మిమమలని నమముతుననాను. మీకు గురతులేదని నమముతుననాను.
मैं अंदर आया और मैंने देखा वह किस हाल में थी.	నేను లోపలికి రాగానే, తన సథితిని చూసి చలించిపోయాను.
यह करूरता है. तुम ऐसे ही हो. तुम यही करते हो.	ఇది చాలా దారుణం. మీ తీరే ఇంత. మీరు చేసే పనులే ఇవి.
- तुमने उससे बात की? - हाँ.	- వాడితో మీరు మాటలాడారా? - హా.
मैंने एडालेइड बरौज की हतया की.	నేనే అడిలెడ బరోస ని చంపాను.
बेटे का वहीं फलैट में होना, घटना सथल से भाग जाना,	నేరం జరుగుతుననపపుడు అబబాయి ఫలాటులోనే ఉననాడు,
दुकान की खिडकी की चौडाई जितना. बस.	దుకాణం కిటికీ తాలూకు వెడలపు అది. అంతే.
वह बस यही चाहती थी कि तुम खुश रहो.	నువవు సంతోషంగా ఉండటమే తనకి కావాలసింది.
आपने कहा था. . . वादा किया था कि आप मारसेला से ऑमलेट के बारे में बात करेंगे.	నువవు. . . నువవు ఆమలెట విషయంలో మారసెలలాతో మాటలాడతానని మాటిచచావు కదా.
जब कर सकते हो, करो.	చేతనెనంత చేసతారు.
- है न? - ठीक है, चलो भी. चलो. . .	- అది నిజమే కదా? - సరే, పదండి. ఇక. . .
हैलो. यह पैटरिक है.	హలో. ఇతను పాటరిక.
डॉकटर कॉनर ने कहा कि आप बात कर सकते हैं. पर केवल कुछ मिनटों के लिए.	మాటలాడటం పరవాలేదని డాకటర కానర అననారు. కానీ కొనని నిమిషాలు మాతరమే మాటలాడాలట.
20-9-11 कैम मैनिनघम फलैटस	20-9-11 కెమెరా మానింగమ ఫలాటస
मैं उसके साथ कया कर रहा हूँ?	తన విషయంలో ఏం చేసతుననానా?
ठीक है. अब, तुम दोनों तुरंत वहाँ जाओ.	సరే. ఇక మీ ఇదదరూ అకకడికి వెళలండి.
- हाँ, हाँ. - ए, ए. वे अपने बचाव में यही कहेंगे.	- హా, అవును. - హేయ, హేయ. డిఫెనస వాళలు అలాగే వాదిసతారు.
डीएनए और उँगलियों के निशान?	డీఎనఏ, వేలిముదరలు సంగతా?
मेरा समरथन करते हो. ठीक है.	మీ మదదతు నాకు ఉంది. సరే.
उसके दोसत बाहर इंतजार कर रहे थे.	బయట వాడి సనేహితులు ఎదురు చూసతుననారు.
- ठीक यहीं. इसी जगह में. - नहीं!	- ఇకకడే. సరిగగా ఇకకడే. - లేదు! లేదు!
तुमहें वयवसथा और अराजकता के बीच अंतर पता है?	శాంతికి, అలలరలకు తేడా ఏంటో నీకు తెలుసా?
बेचारे बचचे ने हतया होते हुए सुना होगा.	అ పిలలాడు హతయ తతంగానని అంతా విని ఉంటాడు కదా.
समझे? खुश हो? बहुत खूब.	సరేనా? ఆనందంగా ఉందా? సూపర.
- मारसेला. - हाँ, हैलो?	- మారసెలలా. - హా, చెపపండి.
मुझे जेली पसंद नहीं है.	జెలలీ అంటే నాకు ఇషటం లేదు.
मैं बस निजी तौर पर और निषपकष होकर कह रही हूँ कि. . .	నాకు వయకతిగతంగా, ఇంకా ఆధారాల పరకారం చూసతే. . .
पर हम मजबूत केस बनाएँगे और उसे भौतिक सबूतों के आधार पर सजा दिलवाएँगे.	కానీ ముందుగానే దరయాపతు చేసతే, మనం బలమెన ఆధారాలు సంపాదించవచచు.
दरअसल, इस मामले को लेकर हम पर काफी दबाव है.	అంటే, ఈ కేసు విషయంలో కాసత ఒతతిడి ఉంది.
ठीक है, तो अब मैं तुमहें कुछ फोटो दिखाऊँगा.	సరే, ఇపపుడు నీకు కొనని ఫోటోలు చూపిసతా.
कि जब संदिगध सेंट लूकस हॉसपिटल में था, तब उससे कौन-कौन मिलने आया था.	అతను సెయింట లూకస ఆసుపతరిలో ఉననపపుడు, అతనని చూడటానికి ఎవరు వచచారా అని అడిగాను.
तुमने चीनी मिटटी की पलेट की तरह उस बचचे को तोड दिया.	పింగాణీ గిననెలాగా ఆ పిలలాడి భాగాలననింటినీ విరగగొటటారు మీరు!
मेरी समसया यह है, टोनी, कि मुझे तथय दिखाओ.	నాకు వాసతవాలు కావాలి, టోనీ. అదే సమసయ.
- दाँत से काटने के निशान? - आपातकालीन कॉल.	- పంటి గాటలా? - ఎమరజెనసీ కాలస ఉననాయి.
मेरी समसया? मेरी समसया है, टोनी, इतनी जयादा चोटें.	నా సమసయనా? గాయం తాలూకు తీవరతే నా సమసయ, టోనీ.
