पैनिक	పానిక
सिवाय डॉज मेसन के, जिसे 25 अंक फालतू मिले हैं.	కానీ డాడజ మేసనకు తపప, అతనికి అదనంగా 25 వసతాయి.
आप जितने धीमे होंगे, आपके उतने अंक घटेंगे.	ఎంత నెమమదిగా వెళితే, అనని పాయింటలు పోతాయి.
-डरू सैंटियागो! -सैंटियागो.	-డరూ శాంటియాగో! -శాంటియాగో.
साला.	అబబా.
बस धयान रखना, ठीक है?	జాగరతతగా ఉండు, సరేనా?
धत तेरी.	అబబా. ఛ.
पाँच सेकंड!	ఐదు సెకనలు!
नहीं.	వదదు.
ओए, निल,	ఏయ, నిల,
-वह कया कह रहा है? -चलो, हेदर.	-అతను ఏం అంటుననాడు? -రా, హేథర.
उलटी करने ही वाली थी.	వాంతి వచచినంత పనెంది.
हमें तो लगा कि तुम गए काम से.	నిననకకడ కోలపోయామనే అనుకుననాం.
गुड नाइट भी नहीं कहोगे?	కనీసం శుభరాతరి తెలుపవా?
हेदर!	హేథర!
उसकी जरूरत नहीं. ठीक है.	అవసరం లేదు. బాగానే ఉంది.
-शुकरिया, डॉकटर. -हाँ.	-ధనయవాదాలు, డాకటర. -ఆ.
मेलनी!	మెలని!
मेलनी.	మెలని.
कैरमेल. . .	కారమెల. . .
मेलनी.	మెలని.
मेल.	మెల.
चलो. इसे फेंक देता हूँ.	రా. ఇది పారేసతాను ఇవవు.
तुम बाहर जाओगी तो अचछा रहेगा.	బయటకు వెళితే నీకు బాగుంటుంది.
ठीक है.	మంచిది.
उनहें लगा मुफत का टॉयलेट पेपर और खाने के बदले मैं उनकी देनदार हूँ.	తను ఇచచే టాయిలెట పేపర ఇంకా తిండికి నేను రుణపడడానని అనుకుంటుందేమో.
पता है तुम शहर में नए हो, तुमने खेल के बारे में शायद सुना होगा,	నువవీ ఊరికి కొతతగా వచచిన వాడివని తెలుసు, ఆట గురించి వినే ఉంటావు,
पर अगर हम साथ मिलकर खेलें, तो एक की जीत मतलब दोनों की जीत होगी.	కానీ మనం కలిసి పనిచేసతాం, మనలో ఎవరు గెలిసినా ఇదదరూ గెలిచినటటే.
नियम याद रखना. गाली देना, थूकना, मारना या रोना मना है.	నియమాలు గురతుననాయిగా. తిటటడం, ఊయడం, కొటటడం, ఏడవడం వదదు.
अब जज लोग हमें जानते हैं, तो कया हम पर नजर रखे होंगे?	మనం ఎవరో నయాయనిరణేతలకు తెలుసు, మనలని గమనిసతుంటారంటావా?
मेरा इरादा झूठ कहने का नहीं था. न ही कूदने का था.	నేను అబదధం చెపపాలనుకోలేదు. అసలు దూకాలనే అనుకోలేదు.
हेदर, तुमहारा समय शुरू होता है, तीन, दो, एक. . .	హేథర, నీ సమయం మొదలవుతుంది, మూడు, రెండు, ఒకటి. . .
कुछ बचचों को पकडा है जो कल रात पैनिक खेल रहे थे.	నినన రాతరి కొంతమందిని పానిక ఆడుతుండగా పటటుకుననాం.
पर आप यहाँ मेरे बारे में बात करने नहीं आईं हैं.	కానీ మీరు ఇకకడకు నా గురించి మాటలాడటానికి రాలేదు.
-अभिनय कलास भी है. -अभी गरेजुएशन पूरा किया है.	-వాటిలో నటన నేరపుతారు. -నా డిగరీ ఇపపుడే అయింది.
लैंगली की मदद से, उसी को हम हिरासत में रख पाए.	ఆమెను మాతరమే పటటుకోగలిగాము, లాంగలీకి ధనయవాదాలు.
कयोंकि मेरे बचत खाते में 17. 26 डॉलर बचे हैं.	ఎందుకంటే నా సేవింగస ఖాతాలో 17. 26 డాలరలుననాయి.
चुनौती नंबर दो, वॉक द पलैंक में आपका सवागत है.	సవాలు నంబరు రెండుకు సవాగతం, అది చెకకపె నడవడం.
देखो, हेदर, मैंने लाइबरेरी में जो कहा था. . .	చూడు, హేథర, నేను నీతో లెబరరీ దగగర అననది. . .
उनसे शुरू करते हैं जिनकी जीतने की संभावना है.	గెలుసతారని అనుకునన ఆటగాళళ నుండి మొదలుపెడదాం.
-मेरी किसमत अचछी है. -जयादा कसा लगे तो बताना.	-అదృషటవంతురాలిని. -బాగా బిగుతుగా ఉంటే చెపపు.
समझा. दवाओं की दुकान पर ही काम करना चाहती हो.	అరథమయింది. నీకు ఫారమసీలోనే పని చేయాలని ఉంది.
अगर कोई काम हो तो, अपना रेजयूमे छोड सकती हो.	ఏమెన ఖాళీలు ఉంటే చెబుతాను, నీ రెసయూమే ఇవవు.
-तुमसे मुकाबला नहीं करना चाहती थी. -पता है.	-నీతో పోటీ పడాలని ఎపపుడూ అనుకోలేదు. -తెలుసు.
डरू, तुमहारा समय शुरू होता है, तीन, दो, एक.	డరూ, నీ సమయం మొదలవుతుంది, మూడు, రెండు, ఒకటి.
तो, हमें पता है कि अगली चुनौती कहाँ होगी.	అయితే, తరువాతి సవాలు ఎకకడో మనకు తెలిసింది.
-वह बात करने को तैयार है. -कौन सैरा मिलर?	-ఆమె మాటలాడటానికి సిదధం. -సారా మిలలర ఎవరు?
-यह भी कि हद से जयादा. . . -असली बात करो.	-అది చాలా కఠినమెనదని. . . -సూటిగా చెపపు.
और गरमियाँ शुरू हो चुकी हैं, और, अफसोस,	వేసవికాలం మొదలయింది, ఇంకా దురదృషటవశాతతు,
पता होना चाहिए था कि बेवजह नहीं करोगी.	ఏదో కారణం ఉండుంటుందని తెలుసుకోవాలసింది.
वही हमेशा वाली बात. आधे अकषर गिर भी गए.	విచితరం. సగం అకషరాలు ఇపపటికే తీసేశారు.
ये बचचे घूम-घूमकर सुराग ढूँढ रहे हैं?	ఈ పిలలలు సంకేతాల కోసం అంతా తిరుగుతారా?
मुझे छोड, कुतिया. मैंने कुछ नहीं किया.	ననను వదులు, పిచచిదానా. నేనేం చేయలేదు.
-मेरा इरादा. . . -नहीं, कोई बात नहीं.	-నా ఉదదేశయం అది కాదు. . . -లేదు, చూడు.
और पसंद की चुनौती से छुटकारा मिलेगा.	కోరుకునన సవాలు నుండి తపపుకునే అవకాశం.
मेरा यह मतलब नहीं था कि पैनिक नहीं जीत सकती. मैं आमतौर पर कह रहा था.	నా ఉదదేశయం పరతయేకించి నువవు పానిక గెలవలేవని కాదు. మామూలుగా అననాను.
रचनातमक परयवेकषक रवीनदर शंकर शुकल	కరియేటివ సూపరవెజర రాజేశవరరావు వలవల
बीच के अकषरों से एक शबद बनता है.	ఆ పోయిన అకషరాలతో ఏదో పదం వసతుంది.
चूहों से कितना किराया लेते होंगे?	వాళళు ఎలుకలకు ఎంత అదదెకు ఇచచారు?
हर खिलाडी कुछ न कुछ छुपाता है.	పరతి పలేయర ఏదో ఒకటి దాసతుంటారు.
-मिस निल! -पीछे आओ! अचछा, चलो.	-మిస నిల! -వెనుకకు రా! సరే, పద.
जज लोग खेल की तैयारी करते हैं?	నయాయనిరణేతలు ఆటను పలాన చేసతారా?
नहीं, ऐसा तो नहीं है. बस. . .	లేదు, నిజానికి లేదు. నేను. . .
टैको बेल में सहायक मैनेजर हूँ.	టాకో బెలలో అసిసటెంట మేనేజరను.
वह तुमहारी पककी दोसत थी, है न?	ఆమె నీ పరాణ సనేహితురాలు, కదా?
-कितना रूमानी है. -आज रात. . .	-పరణయ భావన. -లేదు, రాతరి. . .
सटैन, सटैनली, सटैनटन, सटैनसन और सटैनर का नंबर और पता निकाले.	ఊరిలో పరతి సటాన, సటానలీ, సటాంటన, సటానసన ఇంకా సటానర పేరలవి.
फिर तो वह तुमहारी पसंद का हुआ.	అయితే నీకు నచచి ఉంటాడనుకుంటా.
-हर साल. -तुमसे पयार है, जान.	-పరతి ఏడాది. -ఐ లవ యూ, బంగారం.
चारों तरफ से मिलती हैं. मुफत में मेरी गोदी में बैठती हैं.	నాకు పరేయసులు అంతటా దొరుకుతారు. ఉచితంగా నా ఒళళో కూరచుంటారు.
तो, गरेजुएशन पूरा हो चुका है	అయితే, గరాడయుయేషన అయిపోయింది,
पता यह करना है शुरू कब होगी.	మనం పరారంభ సమయం తెలుసుకోవాలి.
लोग वहाँ दोसती करने जाते हैं.	జనం అకకడేగా అందరినీ కలిసేది.
सतरह साल के, नौजवान और पयार में थे, कॉलेज जाने वाले थे.	పదిహేడేళళ, యువతీయువకులు, పరేమలో ఉననారు, కాలేజీకి వెళళారు.
सोचते हो मैं जीत नहीं सकती.	గెలవలేనని అనుకుంటుననావు. . .
रेजयूमे की कॉपी बनाने के बाद मुझे लिंकस पर छोड दोगे?	నా రెసయూమే కాపీలు తీసుకుననాక, లింకస దగగర వదిలిపెడతావా?
देखो, पैनिक बकवास है, हेदर.	చూడు, పానిక ఒక చెతత, హేథర.
पर, अगर और कुछ पता चले तो,	సరే, నీకు ఇంకేమెనా తెలిసతే,
मारच में आपके दोसतों से कहा था कि मुझे कुछ नहीं कहना.	మారచిలో మీ సనేహితులకు, చెపపేందుకు ఏం లేదని చెపపాను.
हवाई अडडे पर काम करती हूँ.	విమానాశరయంలో పని చేసతాను.
तुम मुझे अचछे लगे. सच में.	నాకు నువవు నచచావు. అవును.
अगर तुम खेल खेलोगी तो नौकरी ढूँढने का कया फायदा?	నువవు ఆట ఆడాలనుకుననపపుడు ఉదయోగం కోసం చూడడం దేనికి?
मैं इसे हाँ समझ लेती हूँ.	అది అవునని భావిసతుననాను.
फिर भी यंग 50-50 लगता है.	నేను యంగకు 50-50 ఇసతాను.
और एक-दूसरे का आकलन करने.	అభిపరాయాలు ఏరపరచుకునేది.
तकलीफ या तनाव में, शारीरिक ताकत वाली चुनौतियाँ.	నొపపి లేదా ఒతతిడితో కూడుకునన శారీరక దృఢతవ సవాళళు.
उसने मेरे फोन का जवाब नहीं दिया. दो दिन हो गए.	తను నా ఫోన ఏదీ ఎతతడం లేదు. రెండు రోజులు అయయింది.
-समझदार इंसान. -धयान से.	-తెలివెనవాళళు. -జాగరతత.
डॉज मेसन. रहसयमय इतिहास,	డాడజ మేసన. రహసయమెన గతం,
जब मैं जंप से कूदा, तब मैं 25 अंकों के योगय था.	నేను జంపలో 25 పాయింటలు గెలిచినపపుడే అరహుడిని.
फिर हम पैसे बाँट लेंगे.	డబబు ఇదదరం పంచుకుందాం.
मैं काम पर जा रहा हूँ.	నేను పనికి వెళుతుననాను.
कहीं दिख नहीं रहा. शायद उसने चिहन नहीं देखा.	నాకు అతను కనిపించడం లేదు. సంకేతం చూసుకోలేదేమో.
वहाँ तक, पापा. वहाँ तक.	దూరంగా వెళళండి. నాననా.
-पर बो अपनी शिफट के बाद हमें लेने आएगा. -बाय.	-బో తన షిఫట అయయాక మనలని తీసుకెళుతుంది. -బె.
आप बेवकूफी भरे फैसले लेते हैं या समझदारी भरे.	పిచచి లేదా మంచి అవకాశాలను ఎంపిక చేసుకోవచచు.
ऐबी कलारक ने लिया था.	కానీ ఆబీ కలారక ఆడింది.
सब कुछ सामानय लगता है.	అంతా మామూలుగానే ఉంది.
वह दुससाहसी है, निडर है, दरद से नहीं डरता.	నిరలకషయంగా, నిరభయంగా ఉంటాడు, నొపపికి భయపడడు.
वह अभी भी रेस में है! डॉज अभी भी खेल में है!	రేసులో ఉననాడు! డాడజ మేసన ఇంకా ఆటలో ఉననాడు!
-कम से कम वे कोशिश कर रहे हैं. . . -जज लोग?	-వాళళు పరయతనిసతుననారు. . . -నయాయనిరణేతలా?
वह आ गया. शायद मुझे जाकर हैलो कहना चाहिए.	అతను వచచాడు. బహుశా నేను వెళళి పలకరించాలేమో.
तुम इतनी समझदार हो कि उसमें नहीं पडोगी न?	నువవు అందులో పాలగొనేంత తెలివెన దానివి, కదా?
अरे, मैंने पकड लिया.	హే, నేను పటటుకుంటాను.
हैलो. मायरा कैंपबेल?	హాయ. మెరా కయాంపబెలవా?
वहीं तो देख सकते हैं.	చూసేందుకు ఉననది అదే.
-ए, तुम ठीक हो? -हाँ.	-బాగానే ఉననావా? -హా.
केटलिन मिलर याद है? सैरा उसकी छोटी बहन है.	కేటలిన మిలలర గురతుందా? సారా ఆమె చెలలెలు.
-बस साँस लो. चलो. -खतम हो जाए तो बताना.	-ఊపిరి తీసుకో. వెళళు. -అది ముగిశాక చెపపు.
जनमदिन की मुबारकबाद देना चाहता हूँ. . .	పుటటిన రోజు శుభాకాంకషలు తెలపాలి చాలా. . .
जी-आर-ए-एन-ए-आर-वाई.	జీ-ఆర-ఏ-ఎన-ఏ-ఆర-వె.
-अरे, बाप रे. -अचछा.	-అయయో దేవుడా. -సరే.
वह खेल भी जिसे बचचे "पैनिक" कहते हैं.	పిలలలు "పానిక" అని పిలిచే ఆట మొదలయింది.
मुझे एक फोन कर दोगी? बडी मेहरबानी होगी.	నాకు ఫోన చేసతావా? అందుకు సంతోషిసతాను.
बकीज में कोशिश की?	బకీసలో పరయతనించావా?
मेरी तरफ मत देखो. मुझे साथी नहीं बनना.	నావెపు చూడకు. నేను సహాయకుడిగా ఉండను.
और रे हॉल ने 17 सेकंड में पार कर लिया,	ఇంకా రే హాల దానని 17 సెకనలలో దాటాడు,
मुझे शुभकामनाएँ दो.	మంచి జరగాలనుకోండి.
रुको. नहीं, हमें जोडना होगा. यह 14 है.	ఆగు. లేదు, మనం కలిపేసతుననాం. ఇది 14.
रात भर नंगा नाच करना है तो सकारलेटस में बुला रहे हैं.	నడడి చూపిసతూ కూరచోవాలనుంటే, సకారలెట కలబలో ఉదయోగాలుననాయి.
तो, बो और तुमहारी माँ फिर से साथ हैं?	అయితే, బో ఇంకా మీ అమమ మళళీ కలిశారా?
अब वे मर चुके हैं.	ఇపపుడు చనిపోయారు.
मैंने सुना कि तुम काम माँग रही थी?	అకకడ ఉదయోగం కోసం అడుగుతుంటే విననాను?
साथ में सोओगी कया?	మీరు కలిసిపోయారా?
आज मेरी छुटटी है.	ఈ రోజు నాకు సెలవు.
उसकी बात नहीं की.	తన గురించి అనలేదు.
अचछा, दाँत दिखाओ. रकून की तरह नहीं, जिमी. मुसकुराओ.	సరే, నీ పళళు చూపించు. చెవుల పిలలిలా కాదు, జిమమీ. నవవు.
वह कबायली टैटू कमजोरी की निशानी है.	ఆ గిరిజన పచచబొటటు బలహీనతకు చిహనం.
-कोरटेज! गोंजालेस! शावेज! -धत तेरी.	-కోరటెజ! గంజాలెస! చవేజ! -అయయో, ఛ.
-तुमसे पयार है. -हे भगवान. छोडो भी.	-మాకు నువవుంటే ఇషటం. -అబబా. రండి.
हाल में, गरेनरी में कोई संदेहजनक गतिविधि देखी गई?	ఈమధయ ధానయాగారం దగగర ఏదెనా అనుమానాసపదంగా కనిపించిందా?
-तो मुझे छोड देना चाहिए? -खिलाडी ऐसा करते रहते हैं.	-నేను వదిలేయాలి అంటుననావా? -ఆటగాళళు అలా చేసతారు.
जिसने भी आतिशबाजी की, वे चाहते थे कि हम बेवकूफों की तरह ढूँढते रहें.	ఎవరెతే ఆ బాణసంచా కాలచారో, వాళళు మనలని దారితపపించాలని అనుకుననారు.
और वह बडी मसत है.	ఆమె చాలా మంచిది.
मैं खयाल रखूँगा.	సుననితంగా ఉంటాను.
शुरुआत का समय है.	ఇది పరారంభ సమయం.
उसका भाई हंट उसे तैयार कर रहा है.	ఆమె సోదరుడు హంట ఆమెకు శికషకుడు.
मुझे पता था तुम बेवकूफ हो, पर तुमहारी इस बात से सब साफ हो गया.	నువవు మూరఖుడివని తెలుసు, కానీ నువవిపపుడు అననది అది ఎతతి చూపుతుంది.
ए, आराम से! यह कोई मजाक है कया?	హే, శాంతించండి! ఇపపుడు పరాచికాలా?
आमतौर पर, चुनौतियाँ अलग-अलग शरेणियों में आती हैं.	సవాళళు సాధారణంగా కొనని విభినన వరగాలుగా ఉంటాయి.
पिछले साल, इस शहर ने हमसे हमारे दो बचचे छीन लिए,	గత ఏడాది, ఈ ఊరు మన పిలలలు ఇదదరిని మింగేసింది,
ए, मैं ही कयों?	హే, నేను ఎందుకు?
माँ ने मेरे सकूल के पैसे ले लिए.	మా అమమ నా సకూల డబబు తీసుకుంది.
सारजेंट लैंगली. मैं अंदर आ जाऊँ?	సారటెంట లాంగలీ. లోపలకు రావచచా?
शुकरिया, मायरा.	ధనయవాదాలు, మెరా.
कहाँ घूमते हैं.	ఇంకా గడిపే చోటు.
छोडिए भी, पापा.	ఊరుకోండి, నాననా.
उसे पूछताछ वाले कमरे में बिठाओ. मैं संभाल लूँगा.	ఆమెను ఇంటరాగేషన గదిలో ఉంచు. నేను చూసుకుంటాను.
-. . . आपके पयार ने मैकरोनी सलाद बनाया. -यह रही. यह रही ऐबी.	-. . . మాకరోనీ సలాడ చేసింది మీ పరియమెనది. -అదిగో వచచేసింది. ఆబీ.
शामिल होने के लिए, सभी को 100 अंक मिलते हैं,	పోటీదారులందరికీ చేరినందుకు 100 పాయింటలు వసతాయి,
यह बाहर है, यार. घोंघे भी इससे तेज चलते हैं.	ఆమె తొలగిపోతుంది. నతతలు అంతకంటే వేగంగా వెళతాయి.
और बहुत कम जीतने के योगय हैं.	అందులో కొందరే విజయానికి అరహులు.
ये बचचे लकडबगघों की तरह एक-दूसरे को बचाते हैं,	ఈ పిలలలు, ఒకరినొకరు హెనాలలాగా కాపాడుకుంటారు
हर खिलाडी की एक कहानी होती है.	ఆడే పరతివారికి ఓ కథ ఉంటుంది.
-उससे फिर बात करते हैं. -अचछा.	-ఆమెతో మళలీ మాటలాడదాం. -సరే.
मुझे नहीं करना.	నేను పాలగొనను.
तुम कर सकती हो!	నువవు చేయగలవు!
हम सब किसी बात से डरते हैं.	మనందరం ఏదో ఒక దానికి భయపడతాం.
और किसी को कीमत चुकानी पडेगी.	ఎవరో ఒకరు మూలయం చెలలించాలి.
सभी अपनी-अपनी जगह पर खडे रहो.	ఎకకడ ఉననవాళళు అకకడే ఉండండి.
अब, एक बात तो साफ है. यह खेल सुवयवसथित है.	ఇక, ఒకటి మాతరం సపషటం. ఈ ఆట ఏరపరచబడింది.
तो, यह कया है? किसी चीज की तलाश हो रही है?	అయితే, ఇది ఏంటి? వసతువులను పోగుచేసే ఆట?
जरा ढोल बजाइए.	ఢంకా వాయించు.
डॉज माहिर है!	డాడజ నిపుణుడు!
मुझे माफ करना.	ననను కషమించు.
शरत लगाकर कहती हूँ कि आज रात की चुनौती एक चौराहा होगा.	ఈ రాతరి సవాలు దాటడం ఉంటుందని ఎంతెనా పందెం కాసతాను.
सैरा मिलर अभी भी यहीं है.	సారా మిలలర ఇంకా ఇకకడే ఉంది.
पूरी सातवीं कलास में यहाँ चढकर परजीवियों के रेडियो सिगनल ढूँढते थे.	ఏడో తరగతి మొతతం గరహాంతర రేడియో సిగనళల కోసం ఆకాశమంతా గాలించాము.
गरेजुएट होने वाले सभी सीनियर हिससा ले सकते हैं, है न?	డిగరీ సీనియరలు అందరూ ఆ ఆట ఆడటానికి అరహులు, అవునా?
शैतान के पास.	సెతాను పకకన.
-तुमहें बता नहीं सकता. -उतना डरावना है?	-నీకు అది చెపపలేను. -అంత భయంకరమెనదా?
लकडबगघे, जॉन.	హెనాలు, జాన.
-खूबसूरत. -बहुत खूबसूरत.	-అందమెనది. -చాలా అందమెనది.
उसे जानता हूँ. ऐबी की पककी दोसत थी.	నాకు మెరా తెలుసు. ఆమె ఆబీ సనేహితురాలు.
रे हॉल. हर किसी को इसी से उममीद है.	రే హాల. అందరూ అతనిపె పందెం కాసతుననారు.
यह आमतौर पर अजनबियों से दोसती नहीं करता. तुमहें कुतते पसंद हैं.	అపరిచితులతో అది అంత సనేహంగా ఉండదు. కుకకలు నినను మెచచుతాయి.
तुमने तो हद ही कर डाली.	నువవు నిజంగా మించిపోయావు.
यहाँ से न निकल पाने का.	ఇకకడనుండి బయటపడలేనేమోనని.
न बताने की कसम खाई थी.	ఎవరికీ చెపపనని ఒటటేశాను.
अचछा. लडकों और लडकियों, बंदे और बंदियों, रे,	సరే. అబబాయిలు మరియు అమమాయిలు, పాపలు, బాబులు, రే,
आज रात, घटाव से अंकों का हिसाब होगा.	ఈ రాతరి, పాయింటల తీసివేత ఉంటుంది.
अरे, साला, रे! मैंने तखता नहीं तोडा!	పోరా, రే! నేను చెకక విరగగొటటలేదు!
हाँ! तो रोमन लोग संखयाओं के लिए अकषरों का इसतेमाल करते हैं.	అవును! అయితే రోమనలు సంఖయా వయవసథకు అకషరాలు ఉపయోగించారు.
बेवकूफी वाले फैसलों की यही तो बात है, उनहीं में मजा आता है.	మూరఖపు నిరణయాల విషయంలో అంతే, అవి ఎపపుడూ సరదాగా ఉంటాయి.
जब वहाँ गई, तो मुझे लगा करना ही है.	అకకడ పెకి ఎకకాక, దూకాలనుకుననాను.
पर फोन पर काफी परेशान लग रही थी.	కానీ ఆమె ఆ కాలసతో కలత చెందినటటుంది.
बकवास है, और खतरनाक है, और पिछले साल दो बचचे मारे गए.	అది చెతతది, పరమాదకరమెనది, గత ఏడాది ఇదదరు పిలలలు చనిపోయారు.
इसे हमने बनाया, हम चलाते हैं, और हम इसे राज रखते हैं.	అది మేము తయారుచేసి, మేమే నడుపుతాం, దానని రహసయంగా ఉంచుతాము.
-अलग कर दी जाओगी. . . -तुमहें यही लगता है?	-నినను పకకనపెటటేసతారు. . . -అలా అనుకుంటుననావా?
नीचे रहो. दाहिना हाथ.	కిందకు ఉండు. కుడి చేయి.
-ठीक हो? -हाँ, ठीक हूँ.	-సరేనా? -బాగానే ఉంది.
इसने उसे हाथ में बीयर लिए और चरस लिए पकडा.	చేతిలో బీరు ఇంకా 10 డాలరల గంజాయితో పటటుకుననాం.
टेकसस के महान राजय में.	గొపప టెకసాస రాషటరంలో.
विलियमस, शायद मुझे कुछ पता चला है.	విలియమస, నాకు ఒకటి కనిపించింది.
हैलो, पापा.	హే, నాననా.
किराया फिर से बाकी है?	మళళీ అదదె బాకీ ఉందా?
अरे, रिगली.	ఓహ, రిగలీ.
-करना चाहोगी? -सच में?	-చేసతావా? -నిజంగానా?
कॉनरैड सपरलॉक फलोरिडा चला गया.	కనరాడ సపరలాక ఫలోరిడా వెళళిపోయాడు.
वे आगे और बेवकूफी भरे फैसले करते चले गए.	వాళళనింకా మూరఖులను చేసే అవకాశాలు కలపించింది.
आखिरी, पर दमदार खिलाडी, नया बचचा.	చివరదానికి ముందు, కొతత అబబాయి.
-रुको, डिगिनस. -चलो!	-ఆగు, డిగగినస. -వెళళు!
तंदूरी खाना बनाने में माहिर होना एक बात है और निरदेशक होना दूसरी.	నాలో మంచి విషయం బారబెకయూ బాగా చేయడం, బారబెకయూలో నిపుణుడిని.
-हाँ. -मुझे अपने खेतों में मदद की जरूरत है.	-అవును. -మా పొలంలో కొంచెం సహాయం కావాలి.
जब पता चला, तो मुझे कुछ सूझ ही नहीं रहा था.	నాకు తెలిసేసరికి, నాకు ఏమీ అరథం కాలేదు.
डिजाइन में काफी गडबड है, पुराने रसायन पीपे,	పరధాన నిరమాణ పరమాదం, పాత రసాయనక పీపాలు,
-तुमने ऐसा कभी नहीं कहा. -यार, बैठ जाओ.	-నువవు అది ఎపపుడూ చెపపలేదు. -అమమాయి, కూరచో.
शायद गरेनरी में ही पता चलेगा.	బహుశా ధానయాగారంలో దొరుకుతుందేమో.
जब तक आप एक को अलग नहीं कर लेते,	వారిలో ఒకరిని వేరు చేసతే తపప,
रूसी रूलेट का खेल खेलते हुए, जिमी ने खुद को मार डाला.	జిమమీ రషయన రూలెట ఆట ఆడుతూ తనని తాను చంపుకుననాడు.
अचछा है कि एडम लायनस है. वह किसी काम का नहीं है.	ఆడం లెనస ఉండడం మంచిదే. నిజానికి అతను తెలివిలేని వాడు.
वैसे, मेरा नाम ऐन है.	అననటటు, నా పేరు ఆన.
-हाँ. -वह मेरा ही है.	-తెలుసు. -అది నాదే.
-कि तुम जीत नहीं पाओगी. . . -कोई बात नहीं.	-నువవు గెలవలేవని అననది. . . -పరవాలేదు.
-धत तेरी. -डरू, तुम कर सकते हो!	-ఛ. -డరూ, నువవు ఇది చేయగలవు!
पर खुलकर कभी उनके बारे में बात नहीं करते.	కానీ అవి మనం ఎపపుడూ బయటకు చెపపలేనివి.
परेरणा, मालूम नहीं, कमजोरी, पता नहीं.	పరేరణలు, తెలియదు, బలహీనతులు అనిశచితమెనవి.
तुमहारी भलाई चाहता हूँ. तुम जानती हो.	నీకు ఉతతమమెనది కోరుకుంటాను. నీకది తెలుసు.
जरूर. सभी खिलाडियों की जानकारी और कैसे मिलेगी?	తపపకుండా. వాళళకు ఆటగాళళ సమాచారం ఎలా తెలుసతుంది మరి?
खास कुछ नहीं, पर मैं नकद रुपये देती हूँ.	అందమెనది కాదు, కానీ డబబు చెలలిసతాను.
कया मतलब?	అంటే ఏంటి?
कभी-कभी कहीं और जाकर पीती हूँ.	ఒకకోసారి వేరే చోట తాగుతాను.
ईसा के कटटर विरोधी का धोखा.	అలుపెరగని కరీసతు వయతిరేక వంచన.
वह लूक हॉल के साथ गाडी चुराता था. एक लडकी को मारा.	లూక హాలతో కారలు దొంగలించాడు. అమమాయిని చంపారు.
मैं कहने वाली थी कि उसे पैसे नहीं चाहिए.	అతనికి డబబు అవసరం లేదని చెబుతుననాను.
-नहीं, यार. नहीं. -ओह, लैंगली. यहाँ.	-వదదు, మితరమా. వదదు. -ఓహ, లాంగలీ. ఇదిగో.
डॉज मेसन!	డాడజ మేసన!
-सभी किसी न किसी चीज से डरते हैं. -अचछा?	-అందరిలో ఏదో ఒక భయం ఉంటుంది. -అవునా?
वह कैसा इंसान होगा जिसका सोशल मीडिया अकाउंट नहीं?	సామాజిక మాధయమాలలో ఖాతా లేనివారు ఎవరు ఉంటారు?
