जैज. जैज 124.	జాజ. జాజ 124.
नियंतरण केंदर की जिममेदारी अभी भी मेरी ही है.	ఈ మొతతం నియంతరణా కేందరం ఇంకా నా అదుపులో ఉంది.
लीसा.	లీసా.
काफी तेजी से आ रहा है.	అతను వేగంగా వసతుననాడు.
इसमें मेरी मदद करो.	ఈ విషయంగా సాయం చెయ.
जी हाँ. मैं पूरा समय आपके साथ हूँ.	అది నిజమే. మీరే దిగేంతదాకా ఉంటాను.
मुझे सह पायलट चाहिए.	నాకొక సహపెలెట అవసరం.
-पूछिए अगर ऑटोपायलट पर है. -एन-नौ-डी-डबलयू,	-అతను ఆటోపెలెట వాడుతుననాడా? -ఎన-9-డీ-డబలయూ,
जमीन नहीं दिख रही, सिरफ समंदर है. सही दिशा में हैं?	నేల కనపడటం లేదు, సముదరం మాతరమే. సరిగగా వెళుతుననామా?
कया दिख रहा है?	ఏం కనిపిసతోంది?
इतनी जलदी हार नहीं मानेंगे.	సులువుగా అవరోహణ చేయడం లేదు.
नौ-डी-डबलयू, अवतरण के लिए कोई चेकलिसट है?	9-డీ-డబలయూ, విమాన దింపివేత పనిపటటిక ఉందా?
अभी नहीं. बहुत जलदी है. जलदी है.	ఇపపుడే వదదు. వేగంగా వెళుతుననాడు.
आप बताइए कि कब उतारना है. मुझे धीमा करने में मदद कीजिए.	ఎపపుడు దించాలో చెపపండి. దీనని నెమమదించడంలో సాయం చేయండి.
आपके पास कितना ईंधन है?	మీ దగగర ఎంత ఇంధనం ఉంది?
-ईंधन यहाँ है. -आपको बता दें, काफी ईंधन है.	-ఇంధనసూచిక ఇకకడుంది. -మాకు చాలా ఇంధనం ఉంది.
अचछा, पर वह अब कहाँ है?	సరే, ఇపపుడు ఎకకడుననాడు?
-अचछा, वह कहाँ है? -5, 300 फुट पर.	-సరే, ఎకకడుననాడు? -5, 300 అడుగులు.
नौ-डी-डबलयू, शूनय-छह-शूनय पर बायें मुडें.	9-డీ-డబలయూ, 0-6-0 దిశకు ఎడమ వెపు తిరగండి.
-मैं करती हूँ. -उसे लगाओ.	-అది చేసతా. -దానని పెటటు.
बादल काफी करीब आ रहे हैं.	మేఘాలు దగగరికి వసతుననాయి.
आपको 160 नॉटस की रफतार दिखा रहा हूँ.	నీ వేగం గంటకు 294 కిలోమీటరలుగా ఉంది.
मैं इसे रनवे पर नहीं रोक सकता. मोड लेता जा रहा है.	నేను దీనని రనవేపె ఉంచలేకపోతుననా. అది కదిలిపోతోంది.
तिरछी हवा.	ఎదురుగాలి.
तिरछी हवाएँ.	ఎదురుగాలులు.
डैन!	డాన!
हालत बिगड रही है. मैं इसे रोक नहीं पा रहा! मुझे मदद चाहिए!	ఇది దారుణంగా ఉంది. దీనని అదుపు చేయలేకపోతుననా. సాయం కావాలి!
कया कर रही हो?	ఏం చేసతుననావు?
विमान संखया की मदद से विमान और पायलट का पता लगा सकते हैं.	విమానానని, పెలెట జాడ కనుకకోవడానికి మనం విమానసంఖయ వాడవచచు.
एफएए डेटाबेस.	ఎఫఏఏ డేటాబేస.
डग?	డగ?
डग!	డగ!
डग?	డగ?
हम कर सकते हैं?	మనం చేరుకోగలమా?
डग?	డగ?
हैंडल को दायीं ओर घुमाइए. रनवे को बीच में रखिए.	నీ పిడిని కుడికి తిపపు. రనవే నీకు మధయలో ఉంచుకో.
-आमीन. -आमीन.	-ఆమెన. -ఆమెన.
थरॉटल को पीछे लीजिए. धीरे से.	థరాటల కాసత తగగించు. నెమమదిగా.
कोई जवाब नहीं है.	జవాబు ఇవవటం లేదు.
हे ईशवर,  अपने परिवार को बचाने में मेरी मदद करो.	దేవుడా, దయచేసి, నా కుటుంబానని రకషించడంలో సాయపడు.
छोडिए, डग! छोड दीजिए!	పోనివవు, డగ! పోనివవు!
हमने कर लिया.	మనం సాధించాం.
हमने कर दिखाया.	మనం చేరుకుననాం.
हमने कर लिया.	మనం సాధించాం.
हमने कर लिया.	మనం సాధించాం.
"एन-5-5-9-डी-डबलयू. "	"ఎన-5-5-9-డీ-డబలయూ. "
अब तो और भी जयादा.	ఎపపటికననా ఎకకువగా.
अगले हफते शुरू करना है.	తరవాతి వారం మొదలుపెటటు.
जहाँ तुमहारा मन हो.	ఎకకిడికంటే అకకడికి.
हिसाब चुकाने आया हूँ.	నా ఖాతా ముగించడానికి.
लिंडा.	లిండా.
तुमहारा फोन नहीं लग रहा.	నీ ఫోన డిసకనెకట అయయింది.
{\an8}चबुक	{\an8}కబాక
मिस विनफरी खुद आपको नयोता देना चाहेंगी. . .	మిస వినఫరే మీకు వయకతిగత ఆహవానం ఇవవాలని. . .
ईसटर 2009 पर फोरट मायरस नियंतरण केंदर में बरायन नॉरटन	ఫోరట మయరస నియంతరణా కేందరంలో ఈసటర 2009 పెలెట అనుభవం కల
और उसके साथ रात साँझा करने.	ఈ రాతరి తనతో పంచుకోవడానికి.
मैंने कहा था, यार.	చెపపా కదా, మితరమా.
{\an8}ऑन अ विंग एंड अ परेयर	{\an8}ఆన ఏ వింగ అండ ఏ పరేయర
ईसटर 2009 के उस विनाशक दिन के बाद डैन फावियो का फोन दोबारा कभी नहीं चला	ఈసటర 2009 దురదృషటకర రోజు తరవాత డాన ఫావియో సెలఫోన మళళీ ఎపపుడూ పని చేయలేదు
जयादा से जयादा, हवाई अडडे के आठ किलोमीटर के दायरे में कोई नहीं मरेगा.	ఉతతమ అవకాశం, అతను విమానాశరయం చుటటూ 8 కి. మీ. పరిధిలో ఎవరిని చంపకపోవడం.
टेरी वहाइट और उनके बडे परिवार के लिए छुटटियों का समय बहुत ही कीमती है	టెరరీ వెటకు, ఆమె విసతృత కుటుంబానికి కుటుంబ సెలవులు చాలా విలువెన కషణాలు
पतवार और सटीयरिंग समनवित रखिए.  हवा के साथ बहिए. उसके खिलाफ मत जाइए.	ఎయిలరానసను, రడడరసను సమనవయపరుచుకో.  గాలితో పాటు నడుపు. దానితో పోరాడకు.
हवा की रफतार है! उनके उतरने से पहले ही हवा उनहें रनवे से धकेल देगी!	ఇది గాలి తోపుడు! విమానం దిగే లోపు గాలి రనవే నుండి పకకకు నెడుతుంది.
{\an8}मारशा चबुक के परिय पति करनल जो गराइस चबुक जूनियर की याद में	{\an8}కలనల జో గరెస కబూక జూనియర సమతిలో మారషా కబాకకు పరేమపూరిత భరత
पापा को तुम पर नाज होता. मुझे नहीं लगा था कि इतना कुछ कर पाओगे.	నానన నినను చూసి గరవిసతాడు. నువవు ఇంతకాలం జీవిసతావని అనుకోలేదు.
{\an8}जहाँ वे अकसर उडान भरते हैं और अपनी एक जिंदगी बना ली है	{\an8}తరచూ విమానాలు నడుపుతూ జీవితానని కలిసి నిరమించుకుననారు
वह कभी नहीं कर पाएगा. इस विमान और सेसना में काफी अंतर है.	ఎపపటికీ దించలేడు. ఈ విమానానికి, సెసనాకు ఎంతో వయతయాసం ఉంది.
वे उसे यहाँ फोरट मायरस ला रहे हैं. वे उसे यहाँ ला रहे हैं!	అతనని ఫోరట మయరసకు తీసుకొసతుననారు. ఇకకడికి తీసుకొసతుననారు!
मुझे बरायन से कोई सवाल पूछना होता था.  बरायन डैन से पूछता.	నాకు పరశన ఉంటే బరయనను అడిగేవాడిని.  డానను బరయన అడుగుతాడు.
{\an8}नहीं, मैंने कभी सपैम और बरॉकोली कैसरोल नहीं खाया.	{\an8}అయయో, నేను ఇంతదాకా సపామ, బరొకోలీల కాసెరోల తినలేదు.
पिछले एक घंटे की हर रपट चाहिए. नई वाली आते ही मुझे देना.	జరిగిన గంటలో అనని నివేదికలు కావాలి. కొతతవి రాగానే ఇవవు.
-मैं हर बार. . . -परिवार के जाने से पहले उनहें बताने का	-నేనిలా చేయలేను. . . -నా కుటుంబానికి చెపపే అవకాశం రాలేదు
मैं समझ रही हूँ. तुम मुझे कभी करीब नहीं आने दोगे, है न?	ఏం జరుగుతోందో తెలుసు. ననను ఎపపటికీ లోనికి రానీయవు కదా?
पसलियाँ तैयार हैं. बरिसकेट में थोडा और समय लगता है.	పకకటెముకలు సిదధం. ఛాతీ మాంసానికి కాసత సమయం పడుతుంది.
जो, मैं अभी अपने भाई को दफनाकर आ रहा हूँ. मजाक नहीं.	జో, ఇపపుడే నా తమముడిని కోలపోయాను. ఇది తమాషాగా లేదు.
वे ठीक हैं. जमीन पर उतरेंगे तो और अचछा महसूस करेंगी.	వాళళు బాగుననారు. మనం నేలమీదకు చేరుకోగానే బాగుంటారు.
-इनहें संभालो, हम हारेंगे नहीं. -अचछा. संभालता हूँ.	-వాటిని సాధించు, ఎందుకంటే మనం ఓడిపోం. -సరే. అలాగే.
वह दकषिण-बटा-दकषिण पूरब में दकषिण की ओर बढ रहा है.	దకషిణ దిశకు, దకషిణానికి ఆగనేయానికి మధయ వెళుతుననాడు.
चलो. जब वह आए, तुमहें रनवे के पास नहीं होना चाहिए.	వెళదాం పదండి. అతను వచచేటపపుడు ఆ రనవే దగగర ఉండకూడదు.
-पहली परतिकरिया वाले गलत जगह पर हैं! -देखता हूँ.	-అతయవసర నిపుణులు తపపుడు చోట ఉననారు! -ఆ పని చూసతా.
-छोटी लडकी के लिए जोरदार है. -तुम कया पी रहे हो?	-చినన పిలలకి పెదద పానీయమే. -నువవేం తాగుతుననావు?
-टहलने जा रहा हूँ. -दो दिनों से खाना नहीं खाया.	-అలా నడకకు వెళతా. -నువవు రెండు రోజులుగా తినలేదు.
-देखो अगर कोई तसवीर मिलती है. -अचछा. देखती हूँ.	-మంచిది. ఏదెనా చితరం ఉంటే చూడు. -సరే. పరయతనిసతా.
जमीन नहीं, बस पानी दिख रहा है. समंदर के ऊपर हैं?	భూమి కనపడటం లేదు, కేవలం నీళళే. సముదరంపె ఉననామా?
फोन करो. हमें जयादा से जयादा पानी और झाग चाहिए.	చుటటూ సంపరదించు. మనకు వీలెనంత నీరు, నురగ కావాలి.
-उसके अलारम चालू हो गए. -उनहें छोडो. विमान उडाओ.	-అలారంలు మోగుతుననాయి. -లెకకచేయకు. విమానం నడుపు.
{\an8}मेरे अडडे पर फोन करो. टरैफिक दिख रहा है.	{\an8}నేరుగా వెళళు. టరాఫిక నా దృశయపరిధిలో ఉంది.
-इससे अचछा और कुछ नहीं हो सकता. -बेली, यहाँ आओ.	-ఇంతకంటే మెరుగెనది ఏమీ ఉండదు. -బెయిలీ, ఇలా రా.
शबदावली की माफी चाहूँगी. मेरे लिए सवाभाविक है.	సాంకేతిక భాషకు కషమించండి. నా సవభావంలో భాగం అది.
कैरी, सुनो. तुमहारी मदद चाहिए. मैं काम पर हूँ.	కయారీ, విను. నీ సాయం కావాలి. పని చేసే చోట ఉననా.
आगे बढ रहे हैं. बहुत अचछे से नीचे उतर रहे हैं.	ఒకే దిశలో వెళుతుననారు. చకకటి అవరోహణ చేసతుననారు.
-यह अभी हो रहा है? -हाँ, बस थोडा सा विलंब है.	-ఇది పరసతుతం జరుగుతోందా? -అవును, కాసత ఆలసయంగా.
अगर ऑटोपायलट को बंद कर दें, शायद चढाई रुक जाए?	మనం ఆటోపెలెట ఆపేసతే, అపపుడు ఆరోహణ ఆపేయవచచేమో?
एक दिन मैं एमिलिया इयरहारट की उडान खतम करूँगी.	అమీలియా ఎరహారట సాహస విమానయానానని పూరతి చేసతా.
मैं किसी अनजान आदमी को विमान पर मरते सुनूँगा.	ఒక అపరిచితుడి విమానం కూలడానని నేను వినబోతుననా.
आगे बढने के चलते मौसम परणाली की ओर जा रहा है.	పయన దిశ, అతనని వాతావరణ సమసయలోకి తీసుకెళుతోంది.
{\an8}और 20-25 मिनटों तक यह सिलसिला चलता रहा.	{\an8}అలా మేము 20 నుండి 25 నిమిషాల పాటు చేశాం.
मेरा चशमा नहीं है. फैरेनहाइट है या सेंटीगरेड?	నా కళళదదాలు లేవు. అది ఫారెనహెటా, సెంటీగరేడా?
रैलफ, सिर फटा जा रहा है. एक मिनट में आता हूँ.	రాలఫ, నాకు తలనొపపిగా ఉంది. కాసేపటలో వెళతాను.
हवाई टरैफिक नियंतरण से मेरी बातचीत सुन पाओगे.	నేను విమాన టరాఫిక కంటరోలతో మాటలాడటం వినొచచు.
-मैगी. -हम अचछे हैं. कोई पहचाने तो अचछा है.	-మయాగీ. -బాగా చేశాం. గురతింపు పొందడం మంచిది.
कह रही हैं,  "यह काफी छोटी है और यह काफी तंग	ఆమె అంటోంది,  "ఇది మరీ కురచ, ఇది మరీ బిగుతు
और हम एकसाथ उनमें से बच निकले. हम कर पाएँगे!	కలసికటటుగా వాటి నుండి బయటపడడాం. మనం చేయగలం!
-नहीं, चलो भी. मैं हूँ. आ रहा हूँ. -फिसडडी.	-కాదు, ఊరుకో. పటటుకుంటా. వసతుననా. -దదదమమా.
-शायद चला जाता हूँ. -बदतमीजी कर रही हो. बस.	-అయితే వెళతాను. -చాలా కటువుగా ఉననావు. ఆపు.
पर, डैन, इसके लिए अपनी नौकरी नहीं गंवाऊँगा.	కానీ, డాన, దానికోసం నా ఉదయోగం పోగొటటుకోను.
उडान भरने से पहले छोटी सी परारथना करता हूँ.	టేకాఫకు ముందు సాధారణంగా చినన పరారథన చేసతా.
कोई आपात सथिति नहीं है. उसी को सुन रही हूँ.	నాకు అతయవసర సథితి లేదు. నేను వింటుననానంతే.
तो अगर मुझे समझ में न आए, मैं आपको बताऊँगा.	మీకు అరథం కాకపోతే, నేను మీకు తెలియజేసతాను.
इस खाने पर और इसे खाने वालों पर कृपा करना.	ఈ ఆహారమును, ఇది పోషించు వారిని దీవించుము.
सुनो, तुमहारा काम परारथना करना है. ठीक है?	విను, నువవు పరారథనకు బాధయత వహించు. సరేనా?
इस लैपटॉप की मदद से विमान को देख सकते हो.	విమానానని అనుసరించడానికి ఈ లాపటాప వాడవచచు.
ये लोग माहिर हैं. हम आपके साथ हैं, ठीक है?	వీళళు మంచివాళళు. మీకు అండగా ఉంటాం, సరేనా?
कमान केंदर में राषटरीय परिचालन मैनेजर हैं	విమాన టరాఫిక నియంతరణా వయవసథ కమాండ కేందరంలో
अचछी मछली थी. याद है, पापा ने कया कहा था?	అది భలే చేప. నానన ఏం చెపపాడో గురతుందిగా?
मेरे अडडे पर फोन करो. टरैफिक दिख रहा है.	నేరుగా వెళళు. టరాఫిక నా దృశయపరిధిలో ఉంది.
रुकिए. आप मुझे किसी और के सुपुरद करेंगी?	ఒక నిమిషం. మీరు ననను మరొకరికి అపపగిసతారా?
सामान में, गुलाबी बैग में. मैं आ रही हूँ.	సామానల దగగరుంది, గులాబీ సంచిలో. వసతుననా.
ऑटोपायलट चालू किया है या तुम उडा रहे हो?	ఆటోపెలెటలో ఉందా లేక నువవే నడుపుతుననావా?
जिस कुशलता से अभी विमान को उडा रहे हैं,	మీరు చేయాలసినదలలా విమానానని చకకగా నడపడమే
-हम आपको बचा लेंगे.  -वे कया कह रहे हैं?	-ఇందులో నుండి బయటపడేసతాం.  -ఏమంటుననారు?
उसने ऐसी कॉकपिट पहले कभी नहीं देखी होगी.	కాకపిట అతను ఇంతకు ముందెపుడూ చూసి ఉండడు.
तुम हजारों बार उन लडकियों की परेरणा बने.	ఆ అమమాయిలకు వందల సారలు హీరోగా నిలిచావు.
सेसना के पीछे. मूनी रुकने को तैयार है.	సెసనా అనుసరించు. మూనీకి పారకింగ కావాలి.
जो बताऊँगा, सब को सुनने की जरूरत नहीं.	నేను చెపపేది అందరూ వినాలసిన అవసరం లేదు.
किंग एयर पाँच-पाँच-नौ-डी-डबलयू, आप हैं?	కింగ ఎయిర 5-5-9-డీ-డబలయూ, ఆనలో ఉననావా?
हम आपको और आपके परिवार को विमान से. . .	మేము మిమమలని, కుటుంబానని విమానంలో. . .
-मैं बडी जो हूँ. -मैगी, उसे वापस करो.	-వయసుదే ఆధిపతయం. -మయాగీ, తిరిగి ఇచచేయ.
-नोआ में किसी से बात करवाओ. -समझ गया.	-ఎనఓఏఏ నుండి ఒకరిని సంపరదించు. -అలాగే.
{\an8}यू. एस. एयर फोरस अकैडमी की ओर से	{\an8}యు. ఎస. ఎయిర ఫోరస అకాడెమీ నుండి
यह परतियोगिता है. लोग हम पर हंसेंगे.	ఇదొక పోటీ. జనాలు మనలని చూసి నవవుతారు.
हैलो, कैसे हो? दोबारा मिलकर अचछा लगा.	హేయ, ఎలా ఉననావు? నినను కలవడం సంతోషం.
हैंडल पर लगा छोटा बटन दबाना है. देखा?	పిడిపె ఉనన ఈ చినన మీట నొకకు. చూశావా?
शायद यही है, पर हमें कोशिश करनी होगी.	అలానే జరగవచచు, కానీ మనం పరయతనించాలి.
शायद वह भी तुमसे बात नहीं करना चाहता.	నీతో కూడా మాటలాడే ఉదదేశం లేదనుకుంటా.
फरक नहीं पडेगा. उस पर मेरी सॉस डालो.	అది ముఖయం కాదు. నా సాస పూయండి చాలు.
-और कोई टकराने वाला है? -हो सकता है.	-విమానం కుపపకూలనుందా? -అలా జరగవచచు.
तुमहारा कहा हर शबद सुनती हूँ, कैरी.	నువవు చెపపే పరతీ మాట వింటాను, కయారీ.
मिसटर जॉनसन के मुँह पर तमाचा लगेगा.	మిసటర జానసనకు తగిన శాసతి జరుగుతుంది.
हाँ. पिछली बार कया डाला था, पेकान?	అవును. పోయినసారి ఏది వాడాం, పికానా?
-अरे, यार. -यह दूसरी टीम में होगी.	-హేయ, పిలలా. -ఆమె మరో జటటుకు ఆడాలి.
याद है, विमान हमारे लिए नहीं रुकते.	గురతుంచుకో, విమానాలు మన కోసం ఆగవు.
यह तो भयानक है. तुमहें यह कैसे पता?	ఇది విసమయకరం. నీకు ఇది ఎలా తెలుసు?
विमान की टककर रोकने में मदद चाहिए.	ఒక విమానం కూలిపోవడానని నువవు ఆపాలి.
उतरते समय आपको मोडना नहीं चाहती थी,	మీ అవరోహణలో మీ దిశ మారచాలనుకోలేదు,
सर, आपने पहले कभी विमान उडाया है?	గతంలో ఎపపుడెనా విమానం నడిపారా, సర?
-सुनो! -अगर मैं इस कॉल पर रहा. . .	-విను! -నేను ఈ కాల మాటలాడితే. . .
एक तुम ही हो जो उनहें बचा सकता है.	వారిని రకషించగల ఏకెక వయకతి నువవే.
नौ-डी-डबलयू, आपको बायें मुडना होगा	9-డీ-డబలయూ, మీరు ఎడమవెపుకు తిరిగి
-संपरक बन गया! -कया? वह जिंदा है?	-సంపరదించారు! -ఏంటి? బతికే ఉననాడా?
मॉनरो में लुईजियाना विशवविदयालय से	మయాగీ వెట ఫారమసిసటగా పని చేసతోంది
उनके साथ ऐसा नहीं होना चाहिए था.	అంటే, అలా వారికి జరగాలసింది కాదు.
हे भगवान. मैगी, तुमने सब ले लिया.	దేవుడా. మయాగీ, అననీ తీసుకుననావు.
उनहें मदद चाहिए. मदद कर सकते हो?	అతనికి సాయం కావాలి. సాయం చేయగలవా?
अचछा, डग. अब मैं आपको तिरछी हवा वाले अवतरण के लिए तैयार करूँगा.	సరే, డగ. ఇపపుడు నినను ఎదురుగాలుల విమాన దింపివేతకు సిదధం చేసతుననా.
-कया कर रहे हो? -मेरा दोसत. . .	-ఏం చేసతుననావు? -నా మితరుడు. . .
-ठीक है, 898.  -मैं संभालूँगा?	-అలాగే, 898.  -విమానం దింపగలనా?
मैं जरा चखकर देखता हूँ, ठीक है?	హేయ, నేను రుచి చూసతాను, సరేనా?
{\an8}लीसा गरिम - हवाई टरैफिक नियंतरक पायलट अनुभव: 6000 घंटे	{\an8}లీసా గరిమ - ఎయిర టరాఫిక కంటరోలర పెలెట అనుభవం: 6000 గంటలు
पैनल के बीच वाला सविच चालू है.	పయానెల మధయలో ఉనన మీట ఆనలో ఉంది.
किंग एयर पाँच-पाँच-नौ-डी-डबलयू,  आप हैं? फोरट मायरस हवाई अडडा.	కింగ ఎయిర 5-5-9-డీ-డబలయూ, ఆనలో ఉననావా? ఫోరట మయరస విమానాశరయం.
-तुम कर सकते हो. -कर सकता हूँ.	-నువవు సాధిసతావు. -సాధిసతాను.
-तीन अंक वाला था. -बीच में से!	-3 పాయింటలు. -సగం కోరట నుండి!
और हम सब सुनेंगे? यह तो हद है.	మనం అననీ వింటామా? అది దారుణం.
और विमान आसमान से गिर सकता है.	అపపుడు విమానం కింద పడిపోవచచు.
मैं उनके लिए कुछ नहीं कर पाया.	నేను వారికి ఏమీ చేయలేకపోయాను.
