लूसी.	లూసీ.
वह पैसा कैसे बनाती है?	దానికి డబబు సంపాదనెలా?
हाँ.	సరే.
देखो.	చూడు.
सच जानो कि बारब कहाँ काम करती है.	మీ ఆవిడ చేసే పనిపె నిజం తెలుసుకో.
उसके लिए.	ఆమె కోసం.
वॉलट-टेक से हेनरी सहायक परशिकषण वाला.	వాలట టెక శికషణా కారయకరమం నుంచి హెనరీ.
तो, हाँ, वॉलट में कुतते नहीं होंगे.	అందుకే, అవును, వాలటలో కుకకలు ఉండవు.
यही बात तो पयारी लगती है.	నీలో నేను పరేమించేది అదే.
नहीं, यहाँ तो गूसी लिखा है.	లేదు, ఇందులో గూసీ అనే ఉంది.
{\an8}फयूजन कोर	{\an8}ఫయూజన కోర
यह लो.	ఇదిగో.
यूनिट 428.	యూనిట 428.
यूनिट 428	యూనిట 428
{\an8}सन 2189 नया कैलिफोरनिया गणराजय बना	{\an8}2189 నయూ కాలిఫోరనియా రిపబలిక సృషటి
सतह के लोगों की परंपरा है.	ఇది ఉపరితల పరపంచ సంపరదాయం.
द गवरमिंट	ద గవరమింట
तलाश है	కావలెను
पता नहीं तुम कैसे चल-फिर लेते हो.	నినను ఏది ఇంకా ఉంచుతోందో తెలియదు.
वैसे, सोरेल,	సరే, సొరరేల,
इतना ही.	అంతవరకే.
मेरे पिता कायर नहीं हैं.	మా నానన పిరికిపింద కాదు.
शेरिफ रेकस,	షెరిఫ రెకస,
हॉलीवुड फॉरएवर	హాలీవుడ శాశవతం
याद करते हुए हम अतीत को सामने लाते हैं.	మాకు గురతుననటలుగా గతానని తిరిగి తెసతాం.
- जवालामुखी. . . - जवालामुखी. . .	- మంటల రాణి. . . - మంటల రాణి. . .
अगर तुम मुझसे किया वादा तोडना चाहो और	నువవు మన ఒపపందం కాదనుకుని ఏదెనా మంచి,
नहीं!	వదదు!
कयोंकि वॉलट में हम समझते हैं कि हमें एक-दूसरे की जरूरत है.	ఎందుకంటే వాలటలలో, అందరికీ పరసపర అవసరం ఉంటుందని గురతిసతాం.
हम साथ चलेंगे. सिर लेंगे, और बरदरहुड के पास ले जाएँगे.	కలిసి పరయాణిదదాం, తలను తీసుకుని, సోదరజాతి దగగరకు పోదాం.
माफ करना हेनरी, पर मेरी बीवी शाम को कामकाज नहीं करती.	మననించు, హెనరీ, సాయంతరాలలో మా ఆవిడ పని ఫోనలు మాటలాడదు.
अपनी परतिसपरधा को खतम करने का बेहतरीन हथियार कया है?	ఎందుకంటే మీ పోటీని నాశనం చేయడానికి అంతిమ ఆయుధం ఏమిటి?
{\an8}बस आज ही किसी भी वॉलट-टेक में घर खरीद लीजिए.	{\an8}ఇవాళే వాలట టెక వాలటలో నివాసం కొనుగోలు చేసి.
लोग सोचते हैं पैमाना मतलब बाजार में हिससा बढाना.	సథాయి అంటే గలోబల మారకెట వాటా పెంచడమని అనుకుంటారు.
हमें यहाँ आने दिया और हमारी मदद की इसका शुकरिया.	మమమలని అనుమతించినందుకు, జాగరతతగా చూసుకుననందుకు.
अगर शांति वारता सफल हो जाए तो वॉलट नहीं बिकेंगे.	కానీ ఈ శాంతి చరచలు సాగితే వారు వాలటలను అమమలేరు.
बड आसकिनस. दकषिणी कैलिफोरनिया का काम देखता हूँ.	బడ ఆసకినస. నేను చూసేవి సదరన కాలిఫోరనియా పనులు.
मतलब, और कया करना होगा? नीली यूनिफॉरम वगैरह?	ఇంకా మా కోసం ఏం పథకం చేశావు? నీలం జంపసూటలా?
अगर मुझे नहीं पहननी हो तो? हरी पहननी हो तो?	నేను అది వేసుకోనంటే? నాకు ఆకుపచచది కావాలంటే?
बाहर खडे होकर शिकायत करने से कुछ नहीं होगा.	పకక నుండి ఫిరయాదు చేయడం ఎవరికీ మేలు చేయదు.
पर यहाँ वे अपने साथ बदबूदार खाना लाते हैं,	కానీ వాళలు ఇకకడకు వాసన వచచే ఆహారంతో వసతారు,
- तुम शेडी सैंडस की हो. - बहुत-से लोग हैं.	- మీరు షేడీ శాండస నుంచి. - మాలో చాలామంది.
मुझे जयादा खुले विचारों वाला नहीं मिलेगा.	నా కంటే మనసు విపపి మాటలాడేవారు నీకు తగలరు.
- तुमहें किसी से मिलवाना है. - अचछा, कौन?	- నువవు ఒకరిని తపపక కలవాలి. - సరే, ఎవరిని?
मेरी आवाज के अधिकार उस घूमते रोबोट को दिए	నా గొంతు హకకులను ఆ తిరిగే రోబోటకి అమమగా,
- हमें एंटीबायोटिक चाहिए. - जी, डॉकटर.	- మనకు యాంటీబయాటిక అవసరం. - సరే, డాకటర.
हाँ, हमेशा वाली बात नहीं है. सही कहा.	హా, సాధారణంగా జరగదు. నీ మాట ఒపపుకుంటా.
बड आसकिनस ने रॉब-को से इनहें लिया है.	బడ ఆసకినస వాటి లెసెనస రాబ కోకు ఇచచాడు.
{\an8}गणराजय पूरे कैलिफोरनिया की सबसे बडी आरथिक और राजनैतिक ताकत बना - 2241	{\an8}కాలిఫోరనియాలో అతిపెదద ఆరథిక మరియు రాజకీయ శకతిగా మారిన ఎనసీఆర - 2241
आदमी और उसका कुतता,  वह फिलम मसत है.	ఏ మయాన అండ హిస డాగ,  అది మంచి సినిమా.
तुम लोग तो आइसकरीम सोशल के लिए आए हो,	ఇక, మీరంతా ఐస కరీమ సోషల కోసం వచచారు,
इस गलियारे का नाम है साइकामोर सटरीट	ఇపపుడు, ఇకకడ ఈ కారిడార సికమోర సటరీట,
माफ करना. पता नहीं था. आप तो. . .	మననించాలి. తెలియదు. మీరు చాలా. . .
जब भी मैं अपने घर में घुसता हूँ,	నా ఇంటిలోకి అడుగుపెటటిన పరతిసారి,
- सही. - वॉलट-टेक के पास पैसा है	- నిజం. - వాలట టెక అననీ సొంతమెన
मजदूरी के कपडों में अचछी लगोगी.	ఆ డరెసలలో నువవు భలే బాగుంటావు.
हर रात मैं बस पागल हो जाती थी.	నాకు పరతి రాతరి పిచచిగా ఉండేది.
रोजाना मैं काम पर जाकर यही सोचती हूँ कि किस तरह से मानव जाति	పరతిరోజూ ఉదయోగానికి వెళలి భూమిపె 90 శాతం జీవితాలను తుడిచిపెటటే
- हम शेडी सैंडस वापस लाते हैं. - हम शेडी सैंडस वापस लाते हैं.	- షేడీ శాండసను తిరిగి తెసతాం. - షేడీ శాండసను తిరిగి తెసతాం.
पर आप असल जिंदगी के हीरो हैं.	కానీ నిజ జీవితంలో మీరే హీరోలు.
उससे मुझे हमेशा आशचरय होता है.	ననను ఆశచరయపరచడం ఎపపటికీ ఆపవు.
छोडो भी, तुमने इनहें देखा है.	అబబా, వీటిని చుటటూ చూసతుంటావు.
हॉलीवुड फॉरएवर - अंतिम संसकार कबरिसतान - समाधि - दाह संसकार	హాలీవుడ శాశవతం - అంతయకరియల గృహం శమశానవాటిక - సమాధి - దహనం
रुकिए. आपने कहा यहीं रहेंगे?	ఓ కషణం. ఇకకడే ఉంటామని అననారా?
सुनिए. दिककत तो नहीं अगर. . .	ఒకసారి ఆగు. ఏమీ అనుకోకు. . .
वह रोल तुमने शानदार किया था.	ఆ పాతర దయ, గౌరవంతో పోషించావు.
ये लोग हमसे कुछ छिपा रहे हैं.	ఈ జనాలు మన నుంచి ఏదో దాచారు.
एंकरेज में समझौता वारता परीसेल पर गंभीर असर डाल रही है.	యాంకరేజలో చరచలు ముందసతు అమమకాలపె తీవర పరభావం చూపుతుననాయి.
जान बचाने के लिए जो कुछ किया वह दिमाग में ताजा होता है.	బతకడానికి చేయవలసిన పనులననీ నీ మనససులో ఇంకా తాజాగా ఉంటాయి.
कूप, किसानों के पास ताकत है.	పెంపకందారులదే అధికారం, కూప.
- इसका कया मतलब था? - वैसे,	- అంటే మీ ఉదదేశమేంటి? - సరే,
सहन करना होगा और उनहें "सतही" नहीं कह सकते. बुरी बात है.	వాళలను భరించాలి, వాళలను "పెవాళలు" అనకూడదు. అది దారుణం.
हाँ, मैं ही हूँ. सटेज और सकरीन का सितारा, कूपर हावरड.	అవును, ఇది నేనే. కూపర హావరడ, నాటకాలు, సినిమాలలో సటారని.
{\an8}अनिशचित भविषय के लिए सुरकषा में करांति - वॉलट-टेक	{\an8}అనిశచిత భవిషయతతు కోసం విపలవాతమక భదరత - వాలట-టెక
इसे भगवान ने नहीं बनाया, बलकि मजदूरों ने बनाया है,	సరవశకతిమంతుడెన దేవుడిచే సృషటించబడలేదు, కానీ ఓ మనిషి,
मैं ऐसा बस दोसतों और सुंदर महिलाओं के लिए करता हूँ	అలాగే. దీనని సననిహితులు, అందమెన మహిళల కోసమే చేసతాను,
तुम एक परोडकट हो. मैं भी.	నువవో ఉతపతతి. నేనో ఉతపతతి.
बेवकूफों के साथ गुजारोगी?	ఐదు వరకు గడపాలని ఉందా. . .
चुनाव जीतना है, तो उनकी परंपराओं का सममान करना होगा,	నువవు ఎననిక కావాలంటే, వాళల సంపరదాయాలను గౌరవించాలి,
तुमहें छोडकर नहीं जाऊँगी.	నువవు లేకుండా నేను వెళలను.
पर असली सवाल यह नहीं है.	నిజానికి పరశన అది కాదుగా?
- मैं बस. . . - चली जाओ.	- నేను. . . - ఇక వెళలిపో.
आप लोगों को कवारंटाइन में कुछ ही घंटे रहना होगा	మీరు ఎలాంటి కాలుషయానని తీసుకురాలేదని నిరధారణ కోసం
वैसे भी, हमने सौदा किया था कि सिर को साथ खोजेंगे.	మరోవెపు, తలను కలిసి వెతకాలని ఒపపందం చేసుకుననాం.
नहीं, आज मैं आपको एक बेहद बडी, बेहद शानदार जगह के बारे में बताने आया हूँ.	లేదు, ఈ రోజు, నేను మీకు విశాలమెన, అదభుతమెన పరదేశం చూపించడానికి వచచాను.
- हैलो. - और, जाहिर है,	- హలో. - ఇంకా, తపపకుండా,
नहीं, टाइटस. मैं बात कर रही हूँ उसकी आँखों की.	కాదు, టెటస, నేను. . . తన కంటి గురించి మాటలాడాను.
मुझे बारब पसंद है, समझे?	నాకు బారబ ఇషటమే, సరేనా?
बारटेंडर, एक और मिलेगा?	బారటెండర, మరొకటి ఇసతావా?
और दस सालों की लडाई के बाद सरकार दिवालिया है.	పదేళల యుదధం తరువాత, యూఎస పరభుతవం గేలి అవుతుంది.
पर इन लोगों का मजाक उडाओ तो उनहें बुरा लगता है.	వీళలను కించపరచకుండా దాని గురించి జోక చేయలేవు.
सेना के ठेके लेते हैं.	అది ఓ డిఫెనస కాంటరాకటర.
मजाक कर रहे हो? चारली?	నాతో పరాచికమా? చారలీనా?
इनसानों को बचाने का काम वॉलट-टेक को दिया है.	మానవ జాతి మనుగడను వాలట టెకకు అవుటసోరస చేసింది.
{\an8}सन 2198 शेडी सैंडस वहाँ की राजधानी बना	{\an8}2198 ఎనసీఆరకు రాజధానిగా మారిన షేడీ శాండస
नया कैलिफोरनिया गणराजय	నయూ కాలిఫోరనియా రిపబలిక
जब तक तुम चलने लायक नहीं होते, हम यहीं हैं.	ఇక నువవు పరయాణం చేయగలిగే వరకూ మనం ఇరుకకుననాం.
अगर किसान के पास शेरिफ से जयादा ताकत हो तो?	షెరీఫ కంటే రాంచరకి ఎకకువ శకతి ఉంటే ఏమవుతుంది?
करायो-टेक करायो-पॉड लाइफ सपोरट सटेटस: डोरमेंट	కరయో-టెక కరయో-పాడ జీవన మదదతు సథితి: నిదరాణం
जो आपको हमारे शानदार गणराजय में मिलती हैं.	మీరు ఆశించే అనని ఆధునిక సౌకరయాలతో లభిసతుంది.
हाँ, मुझे भी पसंद है. कुतता भी मेरा ही था.	అవును, అది నాకూ నచచింది. అది నా నిజమెన కుకక.
हमें ऐसा करने की. . .	మేము అలా చేయకూడదు. . .
तुम नहीं समझे. हम इससे बेहतर नहीं कर सकते.	నీకు అరథం కాదు. మనం ఆశించగలిగే అతయుతతమం అదే.
राषटरपति वाली बात की.	బాగా గొపప నాయకతవం కదా.
वॉलट-टेक के उतसरजन सिसटम में जोड रहे हैं.	వాటిని వాలట-టెక ఉదగార వయవసథలతో కలుపుతుననాం.
तुम और माँग सकते हो?	బహుశా మరింత అడగాలేమో?
तुमहें पहने हुए नहीं.	నినను కాదు, చూడలేదు.
कुतते माँस खाते हैं.	కుకకలు మాంసం తింటాయి.
ओवरसियर बेंजामिन, ये हैं लूसी और टाइटस.	పరయవేకషకుడు బెంజమిన, ఈమె లూసీ, ఇతను టెటస.
पाँच साल के लिए टरायल के तौर पर रहेंगे	వాలట 4 కి చెందిన ఐదేళల టరయలను చేపటటింది,
- मि. हावरड. - हैलो.	- మి. హావరడ. - హలో.
हमारे तरैमासिक परोजेकशन रिलीज से पहले.	దాదాపుగా తరెమాసిక అంచనాల విడుదలకు ముందే.
बम के खतरे में तुमहें कपडों की पडी है?	బాంబులు పడుతుంటే, దుసతుల విషయం తెలియాలా?
इसमें फफूँद लगी है.	పాడెపోయినది తెచచాను.
मेरे एजेंट को बस एक वह रोबोट ही मिला.	నా ఏజెంటని ఆ రోబోటలలో ఒకదానిలో పడేశారు.
मैं 11 साल की थी जब उनके साथ फिली गई.	నాకు 11 ఏళలు, ఆమెతో కలిసి ఫిలీకి వెళలా.
तुमहारे कंधे में सडा हुआ दाँत फँसा था.	నీ భుజంలో కుళళిన మానవ దంతాలు ఉననాయి.
शुरू होने वाला है.	దాదాపు మొదలవుతోంది.
तुम गवरमिंट के अधयकष से बात कर रहे हो.	నువవు మాటలాడేది గవరమింట పరెసిడెంటతో.
दरवाजा खुला दिखा. चिंता हुई कि कोई बाहर न निकल गया हो.	తలుపు తెరచి ఉండడం చూశాను. మీలో ఒకరు బయటకు వచచారని భయపడడా.
नमूना नियंतरण इकाई	నమూనా నియంతరణ యూనిట
मैं आपसे बात कर रहा हूँ पूरी तरह रहने लायक मॉडल 96, यानी जेकयू 1164 से.	మీతో ఇపపుడు పూరతిగా నివాసయోగయమెన మోడల 96 జేకయూ 1164లో నుండి మాటలాడుతుననాను.
और यहाँ पर है वॉलट चार का तीन फुट मोटा सीसे का आवरण.	ఇపపుడు అకకడది వాలట 4కు మూడు అడుగుల మందపాటి సీసం కేసింగ.
सुना सुपर डुपर मारट में तबाही मचाने वाला कोई भूत था.	ఆ సూపర డూపర మారటని ఇబబంది పెటటినది జీవ పిశాచని విననాను.
हाँ, पर रॉब-को ने सटूडियो खरीद लिया.	నిజమే, సటూడియోను రాబ-కో కొనేసింది.
रूजवेलट को किताब पढकर सुना रही है.	రూజవెలటకి "పరయరీలో ఇలలు" చదువుతోంది.
नहीं! तुम पागल हो!	లేదు! మీకు పిచచి!
सिरफ वैजञानिकों की लीडरशिप वाले समुदाय में रहेंगे.	పూరతిగా శాసతరవేతతలచే నిరవహించబడే సంఘం ఇది నడుపుతుంది.
मैंने कभी कोई विजञापन नहीं किया है.	నేను గతంలో ఎననడూ పరకటనలు చేయలేదు.
पता है तुमने कहा था चलते रहना है,	మీరు వెళతామని చెపపావని నాకు తెలుసు,
हम अमीर हैं. वहाँ घर खरीद सकते हैं.	మనకు డబబుంది. వాలటలో డబబు కొనగలం.
टॉलहैंड मडलेक घोडों से बात करता था.	టాలహాండ మడలేక గురరాలతో మాటలాడగలడు
मैं आपको मेरी नई फिलम के बारे में बताने नहीं आया.	కానీ నా కొతత సినిమాపె మాటలాడటానికి ఇవాళ నేను రాలేదు.
जब आप अपने परिय लोगों से मिलकर घर लौट रहे होंगे.	ఇకకడ మీ 200 మంది పొరుగువారిలో ఎవరినెనా పలకరించగలరు.
मैं एक योदधा हूँ,	నేను సెనికుడిని,
आपका दिन शुभ हो.	మంచి రోజు గడపండి.
और घर आती हूँ तो	నేను ఇంటికి వచచాక
तुम लोग पागल हो!	మీ అందరికీ పిచచి!
नहीं, तुमने सही कहा था. जरा देखो.	కాదు, నీ మాటే నిజం. ఇదంతా చూడు.
तुमहारी बेकरसफीलड के खेत वाली बकवास सुनती हूँ.	బేకరసఫీలడలోని గడడిబీడులో ఉండడంపె నాతో మాటలాడతావు.
हमारे घर पर है.	అది మన ఇంటిలోనే.
तुमने एक शरत तो पूरी कर दी है.	కానీ మీరిదదరూ సగం దూరం వచచేశారు.
- वही तो. - हॉलीवुड के कमयुनिसट.	- అవును. - చెతత హాలీవుడ రెడలు.
तुम ठीक नहीं हो.	నువవు బాగోలేవు.
कुछ लोगों को होता है, मुझे नहीं.	అంటే, అది కొందరికే, నాకు కాదు.
नए परायोजक नूका-कोला के विजञापन के बाद जानिए.	మా కొతత సపానసర నూకా కోలాతో మాటలాడాక ఇవీ వివరాలు.
तुम तो वॉलट वाली हो. समझती हो.	నువవు వాలట నుంచేగా. అరథం చేసుకో.
ये लोग पागल हैं.	ఈ జనాలకు పిచచి.
पर हमारा परिवार और 80 अनय लोग यहीं वॉलट चार में	కానీ మా కుటుంబం ఇంకా 80 మంది వాలంటీరల బృందం,
मैं वेसट-टेक में दस साल काम करने के बाद कयू3 में वॉलट-टेक आया.	నేను వెసట-టెకలో 10 ఏళల పని తరవాత కయూ3లో వాలట-టెకకి వచచాను.
और मुरगियाँ पालने में मदद करना.	కోళల పెంపకంలో నాకు సాయపడతావు.
इससे हमें वॉलट में घर मिलेगा.	అది వాలటలలో చోటు ఖాయం చేసతుంది.
यार. तुम किसी पंथ के लगते हो.	ఊరుకో, బాబూ. ఏదో కలటలా చెపపావు.
थोडा आराम मिले तो अचछा ही है.	కొంచెం సౌకరయం పొందడం తపపు కాదు.
{\an8}2142 शेडी सैंडस की सथापना	{\an8}2142 షేడీ శాండస సథాపితం
दोसत, मुझे बस एक सवाल पूछना है.	నీకు ఓ పరశన ఉంది, పాత మితరమా.
{\an8}तो दुनिया को आप जैसे लोगों की जरूरत होगी	{\an8}పరపంచ కోసం మంచి రోజులను నిరమించడానికి
कूपर हावरड की नई फिलम. . . आदमी और उसका कुतता	కూపర హావరడ నటించిన. . . ఏ మయాన అండ హిస డాగ
नहीं, नहीं है.	లేదు, అలా కాదు.
उनकी मीटिंग वगैरह होती है. बरबाद मामला है.	వాళలకు సమావేశాలు, పరతిదీ ఉననాయి. ఇది చెతత షో.
पयारा कुतता है.	అది మంచి కుకక.
कनेकट हो रहा है	కనెకట అవుతోంది
उततर में लडाई में हमने लोगों को मरते देखा, यह बकवास है.	పరజలు కలిసి చనిపోవడం, ఉతతరాన, ఆ సోది అంతటితో పోరాడడం చూశాం.
तुमहारा चारली वहाइटनाइफ भी.	నీ నేసతం చారలీ వెటనెఫను కూడా.
कौन. . . नियम कौन बनाता है?	ఎవరు. . . ఈ నిబంధనలు పెడతారు?
तुमने फयूजन कोर ढूँढ ही लिया.	నీకు మా ఫయూజన కోర కనబడింది.
तुम जानते हो किसे पकड लाए हो?	ఎవరిని తెచచారో మీకు తెలుసా?
शेरिफ टरॉय की बंदूक छीन लो.	షెరిఫ టరాయ తుపాకులు తీసేసుకో.
- कया? - माफ करना. पयार करें?	- ఏంటి? - మననించు. శృంగారం?
- ठीक है. गैरी, काम खतम हुआ न? - जी, सर.	- అలాగే. గేరీ, నాది అయిపోయిందిగా? - హా, సర.
नहीं, आप यहाँ जो कर रहे हैं, अचछा ही है.	లేదు, మీరు ఇకకడ చేసతునన పని మంచిదనే అంటాను.
सारा शहर एक पल में बरबाद हो गया. वह. . .	తకషణమే మొతతం నగరమంతా నాశనం అయింది. అది. . .
कयोंकि इस चीज के बारे में पहली बार सुना.	ఎందుకంటే దీని గురించి మొదటిసారిగా వింటుననా.
यह एक वॉलट है.	వాలటలో ఉననాం.
भविषय के लिए.	భవిషయతతు కోసం.
भविषय के लिए.	భవిషయతతు కోసం.
कैसी अजीब बात?	ఏ వింత విషయం?
पहले सोचा था.	అలా చేసేదానని.
- कौन बोल रहा है? - हेनरी.	- మీరు ఎవరు? - నేను హెనరీని.
वॉलट में कुतते नहीं ला सकते.	అదే, వాలటలలో కుకకలు ఉండవు.
मैंने किसी गरीब, बेचारे, गैंग से जुडे अंगों के धंधे को तबाह किया.	ఎందుకంటే ఓ పాద, రకషణ లేని, ముఠాతో సంబంధం గల అవయవ వయాపారం పాడు చేశానని.
तो यही सवाल बचता है कि कया तुम कायर हो?	సరే, అయితే నా ఏకెక పరశన ఏంటంటే, మరి నువవు?
रचनातमक परयवेकषक अशोक बकषी	కరియేటివ సూపరవెజర శిరీష దరభా
- जवालामुखी, हमें याद है. - जवालामुखी, हमें याद है.	- మంటల రాణి, మాకు గురతుంది. - మంటల రాణి, మాకు గురతుంది.
तुम भी कभी मीटिंग में आओ.	నువవు ఓ సమావేశానికి రావాలి.
पर अब नहीं. अब नहीं रहते.	సరే, ఇకపె ఉండరు. ఆయన ఉండరు.
कौन कहता है?	ఎవరు చెపపారు?
टाइटस, यह सुरकषित जगह है	టెటస, ఇది సురకషితమెన చోటు,
मतलब, उसकी आँख बीच में थी.	అంటే, అతనిది మధయలో ఉంది.
जरा बाईं ओर.	కొంచెం ఎడమకు.
कूप, मुझे इसकी जरूरत है.	నాకు ఈ ఉదయోగం కావాలి, కూప.
जरा देखो तो.	నినను చూసుకో.
तो लोगों का हमसे भरोसा उठ जाएगा और फिर कया होगा?	మేమికకడ చేసేదానిపె జనాలకు నమమకం పోవచచు, మరేం చేయాలి?
बन ही जाएगा.	నువవు ఉంటావు.
वैसे भी आजकल नेतृतव की बात करें तो,	సరే, ఈ రోజులలో నాయకతవం విషయానికి వసతే,
इसे बाहर ले जाकर कुततों को खिला दो.	వెనుకకు తీసుకెళలి కుకకలకు ఆహారంగా వెయ.
जो मानव डीएनए पर विकिरण के असर के विशेषजञ हैं.	మానవ డీఎనఏపె రేడియేషన పరభావాలలో సపెషలెజేషన చేశారు.
या शायद तुमहें अब भी उसकी तलाश है.	లేదా ఇంకా ఆమె కోసం వెతుకుతూ ఉననావేమో.
मैंने नौ या दस लोगों को मारा होगा.	నేను తొమమిది, పది మందిని చంపి ఉంటాను.
तब हम हॉट टब में पारटी कर सकते हैं. कया खयाल है?	మనం హాట టబలో పారటీ చేసుకోవచచు. మీరు ఏమంటారు?
हमें यहाँ समय बरबाद नहीं करना चाहिए.	మనం ఇకకడ కింద సమయం వృధా చేయకూడదు.
इसलिए हमने कुछ लोगों को लिया और उनहें एक घर दिया	అందుకే, వాళలలో మా వంతు తీసుకుని ఇలలు ఇచచాము,
सोरेल बुकर.	సొరరేల బుకర.
शाम चार बजे	సా. 4 గంటలు.
नहीं, टाइटस.	వదదు, టెటస.
कूप, कभी तो लगता है तुम पृथवी पर नहीं रहते.	అసలు కొననిసారలు ఏ గరహంపె ఉననావో అరథం కాదు, కూప.
रैप पारटी होने वाली है.	ఓ ముగింపు పారటీ ఉంది.
वह अजीब बात हो सकती है.	ఆ వింత విషయం జరగవచచు.
{\an8}शेडी सैंडस का पतन	{\an8}షేడీ శాండస పతనం
उसे "सिलाई" कहते हैं.	దానిని "కుటటడం" అంటారు.
अगर हम तुमहारे घर आए, तो हम भी यही कहेंगे.	మీ ఇంటికి మేము వచచినా, మేమూ అదే ఖాయంగా అంటాము.
रेड जमीन खो रहे हैं सुदूर पूरव में और सैनिक भेजे गए	పరాంతం కోలపోతునన రెడలు సుదూర తూరపున మరినని దళాల మొహరింపు
ठीक है. कुछ घंटे वहाँ जाएँगे. कुछ लोगों से मिलेंगे. . .	అలాగే. కొనని గంటలు వెళదాం. కరచాలనాలు కలుపుదాం. . .
बॉनी लुईस?	బోనీ లూయిస?
जैसे कोई महामारी हो.	రాడికలిజం వయాపిసతోంది.
वह कुछ भी खरीद लेगी.	ఓ టరిలియన డాలర కంపెనీ.
- मुझे बस. . . - अलविदा, गूसी.	- తెలియాలని. . . - వీడకోలు, గూసీ.
यहाँ की जिंदगी कैसी लग रही है?	ఇకకడ కింద జీవితానికి సరదుకుననామా?
पर यह जरूर सुना है कि मोलडेवर नाम की कोई	నేను విపరీతంగా వింటుననదలలా ఎవరో మోలడోవరే అనే
देखें काम बनता है कया.	సరే, నేనుంటే చూదదాం.
अचछा लगा तुम ठीक हो.	నువవు బాగుండడం సంతోషం.
थोडे नियम-कायदे, धयान में रखने की बातें	ఇంటి పనులు, కొనని విషయాలపె జాగరతతగా ఉండండి,
दोसत, भविषय तो परोडकट में है.	భవిషయతతు అంటే, మితరమా, ఉతపతతులే.
{\an8}सवागत है? बरडी और वॉलट चार के तुमहारे दोसत	{\an8}ఇంటికి సవాగతం? బిరడీ, మరియు వాలట 4లో మీ మితరులు
मैं जिंदा तो नहीं हूँ, तो तुम जैसे कमीनों के साथ	నీలాంటి సననాసులతో తెలివిలేని సంభాషణలు చేయడానికి మాతరం
हाँ, सेट पर गया था.	హా, సెటలో కనిపించారు.
जो पारटी में पॉकेट परोटेकटर पहनते हैं.	పాకెట పరొటెకటరలను ధరించేవారు నడిచే పరపంచం.
कैसा दिमाग है उनका?	అసలు వాళల ఆలోచన ఏంటి?
शोबिज छोडने की बात.	షో బిజినెస మానేయాలని.
अलासका राजय की लडाई कमयुनिसटों से लगभग हार गए थे तब टी-45 पहना था.	గొపప అలాసకా రాషటరానని కమయూనిసటులకు దాదాపుగా కోలపోయినపపుడు టీ-45 ధరించాను.
फिर एक बार असली काऊबॉय बन जाऊँ.	మళలీ నిజమెన కౌబాయలా మారవచచు.
और वॉलट-टेक निजी कंपनी है जिसका	వాలట టెక ఓ పరెవేట కారపొరేషన,
अगर तुमहें और सबूत चाहिए हो,	ఇక, నీకు మరింత సాకషయం కావాలంటే,
