{\an8}इसाबेल	{\an8}ఇసాబెల
मेरा मतलब, उसके कामुक जादू से तुम सब सहमत हुए थे,	అంటే, అతను శృంగారభరిత మయాజిక చూడడానికి వెళలొచచు,
वैसे, हम मेरी करिपटोकरेंसी की बातें कर रहे हैं.	అంటే, మేము మాటలాడుకునేది కరిపటోకరెనసీ గురించి.
एडगर की करिपटोकरेंसी का आपसे कया संबंध है?	ఎడగర కరిపటో వయాపారానికి మీతో సంబంధం ఏంటి?
अरे, माँ. यहाँ कोई संगीत नहीं बज रहा है.	ఓహ, అమమా, ఎలాంటి సంగీతం పలే అవవడం లేదు.
अरे, वा-हा-हा. बिडी बॉप, डू-वॉप, डू-वॉप.	ఓహ, వాహ-హ-హ. బిడడి బాప, డూ-వోప, డూ-వోప.
कभी-कभी मैं सोचती हूँ कि कयों किसी ने फिरौती के लिए अब तक मेरा अपहरण नहीं किया?	కొననిసారలు డబబు కోసం ననను ఎవరూ ఎందుకు కిడనాప చేయలేదా అని సందేహం పుడుతుంటుంది.
यह सच है. हम गैटी परिवार जितने रईस हैं.	నిజమే. మేము చాలా ఆసతి పోగేసుకుంటుననాం.
चाहे तुमहारे और एडगर के बीच जो भी हो.	నువవు దీని మీద సంతకం చేయడం చాలా ముఖయం.
माँ, मुझे आपका बैग अनीक को देने दीजिए.	అమమా, నీ బయాగుని నేను యనిక కి ఇసతాను.
यह जरूरी है कि तुम इस पर हसताकषर करो,	నీ మధయ అలాగే ఎడగర మధయ ఏం జరిగినా సరే
- मुझे हैनसन बेहद पसंद है. - सच में?	- నాకు హానసం అంటే చాలా ఇషటం. - అవునా?
आप जानबूझकर मुझे शरमिंदा कर रही हैं.	నువవు కావాలనే ననను కించపరుసతుననావు.
सेबासटियन, तुम यहाँ कया कर रहे हो?	సెబాసటిన, నువవు ఇకకడ ఏం చేసతుననావు?
तुम इतने दरद और संघरष से गुजरते हो,	మనం ఎంతో బాధ, దుఃఖానని అనుభవిసతాం,
मैंने आपकी मदद करने की कोशिश की,	నీకు సహాయం చేయడానికి పరయతనించా,
मैंने डॉ. शुलकिंड से बात की है.	నేను డాకటర షులకెండ తో మాటలాడాను.
माफ करना. मैं तुमहें बाद में फोन करूँगा. मुझे कुछ काम आ गया है.	కషమించాలి. నేను నీకు మళళీ ఫోన చేసతాను. నాకు వేరే పని వచచింది.
बहुत खूब. तुमने मुझे पकड लिया.	దారుణం. నువవు ననను పటటుకుననావు.
फिर जब पीछे मुडकर देखते हो, तो वे रिशते टूट चुके होते हैं.	కానీ ఒకసారి తిరిగి చూసతే, కాలం ఎంతో తవరగా గడిచినటటు ఉంటుంది.
हाँ, तुम इतने दबे पाँव आते हो कि चार मील दूर से पता चल जाए.	సరేలే, కానీ నీ రహసయ కదలికలు చీకటలో లెట హౌస మాదిరి ఉననాయి.
और फिर अचानक, वह गायब हो गया.	కానీ ఒకకసారిగా, వాడు పోయాడు.
तुमहें यह अभी पूरा करना होगा.	సరే, ఇది వెంటనే జరిగిపోవాలి.
समय सीमा मेल नहीं खा रही है.	ఆ టెమ ఏమాతరం మయాచ అవవడం లేదు.
पर मैं खुद को संभाल न सकी, इसलिए मैंने यह सवीकार करने का फैसला लिया कि मैं पागल हूँ.	కానీ నేను దానని మరచిపోలేకపోయా, కాబటటి దానికి పూరతిగా లొంగిపోవాలని నిరణయించుకుననా.
इसलिए मैंने एक जाल बिछाया.	కాబటటి నేను ఒక ఉచచు పననాను.
बिडी बॉप, डू-वॉप, ड-डू-वॉप.	బిడడి బాప, డూ-వోప, డూ-వోప.
माँ, कोई है जिससे मैं आपको मिलवाने को बेहद बेताब हूँ.	అమమా, నువవు ఒకరిని కలవాలని నేను చాలా ఇషటపడుతుననాను.
इसलिए मैंने दूसरा विकलप चुना. कुछ बोलकर बीच से निकल जाना ही एकमातर जरिया था.	కాబటటి, రెండిటలో సురకషితమెన మారగానని ఎంచుకుననాను. అదొకకటే నాకు దారి అనుకుననాను.
आप बीच रात को मेरे मसाले वयवसथित करने के लिए उठीं?	నువవు అరథరాతరి నిదరలేచి మసాలాలను కరమంలో పెడుతుననావా?
बिडी बॉप, डू-वॉप, डू-वॉप.	బిడడి బాప, డూ-వోప, డూ-వోప.
मैं महीनों से सोई नहीं थी. पर मेरी नींद की गोलियाँ?	నేను నెలలుగా పడుకుననది లేదు. కానీ నా నిదర మాతరలు?
तुम नींद में ही चल बसे और मेरी नींद ही उड गई है.	నువవు నిదరలో చనిపోయి నాకు నిదర లేకుండా చేసతుననావు.
ठीक है. मुझे जिन पसंद है.	సరే. నాకు జిన అంటే ఇషటం.
और बात यहीं खतम नहीं हुई.	అలాగే అంతటితో ముగియలేదు.
तो उसकी बेचारी, गरीब दुलहन के पास कुछ नहीं बचेगा.	అపపుడు పాపం ఈ బీద పిలలకు ఏదీ మిగలకుండా పోతుంది.
पर मैं तुमहें नहीं बता रही. उनहें बता रही हूँ.	కానీ ఇపపుడు నీకు చెపపడం లేదు. వాళలకు చెపతుననాను.
बस तुमहारे लिए पागल हूँ.	నీకు నేను ఫిదా అయిపోయా.
यह गोली हलकी नीली है, जबकि यह गोली गहरी नीली है.	ఎందుకంటే, ఒకటి లెట బలూ అయితే ఇంకొకటి డారక బలూ.
तुमने इसमें कया डाला है?	దానికి నువవు ఏం చేసావు?
- कया हमने यह सुलझा लिया? - हाँ. केस सुलझ गया.	- మనం పరిషకరించామా? - అవును. కేసు పరిషకరించేశాం.
मुझे पता था कि डॉ. शुलकिंड शादी में जरूर आएँगे.	డాకటర షులకెండ పెళళికి వసతాడు అని నాకు తెలుసు.
खास डिलीवरी. शरी फैंग चाहते हैं कि आप इसे चखें.	సపెషల డెలివరీ. మిసటర ఫెంగ మీకు ఇది పంపించారు.
मम बॉप, बडा डु बॉप. . .	మమ బాప, బడ డు బాప. . .
- हाँ. - किसी को उममीद नहीं थी कि पिताजी. . .	- అవును. - ఎవరూ నానన ఆ విమానం పరమాదంలో. . .
पर उसे थपपड मारने के बाद ही मुझे एहसास हुआ.	కానీ నేను వాడిని కొటటిన తరవాతే నాకు అరథమెంది.
मुझे कुछ समय के लिए परचलित होने वाली चीजें, टोसटर ओवन, सलिंकी, माइकल बूबले पसंद नहीं है.	ఏదెతేనేం, నాకు సమయం వృథా చేసే అభిరుచులు, టోసటర ఒవేన లు, సలింకీలు, మెఖేల బూబలే నచచవు.
अरे, हाँ. अरे, अह-हँ.	ఓహ, అవును. ఓహ, ఆహ-హాహ.
कयों न इशारे के लिए एक शबद चुनें? कुछ ऐसा जो तुम कभी नहीं भूलोगी.	ఒక రకషణ పదానని పెటటుకుందామా? నువవు ఎననటికీ మరచిపోని ఒక పదానని.
शरी फैंग ने कहा है कि वे ना नहीं सुनेंगे.	మిసటర ఫెంగ మీరు ఇది ఖచచితంగా తినాలి అననారు.
- उसकी करिपटो योजनाएँ. - तुम कया जानते हो?	- వాడి కరిపటో సకీములు. - నీకు ఏం తెలుసు?
मुझे नहीं लगता आप इसे सजावटी कह सकती हैं.	మనం దానిని ఇక అలా పిలవొచచు అని అనుకోను.
मैं अंदर आ सकता हूँ?	నేను లోనికి రావచచా?
तुमने ही ये नैपकिन डिजाइन किए थे, है न?	ఈ నాపకిన లను నువవే డిజెన చేసావు, కదా?
अरे, माँ. ये गोलियाँ एक जैसी नहीं हैं.	ఓహ, అమమా. ఈ మాతరలు ఒకేలా అససలు లేవు.
इसलिए, कसीनो को हराने की कोशिश मत करो.	కాబటటి, హౌస ని ఓడించాలి అని అనుకోకు.
पर आज सुबह को. . .	కానీ ఇవాళ ఉదయం. . .
मैं नहीं चाहती थी कि एडगर को पता चले कि मैं दुःख में थी.	నేను బాధపడుతుననాను అని ఎడగర కి తెలీడం నాకు ఇషటం లేదు.
मैंने कोई सजावटी तलवार नहीं मँगवाई.	నేను ఒక ఓరియంటల ఖడగానని ఆరడర చేయలేదు.
- सही कहा. - और टरैविस की वजह से. . .	- అవును. - అలాగే టరావిస పుణయమా. . .
पुलिस? वे इतनी जलदी यहाँ कैसे आ गए?	పోలీసులా? వాళళు అపపుడే ఎందుకు వచచారు?
हे भगवान. विशवास नहीं होता कि मैंने इस आदमी से लगभग शादी कर ही ली थी.	ఓరి, దేవుడా. నేను వాడిని దాదాపుగా పెళలి చేసుకుననాను అంటే నమమలేకపోతుననాను.
हाँ. नहीं, मिरच बुकनी, मिरच बुकनी.	అవును. కాదు, మిరచి పొడి, మిరచి పొడి.
माँ? माँ, आप मेरी बात सुन रही हैं?	అమమా? అమమా, నేను చెపపేది వింటుననావా?
- मुझे इससे काफी खुशी मिलेगी. - नहीं, यह बेतुका है.	- అలా చెపపి ఉంటే చాలా బాగుండేది. - లేదు, అది వెరరితనం.
उसे लगता है कि मैं पागल हो रही हूँ और तुम यहाँ वही साबित करने आए हो.	వాడు నాకు మతి పోతోంది అనుకుంటుననాడు, అది నిరూపించడానికి నినను పంపించాడు.
आप जानबूझकर मुझे शरमिंदा कर रही हैं.	నువవు కావాలనే నా పరువు తీసతుననావు.
जरूर यह है कि, कया हम कृपया हतया की गवाह होने वाली कहानी पर लौटें?	ముఖయమెన విషయానికి వదదాం, మనం తిరిగి హతయను చూసాను అనన విషయానికి వదదామా?
करिपटोकरेंसी. तो यही असली वजह है.	కరిపటోకరెనసీ. ఇదంతా జరిగేది అందుకే.
मैं इनके बरताव के लिए माफी चाहूँगी. इनहें गुठलीदार फल बेहद पसंद हैं.	ఆమె తరపున నేను కషమాపణలు చెపతుననాను. ఆమెకు ఒలీవ పళలంటే చాలా ఇషటం.
कया? नहीं. मुझे राजनीति की बातें पसंद नहीं हैं.	ఏంటి? లేదు. నాకు రాజకీయాలు గురించి మాటలాడడం నచచదు.
यह मेरा भाषण नहीं है! मेरे भाषण पर तारा बना था.	ఇది నా సపీచ కాదు! నా సపీచ మీద ఒక సటార గీసుకుననాను.
अगर मैं कहूँगी कि मेरा भाषण बदला गया, तो मैं सबको पागल लगूँगी.	నేను నా సపీచ ని మారచేశాడు అంటే, అందరి ముందు వెరరిదానిలా నిలబడతాను.
वह केक रिसेपशन में बदला गया था?	ఆ కేకుని మారచింది రిసెపషన లో కదా?
विवाहपूरव अनुबंध. एडगर मेरे पैसों के पीछे पडा था.	పెళలి ముందు ఒపపందం. ఎడగర నా డబబు మీద కననేశాడు.
वह तलवार आ गई जो आपने मँगवाई थी.	నువవు ఆరడర చేసిన ఖడగం వచచింది.
तो बेशक मुझे पता चलने वाला था.	అపపుడు నాకు ఖచచితంగా తెలుసతుంది.
अरे. . . मम बॉप.	ఓహ. . . మమ బాప.
इसलिए, मैंने अगले सबसे तारकिक संदिगध को चुना, जो कि तुम थी.	కాబటటి, నేను మరొక అనుమానించదగగా వయకతిని ఎంచుకుననాను, అది నువవే.
- आप सो नहीं रही हैं. - नहीं.	- నువవు నిదరపోవడం లేదు. - లేదు.
वह मुझे शरमिंदा करना चाहता था	వాడు అందరి ముందు నా పరువు తీసి,
एलेगजेंडर को वे बेहद पसंद थे.	అలెగజాండర కి వాళలంటే చాలా ఇషటం.
और उनके पास वैध कारण भी था. मैं दिमागी संतुलन खो रही थी.	అందుకు వాళళ దగగర కారణం కూడా ఉంది. నా పరిసథితి దయనీయంగా ఉంది.
आप इतनी धीरे-धीरे गिर रही हैं.	నువవు నెమమదిగా పడిపోతుననావు.
एक सेकंड रुको.	అంటే, ఒకక కషణం.
लगता नहीं है. मुझे यह पता है.	అనుకోవడం కాదు. నాకు తెలుసు.
उप-शीरषक अनुवादक: मून कलिता	సబ టెటిలస అనువదించింది: జోసెఫ
शुरुआत में, मुझे लगा कि उनका मतलब था मैं ना न सुनूँ, पर मैं समझ गया	ముందు, నేను నోస అంటే మన ముకకు ఏమో అనుకుననాను, కానీ తరవాత పరిసథితిని బటటి
रुकिए, आप मेरी मदद करने की कोशिश कर रही थी?	ఆగండి, మీరు నాకు సహాయం చేయడానికి చూశారా?
मैंने उसे फाँस लिया था. पर नहीं, उसने मुझे फाँस लिया था.	వాడు నాకు దొరికాడు. కానీ కాదు, వాడికే నేను దొరికాను.
आप यूँ ही नहीं बडबडा रही थी?	అంటే అది పిచచివాగుడు కాదా?
और फिर उसके कॉइन की कीमत फिलम की टिकट से भी कम हो जाएगी.	అదే జరిగితే వాడి కాయిన కి ఉనన విలువ పూరతిగా పోతుంది.
अरे, चलिए भी!	ఓహ, అమమ బాబోయ!
नहीं, मुझे बरेसेस पहनने वाली निजी सहायक नहीं चाहिए.	లేదు, బరెసెస ఉనన ఒక వయకతిగత అసిసటెంట ని నేను పెటటుకోను.
- तुमने कवच कयों मँगवाया है? - मैंने नहीं मँगवाया.	- నువవు ఒక కవచానని ఎందుకు ఆరడర చేసావు? - నేను చేయలేదు.
जिद मत कीजिए और केक खाइए.	మోడీపటటు వదిలి ఆ కేకు తిను.
जरूर, पर तुम भी भले इंसान नहीं हो, है न?	నిజమే, కానీ నువవు కూడా ఒక వెధవవే కదా?
"इस जिंदगी में इतने सारे रिशते होते हैं.	"ఈ జీవితంలో ఎననో బంధాలు ఏరపరచుకుంటాం.
- अरे. - पकका एडगर ने इनहें बदल दिया था.	- అమమో. - ఎడగర వాటిని మారచేసి ఉంటాడు.
और पागलपन से भरी हुई है.	మతి చెడగొటటే ఒక కలాసిక కథ.
इसाबेल, कयों न आप कुछ समय के लिए हमारे साथ आकर रहिए?	ఇసాబెల, నువవు కొననాళళు మాతో ఉంటే బాగుంటుంది కదా?
तुलसी के पतते, तेजपतता, अजवाइन. . . नहीं, काली मिरच.	తులసి, బిరయానీ ఆకు, సెలరీ. . . కాదు, బలాక పెపపర.
हैलो, मिसेज एडगर की माँ.	హలో, శరీమతి ఎడగర వాళళ అమమ.
शायद तुमहें पता है कि मैं तुमहारी योजनाएँ जानता हूँ.	నువవు ఏం చేసతుననావో నాకు తెలుసు అని గెస చేయగలవు.
मैं तुमहें किसी भी चीज के लिए मजबूर नहीं करना चाहता.	అంటే, నీకు ఇషటం లేని పని ఏదీ నేను చేయదలచుకోలేదు.
. . . बॉप डाडा डु बॉप. . .	. . . బాప బడ డు బాప. . .
नहीं, धनयवाद.	వదదు, థాంకస.
उनहें यह साबित करना था कि मैं ठीक हूँ.	అతనికి నిరూపించాలి అని నాకు తెలుసు.
एक मिलियन डॉलर मिलेंगे.	పది లకషల డాలరలు అందుతాయి.
टरैविस, तुमहें कया चाहिए?	టరావిస, నీకు ఏం కావాలి?
पर अब मुझे लगता है कि मैं असली योजना समझ चुका हूँ.	కానీ నాకు ఇపపడే అసలు విషయం అరథమవుతుననటటు ఉంది.
और तुमसे भी मिलकर बेहद खुशी हुई, गेल.	నినను కూడా కలవడం చాలా సంతోషం, గెల.
जलद ही वे तुमहारे पिताजी की तरह ही खतम हो जाएँगे.	ఏదెతేనేం, అవి కూడా మీ నానన లాగే తవరలో చసతాయి.
आज टरैमपोलिन पर कूद रही हैं. कल आपने कवच और तलवार खरीदे.	ఇవాళ టరాంపోలిన కొననావు. నినన ఒక కవచపు సూట అలాగే ఖడగం కొననావు.
- बयूसेफैलास डिजिटल डॉलर है. - नहीं.	- బుసెఫలస ఒక డిజిటల డాలర. - కాదు.
वे भददे बचचे जो ये बकवास गा रहे हैं.	ఆ చెతత పిలలలు పాడుతునన పిచచి పాట.
यह गलती से भेजी गई होगी.	పోనిలే, తపపు జరిగింది.
और बेशक मैंने तो वह नहीं मँगवाया.	నేనెతే దానిని కచచితంగా ఆరడర చేయలేదు.
एडगर और गरेस	ఎడగర & గరేస
बिलकुल नहीं.	అససలు లేదు.
वाह. धनयवाद.	వావ. థాంకస.
मैं आपको वह डेटा तुरंत भेज दूँगा.	నేను కూడా ఆ డేటా పె వెంటనే పనిచేసతా.
कया मेरे खून निकल रहा है? कयोंकि मुझे खून का सवाद आ रहा है.	నాకు రకతం వసతోందా? ఎందుకంటే నాకు రకతం రుచి తెలుసతుంది.
आप पहले से ही भीड के सामने बोलने से घबराती हैं.	నీకు ఇపపటికే అందరి ముందు మాటలాడడం అంటే భయం.
गरेस. इस शबद ने मेरा पागलपन साबित कर दिया.	గరేస. నా పిచచిని ధృవీకరించిన అయిదు అకషరాల పదం.
अरे, चलो भी. गेल. गरेस.	ఓహ, ఊరుకో. గెల. గరేస.
पर हर गुजरते दिन के साथ, कुछ गलत न होने का ढोंग करना	కానీ రోజులు గడిచేకొలది, నాకు ఎలాంటి సమసయ లేదు అని నటించడం
हम अपने परिवार की देखभाल करते हैं.	మన వాళళ సంకషేమం మనం చూసుకోవాలి.
कयों, उस पर राषटरपति का चेहरा छपा हुआ है.	ఎందుకంటే, దాని మీద ఒక పరెసిడెంట మొహం ఉంటుంది.
मैं इसतानबुल में एक शानदार शामन को जानता हूँ.	నాకు ఇసతాంబుల లో ఒక అదభుతమెన షామన తెలుసు.
जैसा कि मैंने सोचा था, उसने मेरा परस ले लिया.	వాడు నేను అనుకుననటటే నా పరసు తీసుకుననాడు.
और वह एक बेहद शानदार कामुक जादूगर भी है.	అలాగే అతను ఒక అదభుతమెన శృంగార మెజీషియన కూడా.
पर मेरे पैसे सिरफ मेरे हैं! मेरे!	కానీ ఆ డబబు మాతరం నాది మాతరమే!
एडगर और गरेस की शादी	ఎడగర మరియు గరేస వివాహం
पर मुझे खेद है कि आप अपना दिमागी संतुलन पूरी तरह से खो चुकी हैं.	కానీ నీ పుచచకాయ మొహానికి పిచచి బాగా పుచచినటటు అనిపిసతోంది.
तुमहें यह करने की जरूरत नहीं है.	నువవు ఆ పని చేయాలసిన పనిలేదు.
हे भगवान, शांत हो जाओ. मैं डर गई थी. कया तुम कभी नहीं डरी?	దేవుడా, శాంతించు. నాకు భయం వేసింది. నీకు ముందెపపుడూ భయం వేయలేదా?
एडगर हमारे डॉकटर से मेरे लिए नींद की गोलियाँ लाया था.	ఎడగర నాకోసం డాకటర నుండి నిదర మాతరలు తీసుకొచచాడు.
मरने से पहले एडगर को भरम हो रहा था. जो कि डेविलस टरमपेट का लकषण है.	ఎడగర చావడానికి ముందు వాడికి భరమలు కలిగాయి. అది డెవిలస టరంపెట కి ఉండే గుణం.
वह कहाँ जा रही हैं?	ఆమె ఎకకడికి వెళతోంది?
जहाँ शायद भेडियों ने उनकी जली हुई हडडियाँ चबाई.	అకకడ కాలిన ఆయన ఎముకలను బహుశా తోడేళళు తినేసి ఉండొచచు.
जाकर एडगर से कह दो कि वह मुझे पागल समझ सकता है	నువవు ఎడగర తో నాకు పిచచి ఎకకింది అని చెపతే చెపపుకో,
अगर उसने मेरा भाषण बदला, तो मुझे पता चल जाएगा.	వాడు గనుక నా పరసంగానని మారచి ఉంటే, నాకు తెలుసతుంది.
उनहें लगता है कि संरकषकता पर चरचा करने का समय आ गया है.	ఆయన ఇక నినను సంరకషకతవంలో పెటటె విషయానని ఆలోచించాలి అంటుననారు.
मुझे पता है मैंने कया देखा.	నేను చూసింది ఏంటో నాకు తెలుసు.
काम शुरू होने से पहले, मैं सुबह की कसरत करने जागा हूँ.	నేను ఉదయం మారకెట తెరవడానికి ముందు పరిగెతతడానికి నిదర లేచాను.
संरकषकता.	సంరకషకతవం.
आप कया कर रही हैं?	నువవు ఏం చేసతుననావు?
आपने अंगूठियाँ पहन रखी हैं?	మీరు మీ రింగులు తొడుగుకుననారా?
मैंने आपको बताया था कि उसका नाम गरेस है.	నేను నీకు ఆమె పేరు గరేస అని చెపపాను.
देख नहीं सकती मैं तुमहारे लिए पागल हूँ?	నాకు నువవంటే పిచచి అని తెలీడం లేదా?
कया एडगर ने तुमहें यहाँ भेजा?	నినను ఇకకడికి ఎడగర పంపాడా?
मुझे नहीं पता रॉश हशाना कया होता है, पर नहीं, तुम छुटटी नहीं ले सकती.	రోస హాశనః అంటే ఏంటో నాకు తెలీదు, కానీ కుదరదు, నువవు సెలవు తీసుకోవడానికి లేదు.
और जब तुम बूढे होगे और अपने बाल खोने लगोगे,	అలాగే మనం ముసలి వాళలమె, జుటటు రాలడం మొదలెనపపుడు,
एडगर और गेल की शादी	ఎడగర & గెల వివాహం
- और वे "ममबॉप" के बोल हैं? - हाँ.	- అలాగే అవి "మమ బాప" లిరికసా? - అవును.
उसने मेरे दिमाग से इतनी छेडखानी की थी.	వాడు నాలో ఎంతో గజిబిజి సృషటించాడు.
इजी? तुम अंदर हो?	ఇజజి? నువవు ఉననావా?
देखो. माँ को कूदते हुए देखो.	చూడు. మీ అమమ గెంతడం చూడు.
वह सच में बेहद शानदार है.	అది నిజంగా అదభుతంగా ఉంటుంది.
जहर पीने के 15 मिनट बाद शुरू होता है.	భరమలు మొదలవుతాయి అని మనకు తెలుసు.
मुझे लगने लगा था कि मैं सच में पागल हो रही थी.	నాకు మతిపోతుందేమో అని భయం వేయడం మొదలెంది.
मेरी चाबियाँ कहाँ हैं? फोन कैसे काम करता है? "	నా తాళాలు ఎకకడ? ఒక ఫోన ఎలా పనిచేసతుంది? "
अरे, माँ. आपकी दिमागी हालत खराब है. आपको भरम हो रहा है.	ఓహ, అమమా. నువవు భయపడుతుననావు. నువవు భరమలో ఉననావు.
अपने-आपको देखिए.	ఒకసారి నినను చూడు.
वह तलवार.	ఆ ఖడగమా.
अगर समझाना पडा, तो यह मजाकिया नहीं होगा.	అంటే, వివరించాలసి వసతే జోక లో ఉనన సరదా ఉండదు.
पर मेरे बेटे को मुझसे सहानुभूति नहीं थी.	కానీ నా కొడుకు అందుకు ఏమాతరం సానుభూతిగా లేడు.
और फिर भी, वह मर गया. और हम में से किसी ने उसकी हतया की.	అయినా కూడా వాడు చచచాడు. అలాగే ఇకకడ మనలో ఉనన ఒకరు వాడిని చంపారు.
मैं तुमहें वे डील पॉइंट तुरंत भेज दूँगा.	నేను నీకు ఆ డీల పాయింటలు వెంటనే వచచేలా చేసతా.
ठीक है, पर शायद केक में कोई और जहर डाला गया हो?	సరే, కానీ ఆ కేకులో వేరే విషం ఏమెనా పెటటి ఉండొచచు కదా?
बहुत खूब. पर इससे कोई फरक नहीं पडता है.	నినను మెచచుకోవాలి. కానీ అదంతా ఇపపుడు అనవసరం.
इसाबेल ने एडगर की हतया की.	ఎడగర ని చంపింది ఇసాబెల.
हरे जैतून. काले जैतून. जैतून कहाँ हैं?	పచచని ఆలివ లు. నలలని ఆలివ లు. ఆలివ లు ఎకకడ?
- माँ. - कया हुआ?	- అమమా. - ఏంటి?
तुमहें कया चाहिए?	నీకు ఏం కావాలి?
इसलिए उनहें अपने करीब रखो जो सच में परवाह करते हैं.	కాబటటి, మీరు పరేమించేవారిని దగగరగా ఉంచుకోండి.
किसी को तो करना ही था.	అంటే, ఎవరొకరు చేయాలి కదా.
एडगर ने भाषण बदल दिया.	ఎడగర ఆ సపీచ ని మారచేశాడు.
इसमें कितना समय लगेगा?	దీనికి ఎంత సమయం పడుతుంది?
- माँ. - उसने मेरे नितंब छुए.	- అమమా. - వాడు ననను ముటటుకుననాడు.
उसे अब भी मेरे पैसे चाहिए थे.	వాడు ఇంకా నా డబబు కావాలనుకుననాడు.
