पैनिक	పానిక
डेना ने कहा कि रे और डॉज ने कोरटेज को रोकने का पलान बनाया था.	రే, డాడజలు కోరటెజను ఆపేందుకు ఏదో ఆలోచిసతుననారని డేనా చెపపింది.
डॉज ने कहा कि वह आज रात रे से मिलकर बात करेगा कि कया करना है.	డాడజ ఈరాతరి విషయాలను కనుగొనేందుకు రేను కలవబోతుననటటు చెపపాడు.
तुमने हमें जो सबूत दिया, उससे मेरे परिवार को थोडी शांति मिली.	నువవు మాకు ఇచచిన సాకషయాలతో మా కుటుంబానికి పరశాంతత దొరికింది.
लूक ने मुझे इस सब से दूर रखा. बोला कि वह इतना ही कर सकता था.	లూక తన వయాపారానికి ననను దూరంగా ఉంచాడు. తను అదే చేయగలనననాడు.
-तुम सूरमा हो, हेदर. पता है? -मैं बस लिली के लिए कर रही थी.	-నువవు హీరోవి, హేథర. నీకది తెలుసా? -నేనది లిలలీ కోసం చేశాను.
-कोरटेज को बताया कि हम कहाँ जा रहे थे? -बेवकूफ हूँ कया?	-కోరటెజకు మనం వెళళే చోటు చెపపావా? -నేను అంత పిచచోడినా?
अगर कोरटेज जैसे लोग ऐसे भयानक काम करके बच सकते हैं,	కోరటెజ లాంటి వాళళు దారుణమెన పనులు చేసి తపపించుకుంటే,
अलग हो जाते हैं. एक समय पर दोनो को पकड नहीं पाएँगे.	మనం విడిపోదాం. వాళళు మనిదదరినీ ఒకేసారి పటటుకోలేరు.
-वह कया. . . -मर चुका है. हमें यहाँ से निकलना होगा.	-అతను. . . -చనిపోయాడు. మనం ఇకకడినుండి వెళళిపోవాలి.
मैं होती तो न लेती. कहानी में शायद तुमहें मार डाले.	నేను నీలా ఉంటే కాను. తన నవలలో నినను చంపేసి ఉండేది.
तुम और तुमहारी बहन लिली कब से इस घर में रह रहे हो?	ఈ ఇంటలో నువవూ, మీ చెలలి ఎంత కాలం నుండి ఉంటుననారు?
-डॉज गाडी में नहीं था! -हे भगवान, वह डॉज है कया?	-డాడజ ఆ కారులో లేడు! -అయయో దేవుడా, అతను డాడజయేనా?
-पर यह सोचने दे सकता हूँ कि वह जीतेगा. -पर. . .	-కానీ అతను గెలుసతాడని అనుకోనిసతాను. -కానీ. . .
-मुझे माफ कर दीजिए, ऐन. -तुम पैनिक खेल रही हो?	-ననను కషమించండి. ఆన. -నువవు పానిక ఆడుతుననావా?
बोला कि वह जिस मुसीबत में है, उससे निकालेगा.	తను ఇరుకకునన సమసయ నుండి అతను బయటపడేసతానననాడు.
वरना दूसरे जज को लगता मैं तुमहें जिता रही थी.	మరో నయాయనిరణేత నినను గెలిపిసతుననాననుకుంటారు.
अगर मैंने यहाँ से निकलने के लिए पैनिक खेला?	నేనికకడ నుండి వెళళిపోయేందుకు పానిక ఆడి ఉంటే?
डॉज आ गया. वह शुरुआत के फाटक पर आकर रुका है.	డాడజ వచచేశాడు. అతను పరారంభ గేటు దగగర ఆపాడు.
उसके खिलाफ जाने के लिए तुमहारी गाडी चाहिए.	అతనికి ఎదురుగా వెళళేందుకు, నీ టరక కావాలి.
आज रात सभी दरशकों को जलदी से याद दिला दें,	ఈరాతరి చూసతునన అందరికీ ఒకటి గురతు చేయాలి,
-रे को पता है? -उसकी गाडी अभी भी यहीं है.	-రేకు తెలుసా? -అతని టరక ఇంకా ఇకకడే ఉంది.
सिरफ तुमहारे परिवार के साथ गलत नहीं हुआ.	ఈ ఊరిలో విషాదం నీ కుటుంబం ఒకకరికే కాదు.
कोरटेज ने कहा हतया के लिए फँस सकता है.	తను హతయకు అరెసట కాగలడని కోరటెజ చెపపాడు.
मुझे हमेशा लगा कि हर बात की वजह पता थी.	నేను అననీ తెలుసుకోగలనని అనుకునేదానిని.
खुशकिसमती से, वह कहीं भी मिल जाता है.	అదృషటవశాతతు, అది ఎకకడెనా కనుగొనవచచు.
कोई नहीं जानता कि पैनिक किसने बनाया.	పానిక ఎవరు కనుగొననారో ఎవరికీ తెలియదు.
बात यह है कि दो दिन बाद जा रहा हूँ.	ఎందుకంటే నేను రెండు రోజులలో వెళతాను.
वह अपनी खुद की परछाई से बच सकती है.	తన నీడనుండి తపపించుకోవచచని అనుకుంది.
जिनके जवाब में मुझे झूठ कहना पडेगा.	వాటికి నేను అబదధపు జవాబులు ఇవవాలి.
हाँ, दूर किसी शहर को लेकर एक कालपनिक उपनयास जहाँ कुछ किशोर गरमियों में	అవును, పూరతిగా కాలపనిక నవల, అందులో ఎవరూ లేని చోట కొందరు యువతీయువకులు
शायद मेरे पास कोई और चारा भी नहीं.	నాకు మరో దారి ఉందని నేను అనుకోను.
तुमहारी बहन को लेकर अफसोस है, पर मेरे भाई ने उस पर गाडी नहीं चढाई.	మీ సోదరికి జరిగిన దానికి బాధగా ఉంది, కానీ తనను గుదదింది మా అనన కాదు.
हेदर भाला मुकाबले पर है. आओ चलें.	హేథర జౌసట దగగర ఉంది. వెళదాం పదండి.
रचनातमक परयवेकषक रवीनदर शंकर शुकल	కరియేటివ సూపరవెజర రాజేశవరరావు వలవల
लाइबरेरी की तसवीरें याद से लेना.	లెబరరీలో ఫోటోలు తీయడం గురతుంచుకో.
देवियो और सजजनो, लडको और लडकियो, फाइनल परतियोगिता में सवागत है!	సోదర సోదరీమణులారా, అమమాయిలు మరియు అబబాయిలు, చివరి సవాలుకు సవాగతం!
डिककी में मरी हुई लडकी मिली थी.	డికకీలో ఒకమమాయి శవం కనిపించింది.
तुम कोरटेज को जीतने नहीं दोगे न?	నువవు కోరటెజను గెలవనివవవు, కదా?
-तो, उसे जीतने दें? -नहीं, हेदर, हमें उसे जीतने देना होगा.	-అయితే, మనం అతనని గెలవనివవాలా? -లేదు, హేథర, గెలవనివవాలసిందే.
मुझे जिमी के अलावा और कोई नाम	జిమమీ కాకుండా ఆ చీటీలు ఇంకెవరు
हम दोनों यह मानेंगे कि इस गरमी के मौसम में काफी तकलीफ रही.	ఈ వేసవి ఇకకడ చాలా సమసయలు ఉననాయని నువవు, నేను ఒపపుకోవాలసిందే.
पर तुमहारी बहन लिली अभी छोटी है, और बचचे नाजुक होते हैं.	కానీ నీ చెలలెలు, లిలలీ, తను చిననపిలల, చిననపిలలలు బలహీనులు.
तुमहें लगता है किसी को अपने भाई की खोपडी फोडकर जाने दूँगा?	మా అనన తల పగలగొటటిన వాళళను ఊరికే వదిలేసతానని అనుకుననావా?
अचछा. मतलब अपनी शरतें जीतने के लिए कोरटेज कुछ भी करेगा.	సరే. అంటే కోరటెజ తన పందేలు గెలిచేందుకు ఏమెనా చేసతాడననమాట.
-सिरफ 30, 000 किमी चली है. -जरूर. जरा देखकर बताती हूँ.	-అది 20, 000 మెళళు మాతరమే తిరిగింది. -తపపకుండా. చెపతాను.
अरे, इस कशती पर सिरफ तुमहारे परिवार के साथ गलत नहीं हुआ.	ఛ, విషాదం జరిగిన కుటుంబం ఈ పడవలో కూడా నీ ఒకకడిదే కాదు.
हैलो. जीतकर अचछी लग रही हो.	హే, గెలిచిన నీ రూపం బాగుంది.
रे, तुमहारी गाडी में बम है.	రే, బాంబు నీ టరకకులో ఉంది.
तुम लोगों की बहुत याद आएगी.	నాకు మీరు చాలా గురతొసతారు.
और ढेर सारे सवाल पूछेंगे कि शेर बाहर कैसे निकल गया,	పులి ఎలా తపపించుకుందో అని ననను చాలా పరశనలు ఆడగటానికి.
फोन, पलीज. एक तुमहारे लिए. तसवीरें या वीडियो नहीं.	ఫోనలు ఇచచేయండి. నీకు ఒకటి. ఫోటోలు, వీడియోలు తీయకండి.
चिंता करने का कया फायदा?	పటటించుకోవడంలో అరథం ఏంటి?
खेल को मात देने के लिए आप खुद चुनौटी तय करते हैं.	ఆటను ఓడించటానికి, మీ సవాళళను మీరు ఏరపరచుకోవాలి.
तुमहें खोजते हुए जब मैं	నేను లూక పడవలో ఉననపపుడు,
उनहोंने तुमहें दिया था?	నీకు ఇది ఇచచింది అతనేనా?
हर जवाब के दस कदम, हाँ?	ఒకకో జవాబుకు పది అడగులా?
किसी लडकी के साथ तुमहें लगता है कि उड रहे हो.	కొనని అందమెనవి మీరు తేలిపోతునన భావన కలిగిసతాయి.
-तुमने लिली को पैनिक के बारे में बताया? -नहीं.	-లిలలీకి పానిక గురించి నువవు చెపపావా? -లేదు.
कोरटेज झूठ बोल रहा था.	కోరటెజ అబదధమాడుతుననాడు.
हाँ, हम बदल चुके होंगे. पर तब भी हम ही होंगे.	అవును, మనం వేరుగా ఉంటాం. కానీ ఒకటిగా ఉంటాం.
माफ कीजिए. बार बंद है.	కషమించాలి. మూసివేశాం.
वह कया कहना चाहता है?	ఏం చెపపాలనుకుంటుననాడు?
चलो, नैट. तुम कहाँ हो?	అబబా, నాట. ఎకకడుననావ?
उसके बाद बम फट जाएगा.	పాపం 20 నిమిషాలే ఉంది.
आज रात की चुनौती में विजेता को सब मिलेगा.	ఈరాతరి సవాలు ఏంటంటే విజేత అంతా తీసుకుంటాడు.
मैं मेलनी कोरटेज हूँ.	నేను మెలని కోరటెజను.
मैं तुमहें जानती हूँ.	మీరెవరో నాకు తెలుసు.
उसी ने बंदूक बदली थी.	తుపాకీ మారచింది తనే.
हे भगवान. मैं जीत गई?	అబబా. నేను గెలిచానా?
मुकाबला करने का अधिकार खो देने के चलते,	రాకుండా పోటీపడే హకకును కోలపోయినందుకుగాను,
अगर कभी पशचिम की तरफ आए, तो मेरा नंबर है.	ఎపపుడెనా ఇకకడికి వసతే, నా నంబరు ఉందిగా.
उसके लिए जीतना जरूरी है. मैंने कुछ सोचा है ताकि वह न जीते.	అతను గెలవాలనుకుంటుననాడు. అతను గెలవకుండా ఉండేందుకు నాదో ఆలోచన.
हमें पता लगाना होगा.	సరే, మనం కనుగొనాలి.
-हैलो. . . -यहाँ आओ.	-నేను. . . -ఇలా రా.
रुको. कल भाला मुकाबला है. तुम कया करोगे?	ఆగు. రేపే జౌసట. నువవు ఏం చేయబోతుననావు?
-हैलो, ऐशली! -हैलो.	-హే, అదిగో ఆమె! -హే.
अगले साल के लिए किसी को नहीं चुनोगी न?	నువవు వచచే ఏడాదికి ఎవరినీ ఎంచుకోవు, కదా?
तो यह मेरी वयकतिगत चुनौती को लेकर था.	అయితే ఇది నా వయకతిగత సవాలు గురించననమాట.
-डॉज, यह. . . बहुत अचछी बात है. -हाँ.	-డాడజ, అది. . . అది అదభుతమెనది. -అవును.
कि जीत उसी की होगी.	అలానే అనిపిసతుంది.
जैसा डॉकटर ने बताया, बडा हिममतवाला है.	డాకటర చెపపినటటుగా, తను అసలెన యోధుడు.
पता है किस बात का सबसे जयादा डर है?	నాకు చాలా భయం కలిగించేది ఏంటో తెలుసా?
"जाएँगे कि तुमने बचचे को मार डाला. "	"నీ పాపాయిని చంపావని తెలుసతుంది. "
नैटली ने मुझे पुलिस की रिपोरट दिखाई.	నాటలీ పోలీసు నివేదికలు చూపించింది.
ऐन को पता नहीं था कितना समय लगेगा.	ఆనకు తను ఎననాళళకు వెళుతుందో తెలియదు.
कयों? मुकाबले में उससे जा टकराओगे?	ఎందుకు? జౌసటలో అతని మీదకు నడుపుతావా?
हम बदल चुके होंगे.	మనం వేరుగా ఉంటాం.
इस समय वह मुकाबले की ओर जा रहा होगा.	పరసతుతం, అతను జౌసటకు వెళళుతుంటాడు.
पर वह अपनी परछाई से बच नहीं सकती थी.	కానీ తన నీడను తపపించుకోలేకపోయింది.
हेदर के बारे में कया जानना चाहते हो?	మీరు హేథర గురించి ఏం తెలుసుకోవాలి?
पर उसी दौरान गाडी की चोरी के लिए, लूक पकडा गया था.	సుమారు అదే సమయంలో, లూక ఒక కారు దొంగిలిసతూ పటటుబడడాడు.
और उसे पता चल गया था कि उसके पिता	వాళళ నానన ఆబీని ఆటనుండి తపపుకోవాలని
किसी लडकी का चेहरा पयारा होता है.	కొనని అందమెనవి చూడటానికి బాగుంటాయి.
मुझे डर है कि तुमसे पयार हो रहा है.	నేను నీ పరేమలో పడిపోతుననానని భయం.
इसलिए लडकी रुकी और उससे नजरें मिलाने के लिए मुडी.	చివరకు ఆమె దానిని కలిసేందుకు ఆగి, వెనుకకు తిరిగింది.
अब नहीं खेल रही.	ఇకమీదట ఆడడం లేదు.
तो, तुम यहाँ माफी के लिए आई हो?	అయితే, కషమాపణల కోసం వచచారనుకుంటా?
आपको दुखी भी करे, उसके लिए कोई शबद होना चाहिए.	అది నినను సంతోషపెడుతుంది అలాగే బాధపెడుతుంది కూడా.
मैं संभाल लूँगा.	నేను చూసుకుంటా.
तुमहें लगता है खेल में हारकर उसे जीतने दूँगा?	నేను నా ఆటను పాడు చేసుకుని అతను గెలిచేలా చేయాలా?
अचछा, दोसतो. आप सभी शो की उममीद लगाए बैठे थे,	సరే. నాకు తెలుసు మీరందరూ పరదరశన కోసం చూసతుననారు,
तो कुछ भी करने का कया फायदा है?	ఇంకా ఇవననీ చేయడంలో అరథం ఏంటి?
शायद उसके पास कोई चारा नहीं था.	బహుశా అతనికి మరో దారి లేదేమో.
टेकसस में दूर किसी जगह पर भी.	ఎవరు లేని చోటు, టెకసాసలో అయినా.
तुमहें शुकरिया कहना चाहता था.	నీకు కృతజఞతలు తెలుపాలనుకుననాను.
मुझे आज पता चला कि कोरटेज शरतें लगा रहा था.	కోరటెజ పందేలు కాసతుననటటు నాకు ఈరోజే తెలిసింది.
-आज रात इसे खतम करने का मौका है. -कया मतलब?	-మనకది ముగించేందుకు ఈరాతరే అవకాశం. -అంటే ఏంటి?
"कल सभी जान जाएँगे कि तुम रखैल हो. अगर तुमने न छोडा तो वे जान	"రేపు, నువవు వయభిచారివని అందరికీ తెలుసతుంది. తొలగపోకపోతే,
-मैंने कुछ छानबीन की. -अचछा.	-నేను కొంత పరిశోధించాను. -సరే.
वह सारा इलजाम लूक पर लगाएगा.	నింద లూకపె వేయాలని అనుకుననాడు.
यह एक संदेश है.	ఇది ఒక సందేశం.
कया मतलब, "जीत सकती हूँ"? उनहोंने तुमहें वह चिटठी कब दी?	"ననను గెలిపించడం" అంటే ఏంటి? అతను నీకు ఆ చీటీ ఎపపుడు ఇచచాడు?
अचछा होगा अगर तैयारी न रखूँ.	పరణాళిక లేకపోవడం బాగుంటుందేమో.
शुकरिया, पर कोई तकलीफ नहीं.	ధనయవాదాలు, కానీ ఏ సమసయా లేదు.
वह कोरटेज को जीतने नहीं देगा,	తను కోరటెజను గెలవనీయనననాడు,
लिली! मुझे तुमसे बात करनी है.	లిలలీ! నేను నీతో మాటలాడాలి.
-कुछ भी कहो, ठीक है? -अचछा.	-ఏదో ఒకటి చెపపు, సరేనా? -సరే.
कि आगे का कभी सोचा ही नहीं.	తరువాత ఏం చేయాలో ఆలోచించలేదు.
पकका आज रात नहीं चलना चाहती?	ఖచచితంగా నువవీ రాతరి రావా?
ठीक है. कशती वाले अडडे पर. रात 9: 00 बजे.	మంచిది. బోటయారడ దగగరకు రాతరి 9 గంటలకు.
जो खूबसूरत हो, पर जो खुश करने के साथ-साथ,	అందమెనది అని చెపపేందుకు ఒక పదం ఉండాలి,
वह डॉज पर शरत लगा रहा था?	అతను డాడజ మీద పందెం కాశాడా?
रात को एक साथ सोने से पहले.	ఫరెండ ఇంటికి వెళళినపపుడు.
इस गरमी के मौसम के बाद. . .	అంటే, ఈ వేసవి తరువాత. . .
जज - शेरिफ रिलीफ एसोसिएशन दान की सराहना!	జడజ - షెరీఫ రీలీఫ విరాళానికి అభినందన!
टरेन वाले पुल पर तुमहारा वह वीडियो देखा.	నేను రెలు వంతెన పెన నీ వీడియో చూశాను.
आधे घंटे में कोरटेज मेरी गाडी लेकर मुकाबले में जाएगा.	కోరటెజ అరగంటలో నా కారు తీసుకెళళి, జౌసటకు వెళతాడు.
-कया मतलब? -लूक डॉज को मुझसे आगे कभी नहीं जाने देगा.	-అంటే ఏంటి? -డాడజ నాపె గెలిచేందుకు లూక సహాయపడడు.
जेसिका हो न?	జెససికా, కదా?
और फिर, अगर वही अंत हो तो?	ఇంకా, అదే ముగింపు అయితే?
-तुम उसे वह रकम जीतने दोगे? -नहीं, जीतने नहीं दूँगा,	-నువవు అతనిని ఆ డబబంతా గెలవనిసతావా? -గెలవనివవను,
हम झील के बीच में कशती पर हैं, इसलिए मुझे तो लगता है	పడవలో మనం చెరువు మధయలో ఉండి, అతనని గెలిపిసతుంటే,
वीडियो तुमहारी सहेली - नैट	వీడియో జత పరిచాను నీ-నాట
चलो भी, रे. सब जानते हैं कि तुमहारे बीच कुछ हुआ.	ఊరుకో, రే, ఈ వేసవిలో తనతో జత కటటావని అందరికీ తెలుసు.
कया हुआ, लैंगली? कया बात थी जो फोन पर नहीं बता पाई?	ఇదేంటి, లాంగలీ? నువవు నాకు ఫోనలో చెపపలేనిదేంటి?
सच में नहीं पता कि उससे किसने कहा. . .	తనకు అది ఎలా తెలిసిందో తెలియదు. . .
मैं होती तो तुमहारी कहानी बदल देती.	సరే, నేను నీ కథను మారచడం మొదలుపెడతాను.
हमें तय करना होगा कि कौन सी लडाई लडें.	మన పోరాటాలు మనమే ఎంచుకుంటామనుకుంటా.
-मुझे जाना है. मेरे पापा. . . -हाँ.	-నేను వెళళాలి. మా నానన. . . -అవునవును.
वह हमें धोखा दे रहा है.	డేనా, తను వాడుకుంటుననాడు.
अभी भी एलए जाना चाहती हो?	ఎలఏ వెళళాలనుకుంటుననావా?
लूक की नाव पर गई, तो शरत वाली परचियाँ मिलीं.	నీకోసం వెతుకుతుంటే నాకు పందేల చీటీలు కనిపించాయి.
अगर कुछ हुआ होता, तो वह फोन करता.	ఏదెనా జరిగి ఉంటే, ఫోన చేసి ఉండేవాడు.
इसने मुझे उँगली दिखाई.	తను నాకు వేలు చూపించాడు.
मैं हॉल हूँ.	నేను హాలను.
-संभालने वाले ने कहा कि चोरी हो गए. -हाँ. अजीब सा लग रहा है.	-బయాగమయాన అంతా పోయిందననాడుగా? -తెలుసు. నాకు భయంగా ఉంది.
तुम सब अपना खयाल रखना. शेर खुले में घूम रहा है.	మీరు జాగరతతగా ఉండండి. పులి బయట తిరుగుతుంది.
कि हम जहाँ जा रहे हैं, वहाँ एक बंद गली है.	అది మేము చేరుకునేది వేరే దారి లేని ముగింపుకని.
हर रोज वीडियो कॉल करना.	పరతి రోజు ఫేసటెం చెయ.
इसलिए पैनिक सडक पर खतम होता है.	అందుకే పానిక రోడడు మీద ముగుసతుంది.
-सबूत के बिना. . . -पर सबूत है.	-ఏ ఆధారం లేకుండా. . . -ఆధారం ఉంది.
मैंने सुना कि चाइलड परोटेकटिव सरविसेज वाले तुम लोगों से मिलने आए थे.	నినను శిశు సంరకషణ సేవా వాళళు కొననిసారలు వచచి కలిశారని విననాను.
चलो भी. वे कहाँ हैं?	అబబా. అవి ఎకకడ ఉననాయి?
शायद वह लूक के साथ हो.	అతను లూకతో ఉననాడేమో.
इसने मुझे उँगली दिखाई.	నాకు వేలు చూపించాడు.
ऐसा है कि तुम शेरिफ का इकलौता राज नहीं.	చూసతుంటే, షెరీఫ రహసయం నీదొకకటే కాదులా ఉంది.
-डॉज कहाँ है? -मुझे. . . मुझे नहीं पता.	-డాడజ ఎకకడ ఉననాడు? -నాకు. . . నాకు తెలియదు.
मैंने कभी नहीं सोचा था कि रे हॉल नहीं आएगा.	రే హాల రాకుండా ఉంటాడని ఎననడూ అనుకోలేదు.
उनहोंने कसम ली थी कि न बताऊँ.	చెపపకుండా పరమాణం చేయించుకుననాడు.
चुनौती, यह देखना कि गाडी का सटियरिंग तुम नहीं घुमाते.	సవాలు ఏంటంటే, మీరు పకకకు తపపుకోకుండా చూసుకోవాలి.
रूसी रूलेट का खेल खेलते हुए, जिमी ने खुद को मार डाला.	జిమమీ రషయన రోలెట ఆట ఆడుతూ తనను తాను చంపుకుననాడు.
एक सडक, एक गली, और दोनों की घबराहट बढाने के लिए आधा मील का सफर.	ఆందోళనకు గురిచేసే ఒకే రోడడు, ఒకే మారగం ఇంకా చెరో అర మెలు.
नहीं. तुम मुझे अपनी गाडी की चाबी दोगे.	లేము. నువవు నాకు నీ కారు తాళాలు ఇసతుననావు.
उसे मेरे बिना नींद नहीं आती.	నేను పకకన లేకుండా తను నిదరపోదు.
-काश रे थोडा जलदी करे. -हाँ.	-రే తవరగా వసతే బాగుండు. -అవును.
और जब समझ में आ जाएगा, उससे नजरें मिलाना,	నీకు అది తెలిశాక, దాని కళళలలోకి చూడు,
मैंने बताया था, याद है? बस घर की देखभाल कर रहे हैं.	చెపపానుగా, గురతుందా? మేము ఇలలు చూసుకుంటుననాము.
एक को मुडना होगा, वरना दोनो को खेल से जयादा हारना होगा.	అందులో ఒకరు తపపుకోవాలి, లేదా ఇదదరూ ఆటతోపాటు మరినని కోలపోవాలి.
तो हम बराबरी पर हैं.	మనం సమానంగా ఉననాం.
तुमहें किसी और से भी नफरत करनी होगी.	నువవు దవేషించేందుకు మరొకరిని చూసుకోవాలి.
-बिशप ने बताया कि तुम वहाँ हो. -कया?	-నువవకకడికి వచచావని బిషప చెపపాడు. -ఏంటి?
कयोंकि पल भर के लिए,	ఎందుకంటే ఒకక కషణం,
अफसोस उसे अपनी जीत का मजा लेने के लिए सिरफ 20 मिनट मिलेंगे,	ఆ బాంబు పేలేందుకు ముందు అతను పొందే విజయానందానికి ఇంకా
नहीं, जानकारी के लिए मेहरबानी. बहुत-बहुत शुकरिया.	లేదు, సమాచారానికి అభినందనలు. చాలా ధనయవాదాలు.
जानना होगा कब जीतने के आसार कम हैं.	గెలిచే అవకాశం ఎపపుడు ఉండదో తెలుసుండాలి.
देखा जाए तो, मेरा आभारी होना चाहिए.	నిజానికి, నువవు నాకు కృతజఞతలు తెలుపాలి.
-वह फाटक के पास आकर रुका है! -रे आ गया.	-అతను గేటు వరకు వచచాడు! -రే వచచాడు.
पर सभी को एक ही बात का डर है.	కానీ మా అందరిలోనూ ఒకే భయం.
कोरटेज उसे बलैकमेल कर रहा था?	కోరటెజ అతనిని బెదిరించాడా?
ऑटोटरेडरस, आपकी कया मदद करूँ?	ఆటోటరేడరస, ఎలా సహాయపడగలను?
तुम सच में कोरटेज के साथ भसम होने की सोच रहे थे,	కోరటెజతో పాటు నువవూ పేలిపోవాలని అనుకుననావా,
तो पूछ कयों रहे हो?	మరి అడగడం దేనికి?
चलो भी, हेदर. मैं थैंकसगिविंग पर घर आऊँगा.	సరేలే, హేథర. నేను ఇంటికి థయాంకసగివింగకు వసతాను.
अमीर बनकर कैसा लग रहा है?	ధనికురాలిగా ఎలా అనిపిసతుంది?
हमें झूठा बताएगा. शरत वाली परची नकली है.	పందెం చీటీలు నకిలీవని, మనది అబదధమని అతనంటాడు.
लिली को लगा कि वह पैनिक नामक एक खुफिया खेल खेल रही थी.	లిలలీ తను పానిక అనే రహసయ ఆట ఆడుతుననదని అనుకుంది.
वैसे. . .	సరే. . .
मेरी गाडी लेकर करने नहीं दे सकता था.	నినను నా టరకకుకు అలా చేయనీయలేను.
अब, तुमहारी गाडी में है.	ఇపపుడు, అది నీ దానిలో ఉంది.
तीन. . .	మూడు. . .
-डॉज! -अरे, यार!	-డాడజ! -ఛ, మితరమా!
सपरलॉक वाले धोखे के बारे में डिगिनस को बताया,	నువవు సపరలాక పొలంలో మోసం చేసినటటు చెపపి,
उनहोंने कहा अगर मैं भी खेली तो तुम पैनिक जीत सकती हो.	నేనూ ఆడితే నినను పానికలో గెలిపించవచచని చెపపాడు.
-नैट, तुम भाला मुकाबले पर हो? -नहीं, रे के घर पर हूँ.	-నాట, జౌసట దగగరుననావా? -లేదు, రే ఇంటికి వచచాను.
-तुमहें हुआ कया है? -माफ करना, यार.	-నీకు ఏమయింది? -ననను కషమించండి.
घूमने-फिरने के लिए कुछ तो चाहिए था.	అంటే, నాకు ఒక కొతత బండి కావాలి.
-डॉज. . . -फिर मिलूँगा.	-డాడజ. . . -మళళీ కలుసతాను.
मैं इसे जलाना चाहती थी.	అది కాలచేయాలని అనుకుననాను.
यह कया? कोरटेज भाला मुकाबले पर है?	ఏంటి? జౌసట దగగర కోరటెజ ఉననాడా?
