धनयवाद.	మంచిది!
कुछ हफतों के लिए भारत में हूँ. डरिंक पीने चलोगे? या फिर कॉफी?	నేను ఇండియాలో రెండు వారాలుంటాను. కలిసి ఓ డరింక తాగుదామా? లేక కాఫీ?
मैं तुमहारी मदद करूँगा. बताओ कया करूँ? ?	నేను మీకు సాయం చేసతాను. ఎలాగో చెపపండి?
आपको पसंद है?	నేను నచచానా?
अभी- अभी गृह मंतरी ने मंजूरी भेजी है, बिलकुल समझ नहीं आ रहा उनको कहाँ बिठाएँ.	ఇపపుడే హోం మినిసటరూ కనఫరమ చేసారు మాకేమో ఆయనని ఎకకడ కూరచోబెటటాలో తెలీదు.
पतरकार: मैडम, मैडम, मैडम.	మేడమ, మేడమ, మేడమ, మేడమ.
पुलिस कुछ नहीं करेगी, वह एक मामूली इंसान है. . .	పోలీసులు ఏం చెయయరు, అతను ఎవరో ఓ సాధారణ వయకతి
बिंदु: शुकरिया. तुमहारे झुमके बडे सुंदर हैं.	థాంకస. నువవు పెటటుకునన ఇయర రింగస చాలా బావుననాయి.
अरे, बेटी हम खो नहीं दे रहे हैं. बेटी के बदले में बेटा पा रहे हैं.	మేం మా కూతురనేం పంపించెయయటలేదు. పెగా, కొడుకుని తెచచుకుంటుననాం.
पता है, बहुत अचछा लगा कि तुम आ पाई.	నువవు రావడం చాలా బావుంది తెలుసా.
अगर उससे पयार करता, तो उससे शादी की होती. मैंने तुमसे शादी की.	నేను తనని పరేమించి ఉంటే, తననే పెళళి చేసకునేవాడిని. నినను చేసకుననాను.
- हेलो, विशाल सर. - हेलो.	- హలో, విశాల, సర. - హలో.
वो कमरे में बंद हैं.	తనని గదిలో లాక చేసారు.
तुमहें पता है. मुझे पता है. तुम उससे पयार करते हो.	అది నీకు తెలుసు. నాకు తెలుసు. నువవు తనని పరేమిసతుననావు.
बहुत अचछा बंदोबसत किया ना इन लोगों ने?	చాలా మంచి ఎరేంజమెంటస చేసారు కదా వీళళు?
रुको एक मिनट. रोहिनी? रोहिनी?	ఆగు, ఒకక నిముషం. రోహిణీ! రోహిణీ!
और ईशवर का आशीरवाद माँगो.	ఆ తండరి ఆశీససులు అరధించు.
- तुमहारी बकवास सहती रहती हूँ. - मैं नहीं. . .	- నేనింక భరించలేను. - నేను చెయయలేదా? నేను చెయయలేదా?
हाँ? हम तीनों के बीच का राज है.	ఆ? ఇది మన ముగగురి మధయలో సీకరెట.
सारे नाम लिखे हैं. . .	అననీ రాసుకుననాం, ఇంకా
ये संसकृति है किसकी?	ఇది ఎవరి సంసకరుతి?
जैज, वो बैटरी पकडा दे, यार.	జాజ, కొంచెం బయాటరీనిలా ఇసతావా?
अभी भी मजे ले रहो हो, शायद.	వయసులో ఎంజాయ చేసతుననావనుకుంటా.
कबीर कहता रहता है, "जैज बहुत ही मजेदार है. "	కబీర నాకు ఎపపుడూ చెబుతుంటాడు, జాజ సరదాగా ఉంటుందని
लोग कहते हैं मुझमें वो बात है कि देश का अगला परधानमंतरी बन सकूँ.	పరజలు నాలో ఈ దేశానికి తరవాతి పరధానమంతరి అయయే సతతా ఉందంటుననారు.
तो, तुमने सतता पकष को चुनौती दी है, हाँ?	అంటే, నువవు రూలింగ పారటీనే ఢీకొననావా?
वह राजनीति जगत से हैं. उनहोंने ये जिंदगी देखी है.	తను రాజకీయ కుటుంబానికి చెందినది. తను జీవితానని చూసింది.
- मैं ऐसा बिलकुल महसूस नहीं करता! - बिलकुल महसूस करते हो!	- నేనలా అనుకోవటలేదు! అససలు కాదు. - అఫ కోరస, అలాగే అనుకుంటుననావు!
एक बैटरी ही तो है.	జసట బయాటరీ అంతే.
- तुमने गलती की! मैंने गलती की! - ऐसा मत कहो. . .	- నువవు నాశనం చేసావు! నేను నాశనం చేసాను! - అలా అనకు
बस इतना कह दिया कि उसके हारमोन का संतुलन बिगड गया था.	ఏదో కెమికల ఇంబయాలెనస వలల చనిపోయిందని చెపపారంతే.
अपनी बहन की मौत की साजिश का किया खुलासा	తన అకక మరణం గురించి కుతంతరానని బహిరంగపరచింది
- एक बार चलके देख लीजिए. - नहीं, मैं फोटो शूट करा. . .	- మీరొకక సారి వచచి చూడరా? - లేదు, నేను ఫొటో షూట మధయలో ఉననాను.
किसी को इस बारे में नहीं पता, खबर को पूरी तरह से दबा दिया गया था.	ఇది ఎవరికీ తెలీదు, వాళళు ఈ విషయాలననీ బయటకి రాకుండా దాచేసారు.
कया तुम, नूतन यादव, जॉन मैथयू को अपने पति के रूप में सवीकार करती हो?	నూతన యాదవ అనే నీవు, జాన మేథయూని నీ చటటపర భరతగా అంగీకరిసతుననావా?
सिरफ सतता पकष उनहें गिरा सकता है.	కేవలం రూలింగ పారటీయే వాళలని అణచగలదు.
सर, असल में उनको वहाँ बाडे के पास बिठाया जाएगा.	సర, నిజానికి వాళలంతా అకకడ ఆ కంచెల దగగర కూరచుంటారు.
राजीव: देखो भई, हर पिता चाहता है कि उसकी औलाद तरककी करे.	చూడండి, పరతీ తండరీ తన కొడుకు గొపపవాడు కావాలని కోరతాడు.
मैं नहीं, मेरी नूतन बुआ है दुलहन.	నేను కాదు. మా నూతన అతత పెళళికూతురు.
तुम भी तो पहली बार इससे मिली थी. तुमहें याद है इसने कया पहना था?	అదే నువవూ తనని కలిసిన మొదటిసారి. నీకు గురతుందా తనేం తొడుకకుననాడో?
ये लो. ये डोरा के लिए.	ఇదిగో, ఇది డోరా కోసం.
मुझे पता है इसके लिए बहुत बडा है.	నాకు తెలుసు అది చాలా పెదదదని.
देखिए, यादव जी का परिवार का हिससा बनने की बेहद खुशी है मुझे.	మాకు యాదవ గారి కుటుంబంలో భాగం కావడం చాలా ఆనందంగా ఉంది.
"मेरे साथ ऐसा कयों कर रहा है? बात करते हैं. तुमहारा अपना. . . नवाब? "	"ఇలా ఎందుకు చేసతుననావు? నాతో మాటలాడవా. ఎపపటికీ నీవాడెన, నవాబ? "
अलमारी में देखो.	బీరువాలో చూడు.
कमाल की कववाली है. आप लोगों ने समां बाँध दिया.	కవవాలీ అయితే అదిరిపోయింది. మీ అందరికీ థాంకస.
हम इस सोच के साथ उठते हैं कि भगवान ने आज हमारे लिए कया सोच रखा होगा.	అందరూ నమమేది ఒకకటే ఆ దేవుడు ఏం రాసి పెటటి ఉంటే అదే జరుగుతుందని.
समाचार वाचिका: मिसटर करन मेहरा, जिनहोंने सुपरीम कोरट से अपील की है. . .	మి. కరన మెహరా, ఎవరు ఈ విషయమె సుపరీం కోరటులో పిటిషన వేసారో. . .
- नहीं! नहीं! नहीं! - और मुझे बरदाशत करते रहना होगा.	- కాదు! కాదు. కాదు! - నేను దానని భరిసతూ ఉండాలి.
- कर कया रही हो? - तुम लगातार फैजा से मिलते रहे.	- ఏం చేసతుననావు? - నువవింకా ఫెజాని కలుసతూనే ఉననావు కదా.
नहीं, खुद पहनकर देखूँगी.	వదదు, నేనే వేసుకుంటాను.
कतई बरदाशत नहीं करेंगे.	దీనని సహించి ఊరుకోం.
अगर मुझे कुछ हो जाए,	నాకు కనక ఏదెనా జరిగితే,
सूंघो और पियो, घुमाओ, हाँ.	వాసన చూసి తాగు, తిపపు, అది.
कि अगर तुमहें पा लिया, अगर ये जिदगी पा ली, तो मैं खुश रहूँगी.	నువవు నాతో ఉంటే, ఈ జీవితం దొరికితే, సంతోషంగా ఉంటానని.
- मैं एक सिगरेट पी लेता हूँ. - हाँ. जी.	- ఈలోగా నేనో దమము కొటటి వసతాను. . - ఆ. అలాగే.
तुम सच में बहुत अचछे इंसान हो.	నువవు నిజంగా మంచి మనిషివి.
आंटी, बस पाँच मिनट लगेंगे.	ఆంటీ, ఐదు నిముషాలు కూడా పటటదు.
वह अपना लंड मेरे चेहरे पर घुमाता रहा, तो. . .	ఇంక, వాడు నా మొఖంపె వాడి వెనక బాగం పెటటెవాడు.
- अचछा? अचछा. - वरुण: सूंघो और पियो.	- అవునా? ఆహా. - వాసన చూసి తాగు.
पता नहीं तुम कया कहे जा रही हो!	నాకేం అరధం కావటలేదు నువవు మాటలాడేది!
जब इसकी शादी होगी?	తనకి పెళలయినపపుడా?
- तुम मुझसे पयार नहीं करते. - तुमने मेरी जिंदगी संवारी!	- నువవు ననను పరేమించటలేదు. - నా జీవితానని మెరుగగా చేసతావనుకుననా!
- तैयार हैं? - इस तरफ देखना है ना?	- ఓకే, రెడీయా? - ఆ, ఇలా రండి. అదీ.
यादव-कुमार शादी टूटने के बाद, राजनैतिक गठबंधन मुशकिल में	రాజకీయ సంకీరణం చికకులలో యాదవ-కుమార పెళళి నిలిచిపోయాక
मुझे लगा था सब बहुत अचछा होगा.	అంతా బాగుటుందనుకుననాను, తెలుసా.
- रुको, कया? - हम एक जैसे हैं, आदिल.	- ఆగు, ఏంటి? - మనిదదరం ఒకటే, ఆదిల.
नहीं, इसमें नहीं हो सकते वो. बहुत बडे हैं.	కాదు, ఇందులో పటటవు. అవి చాలా పెదదవి.
- किशोर: और दोनों कुतते. - शुकरिया.	- ఇంకా రెండు కుకకలు. - థాంకయు.
मुझे माफ करना, दोसतो.	అయాం సో సారీ, గెస.
तूने बडा मेहरबानी किया है ना? गटर से उठाया मुझे?	నాపె చాలా దయ చూపించావు, కదా? ఆ మురికివాడలోంచి తీసుకొచచి.
और जाहिर है, मैं पुलिस के पास नहीं जा सकता.	ఇక సపషటంగా, నేను పోలీసుల దగగరకి వెళళలేను.
6 सितंबर, 2018 को, भारत के सुपरीम कोरट ने निरविवादित रूप से ये फैसला सुनाया	సెపటెంబర 6, 2018, సుపరీం కోరట ఆఫ ఇండియా ఏకగరీవంగా రూలింగ ఇచచింది
कबीर: कया? बस करो, मजाक कर रहा था.	ఏంటి? నోరముయ, జోక చేసతుననాను.
बैटरी बदली करता हूँ मैं, एक सेकंड.	బయాటరీ మారుసతాను, ఒకక నిముషం.
नूतन दीदी कमरे में नहीं है.	నూతన అకక తన గదిలో లేదు.
मुझे फरक पडता है.	నేను పటటించుకుంటాను.
पर मुझे याद है जब मैंने पहली बार इसे देखा था.	కానీ నాకు తనని మొదటిసారి చూడడం గురతుంది.
- चीजें तोडना बंद करो. - मैं ऐसा बिलकुल नहीं सोचता.	- అలా అననీ అనవసరంగా పగలగొటటకు. - అలా నేనసలు అనుకోవటలేదు.
नई दिशा में ले जाकर, खनना इनफरासटरकचर को खडा किया है.	ఎతతుకి తీసుకెళళి ఖననా ఇనఫరాసటరకచర నెలకొలపారు.
- रुको. एक सेकंड. तुमने कया. . . - हम दोनों इसके लिए जिममेदार हैं.	- ఆగు, ఒకక నిముషం. ఏం చేసావు - దీనికి మనిదదరమూ బాధయులమే.
मेरे पास तसवीरें हैं. मेरे पास सबूत है!	నా దగగర ఫొటోలుననాయి. సాకషయం ఉంది.
तुम पयार करते हो उससे.	నువవు దానని పరేమిసతుననావు.
वह ऐतिहासिक फैसला, जिसने एक लिंग के सहमत वयसक लोगों के	ఈ చారితరాతమక తీరపు, ఏది అంగీకారం ఉనన ఒకే లింగపు ఈడొచచిన వారి మధయ
वो खेलती नहीं हैं. सिरफ रोती रहती हैं.	తను ఆడదు. ఎపపుడూ ఏడుసతూ ఉంటుంది.
मेरी बहन या मेरी माँ के लिए कुछ-कुछ करते हो.	నువవు మా అమమకీ అకకకీ ఏవో చేసిపెటటావు.
इसमें तीन होने चाहिए. तीनों के तीन पहना देना, हाँ.	అవి మూడుండాలి. అది మూడూ వేసుకునేటటలు చూడు.
तारा: कयों? कयोंकि तुम ईसाई हो?	ఎందుకని? నువవు కరిసటియననా?
मेरे पिता, बरजेश यादव, जबरदसती मेरी शादी विशाल सिंह से करवा रहे थे.	మా నానన, బరజేశ యాదవ, ననను బలవంత పెటటారు విశాల సింగుని పెళళిచేసుకోమని.
और रात को तैयार रहना, ठीक है?	ఈ రాతరికి రెడీగా ఉండు, ఓకే?
मुझे डर है वह कहीं खुद को कुछ कर ना ले.	నాకు భయమేసతోంది తను ఏమెనా చేసుకుంటుదేమోనని.
कि भारतीय दंड संहिता की दफा 377 असंवैधानिक है.	ఇండియన పీనల కోడలోని సెకషన 377 రాజయాంగబదధమెనది కాదు అని.
ये है. . .	ఇది మరి. . .
नहीं. . . शांत हो जाओ. ठीक है?	వదదు జసట శాంతించు, సరేనా?
कल से पूरण-पूरण समरथन.	మీకు మా అందరి మదదతు ఉంది.
तुमहें लगता है मुझे ये आलीशान जिंदगी इसलिए दी ताकि तुम कुछ भी करते रहो.	నూవవు నాకీ పేదద జీవితమిచచి ఏం కావాలంటే అది చేదదామనుకుననావు!
कया तुम, जॉन मैथयू, नूतन यादव को अपनी धरमपतनी के रूप में सवीकार करते हो?	జాన మేథయూ అనే నీవు, నూతన యాదవని నీ చటటపర భారయగా అంగీకరిసతుననావా?
आदिल खनना, तो हर वकत कया मुझे तुमहारी ही बातें सुननी होंगी?	ఆదిల ఖననా, నేను ఎపపుడూ నువు చెపపేది వింటూ ఉండాలా?
तुम उनहें घर देते हो और मुझे गुलाम की तरह रहना चाहिए!	వాళళకి ఓ ఇలలు ఇసతే నేను నీ బానిసలా పడుండాలా!
तुम अब भी इसी तरह सोते हो?	నువవు ఇంకా అలానే పడుకుంటావా?
- हम बात कर सकते हैं. . . - लडका: नवाब होमो है!	- మనం ఇది మాటలాడుకోవచచు - నవాబ ఒక హోమో!
आ जाओ. हो गया, हो गया. आ जाओ.	అయిపోయింది, నువవు వెళళోచచు.
- तारा: कैसी हैं? - अचछी हूँ.	- ఎలా ఉననారు? - బావుననాం
वो चाची ने वो झुमके. . .	ఆంటీ అడిగిన చెవి రింగులు ఏవి?
अचछा है, तुमहें जलदी से समझ तो आ गया तुमहारे लिए अचछा कया है.	మంచిది. నీకు తవరగానే బుదధి వచచింది అంతకననా ఏం కావాలి.
- रोज-रोज का ये. - अचछा, सर.	అరే, రోజు రోజు ఈ నాటకాలేంటరా బాబూ?
तो पलीज ये समझिएगा कि मैंने अपनी बहन की तरह आतमहतया नहीं की.	పలీజ నేను మా అకకలాగా ఆతమహతయ చేసుకోలేదని గురతు పెటటుకోండి.
मुझे दूर रहना चाहिए था.	నేనే నీకు దూరంగా ఉండాలసింది.
कुछ जयादा ही आगे बढ रहे हैं लोग.	వీళళు కొంచెం ఎకకువే ముందుకెళిపోతుననారు.
- करन: हेलो, गुड मॉरनिंग. - हेलो, हेलो.	- హాయ, మారనింగ. - హాయ, హలో. హలో.
पलीज?	పలీజ?
मुझे लगता है इसे नशा दिया गया है.	తనకి మతతు మందిచచినటటుననారు.
हाँ, बैटरी बदली कर लो.	ఆ, బయాటరీ మారచండి.
तुमने कभी पाप सवीकार किया है?	నువవెపుడెనా కనఫెషన చేసావా?
वो जो पारटी के लीडर हैं, उनके लिए. . .	పారటీ లీడరలకి ఇకకడ బాగా కనపడాలి
- मैं आपसे ये पूछ रहा हूँ. . . - हाँ?	- నేను మిమమలని అడిగేది - అడగండి?
ये एक इंजीनियर हैं और अब मेरा नाम नूतन मैथयू है.	అతను ఓ ఇంజనీర ఇంకా ఇపుడు నేను నూతన మేథయూని.
ये इसके लिए बहुत बडा है.	ఇది తనకి చాలా పెదదది.
इंसान के तौर पर?	ఒక వయకతిగానా?
मैंने तुमहारी जिंदगी तबाह कर दी.	నీ జీవితానని నాశనం చేసాను.
मेरी बहुत ही खूबसूरत बहू और बेटे आदिल को शादी की सालगिरह की बहुत-बहुत मुबारकबाद,	నా అందాల కోడలు ఇంకా నా కొడుకు, ఆదిలకి, ఎ వెరీ, వెరీ హాపీ ఏనివరసరీ
बारात वहाँ से आएगी, तो. . . तो नूतन के मामा और चाचा यहाँ बैठेंगे.	బారాత ఇకకడ నుంచి వసతుంది, సో నూతన అంకులస ఇకకడ కూరచుంటారు,
हेलो. गुडिया के हाथ में एक और गुडिया.	హలో. ఒక బొమమ చేతిలో ఇంకో బొమమ.
मेरे मुँह पर झूठ बोलते रहे हो.	ఇనని రోజులు నాకు అబదధాలు చెబుతుననావు.
लगता है मुझे थोडे आराम की जरूरत है अब.	అందంగా ఉండాలంటే వెళళి నిదర పోవాలనుకుంటా.
वो होना लिखा ही नहीं था.	అది జరగాలని రాసి లేదు.
हाँ, मुझे तो पसंद है.	ఆ, నాకెతే నచచావు.
और चाहूँगा कि कई ऐसे साल आते रहें.	ఇలాంటివి ఇంకెననో జరుపుకోవాలని కోరుతుననాను.
ताजा खबर नूतन यादव ने कॉलेज के परेमी से किया विवाह	బరేకింగ నయూస: నూతన యాదవ తన కాలేజ సవీట హారటుని పెళలి చేసుకుంది.
एक गलत कदम उठाया, तो अगला चुनाव भी भूल जाइएगा.	ఒకక తపపటడుగు వేసతే మీ తరవాతి ఎననికలు కూడా ఓడిపోతారు.
कबीर: हाँ, जी. आंटी, लेंस पर.	- అవును మేడమ. లెనసలోకి, ఆంటీ. - ఓకే.
- कया? - नूतन दीदी अपने कमरे में नहीं है.	- ఏంటి? - నూతన అకక తన గదిలో లేదు.
आदिल: हे भगवान. वरुण: मुझे वो रात याद है.	- అబబా. - నాకు గురతుంది, ఆ రాతరి.
हाँ, और कयोंकि मैं सिरफ एक इंजीनियर हूँ.	అవును, ఇంకా నేను కేవలం ఓ ఇంజనీరని.
और कोई नहीं मिला था कया?	ఇంకెవరూ దొరకలేదా, ఏంటి?
हेलो.	హలో.
अरे, एक-एक फूल सूंघेंगे,	ఆ, సర. మేం వాసన చూసతుననాం. . .
सर, आप यहाँ. . . आप यहाँ सिगरेट नहीं पी सकते.	సర, మీరు అలా మీరికకడ లోపల కాలచకూడదు.
- औरत: ये जो तीनों की. . . - अब डोरा कहाँ गई?	- ఈ ముగగురూ ఇకకడ. . . - డోరా ఏమెంది?
आ जाओ, बेटा. चलो, नमसते करो.	ఇలా రామమా. విశాల అంకులకి హాయ చెపపు.
अरे, नहीं. बिलकुल नहीं, हाँ.	. ఖచచితంగా చెపపలేదు. సమసయే లేదు, ఆ.
मुझे पता है तुम उसके घर जाते रहे हो.	నాకు తెలుసు నువవు వాళలింటికి వెళుతూనే ఉననావు.
सिरफ तुमहारी गलती नहीं है.	అది నీ ఒకకడి తపపే కాదు.
नहीं. कोई नहीं. मैं. . . मैं अकेला हूँ.	లేదు. నేను చేసకోలేదు. నేను సింగిల.
आप कुछ नहीं करेंगे.	ఇపపుడు మీరేం చెయయదదు.
मैं चाहती हूँ तुमहें बहुत खुशियाँ मिलें.	నువవు సంతోషంగా ఉండడమే నాకు కావాలి.
हाँ, वो करा देना बिलकुल.	ఆ, అలా చేయించు. . .
बात तो है, पर, पता नहीं.	ఒక విషయం ఉంది, కానీ
किशोर: एक सुझाव है. . . वरुण: ऐसे पीते हैं.	- ఓ సలహా. . . - అది అలాగే చెయయాలి.
दीदी, उठिए. देर हो जाएगी.	అకకా, లేవండి, ఆలసయామవుతుంది.
अरे, ये तो अब राषटरीय जनसेवा पारटी के जमाई राजा हैं.	ఇతనిపుడు రాషటరీయ జన సేవా పారటీకి అలలుడుగారు.
- तुझे इस बारे में पता था? - कया? कया?	- నీకిది తెలుసా? - ఏంటి? ఏంటి?
माफ कीजिए, पापा. आपको इतना परेशान किया.	సారీ, నాననా. మీకు ఇబబంది కలిగించాను.
देखो, मैं तुमहें बताना चाहता हूँ. . .	చూడు, నీకు చెపపాలనుకుననాను. . .
इस तरफ, आओ.	ఇటు పకకకి, రా.
- ये पहना देना. ये ठीक करवा लेना. - ये सब.	ఇది వెయయి. కానీ ఇది బాగు చేయించు.
- नूतन: आइए ना, आंटी. - आइए, आइए.	- పలీజ రండి, ఆంటీ. - పలీజ రండి. పలీజ రండి.
अभी- अभी, पहली बार.	ఇపపుడే. మొదటిసారి.
मुझसे शादी कर लो.	ననను పెళళి చేసుకో.
और बालों को कसकर पीछे बाँधा था. हाँ.	తన జుటటుని వెనకకి బాగా టెటగా లాగి ఉంచి. అవును.
भारत में समलैंगिकता कोई नई बात नहीं है.	ఇండియాలో హోమోసెకసువాలిటీ కొతతేం కాదు.
