हाँ. ठीक है.	అవును. అంతే.
कोई नहीं. मुझे बस रासता पूछना है.	ఏం పరవాలేదు. నేను దారి అడగాలంతే.
फिलली	ఫిలలీ
वॉलट जमीन में एक गडढे से जयादा कुछ नहीं हैं	వాలటలు అంటే, మిగతా పరపంచమంతా తగలబడుతూ ఉంటే,
मैं डैड के बिना लौटूँगी नहीं.	మా నానన లేకుండా వెనకకు వెళలను.
आप उस पहाडी पर कभी नहीं गए?	ఆ కొండ దాటి ఎపపుడూ వెళలలేదా?
तुम इस कवच के हकदार नहीं.	నీకు ఆ కవచానికి అరహత లేదు.
मैंने देखा कि आपने टी-60 पर टेमपरड लाइनिंग कराई है.	మీరు టీ-60 మీద సననని లెనింగ ఎంచుకోవడం కనబడుతోంది.
{\an8}हमारे पास असली, बिना पानी का एंटीफरीज है.	{\an8}మా దగగర అసలెన, పలుచని చేయని పరతిసతంభన ఉంది.
तुम सबसे बेकार साथी हो.	నువవు అతి చెతత సిపాయివి.
कमीने, मुझे छोड! नहीं!	చేయి తియ, నీచుడా! వదదు!
यह बहादुरी का काम है.	ఇదే ధెరయం సూచించే చరయ.
नागरिक, अपना रासता लो.	నీ వెపు వసతా, పౌరుడా.
तुमहारे पास टेलीसॉनिक परोजेकटर है.	మీ పొలంలో టెలిసోనిక పరొజెకటర ఉంది.
जलते केबिन के अंदर बूढे एब लिंकन का जलवा.	చెకక ముకకల గుడారంలో ముసలి ఏబ లింకన కోసం
{\an8}जंक जेट	{\an8}జంక జెట
मैं कहता कि "ऊपर आकर लडो. " पर जब किसी ने 12 पीस वाला लोहे का	సరే, "పెకి వచచి ననను పటటుకో, " అంటా. కానీ 12 భాగాల పోత ఇనుముతో
इसे जो भी मारेगा उसे मैं 1000 बोतल कॅपस दूँगी!	ఈ వెధవను చంపినవాడికి 1, 000 సీసా కాపస ఇసతాను.
यह जगह ही बकवास है.	ఈ దికకుమాలిన చోటు.
- सही कहा. - नहीं!	- అది నిజం. - వదదు!
नहीं, मुझे मत मारो!	వదదు, ననను కొటటకు!
आपने उसे देखा है?	మీరు ఆమెను చూశారా?
देवी जी, तुमहें घर चले जाना चाहिए.	విను, నువవు ఇంటికి వెళలిపోవాలి, మిస.
रासता भूल गई हूँ.	కొంచెం దారితపపాను.
घटना की परतिकरिया	సంఘటనా పరతిసపందన
हाँ, वो लोग. . .	అవును, వాళలు. . .
कया बात है, गधे?	ఏంటి సమసయ, మొదదు?
और मैं तुमसे कह रही हूँ अगर तुम यहाँ दिखाई दी	ఇక నీకు చెబుతుననాను, నువవు ఇకకడే కనుక ఉననావంటే
कल रात सभी छह सटेशनों से एक इनाम की खबर आई है.	నినన రాతరి, ఆరు సటేషనలననీ ఓ బహుమానం పరకటించాయి.
ऐसा है, तो शायद इस शहर के सब लोग मानेंगे कि	అలాంటి సందరభంలో, ఈ పటటణంలో అందరూ ఒపపుకోవచచు,
एल मोलडेवर	ఎల మాలడేవర
परिवार साथ हो तो काम बँट जाएगा.	అనని పనులలో కుటుంబంగా వాడుకోవచచు.
जो नेबरासका के खेतों की तसवीरें दिखाता रहता है.	అది నెబరాసకన గరామీణ పరాంత చితరాలను పరదరశిసతుంది.
हैलो. माफ करना.	హాయ. హలో. ఏమండీ.
चाहे पयास नहीं लगी हो, फिर भी.	నీకు దాహంగా లేకపోయినా, తాగేయాలి.
मुझे सुन रहे हो?	నీకు వినబడిందా?
तुम मुझे बिना बताए सब इधर-उधर कर देती हो.	సరే, నాకు చెపపకుండా సామాను కదుపుతూ ఉంటావు.
ठीक है. अब आओ.	సరే. ఇపపుడు రా.
मैं जानती हूँ कि मुझे आपके हालात का कुछ पता नहीं है.	ఇక, నీ పరిసథితుల గురించి నాకంతగా తెలియదని ఒపపుకుంటాను.
फिर गिदध तुमहें खाने आते हैं.	రాబందులకు నినను వదిలేసతారు.
हम अब भी बहुत दूर हैं. . .	అది ఇంకా మెళల దూరం ఉంది. . .
मेरी मदद करो!	నాకు సాయం చెయ!
मैं तो बस. . .	అదేంటంటే. . .
रचनातमक परयवेकषक अशोक बकषी	కరియేటివ సూపరవెజర శిరీష దరభా
- आपको यह सब कैसे पता? - सुनो!	- మీకు ఇదంతా ఎలా తెలుసు? - ఏయ!
शायद आपका पलान बदल जाए.	పరణాళికలు మారాలనుకుంటా.
मैं पिता की तलाश में हूँ.	సర, మా నానన కోసం వెతుకుననా.
वैसे. . .	అంటే. . .
कया बकवास है?	అసలు ఏంటిది?
बहादुरी के काम करने पर कवच मिलता है.	ధెరయం సూచించే చరయలతో సూటను సంపాదిసతావు.
यार, तुम लोगों ने मेरी भूख बढा दी है.	అబబా, మీరందరూ కలిసి నా ఆకలిని పెంచారు.
बारव, एक नया पैर चाहिए.	కొతత పాదం కావాలి, బారవ.
बरदरहुड ऑफ सटील का नाईट टाइटस हूँ मैं.	ఉకకు సోదరజాతికి చెందిన సెనికుడు టెటసని.
यह तो डरगस की बडी बालटी में एक छोटी-सी बूँद है.	అంటే, ఓ భారీ మతతుమందు బాలచీలో అది చాలా చినన బొటటు.
पर तुमहारी गरदन में छेद है.	కానీ నీ మెడకు కననం పడింది.
हमारा लकषय.	వాళలే లకషయం.
मदद करो. मेरी मदद करो.	సాయం చెయ. నాకు సాయం చెయ.
मैं जितनी भी रेत डालूँ, बस रेत ही निकलती है.	దానిలో ఎంత మటటి పోసినా సరే, ఇంకా మటటి వసతోందంతే.
- कया? - वॉलट-टेक पलान डी.	- ఏంటి? - వాలట-టెక పథకం డీ.
यार, तुम कया कर रहे हो?	అసలు ఏం చేసతుననావయయా?
वहाँ खडे रहने के बजाय मुझे कमबखत सटिमपैक दोगे?	నాకు సటిమపేక ఇసతావా, లేదా అకకడే నిలబడతావా?
कुछ गलत नहीं कर रहा था!	నేను ఏ తపపు చేయటలేదు!
तुम सचमुच की वॉलट निवासी हो.	నువవు నిజంగా వాలట నివాసివే.
इस बंदे को वहाँ तक पहुँचाना तुमहारे लिए सही होगा.	ఇకకడునన ఇతనిని అందించడమే నీకు ఉనన ఉతతమ అవకాశం.
तुम इस बंदे को मेरे गराहक के पास ले जाओ.	నువవు ఇతనిని నా కలయింట దగగరకు తీసుకెళలాలి.
और तुम, बेवकूफ आदमी,	ఇక నువవు, సననాసి వెధవ,
सूट पहन रखा हो, तब सीढियाँ चढना मुशकिल है.	చేసిన ఆ కవచానని ధరించి మెటలు ఎకకడం కషటం.
शायद बुनियादी टरेनिंग पहले जैसी नहीं रही.	సరే, పరాథమిక శికషణ కూడా గతంలోలా లేదనుకుంటా.
यह डीफिबरिलेटर के नीचे नहीं था. समझ लो.	ఇది డీఫిబరిలేటరల కింద లేదు. చెబుతుననా అంతే.
कैसा है आपका नया. . .	ఎలా ఉంది మీ కొతత. . .
कया तब भी तुमहें उनहीं चीजों की तलाश होगी?	పూరతిగా వేరే మనిషిగా మారిన తరవాత కూడా?
सहायक, यही आदेश है.	ఇది నా ఆదేశం, సిపాయి.
आपको ऐसा लगता है?	నిజంగా అంటుననారా?
जहाँ लोग सही काम करने में गरव महसूस करते हैं.	సగరవంగా భావించే పరాధానయ అధికార సథాయిలో పెరిగావు.
सब ठीक है.	పరవాలేదు.
हमलों से बचने के लिए छाती बडी हो गई.	దాడిని నివారించడం కోసం ఉదరం వయాపించింది.
माफ करना.	మననించాలి.
माफ करना.	మననించండి.
तो यह मानना ठीक होगा कि आप अपराधियों से लेन-देन करती हैं.	మీరు నేరసతులతో వయాపారం చేసతారని అంచనా వేయడం సరెన పనే.
सवाल यह है कि जब तुम पूरी तरह बदल जाओगी. . .	పరశన ఏంటంటే, ఇపపటికీ అవే అంశాలను కోరుకుంటావా. . .
डीफिबरिलेटर के बकसे के नीचे पूरा करेट रखा है.	పెటటె కింద డీఫిబరిలేటరలతో మొతతం డబబా ఉంది.
इस बकवास को मुझसे दूर करो.	ఈ దికకుమాలిన దానని విపపదియయి.
मैं नहीं पहुँच पाऊँगा.	నేను బతికుండడం జరగదు.
ऐसे देख रहे हो जैसे जानते नहीं कया करना है.	నీకు ఏం చేయాలో తెలియదననటటుగా నా వెపు చూసతుననావు.
मैं जानती हूँ कि ऊपर आप लोगों की जिंदगी बुरी है,	సరే, ఇకకడ ఉండడం మీకు తేలిక కాదని నాకు తెలుసు,
मैं कभी नहीं गया.	నేనెపపుడూ వెళలలేదు.
पर वॉलट का मिशन सभी के लिए अहम होना चाहिए.	కానీ వాలటలు చేపటటిన మిషన పరతి ఒకకరికీ ముఖయమే.
बारव, अपने कमरे में जाओ.	నీ చెతత గదిలోకి పో, బారవ.
बचची, अपने बाप को वापस चाहती हो न?	నీకు మీ నానన కావాలా వదదా, పిలలా?
समझीं, मिस मॅकलीन?	సరేనా, మిస మెకకలీన?
पता था तुम भरोसे के लायक हो.	నినను నమమవచచని నాకు తెలుసు.
उजाड इलाके में बचे रहने के लिए जो चाहिए वह हमारे पास है.	వేసటలాండలో బతకడం కోసం మీకు కావాలసినవననీ మాకుననాయి.
{\an8}वॉलट-टेक पलान डी खतरा - जहर	{\an8}వాలట-టెక పథకం డీ హెచచరిక - విషం
बंदूक नीचे, वरना काट दूँगा.	లొంగిపో, లేదా నరికేసతాను.
सच कहती हूँ.	నా మాట నమము.
नहीं, धत.	లేదు, ఛ.
मदद करो!	సాయం చెయ!
मदद करो!	సాయం చెయ!
- उसे छोडो. - तू तो गया.	- తనను వదులు. - అదే జరగాలి.
अगर यहाँ रहना है, तो यहाँ के तरीके सीखने होंगे.	నువవు ఉండాలని పటటుబడితే, అపపుడు అలవాటు చేసుకోక తపపదు.
विलजिग!	వీలజిగ!
इस बंदे को फिलली से सुरकषित निकालने को. . .	భారీ లాట మొతతం కాపసను నాకు ఇచచారు. . .
ठीक है, मैं कर लूँगी.	సరే, నేనిది చేయగలను.
धतत. तुम कहाँ थे?	ఛ. ఎకకడ ఉననావు?
पैसे भी नहीं हैं.	లేదా డబబు కూడా.
मा जून की दुकान	మా జూనస సనడరెస
अब भी यातरा कर सकता हूँ.	ఇపపటికీ ఈ పరయాణం చేయగలను.
वॉलट के रहने वाले यहाँ बच नहीं पाते.	వాలట నివాసులు ఇకకడ అంతరించిపోతునన జీవులు.
हमेशा कुछ न कुछ दिन खराब करने आ ही जाता है.	రోజును పాడుచేయడానికి ఎపపుడూ ఏదో ఓ దరిదరం ఉంటుంది,
मैं कह रहा हूँ सटिमपैक दो और तुम हो कि. . .	నినను సటిమపేక ఇవవమంటుంటే, నా వెపు చూసతుననావు. . .
तुम वॉलट की निवासी हो. जबान की पककी.	నువవు వాలట నివాసివి. మాట మీద నిలబడతావు.
बारव!	బారవ!
नहीं, बहुत खतरनाक है.	లేదు, అది చాలా పరమాదకరం.
तेरा गला घोंट दूँगा मैं!	నీ గొంతు పిసికేసతాను.
इस शहर में और कोई है जिस पर भरोसा करें?	ఈ నగరంలో నువవు నమమేలా ఎవరెనా ఉననారా?
मैं शायद जयादा कुछ नहीं जानता,	ఇక, నాకు అంతగా తెలియకపోవచచు,
सुनो, वह आदमी काम का है.	విను, అతను ముఖయమెనవాడు.
- बारव! - वह औरत 50 की होगी, शायद.	- బారవ! - ఆ మహిళ వయసు 50 అనుకుంటుననా.
कोई आपको साफ पानी की बोतल दे, उसे पी जाओ.	ఎవరెనా నీకు శుభరమెన నీటి సీసా ఇసతే, తాగేయాలంతే.
तुमहारी दुनिया में नियम-कानून हैं.	నువవు నియమాలు, చటటాల లోకం నుంచి వచచావు.
पर मैं पहले मार दूँ तो किसी को कुछ नहीं मिलेगा.	కానీ మొదట నేనే చంపితే చిలలి కాప కూడా ఇవవను.
जिनमें अमीर लोग जाकर छिप गए और बाकी दुनिया जलती रही.	సంపననులు దాకకునేందుకు భూమికి చేసిన బొకకలు తపప ఇంకేమీ కాదు.
कि आप दोनों में से आप परमुख आकरमणकारी हैं.	నువవే దాడికి దిగే వయకతివని నేను అంచనా వేసతాను.
मैकसिमस, फेफडों से बाँधकर लटका देते हैं,	మాకసిమస, నీ ఊపిరితితతుల దవారా నినను వేలాడదీసి,
अगर तुमहें लगता है यह नाजुक कली तुमहें सहारा देकर ले जा पाएगी, तो तुम	నీ కుంటి నడడిని ఈ చినన వసతువు వేసటలాండ తీసుకెళలగలదని అనుకుంటే,
लगता है मैं इतना तो जानता हूँ कि तुमसे घर जाने के लिए कहूँ.	నువవు ఇంటికి వెళలాలని తెలియడానికి ఇది సరిపోతుంది కదా.
तुम लोग मकका उगाते हो.	మీ పరాథమిక పంట మొకకజొనన.
पर पहली नजर में आपका इनके साथ वयवहार ठीक नहीं है,	కానీ మొదటి చూపులోనే, ఇతనితో నీ పరవరతన అనయాయం అనిపించి,
चल जा, कमीने!	పని చేసి చావవే!
मतलब, मेरा पूरा शरीर नहीं.	చెపపాలంటే, నా శరీరమంతా కాదు.
तो अगर जिंदा रहना चाहते हो, तो तेजी दिखाना.	అందుకే సురకషితంగా ఉండాలంటే నువవు వేగంగా వెళలాలి.
उनहें मोलडेवर नाम की औरत ने अगवा कर लिया था.	మాలడేవర అనే మహిళ ఆయనను కిడనాప చేసింది.
{\an8}जिम के अंग पूरव सैनिकों की पसंद	{\an8}జిమస అవయవాలు అనుభవజఞుల ఎంపిక
मेरे पिता भी वहीं मारे गए थे.	మా నాననను అకకడే చంపేశారు.
पर मुझे बहुत सारे कॅपस मिले हैं	కానీ తనను కషేమంగా ఫిలలీ దాటించడానికి
आपने इसे को देखा है?	మీరు ఇతనిని చూశారా?
अगर आपकी इचछा मुझे नुकसान पहुँचाने की है,	ఇక, నాకు హాని చేయాలనేది నీ ఉదదేశమెతే,
तुम बिना सौदेबाजी के मोलडेवर के करीब नहीं पहुँच सकतीं.	ఇక, బేరం చేసేందుకు ఏమీ లేకుండా నువవు మాలడేవర దగగరకు వెళలలేవు.
कया कहते हैं?	వాలటల గురించి?
सर?	సర?
सर?	సర?
चलो. धनयवाद.	రా. ధనయవాదాలు.
इसे साफ करो.	అది శుభరం చెయ.
- बारव! - उसका नाम मोलडेवर है.	- బారవ! - ఆమె పేరు మాలడేవర.
विलजिग.	వీలజిగ.
पता है उन सहायकों का कया होता है जो अपना काम नहीं करते?	తమ పని సరిగా చేయని సిపాయిలను ఏం చేసతారో తెలుసా?
सबसे छोटे बचचे के लिए जवलनशील मलबा	అతి చినన మంట కోసం తుకకూతులారం
हर कोई जानता है मोलडेवर कौन है.	మాలడేవర ఎవరో అందరికీ తెలుసు?
आप कहीं डॉकटर तो नहीं हैं न?	నువవు డాకటరవి కావు, అవునా ఏంటి?
और तुम बस खडे हो.	అకకడే నిలబడి ఉననావు.
तुम मूरख, बेवकूफ हो.	నువవు పెదద చవటవి.
मैं तुमहें एक चेरी टमाटर देता,	సరే, ఈ చెరరీ టొమాటో ఒకటి ఇవవగలను,
गंदगी का कया मतलब?	మురికి చోటు ఏంటి?
नीचे उतारो.	మమమలని దించు.
फिलली कया है?	ఫిలలీ ఏంటి?
तुमहें जलदी जाना होगा.	నువవు తవరగా వెళలాలి.
- पिछले दरवाजे से! जलदी! - हाँ.	- వెళలు, వెనుక వెపు! తవరగా! - సరే.
पर अगर तुमहें यहाँ बचकर रहना है,	కానీ నువవు ఇకకడ బతికుండాలంటే,
मुझे लगता है तुमहें घर जाना चाहिए. यहाँ सुरकषित नहीं हो.	మీరు నిజంగా ఇంటికి వెళలాలి. ఇకకడ మీకు కషేమం కాదు.
तुम जैसा बडा शिकार.	నువవు కూడా అంతే.
मेरे पास हथियार नहीं हैं.	నా దగగర ఆయుధాలు లేవు.
मैं बोर हो गया हूँ और मुझे कुछ शूट करना है.	నాకు విసుగగా ఉంది, దేనినెనా కాలచాలి.
बैठो.	కూరచో.
बैठो.	కూరచో.
बैठो.	కూరచో.
बैठो.	కూరచో.
अचछी बचची.	మంచి పిలలవి.
चलो. बेड पर.	రా. పడుకో.
फॉलआउट	ఫాలౌట
मालिक टाइटस.	టెటస పరభూ.
यह पानी का फिलटर है.	అది నీటిని ఫిలటర చేయాలి.
जयादा समय तुमहें साथ नहीं रहना होगा.	నాతో ఎకకువ కాలం ఉండనవసరం లేదు.
माफ कर दो, ठीक है?	కషమించు, సరేనా?
तुम तो इसे शॉपिंग कारट की तरह चला रहे हो.	ఎందుకంటే దానిని ఏదో షాపింగ బండిలా నడుపుతుననావు.
बारव! यहाँ आओ. जरा इसे देखो.	బారవ! ఇకకడకు రా. నువవిది చూడాలి.
कुछ सामान है? मैं पैना कर सकता हूँ.	మా దగగర సరుకుందా? పదును పెటటగలను.
मैंने देखा कि आपके पास वॉलट-टेक के उपकरण हैं.	మీ దగగర వాలట-టెకకు పరికరాలు అనేకం ఉననాయని గమనించాను.
मेरी वैजञानिक जिजञासा की वजह से मुझे पहली बार नहीं सताया गया है.	నా వెజఞానిక ఆసకతిపె ననను పీడించడం ఇదే మొదటిసారి కాదు.
जबकि मैं तनाव कम करने की कोशिश में हूँ, तो मुझे सोचना होगा	గొడవను తగగించాలని పరయతనిసతునన మనిషిగా, మీ ఇదదరిలో,
चेतावनी खतरनाक कचरा	హెచచరిక పరమాదకర వయరథాలు
मेरे गराहक का नाम है ली मोलडेवर.	మా కలయింట పేరేంటో తెలుసా, లీ మాలడేవర.
बेवकूफ कमीने, सब तुमहारी गलती है.	చెతత వెధవ, ఇదంతా నీ తపపేనని నీకు తెలుసు.
तुम तो वैसे भी चीखती ही हो.	ఎలాగూ నా మీద అరుసతావులే.
मैंने गोली इसलिए खाई कि तुमहें जयादा परेशानी न हो.	నువవు ఈ పని చేసేందుకు బాధ తగగడం కోసం నేను మాతర వేసుకుననాను.
और तुमसे कहा था दफा हो जाओ.	ఇక నినను ఇకకడి నుంచి పొమమననాను.
दम घुट रहा है.	నాకు ఊపిరాడటలేదు.
मैं बीमार हूँ.	నాకు నిజంగా జబబు.
मरने वाला हूँ.	చనిపోతా అనుకుంటా.
{\an8}ओपन - डाउनटाउन 24 घंटे	{\an8}తెరచి ఉంది - డౌనటౌన 24 గంటలు
और, बुरा मत मानना, आप यातरा के लायक नहीं हैं.	మరోవెపు, ఏమీ అనుకోకండి, మీరు పరయాణించే సథితిలో లేరు.
जलदी असर, दरद नहीं.	తవరగా, నొపపి లేకుండా.
नाशते तक जिंदा रहे तो भी बहुत है.	నువవు అలపాహారం తినగలిగితేనే నీ అదృషటం.
पर बोली जयादा कयों है यह समझता हूँ.	కానీ ఒకరిని చూసి వేలం పోటీ తెలుసుకోగలను.
शायद. . . काम कर ही जाए.	ఇది ఏంటంటే. . . పని చేయవచచు.
- और. . . - पता है यहाँ के लोग वॉलट के बारे में. . .	- ఇంకా. . . - ఇకకడి జనాలు ఏమంటారో తెలుసా. . .
जी, मालिक, पर मेरे पास ऐसा कवच नहीं है.	సరే, కానీ, పరభూ, నాకు కవచం లేదు.
उतने समझदार नहीं लगते जितने बताते हैं.	జనాలు చెపపేంతటి తెలివి నీకు లేదు.
लोग मुझे यही कह रहे हैं.	అందరూ నాకు అదే చెబుతుననారు.
करीमेटोरियम	దహన యంతరం
मैं करूँ?	నేను చూడనా?
हे भगवान!	ఓరి దేవుడా!
इसलिए मुझे बीच में आना पडेगा.	జోకయం చేసుకోవాలని కోరుకుంటుననాను.
मैं भीख माँगता हूँ.	నినను వేడుకుంటుననాను.
युदध से पहले,	యుదధానికి ముందు,
{\an8}डॉग मीट	{\an8}కుకక మాంసం
नहीं, धनयवाद.	వదదు, ధనయవాదాలు.
मेरा नाम. . .	నా పేరు. . .
पर आप उजाड इलाके को पार जरूर करेंगे.	కానీ ఆ వేసటలాండను మీరు దాటతారు.
तेरा आखिरी दिन है आज.	ఇదే ఇక నీకు అంతం.
जो बुरी बात नहीं है.	మిమమలని తపపుపటటను.
यह उजाड इलाका भी बकवास है.	ఈ వేసటలాండ మహాదారుణం.
तुम भविषय बदल सकती हो	నువవు ననను మాలడేవర దగగరకు
हे भगवान.	ఓరి బాబోయ.
लोग तुमहारे पीछे आएँगे.	జనాలు నీ వెంటబడతారు.
पता नहीं लोकपरिय कयों नहीं हुई.	ఇది పరాచురయం చెందకపోవడం నాకు ఆశచరయం.
मजाक तो नहीं कर रहे.	నాతో పరాచికం అయయుండాలి.
धतत.	ఛ. ఛ.
यह होगा तुमहारे साथ.	వాళలు నీకు చేయబోయేది అదే.
हैलो.	హాయ.
हैलो.	హాయ.
शुकरिया.	ధనయవాదాలు.
तुम यहीं रह सकती हो.	లేదా నువవు ఇకకడే ఉండవచచు.
यह सब तुमहारा हो सकता है.	ఇదంతా నీదే అవుతుంది.
वाह.	అబబో.
पैर ठीक करने की दवा.	కాలు నయం చేసే దరావకాలు.
वॉलट निवासी, यहाँ से निकल लो.	ఇక బయటకు పో, వాలట నివాసి.
अचछा, तो. . .	సరే, అయితే. . .
वह बंदा मेरी मुरगियाँ चुरा रहा था.	వాడు నా కోళలతో సంభోగించాడు.
मा की दुरलभ चीजें	"మా" అరుదెన వసతువులు
ताजा इगुआना!	తాజా ఉడుము!
जाओ. अपने बिसतर में जाओ.	వెళలు. వెళలి పడుకో.
मैडम, मोलडेवर मेरे वॉलट में घुस गई, मेरे पिता को ले गई और. . .	మేడం, ఈ మాలడేవర మా వాలటలోకి చొరబడి, మా నానన తీసుకుని, కొందిరిని చంపింది. . .
अगर तुम मुझे मोलडेवर तक पहुँचा दो.	తీసుకుని వెళలగలిగితే భవిషయతతును మారచగలవు.
हे भगवान. नहीं.	దేవుడా. లేదు, లేదు.
आपका आभारी हूँ.	మీకు రుణపడి ఉంటాను.
आप कौन हैं?	ఎవరు మీరు?
तुम वॉलट की हो न.	నువవు వాలట నివాసివి.
मैं ठीक हूँ. धनयवाद.	నాకు వదదులే. ధనయవాదాలు.
कुतते का मांस!	కుకక మాంసం!
मुझे नहीं लगता तुम यहाँ वह सब कर पाओगी जो जरूरी है.	ఇకకడ బతికుండడం కోసం చేయాలసిన పనులను, నువవు చేయగలవని నేను అనుకోను.
{\an8}तुम चुराओ हम गोली मारेंगे	{\an8}మీరు చోరీ చేసతే మేము కాలచేసతాం
कमीने वॉलट-निवासी. हे भगवान.	చెతత వాలట నివాసులు. ఛీ.
और. . .	ఇంకా. . .
हे भगवान.	అబబా ఛ.
पादरी लोग भी बकवास करते हैं.	ఆ మతాధికారులు కూడా, ఆ సోది చెబుతారు.
कुछ पता भी है?	అసలు ఏమెనా తెలుసా?
तो कया तुम हो?	నీకు ఉందనుకుంటావా?
आपने पानी डालकर देखा?	సరే, నీరు పోసి పరయతనించారా?
फिलली में लोग मरते रहते हैं.	ఫిలలీలో ఎపపుడూ మనుషులను చంపుతుంటారు.
वह तो है.	నేను అంతే.
हे भगवान.	ఓరి నాయనో.
कोई मेरे हालात नहीं समझता.	నా పరిసథితి ఎవరూ అరథం చేసుకోరు.
मैं. . .	నేను. . .
सुनो, पापा की परी.	ఏయ, నానన కూతురా.
उसे अंदर लाकर यहीं रखो, मैं इस गूल से निपट लूँ?	తనను లోపలకు తెచచి, ఆ జీవపిశాచి సంగతి చూసేవరకూ తనను చూసుకో.
तू तो गया काम से.	దీనికి నినను చంపుతారు.
सुनिए, मुझे पता नहीं आप कया करते हैं	విను, మీరు ఎవరో నాకు తెలియదు,
हाँ, आप. . .	సరే, మీరు. . .
तो ठीक है.	అలాగలాగే.
अगर सिरफ मेरा सिर ले जाओ, पूरा शरीर नहीं, तो आसानी रहेगी.	నా శరీరమంతా లాకకుని వెళలే బదులుగా, నా తల ఒకటే తీసుకెళలడం తేలిక అవుతుంది.
बहुत अचछे.	చాలా బాగుంది.
यहाँ घुसो.	లోపలకు వెళలు.
बस इस जगह पहुँच जाओ.	సరే, ఆ అంకషాంశాలను తీసుకో.
बल परयोग करना ठीक है.	శకతి ఉపయోగించడం ధరమమేనని.
और हम साथ मिलकर करेंगे, ठीक है?	మనం కలిసి దాటుదాం, సరేనా?
तो सतह के लोगों जैसे रहना होगा.	ఉపరితల నివాసిలా పరవరతించడం ఆరంభించాలి.
हाँ, मुझे भी.	అవును, నాకు కూడా.
मेरी एक मौसी भी थी. वह भी वहीं मारी गई.	ఓ అతతయయ ఉండేది. ఒకసారి తను కూడా అకకడ హతయకు గురెంది.
मेरे साथ रहो.	నాతో కలిసి బతుకు.
हम वॉलट के निवासी जानते हैं कि हमारा जनम एक खास जगह हुआ है	మేము వాలట నివాసితులుగా జనమించిన విశేష సథానానని
सर, दरअसल मुझे. . . शायद. . .	సర, నేను నిజానికి. . . నాకు బహుశా. . .
दसों उंगलियाँ हैं.	నీకు 10 వేళలూ ఉననాయి.
तुमहारे पिता को पाने का यही तरीका है.	మీ నాననను తిరిగి తెచచుకునేందుకు ఇదొకకటే మారగం.
यह जगह अचछी लगी?	అది నీకు మంచి చోటేనా?
मैं तुझे मार डालूँगा.	నినను చంపేసతాను.
बस मुझे मार मत डालना.	ననను చంపకు చాలు.
तुमहें देखकर ही लगता है.	నినను చూసి చెపపగలను.
ठीक है, चलो यह देखते हैं.	సరే, దీనిని చూదదాం.
मैंने कहा उसे छोडो!	అతనిని వదిలేయమని చెపపాను!
- भगवान, धतत! ठीक है! - ठीक है.	- సరే, అబబా! సరే. - అలాగే.
कया इससे चलना-फिरना आसान होता है?	అలా కదలడంలో సహాయపడుతుందా?
माफ करना.	మననించాలి.
तो, यहाँ.	ఇక, ఇదిగో.
