मेरी जान. . .	నా పరియా. . .
मोहतरमा, उठिए.	బామమా, మేలుకో.
मैं बताता हूँ.	నీ అంతు చూసతా.
लुपीटा?	లుపిటా?
कलैरेंस!	కలారెనస!
पैसा.	డబబు.
कलैरेंस.	కలారెనస.
हम अभी मरे नहीं हैं, यार.	మేమింకా చనిపోలేదు, ముసలీ.
इतना सब कुछ होने के बाद मुझे यह बात समझ में आई. और अब. . .	ఇది చూడడానికి అది నా నుంచి అననీ తీసుకుంది. ఇంకా ఇపపుడు. . .
तुमहारे गडबड किए बिना भी मुझे मकान मालिक से दिककतें हैं.	మా యజమానితో ఇపపటికే సమసయలుననాయి, నువవు దానని చెడగొటటకు.
-बी-7. किसमत वाला सात. -बी-7. . . मेरे पास है! बिंगो!	-బీ-7. అదృషటం తెచచే 7. -బీ-7. . . నాకు వచచింది! బింగో!
जब से यहाँ आई हो, तुमने मुझे फूटी कौडी भी नहीं दी है,	నువవికకడకు వచచినపపటి నుంచి ఓ పెసా కూడా నాకు ఇవవలేదు,
और तुमहें कुछ कपडे खरीद दूँ, जिनके टैग तुम काट सको?	ఇంకా మీరు టయాగను తీసివేయగలిగే బటటలు మీకు కొనిపెడితే?
ठीक है, दोसतो, खेल खतम हो गया. आने के लिए शुकरिया.	సరే ఇక, అందరూ, గేమ ముగిసింది. వచచినందుకు ధనయవాదాలు.
और अगर सच कहूँ, तो इन सभी लोगों को शरम आनी चाहिए!	నిజం చెపపాలంటే, ఈ జనాలంతా తమ పటల తాము సిగగు పడాలి!
देखो, अपना बदबूदार मुँह बंद रखो और मेरी कॉफी लाओ.	చూడు, ఆ నోరు మూసుకుని, వెళలి నాకు కాఫీ తీసుకురా.
मेरा बेटा उसकी अचछी परवरिश करता, पर वह औरत. . .	నా కొడుకు వాడిని సరిగా పెంచేవాడు, కానీ ఈవిడ. . .
मुझे मिली पेशकश बता दूँ, तो चडढी गीली हो जाएगी.	నాకు వచచిన ఆఫర తెలిసతే నీ పయాంటులో పోసకుంటావు.
वह बीवी से जयादा अपनी उस कार से पयार करता है.	వాడి పెళలాం కంటే తన కారునే ఎకకువగా పరేమించాడు.
अगर तुम सुधर गए, तो अब भी यहाँ कयों रहते हो?	సరే, నువవు మెరుగెతే, ఇంకా ఇకకడ ఎందుకుననావు?
बस एक छोटा सा काम बाकी है. यह ठीक हो जाएगी.	నేను చినన పని చేసతే చాలు, ఇది అయిపోయినటలే.
और मिसटर बिगस बिंगो की शानदार शुरुआत में	మీ అందరికీ సవాగతం పలకడం నాకెంతో సంతోషం,
केवल मेरे लिए इतनी मुसीबतें झेलना. . .	కేవలం నాకోసం ఎననో సమసయలు ఎదురకోవడం. . .
हम आज रात वहाँ पहुँचेंगे और उस कमीने का	మనం ఈ రాతరికి వెళలి ఈ పెదద చచచు వెధవకు
मिसटर बिगस बिंगो अपने सपने साकार कीजिए	మి. బిగస బింగో మీ కలలు సాకారం చేసుకోండి
मुझे पता है यह तुम नहीं कह रही, दादी.	ఇపపుడు, నువవు మాటలాడవని తెలుసు, బామమా.
-केलब! चलो! -तुमहारी माँ बुला रही है.	-కేలెబ! వెళదాం పద! -మీ అమమ పిలుసతోంది.
हम यहाँ पर एक-दूसरे का खयाल रखते हैं.	మేమికకడ ఒకరినొకరం జాగరతతగా చూసుకుంటాం.
शायद 50 साल बाद, आपकी उमर का होने पर.	బహుశా 50 ఏళల తరవాత నాకు మీ వయసొచచాక.
और हर सुबह तुम खुद को वंचित रखते हो.	అయినా పరతి ఉదయం దానికి దూరంగా ఉంటావు.
यह वही कार है जो मैंने पहले देखी थी.	నేను ఇంతకుముందు చూసిన అదే కారు ఇది.
वह मेरे लिए चमकता हुआ सिकका छोड गई.	నాకు ఓ మెరిసే పెసా వదిలేసి వెళలింది.
मैं सच को मानने को तैयार ही नहीं थी	నిజం అంగీకరించడంలో మొండిగా ఉననాను.
खेल को ऐसे रचना कि वे हमारे मोहताज बने रहें. वे हमारे बिना न जी पाएँ.	గేమ ఫికస చేయడం, అందుకే వాళలకు మనం అవసరం. మనం లేకుండా వాళలు బతకలేరు.
पर शायद यह बेहतर होता कयोंकि घर पर इसे अनुशासन नहीं सिखाया जाता.	కానీ బహుశా అదే నయంగా ఉండేదేమో, ఇంటలో వాడికి కరమశికషణ ఎలాగూ అలవడదు.
तुमहें याद है जब वह और एरिक. . .	తను, ఎరిక చేసినవి గురతుననాయా. . .
तुमहें कैसे यकीन है कि वह चली गई?	తను కచచితంగా వెళలిందనెలా తెలుసు?
हम दोनों कई मुसीबतों में साथ थे.	మేము అనని రకాల సమసయలలో దూరేవాళలం.
मारियो ने दूसरी चाबियाँ तुमहें थमा दीं? गले पर उन टैटू के बावजूद?	మారియో నీకు తాళంచెవులు ఇచచాడా? నీ మెడపె ఆ పచచబొటలు ఉననా కూడానా?
घर बिकाऊ है कोई भी खरीद सकता है	ఇలలు అమమబడును అందరూ సందరశించవచచు
कया आप खुद को खुशनसीब मानते हैं?	మీరు అదృషటవంతులు అనుకుంటుననారా?
पलीज कोई बेवकूफी का काम मत करना.	దయచేసి ఎలాంటి పిచచిపనులు చేయకు.
मैं अपने पोते की बात कर रही हूँ.	నా మనుమడి గురించి మాటలాడుతుననా.
उनहें अपने पास रखते हैं, लुपीटा.	వాళలను దగగర ఉంచుకుంటాం, లుపిటా.
अपने जैसे परेशान बचचों से मिलकर मुझे अपना परिवार खुद बनाना पडा.	నా సొంత కుటుంబం ఏరపాటు చేసుకుననా, ఇతర పిలలలు నాలా చెడిపోయారు.
ठीक है. पुलिस वालों ने कया कहा?	సరే, సరే. పోలీసులు ఏమంటుననారు?
ओक सपरिंगस में सवागत है, कमीने.	ఓక సపరింగసకు సవాగతం, దరిదరుడా.
कयोंकि तुम लोग यह बकवास छोडकर असली मुददे पर बात कर सकते हो.	ఎందుకంటే మీరు చెతతంతా కటటిపెటటి, ఇదంతా దేని గురించో చెపపవచచు.
हमारी वजह से ही मारियो सामुदायिक केंदर को खुला रख पा रहा है.	కమయూనిటీ సెంటరను మారియో తెరచి ఉంచేలా చేయడానికి మనమే కారణం.
और दूसरी चीजें खरीदती रहती हो.	అది కూడా నీకు సతోమత లేనివననీ.
ओक सपरिंगस के देवियो और सजजनो,	ఓక సపరింగస సోదర సోదరీమణులారా,
यह चीज हर मसले का हल नहीं है.	ఈ చెతత. . . ఈ చెతత జవాబు కాదు.
और हम इसे बनाए रखने के लिए कडी मेहनत कर रहे हैं और हम. . .	ఇది కాపాడుకునేందుకు మనం చాలా కషటపడుతుననాం, ఇంకా మనం. . .
नाशते से पहले सोडा नहीं. . .	అలపాహారం ముందు సోడా వదదు. . .
वह यहाँ कभी खुश नहीं था. और पटरीशिया के मरने के बाद. . .	అతనికకడ ఎపపుడూ సంతోషంగా లేడు. ఇంకా పెటరీషియా చనిపోయాక. . .
आपसे एक सवाल पूछना चाहता हूँ.	నేను మిమమలని ఓ పరశన అడాగాలి.
उसे जाने दो. उसे छोड दो, यार!	తనను వెళలనివవు. తనను వదిలెయ!
नहीं. मैं जिंदगी भर ओक सपरिंगस में रहती आई हूँ, याद है?	లేదు. నా జీవితంలో ఎకకువగా ఓక సపరింగసలోనే బతికా, గురతుందా?
मैं सही औजार लेकर आऊँगा. इस जगह को पूरा दुरुसत कर दूँगा.	సరెన పరికరాలతో మళలీ వసతాను. ఈ చోటు మొతతం బాగు చేసతాను.
उसे परिवार का धयान रखना है.	ఆమె ఓ కుటుంబానని చూసుకోవాలి.
तुमने उससे बात की? फोन किया?	తనతో మాటలాడావా? కాల చేశావా?
याद रहे, भले ही बदलने की कितनी बार नाकाम कोशिश की हो,	గురతు చేసుకో, ఎననిసారలు మారచడానికి పరయతనించి విఫలమయయాక,
बेशक, मुमकिन है. धत, मैं तो इससे कम समय में कर सकता था.	కచచితంగా అది సాధయమే. నేనయితే ఇంకా తకకువ సమయంలో చేసతా.
हाँ, मुझे उसका मतलब पता है.	అవును, అదేంటో నాకు తెలుసు.
सटोर की घटिया वाली नहीं है.	ఆ దుకాణంలో కొనన చెతత కాదు.
वह घटिया बूढी मेकसिकी औरत?	దాని అరథం ఆ మెకసికో ఆవిడనా?
-अमीर हूँ, जान. -माँ, नहीं.	-నేను ధనికురాలిని. -ఆపమమా.
कृपया अपना संदेश छोडें और हम आपको तुरंत फोन करेंगे.	దయచేసి మీ సందేశం చెపపండి, మిమమలని తవరలోనే సంపరదిసతాం.
कृपया अपना संदेश छोडें और हम आपको तुरंत फोन करेंगे.	దయచేసి మీ సందేశం చెపపండి, మిమమలని తవరలోనే సంపరదిసతాం.
कृपया अपना संदेश छोडें और हम आपको तुरंत फोन करेंगे.	దయచేసి మీ సందేశం చెపపండి, మిమమలని తవరలోనే సంపరదిసతాం.
पर इस कसबे के लोग अपनी संपततियों को इन गोरे कमीनों के	కానీ ఈ పటటణంలో ఉనన జనాలు చాలా బాగా చేయగలుగుతుననారు,
खुद को वंचित मत रखो, एरिक.	దానికి దూరం కావదదు, ఎరిక.
तुम मेरी तरह कतई नहीं हो.	నువవు నాలాంటి వాడివి కావు.
तो यह हमें दुनिया की सैर कराते हुए वापस ले आएगी.	మమమలని పరపంచమంతా తిపపి, తీసుకొసతుందని ఆయన చెపపాడు.
इसका कोई इलाज नहीं होता.	దానికి చికితస అనేదే లేదు.
लुपीटा मेरी माँ जैसी हैं.	లుపిటా నాకు అమమ లాంటిది.
नया परबंधन, मेरी बला से.	కొతత మేనేజమెంట, తొకకలే.
तो किसमत आपको खोज लेगी.	అదృషటం అంతగా మీదవుతుంది.
नहीं, वह ऐसा ही करती है.	లేదు, తను చేసే పని అదే.
और आज सुबह, वह चली गईं.	ఈ ఉదయం, ఆమె పారిపోయింది.
वह मेरे लिए वापस आएँगी.	ఆమె నాకోసం తిరిగొసతుంది.
हमारे हाउस से दफा हो जा.	మా ఇంటి నుంచి బయటకు పో.
बस यही एक चीज है, जो मेरे पापा ने मुझे दी थी.	ఇదిగో ఇకకడుననది మా నానన నాకు ఇచచిన ఏకెక వసతువు.
-हैलो, हेलेन. -मॉरनिंग.	-హాయ, హెలెన. -శుభోదయం.
मुझे खुशी है कि आपको यकीन हुआ, मिसेज लुपीटा.	సరే, నీకు అంగీకారం కావడం సంతోషం, మిసెస లుపిటా.
हो सकता है कि इस समय वह अकेला रहना चाहता हो?	ఆయన ఒంటరిగా ఉండాలని నిజంగానే కోరుకుంటుననాడేమో?
पता नहीं, पर कभी-कभी यह उतना गलत भी नहीं लगता.	ఏమో, కానీ కొననిసారలు అది బాగానే అనిపిసతుంది.
वह एक बीमारी की तरह था.	అది అంటువయాధి లాంటిది.
मैंने फैसला कर लिया है.	నా నిరణయం తీసేసుకుననా.
लुपीटा जी, पलीज, उठिए.	లుపిటా, దయచేసి, మేలుకో.
हाउस ही हमेशा जीतता है.	హౌస ఎపపుడూ గెలుసతుంది.
जीतने के लिए बेच दिया.	గెలవడం కోసం అమమేశాను.
या उसका जो भी बचा है.	లేదా అందులో మిగిలింది.
तो कया योजना है, दादी?	బామమా, మరి పథకం ఏంటి?
लुपीटा जी, पलीज, उठिए.	లుపిటా, పలీజ, మేలుకో.
खूबसूरत, बेहतरीन योलांडा, अपना हाथ आगे करो.	అందమెన, అమూలయమెన యొలాండా, నీ చేతులు చాపు.
यह कया कर रही हो, डोलोरेस? उठो. आओ, चलें.	ఏం చేసతుననావు, డోలొరెస? పెకి లే. వెళదాం పద.
नशामुकत होने का मतलब इलाज होना नहीं होता.	మతతు మానేయడం చికితస తీసుకోవడం లాంటిది కాదు.
यह अचछा खयाल नहीं है.	అది మంచి ఆలోచన కాదు.
केलब? कया हो रहा है?	కేలెబ? ఏం జరుగుతోంది?
लडाई खतम हो चुकी है.	పోరాటం ముగిసిపోయింది.
जब तक हम सब साथ हैं,	మనం కలిసి ఉననంత కాలం,
अरे, देखो. इसे देखा? मेरा नया उतपाद? हाँ.	అరె, చూడు. చూశావా? నా కొతత పరొడకట? ఇదే.
जिंदा रहने के लिए डरगस बेचा. कुछ वकत बाद इसतेमाल करने लगा.	బతకడానికి ఆ పనులు చేశా. కొంతకాలానికి డరగస తీసుకోవడం మొదలెంది.
पलीज, डरम बजाया जाए.	దదదరిలలేలా కొటటండి.
मुफत वाउचर 100 डॉलर	ఉచిత వోచర 100 డాలరలు
अब खाना पका लेती हो?	ఇపపుడు వండుతుననావా?
कया ऐसा एक रात में कर पाना मुमकिन भी है?	ఇదంతా ఒకక రాతరిలో చేయడం అసలు సాధయమేనా?
देवियो और सजजनो, अगर आप शिददत से चाहें	సోదర సోదరీమణులారా, మీరు ఎంతగా కోరుకుంటే,
ए, मैंने इस औरत को करिशमा करते देखा है!	హేయ, ఈవిడ అదభుతాలు చేయడం నేను చూశాను!
-पैसे के लिए अपना घर छोड दोगे. -नहीं.	-డబబు కోసం నీ ఇంటిని కాదనుకోవడం. -లేదు.
अब, बडा इनाम जीतने के लिए कौन तैयार है?	ఇపపుడు, భారీగా గెలవాలనే కోరిక ఎవరిది?
आखिरकार, हम इस जगह से जा रहे हैं. जैसा मैंने वादा किया था.	ఎటటకేలకు ఈ చోటు నుంచి బయటపడుతుననాం. నేను మాటిచచినటలుగా.
इतने सालों तक कैंसर उसे खोखला करता रहा और वह बस देखता रहा.	ఆమెను కయానసరతో ఏళల తరబడి చూశాక ఆరోగయం పాడు చేసుకుననాడు.
भले ही हम बूढे हो गए हों, पर अभी हमें बहुत जिंदगी जीनी है,	మనం ముసలివాళలం కావచచు, కానీ మనకు ఇంకా చాలా జీవితం ఉంది,
दोसतो, हमारा विजेता! यहाँ आओ, मॉरिस!	విజేతకు, అందరూ! గటటిగా కొటటండి, మోరిస!
पूरे 511. 04 डॉलर.	511 డాలరల 4 సెంటలు.
मारियो को कया हुआ?	మారియో సంగతి ఏమిటి?
नहीं, मुझे पता है. नौकरी, है न? आपको नई नौकरी मिली है.	లేదు, నాకు తెలుసు. ఉదయోగం, కదా? నీకు కొతత ఉదయోగం వచచింది.
मेरे पास बिंगो है!	నాకు బింగో వచచింది!
एक शाम के लिए अपने दिमाग को आराम दो.	ఒకక సాయంతరం నీ ఆ బురరకు విశరాంతి ఇవవు.
केवल हम ही बचे हैं.	మిగిలి ఉననది మనమే.
तुम यहाँ कया कर रहे हो? नहीं, अंदर मत जाओ! केलब! नहीं!	అసలు ఇకకడేం చేసతుననావు? వదదు, లోపలకు వెళలకు! కేలెబ! వదదు!
-इधर धयान दो! -वह यहाँ जलदी पैसे कमाने की फिराक में है.	-దృషటి పెటటు! -తను తవరగా ధనవంతురాలు కావాలని వచచింది.
मुझे भी तुमसे पयार है. दफा हो जाओ.	నువవూ నాకిషటమే. ఇకకడి నుంచి వెళలిపో.
-इसे मिला लो. -ए!	-అది చూసుకో. -హేయ!
हे भगवान. लुपीटा, देर हो गई है. चलो.	ఓరి దేవుడా. లుపిటా, ఆలసయమెంది. పద.
तो जो कहोगी, होगा.	నీ తరహాలో చేదదాం.
मिसटर बिगस बिंगो आज रात आइए - फिर से शानदार शुरुआत	మి. బిగస బింగో రాతరికి మాతో చేరండి - గొపప పునఃపరారంభం
मुझे पता है कि जब कमीने मकान मालिक ने किराया बढाया,	నీ దరిదరపు యజమాని అదదె పెంచిన సంగతి నాకు తెలుసు,
आप जानते हैं मुझे बिंगो पसंद नहीं.	బింగో నాకు సరిపడదని నీకు తెలుసు.
तुमहें कुछ चाहिए.	నీకు ఏదో కావాలి.
हम लंबे वकत से जूझ रहे हैं, दादी. तुमहें पता है.	మనం చాలాకాలంగా ఇబబందులలో ఉననాం, బామమా. నీకు తెలుసు.
और तुमहारी वजह से	ఇంకా నీ కారణంగా,
और तुम इस बात को अचछी तरह से जानती हो कि कैसे. . .	నేనెంతగా చేశానో అందరికంటే నీకు బాగా తెలుసు. . .
यार, लुपीटा ने इस पूरे इलाके को साफ-सुथरा किया है,	అబబా, లుపిటా ఈ మొతతం పొరుగు అంతా శుభరం చేసింది,
मेरे पास? मेरे पास ओक सपरिंगस है.	మరి నేనో? నాకు ఓక సపరింగస ఉంది.
उस वफादारी से कया हासिल हुआ? कया?	ఆ విధేయత నాకు ఏం ఇచచింది? ఏంటి?
तुम इमारत को जलाकर खाक कर देते.	నువవయితే భవనానని తగులబెటటేవాడివి.
मैं भी बिना माँ-बाप के बडा हुआ.	నేనూ అమమానాననలు లేకుండా పెరిగాను.
पर हमारे पास ओक सपरिंगस है, है न?	కానీ మనకు ఓక సపరింగస ఉంది, కదా?
मतलब हम ओक सपरिंगस से जा रहे हैं?	అంటే మనం ఓక సపరింగస వదులుతామనా?
इस कमरे के चारों ओर देखिए, आपका खयाल रखने वाले पडोसियों को देखिए.	ఈ గది అంతా ఓసారి చూడు, నీ గురించి పటటించుకునే నీ పొరుగువాళలు.
उन हालात में मैं जो भी कर सकती थी, मैंने किया	ఆ పరిసథితులలో నేనేం చేయగలనో ఉతతమంగా పరయతనించాను,
आपको और बाहर निकलने की जरूरत है.	కచచితంగా నినను బయటకు తెసతుంది.
यह किसकी कार है और यहाँ कयों है?	ఈ కారు ఎవరిది, ఇకకడ ఎందుకుంది?
मुझे लगा कि यह अचछा रहेगा, बस.	ఇది మంచిదని అనుకుననాను, అంతవరకే.
कया यहाँ छुपे हुए कैमरे लगे हैं?	ఇకకడ దాచిపెటటిన కెమెరాలుననాయా?
मुझे नहीं चाहिए.	అది బాగుంటుంది.
इस जगह की बिजली के बिल का अंदाजा लगा सकती हो?	ఈ చోటుకు అయయే కరెంటు బిలలు ఎంతో నువవు ఊహించగలవా?
खेल खेलने के लिए कौन तैयार है?	ఆట ఆడేందుకు ఎవరు సిదధంగా ఉననారు?
मैं मिस लुपीटा के घर जा रही हूँ.	మిస లుపిటా ఇంటికి వెళుతుననాను.
तुमहें लगता है मुझे हरा सकते हो?	ననను ఓడించగలవని అనుకుంటుననావా?
बदल पाने वाली चीजों के लिए हिममत रहे और दोनों में फरक समझ सकूँ.	మారచగలిగేవి మారచే ధెరయానని, అంతరం తెలుసుకునే తెలివిని ఇవవు.
मुझे याद करना है कि मैं कया थी. मैं बहुत खराब माँ साबित होऊँगी.	నాలా ఉండడం గురతు చేసుకోవాలని ఉంది. నేను చెతత తలలిని అవగలను.
और यह किसी और की नहीं, मेरी परेशानी है, लुपीटा.	కానీ అది నా బాధ మాతరమే, ఎవరిదీ కాదు, లుపిటా.
पर हम यह नहीं होने देंगे, है न?	కానీ మనం ఇలా జరగనివవం, అవునా?
हर कोई विजेता होने का हकदार है.	అందరికీ విజేత అయయే అరహత ఉంది.
भगवान कसम, मैंने अभी-अभी. . .	దేవుడి మీదొటటు, నేను కేవలం. . .
हर कोई विजेता होने का हकदार है.	అందరికీ విజేత అయయే అరహత ఉంది.
तुम उसे हर सुबह महसूस करते हो	పరతి ఉదయం నీకు కావాలనిపిసతుంది,
यह जगह कभी भी हमारा घर नहीं थी.	ఈ పరదేశం ఎపపుడూ మన ఇలలు కాదు.
-तुम देखना. -शुकरिया, मॉरिस.	-చూసతావుగా. -ధనయవాదాలు, మోరిస.
अब तुम यहाँ हो.	ఇకకడకు చేరావు.
मैं नहीं मानता.	నేను ఒపపుకోను.
एक मिलियन डॉलर का इनाम आज रात!	మిలియన డాలరల బహుమతి ఈ రాతరి!
एक मिलियन डॉलर	పది లకషల డాలరలు
तुमहें नहीं लगता कि अब ये गैंगसटर जैसे बाल नहीं रखने चाहिए?	గయాంగసటర కొపపు పెటటేందుకు ఇదే సరెన సమయం అనిపించడం లేదా?
-मैंने कहा था कि अचछा खयाल है. -अरे, हाँ!	-అది మంచి ఆలోచన అని చెపపాను. -అబబా, సాధించా!
दमदार. यकीन दिलाने लायक, यार!	శకతివంతం. ఆమోదయోగయం, మహిళా!
-मारियो को खोजना होगा! -नहीं.	-మారియోను కనిపెడదాం! -లేదు.
-हद है. -केवल कुरसी में दिककत है, मॉरिस.	-అబబా ఛ. -పని చేయనిది ఆ కురచీ ఒకకటే, మోరిస.
वह कबजा करता जा रहा है, हमें कुछ करना होगा.	వాడు లాగేసుకుంటుననాడు, మనం ఏదెనా చేయాలి.
योलांडा, रुको,	యొలాండా, ఆగు,
शानदार शुरुआत!	గొపప పరారంభం!
वह गोरा ही है.	వాడు తెలలోడే.
वे औरतें यहाँ के लिए असली सुपरहीरो थीं.	ఆ మహిళలు, ఈ చుటటుపకకల నిజంగానే సూపరహీరోలు.
हर कोई विजेता होने का हकदार है. नाकारो!	అందరికీ విజేత అయయే అరహత ఉంది. పరాజితులారా!
कमीने कहीं के.	దరిదరపు వెధవ.
कया पता उसने मारियो की तरह राकेल को भी मार दिया हो?	మారియోలాగా, ఆమెను ఇపపటికే చంపేయలేదని మనకెలా తెలుసతుంది?
योलांडा, खडी हो जाओ. पलीज, खडी हो जाओ.	యొలాండా. యొలాండా, నిలుచో. దయచేసి, నిలబడు.
ठीक है. खूबसूरत, डोलोरेस.	సరే, సరే. బాగుంది, డోలొరెస.
अब, आप कंजूस लोगों में से	ఇక, మీలో ఎవరు మీ చవక బురరతో
यहाँ मिसटर बिगस बिंगो में	సరే, ఇకకడ మి. బిగస బింగోలో,
तुम चाहते हो कि उसे तुम पर नाज हो, है न?	తను గరవపడాలని భావిసతుననావు, అంతే కదా?
मुशकिलें आने के बावजूद, मैं रुका रहा.	పరిసథితులు చెడినపపుడు కూడా, నేను ఉననాను.
आपको उस नए डेटिंग ऐप पर लाऊँगा. उमरदराज के लिए चुंबन.	నినను కొతత డేటింగ యాపలో పెడతా. ముసలోళలకు ముదదులు.
"बडा विजेता"?	"బిగ విననర"?
अब हम घर वापस चल सकते हैं.	మనం మళలీ ఇంటికి వెళలతాం.
हाँ, सही कहा.	అవును, నిజం.
जिददी कमीने.	మొండి వెధవలు.
हैलो? लुपीटा!	హలో? లుపిటా!
दफा हो जा, कमीने. तू मुझे रुला देगा.	ఇక పోరా, వెధవా. ననను ఏడిపించేలా ఉననావు.
ठीक है, मैं पीछे जाता हूँ.	సరే, వెనుక నుంచి వసతాను.
-तुम हमारे लिए अचछी रही हो, पर लुपीटा. . . -पर कया?	-నువవూ మాకు మంచే, కానీ, లుపిటా. . . -కానీ ఏంటి?
तुम मुझे या मेरे परिवार के बारे में कुछ नहीं जानते.	నీకు నా సంగతి, లేదా నా కుటుంబం గురించి తెలియదు.
वैसे भी, मुझे बिंगो हॉल पहुँचना चाहिए.	ఎలాగూ నేను బింగో హాలకు వెళలాలసిందే.
आज फिर डोलोरेस नहीं आई?	ఇవాళ మళలీ డోలొరెస రాలేదా?
आज तुम हमारे साथ रहोगे?	రాతరికి మాతో చేరుతుననావా?
सबने इतना सब कुछ किया है, आप और डोलोरेस मिसाल हैं.	మీరంతా చేసినది చూసతే, నువవు, డోలొరెస దిగగజాలు.
मारियो से बात नहीं हुई?	మారియో గురించి తెలియలేదా?
मिसटर बिगस बिंगो, हुँह?	మిసటర బిగస బింగో, అంతేనా?
एक और मामूली मरममत. . .	మరొకక చినన దిదదుపాటు. . .
अब भी ठीक नहीं लग रहा है, लुपीटा.	నాకింకా సరిగా అనిపించడంలేదు, లుపిటా.
हैलो, हेलेन.	హాయ, హెలెన.
अचछी कार है.	చకకని కారు.
