वाह!	భలే!
मुझे लगा यहाँ आकर मजा आएगा कयोंकि तुमहें सच में इसके बारे में कुतूहल होता लगा.	నీకు నిజంగానే ఆసకతి ఉంది అననటటు కనిపించడంతో ఇకకడికి వసతే బాగుంటుంది అనుకుననాను.
हाँ. पर तुमहें यहाँ काम तो करना होगा.	లేదు. కానీ నువవు ఇకకడ పనిచేయక తపపదు.
हमें उसे उडने के लिए पंख देने होंगे.	మనం వారిని తనకు నచచిన పని చేయనివవాలి.
पर मेरे लिए यह उतना मायने नहीं रखता.	కానీ నాకెతే ఇది అంత విలువెంది కాదు.
तुमहें लगता है मेरी इचछा पूरी होगी?	అది నిజం అవుతుందని నీకు అనిపిసతుందా?
मैंने अपनी सारी परिकरमाएँ उसके लिए एक सुरकषित भविषय बनाने में बिताईं	నేను వారికి మంచి భవిషయతతుని ఇవవడానికి ఇకకడ ఎననో ఏళళు కషటపడి పనిచేసాను,
और मैं डरता हूँ कि उनसे होने वाली एलरजी से मेरी साँस न रुक जाए.	అలాగే వాటి దగగర ఉంటే నాకు ఊపిరి అందదేమో అనన నా భయానని పకకనపెడితే.
- अभी? - हाँ, बस थोडा सा कुछ.	- ఇపపుడా? - అవును, కొంచెం వెయ.
कि जीवन में कुछ चीजें घिनौनी हों तो भी तुम कुछ नहीं कर सकते.	కొనని విషయాలు మనకు నచచకుండానే ఉంటాయి అని గురతు చేసతుందేమో.
जो उसने माँगा था, उसके हिसाब से तो यह देखने में अचछा है.	వారు అడిగిన దానిని బటటి ఆలోచిసతే, ఇది చూడడానికి బానే ఉంది.
अचछा लगा कि वे वकत के किसी महतवपूरण पल को कैद कर लेते हैं.	అవి కాలంలో ఒక సందరభానని పదిలం చేయగలవు అనన విషయం నచచింది.
यह सुनने में थोडा अजीब लगेगा	ఇది వినడానికి వింతగా ఉండొచచు,
और मैं चाहता हूँ कि तुमहारी कहानी यह हो कि तुम जो चाहो, वह कर सकते हो या बन सकते हो.	అలాగే నీ కథ నువవు ఏది కావాలనుకుంటే అది చేసతూ ఏమెనా కాగలవు అనే విషయానని తెలిపేది కావాలి.
तो, अगर जीवन की कषणभंगुरता तुमहारी घबराहट कम करती है,	అంటే, జీవితానికి ఉనన కషణిక కాలం నీ ఆందోళనను తగగిసతుంటే,
ओह, वाह, यह तो बडा अचछा है.	ఓహ, భలే, చాలా బానే పాడాను.
तुम भी एक अचछे जीवनदाता हो.	నువవు కూడా మంచి పరాణదాతవే.
पर कया बार-बार निराश होने के बजाय तुम खुशी से हैरान होना जयादा पसंद नहीं करोगे?	కానీ అసతమాను నిరాశపడటానికి బదులు ఊహించని మంచి విషయానని ఎదురకోవడం మంచిది కదా?
चलो, जरा अंग हिलाकर दिखाओ.	ఒకసారి డానస వేసి చూపించు.
- बिना रोक-टोक शबदों की तुकबंदी? कया मतलब? - कया?	- ఫరీగా పదాలు పరాస తీసతావా? అంటే ఏంటి అరథం? - ఏంటి?
मुझे पता था मेरी इचछा पूरी हो जाएगी.	నా కోరిక నిజం అవుతుందని నాకు తెలుసు.
तो, तुम अपना पहला सयाही का निशान लगवाना चाहोगे,	అయితే, నీకు నీ మొదటి పచచబొటటును వేయించుకునే ధెరయం
कया हुआ, मेरे ननहे बचचे?	ఏమెంది, నా చినని బిడడా?
मैं अपनी आवाज ऊँची कर रहा हूँ कयोंकि यह वह जवाब नहीं है जो मैं चाहता था.	నేను అనుకునన సమాధానం రాలేదు కాబటటి ఇపపుడు నేను అరుసతూ మాటలాడుతుననాను!
एक और तुकबंदी ढूँढ रहा हूँ मुझे. . . मुझे मिल गई	ఇంకొకక పరాస కోసం చూసతుననాను నాకు అది దొరికింది
उसे ऐसी किसी और चीज में भी बदलना हमेशा संभव होता है जो हमेशा के लिए हो.	కావాలనుకుంటే కలకాలం ఉండిపోయే మరొకదానిగా దానిని మనం ఎపపుడెనా మారచగలం.
तो तुम यह काम करते हो?	నువవు ఆ పని చేసతూంటావా?
यह मुमकिन है, यह एहसास मुझे बेहाल कर रहा है.	అది జరిగే అవకాశం ఉంది అంటేనే నాకు మతి పోతోంది.
यह मुमकिन है, यह एहसास मुझे बेहाल कर रहा है.	అది జరిగే అవకాశం ఉంది అంటేనే నాకు మతి పోతోంది.
यह तो बहुत दरदनाक है.	ఇది చాలా నొపపిగా ఉంది.
तुमहें एक सयाही का निशान लगवाना कैसा लगेगा?	పచచబొటటు వేయించుకోవడం మీద నీ ఉదదేశం ఏంటి?
मुझे नए नजरिये से चीजें दिखाने के लिए आभार.	నాకు ఒక కొతత దృకకోణానని ఇచచినందుకు థాంకస.
तुम इस चीज की चिंता कयों करते हो कि हमारी दोसती कितनी असथायी है?	మరి మన సనేహం ఎంత తకకువ కాలం నిలిచి ఉంటుందో అని ఇక భయం ఎందుకు?
कितनी रोमांटिक होगी.	భలే రొమాంటిక గా ఉంది.
मुझे समझ नहीं आ रहा.	నాకు అరథం కావడం లేదు.
मैं जानता हूँ इससे मेरा कोई सरोकार नहीं है	ఇది నాకు అనవసరమెన విషయం అని నాకు తెలుసు,
वे उन अनुभवों के सथायी होने का एहसास देते हैं जिनहें मैं कभी भूलना नहीं चाहती.	నేను ఎననటికీ మరచిపోకూడదు అనుకునే జఞాపకాలను ఇవి పదిలంగా ఉంచుతాయి అనన ఫీలింగ ఇసతాయి.
सुबह जब मैं उठी तो मैंने नहीं सोचा था कि आज का दिन ऐसा जाएगा.	నేను ఇవాళ ఉదయం లేచినపపుడు ఇలా జరుగుతుందని అససలు అనుకోలేదు.
या हो सकता है, वह अपना अलग सफर जारी रखे,	లేదా బహుశా తన సొంత జీవితం జీవిసతారేమో,
जीवनदाता, मैं यहाँ काम नहीं करना चाहता.	పరాణదాతా, నాకు ఇకకడ పని చేయాలని లేదు.
तुमहारे सबसे नए करमचारी से भी मेरी अचछी दोसती हो गई है.	అలాగే నేను మీ దగగర చేరిన కొతత వయకతికి కూడా చాలా దగగరయయాను.
मजेदार काम है. आशा है तुमहारे पास ढेर सारी मुदरा हो.	అది భలే పని. నీ దగగర బోలెడంత డబబు ఉండాలని కోరుకుంటుననా.
शायद इसीलिए मैंने अपने सयाही के निशान लगवाए हैं.	అందుకే నేను నా పచచబొటలు వేయించుకుననటటు ఉననాను.
कया तुमहें किसी और जगह पर जाना है?	నువవు ఇంకెకకడికెనా వెళళాలసింది ఉందా?
केवल यही है एक चीज जो लगती है सही	నాకు ఇది ఒకకటే సరెన పని అనిపిసతోంది
मुझे नहीं लगता मैं कभी ऐसा चाहूँगा.	నేను వసతానని నాకు అనిపించడం లేదు.
मेरा भाई यहाँ आजीविका के सिलसिले में आया था और उसने यहाँ की हरियाली की बहुत तारीफ की.	నా తోబుటటువు తన ఉదయోగ రీతయా ఇకకడికి వచచి ఇకకడ ఉనన పచచదనం గురించి గొపపగా చెపపారు.
मेहनत करनी पडेगी.	పరాకటీసు కావాలి.
अँह-हँ, एक जीवनदाता को पता चल जाता है जब उनकी संतान किसी वजह से परेशान होती है.	ఆహ-హాహ, తన బిడడను ఏదో ఒక విషయం ఇబబంది పెడుతోందని పరాణదాతకు తెలుసుకోవడం కషటం ఏం కాదు.
मैं अचछा रैप करता हूँ कोई मेरे जीवनदाता को बताओ	నేను బాగా రయాప చేయగలను ఎవరెనా మా పరాణదాతకు చెపపండి
यह हम दोनों में एक बडा अंतर है,	మన మధయ ఉనన పెదద తేడాలలో అది ఒకటి,
और यह सयाही सैलून बंद हो जाएगा. हम नहीं जानते.	అపపుడు ఇక ఈ ఇంక సెలూన ఇక ఉండకపోవచచు. మనం చెపపలేం.
पर जीवन सीमित है और इसीलिए तुमहें कुछ ऐसा काम करना चाहिए जिसमें तुमहें मजा आए.	కానీ మన జీవితం చాలా చిననది, కాబటటి అందరం మనకు నచచిన పనిని చేసతేనే మంచిది.
-अगली बार तुम कर लोगे. -पहला हिससा अचछा था.	- మొదటి భాగం బాగుంది. - మళళీసారి బాగా పాడతావు.
जैसे कि, पता नहीं, गाने गाकर या नाचकर या मिटटी के बरतन बनाकर.	అంటే, ఏమో, పాటలు పాడడం లేదా డానస వేయడం లేదా కుండలు చేయడం.
कया? कुछ नहीं.	ఏంటి? ఏమీ లేదు.
मैं बस पढने के लिए कोई नई किताब ढूँढ रहा था.	ఏదెనా ఒక కొతత పుసతకం చదువుదాం అని వచచాను.
जो हमने खुशी से कलातमक तरीके से बना दिया.	ఆ బొమమను వేయడానికి మేము సంతోషంగా ఒపపుకుననాం.
यह कारण पहली बार नहीं सुना है और हमारे लिए बहुत से नए गराहक लाता है.	ఈ వంక కొతతది ఏం కాదు, దీని కారణంగా మాకు చాలా మంది కొతత కషటమరలు వసతుంటారు.
पाँच सेकंड से जयादा हो गए हैं	దేనినెనా నేను తినొచచు కూడా,
मुझे समझ में आया कि मेरे पास दो रासते हैं.	అపపుడు నాకు రెండు అవకాశాలు ఉననాయని తెలిసింది.
तुम हर हफते कुछ कम घंटे के लिए आ सकते हो	అయితే వారానికి కొనని గంటలు నినను వదిలేసతాం,
लगता है मुझे मिल गई है रोशनी मैं सारी रात कर सकता हूँ शबदों की तुकबंदी	నాకు ఒక కాంతి దొరికింది అనుకుంటుననాను నేను ఆగకుండా పరాసతో పాడగలను
मुझे समझ में आया कि सबसे जरूरी कहानी वह होती है जो तुम खुद सुनाते हो.	మనకు మనము చెపపుకునే కథే అననిటికంటే ముఖయమెన కథ అని తెలుసుకుననాను.
ऐसा लगा जैसे मेरे करने के लिए कुछ नहीं है	నాకంటూ సరిపడే పని ఏదీ లేదు అనిపించింది
बजाय उस पर धयान देने के जो पहले ही था.	ఏం చేయాలో తెలీక ఉనన సందరభానని సూచిసతుంది.
बेशक. हमें यह चरचा भी तो खतम करनी है.	తపపకుండా. మనం ఈ వాదనను పూరతి చేయాలి కదా.
देखिए, मैं जानता हूँ यह सब आपके लिए बहुत मायने रखता है,	చూడండి, మీకు ఈ వృతతి చాలా ముఖయమెంది అని నాకు తెలుసు,
नहीं. फिलहाल तो मैं पराणियों को आवास बेच रहा हूँ	లేదు. పరసతుతానికి నేను అవసరమెనంత డబబు సంపాదించడానికి
मैं जानता था मेरे जीवनदाता नहीं समझेंगे	మా అమమానాననలకు అరథంకాదని నాకు తెలుసు
कया? तुमहें धनिया पतता नहीं पसंद?	ఏంటి? నీకు కొతతిమీర అంటే ఇషటం లేదా?
तो जब मैं छोटा था, हम एक से दूसरी जगह जाते रहते थे.	కాబటటి నా చిననపపుడు మేము అసతమాను ఊరలు మారేవారం.
कयों न तुम उससे पूछ लो?	ఆ మాట వారినే అడగొచచు కదా?
कया यह कविता की तरह है?	ఇది పదయాలు పాడడం లాంటిదా?
परमाणपतर सौ साल से जयादा की परंपरा	సరటిఫికెట 100 ఏళల కరితం నాటి సంపరదాయం
और किसी दिन, तुम इस विशेष परंपरा को जारी रखकर	అలాగే ఏదోకరోజు నువవు కూడా ఈ పరతయేకమెన సంపరదాయానని
जिजञासा और गुससा इस गरह पर जहाँ चारों तरफ है खतरा	ఆసకతి అలాగే ఆగరహం పరమాదంతో నిండి ఉనన పరపంచంలో
हैलो, संतान.	హాయ, బిడడా.
अपने अंग हिलाना पसंद है?	డానస వేయడం అంటే ఇషటమా?
कया आपने यह अभी बनाया?	నువవు ఇది సవయంగా చేశావా?
मैंने और चीजें करने की कोशिश की कुछ भी ठीक से नहीं हुआ	నేను ఇతర పనులు చేయడానికి పరయతనించాను కానీ సరిగగా చేయలేకపోయా
मुझे मुदरा वितरण मशीन जाकर देखना है	తరవాత నేను ఏటిఎంకి వెళలి ఖరచులకు
पर पहले मुझे दाखिला तो मिलना चाहिए.	కానీ ముందు నాకు సీటు రావాలి కదా.
मेरा दोसत अपना पहला सयाही का निशान लगवाने के बारे में बहुत उतसाहित है.	నా ఫరెండ తన మొటటమొదటి పచచబొటటును వేయించుకోవడానికి ఆతృతగా ఉననారు.
सयाही का निशान लगाना अचछा काम है पर मैं यह करना नहीं चाहता	పచచబొటలు వేయడం భలే ఉంటుంది కానీ నాకు అది చేయాలని లేదు
मैं कुछ शबद कहूँगा और फिर कुछ और शबद जिनकी उन शबदों से तुकबंदी होगी	నేను కొనని పదాలు చెపతాను ఆ పదాలకు ఇంకొనని పదాలతో పరాస కలుసతుంది
नहीं. शायद. पता नहीं.	లేదు. ఏమో. నాకు తెలీదు.
और अगर बारिश नहीं आई?	మరి ఒకవేళ వరషం పడకపోతే?
तभी हमने तुमहारा नाम अभी से वहाँ जोड दिया है.	అందుకే నినను ఇకకడ ఇంత తవరగా చేరచుకుననాము.
कई, कई परिकरमाएँ पहले,	ఎననో సంవతసరాల కరితం,
हर किसी का यही सपना है, है ना?	అదే కదా మనందరికీ కావాలి, ఏమంటావు?
अपनी इचछाओं को सच करने की जादुई ताकत है?	మయాజికల గా నిజం అవుతాయని నేను అనుకుంటుననానా?
हाँ, शायद.	అవును, ఏమో.
एक, दो, तीन, एक. . . एक. . . एक हजार अभी मैं तुकबंदी कर रहा हूँ, घिरा हुआ हूँ	ఒకటి, రెండు, మూడు, ఒ-ఒ-ఒక వేయి పరసతుతం అయితే నా చుటటూ ఉననారు చాలా మంది
और इस समय मेरा कोई नहीं है उददेशय	పరసతుతం ఏం చేయాలో తెలీక ఉననాను
कया तुम यह ऊँचा बोलोगे ताकि मेरी संतान को सुन जाए?	ఆ మాట నా బిడడకు కూడా వినిపించేలా కొంచెం గటటిగా చెపతారా?
दरअसल, जीवनदाता, कया मैं इसे खतम कर दूँ?	నిజానికి, పరాణదాత, నీకోసం దానిని నేను వేయనా?
कि चाहे कोई चीज हमेशा के लिए हो,	ఉండిపోదు అని గురతించడం ముఖయం,
तुमहें देख कर लगता है तुम पराणियों के ऑरब भर में घूमने की योजनाएँ बनाना चाहते हो.	నినను చూసతుంటే జనానికి పరపంచ టరిప లను పలాన చేయడం ఇషటం ఉనన వయకతిలా ఉననావు!
एक सितारे की परिकरमा कर रहा है	ఒక నకషతరం చుటటూ తిరుగుతోంది
यह सच है.	అది నిజమే.
शायद मुझे कोशिश करनी चाहिए कुछ छंदों की तुकबंदी की	బహుశా నేను ఇంకొనని పరాస ఉనన చరణాలు పాడాలి ఏమో
सयाही के निशान के सैलून की बीइंगसबरग में बहुत महतवपूरण भूमिका रही है.	ఈ పచచబొటల సెలూన బీయింగస బరగ లో చాలా కీలకమెన పాతరను పోషించింది.
मुझे पता था कि इसी कारण से हमें जयादा संतानें करनी चाहिए थीं.	ఈ కారణంగానే మనం ఇంకొంతమంది పిలలలని కని ఉంటే బాగుండు అని నాకు తెలుసు.
यह तो अचछा महसूस नहीं हुआ!	ఇది నాకు బాగా అనిపించడం లేదు!
चलो देखें, तुम कितना तेज कर सकते हो.	సరే, నువవు ఎంత వేగంగా చేయగలవో చూదదాం.
कभी-कभी, वे ऐसे पराणी के सममान में होते हैं जिससे हम पयार करते हैं.	కొననిసారలు, మనం పరేమించేవారి జఞాపకారథం వేయించుకునేవి ఉంటాయి.
इसे धयान से और कोमलता से करना होता है.	సరిగగా చూసుకుంటూ సుననితంగా గీయాలి.
हैरानी की बात है, मुझे हर रोज उनहीं पराणियों को देखने से सुकून मिलने लगा है.	ఆశచరయం ఏంటంటే, నాకు అలవాటెన వారిని రోజూ కలవడం నాకు సంతోషంగా ఉంటుంది.
तुकबंदी में दोहे.	పరాసలు తీసే పిలలలు.
कुछ थोडे अजीब लग सकते हैं	కొనని విషయాలు వింతగా ఉండొచచు
-यह तो काफी जयादा जगहें बदलना है. -तुमहें आदत पड जाती है.	- అయితే చాలా ఊరలు మారి ఉంటారు. - కొంతకాలానికి అలవాటు అయిపోతుంది.
मुझे वह बहुत अचछा लगेगा.	నాకు కూడా అలా వెళలడం ఇషటమే.
कया तुमहें गाना, नाचना या मिटटी के बरतन बनाना आता है?	నీకు పాట పాడడం, డానస వేయడం లేదా కమమరి పని వచచా?
पर मुझे लगता है मुझे जाना ही पडेगा.	కానీ నేను వదిలేయాలసి వసతుందేమో.
वह बहुत कुशल करमचारी तो नहीं है पर उसमें जोश भरपूर है.	వారు అంత నెపుణయం ఉనన ఉదయోగి కాదు, కానీ చాలా ఉతసాహం ఉనన వయకతి.
मुझे बारिश के लिए तैयार रहना जयादा पसंद है.	దానికి బదులు వరషానికి సిదధంగా ఉండడమే నాకు ఇషటం.
मुझे भी! मैं इस नई काबिलियत को और निखारने के लिए उतसाहित हूँ.	నాకు కూడా! ఈ కొతత సామరధయానికి పదును పెటటడానికి నాకు భలే ఆసకతిగా ఉంది.
सबसे लंबा समय तुम एक बरग में कितनी देर रहे?	ఒక ఊరిలో నువవు గడిపిన అతయధిక కాలం ఎంత?
संतान, कया मैं तुमसे एक पल बात कर सकता हूँ?	బిడడా, నేను నీతో ఒక నిమిషం మాటలాడొచచా?
मैंने कभी नहीं सोचा था कि आखिरकार यह करने से पहले तुम सयाही का निशान लगवा लोगे.	నువవు ఆ పని చేయడానికి ముందు పచచబొటటు వేయించుకుంటావు అని మాతరం అనుకోలేదు.
मुझे ऐसा लगता है?	అయయుండొచచు ఏమో?
धनयवाद, जीवनदाता.	థాంకస, పరాణదాత.
उसने बहुत जयादा हलका जहर पीया हुआ था और उसने यह सयाही का निशान लगाने को कहा.	ఈ వయకతి మదయం ఎకకువ తాగేసి ఇలా అసహజంగా ఉండే పచచబొటటు వేయమని అడిగారు.
असल जिंदगी में नहीं कयोंकि मैं अंग हिलाने में अचछा नहीं हूँ	నిజ జీవితంలో కాదు ఎందుకంటే నాకు డానస వేయడం బాగా రాదు
आप मुझे कोई मेरी पसंद का काम ढूँढने में मदद कयों नहीं करते?	నాతో మాటలాడే ఒక పనిని కనిపెటటడంలో మీరు నాకు ఎందుకు సాయం చేయడం లేదు?
हम जीवन को मायने देने के तरीके ढूँढ लेते हैं	జీవితానికి అరథానని ఇవవడానికి మారగాలను వెతుకుతుంటాం
अगर वह यहाँ काम नहीं करना चाहता, तो मुझे लगता है हमें उसकी बात सुननी चाहिए.	వారికి ఇకకడ నిజంగానే పనిచేయాలని లేకపోతే మనం వారి మాట వినడం మంచిది.
कितनी दुविधा है. मैं. . .	భలే సందిగదత. నేను. . .
शायद वह अंत में सयाही सैलून में वापस आ जाएगा	బహుశా వారు తరవాత తనంతట తానే ఇంక సెలూన కి వసతారేమో,
-पहला हिससा बहुत अचछा था. -तुमने अपनी पूरी कोशिश की.	- మొదటి చరణం అదభుతం. - నీ పూరతి సతతా చూపించావు.
-मुझे यह बहुत पसंद आया. -हाँ.	- నాకు అది చాలా నచచింది. - అవును.
तुमहारा जुनून दूसरों को अपने शौक ढूँढने की परेरणा देता है.	నీ అభిరుచి ఇతరులను కూడా వారి అభిరుచిని కనుగొనడానికి పరోతసహిసతుంది.
मैं इस वयवसाय को नहीं संभालना चाहता.	నాకు ఈ వయాపారానని సొంతం చేసుకోవాలని లేదు.
नहीं, मेरा मतलब, मैं यहाँ काम करना ही नहीं चाहता.	కాదు, నా ఉదదేశం, నాకు ఇకకడ పనిచేయాలని లేదు.
मैं बिना रोक-टोक शबदों की तुकबंदी करना चाहता हूँ.	నేను ఫరీగా పదాలు పరాసలు తీయాలి అనుకుంటుననా.
तवचा सयाही सैलून	సకిన ఇంక సెలూన
-माफ करना. -अरे.	- సారి. - హేయ.
सामानय आवाज में.	మామూలు సవరంతో.
दुकान से	సటోర లో
अगर मैं अपनी ही धुन पर नाचना चाहूँ?	నాకు నా సొంత సంగీతంతో డానస వేయాలని ఉంటే?
तुम एक अचछी जीवनदाता हो.	నువవు మంచి పరాణదాతవి.
माफ करना, आज मेरे पास जयादा काम नहीं है. कया मैं आगे भी तुमहारे साथ आ सकता हूँ?	కషమించాలి. ఇవాళ నాకు పెదదగా పని ఏం లేదు. నేను నీతో ఇలాగే సమయం గడపొచచా?
कयोंकि मुझे लगा तुमने कहा तुम सयाही के निशान नहीं बनाना चाहते.	ఎందుకంటే నువవు నీకు పచచబొటలు వేసే పని చేయడం ఇషటం లేదననటటు వినిపించింది.
उससे मुझे परयापत कमाई हो जाती है	నాకు అవసరమెనంత జీతం అందుతుంది,
कया तुम वाकई केयरफुल नाओ से चली जाओगी?	నువవు నిజంగానే కేరఫుల నవ ని వదిలేసతుననావా?
जबकि सथिरता का न होना ही जीवन को इतना दिलचसप बनाता है.	కానీ ఏదీ శాశవతం కాదు అనన విషయమే మన జీవితాలను ఆసకతిగా చేసతుంది.
"एक अचानक मुलाकात का नतीजा होता है एक पयार भरा दिन. "	"ఒక రోజున అనుకోకుండా కలిసిన ఒక పరిచయం పరేమకు దారి తీసతుంది. "
तो तुम बीइंगसबरग में कैसे पहुँचे?	అయితే నువవు బీయింగస బరగ కి ఎలా వచచావు?
अपना पहला सयाही का निशान लगवाने की हिममत दिखाने की निशानी के तौर पर?	వచచిన సందరభానికి గురతుగా పచచబొటటు వేయించుకోవాలి అనుకుంటుననావా?
मुझे यह वाला बहुत पसंद है.	నాకు ఇది అంటే చాలా ఇషటం.
शायद मेरे जीवनदाता सही थे.	మా అమమానాననలు అననది నిజమే ఏమో.
मैं हूँ मडैलियन	నేను మెడాలియన
हाँ. शायद हम तुमहारी पीठ पर नीचे की ओर कोई सुंदर दृशय बना देते हैं.	అవును. కావాలంటే మేము ఒక అందమెన సీన ని మీ నడుము మీద వేయగలం.
मैं तुमहें कुछ दिखाना चाहता हूँ.	నేను నీకు ఒకటి చూపించాలి అనుకుంటుననా.
उनके पास पूरे गरह के सबसे अचछे हॉसपिटैलिटी परोगरामों में से एक है.	అకకడ పరపంచంలోనే అతిగొపప హాసపిటాలిటీ పరోగరామలలో ఒకటి ఉంది.
हम आप दोनों के लिए कया कर सकते हैं?	మీ ఇదదరికీ మేము ఏం చేసిపెటటగలం?
हमें लोगों ने इससे भी जयादा अजीब चीजें कही हैं, मेरे दोसत.	చాలా మంది అంతకంటే వింతెనవి వేయమని అడిగారు, మితరమా.
पर वह एक अचछा पराणी है और हमें उसे अपना समरथन देना चाहिए.	కానీ వారు మంచి వయకతి, వారికి మన సపోరట చాలా అవసరం.
मैं कभी नहीं चाहती थी कि तुमहें और घबराहट हो.	నీకు మరింత ఆందోళనను కలిగించాలననది నా ఉదదేశం కాదు.
साथ ही, अपने बचाव में कहना चाहूँगी, कि उस साल काफी बारिश हुई थी.	అంతేకాక, నా కోణంలో చెపపాలంటే, ఆ వేసవి చాలా వరషం పడింది.
कया तुम कोकोसलैब दवीप में घूमने जा रही हो?	నువవు కోకోసలాబ దీవికి వెళళబోతుననావా?
खैर, मैं चलती हूँ.	సరే, నేను ఇక వెళతాను.
धनयवाद.	థాంకస.
बस यही मायने रखता है.	అదే ముఖయమెన విషయం.
हाँ. इसने पारक में मौजूद पराणियों के झुँड को बहुत परभावित किया.	అవును. అకకడ పారక లో ఉనన అందరినీ వీరు భలే ఆకటటుకుననారు.
और अब आगे चीजें और अजीब होती जाएँगी	ఈ జీవితం ఇకపె మరింత వింతగా మారుతుంది అంతే
यह मैंने तब लगवाया था जब मैं शिकषासंसथा में मौसम विजञान की शिकषा ले रही थी.	నేను కాలేజీలో వాతావరణ శాసతరం చదువుతుననపపుడు దీనిని వేయించుకుననాను.
तुमहें माफी माँगने की जरूरत नहीं है, संतान.	నువవు ఎలాంటి కషమాపణలు చెపపాలసిన పని లేదు, బిడడా.
जीवनदाता एवं संतानें	అమమానాననలు & బిడడ
कयोंकि बारिश में बहुत खूबसूरती है.	ఎందుకంటే వరషానికి చాలా అందం ఉంది కాబటటి.
और अब है एक नया खयाल	అలాగే ఇంకొక విషయం
यह देखो. इस पराणी ने बीइंगसबरग की पहली अंगों की लंबी दौड यानि मैराथन जीती	ఇలా చూడు. ఈ వయకతి మొటటమొదటి బీయింగస బరగ పరుగుపందెంలో గెలిచారు,
जिसकी वजह से तुम मेरे साथ समय न बिताना चाहो.	ఇషటం లేదు అనుకునేలా ఏమెనా పిచచి పని చేసతాను ఏమో అని.
