एक घर, एक औरत.	ఇలలు, ఒక సతరీ.
तुमहारा यह धीरज बहुत बडी बात है.	నీ ఓపికే నాకు చాలా బాగా నచచింది.
मैं होता तो पास नहीं जाता.	అతని దగగరికి వెళళను, మేడం.
बिना मरे.	చావు తపప.
जिंदगी के आम उतार-चढाव.	అవే జీవితపు ఎతతుపలలాలు.
गरेग?	గరెగ?
शैमपेन.	షాంపేన.
रुको, कया. . .	ఆగు, ఏంటి. . .
डॉ. कलेमेनस. . .	డా. కలెమెనస. . .
तुम सच में इस जगह पर हो?	నువవు నిజంగా ఇకకడుననావా?
हाँ, असली हूँ.	హా, నేను నిజం.
मुझे पता है तुम कौन हो,	నువవు నాకు తెలుసు, కానీ
आपका एक बेटा और एक बेटी है.	నీకో కూతురు, కొడుకు ఉననారు.
मैंने कहा, "धयान से,	నేను "జాగరతత, జాగరతత
"मेरी चोटियाँ. मेरा दिमाग नहीं. "	నా జడలు నానన. నా మెదడు కాదు" అని.
पर डॉ. कलेमेनस का कहना है	కానీ డాకటర కలెమెనస పరకారం
वही कीजिए जो आपको सही लगे, ठीक है?	మీకు ఏది మంచిదో అదే చేయండి, సరేనా?
गरेग!	గరెగ!
इजबेल!	ఇజబెల!
बहुत बुरा विचार है!	అదో దారుణమెన ఐడియా!
-लिअंग, चलो.	-లియాంగ, పద.
हमें अभी निकलना होगा.	మనమిపపుడే వెళుతుననాం.
यह सब बाद में देख लेंगे.	అవననీ తరువాత చూసుకుందాం.
-चलो.	-అరే.
चलो! आओ!	పద! అరే!
-पुलिस!	-పోలీస!
यह नकली है. यह सब झूठ-मूठ का है!	ఇది నకిలీ. ఇది నకిలీ! ఇది నకిలీ!
हममें से एक वापस जा पाएगा	మనలో ఒకరు ఇంటికి వెళళాలి.
-मुझे यहाँ नहीं रहना.	-లేదు, నేనికకడుంటాను.
यह सब. . .	ఇదంతా. . .
मैंने यह सारी गडबड की. मैंने.	ఈ చెతతంతా నా కలపనే. అదే నేను.
मैं नहीं जाऊँगा!	నేను వదిలి రాను!
बलिस	బలిస
नहीं, मुझे. . . मुझे तो ठीक ही लग रहा है.	లేదు, నాకు. . . నాకు బాగానే అనిపించింది.
बधाई हो. तुमने सभी को गलत साबित कर दिया.	శుభాకాంకషలు. అందరినీ తపపని నిరూపించావు.
वह. . . पर तुमहें पता है. . . कैसे. . .	అది. . . కానీ నీకు తెలుసా. . . ఇక. . .
मैं यहाँ बैठा हूँ, मैं इससे जयादा. . .	నేనికకడ కూరచొని ఉననాను, నాకింతకననా. . .
-नहीं, यह मेरा अपना कुछ है. यही. . .	-లేదు, అవి కొంచెం వయకతిగతం. అలాం. . .
हम जानबूझकर बरेनबॉकस में से निकल गए.	కావాలని ఆ బరెయిన బాకస నుండి బయటపడడాం.
सबसे पहले दिमाग में खुलकर पारटी करना,	నాకు మొదట గురతుకు వచచేది పారటీల గోల,
वह पकका सैन फरनैंडो से पशचिम को गए?	శాన ఫెరనాండో పశచిమానికి వెళళాడంటావా?
मैं हमेशा चितर बनाता रहता हूँ. . .	నేను ఎపపుడూ అది గీసతూనే ఉంటాను. . .
मैं ठीक हूँ. पर, तुमहारा नहीं पता.	బాగానే ఉననాను. నీ సంగతి తెలియదనుకో.
और मैं उसे नेचर एनड साइंस मैगजीन को	నేను దానిని నేచర అండ సెనస మాగజెనకు
धत! डॉ. कलेमेनस, आप कया कर रही हैं?	అబబా! డాకటర కలెమెనస ఏం చేసతుననావు?
तुमहें. . . तुमहें खुद देखना होगा.	నువవు. . . నీ కళళతో నువవే చూడాలి.
मैं तुमहारी याददाशत लौटाकर रहूँगी.	నేను నీ జఞాపకాలను తిరిగి తెసతాను.
पर मैं दवा ले रहा हूँ, इसलिए. . .	మందు వేసుకుంటుననానులే, కనుక. . .
इसमें खास पीले रंग के करिसटल हैं	దానిలో ఈ నకిలీ లోకానని భరమింపచేసే
"हैलो, पापा, आपकी पीठ कैसी है? "	"హే, నానన, వీపు నొపపి ఎలా ఉంది? "
-पर अगर आप उस इलाके के नहीं. . .	-కానీ, నీది ఆ పరాంతం కాకపోతే. . .
परेसकरिपशन रीफिल करवाने के लिए,	మీ పరిసకరిపషన రీఫిల కోసం ఎనిమిది
कोई हमारे अडडे पर आया था, गरेग.	అంటే, గరెగ, ఇకకడికి ఎవరో వచచారు.
तुम मुझसे कहती हो, "वह असली है"	నువవే కదా "అతను నిజం" "ఆమె కాదు"
परेसकरिपशन नंबर दबाइए और साथ ही	దయచేసి పరిసకరిపషన నెంబరుతోపాటు
इसे कुछ नहीं हुआ. शायद पेट में	తనకేం కాలేదు. కొంచెం కడుపునొపపి
कया? हम तो गए काम से! हे भगवान.	ఏంటి? అబబా అంతా నాశనం! దేవుడా.
हाँ, मुझे पता है मैंने गडबड की	హా, నేను తపపు చేసానని తెలుసు,
-हतया नहीं? देखा कया लिखा है?	-కుటరలు లేవా? అదెంటో చూసావా?
बयॉरन के लिए बुरा लग रहा है.	బయోరనను తలచుకుంటే బాధగా ఉంది.
जब आप तैयार हों, फोन कीजिएगा.	-తయారుగా ఉననపపుడు కాల చెయయి.
पलीज ईमानदारी से जवाब दीजिए.	దయచేసి నిజాయితీగా జవాబివవండి.
सुनो, मैंने तुमहारी थीसिस पढी	చూడు, నేను నీ థీసిస చదివాను,
शुरू में धुँधला सा लगता है.	మొదటలో అంతా మసకగానే ఉంటుంది.
बाहर उन लोगों को देख रहे हो?	ఆ బయటునన జనాలందరినీ చూసావా?
मैं बाद में आकर ऑरडर करूँगा.	నేను తరువాత ఆరడరు ఇసతానులే.
नहीं. बिलकुल नहीं. मुझे. . .	లేవు. అససలు లేవు. నేను. . .
तरकसंगत सवाल, केंडो असली है.	తాతవిక పరశన, కెండో వాసతవమా.
-तो, अगर केंडो, अगर वह. . .	-అంటే, కెండో ఉంటే, అతను. . .
और दूसरा यहीं फंसा रह जाएगा.	ఇంకొకరు ఇకకడే ఇరుకకుపోవాలి.
पेड के पीछे दिखाई दे रहे हो.	చెటటు వెనుక ఉననారని తెలుసు.
बहुत बढिया. बडी जलदी ले आए.	బాగా చేసావు. తవరగా చేసావే.
नहीं, मेरे पास फोन नहीं है.	లేదు, నా దగగర ఫోను లేదంతే.
ए, यार. तुमहारा नुकसान है.	హే, బాబు, ఏదోలే. నీకే నషటం.
ठीक है, मत लो. ऐसा नहीं कि	సరే, వాడకు. చెయయి మెలిపెటటి
तुमने इस बारे में कुछ सुना?	దాని గురించి ఏమననా తెలుసా?
हम हमेशा कुछ परशन करते हैं.	మేము చాలా పరశనలు అడుగుతాం.
शुरुआती विचार कहाँ से आया?	అసలు ఈ ఐడియా ఎలా వచచిందసలు?
मुझे अभी किसी को ढूँढना है.	నేను ఒకరిని వెంటనే కలవాలి.
आप मुझे सुला रहे थे और. . .	నాకు దుపపటి కపపి ఇంకా. . .
हमने जुलूस आयोजित किया है,	పరిసథితులు ఘోరంగా మారాయని
हाँ, लोग गलतियाँ करते हैं.	హా, జనాలు తపపులు చేసతారు.
तुमने एफजीपी कहा. तुम. . .	ఎఫజీపీ అననావు. నువవు. . .
यहाँ पारटी चल रही है कया?	ఇకకడేమననా పండగ జరుగుతోందా?
तुम इजबेल की जाँच में हो?	నువవు ఇజబెల సటడీలో ఉననావా?
कोई इस कमीनी को टूथबरश दो.	ఈమెకు ఒక బరషషు కొనివవండి.
हर कोई अपना काम कर रहा है.	తెలుసా, అంతా వాళళ పాతరలలో
पर मेरे पास चाबी नहीं है,	కానీ దాని తాళం నా పరసులో
मैं झूठ-मूठ नहीं कह रही.	నేను కలపించి చెపపటం లేదు.
"और वह, दूसरे कछुए पर. "	అది ఇంకో తాబేలుపె ఉందట. "
उसमें घुसें तो ऐसा न लगे	మామూలుగా ఉంచటం అంత కషటమా?
उससे अलग होने के बाद भी.	మనం డిసకనెకట అయుననా కానీ.
हम सबको दस-दस लेने होंगे.	మనం చెరో పది తీసుకోవాలి.
और हमारा भागना और बस. . .	మనం పరిగెతతినా కానీ. . .
मैं तुमहारी मदद करूँगी,	నేను నీకు సహాయం చేసతాను,
हैलो. मैं गरेग विटल हूँ.	హలలో. నేను గరెగ విటలను.
तुमहारी इस हालत के लिए	నీ పరిసథితికి నాది కొంత
यह कोई खिलौना नहीं है.	ఇది ఆటబొమమ మాతరమే కాదు.
तुमहारे यहाँ बिजली है?	ఎలకటరిసిటీ ఉందా ఇకకడ?
और मुझे इस पर यकीन है.	నేను అది నమముతుననాను.
-तुम कहाँ चले गए थे?	-నువవెకకడికి వెళళావు?
मुझे यकीन नहीं होता.	నేను నమమలేకపోతుననాను.
कया परेशानी लगती है?	సమసయ ఏంటో చెపపగలరా?
कुछ समझ नहीं आ रहा.	అససలు అరథం కావటలేదు.
-मुझे समझ नहीं आता.	-నాకు అరథం కావటలేదు.
-बहुत-बहुत शुकरिया.	-థాంకయూ. చాలా థాంకస.
तुमहें तुमहारी. . . टोपी और गाउन में,	నువవు గౌను వేసుకుని. . . టోపీ పెటటుకొని
ए? इसे देख रहे हो?	హే? నువవిది చూసావా?
अगर वह इजाजत दे तो.	తను ఒపపుకుంటేనేలే.
पेट में कुछ-कुछ हो रहा है और मेरी चमडी	నా కడుపులో తిపపుతుంది. చరమం నొపపిగా,
सही खुराक के बिना,	సరెన మోతాదు లేకుండా
-मैं आपकी बेटी हूँ.	-నేను నీ కూతురిని.
मैं एक नवजात बचचे की तरह घूम रहा हूँ,	నేను నవజాత శిశువులా తిరిగేసతుననాను,
अचछा, हम सब चाहते हैं कि वह सफल हो.	సరే, ఆమె విజయం సాధించాలనే కోరుకుందాం.
आपका कंधा कैसा है?	మీ భుజం ఎలా ఉంది?
धत. माफ करना, यार.	అబబా. సారీ, బాబు.
-उममीद है मुझे याद कर पाएँगे और. . .	-వాళళు గురతిసతారని ఆశించాలంతే. . .
मेरे पास टीवी है,	నా దగగర టీవి ఉంది,
कभी-कभी दफतर में,	కొననిసారలు ఆఫీసుకు
पीला माल नहीं है.	పసుపులు లేవిపపుడు.
तुम मेरे हमसफर हो.	నువవు ఆతమసాకషివి.
-तुम उनके साथ हो!	-నువవు వాళళ పకషమే!
हाँ, डॉ. कलेमेनस.	హా, డాకటర కలెమెనస.
और आभार मानता है,	అభినందనలతో ఉననాడు,
हमारी पेशकरता, डॉ. इजबेल कलेमेनस ने	మా పరెజెంటర, డాకటర ఇజబెల కలెమెనస,
तकनीकी असुविधाएँ	టెకనికల డిఫికలటీస
-हाँ! तुम. . . तुमहारा बॉयफरेंड.	-హా! నీ. . . నీ బాయ ఫరెండ గురించి.
तुमहारे पास खोने के लिए है ही कया?	నువవు కోలపోవటానికి ఏం మిగిలింది?
नहीं, पकका नहीं.	ఖచచితంగా తెలియదు.
मुझसे दूर मत जाओ.	నాకు దూరం జరగకు.
इसलिए निकाला कयोंकि तुम जा रहे हो?	వెళళిపోతుననావు కనుక తీసుకెళళావా?
कोई खतरा तो नहीं?	ఇది సురకషితమేనా?
-वह असर करता है.	-అది పని చేసింది.
रचनातमक परयवेकषक	కరియేటివ సూపరవెజర
मुझे. . . मुझे तुमहारी मदद चाहिए.	నాకు. . . నాకు నీ సహాయం కావాలి.
मैं यहीं रहूँगा. तुमहारे साथ हूँ.	నేనికకడే ఉంటాను. నీకోసం ఉంటాను.
तुमहें पता है ना कि तुम असली हो?	నువవు నిజమని నీకు తెలుసు, కదా?
हाँ. और पानी भी.	హా. నీళళు కూడా.
तुमने सकेटबोरड चलाना किससे सीखा?	నీకు సకేట బోరడ నేరపించిందెవరు?
तुम कैसी हो? यहाँ कया कर रही हो?	ఎలా ఉననావు? ఇకకడేం చేసతుననావు?
-मुझे लगा तुम मुझे छोडकर चले गए!	-నువవు ననను వదిలేసావనుకుననాను!
-मुझे कुछ दिखाओ.	-ఏదననా చూపించు.
चलो, चलकर केंडो को ढूँढते हैं.	అరే, వెళళి కెండోను వెతుకుదాం పద.
केंडो. हमें नीले करिसटल चाहिए.	కెండో. మాకు నీలం సఫటికలు కావాలి.
कयोंकि तुम पकका गडबड कर दोगे.	ఎందుకంటే నువవు చెడగొడతావు కనుక.
मुझे पता है कि यह असली नहीं है.	ఇది వాసతవం కాదని నాకు తెలుసు.
मतलब, परदूषण इस हद तक बढ गया था	అంటే, కాలుషయం ఎంత పెరిగిందంటే
समंदर में तैरता, एक डायनासोर.	డెనోసార, సముదరంలో ఈత కొడుతుంది.
मैं आपके ठिकाने पर गई थी, पापा.	నీ టెంటకు కూడా వెళళాను, నానన.
देखो, सीधे मुददे पर आता हूँ.	చూడు, సూటిగా విషయానికి వసతాను.
नजारा अचछा है?	మంచి దృశయం కదా?
पॉलिसी को बचाना नया विजञान है.	కొతత సెనస పాలసీ కాపాడటానికే.
कयोंकि वह. . .	అంటే, అతను. . .
तुम ठीक तो हो?	నీకేం కాలేదుగా?
मैं पेट से हूँ!	నేను గరభవతిని!
कभी-कभी लहजे की बात सोचता हूँ.	కొననిసారలు యాసలు ఆలోచిసతాను.
नहीं, मैं. . .	లేదు, నేను. . .
-तुम उससे मिले?	-తనను కలిసావా?
घर पर सवागत है.	ఇంటికి సవాగతం.
-अरे, डॉ. नाई!	-ఓహ, డాకటర నాయ!
कया देख रही हो?	ఏం చూసతుననావు?
तुम नहीं आओगे?	నువవు రావటలేదా?
पलीज, जरा दरवाजा बंद कर दोगे?	పలీజ నా కోసం తలుపు మూసతావా?
-तुमने मेरी ताकत को मोड दिया.	-నా శకతులకు లొంగలేదు నువవు.
तुमहारा अगला कदम बहुत अहम है.	నీ తరువాతి అడుగు అతి కీలకం.
कोई बात नहीं. लीजिए, मैं. . .	పరవాలేదు. నేను ఇకకడికి. . .
उसे भूल जाओ, वह असली नहीं है.	తను నిజం కాదు, పటటించుకోకు.
तुम टेली गतिक सिपाही जैसे हो!	టెలీకెనటిక యోధుడిలా ఉననావు!
जरूर, गरेगगो.	అలాగే, గరెగగో.
यही तो बात है.	అంటే అదే కదా.
मुझे किस करो.	ముదదు పెటటుకో.
हाँ, और सोडा.	హా, సోడా కూడా.
कभी आपके इलाके के मुताबिक,	కొననిసారలు నువవునన పరాంతానని
केवल ये सवेचछाकरमी असली हैं.	ఈ వాలంటీరలు మాతరమే వాసతవం.
मुझे नहीं पता.	నాకు తెలియదు.
-नहीं जा सकते.	-మనం వెళళలేం.
-नहीं, हमें वापस लौटना होगा.	-లేదు, మనం తిరిగి వెళళాలి.
"नहीं, मेरी चोटियाँ, पापा.	"లేదు, నా జడలు నాననా అననాను.
हमने दस के बजाय आठ लिए थे.	మనం 10కి బదులు 8 తీసుకుననాం.
-नीला नहीं है.	-నీలాలు లేవు.
किसके पास है?	ఎవరి దగగరుంది?
वहाँ नीचे! आदमी नीचे भेजो!	అకకడ! మీ వాళళను పంపు! పదండి!
सब गडबड है! और बहुत अचछा है.	ఇదంతా తికమక! పెగా బావుంది.
-पलीज डॉ. विटल को खोल दो.	-డా. విటలను డిసకనెకట చెయయి.
चुप रहो. अपना मुँह बंद रखो.	నోరముయయి. నోరమూసుకో అంతే.
अचछा, कमीनो. केंडो कहाँ है?	సరే మరి, నకిలీ మనుషులారా.
पलीज, तुम मेरे साथ चलोगे?	పలీజ నాతో రా? నువవు కావాలి.
हम कुछ दिनों तक इस खूबसूरती का मजा लेंगे	మనం ఈ ఆపిలను ఇంకొనని రోజులు ఆసవాదించి
इसी वजह से ऐसा हुआ होगा.	ఇలానే నువవు చేసుండాలసింది.
घबराओ मत. सब ठीक हो जाएगा.	దాని గురించి కంగారుపడకు.
अचछी बात है.	చాలా బావుంది.
मैं घर इसलिए नहीं जा रहा	నేను ఇంటికి వెళళకపోవటానికి
देखा, मैं बेघर नहीं हूँ.	చూడు, ఇలలు లేనిదానని కాదు.
मजाक है कया?	తమాషా కాదుగా?
होटल पलेडीज.	హోటల పలేయడీస.
मेरा दिमाग ठिकाने नहीं है,	కొంచెం పరధయానంగా ఉననాను,
-इजबेल, चलो. मुझे एक दो.	-ఇజబెల, అరే. నాకొకటి ఇవవు.
और, मैं तुमहें खो रही हूँ.	నినను కోలపోతుననాను నేను.
दोनों को दस-दस लेने होंगे.	మనం చెరో పది తీసుకోవాలి.
इसे नाक के जरिए लेना है.	మనం ముకకులోకి పీలచుకోవాలి.
होटल पलेडीज.	హోటల పలేయడీస.
मैंने एक गैरजिममेदाराना और	నేను చాలా బాధయతారహితమెన,
बहुत बुरा हाल हो गया था.	చాలా దారుణంగా మారిపోయింది.
होटल पलेडीज?	హోటల పలేయడీస?
-गरेग याद है?	-గరెగ గురతా?
उनहें वह बहुत पसंद आएगा.	వాళలందరికీ బాగా నచచుతుంది.
हमें लैब में लौटना होगा.	మనం లయాబకు తిరిగి వెళళాలి.
हाथ ऊपर करके बाहर निकल आओ!	చేతులు పెకెతతి బయటకు రా!
अदभुत है! आप दोनों अचछे लग रहे हैं.	చాలా బావుంది! మీరిదదరూ ముచచటగా ఉననారు.
अगले पल, सैंडविच लेने के पैसे तक नहीं.	ఆ తరువాత కషణం, మనం శాండవిచ కొనలేము.
मैं एक सराय में रुका हूँ.	అంటే, మోటలలో ఉంటుననాను.
यह सब छोडो, एममी, ठीक है?	ఎమమీ, వదిలేసెయయి సరేనా?
उनहोंने कई बार चोट खाई.	నేను కూడా చాలా కషటపడడాను.
हमारे भारतीय साथी हावी हो रहे हैं,	మన భారతీయ సంసథలు మనలని తొకకేసతుననాయి,
ऐसा मान लेते हैं कि मेरी वजह से ही	నా తపపు వలలే ఈ లోకం సృషటించబడిందనుకో.
हमने आपका एक थॉट विजुअलाइजर खरीदा था.	మీ ఆలోచనల దృశయీకరణిని ఆరడరు చేసాం.
"जान, तुमहारे दिमाग को कुछ नहीं होगा,	"బంగారం, నీ మెదడును పాడు చెయయలేను,
-बयॉरन, इधर देखो, नहीं! मैं शांत हूँ!	-బయోరన, ననను చూడు, శాంతంగానే ఉననా!
मुख-मैथुन करते हैं और फिर पीछे उंगली.	అది చీకడం ఇంకా నడడిలో వేలు పెటటడం.
मुझे तुम पर बहुत नाज है.	నాకు చాలా గరవంగా ఉంది.
-मिसटर विटल!	-విటల గారు!
अचछा, हीरो,	సరే, గువాపో,
बरेन बॉकस - एमिली/सकैन	బరెయిన బాకస - ఎమిలీ/సకాన
-जैतून का तेल लेना होगा.	-ఆలివ ఆయిల తీసుకోవాలి.
गरेग के लिए पहली बार है.	గరెగ మొదటిసారి వచచాడు.
यकीन नहीं होता कि गरैजुएट बन जाओगी.	నీ గరాడయుయేషన అంటే నమమలేకుననాను.
मैं यहाँ नहीं रह सकता. तुम बेघर हो?	నేనికకడ ఉండలేను. నీకు ఇలలు లేదా?
खयाल हैं जो काश कि तुम देख पाती.	నా ఆలోచనలననీ నీకు కనిపిసతే బావుండు.
". . . किस, झपपी, इजबेल. पयार. "	. . . ముదదులు, కౌగిలి, ఇజబెల. లవ. "
वे खुद-ब-खुद कलाउड में जा चुके हैं.	అవి ఆటోమేటికగా కలౌడలోకి వెళతాయి.
तकनीकी असुविधा में हम	టెకనికల డిఫికలటీసలో మనం
रुको, मुझे दिख रहे हैं.	ఆగు, నాకు కనిపించాడు.
मेरे पास हैं. यहीं हैं.	నా దగగరుననాయి. ఇకకడే.
हाँ, हम ठीक हैं, लिअंग.	హా, బావుననాం, లియాంగ.
-तुम कोई सवेचछाकरमी हो?	-వాలంటీరలలో ఒకదానివా?
मानो अनुकरण का एक हिससा	ఆ కలపనలో భాగానని మనతో
सोच रहा हूँ मैं तुमहें और तुमहारे	అంటే, అది నేను నినను, మీ అననను
-पापा. . .	-నాననా. . .
एक वहिसकी देना. डबल. बिना बरफ के.	విసకీ కలుపు. డబుల. ఐస లేకుండా.
नहीं, मैं. . . मेरे पास पैसे हैं.	లేదు, నా. . . నా దగగర డబబుంది.
नहीं, मैं समझती हूँ.	లేదు, అరథం చేసుకోగలను.
-उसके बाद हम चलेंगे.	-ఆ తరువాత, మనం వెళదాం.
-वे हमारे घर की तसवीरें ले गए.	-మన ఇంటి బొమమలు కూడా తీసుకెళళారు.
अनुमानित है. शायद सब ठीक होगा.	అది సెదధాంతికం. పరవాలేదనుకుంటాను.
इससे आपके एलेकटरोलाइट बढने चाहिए.	మీ ఎలకటరోలెటలు పెంచుకోవటానికి.
मंच पर अपना इंटरवयू लेने दोगे?	సటేజి మీద ఇంటరయూ చేయనిసతావా ననను?
ठीक हूँ. बहुत अचछा. हाँ, एकदम.	బావుంది. మంచిగానే ఉంది. హా, అంతే.
छोडो मुझे!	ననను వదులు!
-मुझे दे दो. जाकर लाओ!	-నాకివవవి. వెళళి తే!
-बहुत दौडना पड रहा है.	-పరుగులు ఎకకువయయాయి.
हैलो, पापा.	హాయ, నానన.
मैं माफी नहीं माँग रहा. मैं. . .	కషమాపణలు చెపపటలేదు. నేను. . .
टबैसको? साली, तुम कया कह रही हो?	టబాసకో? మెంటల, అసలేమంటుననావు?
तो, माँ कलिफस एज पर	అయితే, అమమ కలిఫ ఎడజలో
-हिसाब शुरू करता हूँ.	-నీ టాబ ఆరంభిసతాను.
-अपना बटुआ भूल गया.	-నా పరసు మరిచిపోయాను.
-और तुम कहाँ जाओगे?	-ఎకకడికి వెళుతుననావు?
बरेनबॉकस अनुकरणों में	బరెయిన బాకస కలపనలలో
देखो मुझे कया मिला.	నాకేం దొరికిందో చూడు.
और तेज नहीं दौड सकती?	వేగంగా పరిగెతతలేవా?
मेरे पास बटुआ नहीं है. मैं. . .	నా దగగర పరసు లేదు. నేను. . .
हैलो, डॉ. कलेमेनस, डॉ. विटल.	హలలో డాకటర కలెమెనస, డాకటర విటల.
तुमहें सब याद आ जाएगा. अब देखो.	నువవు మామూలవుతావు. ఇది చూడు.
सीधे बैठो और धयान दो, डॉ. विटल.	సరిగగా కూరచొని శరదధగా వినండి
मैं अभी आ रहा हूँ.	నేనిపపుడే వసతుననాను.
कया परेशानी लगती है?	సమసయేంటో చెపపగలరా?
मैं तुमहें छुपने के लिए एक महफूज जगह	నీకు దాకకోవటానికి భదరమెన చోటు చూపించాను.
मतलब, गरमियों में.	అంటే, వేసవిలో అనుకో.
यह पुराना हो गया है.	ఇది ఎకసపెర అయింది.
-मैं. . .	-నేను. . .
यह तुमहारा काम है.	అదే కదా ఇకకడ ఎతతుగడ.
कुछ हद तक.	అలాంటిదే.
मैंने. . .	నేను. . .
हम एक बिखरी हुई दुनिया से लेकर	మనమో కుపపకూలిన పరపంచం నుండి
अरे, हाँ!	హా, అవును!
हाँ, गरेग.	హా, గరెగ.
किसी तरह,	ఏదో రకంగా,
वापस अंदर कयों जाना/	మనమెందుకు వెళలాలి?
हाँ! नीले! चलते हैं!	హా! నీలాలు! ఇదిగో!
कया ऐसा हो सकता है. . . हैलो? हैलो. . .	అది వీలవుతుందా. . . హలలో? హలలో. . .
इस कलंक से मुकति दिलानी होगी.	నీకు మంచి విశరాంతి కావాలి.
दरअसल, मुझे यह नहीं चाहिए.	నిజానికి, నాకు అవసరం లేదనుకో.
फोन बूथ से बात कर रहा हूँ,	పే ఫోను నుండి మాటలాడుతుననాను,
और मुझे अपने साथ घसीट रहे थे.	తనతోపాటు నననూ లాగుతుననాడు.
अचछी बात है. मैं यहीं हूँ.	వినసొంపుగా ఉంది. నేను ఉంటాను.
तो, तुमने यही कलपना की थी?	అయితే, నువవు ఊహించినటటే ఉందా?
मेरे दिमाग में एक जगह की तसवीर है.	నా మెదడులో ఒక చితరం ముదరించుకుపోయింది.
-अभी, मिसटर विटल.	-ఇపపుడే రండి, విటల.
जहाँ से पहाडों का	అకకడినుండి ఆ కొండలు
सच में चाहता हूँ.	నా భావాలు నిజమెనవి.
ये नीले करिसटल हैं.	అవి నీలం సఫటికలు.
हाँ. मैं बस वहीं जा रहा हूँ.	హా. ఇపపుడే వెళళబోతుననాను.
हद से जयादा अचछी या बुरी?	మంచిగా ఉందా లేక చెడడగా ఉందా?
मुझे ये अचछे लगे. बस. . .	బావుననాయనిపించింది. అది. . .
और यह मेरी गलती है. मैंने यह सब किया.	ఇదంతా నా తపపే. నేనే సృషటించానిది.
आप समारोह पर नहीं आएँगे?	మీరు కారయకరమానికి రావటలేదా?
-दवाखाना.	-ఫారమసీ.
मुझे फोन कर लेंगे.	నాకు కాల చేయండి.
ए, तुमहें भूख लगी है? चलकर खाते हैं!	హే, ఆకలేసతుందా? వెళళి తిందాం పద!
-ठीक है.	-సరే మరి.
डराइव थरू	డరెవ తరూ
