कोफुन!	ఉతతరం.
यह इंदरियों को सुनन करने वाला मशरूम है.	మీ నోటలో ఆ రుచి కవీనస సటాక కి సంబంధించినది.
पापा, हम इसे वापस ला रहे हैं!	నాననా, దీనని కిందికి పంపుతుననాం!
अपने आदमियों से कहो कि उनहें जीवित और बिना कषति पहुँचाए ले आएँ,	వాళళని సజీవంగా, ఏమీ చేయకుండా తీసుకురమమని నీ వాళళకి చెపపు,
किसी भी तरीके से हम जो भी जानकारी परापत कर सकें	నీ ఈ దరిదరపు పనికి నీలోని అణువణువూ పశచాతతాపపడుతుంది,
एक ताबीज जो राजशाही नरेश की तवचा के नीचे जडा होता है	ఆ విషయం అతనికి ఎలా నిరూపించాలి అనేదే అసలు పరశన.
खैर, देखो, यह हमें कहाँ ले आया है, हनिवा!	-ఏమననావు? -నేనేమననానో తనకి వినబడింది.
तुम कया कर रही हो?	ఏం చేసతుననావు నువవు?
अपने रैक पर धयान दो.	మీ రయాకులు జాగరతత.
कोई नहीं जानता वे कहाँ हैं.	వాళళెకకడుననారో ఎవవరికీ తెలీదు.
तो यह किसकी गलती थी?	అయితే మరెవరి తపపు?
कितना समय?	ఎంత కాలం?
उसने. . . उसने उनहें मर दिया.	ఆవిడ. . . ఆవిడని చంపేశాడు.
-वह झूठ बोल रहा है. -नहीं.	-ఇతను అబదధమాడుతుననాడు. -లేదు.
चीजें बदल जाएँगी.	పరిసథితులు మారతాయి.
हम बाहर जाने का रासता खोज रहे हैं.	మేము బయటపడే మారగం కోసం చూసతుననాం అంతే.
-तुम अंदर हो? -हाँ.	-ఎకకావా? -ఎకకాను.
मेरी सेना मेरे लिए लौट आएगी.	నా కోసం నా సెనయం వసతుంది.
तुम कया जानती हो? यह सतय है.	ఇది ఇచచినందుకు ధనయవాదాలు.
माफ करना. मैंने कुछ देखा.	మననించు. ఎదో ఒకదానని చూశాను.
मैंने उसकी रकषा करने की कोशिश की.	నేను వాడిని రకషించడానికి పరయతనించాను.
लेकिन मैंने ऊपर से आने वाली ईशवर जवाला की शकति को महसूस किया है.	కానీ పె నుండి దెవజవాల యొకక శకతి పరసరించడం నాకు తెలిసింది.
कैसा खेल?	ఆటలేంటి?
और जब वह आएगी. . .	వాళళు వచచాక. . .
यह तुम में से एक है, है ना?	ఇతను కూడా మీలో ఒకడే కదా?
तुमहें कैसे पता?	అది నీకెలా తెలుసు?
परिवरतन करने के लिए, यह निशचित रूप से उनके लिए कोई खेल नहीं था.	"అవును" అని ఒకమాట చెపపి, పరపంచాననే మారచేయగల శకతి నీ చెంతన ఉననపపుడు. . .
लेकिन हम वो हैं जो हम हैं.	కానీ మన సవభావాలు మారవు.
कृपया टेंट में लौट जाओ.	దయచేసి గుడారంలోకి వెళలిపో.
मुझे उस पर विशवास कयों करना चाहिए?	ఇతడు చెపపేది నేనెందుకు నమమాలి?
-अलविदा. -लडके.	-ఇక సెలవు. -బాబు.
मैंने कोशिश की.	నేను పరయతనించాను.
मुझे तुमहारी मदद करने दो.	ననను నీకు సహాయపడనివవు.
अगर वे हमें मारना नहीं चाहते, फिर उनहें हमें खिलाने की जरूरत है.	మనలని చంపే ఉదదేశం వాళళకి కనుక లేకపోతే, వాళళు మనకి ఆహారం ఖచచితంగా పెడతారు.
हालांकि, वह शायद वह लडके के बजाय आदमी था जब वह मुझे यहाँ फुसलाकर लाया था.	కానీ, ననను ఇరికించినపపుడు, అతను కురరాడికననా ఒక మగాడిలా ఉండేవాడు.
और मुझे यह मिला.	ఇది దొరికింది.
एक समय था. . .	ఒకానొకపపుడు. . .
वह सुन रहा था, लेकिन फिर उसने अपनी तलवार निकाली और उसने उनहें काट दिया.	వింటుననటటుగానే అనిపించాడు, కానీ కతతిని తీసి, ఆవిడని నరికేశాడు.
मुझे आशचरय है कि तुम ऐसा दावा करने वाली कौन हो सकती हो.	ఇంకా చాలా మంది వసతుననారు. మనలని చుటటుముటటేసతారు.
हम जलद ही फिर से अंधेरे में होंगे.	తవరలోనే మళలీ మనలని చీకటి ఆవహించేసతుంది.
यह जीवन जीने का कोई तरीका नहीं है.	ఇలా జీవిసతూ నీ జీవితానని వృధా చేసుకోకు.
तुमहें कया लगता है कि कितने हो सकते हैं?	కానీ ఎవరోకరు కిందే ఉండి దీనని పటటుకొని ఉండాలి.
मैंने उनहें उनके साथ देखा और. . .	ఆవిడ వాళళతో ఉండటం చూశాను, ఆ తరవాత. . .
हम बाकी लोगों को भी भुगतना होगा.	నిజాయితీగా నీకు ఒక మాట చెపతాను, కోరా.
कया यह सही हो सकता है?	నిజమయయే అవకాశముందా?
तुमहें मेरी चिंता है इस तथय के बावजूद कि हमने कभी बात नहीं की.	మనం ఇదివరకు ఎననడూ మాటలాడుకోకపోయినా, నా మంచి కోసం తెగ పాటుపడుతుననటటునావు.
मैं तुमहें अलग आदेश दे रही हूँ, है न?	వారిని ఎలాగెనా పటటుకోవాలని ననను ఆదేశించారు.
कुछ का उसने पीछा किया जब वे दहशत और आतंक में भागे.	కాబటటి మీరు ఇకకడ ఉండటానికి కూడా కారణం నేనే.
यहाँ, मुझे खिलाया गया है, मुझे आशरय मिला है और मैं बाधारहित हूँ.	ఒక సంపననురాలిగా జీవించి, విధి వకరీకరించిందని కుమిలిపోతూ
कि मेरी बहन वह भूमिका निभाने के लिए उपयुकत नहीं थी. . .	మా నాననకి సపషటంగా అరథమెనటటుగా, నాకూ అరథమయయేంత వయసు నాకు వచచింది.
मुझे संदेह था, मैं मानता हूँ कि तुम किसी भी काम की होगी या नहीं.	నీ వలల నాకు ఏ ఉపయోగం ఉండదని నాకు అనిపించిన మాట వాసతవమే.
अगर तुम मेरी मदद करना चाहते हो, मेरे पति और मेरे बचचों को ढूँढो.	నాకు సాయపడాలని నీకుంటే, వెళలి నా భరతనీ, పిలలలనీ వెతుకు.
मुझे बताएँ कि आप मुझे अपने लेफटिनेंट के रूप में सेवा में सवीकार करेंगी.	లెఫటనెంట గా నీ సేవలోకి ననను సవీకరిసతుననావని ఓ మాట చెపపు చాలు.
-देखा कया? -देखा कया?	నీకు అమమ కనబడిందా?
हम कहाँ हैं?	మనమెకకడ ఉననాం?
तुम मुझे अभी बहुत गुससा दिला रही हो.	నాకు ఇపపుడు నువవు చాలా కోపం తెపపిసతుననావు.
हम कहाँ हैं?	మనం ఎకకడుననాం?
रोशनी?	దీపాలా?
हम एक साथ रहेंगे जब तक हम इससे मुकत नहीं हो जाते.	ఇకకడి నుండి బయటపడేవరకూ మనం కలిసే జీవిసతాం.
वे सब सो चुके हैं.	అందరూ పడుకొని ఉననారు.
उसके पिता कहाँ थे?	అతని తండరి ఏమెపోయాడు?
ठीक है. सभी अंदर जाओ.	సరే. అందరూ ఎకకండి.
हम यहीं हैं.	మేమికకడ ఉననాం.
आपके दाएँ में.	నీ కుడిపకకన.
मुझे नहीं पता. . .	అతనికి నీ చేయి అందదు.
बस हाँ कहें, और मैं यह करूँगा.	నువవు ఊ అను చాలు, నేను చూసుకుంటాను.
मुझे कोई दिखाई नहीं दे रहा.	నాకు ఎవవరూ కనబడటం లేదు.
उसने उनके साथ कया किया?	కొందరిని నిదరలోనే చంపేశాడు.
कयोंकि जब तक हम यहाँ हैं, हम साथ रहेंगे.	ఎందుకంటే మనం ఇకకడ ఉననంత కాలం ఒకటిగా ఉంటాం కనుక.
यह बहुत जरूरी है.	ఇది చాలా అతయవసర పని.
और उस समारोह में,	అని భావించి చెపపాడు.
तुम यह सब कहने नहीं आई थी.	ఇకకడికి ఎందుకు వచచావు?
यह कुछ भी ठीक नहीं करेगा, लेकिन तुमहें सोने में मदद करेगा.	నయం చేయదు కానీ, నీకు నిదర రావడానికి సహాయపడుతుంది.
ककून, यह चलता है. वह ऐसा कयों करता है?	ఈ పిసినికాయ, కదులుతోంది. ఎందుకు?
लेकिन मैं पूरी कोशिश करूँगी. . .	కానీ నువవు నాకు వదిలివెళలిన దానని. . .
"तुमहें शासन करना चाहिए. . . जलद ही. "	"నువవు తవరలోనే. . . పాలించాలి. "
लेकिन किसी को यहाँ नीचे रहना होगा और इसको पकडना होगा.	మనం పె నుండి దీనని అదుపు చేయవచచు. తిరిగి దీనని కిందికి పంపవచచు.
उनहोंने उससे निवेदन किया.	తను అతడిని వేడుకొంది.
मेरे पास एक फलिंट है. मुझे बस. . . मुझे जलाने के लिए कुछ चाहिए.	వాడిని నమమవదదని చెపపాం. కానీ ఎపపుడెనా నువవు చెపపిన మాటలని పటటించుకుంటే కదా?
वह बचचा मेरी गलती है.	నా కొడుకుని పటటుకొని. . .
यदि यह पिंजरा नीचे हो सकता है, तो इसे उठाया जा सकता है.	మనం కరిందికి చేరుకుననాక, అకకడ చీకటిగా ఉంటుంది.
और यह ककून सभी रेशम को बरबाद किए बिना ऐसा नहीं कर सकता.	మరి అది పిసినికాయలోని పటటును మొతతం నాశనం చేయకుండా బయటకు రాదు కనుక.
निरदिषट सथान पर. . .	చెలలించకుంటే, వాళళు. . .
छत से लटके हुए कुछ चमकीले कीडे हैं.	వాటి గురించి చెపపలేదా, కొఫూన?
लेकिन तुम केवल धनवान नहीं हो.	కానీ నువవు కేవలం ధనవంతురాలివే కాదు.
लेकिन वह मेरा जनमसिदध अधिकार मेरी छोटी बहन को देना चाहते थे. . .	కానీ నేను నా కంటికి రెపపలా చూసుకొని, పరిరకషించిన. . .
हमने चुना हुआ समय, लेकिन अभी मुझे तुमहें सुरकषित रखना है.	అదను చూసి దాడి చేదదాం, కానీ ఇపపుడు మాతరం నేను మిమమలని కషేమంగా ఉంచాలి.
मुझे ऐसा नहीं लगता.	అలాంటివేవీ కనబడటం లేదు.
"ओह, पैरिस, इस पर अब और	అపపుడు నాతో నేనే అనుకుననాను,
हम सभी इसे सहा यह जानते हुए कि यह कभी समापत नहीं होगा.	అది అంతమయయే అవకాశం లేదని తెలిసి కూడా మేమందరమూ ఆ కషోభని అనుభవించాం.
लेकिन यह बहुत अकषम है.	కానీ చాలా భయానకంగా ఉంటుంది.
और, अतीत में, उनहें हमसे जुडने का निरणय लेने की अनुमति दी गई थी,	ఇంకా, గతంలో, వారిని మాలో చేరచుకొనేందుకు అనుమతిచచారు,
हम यहाँ नहीं रह सकते.	మనమికకడ ఉండకూడదు.
तुमहें कया परवाह?	నువవు నీ పనిని ఆపావు.
जो कोई भी हैं, अगर वे हमें मारना चाहते थे, तो हम अब तक मर चुके होते.	భూగరభంలో తలదాచుకొనన తెగలకు సంబంధించిన అనేక కథలు ఉననాయి.
नहीं. वह मरी नहीं है.	లేదు. లేదు, తను చనిపోలేదు.
तुम नई हो. तुम सिख जाओगी.	నువవు కొతత కదా. నేరచుకుంటావులే.
हमें इसे तब तक खींचना होगा जब तक कि लिफट ऊपर की तरफ न चली जाए.	నాననా. నాననా, ఇదెలా పనిచేసతుందో నాకు తెలుసనుకుంటా.
मैंने जो महसूस किया वह थी उनसे दूरी, उदासीनता.	నేను నా ఇదదరు తోబుటటువులలో పెదదదానని.
मैं छह में से सबसे छोटी थी और हमारे पिता एक राकषस थे.	నేను మా ఆరుగురి తోబుటటువులలో ఆఖరిదానని, మా నాననేమో నరరూప రాకషసుడు.
मेरा परिवार कहाँ है?	నా కుటుంబం ఎకకడ?
भरोसा करने के लिए आप लोग बहुत जयादा हैं.	మీరు చాలా మంది ఉననారు నమమడానికి.
तो मेरे पीछे आओ.	అయితే నా వెంటే రండి.
मुझे खुशी है कि तुम यहाँ हो.	నువవికడికి వచచినందుకు ఆనందంగా ఉంది.
कया?	ఏంటి?
दिलचसप है.	బాగుంది.
अगर हम काफी हैं. . .	మనం తగినంత మంది ఉండి. . .
आप करीब हैं.	మేమికకడే ఉననాం!
मेरा परिवार कहाँ है?	నా కుటుంబం ఎకకడ?
मैं तुमसे अंदर जलदी मिलुंगा.	గుడారం లోపల తవరలోనే నినను కలుసతాను.
कया?	ఏంటి?
मुझे विशवास है कि एक बार तुम उनहें बता दोगी कि मैं कौन हूँ, वे समझ जाएँगे.	నేనెవరో వాళళకి నువవు చెబితే, వాళళకి అరథమవుతుంది అనుకుంటాను.
पुरुषों के बीच तुमहारी उपसथिति केवल उनहें भरमित करेगी.	మా వాళళ మధయన నువవుంటే వాళళు తికమకపడిపోతారు.
तुम हमारे पास आए. कयों?	కానీ మా వదదకి వచచారు. ఎందుకు?
जब मैं बडी हुई और मेरी बहन को सिंहासन से हटाने के लिए	నాకు వయసు వచచాక, నా అకకను గదదె దించడానికని
हम इसे ऊपर से नियंतरित कर सकते हैं. इसे वापस भेजेंगे.	ఎలివేటర పెకి వెళళేంతవరకూ మనం దీనని లాగాలి.
उन पर हुई किसी भी कषति हमारे हर दसवें आदमी को मिलेगी,	వాళళకి ఏ హానీ జరిగినా, చీటలు వేయడం దవారా మనవారిలోని పరతీ పది మందికి
मैंने तुमहें अपना वचन दिया हो. . .	నువవు ఏ మాతరం శంకించకుండా దానని నమమేదానివి.
मुझे यकीन नहीं था कि इसके साथ कया करना है और मैं चाहती थी. . .	నాకు దానితో ఏం చేయాలో అరథం కాలేదు, ఇంకా నాకు. . .
मेरा नाम डीलिया है.	నా పేరు డీలియా.
हम में से कोई भी तुमसे जयादा नहीं जानता.	మేమందరం మేలనొననాక చూసతే ఈ తాళం వేయబడిన గదిలో ఉననాం.
यह सथान बडों दवारा निषिदध है,	ఇకకడికి రావడానని అగరజులు నిషేధించారు,
और मैं आपसे एक चीज चाहता हूँ.	కానీ బదులుగా నేను నినను కోరేది ఒకకటే.
करमचारी? हम करीब तीस हैं.	పనివాళళా? ముపపె మంది దాకా ఉననాం.
इधर से.	ఇటు రండి.
ठीक है.	సరే. సరే.
वहाँ लडाई हुई.	ఓ కొటలాట జరిగింది.
तुमने "नहीं" कहा.	తీవరతరం చేసతుందని. . .
तुम बिन बुलाए हो, हाँ?	ఇకకడ ఎవరో ఉననారు.
मैंने उनहें मरते हुए देखा.	ఆమె చనిపోవడం చూశాను.
हाँ, जनरल.	అయింది, జనరల.
ठीक है. तो तुम उनमें से एक हो.	అలాగా. అయితే నువవూ వారిలో ఒకరివి అనమాట.
जिसकी मैंने देखभाल की और संरकषित किया. . .	నా చెలలెలికి, నా జనమ హకకును. . .
तुम! तुम खाली कयों हो?	ఓయ! నువవెందుకు ఖాళీగా ఉననావు?
-मुझे उनका बैग खून में मिला. -कया?	-నాకు రకతపు మరకలునన తన సంచి దొరికింది. -ఏంటి?
तुम मर चुकी थी और अब तुम नहीं मरी हो.	నువవు చనిపోయావు, కానీ ఇపపుడు చూసతే బరతికే ఉననావు.
मैं यही हूँ.	నేనికకడే ఉననాను.
तुम होशियार थी.	నువవు తెలివెనదానివి.
हमें कैसे पता चलेगा कि हम मरे नहीं हैं?	కొనని తెగలెతే దిగువన ఎంత కాలం నుంచి ఉంటుననాయంటే. . .
तो?	మరీ?
जब लडका बहुत छोटा था.	అతను మా ఊరిలోకి వచచి చేరాడు.
-पिताजी! पकडें! -कृपया! पकडें, पापा!	మేము నినను పటటుకొనే ఉననాము!
कृपया.	దయయుంచి.
सब ठीक है. तुम बिलकुल सही से रहोगे.	పరవాలేదు. మీకేమీ పరవాలేదు.
यह उसके लिए महतवपूरण होगा.	నీ దరిదరపు అధికారానని అణగదొకకడానికి
जो तुमने कहा मैंने वो किया.	నువవడిగినటటే చేశాను.
हमें अवशय जाना चाहिए. वे आते ही होंगे.	నేను మిమమలని కషేమంగా ఉంచాలి.
मुझे नहीं पता.	అందుకని పారిపోయాను.
मैं उन चीजों को कर सकता हूँ जो यहाँ कोई नहीं कर सकता.	ఇకకడ ఎవవరూ చేయలేని పనులను నేను చేయగలను.
पापा. . . मैं आप तक नहीं पहुँच सकता!	నా. . . నాకు అందడం లేదు! నీ చేయి నాకు అందడం లేదు!
हम भागेंगे.	మనం పారిపోవాలి.
अगर हमें वे हथियार मिल जाएँ, यह मायने नहीं रखेगा.	ఆ ఆయుధాలను మనం చేజికకించుకోగలిగితే, దాని వలల ఏ పరయోజనమూ ఉండకపోవచచు.
काम पर वापस जाओ.	తిరిగి పని మొదలుపెటటు.
मुझे बताना जब वह हिले.	మళలీ పరయతనిదదాం.
मुझे छोटा लगता है. . .	అవి సరిపోవు. . .
एक लडका.	ఒక పిలలాడు.
महारानी जी.	మహారాణి.
पापा, इसे पकडें!	నాననా, దయచేసి పడిపోకు.
और कया मैं गलत थी?	అదేమెనా తపపా?
खैर, मुझे भी नहीं पता कि तुम कौन हो.	నువవెవరో కూడా నాకు తెలీదే.
एक सेना उसकी रकषा करती है.	ఆవిడకి అకకడ ఓ సెనయం కాపలాగా ఉంటుంది.
थोडे ही समय में पूरे गाँव को भी पता चल गया था.	అతను పుటటి ఎకకువ కాలం గడవకముందే అతను భిననమని నాకు తెలిసిపోయింది.
नहीं!	అయయయయో!
तुम रानी नहीं हो.	కానీ మహారాణి నువవు కాదు.
"अगर" उनहोंने कहा है तो?	"ఒకవేళ" అనుంటేనా?
इसके लिए शुकरिया.	ఇక, ఇదేం చేయగలదో చూదదాం.
कोई है यहाँ.	ఇకకడ ఎవరో ఉననారు.
रुको, कृपया.	దయచేసి, కాసత ఆగు.
एक बेहतर होता.	ఒకరెతేనే బాగుంటుంది.
जब तक आप चाहें, आपका सवागत है. आइए.	మీరు ఎంత కాలం ఉండాలనుకొంటే అంత కాలం ఉండవచచు. రండి.
मैं ही हूँ जो बचचों को और अधिक चाहने के लिए परेरित करती रही,	ఎకకువ దకకించుకోవాలని, ఎకకువ సాధించుకోవాలని
मेज पर.	ఆ ఉతసవంలో,
दुनिया बदल रही है, कुछ नया ला रही है.	లోకం తన పాత చరమానని వదిలేసతూ, కొతత చరమానని చూపుతోంది.
और रोशनी?	మరి ఆ దీపాలు?
तब मैंने सीखा. . .	అపపుడే నాకు బోధపడింది. . .
कया देखा?	దేనని చూశావు?
उनका दावा है कि जब तक हम अनुरोधित भुगतान नहीं करेंगे	నిరణీత పరాంతానికి, అడిగినంత మొతతానని
यह जगह जहाँ तुम हो, यह शांत है,	మీరునన ఈ పరదేశం, పరశాంతంగా, నిశచలంగా ఉంటుంది,
थोडी देर में.	చోటు చేసుకోబోతోంది.
लेकिन जलद नहीं, कुछ समय तक नहीं.	కానీ అది అంత తవరగా, కొంత కాలానికి కానీ జరగలేదు.
अधिक पाने के लिए.	అదే ఇకకడికి దారి తీసింది.
या करूरता, या वासतव में कुछ भी.	కానీ నువవు పొరబడడావు.
उप-शीरषक अनुवादक: जशन	ఉపశీరషికలను అనువదించినది: అలేఖయ
पतर.	కొఫూన.
विफल होने वाला है.	అందుకని. . .
अतीत में, बिन बुलाए लोग आए थे.	ఇకకడికి రాకూడని వాళళు గతంలో చాలా మంది వచచారు.
कया?	ఏంటది?
पिताजी, मुझे लगता है कि मुझे पता है कि यह कैसे काम करता है.	తను చూసింది. తనతో చాలా జాగరతతగా ఉండండి.
कयोंकि वे अब भी यहाँ हैं.	ఎందుకంటే వాళలింకా ఇకకడే ఉననారు కాబటటి.
यह लो. यह गरम है.	ఇదిగో. ఇది వెచచగా ఉంటుంది.
आओ. इस तरफ.	రండి. ఇటు వెపుకు.
शायद तुम इससे अधिक चाहती हो.	ఇకకడ చాకిరీ చేసతునన తొలి మహిళవేం కాదు నువవు.
फिरौती?	డబబు కోసమా?
मुझे इसे एक साथ रखना होगा.	నేను దీనని విజయవంతంగా అధిగమించాలే చేయాలి.
तुमहारी पसंद, माघरा, उनकी नहीं.	అది నువవు ఎంచుకునన మారగం, మాగరా, అది అతనిది కాదు.
लेकिन कब तक?	కానీ ఎంత కాలం పాటు?
पिताजी, हटो!	నాననా, పకకకి జరుగు!
हम सभी को सामना करना पडा उनकी करूरता का और उनका गुससा. . .	అతని కరూరతవానికీ, అతని కోపానికీ. . .
जब मैं पहुँची, तो दरवाजा खुलने से पहले पाँच सरदियाँ और गरमियाँ बीत गईं.	నువవు వచచింది కేవలం ఇది చెపపడానికే అయయుండదు.
फिर वह चली गई.	తరవాత ఎటో వెళలిపోయింది.
तो मैं भाग गई.	నేనిదంతా ఏమీ కోరుకోలేదు.
हाँ, यह था.	అవును, ఒకపపటి మాటే.
तुमहारा नाम कया है?	నీ పేరేంటి?
यह आरामदायक है.	అది పరశాంతతని కలిగిసతుంది.
तुम हमें यह कयों बता रही हो?	వాడిని పటటుకొని,
कया तुम मेरे लिए उठोगी?	పెకి లేసతావా?
चलो. कृपया. आप ठीक हैं. हम करीब हैं.	దయచేసి, ఎకకు. బాగానే ఎకకుతుననావు. నీకేమీ కాలేదు. దగగరలోనే ఉననాం.
लेकिन टूटे हुए.	కానీ అంతే కృంగిపోయి ఉననావు.
-कया? -एक और समय होगा,	-ఏంటి? -మనకంటూ ఒక రోజూ, ఒక సమయం వసతుంది,
हमें छोड दो.	మమమలని ఒంటరిగా వదిలేయ.
कभी इससे भी बदतर.	ఒకకోసారి అవి మరీ దారుణంగా ఉండేవి.
वह चले गए.	ఎకకడికో వెళలిపోయాడు.
रुको.	ఆపు, ఏడవకు.
नहीं.	వదదు. వదదు.
उनकी वासना का.	అతని కామానికీ మేమందరమూ బలెపోయాం.
इसे पकडें!	ఎకకుతూనే ఉండు! పడిపోకు!
आओ.	ఇటు రా.
पकडें!	పటటుకొనే ఉండు!
कया?	ఏంటి? ఏంటి?
कया हुआ?	-ఏం చూశాడు? -ఏం చూశాడు?
है न?	నీ సంతానమే కదా?
तुम मेरे लिए कया लाए हो?	బాబూ.
मैं इस शहर के लिए नहीं मरूँगी. यह शहर मेरे लिए मरेगा.	పారాహుషార!
