को फु न !	ఉ తత రం .
यह ठीक है , ड रो मत . मैं हूँ यहाँ .	రా జ య ాలు . చ రి తర . అంతా .
कि आप वा दा करें कि मेरे लिए कर ूर नहीं र हें गी .	ఈ స ందే శా నని ర చి ంచిన వయకతి , మ హా రా ణి ని , అదే నీ సోద రి ని బ ంద ీ గా ఉ ంచా డని అ ంటుననా డు .
ह वा अभी भी यहाँ है .	- వదదు . - బా బ ూ !
अब मेरे कब जे में है .	ఆ తా య ె తతు హ ృ ద యం కి కా సత పె నే ఉంటుంది .
मैंने उनहें लग भ ग तब से जानती हूँ जब से मैं तुमहें जानती थी उनके आने से पहले .	" ఓహ , ప యా రి స , ఇ త గా డు చాలా భ రి ంచా డు ,
मैं कोई जवाब नहीं द ूँगी जब तक मेरे पास तुमहारा आ श वास न नहीं है	ఒక డి చ ొ పపు న అదే హా నీ జరుగు తుంది .
बहुत म जब ूत . . .	తను నా ఎదు రు గానే ఉ ండి ంది .
तुम हमारी यहाँ से निकल ने में मदद करो गी .	తిరిగి వెళలి పో వాల నే బు దధ ి చాలా బ ల ంగా ఉంటుంది . అది తవర గా అంత మ వ వ దు .
और फिर भी मुझे दु ख महसूस हो रहा है .	ప ది ల ంగా ఉ ంచే ందుకు , నినను గర వ పెటట ే ందుకు నాకు చే తన ె న ంత చేసతాను .
जो आपने छो डा है उसे सं रकष ित करने के लिए , और आपको गर व हो स के .	నేను నినను భ దర ంగా చూ సు కుంటా ను .
मुझे और कुछ नहीं चाहिए .	నా జీవి తా నని నీ సే వ కె అ ం కి తం చేయ గలను . . .
मैं यहाँ हूँ .	ముందు నేను కూడా నమమ లేదు .
कृपया हमें यहाँ मत छोड ो .	నీకు వి నా లని ఎపపుడూ ఉండ దు . ఎవ వర ూ విన లేదు .
तुम अधि क चाह ने की आ व श य क ता को स मा यो जि त करने के लिए नए भाग ों को वि क सि त कर सकती हो .	పె కి లే సతా వా , అని అడి గా నా ?
हाँ . वह है .	నీ ముందు వాళళు మో కా ళళ మీద కూ రచ ో వడం నేను చూశా ను .
और वह अब कहाँ है ? जे र ल मे ल कहाँ है ?	మమ మ లని వదిలే సతా వా ?
मेरी बात सुनो . इस गे ट को खो लो .	- అ యయ య యో . ఇలా జరగ కూడదు . - ఇలా జరుగు తు ందని నాకు ము ందే తెలుసు .
यह ग ह री और अं धे री है . हमें यहाँ कोई नहीं ढूँढ पा ए गा .	- తలు పు తె రు వు . - తె ర వ లేను .
- नहीं . - लड के !	ఛ ీ .
वह यहाँ है .	నీకు సా య పడ ాలని ఇకకడికి వచచా ను .
मुझे तुमहें सुरकष ित रख ना है .	ఇ ద ె లా సా ధ యం ?
जी वन जी ने के और भी बहुत बु रे तरी के हैं , मैं तुमहें आ श व सत कर सकती हूँ .	తిరిగి పని మొద లు పెటటు , అననా ను !
कि मेरे परिवार को कोई न ु क सान नहीं होगा .	అరథ మె ందా ?
हम यहाँ हैं !	దయచేసి పటటు కొ నే ఉ ండు . దయచేసి .
तुम यह कयों कर रहे हो ?	కొ ఫ ూ న !
नि री कष क इसे आ राम से नहीं ल ेंगे .	ఇకకడ , నాకు భ ో జ నం దొ రు కు తుంది , నీ డ దొ రు కు తుంది , నా మా నా నికి ఏమీ కాదు .
- पिता जी . - कया हुआ ?	నా కూ బాధ గానే ఉంది , కానీ ఇపపుడు మనం పా రి పో వాలి .
तुम समझ गए ?	ఎంత కాల ం గ డి చి నా అది మార దు .
वै सा बहुत समय पहले था .	చాలా పెదద ది , చ ీ క టి గా కూడా ఉంటుంది . ఇకకడ మన లని ఎవ వర ూ కని పెటట లే రు .
मैं हर सं भ व कोशिश कर ूँगी	ఒక సారి నేను ఓ క థ వి ననాను . అది నిజ మో కా దో నువవే చెపప గల వే మో .
साम राज य . इ ति हा स . यह सब .	మరి ఆ మార పు చేయ డా ని కని జ న ర ళళు అంద రి తో సహా ఆ సథా నం లో ని స గం మంది
एक मा तर सवाल यह है कि उसे कैसे सा बि त किया जाए .	ఇది నిజం కా వచచా ?
ना इ री !	మా గరా !
पिता जी .	ఏ మెంది ?
मैं उनकी त ला श में गई थी .	త నని వె తు కకు ంట ూ వెళళ ా ను .
जन र ल .	జ న ర ల .
जैसा तुमने कहा , आ देश दे दिया गया है .	నువవు అడి గి న టటు గానే ఆ దేశం ఇవవ డ మెంది .
मुझे बताओ कया हुआ .	ఏం జరిగి ందో చెపపు .
बू ट स !	బ ూ ట స !
तुम कया कर रहे हो ?	నువవే ం చేసతుననా వు ?
बू ट स .	బ ూ ట స .
कृपया रुको .	దయచేసి ఆ పు .
यह दरवा जा खो लो !	ఈ తలు పు తె రు వు !
किस लिए ?	ఎందుకు ?
की डा निकल ने के लिए तैयार है	పటటు పు రుగు బయటకు రా బో తోంది ,
खैर , शायद , हमारे छो टे दोसत की तरह ,	బహుశా నీకు అంత కు మి ంచిన ది ద కక ాల ే మో .
नहीं .	లేదు .
और एक म हा न जी वन के अ यो ग य लगता है .	ఒక గొపప జీవి తా నని అవి వర ణి ంచ లేవు .
आपकी जगह कोई नहीं ले सकता .	నీ త ద న ంత ర బాధ యత ల పాల న . . .
मा घ रा ?	మా గరా ?
मा घ रा .	మా గరా .
उनहोंने जो कहा , अगर कहा , तो तुमने उस बारे में जो किया , उससे कहीं कम वि ना श कारी था .	అత నే ం అననా కానీ , అ దీ అను ంటే , నువవు చేసిన పని తో పో లి సతే అద ంత వి ధ వం స కర మెన దే మీ కాదు .
तुम द या ल ु थी , और तुम व फा दार थी .	మంచి దాని వి , అలాగే వి ధ ే యు ర ాలి వి .
उसने मुझे बताया कि तुम मर चु की थी .	తన కి సరి పో యే ంత బి రు దు ఎ కక డా ఉండ దు .
उसने झूठ बो ला . और हम यहाँ हैं .	నువవు చని పోయా వని తను చెపపి ంది .
म हिला . हाँ . लेकिन हमारा इ रा दा नहीं था . . .	మీరు ఇకకడికి ఆ హ వా నం లే కుండా వచచా రు , అవునా ?
कहाँ है यहाँ ? तुम कौन हो ?	ఇది ఏ పరా ంత ం ? ఎవరు నువవు ?
उनहोंने हमें यहाँ छो डा ताकि हम एक - दूसरे को खतम कर द ें .	మన లని చం ప ాలను కో వడం , మనం చా వాల ను కో వడం , ఈ రెండ ూ వే ర వే రు .
तुमहारी कल प ना से बढ कर .	అది నువవు ఊ హి ంచ లేవు లే .
हम वा सत व में यहाँ कि तने हैं ?	ఇకకడ అసలు మన మె ంత మంది ఉననా ం ?
बा बा .	బా బా .
नहीं .	వదదు .
तुम यहाँ कयों हो ?	మిమమలని ఇకకడ . . .
बू ट स . तुम उसे जानती हो ?	బ ూ ట స . నీకు వాడు తెలుసా ?
जब तक ख ून ख रा बा खतम हुआ , ओ पा यो ल में केवल वह और मैं ब चे थे .	మీ లో ఎవ వర ెనా ఇ కకడి నుండి వి జ య వ ంత ంగా పరా ణ ాల తో బయట పడి నా . . .
आप नहीं समझ ेंगे .	నీకు అరథం కాదు లే .
ह नि वा !	హ నీ వా !
कया आप हमें सुन सकते हैं ? हम यहीं हैं .	మే మి కకడ ే ఉననా ం , నా ననా . నీ కే ం పర వాలేదు .
हमने पक ड लिया !	- నా ననా ! - బా బ ూ .
मा घ रा .	మా గరా .
- मुझे नहीं पता . - तुमने उनहें छोड दिया .	- నాకు తెలీదు . - నువవు వాళళ ని వదిలే శా వు .
मह त व पू रण होने के लिए आपका म जब ूत होना जरू री है .	నువవు ముఖ య మెన వయకతి వని వాళళు నమ ము తుననారు . కదా ?
मुझे बताओ कया हुआ .	ఏం జరిగి ందో చెపపు .
मुझे पता है कि वह सं देश किस ने भे जा .	నీ సోద రి ఎవరి దగ గ రు ందో నాకు తెలుసు .
मैं तुमहें घर जाकर इसके बारे में उसका साम ना करने के लिए पर ो त सा हि त करती हूँ .	ఆమె చె ంత నే ఉ ండి వి శ ే ష మెన అ ధి కా రా నని చె లా యి ంచే అవకా శం జె ర మా మ రె ల కి ఉ ండి ంది ,
उसे ह टा दिया जाता है और उसके वा रिस में पर तया रो पि त कर दिया जाता है .	ప యా న రా జు సి ం హా స నా నని అ ధి ష టి ంచే ట పపుడు , ఆ స ంద ర భా నని పు రస కరి ంచు కొ ని
अगर मैं आपकी से वा में र हूँ , आप वो कर सकती हैं जो कोई नहीं कर सकता .	నేనే గ నుక నీ సే వ లో ఉంటే , ఇకకడ ఎవ వర ూ చేయ లేని ప ను లను నువవు చేయ గల వు .
कोई तुमहारा साथ कयों दे गा ? किसी को भी नहीं पता कि तुम कौन हो .	ఎవరెనా ని నన ె ందుకు అను సరి ంచాలి ? అసలు నువ వె వర ో ఎవ వ రికీ తెలీదు .
मेरा कोई ऐसा हि ससा नहीं है जो भ वि ष य में इससे अधि क चाहता हो .	ఇంత క ననా దారు ణ ంగా మ గ గు తునన జీవి త ాలు ఉననాయి , అది మా తరం ఖ చచి తం .
बच चों के पै दा होने के पहले से मैंने उसकी आवा ज नहीं सु नी है .	నువవు కేవలం తన సి ం హా స నా నని మాతరమే చే జి కకి ంచుకో వాల ను కో లేదు .
मैंने सुना है कि जब एक पा यान सम रा ट सि ं हा सन पर बैठ ता है ,	అతనికి పని కొ చ చే సమా చా ర ము , మాకు దొ రి కే అవకా శం ఉండ వచచే మో
- मैं तुमहारा नाम जान ना चाहती हूँ . - मेरा नाम को रा है .	ఇంకా నేను పాటు పడ ే ది నా మంచి కో స మే , నీ మంచి కోసం కాదు .
अगर तुमने मुझ पर भरो सा किया है , तो अब फिर से करो .	అపపుడు నువవు ననను నమ మి తే గ నుక , ఇపపుడు కూడా నమ ము .
तुमहें कोई उप कर ण दिख रहा है जिस का उप यो ग हो स के ?	ఈ పం జ రం కరి ంది కి వెళళ గల ద ంటే , పె కి కూడా వెళళ గల దు .
कि तुम यहाँ एक लड के दवा रा . . . फु सला ए गए थे .	ఒక కు ర రా డు ఇ రికి ంచి పోయా డని . . . భా వి సతుననాను .
और हमें मार ना हमारे म रे हुए होने से अलग है	వారు మను ష యు లు కా కుండా వే రే ఏదో అయి పోయా రు .
जो भी हुआ . . . वह तुमहारी गलती नहीं थी .	జరిగి న దానికి తపపు . . . అది నీ తపపు కాదు .
उनहें उनके ने ता के सामने ले जा या गया .	ఆ వి డని వాళళ నా య కు డి వ దద కు తీసు కె ళళ ా రు .
और फिर मैं तुमहें कुछ और भी बता ऊँ गी .	అపపుడు నీకు కా వల సింది నేను చెప తాను .
लेकिन कृपया जान ें ऐसे और भी तरी के हैं जिन से मैं आपकी मदद कर सकता हूँ .	కానీ నీకు నేను వే రే వి ధ ంగా కూడా సా య పడ గల నన న విష యానని దయచేసి గర హి ంచు .
तुमहारे लिए खा ने को कुछ ला ता हूँ .	ఆ పిలల లు అసలు ఎవరో అని తెలియ కుండా ,
तुमहें लगता है कि मैं कम जो र हूँ .	నేను బ ల హ ీ ను ర ాలి నని అనుకుంటుననా వు .
बहुत अधि क . मैं उनहें धी मा करने के लिए जो कर सक ूँ वह करती हूँ .	చాలా మంది . వారి రా కను ఆ లస యం చేయ డానికి నేను చేయ గ లి గి న ది చేసతాను .
उसने हम सभी को बताया कि जे र ला म रे ल ने तुमहें मार दिया . कयों ?	నువవు అపపుడు ననను త కకువ అ ంచ నా వే శా వు , ఇపపుడు కూడా వే సతుననా వు .
चलो , पिता जी , आप बस पहुँच गए .	ఎ కకు , నా ననా , దా దా పు వచ చేశా వు .
खैर , तो वे बहुत नि रा श होंगे ,	అయితే వా రికి భ ంగ పాటు తపప దు ,
यही कारण है कि मैं यहाँ हूँ .	నేను ఈ పని ని అసలు చేయ కూడదు .
पापा , हम इसे वापस भेज देंगे .	వచ చేశా ం . మనం వచ చేశా ం . రండి .
मैं आपको म जब ूत बना सकता हूँ .	నీకు ఆ శ కతి ని నేను ఇవవ గలను .
हर किसी को जी वन वै सा जी ना चाहिए जैसा वे जी ना चाहते हैं .	అందు కని వాళ లి దద రి ను ండ ీ నేను అనని ంటి నీ లా గే సు కుననాను .
और , खैर , तुम छा या से मिली हो . वे बाहर द ब के घ ू म ती हैं .	ఆ , ఇంకా , నువవు ఛ ా య లని కలి శా వు . వాళళు బయట తి రుగు తు ంటా రు .
बहुत कुछ बदल ने वाला है . . .	ఒకక కష ణ ంలో చాలా మార పు . . .
और तुम काफी म जब ूत नहीं थी .	నీ అ కక గురించి ఎంత చెపపి నా ,
ठीक है ? तुमने उनसे पयार करने के अ ला वा कुछ नहीं किया .	అరథ మె ందా ? నువవు వారి మీద కు రి పి ంచింది పరే మ మాతరమే .
फिर मैं बि स तर पर वापस च ली गई और मैं चु प चा प सो गई .	రాతరి అతని వ దద కి వెళలి , గు ండ ె లో క తతి ది ం పే శా ను .
पिता जी , आपके दा एँ में एक च ट टा न की पर त है .	నా ననా !
यहाँ केवल एक मैं ही हूँ जो आपकी मदद कर सकता है .	ఇకకడ నీకు సాయం చేయ గ లి గి ంది నే న ొ కకడి ని మాతరమే .
अगर हम वहाँ से बाहर नहीं जा सकते , तो हमें यहाँ से रा सता खो जना होगा .	వచచి న దా రి లో మనం బయట పడ లే కపోతే , దీని గు ండా అయి నా మనం దా రి ని కను క కో వాలి .
यह आ श चर य जन क है कि सबसे छो टा कष ण एक सं पू रण विश व को कैसे बदल सकता है .	ఒక చి నని కష ణం మొతత ం పరప ంచా న నే ఎలా మా రచ గల ద నే ది వి సమ యా నికి గురి చే సతుంది .
- नहीं . मैं जा ऊँ गी बिना . . . - मेरी बात सुनो .	- లేదు . నేను మీరు లే కుండా నే . . . - నా మాట వి ను .
जब हम नीचे तक पहुँच ेंगे , हम अं धे रे में होंगे .	లో త టటు పరా ంత ంలో నికి వెళళ వ దద ని నీకు చెపపా ము .
इस स था न की रकष ा के लिए , यह ऊपर की दुनिया को कभी नहीं छ ू नी चाहिए .	ఈ చో టు ని కా పా డ ాల ంటే , ఇది పె ను నన లో కా నికి అందు బా టు లో ఉండ కూడదు .
यह और भी बुरा है . तुमहें किसी को जलदी से बुला ना चाहिए ताकि वे इसे दूर ले जा सक ें .	అది మరి ంత దారు ణ మెన విషయం . నువవు తవర గా ఎవరి నె నా పి లి చి , వా రికి దానని ఇ చ చేయాలి .
- दरवा जा खो लो . - अरे !	- తలు పు తె రు వు . - హేయ !
मेरे लिए , मैंने कभी उनके गु स से को महसूस नहीं किया , या हि ं सा ,	నాకు తె గు వ లేదు కాబటటి నేను తి రగ బడ టం లే దని అనుకుంటుననా వు .
और तुम उसे मार दो गे .	ఆ పని నేను చేసతాను .
वे धयान देंगे , और तुम ऐसा नहीं चा होगी .	వాళళు గ మని సతే , అది నీకు మంచిది కాదు .
जब तुम दुनिया को सिरफ एक श बद " हाँ " से बदल सकते थे . . .	ఆ సథా నం మా అ కక కి త గ దని , ఆ అ ధి కార సథా యి తన బ ల హ ీ న తల నని ంటి నీ
बिना यह जाने कि वे वा सत व में कौन थे .	వి ఫ ల య తన మ య యా క , నువవు ఊ రి కే పా రి పో లేదు .
उस दिन तक जब वह अब और नहीं स ह सकता था .	చి వ రికి ఒక రోజు దానని భ రి ంచ లేక పోయా డు .
अब , कया तुम मेरे पर शन का उ त तर दो गी ?	మరి , ఇపపుడు నా పర శ న కు సమా ధా నం ఇ సతా వా ?
वह एक दिन चले गए . वह कभी नहीं लौ टे .	ఒక రోజు వెళలి పోయా డు . ఇక తిరిగి రాల ేదు .
और गलती किस की है ?	దానికి కారణ ం ఎవరు ?
मेरी क सम खा ओ कि तुम लड के को ढूँढ ो गे ,	వాడిని చం పే సతా రని నాకు మాట ఇవవ ండి .
कृपया पक ड ें रख ें .	నీ చే తి ని అ ంది ంచు !
मुझे अपना हाथ द ें .	నువవు అ ంది ంచ గల వు !
जब वे तुमहें पहली बार मेरे पास ला ए ,	మొద ట వాళళు నినను తీసు కొ చచి నపపుడు ,
हमने तुमहें अपना या . मैंने उनसे कहा कि तुमहें अपना ए .	నినను మ ాలో చే రచు కుననా ం . నేనే చే రచు కో మని చెపపా ను .
तुमहें कया पर वाह ?	ఏద ె తే నీ కె ందుకు ?
और वे कि तने हैं ?	మరి వాళళ ె ంత మంది ?
मुझे अपने ले फ टि न ें ट के साथ पूछ ने के लिए एक कष ण द ें .	నా లె ఫ ట నె ంట లతో సమ ాలో చి ంచ డానికి నాకు ఒక కష ణ మి వ వు .
मुझे तुमहारे साथ खेल खेल ने की कोई इ चछ ा नहीं है .	ఒ కా న ొక పపుడు నా మాట ని వే ద ం లా స వీ కరి ంచే వాడి వి నువవు .
वह देख सकता है .	- నా ననా . - ఏ మెంది ?
इस बीच , मैं तुमहें अंदर रह ने का अनु रो ध करता हूँ .	నీకు తి న డానికి ఏమెనా తె పప ి ంచే ఏ ర పాటు చేసతాను .
इस जी वन में . . .	ఈ జీవితం లో . . .
वह मेरा बेटा है .	వాడు నా కొ డు కు .
मैं रात में उनके पास गई और मैंने उनके दिल पर चा कू से वार किया .	నాకు తొ మ మి దే ళళు ని ండి న ఆ రాతరి ప ూ ట , భ రి ంచడం నా వలల కాల ేదు .
चार नि री कष क और एक का ट ने वाला .	వారి వ దద ఎలా ంటి ఆ యు ధ ాలు ఉననాయి ?
कया तुम गलत थी ?	నీ దే మెనా తపప ా ?
तुम मेरी मदद कयों कर रही हो ?	నువవు నా కె ందుకు సా య పడు తుననావు ?
यह सही नहीं है .	అది నిజం కాదు .
मुझे उनहें एक साथ रख ना होगा .	వాళళ కి ఏమీ కా కుండా చూ సుకో వాలి .
- को फु न ! - पापा !	- కొ ఫ ూ న ! - నా ననా !
जिन हें पक ड ने की श प थ लिए मैंने अपना आ धा जी वन बि ता या है .	వెళ తూ వెళ తూ తన కి ఇష ట మెన భా గ సవా మి ని కూడా తీసుకు వెళలి పోయా వు .
उसका न ती जा आज हमारे सामने है .	ప యా రి స , ఆ పు . దయచేసి , ఏ డ వ కు .
कृपया . मैं तुमहें बता ती हूँ मुझे जो पता है .	దయచేసి , నే కు తెలి సిన ది మీకు చెపప నివ వ ండి .
जब अधि का ं श से ना पति यों और आ धे दर बार ने अपना सम र थ न दिया	నాకు మ దద తు ను పర క టి ంచిన పపుడు , అది వా రికి ఖచచితంగా ఆట కా దే .
- नहीं . - पापा .	- లేదు . - నా ననా .
मेरे पीछे आओ .	నా వె ంటే రండి .
मेरी मदद करो .	నాకు సా య పడ ండి !
