तुम कौन हो ?	ఎవరు నువవు ?
के ए 2 9 के या तरी इस कष े तर में होंगे . दूस री फ ला इट के या त रि यों के साथ .	కె ఎ 2 9 పర యా ణి కులు ఈ పరా ంత ంలో ఉననారు . మి గ తా విమా నా ల పర యా ణి కు లతో కలిసి .
बी ए 9 8 5 0 , अब आप उडा न भर सकते हैं .	బి ఎ 9 8 5 0 , మీ టే కా ఫ కి అను మ తి ఉంది .
प ला जा में हम दोनों साथ खाना खा एँ .	ప లా జ ాలో ఇదద రి కోసం టే బు ల కావాలి .
कयोंकि कॉ क पि ट में कोई नहीं है .	ఎందుకంటే కా క పి ట లో ఎవ వర ూ లే రు .
कुछ नहीं , बिलकुल भी कुछ न . . .	ఏమీ లేదు , ఖచచితంగా ఏమీ లేదు . . .
पलीज अं ति म ग ंत वय और दि शा की पु ष टि करें . सुरकष ा सत या प न के लिए .	మీ గ మ యం ఇంకా మా రగ ం ఖ రా రు చేయ ండి . సె క యూ రి టీ త ని ఖ ీ పూర త యి ంది .
यही मतलब होगा जब उनहोंने कहा था " बर दा श त नहीं किया जाएगा . "	" ఇక పె స హి ంచ ము " అని వాళలు ఎందుకు అననా రో ఇపపుడు అరథం అవు తోంది .
तो , फिर तुमने कया किया ? मान भी लो , तुमने कुछ तो किया होगा .	అయితే , మరి నువవు ఏం చేశా వు ? ఇలా చూడు , నువవు ఏదో చేసి ఉంటా వు .
हो सकता है . किसी ने पता किया ?	అయి ఉండ చచు . ఎవరెనా చె క చేశా రా ?
वह तुमहारी तरफ आ रहा है , ए डी .	అతను నీ వె పే వ సతుననా డు , ఎ డీ .
तो , फिर अचछे से खाना खा एँगे .	అయితే , ఆ వి ందు స వయ ంగా చే దదాం .
जाओ और इसका पास पो रट लेकर आओ .	వెళలి అతని పా స పో ర ట తీసుకో .
हे , तुम . तुम कया कर रहे हो ?	హేయ , ఓ య . మీరు ఏం చేసతుననా రు ?
जिस का मतलब है आज मुझे उसे चा इ लड के यर में छोड ना पडे गा .	ఆ కారణ ంగా నేను వే రే చె ల డ కే ర సె ంట ర చూ సుకో వల సి వచచింది .
ठीक है , फ ला इट नंबर कया है ?	సరే , ఆ విమానం నె ం బ రు ఎంత ?
अगर वह झूठ बोल रहा हो तो ?	అతను అబ దధ ం ఆ డి ఉండ చచు కదా ?
अगर तुम इन हें दोबारा देखना चाहते हो , तो इसे खो लो .	వీ ళ లని నువవు మళలీ చూడ ాలి అను కు ంటే , దీ నని ఓ పె న చేయి .
यू रो प , गरे ट ब रि टे न , ल ंद न .	యూ రో ప , గరే ట బ రి టన , ల ండ న .
कि सब कुछ ठीक है , तुमने सुना मैं कया कह रहा हूँ ?	ఇకకడ అంతా బాగానే ఉ ందని వాళల కి చెపప ాలి , వి ంటుననా వా ?
- माफ करना ? - बिना वजह डर गए थे , इसका कया मतलब है ?	- సా రీ ? - ఒక త పపుడు హె చచ రిక , అది ఎలా జరుగు తుంది ?
तो , ऐसे में वह कया चाहते हम कया करें ?	అయితే , తను మనం ఏం చేయ ాలని ఆ శి సతుననా డు ?
" मैं आपके के बि न कर ू से बोल रही हूँ .	" మీ క యా బి న సి బబంది ని మాటలాడు తుననాను .
पलीज अपना नंबर छोड द ें और मैं आपको वापस फोन कर ूँगा .	మీ నె ం బ రు చెపప ండి , తరువాత నేనే తిరిగి కాల చేసతాను .
हमें कोई मदद नहीं चाहिए .	మాకు ఏ సాయం అవసరం లేదు .
{ \ an8 } ए ले न , रॉ बि न कै प टन	{ \ an8 } అ లెన , రా బి న కె ప టె న
मुझे बस एक बार विमान में पीछे की तरफ जाने दो .	నేను విమానం వె నుక భా గా నికి ఒక సారి వెళలి వ సతాను .
यही दि क कत है . मैं एक ऐसे आदमी को झ े ल रही हूँ .	ఇదే అసలు సమసయ . అలా ంటి మనిషి ని నేను భ రి సతుననాను .
हमें कल से भी जयादा देर हो गई है . और कल वाला अपने आप में एक रिक ॉर ड था .	మనం ని నన టి క ననా ఈ రోజు ఇంకా ఆ లస యం అయ యా ం . ఇదే ఒక రి కార డు అయి పోయింది .
अगर ये ह वाई या ता या त निय ं तर ण वाले हैं , तो हमें इसका अभी जवाब देना होगा .	అది గ నుక ఎ యి ర ట రా ఫి క క ంట రో ల అయితే , మనం వెంట నే దానికి జ వా బు చెపప ాలి .
मैं 3 0 से क ंड में अपनी कार तक पहुँच जा ऊँ गी . . .	మ రో ము పప ె సె క న లలో నేను నా కారు లో ఉంటా ను . . .
हाँ , हा य . हाँ , मुझे पाँच मिनट की देर हो जाए गी .	హాయ . అంటే , నేను ఐ దు నిమిష ాలు ఆ ల సయ ంగా వ సతాను .
ठीक है , उनहें जाने दो .	సరే , ఆమె ని వెళ లని వ వ ండి .
अपनी सी ट पर वापस जाओ . इससे कुछ नहीं होने वाला .	వెళలి నీ సీ ట లో కూ రచ ో . ఇలా చేయడం లో అరథం లేదు .
- उनसे क हो अपनी स करी न शे यर करें . - ठीक है , हम से अपनी स करी न शे यर कर दी जिए .	- వాళల స క రీ నస ష ే ర చేయ మని అడుగు . - సరే , మీరు మీ స క రీ న ని వెంట నే ష ే ర చేయ ండి .
रॉ बि न ए ले न से मेरी इसी समय बात करवा इए . सुरकष ा उ द देश यों के लिए , अभी .	నేను రా బి న అ లెన తో వెంట నే మాటలాడ ాలి . ఇది విమానం భ దర త కోసం తపప దు .
उडा न भर ने से पहले अप लो ड कर दिया गया होगा .	ఇంకా ఆ రూ ట ని టే కా ఫ కి ము ందే అ ప లో డ చేశారు .
यह तो अचछी खबर है ना ?	అది మంచి విషయం కా దా ?
उनसे ऐसे बात मत करो .	ఆమె తో అలా మాటలాడ క ండి .
सोच ो , अग ले छ ह घ ंट ों में कया हो सकता है .	తరువాత ఆ రు గంట లలో ఇం కె ంత జరగ చచ ో ఊ హి ంచండి .
हमने पाँच बार पह चा न जान ने की कोशिश की .	మేము గుర తి ంచ డానికి ఐ దు సా రలు పరయతని ంచా ము .
अचछा . और यहाँ नि श चि त त ौर पर उसके पू र व - पति की बात हो रही है ?	సరే . అయితే మనం ఖచచితంగా ఆమె మా జీ భ ర త గురి ంచే మాటలాడు తుననా మా ?
हाँ , कोई बात नहीं .	సరే , మ రే ం ఫర వాలేదు .
डि ग री के बारे में ?	ఆ డి గర ీ ల గురి ంచా ?
तुम . मु ँ ह बंद रख ो .	నువవు . నో రు మూ యి .
हाँ , मैं स हम त हूँ .	అవును , ఒ పపు కుంటా .
मैं बस उममीद कर ूँगी कि मेरा बॉ स तुमहारे जि तना हो श िया र ना हो . अब अंदर जाओ , पलीज .	మా బా స నీ అంత తెలి వెన వాడు కా కూడ దని ఆ శి సతాను . ఇం క నువవు లోప లి కి వెళ లు , పలీజ .
मैं अपने जन म दिन पर यही चाहता हूँ .	నా పు టటి న రోజు న నేను కో రు కునే ది అదే .
विमान पर बर फ है ?	విమానం లో ఐ స ఉందా ?
मैं जानता हूँ कि यह बात करना अजीब है , जानता हूँ .	నాకు తెలుసు , ఇది ఒక వి చి తర మెన ఫోన కాల , నాకు తెలుసు .
पे शे वर स फा ई कर मी .	పర ొ ఫె షన ల క లీ న ర ల ం .
हाँ , व हीं , दोसत .	ఇం క చ ాలు , మి తర మా .
लेकिन असल में , इससे हा ला त और जयादा बि ग ड जाएँगे .	కానీ నిజ ానికి పరిసథి తి అంత క ననా ఘ ో ర ంగా త యా ర వు తుంది .
सा इ मन के पास फोन आया था , उसने दु ब ई फोन किया , दु ब ई ने बताया कि वह पु रा नी खबर थी . उनका डर नि रा धा र था .	సె మన కి ఫోన వచచింది , దు బా య కి ఫోన చేశా డు , అది పా త వార త ని దు బా య వాళలు చెపపా రు . త పపుడు హె చచ రిక .
अचछा . यह आत ंक वाद - वि रो धी समस या नहीं है , डै निय ल .	అవును . కానీ ఇది క ౌ ంట ర టె ర ర రి జ మ ఘ టన కాదు , డా నియ ె ల .
यहाँ मेरी फ ला इट स करी न पर एक मै से ज आता है , जो आपको वहाँ दिखा ता है ,	నా ఫ ల యి ట స క రీ న మీద మనం ఇకకడ ఉననా మని చూపి సతూ ఒక మె సే జ వ సతుంది .
ठीक है , समझ गई .	అలాగే , అరథ మెంది .
वे लोग अग ले हफ ते यह घर छोड कर जा रहे हैं . कया मैं ऊपर जाकर उनहें बता ऊँ आप आए हैं ?	వాళలు వచచే వా రం ఇ లలు మా రి పో తుననారు . నువవు వచచా వని పె కి వెళలి చెపపి ర మమ ంటా వా ?
तुम मुझे आत ंक वाद - वि रो धी चीज ों के सि ल सि ले में फोन करते हो तो ठीक है , लेकिन . . .	క ౌ ంట ర టె ర ర రి జ మ కేసు లు వచచి నపపుడు నాకు ఎందుకు ఫోన చేసతా వో తెలుసు కానీ . . .
{ \ an8 } सू ची - दोबारा शुरू करें	{ \ an8 } మెన యూ - మళలీ పరా రం భి ంచండి
{ \ an8 } 2 डी : तुमने दि शा बदल दी ?	{ \ an8 } 2 డి : నువవు ది శ ను మార చా వా ?
यह हमारे पर भा व कष े तर में नहीं आता है , लेकिन कोई बात नहीं .	వా సత వ ంగా అది మన పరి ధి లోకి రా దు , కానీ మనం పరయతని ంచి చూ దదాం .
मैं आ रहा हूँ .	నేను వ సతుననాను .
हाँ . एक से क ंड .	సరే . ఒకక సె కను .
{ \ an8 } सही में ?	{ \ an8 } నిజంగా నా ?
शुकरिया , मा इ कल .	థాంక యూ , మె ఖ ే ల .
विमान के पीछे .	ఆ విమానం వె నుక .
मैं तुमसे दोबारा नहीं कहूँ गा , दोसत . बैठ जाओ .	నీకు మళలీ ఇం కో సారి చెపప ను , మి తర మా . కూ రచ ో .
इसे थोडा बडा करके दिखा सकते हैं , पलीज , ज ला ल ?	దయచేసి మా కోసం కొ ద ది గా జ ూ మ చేయ గల వా , జ ల ాల ?
यह ल ु फ थ ै न जा का कया चल रहा है ?	ఈ లు ఫ తా ం స ాలో ఏం జరుగు తోంది ?
वहाँ बिलकुल पीछे की तरफ जाकर .	అందరూ వె నుక వెపు కి వెళల ండి .
- कहाँ कहा आपने ? दु ब ई ? - हाँ .	- ఎకకడ అంటా వు ? దు బా య ? - అవును .
बस , अब मुझे गु ससा आने वाला है . जलदी करो .	చూడు , నాకు ఇం క ఇపపుడు కో పం వ సతోంది . ఇం క రా .
ठीक है . अगर मैं वहाँ ऑ टो पायलट द बा ता हूँ ,	సరే . అంటే , నేను అకకడ ఆ టో పె లెట బ టన ఆన చే సతే ,
तो अगर कोई यह बात दूस री बार कह ता है . . .	మరి ఇదే మాట ని ఎవరెనా రెండు సా రలు చె బి తే . . .
बि ज ने स कला स में एक बं दे ने गोली चला दी , वहाँ ल डा ई हो रही थी , दो बंद ों ने उनहें रो क ने की कोशिश की थी .	బి జి నె స క లా సు లో ఒక గ న పే లి ంది , అకకడ గొ డ వ జరిగింది , ఇదద రు వయ క తులు వాళల మీద దా డి కి పరయతని ంచారు .
मैं बस यह जान ना चाहता था कि तुम इस बारे में कया सोच ती हो .	సరే , నువవు ఏం అనుకుంటుననా వో తెలుసు కో వాలి అనిపి ంచింది .
लेकिन जिस या तरी ने ऐसा किया , जिस ने इतनी परे शा नी उठा ई ,	కానీ ఆ మె సే జ పం పి న పర యా ణి కు డు , ఆ పరమా దానని ఎదు ర కొ నన వాడు ,
अचछा आ इ ड िया नहीं था , दोसत .	అది మంచి ఆలోచ న కాదు , మి తర మా .
{ \ an8 } या तरी 1 के को अनु रो ध भे जा गया . . .	{ \ an8 } ప యా సి ం జర 1 కె కి అ భయ రథ న పం ప బడి ంది . . .
कोई बात नहीं .	మ రే ం ఫర వాలేదు .
यह एक मै से ज है . विमान कुछ बता ने की कोशिश कर रहा है .	అది ఒక మె సే జ . ఈ విమానం ఏదో చెపప ాలని పరయతని స తో ందని అరథం .
यहाँ दिख जाता है . ई जी एल एल , यही को ड है .	అంటే , అది ఇకకడ ఉంటుంది . ఇ జి ఎ ల ఎ ల , అది కో డ .
उसने विमान के उडा न भर ने के ठीक बाद मेरी गर ल फर ें ड को मै से ज भे जा कि विमान पर कुछ मु सी ब त हो गई है .	ఆ విమానం టే కా ఫ అయి న వెంట నే అతను ఒక మె సే జ చే సతూ విమానం లో ఏదో పరిసథి తి త లె తతి ందని చెపపా డు .
मैं ए टी सी में काम करता हूँ .	నేను ఎ టి సి లో పని చేసతాను .
देखो . इसे देखो , ठीक है ? इन हें यह करने पर म जब ूर मत करो .	చూడు , ఇది గో , ఇపపుడు చేసతా వా ? వాళ లని ఇలా చేయ నివ వ కు .
उनका डर नि रा धा र था . - देखा ?	- త పపుడు హె చచ రిక . - చూడు ?
सुरकष ा ला इस ें स नी ला क ुम ा र	సె క యూ రి టీ లె సె నస నీ లా కు మార
बंद ूक ! बंद ूक को परे कर दो !	ఆ తు పా కి ! తు పా కి ని తన ను !
मैं कह ही दे ती हूँ , हाँ ?	నేను చెపప బో తుననాను , సరేనా ?
हाँ . वह देखो .	అది గో . అకకడ .
यही समय है . पहले मैं जाता हूँ , फिर तुम आ जाना . हाँ ?	ఇదే సమయం . నేను వెళ తాను , నువవు అను సరి ంచు . సరేనా ?
अब बस हम आप से दोबारा पता कर रहे हैं . - पू छो कि कया वे अपनी स करी न शे यर कर सकते हैं .	- ఇపపుడు మేము మీ తో రెండ ో సారి చె క చేసు కుంటుననా ం . - వాళల స క రీ న ని మన కి ష ే ర చేయ గల రే మో అడుగు .
पू रे दिल से पयार करो , डै न , नहीं तो जिंदगी आगे बढ जाती है .	ఆమె విషయం లో సప షట ంగా ఉ ండు , డా న , లేదా పరిసథి తులు మా రి పో వచచు .
आज का दिन मेरे लिए बहुत जरू री है , का ई .	ఈ రోజు నాకు చాలా ముఖ య మెన రోజు , ఖ ా య .
- मार शा . . . - नहीं , सै म ऐसा ही है .	- మార షా . . . - లేదు , సా మ ఇలా గే ఉంటా డు .
के ए 2 9 . कि लो एल फा दो नौ . विमान ने लग भ ग एक घं टा पहले उडा न भ री थी .	కె ఎ 2 9 . కి లో ఆ ల ఫా రెండు తొ మ మి ది . ఒక గంట కింద ట టే కా ఫ అయి ంది .
उनकी आवा ज ऐसी ही होती है .	వాళలు అలాగే మాటలాడ తారు .
वह , मतलब , द ौ ड शुरू करने वाली बंद ूक होती है ना .	అంటే అది , నీకు తెలుసా , ఏదెనా పో టీ ని పరా రం భి ంచే గ న .
हमें इसका जवाब देना होगा .	మీరు దానికి సప ంది ంచాలి .
जिस का मतलब है वह आज सक ूल नहीं गया है ,	అందు వలల ఈ రోజు స కూ లు కు వెళల డం లేదు ,
- सा इ मन ? - तुम पहले ही काफी मु सी ब त में हो .	- సె మన ? - నీకు ఇ పపటి కే సరి ప డా సమసయ లు ఉననాయి .
- कै प टन कॉ क पि ट में नहीं हैं ? - आपने सही सुना .	- కా క పి ట నుండి కె ప టె న బయట కి వెళ లా రా ? - అది నిజం .
मुझे अफ सो स है वह अभी बहुत दूर है .	అ ందుకు ఇంకా చాలా సమయం ఉంది అనుకుంటా .
अगर कुछ भी होता है , तो हम फोन पर बात करेंगे .	పరిసథి తి ఏమెనా మా రి తే , మనం ఫో ను లో మాటలాడు కు ందా ం .
ठीक है . हाँ .	సరే . అలాగే .
इसे पक डो , ए डी ! इसका ग ला घ ों ट दो !	అత డిని పటటు కో , ఎ డీ ! ఊ పి రి ఆడ నివ వ కు !
आप सी धा विमान से सं पर क कर सकते हैं ?	నే రు గా ఆ విమా నా నని సం పర ది ంచ గల వా ?
आगे किसी भी तरह के वि रो ध का परि ण ा म किसी की मौ त हो सकता है .	ఇక ముందు ఎవరెనా పరతి ఘ టి సతే ఫ లి తం పరా ణ ా ంత కంగా ఉంటుంది .
तुम लोगों को यकीन है कि ऐसा मौ सम की वजह से नहीं हो रहा है ?	వా తా వర ణం కారణ ంగా అది దా రి తపప లే దని ఖచచితంగా చెపప గల మా ?
ठीक है , और आज कल पाँच मिनट कि तने ल म बे होते हैं ?	సరే , ఈ రోజు లలో ఐ దు నిమిష ాలు అంటే ఎంత సమయం ?
यह ही थ रो , ई जी एल एल है , 3 2 0 डि ग री के को ण पर .	అది హ ీ త రో , ఇ జి ఎ ల ఎ ల , 3 2 0 డి గర ీ ల బ ే రి ంగ లో ఉంది .
हे . तुमने पायलट से बात की थी . उसने कहा था सब ठीक है .	హేయ , నువవు పె లెట తో మాటలా డా వు . ఏమీ జరగ లే దని అతను చెపపా డు .
तुमहें लगता है हम बेवकूफ हैं . . .	మేము మూ ర ఖ ు ల ం అనుకుంటుననా వా . . .
मेरी गर ल फर ें ड का पू र व - पति दु ब ई से ल ंद न आने वाली एक फ ला इट पर स वार है .	నా గర ల ఫ రెండ మా జీ భ ర త దు బా య నుండి ల ండ న కి విమానం లో బయ లు దే రా డు .
ठीक है . विमान पर कुछ दि क कत हुई थी ?	సరే . విమానం లో ఒక సమసయ ఏ ర పడి ందా ?
हाँ , अब बात करते हुए थोडा अजीब लग रहा है .	అవును , ఇది ఇపపుడు కా సత వి చి తర ంగా అనిపి సతోంది .
वे उससे बात नहीं करेंगे . वे कै प टन से ही बात करेंगे .	వాళలు ఆమె తో మాటలాడ రు . వాళలు కె ప టె న తో మాతరమే మాటలాడ తారు .
- . . . मैं इस सी ट से नहीं उ ठ ने वाला . - जो यह कह ता है , वह करो .	- . . . నేను ఈ సీ టు నుండి లే వ ను . - అతను చెపపి ంది నో రు మూ సు కు ని చేయి .
बस यही है ?	ఇది అంతే నా ?
पायलट से उनकी पहले ही बात हो चु की थी . उनहोंने पु ष टि की कि उनका डर नि रा धा र था .	వాళలు ఇ పపటి కే పె లెట తో మాటలా డా ర ట . అది త పపుడు హె చచ రిక అని ఖ రా రు చేశారు .
वहाँ बैठ ो .	అకకడ కూ రచ ో .
नहीं , यह नहीं हो सकता .	లేదు , అది జరగ ని పని .
- वह कहते कि हम परे शान ना हों . - ऐसा नहीं कह सकते .	- మన లని ఆ ందో ళ న పడ వ దద ని చెపపా డు . - ఆ విషయం నీకు తెలియదు .
मैं इसे पह चा न ता हूँ .	ఆమె ని నేను గుర తి ంచా ను .
तु र किए - सी रि या - इ रा क	టర కీ - సి రి యా - ఇ రా క
आप कौन हैं ?	మీరు ఎవరు ?
गए काम से . - तुमहें एक फोन आता है , तुम दु ब ई को फोन करते हो ,	- ఇది గో వి ను . - సరే , నీకు ఫోన వచచింది , నువవు దు బా య కి ఫోన చేశా వు .
अगर तुमने मुझे कॉ क पि ट में भे जा , तो हा ला त और जयादा	ననను గ నుక కా క పి ట లోప లి కి పం పి తే , పరిసథి తులు ఇ పపటి కంటే
इसे आ खि री चे ता व नी समझ ा जाए . "	ఇది తు ది హె చచ రిక గా భా వి ంచ గల రు . "
पहली सी ट , वहाँ बैठ ो . बस यहाँ .	మొద ట గా , అకకడ కూ రచ ో . సరి గగా అకకడ .
तुमहारा फोन आज तक बंद कब हुआ है ?	నీ ఫోన ఎ పపుడు ఆ ఫ అయి ంది గ నుక ?
पिछ ली टर म में आपने यह कहा था .	కింద టి టె ర మ లో కూడా అదే చెపపా వు .
मैं यहीं हूँ . ठीक है ?	నేను ఉననాను . సరేనా ?
अब सब कुछ ठीक है . उनका डर नि रा धा र था .	ఇపపుడు అంతా స దదు మ ణి గి ంది . త పపుడు హె చచ రిక .
ठीक है . तो , ब ग दा द वा लों को यह दिख रहा है .	సరే . అయితే , బా గ దా ద చూ సతునన ది ఇదే కదా .
मैंने कहा सब कुछ ठीक है . वे बिना वजह डर गए थे .	అంతా బాగానే ఉంది అని చెపపా ను . కేవలం త పపుడు హె చచ రిక .
पलीज ब ग दा द क ंट रो ल को 1 2 3 द श म ल व 5 2 पर क ॉल करें .	దయచేసి బా గ దా ద క ంట రో ల కి 1 2 3 ద శా ం శం 5 2 కి కాల చేయ ండి .
लेकिन . . .	కానీ . . .
और सुनो , हो सकता है इसमें कुछ ना निक ले , लेकिन . . .	ఇంకా వి ను , ఇ ందు లో విషయం ఉండ కపో వచచు , కానీ . . .
मैं समझ ता हूँ . मुझे पता है .	నాకు అది తెలుసు . అది అరథ మెంది .
उसने बस खुद को बचा ने के लिए हम सब को ध ो खा दिया है . यह हो रहा है .	త నని తాను కా పా డు కో వడం కోసం మన ంద రికీ ద రో హం చేశా డు . అదే జరుగు తోంది అకకడ .
इसके रह ते हुए कोई ग ड ब ड नहीं हो सकती .	ఏదెనా సమసయ ఉంటే , ఆమె వెంట నే గుర తి సతుంది .
यहाँ रे डियो में काफी समस या एँ आ रही हैं ,	మాకు రే డి యో తో చాలా సమసయ లు వ సతుననా యి
सब कुछ काफी सा मान य लग रहा है .	ఇ దంతా చాలా మా మూ లు వయ వ హా రం .
यह मेरी बेटी को अपने बचचे की पार टी में ले गई थी .	మా అమమాయి ని తన బి డ డ పార టీ కి తీసుకు వెళలి ంది .
पिछ ले हफ ते , इस ने एक आदमी को खि लौ ने की बंद ूक ला ने से मना कर दिया था .	కింద టి వా రం , ఒక వయకతి సటా ర టర పి సట ల తీసుకు వ సతు ంటే ఆమె ఆ పి ంది .
इसका नाम नी ला है .	నీ లా . అది ఆమె పేరు .
1 के : वे इ रा की फ ौ ज से सं पर क करेंगे .	1 కె : వాళలు ఇ రా కీ సె నయా నని సం పర ది సతారు .
इसका कया मतलब है ?	అది ఎలా జరుగు తుంది ?
दा ल में कुछ का ला है . हाँ .	ఏదో తే డా గా ఉ ందని అరథం . నిజం .
और वह सक ूल से भी आगे काफी दूर है .	అది వాడి స కూ లు క ననా చాలా ద ూర ంగా ఉంది .
