मै मी ?	మా మీ ?
- चु प रहो . - कयों ? हमें वैसे भी उसकी मदद चाहिए .	- నో రు మూ యి . - ఎందుకు ? మన కి తన అవసరం ఎ ట ూ ఉంది .
ए ! अरे , मैं अग ली बार देख ूँगी . ठीक है ? पक डो .	హేయ ! ఓహ , మళలీ సారి వచచి చూ సతాను . సరేనా ? క యా చ .
मुझे खे द है कि तुमने अपनी कुछ फो टो खो दी ं .	నువవు కొనని ఫో టో లు పో గొ టటు కో వడం బాధ గా ఉంది .
हमें अ र सला को भी इसमें शा मिल करना चाहिए .	మనం ఈ పని కోసం ఉ ర సు లా ని రం గ ంలో కి ది ం ప ాలి .
- अरे , नहीं , नहीं , नहीं . नहीं . - हे भगवान .	- ఓహ , లేదు , లేదు , లేదు . లేదు . - ఓహ , దేవుడా .
मैं कै ल म नाम क इस लड के को डे ट कर रही हूँ .	నేను క య ాల మ అనే కు ర రా డిని ఇష ట పడు తుననాను .
यह तुमहारी सोच से कहीं जयादा आ सान है .	నువవు అను కునన దాని క ననా అది చాలా తే లి క .
मैं आपके लिए अ ंड ों की टो करी ले आ ऊँगा .	మీ కోసం ఒక బు టట డు కో డి గు డ లు తె సతాను .
छो टी सी ग ड ब ड ? हमने उनका घर उडा दिया .	వె ఫ ల య మా ? మనం వాళల ఇంటి ని త గల బె టట ా ం .
- हाँ , आ रही हूँ . - उससे रिश ता तो ड दो .	- అలాగే , వ సతుననాను . - దానిని ము గి ంచు .
शायद तुमहें दोबारा कोशिश करनी चाहिए .	నువవు మ రో సారి పరయతని ంచాలి అనుకుంటా .
" नि स वार थ ता ही सबसे बडी उप लब धि है . "	" ని సవా రథ ం య ొ కక అత య ంత గొపప వి జ యం . "
एक ही " म " होता है न ? चि मी चु री में ?	చి మి చూ రి లో ఎ మ అనే పద ం ఒక టే ఉ ంటు ందా ?
बे न तुमने अपना नै प किन गि रा दिया जान	బె న నీ నా ప కి న కింద పడి పోయింది బ ే బీ
मैं बच चों को खो ना नहीं चाहती हूँ .	పిలల లని వ దు లు కో వడం నాకు ఇషటం లేదు .
और फिर रात की शि फ ट शुरू करनी है .	ఆ తరువాత నా నె ట షి ఫ ట మొద ల వు తుంది .
मैं कै बि न को लेकर समझ ा सकती हूँ .	ఆ క యా బి న గురించి నేను వి వరి సతాను .
जो उसकी परे मि का को लेकर भाग गया .	అతను తన గర ల ఫ రెండ తో వెళలి పోయా డు .
तुम मुझे भ गा ने की कोशिश में हो ?	ననను వది లి ంచుకో వాలని చూ సతుననా వా ?
हमें उनका सप ना पता था ; पता था कि उनहोंने सप ने देख े थे " . . .	వాళల కల మన కి చాలా తెలుసు , వారు కల లు క ననా రని తెలుసు కో వడం " . . .
हे भगवान , मैं पागल हो रही हूँ .	దేవుడా , నాకు పి చ చె కకి పో తోంది .
- मैं वहाँ आ सकती हूँ ? - नहीं .	- నేను అ టు వెపు రా వచచా ? - వదదు .
मुझे नहीं पता . . . मुझे नहीं पता जे पी वहाँ कया कर रहा था .	కానీ , నాకు తెలియ ద . . . జె పి ఏం చేసతుననా డో నాకు తెలియదు .
कया तुमहारा च क कर चल रहा था ?	మీకు ఏమెనా అ కర మ సంబం ధం ఉందా ?
और तुमहें पता है कि उसे ई सटर पसंद है , इसलिए मैं बस . . . मैं चाहती हूँ हम घर पर हों .	అతనికి ఈ సటర అంటే ఎంత ఇష ట మో నీకు తెలుసు , కాబటటి నేను కేవలం . . . మేము అకకడ ఉండాలి .
बि बी , मैं ऑ फि स में फोन पर इस बारे में बात नहीं कर ूँगी .	బీ బీ , నేను ఆ ఫీ సు లో ఉండ గా ఇలా ంటి వి ఫో ను లో మాటలాడ లేను .
मुझे अ र सला बुला ना बंद करो !	ననను ఉ ర సు లా అని పి ల వడం ఆ పు !
उप - शी र ष क अनु वाद क : म ून क लि ता	తెలు గు అను వాద ం : స తీ శ కు మార
- हमने जयादा जो र से चि ल ला या ? - का नों में दर द हो रहा था .	- చాలా గ టటి గా ఉందా ? - నా త లలో రె లు పరి గె డు తునన టలు ంది .
सुनो , बी मा में उनका भी जि कर कर दो . मैं मर सकता था .	ఇ నస ూ రె నస కోసం దర ఖ ా సతు చేయి . నేను చని పోయి ఉండే వాడిని .
- तुमहें उसके लिए बॉ ट ल ओ प नर चाहिए ? - नहीं , वह मैं ला ई हूँ . इसमें स कर ू कै प है .	- ఆ మూ త తె ర వడానికి బా టి ల ఓ పె న ర కా వ ాలా ? - లేదు , నేను తె చచా ను . ఇది స క రూ మూ త .
ठीक है , वह इसमें बेहतर होगी . हम यह कर सकते हैं .	సరే , తను ఇది బాగా చేయ గ లు గు తుంది . మనం కూడా చేయ చచు .
कयोंकि वह कभी नहीं . . .	ఎందుకంటే తను ఎపపుడూ . . .
- कब ू तर की तरह . - वह कभी तुमहें पैसे नहीं दे गा .	- లేదా ఒక పా వు రం . - అతను నీకు ఎ పపటి కీ డబబు ఇవవ డు .
हाँ , सही कहा . माफ करना .	సరే , అలాగే . మన ని ంచండి .
- यह लो . - हाँ , मुझे दो .	- ఇకకడ . - సరే , నాకు ఇవ వు .
- मुझे बेहद खे द है , पर हमें जाना होगा . - अ रस ?	- మీకు చాలా కష మా ప ణ లు , కానీ మేము వెళల ాలి . - ఉ రస ?
सबसे जयादा ता प मान . . .	అత య ధి క ఉ ష ణ ో గర తలు . . .
तो मुझे बस . . . बाद में खुद पर गु ससा आए गा .	అది అంతా . . . తరువాత ననను నేనే తి టటు కుంటా ను .
पर तुम क च रे के बै ग के साथ मस ती कर सकते हो .	కానీ ఈ చెతత స ంచ ీ తో నువవు సర దా గా గ డు పు కో వచచు .
- हैलो . - ए . अरे , हैलो . सोचा नहीं था कि . . .	- హాయ . - హేయ . ఓహ , హాయ . నేను అనుకో లేదు ఇలా . . .
कोई डॉ क टर यह नहीं सो चे गा कि इस उ मर में दिल का द ौ रा सं दे ह जन क होगा .	ఆ మనిషి వయ స సు కు గు ండ ె పో టు వచచి ంద ంటే ఏ డా క ట రూ కూడా అను మా ని ంచ డు .
कया कहते हो , इं स पे क टर ? कया हम मेरे सब ूत ों पर चर चा कर सकते हैं ?	ఏం అంటా రు , ఇ న స పె క టర ? మేము కను కకు నన విషయ ాల గురించి మనం చ ర చి ద దా మా ?
- हे भगवान . - माफ करना .	- దేవుడా . - కషమి ంచండి .
शायद कुछ सा धा रण ही खा या था . जैसे कि . . .	బహుశా ఏదెనా మా మూ లు గా తి ని ఉంటా ం . అంటే . . .
अगर तुमहें इस बारे में बात करनी है , तो हम पी ने चल सकते हैं . . .	దీని గురించి నువవు మాటలాడ ాలి అను కు ంటే , మనం డ రి ంక తా గు తూ . . .
मे टि ल डी ऑ क सि न इं जे क शन	మె టి ల డి గా క సిన ఇం జె కష న
वह मेरा होने वाला था .	అది నా స ొ ంత ం అ యయ ే ది .
हाँ , ठीक है . तुम बाद में कया कर रही हो ?	సరే , అలాగే . నువవు తరువాత ఏం చేయ బో తుననావు ?
तुम डे वि ड को डॉ न ल के पास घर पहुँ चा दो गी ?	డే వి డ ని మా ఇంట లో డో న ల కి అ పప గి ంచ గల వా ?
- हो सकता है . - होगा .	- చేయ గల దు . - చే సతుంది .
- चलो . बद ला व आए गा . . . - बद ला व आए गा . . .	- చెపప ండి . మార తా యి . . . - అవి మార తా యి . . .
शायद साल ों पहले कु त त ों की द ौ ड में लगा ए किसी दा ं व की वजह से .	డా గ రే సు ల సమయం లో సం వ త సర ాల కింద ట ఏదో పరి చ యం ఉ ండి ఉంటుంది .
चार म ही ने पहले तुमहारे जी जा जी ने मार कर हो ट ल के सामने हुई	మీ బా వ తన కారు కు పరమా ద ం జరిగి ందని బీ మా కోసం దర ఖ ా సతు చేశారు ,
मुझे खे द है कि तुमने अपनी म ं गे तर खो दी . और अपने दोसत को भी .	నీ పరి యు ర ాలి నీ , నీ సనే హి తు డి నీ కో ల పోయి న ందుకు బాధ గా ఉంది .
तुमने ही अभी कहा कि तुम उनके साथ जाओ गी .	వాళల తో వెళ తాను అని ఇం దా కే అననా వు కదా .
- कया कहा ? - कया मुझे यहीं छोड सकते हो ?	- ఏంటి విషయం ? - ననను ఇకకడ వి డి చి పె డ తా వా ?
- ज ॉन प ॉल , अगर . . . - यह रिश ता तो ड दो .	- జా న పాల , నువవు గ నుక . . . - పూరతి చేయి .
उनहें कैसे पता चला ?	వీ ళల కి ఎలా తెలుసు ?
मि ना . मैं बै का हूँ .	మి నా . నేను బె కా ని .
नहीं , नहीं होगा . मैंने ये चु रा ई हैं .	లేదు , న మో దు కా వు . వాటి ని దొ ం గి లి ంచా ను .
नहीं . नहीं , दरअसल वह मेरी म ं गे तर थी .	లేదు . లేదు , తను నిజ ానికి నా పరి యు ర ాలు .
मि स मर फी कह ती हैं कि अगर स हम त न हो , तो ना कहना चाहिए ,	మన కి ఇషటం లే నపపుడు మనం నో చెపప ాలి అని మి స మర ఫీ చెపపి ంది ,
म ॉ म , कया हम अब पा नी में उ तर सकते हैं ?	అమమా , ఇపపుడు మేము నీ టి లోకి వెళల చచా ?
मै ट , मुझे खुशी हुई कि तुमने फोन किया .	మయా ట , నువవు మాటలాడ టం సంతోష ంగా ఉంది .
हाँ , हाँ . भूल गया था कि तुम नर स हो .	అవును , నిజం . మీరు న రస అని మర చి పోయా ను .
नहीं , नहीं . मैं अपनी बह नों के साथ थी .	లేదు , లేదు . నా అ కక చె ల లె ళల తో ఉననాను .
जगह ? इस हो ट ल का नाम कया है ? या . . .	ఏ పర దేశం ? ఈ హో టల పేరు ఏంటి ? లేదా . . .
धनयवाद , बहुत - बहुत धनयवाद , इं स पे क टर .	ధనయవాదాలు , చాలా ధనయవాదాలు , ఇ న స పె క టర .
इससे बढिया पा ई कोई नहीं बना सकता . पे सट री हो या न हो .	ఈ వి డ చేసే మి ఠ ా యి లకు సా టి ఉండ దు . పే సట రీ అయి నా ఇం కే ద యి నా .
- धत . - तुम जी त गई ?	- ఛ . - నీకు వచచి ందా ?
चलो भी ! जा री रख ो .	చెపపు ! ఇంకా చెపపు .
अ रस , हमें गरेस का फोन नहीं आया है .	ఉ రస , గరేస నుండి మన కి ఏ సమా చా రం లేదు .
खैर , देखो यह . . .	సరే , చూడు ఇది . . .
जब तक उनहें सब ूत नहीं मिल जाता है .	సమా చా రం దొ రి కే వర కూ ని దర పో యే లా లే రు .
तुमने ला इ ब रे री से कि ता ब ें चु रा ई ं ?	లె బర రీ నుండి పు సత క ాలు దొ ం గి లి ంచా వా ?
- म ॉ ली , अपना . . . अपना को ट लो , ठीक है ? - कया ? कयों ?	- మో లీ , పద . . . నీ కో టు తీసుకో , సరేనా ? - ఏంటి ? ఎందుకు ?
माफ नहीं , मजा किया नहीं है . यह . . . यह बेहद घ ृ ण ित है .	కషమించు , ఇది అలా లేదు . అది . . . అది ఘ ో ర మెన ద ృ శ యం .
स पता हा ंत के लिए . वैसे मुझे लगता है , तुमहें इसकी जरूरत नहीं पडे गी .	ఈ వా రా ంతా నికి ఒక బహు మా నం . ఖచచితంగా చెబు తుననాను , ఇది నీకు అవసరం ఉండ దు .
बस बी मा के लिए तुमहारे जी जा जी की दु र घट ना को लेकर	పరమా ద ంలో మీ బా వ మ రణ ి ంచడం గురించి కేవలం కొనని పర శ నలు
तुम बेहद नी च हो .	నువవు నీ చు ర ాలి వి .
- हाँ , सब . . . सब बढिया है . - मैंने कहा था अग ली बा री तुमहारी होगी .	- అవును , అంతే . . . అంతా బాగానే ఉంది . - ఆ తరువాత నువవే అని చెపపా ను కదా .
तुमहें और चाहिए ?	మీకు ఇంకా కా వ ాలా ?
और यह जलदी करो , इससे पहले कि मेरा फै सला बदल जाए .	పె గా నా మన సు మార క ము ందే , ఈ పని ని తవర గా పూరతి చేయ ండి ,
कया बि बी वहाँ है ?	బీ బీ అకకడ ే ఉందా ?
हाँ . हाँ , माफ करना . हाँ , वह . . .	ఉంది . ఉంది , కషమించు . సరే , తను . . .
नहीं . शायद उनहोंने मुझे उसे सौ ं प ने से पहले सिर के में न ह ला या था .	లేదు . వాడిని బి డ డ గా నాకు ఇ చ చే ముందు వె ని గర లో ము ంచి ఇ చచా రు అనుకుంటా .
मैं एक पु रा ने दोसत के साथ लं च कर रही थी और . . .	నేను ఒక పా త మి తరు ర ాలి తో భ ో జ నం చేసతుననా ను ఇంకా . . .
यह शान दार सु झा व है . कया तुम उसे ठीक करवा स को गी ?	అది మంచి ఆలోచ న . వాటి ని పు న రు దధ రి ంచడం సా ధ యం అంటా వా ?
मैं बस टा इ म पास नहीं कर रही हूँ .	అది , తా త క ాలి క సంబం ధం క ననా ఎ కకు వే .
कया हुआ ? वह मुझे ता ना मार रही थी .	ఏంటి ? తను అంత పొ గ రు బో తు గా ఉంది .
- बद ला व आए गा . . . - बद ला व आए गा . . .	- అవి మార తా యి . . . - మార తా యి . . .
उनके पास शक की कोई वजह नहीं है .	మన లని అను మా ని ంచ ాల సిన అవ సర మే లేదు .
- तुम शा वर में मुझे याद कर सकती हो . - मैं तुमहारे सि वा ए और कुछ नहीं सोच ती हूँ .	- స నా నం చే సతునన పపుడు నా గురించి ఆలోచి ంచు . - నేను ఇం క దే ని గురించి పెదద గా ఆలోచి ంచ ను .
यह चि कि त सी य ज ञ ा न काफी मदद गा र सा बि त होता होगा .	ఆ వె దయ వి జ ఞ ా నం అంతా మీకు ఉ ప యో గ పడు తుంది అనుకుంటా .
मैंने तुमहें बु री तरह फ ँ सा लिया , अ र सला गा र वी .	నువవు పూరతి గా నా అ దు పు లోకి వచచా వు , ఉ ర సు లా గా ర వీ .
मैं पहले की तरह महसूस करती हूँ , समझ ी ? जब मैं . . . जब मैं उसके साथ होती हूँ .	అతని తో చాలా పరి చ యం ఉనన టలు అనిపి సతుంది , తెలుసా ? నేను అతని తో . . . అతని తో ఉనన పపుడు .
- मुझे . . . मुझे बेहद खे द है . - मन - मर जी की ह द है .	- ననను . . . ననను చాలా కషమి ంచాలి . - చెతత స వే చ ఛ .
- घ बरा ना . . . घ बरा ना मत कयोंकि . . . हाँ . - मैं . . . मैं बाद में फोन कर ूँगी .	- వదదు . . . కంగా రు పడ కు ఎందుకంటే . . . అవును . - నేను . . . నేను తరువాత ఫోన చేసతాను .
सुनो , तुम मुझे नहीं जानते हो .	విన ండి , నేను ఎవరో మీకు తెలియదు .
कि तुमहें मुझसे उस रात मिल कर बेहद खुशी हुई .	ఆ రోజు రాతరి నా అంద ం చూ సి ము గ ధ ు డి వి అయి పోయా వు .
मा इ कल , बेटा , ऊपर जाकर तैयार हो जाओ , ठीक है ?	మె ఖ ే ల , బంగా రం , మే డ మీద కి వెళలి త యా ర వ వు , సరేనా ?
दूस रा वि कल प है कि हम उस कमी ने को मार डाल ें .	రెండ ో ఉ పా యం ఏమి ట ంటే ఆ చెతత వెధ వని మనం చం పే య ాలి .
वह पूरा दिन घर पर ही होगा . बहुत - बहुत धनयवाद . बाद में मिल ूँगी .	తను రో జ ంతా అకకడ ే ఉంటా డు . చాలా ధనయవాదాలు . తరువాత కలు సతాను .
बेहद सु ंदर बात क ही . तुमने यह कहाँ से सुना ?	సరే , అది చాలా చ కక గా ఉంది . ఆ మాట ఎకకడ వి ననా వు ?
- यह . . . हाँ , मुझे फोन करना , ठीक है . - ठीक है .	- అది . . . అలాగే , నాకు ఫోన చేయి , సరే . - సరే .
अ रस ! अ रस , रुको !	ఉ రస ! ఉ రస , ఆగు !
चु प रहो , ना इ ल !	నో రు మూ యి . న య ల !
हम यह सो म वार को करेंगे . उस दिन केवल वही क ले जा खा ता है .	మేము లి వర డే రోజు చేయ బో తుననాం . ఆ చెతత వెధవ మాతరమే తి ంటా డు .
मेरे . . . मेरे ब गी चे में फ ॉ य ल मत फ ें क ना .	వదదు . . . నా తో ట అంతా ఈ కా గి త ాల తో ని ం ప క ండి .
नहीं , नहीं , मेरे पास वि ध वा की अन ुम ति है .	లేదు , లేదు . నా దగగర ఆ వి తం తు వు అను మ తి ఉంది .
फो टो बेहद पसंद आई . - खुशी हुई . बात नहीं कर सकती . परिवार के साथ हूँ	నా ఫో టో నాకు న చచి ంది . - సంతోష ం . ఇపపుడు మాటలాడ లేను . కుటుం బ వే డు క లో ఉననా .
- बस अंदर बैठ ो . बस . दरवा जा बंद करो . - हे भगवान . कया तुम बस . . . अ रस !	- లోప ల కూ రచ ో ండి . అంతే . తలు పు మూ సే య . - ఓహ , దేవుడా . నువవు ఆగు తా వా . . . ఉ రస !
हाँ , कि सम त वाले हो कि मैं मिल गई . मैं मा इ कल को उसके अप ॉ इं ट में ट के लिए ले जाने वाली थी .	సరే , అద ృష టం కొ దద ీ మీరు కలి శా రు . నేను మె ఖ ే ల ని డా క టర దగగర కు తీసుకు వెళల ాల సి ఉంది .
वह दोबारा जी व ंत हो गया है .	మళలీ మే ల కొ నన టలు అనిపి సతుంది .
लै मन मर ै ंग पा ई . इसका बे स बि स कु ट से बना है ,	ని మమ కా య క రీ మ పె . కింద బి స కె ట అ చచు ఉంది ,
वह आज सु बह जा गा ही नहीं . नी ंद में ही दिल का द ौ रा पड गया .	వాడు ఈ ఉద యం ని దర లే వ లేదు . ని దర లోనే గు ండ ె పో టు వచచింది .
कया मुझे यहीं छोड सकते हो ?	ననను దయచేసి ఇకకడ ది ం పే సతా వా ?
पकका ला ल बा ल वाले ने मेरे द वाई के द राज की त ला शी ली होगी .	ఆ ఎ ర ర జు టటు గా డు నా మ ందు ల అ ల మా రా ని పరి శ ీ లి ంచి ఉంటా డు .
म लि न - सै रा गो जिन दवा रा नि र मि त	బె ల జి యన సి రీ స క లా న ఆ ధా ర ంగా
पक ड लिया . आ ं टी बै का , मुझे कुछ मिला है !	దొ రికి ంది . ఆ ంట ీ బె కా , నాకు ఏదో దొ రికి ంది !
ए , गरेस के पास बै ंक खा ता ही नहीं है . वह श ॉ पि ंग के लिए म ॉन जो इस ते माल करती है .	హేయ , గరేస కి తన స ొ ంత బ యా ంక అ క ౌ ంట కూడా లేదు . తను మో ం జో బ యా ంక ద వా రా షా పి ంగ చే సతుంది .
आकर ठीक किया ? फोन करने की कोशिश की थी .	ఫర వాల ే దా ? నేను కాల చేయ డానికి పరయతని ంచా ను .
बस एक छो टी सी ग ड ब ड से डर कर , मैं हार नहीं मान ूँगी , इ वा .	ఒక చినన వె ఫ ల యం జరిగి ందని మనం వి ర మి ంచుకో కూడదు , ఈ వా .
आ मत ौर पर हम वही खा ते हैं .	మేము సా ధా రణ ంగా అదే తి ంటా ము .
- उनहोंने इंतजार करवा या . . . - मैं कुछ सुन ना नहीं चाहता .	- వాళలు ని రీ కషి ంచారు . . . - నాకు ఇ దంతా వి నా లని లేదు .
इससे उस पर मेरा धयान गया .	అది నా ద ృష టి ని ఆ కర షి ంచింది .
- और . . . - " कॉ नो ली के नाम ! "	- ఇంకా మరి . . . - " కా న లీ ! "
चलो , मैं तुमहें सि खा ता हूँ .	పద , నేను నీకు నే ర పి సతాను .
बाद में फोन कर ूँगी . अ ल वि दा .	మళలీ కాల చేసతాను , ఉంటా ను .
कया हुआ ? अजीब तरह से कयों बोल रही हो ?	ఏంటి ? ఎందుకు అలా పిచచి గా మాటలాడు తుననావు ?
और हमारा पक डे जाने का कोई इ रा दा नहीं है .	అలాగే , మాకు పటటు బ డే ఉదదేశం కూడా లేదు .
ठीक है . मुझे . . . मुझे तुमसे पयार है !	సరే . నేను . . . నేను నినను పరే మి సతుననాను !
आ ं टी बै का ने कहा था कि उनके पास मेरे लिए खास अं डा है .	నా కోసం పర త యే కంగా ఒక ఎ గ ఉ ందని బె కా ఆ ంట ీ చెపపి ంది .
मै ला हा ई ड के एक डि टे क टि व इं स पे क टर का पता मिला है .	డి టె క టి వ ఇ న స పె క టర కోసం మ ల హె డ లో ఒక రి ని సం పర ది ంచా ను .
अरे , चलो भी .	ఓహ , ఇలా చూడు .
अरे , देखो , ब ला न ड के पास बा उ ं सी कै स ल है .	ఓహ , చూడు , బ లా న డ దగగర బు డ గ ఇ లలు ఉంది .
हाँ . हाँ . बेशक , अंदर आओ .	అవును . ఖ ా ళ ీ యే , లోప లి కి రా .
मैं बस झूठ बोल ती हूँ , और ध ो खा दे ती हूँ .	నేను అబ దధ ాలు ఆ డా ను , మో సం చేసతుననా ను .
अ रस , हम . . .	ఉ రస , మనం . . .
कया हो रहा है , म ॉ म ? म ॉ म !	ఏం జరుగు తోంది , అమమా ? అమమా !
बीच में हूँ .	మధయ లో ఉననాను .
