मार कस .	మార కస .
तुमहारी तरह हमेशा सही रा सता अपना ने की आ जा दी नहीं है .	నాకు ఉనన త నె తి క వి లు వ లు కలి గి ఉండే ంత పరిసథి తి లేదు .
तुमने मुझसे वह सब वापस करवा या , एक - एक घर जाकर .	నువవు నాతో అన నీ వెన కకి ఇ పప ి ంచా వు , ఒక కో ఇంటికి .
तो यहाँ आने के लिए आप सब का बहुत - बहुत शुकरिया .	కాబటటి ఇకకడికి వచచి న ందుకు అంద రికీ ధనయవాదాలు .
तो , अब मैं ब लै क माम बा नाम रख सकता हूँ न ?	అయితే , నా పేరు ఇక బ లా క మా ం బాగా ఉండ వచచా ?
सुनो , च ूँ कि हमारे पास रे डियो नहीं हैं ,	హే , మన వ దద సమా చా ర పరి కర ాలు లేవు కాబటటి ,
जहाँ तक मैंने सुना है , ग लो रि या बो ना ल डे	నేను వి నన దానని బటటి , గ లో రి యా బ ొ ండ ే ల కి
तो लोगों से जब र न यह कब ूल कयों करवा या ?	మరి ఈ బ లవ ంత పు నే ర అ ంగ ీ కార ాలు ఎందుకు ?
वहाँ 5 0 से जयादा स था नी य लोग काम करते हैं . हम उन सबसे पूछ ता छ कर रहे हैं .	ఆ భ వ నం లో 5 0 కంటే ఎకకువ మంది సథా ని కులు పని చేసతుననా రు , అంద రి నీ పర శ ని సతుననా ం .
मै क डि ल वा यु से ना छा व नी ट ै ं पा , फ लो रि डा	మా క డీ ల విమా న ద ళ బ ే స టా ం పా , ఫ లో రి డా
अस पता ल में बा य ी ं आँख से घ ा य ल आदमी को ढ ूं ढ ने के लिए मैंने लोग लगा ए हैं .	ఎడ మ క ంట లో ద ె బబ త గ గి న వయకతి కోసం నా మను ష ు లు అనని ఆ సు ప తరు లు వె తు కు తుననారు .
तुमने हमेशा मेरी सला ह की क दर की है .	నా స ల హా కి ఎపపుడూ వి లు వ ఇ చ చే వాడి వి .
" वे अ ंत में हमेशा आ जा द रह ते हैं ! "	చి వ రికి ఎపపుడూ స వే చ ఛ పొ ందు తారు ! "
मतलब इस ज ंग ल में जाने और बाहर आने के लिए हमारे पास बस यह ना व ही है .	అంటే , అడ వి లోకి పో వడానికి , బె టి కి రా వడానికి , ఈ పడ వే మన ఏ కె క మా రగ ం .
जब तक है एक ता , कोई हरा नहीं सकता !	ఐ క మ తయ ంగా ఉనన జ నం ఎపపుడూ ఓ డి పో రు !
- लो , मेरा वाला ले लो . - शुकरिया .	- ఇది గో , నా ది తీసుకో . - ధనయవాదాలు .
पर असल में वह करा ं ति नहीं चाहते .	కానీ అతనికి నిజంగా వి ప ల వం వదదు .
यहाँ आने का बहुत - बहुत शुकरिया .	వచచి న ందుకు అంద రికీ ధనయవాదాలు .
और परा र थ ना के बाद , सब अपने घर के बाहर कोई भ ें ट रख ते थे .	పరా రథ న తరువాత , పరతి ఒకక రు తమ ఇంటి బె ట నె వే ద యం పెటట ే వాళళు .
- तुम हो जे से मिले हो . - सर .	- నువవు జో సట ని కలి సా వు . - సర .
इ ली , शुकर मना ओ . हमारी कि सम त अचछी है कि हमारे पास है म है .	ఐ లీ , సంతో షి ంచు . మనం హా మ తి న గ లు గు తుననా మ ంటే అద ృష ట వం తు ల ం .
और हम इसे वापस लेकर र हें गे !	మనం దీ నని వెన కకి తీసు కుంటా ం !
रे य स ज ंग ल में कया कर रहा है ?	రే యే స అడ వి లో ఏం చేసతుననా డు ?
मी रा फ लो रे स करा कस , वे ने जु ए ला	మీ రా ఫ లో రె స క రా కస , వె నిజ ు లా
वह अपने काम में मा ह िर है .	తన పని తాను బాగా చే సతుంది .
तुमने मुझे शे यर बा जार के लिए एक भी सला ह नहीं भे जी .	మీ రె తే నాకు ఒకక సారి కూడా సటా కల గురించి స ల హా ఇవవ లేదు .
पता नहीं किस पर यकीन कर ूँ .	ఏం నమమ ాలో నాకు తెలీ ట లేదు .
और हम पिछ ले हफ ते के मु का ब ले चार प ॉ इं ट आगे आ गए हैं .	ఇంకా గ త వా రం నుండి మనకు నాలు గు పా యి ంట లు పె రి గా యి .
- ज म कर पढ ा ई करना . - जरूर .	- బో లె డు నే రచు కో . - అలాగే .
मैं आपको बता ना चाहता हूँ कि वे ने जु ए ला आपके साथ है .	వె నిజ ు లా మీ వెన కాల ఉ ందని మీకు తెలియ ాలి అను కుననా .
ठीक है , ऊ बर , हमें ले चलो .	సరే , ఉ బె ర , మన ది శ మా రచు .
राज बस इतना है कि तुम अपने लिए एक जब र द सत ए स ए ंड पी 5 00 इं डे कस फ ंड ले लो .	నువవు నిజంగా మంచి ఎ స & a m p ; పి 5 00 సూ చి క ని ధి కొ నుక కో వ డ మే అసలు ర హ స యం .
मुझे अ मरी की सा ंस द के बारे में कयों नहीं बताया ?	నాకు అ మె రిక న సె నె టర గురించి ఎందుకు చెపప లేదు ?
तुमहारा अं दा ज गलत था . जाने का वकत हो गया है .	నువవు తపపు నిరణ యం తీసు కుననా వు . ఇక మనం వెళళ ాలి .
न दी के इस हि स से पर पा नी का कोई भरो सा नहीं है ,	న ది లో ఈ భా గ ంలో నీ టి ఒ ర వ డి అన ూ హ య ంగా ఉంటుంది ,
अपना जू स मत भूल जाना .	జ యూ స తా గ డం మర చి పో క ండి .
- शुकरिया . - माफ करना , हमें देर हो रही है .	- ధనయవాదాలు . - కషమి ంచాలి , మాకు ఆ లస యం అవు తుంది .
पर धयान रख ना होगा कि वह कया बोल ती है , खास कर नि को ल स के बारे में .	కానీ తను ఏమ ంటు ందో మనం గ మని ంచాలి , అ దీ ని కో లస గురించి మాటలా డి నపపుడు .
मुझे दिल की बी मा री है .	నా గు ండ ె లో సమసయ ఉంది .
इसे ड ु बा ना चाहते हो ?	దీ నని ము ంచు తా వా ఏంటి ?
इस ने ही मे ट रो में सु ले मान का पी छा किया था .	మె ట రో సట ే షన లో సు లే మా నని వె ంటా డి ంది ఇ త నే .
गु ड म ॉर नि ंग . कैसे हो ?	శు భ ో ద యం , ఎలా ఉననారు ?
लोगों में जो श ज गा ने के लिए कोई जा दू कर ूँ ?	ఏదెనా మయా జి క చేసి , ట జ నా నని ఉ త సా హ పర చ నా ?
हमें यहाँ से 5 00 मी टर द कष ि ण में ले चलो .	మమ మ లని ద కషి ణ ానికి 5 00 మీ టర ల దూ రం లో ది ంపు .
टॉ म कल ै न सी ज जै क रा यन	టా మ క లా నస ీ స జా క రెన
माफ करना , ऊ बर , पर तुमहारा नाम ऊ बर ही है .	కషమించు , ఉ బె ర , కానీ నీ పేరు చెతత ఉ బె ర .
मैंने उसे नहीं मा रा .	అత నని నేను చం ప లేదు .
कोई फ ल , खाना , जो भी उनके पास होता था .	కొనని ప ళళు , ఆ హా రం , వారి వ దద ఉంది ఏదెనా .
भा ड में जा ऊँ ? किस हाथ से गोली चला ते हो ?	నేను చా వ ాలా ? నువవు ఏ చే త తో క ాలు సతా వు ?
उ तर ने की जगह से दस कि लो मी टर दूर हैं .	ది గ ాల సిన పరా ంతా నికి ప ది కి లో మీ టర లు ంది .
- रा यन को सबसे जयादा चो ट आई . - ठीक है .	- రెన పె నే ఎకకువ పర భా వం పడి ంది . - సరే .
पसंद होना ही चाहिए .	ఇష ట పడి తే నే మంచిది .
मुझसे कया चाहती हो ?	ననను ఏం చేయ మ ంటా వు ?
उनहोंने अधि क तर डि ब बे ह टा कर किसी ऊँ ची जगह रख दि ए होंगे .	వాళళు దా దా పు క ంట ె యి న ర ల ననీ ఎ గు వ భ ూ మి కి తర లి ంచిన టటు ఉననారు .
न उनका अं दा ज है , न वे इस का बिल हैं .	వారి శ ె లి కాదు , వారి క ంత నె పు ణ యం లేదు .
और अपने पति सर जि यो के सम मान में किया ,	ఇంకా నా భ ర త సే రి గో గ ౌ ర వా రథ ం చేసా ను ,
मैं काम चला ल ूँगा .	నేను చూ సు కుంటా ను .
ना व में एक छे द है .	పడ వ లో రం ధ రం ఉంది .
तुम सट े शन ची फ हो .	నువవు సట ే షన ఛ ీ ఫ వి .
उसे बहुत पसंद आई .	తన కి చాలా న చచి ంది .
मैं गु स से में था .	నాకు కో పం వచచింది .
" वे ने जु ए ला हमारा परिवार है , मि गे ल . "	" వె నిజ ు లా మన కుటుం బం , మి గ వె ల " అని .
ब डे साह ब यहीं हैं .	బా స ఇకకడ ే ఉననాడు .
और मैंने वही किया .	నేను చేసి ంది అదే .
अगर तुमहें कुछ बता ने की जरूरत होगी ,	నువవు తెలుసు కో వల సింది ఏదెనా ఉంటే ,
हम अपने अधि कार सर कार को दे रहे हैं ,	మనం మన హ కకు లను రా షట రా నికి ఇ చ చే ది ,
हाँ , यह बे कार है .	అవును , అది చెతత .
हम अपना पया रा व त न वे ने जु ए ला आपके ह वाले करते हैं .	మా పరి య మెన వె నిజ ు లా దే శా నని నీ చే తు లలో పె డు తుననా ము .
लो , यह तुमने गलती से गि रा दिया था .	ఇది గో , ఇ వి పా రే సు కునన టటు ఉననావు .
अ मो निय म ना इट रे ट ?	అమమ ో ని యం నె ట రే టా ?
उनहें वापस न दी में मत जाने देना !	వాళళ ని న ది లోకి తిరిగి వెళళ నివ వదదు !
- है कि नहीं , ऊ बर ? - जैसा यह क हे .	- అంతే కదా , ఉ బె ర ? - అత నే మ ంటే అది .
ता कत का इस ते माल करने , ध म का ने और इसकी इ जा ज त देने का अधि कार होता है .	బె ది రి ంచ డానికి , లేదా అ ధి కార మి వ వడానికి పర త యే క హ కకు కలి గి న సం సథ .
हमें तो वहाँ होना भी नहीं चाहिए .	మనం అసలు అ కకడికి వెళళ దదు కూడా .
इसका नाम ऊ बर है .	ఇ త ని పేరు ఉ బె ర .
हम पहुँच गए हैं .	మనం చే రు కుననా ం .
यहाँ आने का बहुत - बहुत शुकरिया .	ఇకకడ ఉనన ందుకు అంద రికీ ధనయవాదాలు .
कौन सुन रहा है ?	ఎవరు వి ంటుననా రు ?
ग लो रि या बो ना ल डे ,	గ లో రి యా బ ొ ండ ే ల ,
तुम एक माल वाह क बंद र गा ह पर गए ,	నువవు కా రగ ో ది ంచే రే వు కి వెళళి ,
पक ड लिया , बॉ स .	పటటు కుననా , బా స .
रा ष टर पति रे य स बद ला व ला ने की ,	పర ె సి డె ంట రే యే స మార పు గురించి ,
वे जो भी थे , बहुत सोच - समझ कर काम करते हैं .	వాళళు ఎవరెనా కానీ , చాలా వయ వ సథ ీ క ృ తంగా ఉననారు .
- देखो तुमने कया शुरू कर दिया . - तो कया हुआ ?	- నువవు ఏం మొద లు పెటటా వో చూడు . - అయితే ఏంటి ?
इस देश में बहुत सारे लोगों के पास खा ने को कुछ नहीं है .	తి న డానికి సరి ప డా తి ండి లేని వాళళు ఈ దేశం లో చాలా మంది ఉననారు .
ये सब यहाँ आपके लिए आए हैं .	వాళళు ఇకకడికి మీ కోసం వచచా రు .
ए फ ए एल एक छो टी सी वा म प ं थी वि द रो ही से ना है .	ఎ ఫ ఏ ఎ ల చాలా చినన లె ఫ టి సట వి ప లవ కారు లు .
करा ं ति की बातें करते हैं ,	వి ప ల వం గురించి మాటలాడు తా డు ,
ओ य , नए बं दे .	హే , కొతత వా డా .
मेरे वहाँ पहुँच ने से पहले वे भाग गए थे .	నేను చే రు కునే లో గా వాళళు వెళళి పోయా రు .
तुमने यह कल भी माँ गा था .	నువవే ని నన అది కావాల ననా వు .
कोई बात नहीं . मैं जानता हूँ कि तुम बहुत तना व में हो .	ఫర లేదు . నువవు చాలా ఒ తతి డి లో ఉననా వని నాకు తెలుసు .
फा इ बर ग ला स में द रा र आ गई है , पर मैं ठीक कर सकता हूँ .	ఫె బ రగ లా స ప గి లి ంది , కానీ నేను దానని బాగు చేయ గలను .
डॉ क टर , तुम इस च िर कु ट को संभाल लो गे ?	డా క టర , ఈ వెధవ సంగ తి నువవు చూ సు కుంటా వా ?
दोसत ों , हम त ट से 2 0 कि लो मी टर से जयादा दूर हैं .	మనం తీ రా నికి 2 0 కి లో మీ టర ల కంటే ఎకకువ దూ రం లో ఉననా ం .
कयोंकि म चछ र कार बन डा इ ऑ क सा इ ड की ओर आकर ष ित होते हैं ,	ఎందుకంటే దో మ లు కార బ న డె ఆ క సె డ కి ఆ కర షి ంచ బడ తా యి ,
सवाल यह है कि लोग सर कार को कयों पसंद करते हैं ?	ఇకకడ పర శ న ఏంట ంటే , జ నా నికి రా షట రం అంటే ఎందుకు ఇషటం ?
- मै कस वे बर . - मै कस वे बर .	- మా కస వె బర . - మా కస వె బర .
- हे भगवान ! - दोबारा आवा ज की , तो एक और का ट द ूँगा .	- దేవుడా ! - చినన శ బ ద ం వచచి నా , ఇం కో టి తీ సే సతాను .
सब फ टा फ ट ना व से उ तर जाओ .	అంతా ముందు పడ వ ది గ ండి .
मेरे साथ चलो , तुम दोनों .	నాతో పాటు రండి , ఇదద రూ .
- तो उनहें है म खिला ओ . - बहुत हुआ .	- ఈ హ యా మ వాళళ కి తి ని పి ంచు . - ఇం క చ ాలు .
अचछा , अब मुझे जाना होगा . शुकरिया .	సరే , నే నిక వెళళ డం మంచిది . ధనయవాదాలు .
जैसा कि तुम सब जानते हो ,	మీ అంద రికీ తెలి సిన టటు ,
- चलो . हमें जाना होगा . - कहा न , मैं ठीक हूँ !	- పద . మనం వెళల ాలి . - నీకు చెపపా ను , నేను బాగు ననాను !
किसी को पता भी नहीं चले गा कि हम यहाँ आए थे .	మనం ఇకకడికి వచచా ం అనన విషయం కూడా ఎవ రికీ తెలీదు .
और यहाँ पर है ऊ बर ड ू बर .	ఇకకడ ఉనన ది ఉ బె ర డ ూ బర .
मैं तुमहें और रा यन को छोड कर ऊ बर को ले ने वापस जा ऊँगा .	నినను , రె నని ది ం పి న తరువాత , మేము ఉ బె ర కోసం తిరిగి వెళ తా ం .
शुकरिया , म टे यो . तुम जा सकते हो .	ధనయవాదాలు , మే టి యో . నువవు వెళళ వచచు .
बहुत - बहुत शुकरिया , और यहाँ आने का भी शुकरिया .	ధనయవాదాలు , ఇంకా ఇకకడికి వచచి న ందుకు థాంక స .
अपने हाथ सिर पर रख ो .	చే తులు తల మీద పెటటు కో .
और मेरे खया ल से लोगों को लग ना चाहिए कि कोई उनकी हि फा ज त कर रहा है .	తమ ను ఎవరో ఒక రు కా పా డు తుననా రని పర జ లు భా వి ంచ ాల సిన అవసరం ఉంది .
वे ने जु ए ला के अ ख बार ों में नहीं , पर पे रू ,	వె నిజ ు ల ాలో ని వార తా ప త రి కలు కాదు , కానీ పె రు ,
दर ज नों ला पता देश परे मि यों पर जाए ,	డజ న ల కొ దద ీ కనిపి ంచ కుండా పోయి న
तुम प लट कर का ट ते हो ?	నువవు తిరిగి కు డ తా వా ?
तो , अब हम कया करें ?	అయితే , మనం ఏం చే దదాం ?
नि को ल स उसके अं कल हैं .	ని కో లస ఆమె కు అ ం కు ల .
यह नहीं चले गा . तुम ना व संभाल ते हो , है न ?	అది కు దర దు . నువవు పడ వ న డు పు తా వు కదా ?
मैं ठीक हो जा ऊँगा .	ఫర లేదు , త గ గి పో తుంది .
हमें पता है कि वे न दी से आगे गए हैं .	వాళళు న ది కి ఎ గు వ గా వెళళ ా రని మనకు తెలుసు .
हर र वि वार हमें परा र थ ना में जाना पडता था .	పరతి ఆ ది వా రం చ ర చి కి వెళల ాల సి వచచే ది .
उसकी उ तनी ही क दर करता हूँ जिस के वह का बिल है .	నేను అతనికి ఖచచితంగా ఎంత వి లు వ ఇవ వాల ో అంత ఇ సతాను .
" मो र टन हा उ गल ै ंड " ?	" మార టె న హ ౌ గల యా ండా " ?
हम दोनों भ ू खे थे .	ఇదద రం ఆ కలి తో ఉననా ం .
शुकरिया , रॉ ड रि गो .	ధనయవాదాలు , రో డ రి గో .
जन म दिन की पार टी में मजा आया ?	1 5 T H బర త డే ఎ ం జా య చేసా వా ?
एक ऐसी सं स था जिस के पास अपनी सी मा में रह ने वाले ना गर ि कों पर	తన భ ూ భా గ ంలో ని ని వా సి తు లకు వయ తి రే కంగా భ ౌ తి క శ కతి ని ఉ ప యో గి ంచ డానికి ,
धत ते रे की ! उप कर ण गी ले हो गए हैं .	అయ యో ! ఎ ల క ట రా నిక పరి కర ాలు త డి చి పోయా యి .
इसे ठीक करने में कितना वकत लगे गा ?	దీ నని బాగు చేయ డానికి ఎంత సే పు అవు తుంది ?
वह ता ना शा ही उसकी ता कत त य करती है .	గు త తా ధి ప త యం దాని శ కతి ని నిరణ యి సతుంది .
हाँ , चलो !	సరే , పద !
वे ने जु ए ला के त ट के पास कै रि बि यन सा गर	వె నిజ ు లా క రే బి యన స ము ద రం తీ రం పె న
सब ना व से उ तर जाओ .	అంతా పడ వ ది గ ండి .
अ मरी का से न फ रत तो उनके उस ूल ों में भी नहीं है .	అ మె రి కా వయ తి రే క త అనే ది వారి రక తం లో లేదు .
उनहोंने फर श तक साफ कर दिया .	వాళళు నే ల కూడా ఊ డ చేసా రు .
कुछ नहीं .	ఏమీ లేదు .
धी रे से .	ని దా న ంగా .
ऊ बर ? बकवास है . ब लै क माम बा .	ఊ బ రా ? చెతత . బ లా క మా ం బా .
मैं ल ु इ जि या ना का बं दा हूँ .	నేను లూ యి సి యా నా వాడిని .
कोई परे शा नी है कया , मि गे ल ?	ఏమెనా జరిగి ందా , మి గ వె ల ?
वह नि शा ने पर कयों होगी ?	తన ను ఎందుకు లకష యం చేసతా రు ?
रा यन ? कया मतलब ?	రె నా ? ఏమ ంటుననా వు ?
मैं गाडी चला ऊँगा .	నేను న డు పు తాను .
ठीक है , चल ते हैं .	సరే , పద వెళ దాం .
और कि से पता है ?	ఇం కె వ రికి తెలుసు ?
हाँ , वे मुझसे प ं गा नहीं ले ते कयोंकि वे सच जानते हैं .	అవును , వాటి కి నా గురించి నిజం తెలుసు కాబటటి నాతో పెటటు కో వు .
रा यन वि कि रण ों की मा त रा की जा ँच करे गा .	రెన , ఇకకడ , రే డి యే షన సథా యి లు త ని ఖ ీ చేసతా డు .
यह डा कू रा नी है डि स को .	ఈ యో ధ యు వ రా ణి పేరు డి స కో .
इसलिए म चछ र मुझे परे शान नहीं करते .	బ యూ తత వం నా న రాల లో ని ండి ఉంది .
अचछा , ऊ बर , हमें वहाँ ले चलो , ठीक है ?	సరే ఉ బె ర , మమ మ లని ఇ టు వెపు కి తి పపు , సరేనా ?
ठीक है .	వి ననా ము .
किस ने बताया कि मुझ पर नजर रख ी जा रही है ?	నా పె ని ఘ ా ఉ ందని నీకు ఎవరు చెపపా రు ?
द या की दे वी . . .	దయ గల మా త . . .
वे आपका इंतजार कर रहे हैं , ग लो रि या .	వాళళు నీ కోసం ఎదు రు చూ సతుననారు , గ లో రి యా .
कि आपका धयान सर जि यो जैसे	మా యం అయి న సే రి గో లాంటి
मुझे कुछ बता ना चाहते हो ?	నాతో ఏమెనా మాటలాడ ాలా ?
ची यर स , दोसत ों !	ఛ ీ రస , మి తరు లా రా !
यहाँ आओ .	ఇలా రా .
- सा ला ऊ बर है कहाँ ? - हम उसे ले ने वापस आ जाएँगे .	- ఉ బె ర ఎ కక డు ననా డు ? - అతని కోసం తిరిగి వ దదాం .
मैं बे ल चे स से हूँ , जो न यू ऑ र लि यन स के पास ही है .	నేను బె లలా చే స వాడిని , అది న యూ ఒ రే ల నస శి వార లలో ఉంటుంది .
कह रहा है कि बं डी और बिल ला पह न कर रख ना है .	నీ కో టు , బ యా డ జి తపప కుండా వే సుకో వాలని అ ంటుననా డు .
सि मो न बो लि वार ने एक बार कहा था ,	సె మన బ ొ లి వార ఒక సారి అననా డు ,
डॉ क टर , हमें जाना होगा . इसी वकत !	డా క టర , మనం వెళళ ాలి . వెంట నే !
मेरे ए स ए डी वाले सा थी कुछ घं टे पहले मौ के पर पहुँ चे हैं .	మా ఎ స ఏ డి సే న రెండు గంట ల కింద రం గ ంలో కి ది గా రు .
अगर हम अलग - अलग हो गए , तो तुम सब जहाँ हो व हीं रु क जाना .	ఒక వే ళ మనం వి డి పో తే , మీ రం తా ఎ కకడి వార కకడ ఉండ ండి .
न दी के काम के लिए स ॉ क - आर बेहतर ना व होती .	న ది లో ప నికి స ొక - ఆర పడ వ అయితే మె రు గగా ఉండే ది .
तु र की में तुमने कहा था कि तुम सि न सि ना टी से हो .	టర కీ లో , నువవు సిన సి నా టీ వాడి వని చెపపా వు .
मैं प लट कर का ट ले ता हूँ .	నేను తిరిగి కు డ తాను .
वे हमारे साथ त ट पर जाएँगे .	వాళళు మన తో తీ రం దగగర కు వ సతారు .
हाँ . जयादा लोग होने से कोई न ु क सान तो नहीं है .	అవును . మా నవ వ న రు లు ఎ కకు వు ంటే న ష టం లేదు .
इस ह सी ना का नाम है का यो टी .	ఇ కక డు నన ఈ చినన దాని పేరు క యో టే .
तब तक गोली मत चला ना जब तक तुम पर गोली न चले , ठीक है ? समझ गए ?	మన మీద కాల పు లు జ రి పి తే తపప కాల చ దదు , సరేనా ? అరథ మె ందా ?
कोई आ रहा है .	ఎవరో వ సతుననారు .
म ॉ स को का सट े शन ची फ और तुम .	మా స కో లో సట ే షన ఛ ీ ఫ కి ఇంకా నీకు .
मुझे आज यह नहीं चाहिए .	నాకు అది ఇ వాళ వదదు .
चलो , जलदी चलो ! उस ओर चलो .	పద ండి , పద ండి ! కి ంది కి ది గ ండి .
अ मरी की दू ता वास करा कस , वे ने जु ए ला	యు . ఎ స . ద ౌ తయ కార య ాల యం క రా కస , వె నిజ ు లా
ग ैर कान ू नी ह थ िया र ों के दस ते ढूँढ ेंगे .	అ కర మ ఆ యు ధ సా మ గ రి ఉ ందే మో చూ దదాం .
ठीक है , बात साफ कर ले ते हैं .	సరే , ఒకటి సప ష టం చేసతాను .
मेरी बात सुनो .	నా మాట వి ను .
यह एक नि ह त था सि पा ही है . हम इसे ऐसे नहीं मार सकते .	అతను ని రా యు ధ సె ని కు డు . మనం అత నని చం ప కూడదు .
मि गे ल ,	మి గ వె ల ,
ह वाई ज हा ज से कू द ते वकत रे डियो ख रा ब हो गए .	ది గి న తరువాత రే డి యో లు పని చేయ ట లేదు .
- ठीक है , तो तुम ड रा इ वर हो ? - हाँ .	- సరే , నువవు డ రె వ రు వా ? - అవును .
यहाँ आने के लिए बहुत - बहुत शुकरिया .	ఇకకడికి వచచి న ందుకు ధనయవాదాలు .
क माल की पार टी थी .	అది చాలా గొపప పార టీ .
हम केवल नि ग रा नी रख ेंगे . कोई जा ँ बा जी दिखा ने की कोशिश मत करना .	ఇది ఇంట లి జె నస ని ఘ ా మాతరమే . మీ ఇషటం వచచి న టటు చేయ దదు .
अपने घु ट नों पर बैठ ो .	మో కా ళళ మీద కూ రచ ో .
फिर अ चा न क तुम पर हम ला हुआ जिस में तुम मा रे जा सकते थे ?	కంగా రు పడి , అ కస మా తతు గా చా వాలని అనుకుంటుననా వా ?
कि कह स को कि मुझे सा ला एक इं डे कस फ ंड ख री द लेना चाहिए ?	నేను చెతత సూ చి క ని ధి కొ నుక కో వాలని చెపప డా ని కా ?
तुमहें तो वे छ ू भी नहीं रहे .	అవి నినను క నీ సం ము టటు కో వ డ మే లేదు .
तो सही भी है कि उनहोंने सा मान ह टा दिया .	కాబటటి వాళళు క ంట ె యి న ర లని తర లి ంచడం లో అరథం ఉంది .
और इसका ल ह जा बता रहा है कि कोई ग ड ब ड नहीं हो नी चाहिए , लड कों .	తను చెప తునన తీ రు ను బటటి , పిలల లూ వెధవ వే ష ాలు వే య దదు .
ठीक है , गाडी यहाँ लगा दो . सि ं को पा मस वहाँ है .	సరే , ఇకకడ పార క చె య యి . సి ం కో పాల మా స సరి గగా ఇకకడ ే ఉంది .
हम से जब र न परा र थ ना करवा ते थे . कया परा र थ ना थी ?	మన తో బ లవ ంత ంగా పరా రథ న చేయి ంచే వారు . ఆ పరా రథ న గురతు ందా ?
हाँ , पर तुमहें उससे फर क नहीं प डा .	అవును , కానీ నువవు ఆ కలి ని ప టటి ంచుకో లేదు .
वह म रि या को कुछ नहीं होने देंगे .	అతను మరి యా కు ఏమీ జరగ నివ వ డు .
- कया तुम ठीक हो ? - मैं ठीक हूँ . जाकर ना व में बैठ ो .	- నువవు బాగు ననా వా ? - బాగు ననాను . పడ వ లోకి ఎ కకు .
- हमारी स थि ति कै सी है ? - ला जवाब .	- మన పరిసథి తి ఎలా ఉంది ? - అదభు తంగా ఉంది .
इस देश में तो नहीं .	ఈ దేశం లో వి కాదు .
तुमने मुझसे कहा ,	నువవు నాకు చెపపా వు ,
मैं उनसे मिलने जा रहा हूँ , फिर न दी के साथ - साथ माल के गो दा म तक जा ऊँगा .	నేను వారి ని కలిసి , తరువాత కా రగ ో డి పో కి న ది ఎ గు వ కి వెళ తాను .
फिर हम घर लौट जाएँगे .	తరువాత మనం ఇంటికి వెళ తా ం .
