पै निक	పా నిక
कान ून के मु ता बि क , जन म दिन तक तुमहारा खया ल नहीं रख सकती .	నా పు టటి న రోజు వర కు చ టట పర ంగా నేను నినను చూ సుకో కూడదు .
हो म अ वे मो टर आ वास ए व ं स रा य	హో ం అ వే మో టా ర లా డజ మరియు ఇ న
हो म अ वे मो टर आ वास ए व ं स रा य	హో ం అ వే మో టా ర లా డజ మరియు ఇ న
अगर डॉज को पता चल गया . . .	ఒక వే ళ డా డజ కు తెలి సతే . . .
शायद अपनी गर ल फर ें ड के साथ .	అతని గర ల ఫ రెండ తో ఉననా డే మో .
कै ं ची संभाल कर चला ना , इस पर पुलिस का पूरा पह रा है .	ఆ క త తె ర లతో జా గర తత , ఆమె ప తయ రే క పోలీసు సం ర కష ణ లో ఉంది .
बो ली कि वह दु र घट ना के बारे में बात नहीं करना चाहती .	తన కు పరమా ద ం గురించి మాటలాడ డం ఇషటం లే దని చెపపి ంది .
त करी बन एक साल पहले , यह अपने परिवार के साथ यहाँ आई .	ఆమె ఇకకడికి కుటుం బ ంతో కలిసి ఏ డా ది కరి తం వచచింది .
उसने तुमहें और कया बताया ?	అతను నీకు ఇం కే ం చెపపా డు ?
सुनो , बच कर रहना , ठीक है ?	వి ను , సమసయ లో పడ కు , సరేనా ?
उसका इंतजार करना चा हो तो , एक मिनट में आता होगा .	నువవు అతని కోసం వే చి ఉంటా న ంటే , ఒక నిమిష ంలో వ సతా డు .
मैं तुमहें बता चु की हूँ .	నేను ఇది వర కే చెపపా ను గా .
माफ करना . समय पूरा हुआ .	కషమించు . సమయం ము గి సింది .
रुको , मुझे ए ह सा स हुआ कि	ఆగు , నేను ఇ పపుడే చూశా ను ,
साल ों पहले गरे जु ए शन की .	ఏ ళళ కరి తం డి గర ీ పొ ందా డు .
खिला डी - संभा वना - बा जी	ప లే య ర - అ ంచ నాలు - ప ంద ెం
नै ट ली , जज लोगों को शक है कि तुम ऐसा चाहती हो	నా ట లీ , నీకు మర ొ కరి వి జ యం లో పర త యే క ఆ స కతి ఉనన టటు
फिर से , हाँ ? तुमहारा अ सर मुझे पर हो रहा है .	మళళీ ఇం కొ క టా ? నేను నిజంగా నీ లా మా రి పో తుననాను .
हाँ , बिलकुल चाहती हैं .	అవును , ఖచచితంగా ఉంది .
यह बडी अचछी लग रही है .	ఇది ని రు త సా హ ంగా ఉంది .
पापा मदद कर सकते हैं .	మా నానన సహా యం చేయ గల రు .
जिस तरह बताया , या तो खेल पर बा जी लगा सकता था	అత న లా నమ మి ంచా డు , నేను ఆట మీద ప ంద ెం కా య ాలి ,
कया मतलब हुआ ? मेरे पैसे खतम हो रहे हैं . मुझे खेल में वापस आ ना है .	అంటే ఏంటి ? నా దగగర డబబు అయి పో తుంది . నేను తిరిగి ఆట లోకి రా వాలి .
तो मर द कैसे करते हैं .	ఎలా ఉంటా రో తెలుసు గా .
उस दिन मैं डे ना से मिला था . लगता है यहाँ आ ना उसके लिए अचछा रहा .	ఆ రోజు నేను డే నా ను చూశా ను . క ద లి కలు ఆమె కు బాగానే ఉనన టటు ఉంది .
शायद किसी को घ ो डे की लगा म च ढ ा ते नहीं देखा ?	ఎపపుడూ గుర రా నని మ చచి క చేసుకో వడం చూడ లేదా ?
- एक दम ठीक है . - अचछी रि पो रट दी , गो ल डी लॉ कस .	- సరి గగా ఉంది . - మంచి ని వే ది క , గో ల డీ లా కస .
लि ली ! आ जाओ ! हमें तुमहारी बहुत याद आई .	లి ల లీ ! రా ! మేము నినను గురతు చేసు కుననా ము .
हम मदद माँ ग सकते थे .	మేము సహా యం కోర వచచు .
तुमहें सच में क गा र पर चल ना अचछा लगता है .	నీకు ఖచచితంగా జీవితం సా హ సో పే తంగా ఇషటం .
तुम जै सी लडकी को यहाँ से दूर रहना चाहिए .	నీ లాంటి అమమాయి , ఇలా ంటి చో టు కు రా కూడదు .
मुझे उससे कहना प डा ,	నేను అతనికి చెపప ాలి ,
- ठीक है . - कया चाहती हो ? ले यर स या . . .	- సరే . - ఏ మను కుంటుననా రు ? లే య ర లా లేదా . . .
मे मो रि य ल डे के बाद . त भी उसने मुझे शा मिल करने की बात की .	స మార క ది నో త స వం తరువాత . అపపుడు అందు లో కల వ మని పరతి పా ది ంచా డు .
फर क नहीं पडता , ब ग .	అది ముఖ యం కాదు , బ గ .
उसे पता नहीं चले गा .	అతను తెలుసు కో లే డు .
मुझे पसंद करता है .	దానికి నే న ంటే ఇషటం .
वह पैसे लौ टा दे ती .	తను తిరిగి ఇ సతుంది .
ये वही कर रहे हैं ?	వాళళు అదే నా చేసే ది ?
एक समझ ौ ता किया था .	ఒ పప ంద ం చేసు కుననాను .
धयान से , डॉज . सब कुछ खेल नहीं होता .	జా గర తత , డా డజ . అనని టి నీ ఆట గా తీసుకో కు .
- पता नहीं . - मुझे रे से बात करनी होगी .	- ఏ మో తెలియదు . - నేను రే తో మాటలాడ ాలి .
और अगर तुमसे न फ रत है तो सबसे न फ रत है .	ఆయన నినను ద వే షి సతే , అంద ర ననా ద వే ష మే .
अं धे रे का डर , गिर ने का डर , और जो अ ज ञ ा त है , उसका डर .	చ ీ క ట ంటే భ యం , పడి పో తా మ నన భ యం , తెలియ ని వాటి గురించి భ యం .
और मैं दो पह र को तुमहें ले ने आ ऊँ गी .	నేను నినను మ ధ యా హ నం వచచి తీసు కె ళ తాను .
जयादा ले यर स नहीं .	ఎకకువ లే య రలు వదదు .
देखो , तुम ऐसे . . .	చూడ ండి , మీరు . . .
मैं इतनी ड री हुई थी कि मुझसे सी धा ख डा भी नहीं हुआ गया .	నాకు చాలా భయ మే సింది , నేను ని టా రు గా ని ల బడ లేక పోయా ను .
डॉज की एक बहन है ?	డా డజ కి చె లలి ఉందా ?
देर से जा ग ते हैं .	ఆ ల సయ ంగా లె గు సతా యి .
जि तने चु रा ती , उससे जयादा चाहिए थे .	తన కు కొ టటే య గల దాని కంటే ఎకకువ కావాలి .
अचछा , हाँ . सै रा रे की सौ ते ली बहन है .	సరే , అలాగే . సా రా తన స వి తి చె ల లె లు .
हेदर के बारे में कया जान ना चाहते हो ?	మీరు హే థర గురించి ఏం తెలుసు కో వాలి ?
- कया ? - लगा कि तुम उसे जानते हो गे .	- ఏంటి ? - నీకు ఆమె తెలు స ని తెలి సింది .
तुमहारी बहन होती तो तुम कया करते ?	అది మీ చె ల లె లే అయితే ఏం చేసే వాడి వి ?
तो शायद उसका भी मौ त में कोई हाथ है .	అతనికి కూడా వారి తో సంబం ధం ఉండాలి .
र च ना त म क पर य वे कष क र वी न दर श ं कर शु कल	కరి యే టి వ సూ పర వె జర : రా జే శ వర రా వు వల వల
काफी समय से को र टे ज उसे डी ए के आगे क सू र वार सा बि त करने की कोशिश में है .	కోర టె జ కొ ంత కాల ంగా డీ ఏ కు అతని పె ఆ రో ప ణ లు దా ఖ లు చేయ ాలని చూ సతుననా డు .
बो ले कि उनकी बेटी ली ला ला पता है .	తమ కూ తు రు కనిపి ంచడం లే దని చెపపా రు .
अब एक क प कॉ फी के लिए , इतनी लं बी ला इन लगा नी पड ती है .	ఇపపుడు క పపు కా ఫీ కావాల ంటే 2 0 మంది ని దా టి వెళళ ాలి .
त ंग जगह में घु टन ?	క లా సట రో ఫో బి యా నా ?
जो भी हो , पता नहीं तुमहें किस ने बताया कि रे को . . .	అది ఏదెనా , రే కు ఆ స క త ని ఎవరు చెపపా రో తెలియదు . . .
एक दु र घट ना में वह वि कला ंग हो गई .	ఆమె కు ఒక పరమా ద ంలో ప కష వా తం వచచింది .
गो लि यों पर सौ - सौ ड ॉलर ख र च करता था .	మ ందు లు తీసు కుంటుననా డని చెపపి ంది .
किसी सिर फि रे ने बाहर से ला कर जान वर ों को चि ड िया घर में कै द कर र खा था .	ఎవరో వెధవ జ ూ లో అంతా పిచచి వాళళ ను పెటటా డు , అతను పం జర ాల లో పెటటా డు .
- उप निय म ों में है . - कैसे उप निय म ?	- అది ని బం ధన లలో ఉంది . - ఏ ని బం ధన లు ?
वर ना थ र मो मी टर जि तना न ु क सान दे ह है .	లే ద ంటే అది థర మా మీ టర అంత పరమా ద ం .
तो मुझे लगा ची यर ली डि ंग की बात है .	పర ో త సా హ కు ర ాలి గానే మో అను కుననాను .
अं धा घ ो डा एक साथ तीन चीज ों के डर का साम ना करने को ल ल कार ता है .	గు డ డి వాడి మో సం స వ ాలు లో మీరు ఒక ే సారి మూ డు భ ీ తి గొ ల పే వి ఎదు ర కొ ంటా రు .
या किसी का हाथ पक ड सकते हैं , और हम सवाल पूछ ेंगे .	లేదా సహా యం కోర వచచు , అపపుడు ఒక పర శ న అడుగు తా ము .
पर टा इ मर शुरू होने से पहले एक ही मौ का मिले गा .	కానీ టె మర మొద ల యయ ే ముందు మీకు ఒక అవకా శ మే ఉంటుంది .
हम बि श प के घर कयों नहीं रह सकते ?	మనం బి ష ప దగగర ఎందుకు ఉండ కూడదు ?
मैंने तुमहें ला ख ों बार फोन किया .	నేను నీకు లకష సా రలు ఫోన చేశా ను .
उससे उल टी जैसा होता था , इसलिए बाकी ह ंट को दे दी .	ఆమె కు మ తతు గా ఉండే ది , మి గి లి న వి హ ంట కు ఇ చచి ంది .
यह ठीक नहीं है .	అది స రెన ది కాదు .
चे ह रे पर मु स कान और हाथ में टो पी लिए , दस से क ंड तक	అతను 1 0 సె క న ల దా కా నవ వు ముఖ ంతో , చే తి లో టో పీ తో
उनहें पता है कि यह किस का काम था ?	వాళళ కు అది ఎవరు చేశా రో తెలుసా ?
वह एक चा ल थी . सच में , मैंने कुछ नहीं किया था .	అది అలా ఏ ర పాటు చేశారు . నిజంగా , నేను ఏమీ చేయ లేదు .
यह कया . . . मजाक कर रहे हो कया ?	ఏంటి ది . . . నిజంగా అ ంటుననా రా ?
ए का उ ं टि ग सिरफ ग ण ित नहीं होती .	సరే , అ క ౌ ంటి ంగ కేవలం గ ణి తం కాదు .
लगता है पक डम - पक डा ई खेल रहे हैं .	ము టటు కునే ఆట ఆ డు తునన టటు ఉంది .
अजीब बात यह है कि उसे तुमहारी फि कर होती है .	హా స యా స పద ం ఏంట ంటే , ఆమె కు నీ గురించి చి ంత అనన ది .
बो ला , दस ह जार की श रत लगा ई तो , मुशकिल ें खतम .	1 0 వే ల ప ంద ెం కా సతే , నీ సమసయ లు స మి సి పో తా య ననా డు .
- ढ े र सारे दोसत बना ओ गी ? - हाँ .	- సనే హి తు లను చేసు కుంటా వా ? - సరే .
पर हमारे नहीं .	కానీ మా వి కాదు .
चाहते हो श ॉ ना की चु ग ली कर ूँ ?	మీకు నేను షా న గురించి చెపప ాలా ?
लू क ने खेल को पूरी तरह समझ ा या .	లూ క అది ఎలా ఉ ంటు ందో చెపపా డు .
घर की देख भा ल करना चाहती हो ?	నా ఇంటి నిర వ హ కు ర ాలి గా ఉంటా వా ?
जब मैंने कहा इस बार उसकी मदद नहीं कर सकता , तो ना राज हो गई .	ఈ సారి నేను సహా యం చేయ లే నని చెపపా ను , తను ని రా శ చె ంది ంది .
मी ड िया जे पी जी - क च चा - मि टा ई हुई त सवी र ें	మీ డి యా జే పీ జీ - ఆర ఏ డబ ల యూ - తొ ల గి ంచిన ఫో టో లు
मतलब , खुद के पति न हों तो .	వాళళ కు తమ భ ర తలు ఉండ రు , అంతే .
पता है , मैं खेल से बाहर हूँ .	తెలుసు , ఆట నుండి తీ సే శా రు .
एक स वय ं से व क ने बताया कि उसने डर बी पर तुमहें और ली ला को बह स करते देखा .	ఒక స వచ ఛ ంద సే వ కు డు డె ర బీ దగగర నువవు , లీ లా వా ది ంచు కునన టటు చెపపా రు .
भ ें ट से पहले बा ल कट वा ऊँ तो अचछा रहे गा .	బాగా చేయి ంచు కు ంటే మంచి దని జి మ అను కుననా డు .
कि इस समय जज लोग तना व से गु जर रहे हैं .	నయాయ నిరణ ే తలు పర సతు తం ఏదో ఒ తతి డి లో ఉననారు .
आप पाँच जवाब दे सकते हैं ,	ఐ దు పర శ న లకు సమా ధా నం ఇవ వచచు ,
- कया कह ती हो ? - बिलकुल नहीं .	- నువవు ఏం అంటా వ ? - కు దర దు .
मेरी माँ और बो लड रहे थे .	మా అమమా ఇంకా బో గొ డ వ పడ డా రు .
यह जा ल सा जी है , कमी ने इंसान .	అది చాలా మో సం , చెతత వెధవ .
डॉज ने किसी तरह से कर लिया .	ఎలా గో లా డా డజ పూరతి చేశా డు .
बस सोच ना बंद करो , ठीक है ?	అది ఆలోచి ంచడం మా నే య , సరేనా ?
इसलिए आप नहीं चाहती थीं कि मैं यहाँ आ ऊँ ?	అందుకే నా ననను ఇకకడికి రా వ దద ని అననా రు ?
उसके कम रे में यह मिला , गो लि यों की खा ली बो त लों के पास .	అతని పడ క గ ది లో ఖ ా ళ ీ మ ందు సీ స ాల ప కక న ఇది దొ రికి ంది .
अगर रा इ ली ने मेरे सा मान से छे ड छा ड बंद नहीं की , तो बंद ूक लेकर . . .	రె లీ నా వ సతు వు లకు ద ూర ంగా ఉండ దు , నేను ఒక తు పా కీ తీసుకు ని . . .
घ ो ष ण ा और शुरू होने के बीच में छु ट का रे का इस ते माल करना चाहिए .	నువవు నీ ఇ మ యూ ని టీ ని పర క టన కు ఆట పరా రం భా నికి ముందు ఉ ప యో గి ంచుకో వాలి .
एक बार ह ंट को पार कि ंग में देखा था , जब मैं जा रहा था ,	హ ంట ను ఒక సా రే చూశా ను , నేను వచచే సతు ండ గా పార కి ంగ లో ,
- नहीं . - कया ?	- వదదు . - ఏంటి ?
इस हफ ते के लिए तुमसे जयादा ले रहा हूँ .	నీకు ఈ వా రా నికి ఎకకువ ఛ ా ర జీ వే శా ను .
हेदर ने बताया कि मैं ऐ न के यहाँ था ?	ఆన వాళళ ఇంటికి వెళళ ా నని హే థర చే పప ి ందా ?
नहीं , मुझे मतलब पता है .	లేదు . అదే ంట ో నాకు తెలుసు .
इसकी पस लिया ँ नजर आती थीं .	దాని ఎ ము కలు కనిపి ంచా యి .
मुझे लगा तुमहारी गाडी है .	అది నీ కా రే అను కుననాను .
तुम कया कर रहे हो , लू क ?	నువవు ఏం చేసతుననా వు . లూ క ?
यह मेरे आ ंग न में घ ू म ता है , इसका यह मतलब नहीं कि पा लत ू है .	అంటే , దానని నా పె ర టి లో పెటటా ను కాబటటి అది పె ంపు డు జ ం తు వు కాదు .
- सवाल कया थे ? - उनहें राज जान ने थे .	- పర శ నలు ఏంటి ? - వాళళ కు ర హ సయ ాలు కావాలి .
और जिस ने यह किया , वह आ जा द घ ू म रहा है .	ఈ లో పు డ రె వర స వే చ ఛ గా తి రుగు తుననా డు .
- हे भगवान . - ह ंट का कुछ पता नहीं चला ?	- అబబా . - హ ంట గురించి ఏం తెలియ లేదా ?
हेदर - लि ली	హే థర - లి ల లీ
हाँ , खू बस ू रत है , है न ?	అవును , అంద ంగా ఉంది , కదా ?
इसके अ ला वा ,	అంతే కా కుండా ,
लू क और फो टो ग रा फर से बात करते हुए .	లూ క ఇంకా ఫో టో గరా ఫర తో మాటలాడు తుననా డు .
- ऐसी और भी हैं ? - नहीं .	- అవి ఇంకా ఉననా యా ? - లేదు .
आप लोगों के पास मेरे खिला फ कुछ नहीं .	మీ దగగర నాకు వయ తి రే కంగా ఏమీ లేదు .
मतलब , अगर मैं जज होता , तो तुम जी त रही होती .	నయాయ నిరణ ే తను అయి ఉంటే , నువవు మొతత ం గె లి చే దాని వి .
आगे के बा ल छो टे हों तो अचछे लग ेंगे .	అయితే , మనం ము ం గు రు లు అను కుననా ము .
नहीं . मुझे यह खेल समझ में नहीं आता .	వదదు . నాకు ఈ ఆట అరథం కా వడం లేదు .
और स पता हा ंत को बच चों की देख भा ल करती , कोई मुशकिल नहीं होगी .	ఇంకా వా రా ంత ంలో పిలల లను చూ సు కుననాను , అందు కని పర వాలేదు .
डि गि न स से बात तो करो .	డి గ గి నస తో మాటలా డి చూడు .
मैंने कहा कि मुझे नहीं करना था .	అందు కని , నాకు ఆ స కతి లే దని చెపపా ను .
ह ंट की न शे की लत के लिए खुद को दो ष ी समझ ती है .	ఆమె హ ంట కు ఆ క సీ అ ల వా టు కు ని ంది ంచు కు ంటుంది .
एक - दूसरे के खिला फ फा य दा उठा या .	వాళళు ఒక రి వి మర ొ కరి తో చెపపి ంచారు .
मुझे झा ँ सा दे सकते थे .	ననను మో సం చేసే వాళళ ే .
यह काफी म जे दार होगा .	ఇది ఆ స కతి కర ంగా ఉండాలి .
का ँ ट ें मुशकिल से ब गल तक पहुँच ते हुए , और . . .	అ తి కష ట ంగా ము లలు ను ప కక ల దా కా చే రు సతూ . . .
