जे पी !	జె పి !
- हमने इसे रि लीज नहीं किया . - अचछा किया .	- ఈ పా ట ని మనం వి డు దల చేయ లేదు . - మంచిది .
चलो उसकी अं ते ष टि में स फ े द क पडे पह न ें .	అతని అంత య కరి య ల కి తె లల దు సతు లు ధ రి దదాం .
मैंने भा री मा त रा में डर ग स मिला या था .	నేను వాడి కి చాలా తీ వర మెన డో సు ఇ చచా ను .
अपनी बहन को परे शान मत करो , ज ॉन प ॉल .	మీ చె ల లె లు లాంటి ది , వదిలే య , జా న పాల .
ने ट ब ॉल को मुझसे और इस शादी से जयादा परा थ मि क ता देने की हि म मत भी मत करना .	నా క ననా మన పె ళ లి క ననా ఆ నె ట బ ాల కి ఎకకువ పరా ధా న యం ఇ చ చే ంత ధ ె ర యం చేయ కు .
वह तुम हो जि से इस घर से जाना चाहिए .	ఇకకడ నుండి వెళల వల సిన వాడి వి నువవు .
वह बस यहाँ आप से पैसे ऐ ं ठ ने आई है कयोंकि वह मुझसे पैसे ऐ ं ठ नहीं स की .	తను నా నుంచి డబబు గు ం జ లేక పోయింది కాబటటి నీ డబబు కోసం ఇకకడికి వ సతోంది .
कभी - कभी मैं सोच ती हूँ , च ूँ कि मेरी माँ और डै ड यहाँ नहीं हैं . . .	నేను ఒక కో సారి అనుకుంటా ను , తెలుసా , మా అమమా నా ననా లే కపో వడం వలల . . .
और सम ू ह को चला ने वाले इंसान को मेरे बे टे में अजीब सी दिल च स पी है .	కానీ దాని నిర వా హ కు డు మా అబబా యి మీద అన వ సర మెన శ ర దధ చూపి సతుననా డు .
तो , बताओ तुमहारा दिन कैसा बी ता .	సరే , నీ రోజు ఎలా గ డి చి ందో చెపపు .
हमें यह काम पूरा करना होगा , इ वा .	మనం ఈ సమసయ ని పరి ష కరి ంచాలి , ఈ వా .
खैर , धनयवाद . बहुत - बहुत धनयवाद .	సరే , ధనయవాదాలు . చాలా ధనయవాదాలు .
तुमहें इसका आ दी होना होगा . . .	సరే , నీకు అ ల వా ట యి పో తుంది . . .
कया वह तुमहें देख कर खुश थी ?	నినను చూ సి తను సంతో షి ంచి ందా ?
वह खाना नहीं प का सकता , सी ख ता भी नहीं है और डि ली व री के पैसे देने में कं जू सी करता है .	వాడు వ ండు కో లే డు , ఏ దీ నే రచు కో డు ఇంకా ఏదెనా కొ ను కకు ని తి న డానికి కూడా డబబు లు తీ య డు .
आपको उस व ृ द धा शर म में जाना चाहिए जिस की हमने बात की थी .	మనం గ తం లో మాటలాడు కునన ఆ వ ృ దధ శ రణ ాల యా నికి నువవు వెళల ాలి .
हाँ , पर मेरा काम पूरा होने से पहले ही तुम च ली आई थी .	అవును , కానీ నేను పని ము గి ంచే లో గానే నువవు వెళలి పోయా వు .
बि बी का फोन है . ए , कया हुआ ?	బీ బీ ఫోన . హేయ , ఏంటి విషయం ?
उप - शी र ष क अनु वाद क : म ून क लि ता	తెలు గు అను వాద ం : స తీ శ కు మార
पर भगवान के लिए , अपना फोन उठा ओ , यह सुनो और क ॉल करो .	కానీ దయచేసి , ఫోన తీ యి , ఇది వి ని నాకు తిరిగి కాల చేయి .
तो फिर , तुम अपने बारे में कुछ बताओ . कोई भ यान क बात .	నీ గురించి ఏదెనా నాకు చెపపు , అయితే . ఏదెనా భయ పెటట ే ది .
हम अभी इस पर बात नहीं कर सकते . वह टी म में है , जे पी . मुझे उसे ले जाना होगा .	మనం ఇపపుడు ఇలా మాటలాడు కో లే ము . తను జ టటు లో ఉంది , జె పి . నేను త నని తీసుకు వెళల ాలి .
और मैंने सोचा , तुमहारी भी एक परे शा नी ह ल की कर द ूँ .	నేను వచచి ఈ పని చేసి నీకు ఊ ర ట కలి గి ద దా మని అను కుననా .
शायद किसी रात मैं किसी ऐसे लड के के साथ बैठ ी हूँ गी	బహుశా ఏదో ఒక రాతరి నేను ఒక కు ర రా డి తో కలిసి ఉంటా నే మో
तो रा स ते में किसी कु त ते , किसी इंसान , किसी के आने का खत रा नहीं होना चाहिए .	మనం కు కక ల కీ , మను ష ు ల కీ పరమా ద ాలు జరగ కుండా మధయ లో ఏ అడ డం కులు లే కుండా చూ సుకో వాలి .
मैं इस पर ह सता कष र कर दि ए हैं . मैं नहीं चाहती थी कि तुमहें सा रा श रे य मिले .	నేను దీని మీద స ంత కం చేశా ను . నువవు ఆ చెతత అ పపు లలో కూ రు కు పో వడం నాకు ఇషటం లేదు .
- मुझे जाना होगा . - ठीक है .	- నేను ఇం క వెళల ాలి . - సరే .
माफ करना . कया हो रहा है ?	మన ని ంచండి . ఏం జరుగు తోంది ?
तुम यहाँ कया कर रही हो ?	అకకడ కింద ఏం చేసతుననా వు ?
रॉ जर , तुम बहुत अचछे हो .	రో జర , నువవు ఒక దే వ దూ త వి .
आपको याद है कल रात को ग ॉल वे ने ट ब ॉल ट ूर ना में ट है ?	గ ాల వే నె ట బ ాల టో ర న మె ంట ఈ రాత రికి ఉంది , తెలుసా ?
तुम अचछी बातें कह ती हो .	మీరు ఈ మాట చెపపి తీ ర ాలి .
इसमें इतनी सि ल व ट ें हैं .	నా దు సతు ల ని ండా మర కలు .
वह कभी घर नहीं लौट ेंगे .	ఆయన ఇంటికి రా వడం లేదు .
तुमहें पता है वह कैसा महसूस होता है ? कयोंकि मुझे पूरी तरह पता है .	అది ఎలా ఉ ంటు ందో నీకు తెలుసా ? ఎందుకంటే నాకు దాని గురించి చాలా తెలుసు .
पर शायद अब वह मुझे उन नजर ों से नहीं देख ता है ,	కానీ బహుశా అతను ఇం క నా వెపు చూడ టం మా నే శా డు ,
जे पी ? वह रा जी नहीं था ?	జె పి ? ఆయన ఒ పపు కో లేదా ?
कया ? इसका कया मतलब है ?	ఏంటి ? నీ ఉదదేశం ఏంటి ?
हम बस म जे करेंगे . . .	నేను ఊ రి కే వచచా ను . . .
तो , तुम और डॉ न ल अब भी	అయితే , నువవు ఇంకా డో న ల
खैर , यह बहुत अचछा है .	సరే , ఇది చాలా బాగుంది .
उममीद है तुमहें ऐ त राज नहीं है . मैं बस अपनी झा ड ियाँ का ट रहा था	నువవు ఏమీ అనుకో వని భా వి సతాను . ఊ రి కే నాకు నేను గా ఇ దంతా చేసతుననా ను
एक काम निकल आया है . अग ली बार . जल द मिल ेंगे .	వే రే పని పడి ంది . తరువాత వెళ దాం . కలు దదాం .
मेरी कि ता ब कहाँ है ?	నా పు సత కం ఎకకడ ఉంది ?
यह ओ छ ी चीज तुमसे ओ छ ी चीजें कह ल वा रही है .	ఈ చ ౌ క వ సతు వు నీ తో చ ౌ క గా మాటలా డి సతోంది .
उसका नाम ग ै ब रि एल है .	అతని పేరు గా బ రి యే ల .
कया ? मेरा मतलब . . .	ఏంటి ? నా ఉదదేశం . . .
कया वह उसकी ना व है ?	అదే నా వాడి చెతత పడ వ ?
माफ करना . मैंने कार मे ल से वा दा किया है कि मैं ड बल शि फ ट के लिए उप लब ध र हूँ गी .	ననను మన ని ంచు . డ బు ల షి ఫ ట అవ సర మె తే నేను అందు బా టు లో ఉంటా నని కార మె ల కి హా మీ ఇ చచా ను .
मैंने अभी - अभी उस पर एक डा क यू में ट री देख ी थी . कितना कमी ना है .	ఈ మధయ నే అతని గురించి డా క యు మె ంట రీ ని చూశా ను . ఎంత వ కర బు దధ ి .
शायद मेरे पति तुमसे स हम त नहीं होंगे .	నా భ ర త మీ తో ఏ కీ భ వి సతా డని నేను అనుకో ను .
- और तुम कौन हो ? - कया इसका इस सवाल से कोई लेना - देना है ?	- ఇంత కీ నువవు ఎవరు అనుకో వాలి ? - నా పర శ న కు దాని తో ఏం సంబం ధం ?
कया मुझे बरा उ जर हि सट री भी देख नी चाहिए ?	నీ బర ౌ జర హి సట రీ లోకి వెళలి చూడ మ ంటా వా ?
तुमहारी वि रा सत ? तुम मजाक कर रहे हो ?	నీ వార సత వ సం ప దా ? నాతో జో కు లే సతుననా వా ?
म ॉ म , आप वहाँ हैं ?	అమమా , అకకడ ఉననా వా ?
मिन वि लि य मस दवा रा	మి న వి లి య మస బ ొ మమ లు
हम नहीं बता सकते .	అది మీకు చెపప లే ము .
अ जन बी ? कया मैंने तुमहें कुछ देर पहले दरवा जे से टॉ य ले ट पे पर नहीं दिया था ?	అ పరి చి తు ర ాలి నా ? ఇంత కు ముందు నీ తలు పు గు ండా నీకు టా యి లెట పే పర ఇవవ లేదా ?
मुझे पूछ ने का ह क है , और मुझे लगता है मुझे पूछ ना चाहिए .	ఇది అడ గ డం నా బాధ యత , ఇంకా నేను అడ గ ాలి అనుకుంటుననా ను .
पर तुमने कहा कि वह जयादा मह ँ गा है .	కానీ అది చాలా ఖ రచ ని నువవు ఆ పా వు .
हि म मत भी मत करना .	ఇంత ధ ె ర యం చేయ కు .
तुमहें जाकर उससे बात करनी होगी . सु ल ह करनी होगी .	నువవు వెళలి తన తో మాటలాడ ాలి . పరిసథి తి ని చ కక బె టట ాలి .
स ज - ध ज कर ? मैंने बस एक को ट पह ना है .	ము సతా బా ? నేను కో టు వే సు కుననాను .
तुमहें लगता है यह मेरी गलती है ?	ఇది నా కారణ ంగా నే జరిగింది అంటా వా ?
और मुझे वह बेहद सु ंदर दिख ता है .	అతను నాకు చాలా అంద ంగా కనిపి సతా డు .
शायद मेरे पास तुमहारे लिए कुछ है .	నీకు ఒక విషయం అయితే చెపప గల నే మో .
आपको मदद चाहिए .	నీకు సాయం అవసరం .
अगर दोबारा मार ना है , तो कया नीचे वाले हों ठ पर नि शा ना लगा ओ गी ?	నువవు ననను మళలీ కొ టట ాలను కు ంటే , ఈ సారి నా పె ద వి కింద గురి చూడ గల వా ?
जे पी , यह कया है ?	జె పి , ఏంటి ఇది ?
शायद , मेरा मतलब . . . शायद मैंने खुद की देख भा ल करना छोड दिया है .	బహుశా , నా ఉదదేశం . . . బహుశా నేనే ఆ కో రి కని వదిలే సుకో వాల ే మో .
यही इसका सि द धा ंत है . आ ह , ध . . .	అదే ఆమె ఉదదేశం . ఆ హ , చెతత . . .
तुमने वहाँ से शु रु आत कयों की ?	అకకడ ను ండ ే ఎందుకు మొద లు పెటటా వు ?
कोई पा नी का न ल बंद करो . पा नी का न ल बंद करो !	ఎవరెనా ఆ బా తర ూ మ లో నీ టి ని ఆ ప ండి . నీ టి ని ఆ ప ండి .
मैं उसकी हतया की यो जना नहीं बना रहा , गरेस .	ఆ మనిషి ని చం ప ాలని నేను ప థ కం వే య డం లేదు , గరేస .
जब एक रा सता बंद हो , तो कुछ नया करने की कोशिश करनी चाहिए .	నీకు తెలుసు , దేవు డు ఒక తలు పు మూ సే సతే , మర ొక కి టి కీ తె రు సతా డు .
शायद बि बी के लौट ने तक हम कुछ नहीं कर सकते .	బీ బీ తిరిగి వచచే వర కూ ఏమీ జరగ దు అనుకుంటుననా ను .
तुमहें अपने श री र को लेकर स ह ज महसूस करना होगा .	ఇది మీ శ రీ రం , దీని తో మీరు స ౌ కర య ంగా ఉండాలి .
डॉ न ल , जवाब दो .	డో న ల , సప ంది ంచు .
अपना पै र ह टा ओ .	నీ కా ళలు జ రు పు .
तुमहारे पिता जी किसी मो टे कि सान से तुमहारी शादी करवा देंगे .	మీ నానన నినను ఒక లా వు పా టి రె తు కు ఇ చచి పె ళ లి చేసే య గల డు .
समस या यह है कि मेरा बेटा एक यु वा चर च सम ू ह में भाग ले ता है ,	సమసయ ఏమి ట ంటే , మా అబబా యి చ రచ యూ త గర ూ ప లో పాల గొ ంటుననా డు ,
उसकी दिमा गी से ह त के बारे में .	అతని మా న సి క ఆ రో గ యం గురించి .
शायद अब ये फै शन में नहीं हैं .	ఇ వి ఇపపుడు ఫ యా షన కా కపో వచచు .
हम अ ल मा री या बि स तर के नीचे नहीं छु प ेंगे , समझ ी ? भगवान .	మనం అ ల మార ాల లో న ూ , మ ంచ ాల కింద దా క కో వడం లేదు , సరేనా ? దేవుడా .
अं ति म समय में मना करने के लिए माफ ी चा हूँ गा	చి వరి నిమిష ంలో రాల ే కపో తునన ందుకు కషమించు
जानती हो तुम सबसे जयादा कब सु ंदर दिख ती हो ?	నువవు చాలా అంద ంగా ఎ పపుడు ఉంటా వో తెలుసా ?
और , वे अब भी मेरी बहन ें हैं .	పె గా , వాళలు ఇంకా నా అ కక లే .
हमें उसके और गरेस के बीच चु न ना होगा . है न ?	అది అతని కారణ ంగా లేదా గరేస కోసం . సరేనా ?
कया तुम अपनी खुद की प तनी नहीं ला सकते ?	నువవు నీ స ొ ంతా నికి ఒక భా రయ ని తె చచు కో లే వా ?
- ब ला न ड पास ही है . - माँ , हम चल रहे हैं ?	- బ లా న డ ఇకకడ ే ఉంది . - అమమా , మనం వెళ తుననా మా ?
जब तुम अपनी बह नों जै सी नहीं दिख ती हो .	నీ లో నీ అ కక చె ల లె ళలు ఎవ వర ూ కనిపి ంచ న పపుడే .
तुमहें मेरी चिंता करने की जरूरत नहीं है .	నువవు నా గురించి ప టటి ంచుకో నవ సరం లేదు .
मेरे क ॉल नजर अं दा ज करना बंद करो , गरेस .	నా ఫోన కాల స ని నిర లకష యం చేయడం ఆ పు , గరేస .
और शु भ रात रि .	ఇం క శు భ రాతరి .
- यह आपकी अपनी भ ला ई के लिए है . - बस जाओ .	- అది నీ మంచి కో స మే . - నువవు వెళలి పో .
मुझे सच में खुशी है कि तुम यहाँ आई .	నువవు వచచి న ందుకు నిజంగా సంతోష ంగా ఉంది .
तुमहें यह करने की जरूरत नहीं है , समझ ी ?	నువవు బాధ పడ ాల సిన పని లేదు , తెలుసా ?
यह काफी भ ड की ला है , मिन .	ఇది చాలా మంచి విషయం , మి న .
सर , माफ करना . माफ करना .	సర , మన ని ంచాలి . కషమి ంచండి .
अब वह खुद को एक म हिला के रूप में भी नहीं देख ती है .	త నని తాను ఒక ఆడ దాని గా కూడా భా వి ంచడం మా నే సింది .
तो , जो कुछ भी हुआ उसके बाद , यो जना आगे बढ ा ने के बारे में कया खया ल है ?	అయితే , ఇ దంతా జరిగి న తరువాత మా మూ లు గా నీ పని చేసుకో వడం నీకు ఎలా అనిపి సతోంది ?
पकका अब तक , तुम अपने श री र को लेकर स ह ज महसूस करती होगी , है न ?	ఇ పపటి కి ఖచచితంగా , మీ శ రీ ర ంతో మీరు స ౌ కర య ంగా ఉననారు , కదా ?
हैलो , गरे सी .	హాయ , గరే సీ .
तुमहें लगता है मुझे तुमहें अपनी शादी शु दा जिंदगी के बारे में बता ना चाहिए ?	నా వె వా హి క జీవితం లో ని సు నని త మెన అ ం శ ాలని నీకు చెపప ాలని ఆ శి సతుననా వా ?
इससे फर क पडता है तुम इसे यहाँ कयों लेकर आए ?	నువవు దానిని ఇంత దూ రం తీసుకు రా వడం ఏమెనా వి శ ే ష మా ?
जब घ बरा ती हूँ , तब मेरे पे ट में दर द होता है .	నాకు భ యం వే సిన పపుడు నా క డు పు లో న ొ పప ి పె డు తుంది .
उस इंसान से दो स ती करना अ सं भ व था .	ఆ మనిషి తో సనే హం చేసే అవకా శ మే ఉండ దు .
मुझे पता है कि तुम इस बारे में बात नहीं करना चाहते हो . . .	ఈ విషయం గురించి మాటలాడ టం నీకు ఇషటం ఉండ దని తెలుసు . . .
मेरा मतलब , मैं इससे स हम त नहीं हूँ .	నా ఉదదేశం , నేను అంత గా చెపప లేను .
- हम ब ला न ड के बि स तर के नीचे नहीं छु प ेंगे . - तो फिर अ ल मा री में छु प ेंगे .	- మనం బ లా న డ మ ంచ ం కింద దా క కో వడం లేదు . - అయితే అ ల మార ాలో దా కకు ందా ం .
किस बारे में ? उससे मर ने के लिए अनु रो ध करने के बारे में ?	ఏంటి ఆలోచి ంచడం ? త నని తా నే చం పు కో మని అడ గ డం గురి ంచా ?
कयोंकि उनका जि कर करना बेहद क ठ ि न होता है .	ఎందుకంటే వాటి ని తల చు కో వడం చాలా కష ట మెన విషయం .
कया मेरी वजह से वह मर ना चाहता था ?	అతను చని పో వడానికి నేనే కారణ మా ?
उसे पता है कि तुम मेरे साथ हो ?	నువవు నాతో ఉననా వని అతనికి తెలుసా ?
- धत ! - नहीं .	- ఛ ! - వదదు .
ठीक है ! धत !	మంచిది ! ఛ !
मुझे याद दि ला ना कि मैं बि बी से कभी न पूछ ूँ कि वह इसमें कयों मा ह िर है .	బీ బీ ఇలా ంటి విషయ ాల లో స హ జ మెన పరతి భ ని ఎలా అ ల వర చు కు ందో నేను వి చా రి ంచ కుండా చూడు .
और मैंने बस किसी और को यही घ ा व दे दिया .	నేను చేసి ంద లలా దీని ని మర ొ కరి కి అ ంది ంచా న ంత ే .
उसे पूरी तरह से बे हो श हो जाना चाहिए था .	ఒక పెదద ఏ ను గు ని కూడా అది మ తతు లో ము ంచ ె త తే ది .
कयोंकि हमने उसे आ म ंत रि त किया था .	ఎందుకంటే మనం త నని ఆ హ వా ని ంచా ం .
दरअसल , उनहोंने आत मह तया की थी .	ఆయన నిజ ానికి ఆ తమ హ తయ చేసు కుననా డు .
इसमें बा थ ट ब भी शा मिल है , इ वा .	కానీ , నీ టి తొ టట ె లో పెటట ాలి , ఈ వా .
मैं यह इसलिए कर रही हूँ ताकि कोई मुझे बता ए कि मैं इससे बेहतर की ह क दार हूँ .	ఇలా ఎందుకు పర వర తి ంచ డానికి కారణ ం నా మంచి గురించి ఎవరెనా ఆలోచి సతా రని .
या ऐसे इंसान के रूप में जि से सुना जाए .	లేదా క నీ సం నా మాట కి కూడా వి లు వ ఇవ వడం లేదు .
मजाक कर रही थी . बे स अचछा है . काफी भा री है .	జో కి ంగ . బా స బాగుంది . బా స ఎకకువ గా ఉంది .
तो यह मेरी गलती है .	కాబటటి అది నా తపప ి ద ం .
चलो , जान . चलो चल ें .	పద , బు జ జీ . వెళ దాం పద .
तो , यह मेरी बह नों की गलती है कि अब मैं तुमहें आकर ष क नहीं लग ती हूँ ?	అయితే , నువవు ననను చూడ కపో వడానికి మా అ కక చె ల లె ళలు చేసిన తపపు లే కారణ ం అంటా వా ?
दवा इ या ँ ले ने में कोई शर मि ंद गी नहीं है , ज ॉन प ॉल .	టా బ లె టలు వే సుకో వడం ఏమీ సి గ గు పడ ే విషయం కాదు , జా న పాల .
उनहोंने तुमहारे साथ डा ंस कला स में जो किया , उसके बाद कोई अन य म हिला ट ू ट जाती .	డా నస క లా స లో నీకు జరిగి న అవ మా నా నికి ఇం కో త కకువ సథా యి ఆడ వారు అయితే డీ లా పడి పో యే వారు .
- ठीक है . अपने कम रे में घु सो . - धनयवाद .	- సరే . మీ గ ది లోకి పర వే శి ంచండి . - ధనయవాదాలు .
कया जे पी ने कभी खुद को चो ट पहुँ चा ने की कोशिश की थी ?	జె పి ఎపపుడ యి నా ఆ తమ హ తయ చేసుకో వాలని పరయతని ంచా డా ?
अ र सला , तुम ह जार ों बार बोल चु की हो कि पो सट म ॉर ट म में डर ग स पक डे जाते हैं .	ఉ ర సు లా , డ రగ స అనే వి శ వ పర ీ కష లో బయట పడ తా య ని నాకు వ ంద ల సా రలు చెపపా వు .
मिन ! कौन सी चाहिए ?	మి న ! ఏ ది తీసుకో వాలి ?
वह ऐसा नहीं कर सकता .	అతను అలా చేయ కూడదు .
यह कया है ?	అది ఏంటి ?
यह कया है ?	ఏంటి ఇది ?
अरे , हाँ .	ఓహ , అవును .
कोई सु रा ग ढूँढ ो . कुछ पता लगा ओ .	ఏదెనా తెలుసు కో . ఏదెనా చూడు .
ऐसा मत करो , गरे सी .	అలా మాటలాడ కు , గరే సీ .
माफ करना . मैं . . .	కషమి ంచండి , నేను . . .
गरेस और ब ला न ड दू ध पी ती हैं .	గరేస ఇంకా బ లా న డ ప ాలు తా గు తారు .
अरे , हाँ .	ఓహ , అవును .
हमें पता नहीं उस में कया होता है , पर वह उसके बिना नहीं रह सकता .	అందు లో ఏం ఉ ంటు ందో తెలియదు , కానీ అతను మా మూ లు గా దానికి అ ల వా టు పడి పోయా డు .
पर मैं कहूँ गा कि यह अफ सो स की बात है	కానీ చాలా సి గ గు చే టు అయి న విషయం ఏమి ట ంటే ,
वह कहा करती थीं , डा ंस करना सी खो और त भी तुमहें मौ का मिले गा .	ఆమె ఎపపుడూ చెపపే ది , డా న సు నే రచు కో , ఛ ా న సు అందు కో అని .
मेरे हाथ ों कुछ बडा लगा है .	నాకు ఒక పెదద ఆ ధా రం దొ రికి ంది .
कोशिश कर रही हूँ .	ఏదో పరయతని సతుననాను .
गरेस , मुझे खे द है कि मुझे पूछ ना पडे गा .	గరేస , నేను మిమమలని ఒక పర శ న అడ గ ాలి .
- खा ने पर बात करेंगे . - नहीं आ सकती .	- అపపుడు దాని గురించి మాటలాడు . - కు దర దు .
उ ध र . इस तरफ . चलो .	అ టు . ఆ వెపు . పద ండి .
वह कया कर रहा है ?	వాడు ఏం చేసతుననా డు ?
वह कया कर रहा है ?	వాడు ఏం చేసతుననా డు ?
जब मेरी जगह ना च ना हो , बस इ शा रा करना , जे पी .	గరేస తో డా నస చేయ డానికి సిదధ మెన పపుడు చెపపు జె పి .
मुझे काफी कम चीजें पता थीं . जयादा तर उसके डॉ क टर ों से ही .	నాకు అది మా తరం తెలుసు . అతని డా క టర ల ద వా రా వి ననాను .
सही कहा .	ఖచచితంగా .
माँ . . .	మా మా . . .
बढिया है .	బాగుంది .
तुमने कया सुना है ?	మీరు ఏం వి ననా రు ?
जानते हो न कि तुम बेहद कि सम त वाले हो ?	నువవు చాలా అద ృష ట వం తు డి వి తెలుసా ?
माफ करना .	కషమించు .
ज ॉन प ॉल का . ब ला न ड के जन म से पहले . . . चिंता में ड ू बा था .	జా న పాల . బ లా న డ కి ముందు కూడా . . . ఎపపుడూ ఆ ందో ళ న పడు తూ ఉండే వాడు .
एक बो त ल चु रा सकती है और अगर वह चु रा पा ई ,	ఇంకా అది ఖచచితంగా పని చే సతు ందని హా మీ ఇ సతోంది ,
माफ करना ?	మన ని ంచు ?
अरे , धत .	ఓహ , చెతత .
अरे , धत .	ఓహ , చెతత .
अरे , धत .	ఓహ , చెతత .
माफ करना .	మన ని ంచు .
चलो चल ें . चलो . चलो चल ें .	వెళ దాం పద ండి . రండి . వెళ దాం .
तुम यहाँ हो , ब ें जा मिन फर ै ंक लि न की तरह जा सू सी कर रहे हो .	ఇకకడ ఉననాడు చూడు , బె ం జ మి న ఫ రా ం కలి న లా గా ఇ లలా ంతా తి రుగు తుననా డు .
- यह लो . - भगवान . मुझ पर तुमहारा कर ज रहा .	- ఇది గో . - దేవుడా . నేను నీకు ఒకటి బా కీ ఉననాను .
उसने बस आज छु ट टी ली है .	ఈ రోజు అతనికి సె ల వు , అంతే .
तुम से कस करना चाहती हो .	నీకు శ ృ ంగా రం చేయ ాలని ఉంది .
मेरी बह नों को भी नहीं पता .	మా వాళ లకు కూడా తెలియదు .
यह अचछा स ंदर भ है .	అది మంచి పో లి క .
मैं मु स कु रा कर जा ग ता हूँ , रॉ जर .	నేను ఉద యా న నే నవ వు తూ లే సతాను , రో జర .
मुझे पता है कि तुमहें दु ः ख हो रहा है ,	నా ఉదదేశం , నువవు బాధ పడు తుననా వని అరథ మ యి ంది ,
जब पुलिस किसी आदमी का कं प यू टर जब त करती है ?	సా ధా రణ ంగా దే ని గురించి అనుకుంటుననా వు ?
