नहीं .	లేదు .
अब अपने सबसे अचछे दोसत को पक डो और वह करो जो केवल आप और वह जानते हैं	ఈ పా ట కు , మీ బె సట ఫ రెండ ని పటటు కు ని మీరు , వాళళు మాతరమే వే య గల డా నస వే య ండి
आप आ यो जन स मि ति को स जा के त ौर पर इस ते माल नहीं कर सकते .	మీరు ప లా ని ంగ క మి టీ ని శి కష లు వే య డానికి వాడు కో కూడదు .
तो मुझे उस लॉ कर में जाने की तो बिलकुल जरूरत नहीं है .	కాబటటి నేను ఆ లా కర లోకి వెళల ాల సిన పని అస స లు లేదు .
लग भ ग खतम होने जैसा कुछ रख दिया है .	చచ చి పో వ డ ంగా మార చా రు అని వి ననాను .
इसे फिर से लं बा ख ी ं च ना अ सा मान य होगा . इसलिए , अ ल वि दा .	మళళీ సా గ దీ సతే అపపుడు అంత బా గో దు . కాబటటి , గు డ బె .
इस अ ंग हिला ने के कार य कर म ने मुझे बहुत ह ता श किया है .	ఈ డా నస కార య కర మా నని ఏ ర పాటు చేయడం కొంచెం కష ట మెంది ,
वा कई नहीं था . कोई छ ल नहीं कर रहा .	వే రే దా రి లేదు . అది కూడా నిజ మే .
ताकि मैं चीज ों को अलग न ज रि ए से देख पा ऊँ .	మర ొక ద ృ క కో ణం నుండి పరిసథి తు లను చూడ గలను .
ये सब इ कट ठा करने में मैं तुमहारी मदद कर दे ता पर ऐसा करने से	నాకు కూడా నీకు సాయం చే ద దా మ నే ఉంది , కానీ అలా చే సతే ఈ ఇ బబంది కర మెన
उस में शायद जयादा मजा आए गा . शायद अगर हम शुरू करें तो बाकी लोग भी शा मिल हो जाएँ .	ఆ పని మనం చే సతే బాగు ంటుంది ఏ మో . బహుశా మనం మొద లె డి తే మి గ తా వారు వ సతారు ఏ మో ?
मैं समझ रहा हूँ . तुमहारे पसंद ी दा दोसत की जगह कोई नहीं ले सकता .	నేను అరథం చేసుకో గలను . మన ఫ ే వర ె ట ఫ రెండ కి ఎవరూ సా టి రాల ే రు .
हाँ , मुशकिल होता है अगर तुम उसकी तरह घट िया हो .	అవును , వారి లా పొ గ రు గా పర వర తి సతే చాలా కష ట మే .
देखो , मैं तुमहारी मदद कर ूँगी ताकि मुझे इस तक ली फ दे ह स जा से जलदी छु ट का रा मिले .	చూడు , ఈ డి పర ె షన డి టె న షన నుండి తవర గా బయట పడ డం కోసం నేను నీకు సా య చేసతాను .
मैंने कर लिया !	నేను సా ధి ంచా ను !
डी जे , शुरू करो .	డీ జే , ప లే చె య .
मैं इन कि शो र परा ण ि यों को यह जगह दिखा रहा था .	నేను ఈ కు ర రా ళ లకు ఈ పర దే శా నని చూ పు తుననాను .
मुझे भी नहीं लगा था . मैंने अ ंग हिला ने का ऐसा कार य कर म आ यो जि त कर लिया जो सभी को पसंद आए गा .	నాకు కూడా అలాగే అనిపి ంచింది . కానీ అంద రికీ బాగా న చ చే డా నస ని ఎలా గో లా ఏ ర పాటు చేసే సా .
कि यहाँ हम कि तने कि शो र परा ण ि यों को एक साथ आने दे सकते हैं ?	వ సతే మన హో టల త టటు కో గల దో ఇం జి నీ ర ని అయి నా అడి గి చూశా వా ?
जब से तुम पर " डै ं प वा यर स " का भ ूत स वार हुआ है ,	నీకు ఆ డా ం ప వె రస ష ో పిచచి ప టటి న పపటి నుండి
धनयवाद . जब मैं इ शा रा कर ूँ तो यह गा ना चला ना .	థాంక స . నేను సి గ న ల ఇవవ గానే ఈ పా ట ప లే చె య .
यह रात याद रख ने ला य क हो नी चाहिए ! यही तो इसका थी म है !	ఇది అంద రికీ గురతు ండి పో యే రాతరి కావాల సి ఉంది ! నా థ ీ మ అదే !
जरूर . मुझे भी अपने अ ंग ों के लिए कुछ चाहिए .	ఖచచితంగా . నా చే తు లకు కూడా ఏమెనా కావాలి .
तो , चिंता करने की कोई बात नहीं है .	కాబటటి , చి ంతి ంచ ాల సిన పని ఏం లేదు .
- माफ कर दो मैंने तुमहारी बात नहीं सु नी . - माफ कर दो मैं इतना बुरा हूँ .	- నీ మాట లు వి నన ందుకు కషమించు . - పొ గ రు గా పర వర తి ంచిన ందుకు కషమించు .
बढिया . यह श रा र ती छा त रा अपनी श रा रत की स जा के त ौर पर	అదభు తం . అయితే పిచచి చి లి పి పని చేసిన ఒక అ లల రి వి ద యా రథ ి
और मुझे माफ कर दो मैंने तुमहारे सारे स ॉ स प ॉ के ट खा लिए .	అలాగే నీ సా స ప యా కె టలు అన నీ తి నే సిన ందుకు కూడా సారి .
जानती हूँ और मेरे कारण भी तुमहारी मुशकिल ें बढ रही थीं .	తెలుసు , అలాగే నేను కూడా నినను కా సత ఇ బబంది పెటటా ను .
हाँ , वे सब भूल ने के ला य क ही होते हैं .	అవును , దే ని నె నా ఒక నా టి కి మర చి పో వాల సి ందే .
ठीक है , कया तुमने इं जी नि यर से सला ह की है	సరే , మరి , ఈ పర దేశం లో ఎంత మంది కు ర రా ళళు
इस अ ंग हिला ने के कार य कर म पर तुमहारे साथ काम करके मेरी जिंदगी और दिल च सप हो गई .	నీ తో కలిసి ఈ డా నస పార టీ ని ఏ ర పాటు చేయడం నా జీవి తా నని కూడా కా సత ఆ స కతి కర ంగా చేసి ంది .
कि शो र ों को पर भा वि त करना मुशकिल है . उनका मन बहुत च ं चल होता है .	కు ర రా ళ లను ఇం పర ె స చేయడం చాలా కష ట మెన పని . వాళ లకు ఒక ప టట ా న ఏ దీ న చచ దు .
खास त ौर पर जब तुमहें जब र दस ती मेरे साथ भेज दिया गया था .	ముఖ య ంగా ఈ పని లో సాయం చేయ మని నినను బ లవ ంత ం చేశారు కదా .
हे मेरे ल ॉर ब पर भ ु . वे . . .	ఓ రి , నా లా ర బ . వాళళు . . .
अ भ ि वाद न , हम अभी न यू प ले स फी लड से यहाँ रह ने आए हैं .	హలో , మేము న యూ ప లే స ఫీ ల డ నుండి ఈ మధయ నే ఇకకడికి వచచా ము .
यह अ ंग हिला ने का कार य कर म कितना उ बा ऊ है .	ఈ డా నస కార య కర మ ం చాలా బో రు కొ డు తోంది .
इसमें मैं तुमहारी मदद कर सकता हूँ . कया सोच रही हो ?	ఆ విషయం లో నేను సాయం చేయ గలను . నీ మన సు లో ఏ ము ంది ?
तो तुम मुझसे ना राज हो कयोंकि मुझे " आकर ष क परा ण ी " पसंद नहीं है .	అంటే నాకు హా ట బీ యి ంగ స కార య కర మ ం న చచ లే దని నీకు నా మీద కో ప ంగా ఉంది .
यह किसी की भी पसंद की जगह नहीं है .	ఈ పర దేశం ఎవ రికీ కావాల ను కునన టటు ఉండ దు .
जि ज ञ ा सा और गु ससा इस ग रह पर जहाँ चार ों तरफ है खत रा	ఆ స కతి అలాగే ఆ గర హం పరమా ద ంతో ని ండి ఉనన పరపంచ ంలో
- और मैं व हीं जाता हूँ जहाँ मजा होता है . मिल ते हैं ! - ठीक है .	- నేను సర దా ఎకకడ ఉంటే అ కకడికి పో తా . మళళీ కలు దదాం . - సరే .
सबसे आकर ष क !	చాలా అంద ంగా !
च ूँ कि किसी भी नए सक ूल में दोसत बना ना मुशकिल होता है .	ఎంత ెనా కొతత స కూ ల లో ఫ రెండ స ని చేసుకో వడం కష టం కదా .
तो , अब हम टी म बना कर काम करते हुए कई ख तर ना क त त व बना एँगे	సరే , మనం ఇపపుడు టీ మస గా పని చేసి అనే క పరమా ద కర ప దా ర ధ ాలు కలి పి
याद रख ने ला य क एक रात शा म सा त ब जे	గురతు ండి పో యే రాతరి రాతరి ఏ డు గంట లకు
नहीं , सच में . मैं बहुत मु सी ब त में पड सकता हूँ .	నిజంగా అ ంటుననా . లే ద ంటే నేను సమసయ లో పడ తాను .
इस जल में बहुत आकर ष क लग रहे हो .	నువవు ఆ నీ టి లో చాలా అంద ంగా ఉననావు .
वह सच में शान दार था .	అది నిజ ానికి భలే ఉంది .
माफ करना , अभी नहीं पर आ ख िर कार .	కషమి ంచాలి , ఇ వాళ కాదు , కానీ తవర లో .
शायद मैं यह कह ने की कोशिश कर रही हूँ कि एक दिन हम सब खतम हो जाएँगे	నేను ఏ మని చెపప ాలను కుంటుననా ను అంటే , మన ంద రం ఏదో క రోజు చని పో తా ం ,
इस अ ट प टी बात ची त का समय आ धा रह जाएगा जो मैं नहीं करना चाहता .	సం భా ష ణ ఇంకా సత తవర గా ము గి సి పో తుంది , కానీ నాకు అలా జరగ డం ఇషటం లేదు .
हाँ , मैंने सारे मै दा न में झा ग भर दी थी .	సర లే , నేను వ రం డా మొ త తా నని ఫో మ తో ని ం పే సా ను .
मेरे दोसत की बात ों के लिए माफ ी चाहता हूँ . वह डै ं प वा यर स को लेकर बहुत जो श में आ जाता है .	ఇం దా క నా ఫ రెండ అనన మాట లకు కషమించు . డా ం ప వె రస అన గానే తన కు చాలా ఉద వే గం పు డు తుంది .
अपने न ये दोसत के साथ म जे करो .	నీ కొతత ఫ రెండ తో బాగా ఎ ం జా య చె య .
अ ंग हिला ने के कार य कर म को लेकर थोडा उ दा स हूँ , बस .	నాకు డా నస గురించి ఆలోచి సతు ంటే కొంచెం బాధ గా ఉంది అంతే .
अ ंग हिला ने पर ये म जे दार आवा ज करते हैं .	మనం చే తులు ఊ పి నపపుడు ఇ వి భలే శ బ ద ం చేసతా యి .
अफ वा हों के अनु सा र , इस अ ंग हिला ने के कार य कर म का थी म खतम होना है .	సరే , నాకు తెలి సిన పు కారు పర కా రం , మన డా నస కి ఉనన థ ీ మ మ రణ ం .
और जहाँ से मैं हूँ ,	మా ఊ ర లో అయితే మ రణ ా నని
मैं उस समय बहुत छो टा परा ण ी था पर वह आ न ंद मन में जो श भर दे ता था .	అ పపటి కి నా వయ సు త కకు వే అయి నా కానీ ఆ మ జా మా తరం భలే ఉండే ది .
चलो एक बार और करें .	ఇం కొ కక సారి పరయతని ంచు .
यहाँ सी ल न की बू है .	ఈ చో ట వా స న ఏం బ ాల ేదు .
एक सि ता रे की परि कर मा कर रहा है	ఒక న కష తరం చు టట ూ తి రుగు తోంది
मैंने अपने मु ँ ह के पत थ र ठीक करवा ए . और मुझे व हीं रहना पसंद है जहाँ मजा हो रहा हो .	నా ప ళళు బాగు చేయి ంచు కుననాను . అలాగే సర దా గా ఉండే చో ట ఉండ డం అంటే నాకు ఇషటం .
ठीक है . चलो देख ें यह शो कितना म जे दार है .	సరే . ఈ ష ో ఎంత సర దా గా ఉ ంటు ందో చూ దదాం .
यह छ ल है .	అది అబ దధ ం .
मैं तुमसे " आकर ष क परा ण ी " के बारे में बात करने के लिए बे ता ब हूँ .	నీ తో హా ట బీ యి ంగ స కార య కర మ ం గురించి మాటలాడ టానికి ఆ గ లే కపో తుననా .
आ रो प लगा या और और उसकी अस फ ल ता का जि म मे दार मुझे बताया . मैंने यह तो नहीं चा हा था .	దీని వె ఫ ల యా నికి నేనే కారణ ం అ ంటుననా రు . ఆ ని ంద భ రి ంచ ాల సిన పని నాకు లేదు .
हाँ . कया हम दोसत नहीं हैं ?	అంటే , అవును . మనం ఫ రెండ స కా దా ?
यहाँ बहुत अजीब ऊ र जा है . मैं वहाँ जाती हूँ .	ఇకకడ చాలా వి ంత గా ఉంది . నేను ఇక అ కకడికి వెళ తాను .
कुछ थो डे अजीब लग सकते हैं	కొనని విషయ ాలు వి ంత గా ఉండ ొ చచు
कभी - कभी तो मैं अके ले बैठ कर उनका थी म गा ना गा ता हूँ .	కొనని సా రలు నేను ఒ ంట రి గా ఉనన పపుడు థ ీ మ పా ట పా డు తు ంటా కూడా .
और उससे भी जयादा चु नौ ती पू रण यह है	ఆ ద శ ను మరి ంత కష టం చేయ డా ని కే పె టటి న టటు
कया आकर ष क परा ण ी आकर ष क चीजें करते हैं ?	అంద మెన వారు అంద మెన ప ను లే చేసతా రా ?
और उस पर तु र रा यह कि अपने सभी साथ ि यों की नजर ों का क ें दर बन ते हैं .	అంతే కా క తో టి వారి ద ృష టి లో ఎలా గు ంటా మో అనన భ యానని కూడా ఎదు ర కో వాల సి వ సతుంది .
नहीं , ऐसा नहीं है . सब जानते हैं एक अचछा अ ंग हिला ने का कार य कर म आ यो जि त करना कितना मुशकिल है .	కాదు , అదే ం కాదు . ఒక మంచి డా నస కార య కర మా నని ఏ ర పాటు చేయడం ఎంత కష ట మో అంద రికీ తెలుసు .
कया मतलब ?	ఏమ ననా రు ?
कया सभी परा ण ी खतम होते हैं ?	మను ష ు లు అందరూ చని పో తా రా ?
- पता नहीं . म जे दार भी हो सकता है . - आ शा है म जे दार होगा .	- ఏ మో . సర దా గా ఉండ ొ చచు ఏ మో . - నా కో రిక కూడా అదే .
हाँ . अफ सो स कि कोई भी अ ंग नहीं हिला रहा .	అవును . పెదద గా ఎవరూ డా నస వే య కపో వడం ఏం బ ాల ేదు .
हाँ , कयोंकि तुम मुझे दिखा नहीं रहे हो कि तुम वा सत व में कौन हो .	అవును , ఎందుకంటే నువవు నిజంగా ఎలా ంటి వయకతి వో నాకు చూపి ంచడం లేదు కా బ టటే .
मुझे उनके साथ समय बि ता ने में मजा आने लगा था . और मैं सच में मदद करना चाहती थी .	తన తో ఉండ డం నాకు న చచి ంది . అందు కని నిజంగా నే నేను సాయం చేయాలి అను కుననా .
यह तो अचछी बात है . मुझे भी मदद करने की आद त नहीं है .	ఏం పర లేదు . నాకు కూడా సాయం చేయడం పెదద గా న చచ దు .
कि तने खि झा ऊ हैं . मुझसे बर दा श त नहीं होता जब किसी परा ण ी को पता हो वे आकर ष क हैं .	చాలా చి రా కు పు టటి సతుననారు . ఒక వయకతి కి తా ము అంద ంగా ఉంటా ం అని తెలి సతే నాకు అస స లు న చచ దు .
हम जी वन को मा य ने देने के तरी के ढूँढ ले ते हैं	జీవి తా నికి అరథ ా నని ఇవ వడానికి మా రగ ాలను వె తు కు తు ంటా ం
मुझे तुमहारी बहुत याद आई .	నేను నినను మి స అయ యా ను .
यह हमारी पसंद की जगह नहीं है .	ఈ పర దేశం మాకు కావాల సిన టటు గా లేదు .
कि उसका न ती जा होता है , बेहद शान दार अ ंग हिला ने के कार य कर म .	ఆ భ యం అత య ంత గొపప డా నస లు వే య డానికి కారణ ం అవు తుంది .
कर ूँगा !	చేసతాను !
यह मा इ क मुझे दो .	మె క నాకు ఇవ వు .
इससे मुझे खुशी मिली . मुझे नहीं लगा था कि ऐसा हो सकता है .	నేను ఎ ం జా య చేశా ను . అలా అవు తు ందని అస స లు అనుకో లేదు .
हे मेरे ल ॉर ब पर भ ु . तुम मेरी बात को सही सा बि त कर रहे हो .	ఓ రి , నా లా ర బ . నువవు నేను చెపపే దే ని రూ పి సతుననా వు .
उनसे हमें अ ंग हिला ने के कार य कर म के लिए जगह नहीं मिले गी .	మాకు డా నస కోసం ఒక పర దేశం ఇ పపటి కి పపుడు దొ రక దు కదా .
कोशिश करने में कोई हर ज नहीं . कहाँ से शुरू करें ?	ట రె చే సతే వచచే న ష టం ఏం లేదు . ఎకకడ వే దదాం ?
अ ंग हिला ने के कार य कर म के लिए जगह ? के यर फु ल ना ओ के बारे में कयों नहीं सोच ते ?	డా నస కార య కర మ ం కోసం పర దే శా నని వె తు కు తుననా రా ? కే ర ఫ ు ల నవ లో పెటట ొ చచు కదా ?
कि शो र ों के अ ंग हिला ने के कार य कर म की तै या री करने में तुमहारी मदद करे गी .	తన కు శి కష గా నీ క ౌ మార ద శ డా నస ప లా ని ంగ లో నీ తో కలిసి పని చేసతా రు .
