धनयवाद .	మంచిది !
तुमसे पयार करता हूँ इसलिए तुमसे शादी की ! तुमहें यहाँ ला कर मैं बहुत खुश हूँ .	నినను పరే మి ంచా ను , పె ళ లి చేసు కుననాను ! నువ వి కకడ ఉనన ందుకు సంతో షి సతుననాను .
अगर हमारे बीच कुछ नहीं हुआ होता तो शायद . . .	అదే మన మధయ ఏం జరిగి ఉండ కపోతే , అ పు డు బహుశా
और त : क माल की पार टी है . कया क माल का ज शन है .	- ఇది చాలా అదభు త మెన పార టీ . - ఏం సె ల బ రే షన .
ता रा : बहुत खू बस ू रत है , माँ .	ఇది చాలా బా వు ంది , అత తయ యా .
- कि तने पया रे हो . - अचछा ?	- నువవు చాలా స వీ ట . - అవునా ?
जा ह िर है , फ ूल ों की स जा व ट यहाँ पर होगी .	మరి క , ప ూ ల డె క రే షన లు చేసతా ం ఇకకడ . ము ంద ర
कुछ हफ त ों के लिए भा रत में हूँ . ड रि ंक पी ने चलो गे ? या फिर कॉ फी ?	నేను ఇ ండి య ాలో రెండు వార ాలు ంటా ను . కలిసి ఓ డ రి ంక తా గు దా మా ? లేక కా ఫీ ?
मैं तुमहारी मदद कर ूँगा . बताओ कया कर ूँ ? ?	నేను మీకు సాయం చేసతాను . ఎలా గో చెపప ండి ?
आपको पसंद है ?	నేను న చచా నా ?
अभी - अभी ग ृ ह म ंत री ने म ं जू री भे जी है , बिलकुल समझ नहीं आ रहा उन को कहाँ बि ठा एँ .	ఇ పపుడే హో ం మి ని సట రూ క న ఫర మ చేసా రు మా కే మో ఆ య నని ఎకకడ కూ రచ ో బె టట ాలో తెలీదు .
प तर कार : मैडम , मैडम , मैडम .	మే డ మ , మే డ మ , మే డ మ , మే డ మ .
पुलिस कुछ नहीं करे गी , वह एक माम ू ली इंसान है . . .	పోలీసు లు ఏం చెయయ రు , అతను ఎవరో ఓ సా ధా రణ వయకతి
बि ंद ु : शुकरिया . तुमहारे झ ुम के ब डे सु ंदर हैं .	థాంక స . నువవు పెటటు కునన ఇ య ర రి ంగ స చాలా బా వు ననా యి .
अरे , बेटी हम खो नहीं दे रहे हैं . बेटी के बद ले में बेटा पा रहे हैं .	మే ం మా కూ తు ర నే ం పం పి ంచ ె యయ ట లేదు . పె గా , కొ డు కు ని తె చచు కుంటుననా ం .
पता है , बहुत अचछा लगा कि तुम आ पा ई .	నువవు రా వడం చాలా బా వు ంది తెలుసా .
अगर उससे पयार करता , तो उससे शादी की होती . मैंने तुमसे शादी की .	నేను త నని పరే మి ంచి ఉంటే , తన నే పెళళి చే స కునే వాడిని . నినను చే స కుననాను .
- हे लो , वि शा ल सर . - हे लो .	- హలో , వి శ ాల , సర . - హలో .
वो कम रे में बंद हैं .	త నని గ ది లో లా క చేసా రు .
तुमहें पता है . मुझे पता है . तुम उससे पयार करते हो .	అది నీకు తెలుసు . నాకు తెలుసు . నువవు త నని పరే మి సతుననా వు .
बहुत अचछा बं दो बस त किया ना इन लोगों ने ?	చాలా మంచి ఎ రే ం జ మె ంట స చేసా రు కదా వీ ళళు ?
रुको एक मिनट . रो हि नी ? रो हि नी ?	ఆగు , ఒకక ని ము ష ం . రో హి ణ ీ ! రో హి ణ ీ !
और ई श वर का आ शी र वाद माँ गो .	ఆ త ండ రి ఆ శ ీ స సు లు అర ధి ంచు .
- तुमहारी बकवास स ह ती रह ती हूँ . - मैं नहीं . . .	- నే ని ంక భ రి ంచ లేను . - నేను చెయయ లేదా ? నేను చెయయ లేదా ?
हाँ ? हम ती नों के बीच का राज है .	ఆ ? ఇది మన ము గ గురి మధయ లో సీ క రె ట .
सारे नाम लि खे हैं . . .	అన నీ రా సు కుననా ం , ఇంకా
ये सं सक ृ ति है किस की ?	ఇది ఎవరి సం స క రు తి ?
जै ज , वो बै ट री पक डा दे , यार .	జా జ , కొంచెం బ యా ట రీ ని లా ఇ సతా వా ?
अभी भी म जे ले रहो हो , शायद .	వయ సు లో ఎ ం జా య చేసతుననా వ ను కుంటా .
क बी र कह ता रह ता है , " जै ज बहुत ही म जे दार है . "	క బీ ర నాకు ఎపపుడూ చెబు తు ంటా డు , జా జ సర దా గా ఉ ంటు ందని
लोग कहते हैं मुझ में वो बात है कि देश का अग ला पर धा न म ंत री बन सक ूँ .	పర జ లు నా లో ఈ దే శా నికి తర వా తి పర ధా నమ ంత రి అ యయ ే సత తా ఉ ంద ంటుననా రు .
तो , तुमने सत ता प कष को चु नौ ती दी है , हाँ ?	అంటే , నువవు రూ లి ంగ పార టీ నే ఢ ీ కొ ననా వా ?
वह राज नी ति जग त से हैं . उनहोंने ये जिंदगी देख ी है .	తను రా జ కీ య కుటుం బా నికి చె ంది న ది . తను జీవి తా నని చూ సింది .
- मैं ऐसा बिलकुल महसूस नहीं करता ! - बिलकुल महसूस करते हो !	- నే న లా అనుకో వ ట లేదు ! అస స లు కాదు . - అ ఫ కో రస , అలాగే అనుకుంటుననా వు !
एक बै ट री ही तो है .	జ సట బ యా ట రీ అంతే .
- तुमने गलती की ! मैंने गलती की ! - ऐसा मत क हो . . .	- నువవు నా శ నం చేసా వు ! నేను నా శ నం చేసా ను ! - అలా అన కు
बस इतना कह दिया कि उसके हार मो न का सं तु ल न बि ग ड गया था .	ఏదో కె మి కల ఇం బయ ాల ె నస వలల చని పోయి ందని చెపపా ర ంత ే .
अपनी बहन की मौ त की सा जि श का किया खु ला सा	తన అ కక మ రణ ం గురించి కు త ంత రా నని బ హి రం గ పర చి ంది
- एक बार चल के देख ली जिए . - नहीं , मैं फो टो श ू ट करा . . .	- మీ ర ొ కక సారి వచచి చూడ రా ? - లేదు , నేను ఫ ొ టో ష ూ ట మధయ లో ఉననాను .
किसी को इस बारे में नहीं पता , खबर को पूरी तरह से द बा दिया गया था .	ఇది ఎవ రికీ తెలీదు , వాళళు ఈ విషయ ాల ననీ బయట కి రా కుండా దా చేసా రు .
कया तुम , न ूत न याद व , ज ॉन मै थ यू को अपने पति के रूप में सवी कार करती हो ?	న ూ తన యా ద వ అనే నీ వు , జా న మే థ యూ ని నీ చ టట పర భ ర త గా అ ంగ ీ కరి సతుననా వా ?
सिरफ सत ता प कष उनहें गि रा सकता है .	కేవలం రూ లి ంగ పార టీ యే వాళ లని అ ణ చ గల దు .
सर , असल में उन को वहाँ बा डे के पास बि ठा या जाएगा .	సర , నిజ ానికి వాళల ంతా అకకడ ఆ క ంచ ె ల దగగర కూ రచు ంటా రు .
रा जी व : देखो भ ई , हर पिता चाहता है कि उसकी औ ला द तर क की करे .	చూడ ండి , పర తీ త ండ రీ తన కొ డు కు గొపప వాడు కా వాలని కోర తా డు .
मैं नहीं , मेरी न ूत न बु आ है दु ल ह न .	నేను కాదు . మా న ూ తన అత త పెళళి కూ తు రు .
तुम भी तो पहली बार इससे मिली थी . तुमहें याद है इस ने कया पह ना था ?	అదే నువ వ ూ త నని కలి సిన మొదటి సారి . నీకు గురతు ందా త నే ం తొ డు క కుననా డో ?
ये लो . ये डो रा के लिए .	ఇది గో , ఇది డో రా కోసం .
मुझे पता है इसके लिए बहुत बडा है .	నాకు తెలుసు అది చాలా పెదద దని .
देख िए , याद व जी का परिवार का हि ससा बन ने की बेहद खुशी है मुझे .	మాకు యా ద వ గా రి కుటుం బ ంలో భా గం కా వడం చాలా ఆన ంద ంగా ఉంది .
" मेरे साथ ऐसा कयों कर रहा है ? बात करते हैं . तुमहारा अपना . . . न वा ब ? "	" ఇలా ఎందుకు చేసతుననా వు ? నాతో మాటలాడ వా . ఎ పపటి కీ నీ వా డె న , న వా బ ? "
अ ल मा री में देखो .	బీ రు వాల ో చూడు .
क माल की क व वाली है . आप लोगों ने स मा ं बा ँ ध दिया .	క వ వాల ీ అయితే అది రి పోయింది . మీ అంద రికీ థాంక స .
हम इस सोच के साथ उ ठ ते हैं कि भगवान ने आज हमारे लिए कया सोच र खा होगा .	అందరూ నమ మే ది ఒకక టే ఆ దేవు డు ఏం రా సి పె టటి ఉంటే అదే జరుగు తు ందని .
स मा चार वा चि का : मि सटर कर न मे हरा , जिन होंने सु पर ी म को रट से अप ी ल की है . . .	మి . కర న మె హ రా , ఎవరు ఈ విషయ మె సు పర ీ ం కోర టు లో పి టి షన వే సా రో . . .
- नहीं ! नहीं ! नहीं ! - और मुझे बर दा श त करते रहना होगा .	- కాదు ! కాదు . కాదు ! - నేను దానని భ రి సతూ ఉండాలి .
- कर कया रही हो ? - तुम लगा तार फै जा से मिल ते रहे .	- ఏం చేసతుననా వు ? - నువ వి ం కా ఫె జా ని కలు సతూ నే ఉననావు కదా .
नहीं , खुद पह न कर देख ूँगी .	వదదు , నేనే వే సు కుంటా ను .
कत ई बर दा श त नहीं करेंगे .	దీ నని స హి ంచి ఊ రు కో ం .
अगर मुझे कुछ हो जाए ,	నాకు క న క ఏదెనా జరిగి తే ,
सू ं घ ो और पि यो , घ ुम ा ओ , हाँ .	వా స న చూ సి తా గు , తి పపు , అది .
कि अगर तुमहें पा लिया , अगर ये जि द गी पा ली , तो मैं खुश र हूँ गी .	నువవు నాతో ఉంటే , ఈ జీవితం దొ రికి తే , సంతోష ంగా ఉంటా నని .
- मैं एक सि गरे ट पी ले ता हूँ . - हाँ . जी .	- ఈ లో గా నే నో ద మ ము కొ టటి వ సతాను . . - ఆ . అలాగే .
तुम सच में बहुत अचछे इंसान हो .	నువవు నిజంగా మంచి మనిషి వి .
आ ं टी , बस पाँच मिनट लग ेंगे .	ఆ ంట ీ , ఐ దు ని ము ష ాలు కూడా ప టట దు .
वह अपना ल ंड मेरे चे ह रे पर घ ुम ा ता रहा , तो . . .	ఇం క , వాడు నా మొ ఖ ం పె వాడి వెన క బా గం పెటట ె వాడు .
- अचछा ? अचछा . - व रु ण : सू ं घ ो और पि यो .	- అవునా ? ఆ హా . - వా స న చూ సి తా గు .
पता नहीं तुम कया क हे जा रही हो !	నా కే ం అర ధం కా వ ట లేదు నువవు మాటలా డే ది !
जब इसकी शादी होगी ?	తన కి పె ళల యి న పపు డా ?
- तुम मुझसे पयार नहीं करते . - तुमने मेरी जिंदगी सं वा री !	- నువవు ననను పరే మి ంచ ట లేదు . - నా జీవి తా నని మె రు గగా చేసతా వ ను కుననా !
- तैयार हैं ? - इस तरफ देखना है ना ?	- ఓ కే , రె డీ యా ? - ఆ , ఇలా రండి . అ దీ .
याद व - क ुम ा र शादी ट ू ट ने के बाद , रा जन ै ति क ग ठ बं धन मुशकिल में	రా జ కీ య సం కీ రణ ం చి కకు లలో యా ద వ - కు మార పెళళి ని లి చి పోయా క
मुझे लगा था सब बहुत अचछा होगा .	అంతా బాగు టు ంద ను కుననాను , తెలుసా .
- रुको , कया ? - हम एक जैसे हैं , आ दिल .	- ఆగు , ఏంటి ? - మని దద రం ఒక టే , ఆ ది ల .
नहीं , इसमें नहीं हो सकते वो . बहुत ब डे हैं .	కాదు , ఇ ందు లో ప టట వు . అవి చాలా పెదద వి .
- कि शो र : और दोनों कु त ते . - शुकरिया .	- ఇంకా రెండు కు కక లు . - థాంక యు .
मुझे माफ करना , दो स तो .	అ యా ం సో సా రీ , గె స .
त ू ने बडा मे हर बा नी किया है ना ? ग टर से उठा या मुझे ?	నా పె చాలా దయ చూపి ంచా వు , కదా ? ఆ ము రికి వా డ లో ంచి తీసు కొ చచి .
और जा ह िर है , मैं पुलिस के पास नहीं जा सकता .	ఇక సప షట ంగా , నేను పోలీసు ల దగగర కి వెళళ లేను .
6 सि त ंबर , 2 0 1 8 को , भा रत के सु पर ी म को रट ने नि र वि वा दि त रूप से ये फै सला सुना या	సె ప టె ం బర 6 , 2 0 1 8 , సు పర ీ ం కోర ట ఆ ఫ ఇ ండి యా ఏ క గర ీ వ ంగా రూ లి ంగ ఇ చచి ంది
क बी र : कया ? बस करो , मजाक कर रहा था .	ఏంటి ? నో ర ము య , జో క చేసతుననా ను .
बै ट री बद ली करता हूँ मैं , एक से क ंड .	బ యా ట రీ మా రు సతాను , ఒకక ని ము ష ం .
न ूत न दी दी कम रे में नहीं है .	న ూ తన అ కక తన గ ది లో లేదు .
मुझे फर क पडता है .	నేను ప టటి ంచు కుంటా ను .
पर मुझे याद है जब मैंने पहली बार इसे देखा था .	కానీ నాకు త నని మొదటి సారి చూడ డం గుర తుంది .
- चीजें तो ड ना बंद करो . - मैं ऐसा बिलकुल नहीं सोच ता .	- అలా అన నీ అన వ సర ంగా ప గల గొ టట కు . - అలా నే నస లు అనుకో వ ట లేదు .
न ई दि शा में ले जाकर , ख न ना इन फ रा सटर क चर को ख डा किया है .	ఎ తతు కి తీసు కె ళళ ి ఖ ననా ఇ న ఫ రా సటర క చ ర నె ల కొ ల పా రు .
- रुको . एक से क ंड . तुमने कया . . . - हम दोनों इसके लिए जि म मे दार हैं .	- ఆగు , ఒకక ని ము ష ం . ఏం చేసా వు - దీ నికి మని దద ర మూ బాధ యు ల మే .
मेरे पास त सवी र ें हैं . मेरे पास सब ूत है !	నా దగగర ఫ ొ టో లు ననా యి . సా కష యం ఉంది .
तुम पयार करते हो उससे .	నువవు దానని పరే మి సతుననా వు .
वह ऐ ति हा सि क फै सला , जिस ने एक लि ंग के स हम त वय सक लोगों के	ఈ చా రి త రాత మ క తీ ర పు , ఏ ది అ ంగ ీ కా రం ఉనన ఒక ే లి ంగ పు ఈ డ ొ చచి న వారి మధయ
वो खेल ती नहीं हैं . सिरफ रो ती रह ती हैं .	తను ఆడ దు . ఎపపుడూ ఏ డు సతూ ఉంటుంది .
मेरी बहन या मेरी माँ के लिए कुछ - कुछ करते हो .	నువవు మా అమమ కీ అ కక కీ ఏ వో చేసి పెటటా వు .
इसमें तीन होने चाहिए . ती नों के तीन पह ना देना , हाँ .	అవి మూ డు ండ ాలి . అది మూ డ ూ వే సు కునే టట లు చూడు .
ता रा : कयों ? कयोंकि तुम ई सा ई हो ?	ఎందు కని ? నువవు కరి స టి య ననా ?
मेरे पिता , बर जे श याद व , जब र दस ती मेरी शादी वि शा ल सि ं ह से करवा रहे थे .	మా నానన , బర జే శ యా ద వ , ననను బ లవ ంత పెటటా రు వి శ ాల సి ం గు ని పెళళి చేసుకో మని .
और रात को तैयार रहना , ठीक है ?	ఈ రాత రికి రె డీ గా ఉ ండు , ఓ కే ?
मुझे डर है वह कहीं खुद को कुछ कर ना ले .	నాకు భయ మే సతోంది తను ఏమెనా చేసు కు ంటు దే మో నని .
कि भा र ती य द ंड सं हि ता की द फा 3 7 7 अ सं वै धा निक है .	ఇ ండి యన పీ న ల కో డ లో ని సె కష న 3 7 7 రా జ యా ంగ బ దధ మెన ది కాదు అని .
ये है . . .	ఇది మరి . . .
नहीं . . . शा ंत हो जाओ . ठीक है ?	వదదు జ సట శా ంతి ంచు , సరేనా ?
कल से पू रण - पू रण सम र थ न .	మీకు మా అంద రి మ దద తు ఉంది .
तुमहें लगता है मुझे ये आ ली शान जिंदगी इसलिए दी ताकि तुम कुछ भी करते रहो .	న ూ వ వు నా కీ పే దద జీవి త మి చచి ఏం కావాల ంటే అది చే ద దా మను కుననా వు !
कया तुम , ज ॉन मै थ यू , न ूत न याद व को अपनी ध र म प तनी के रूप में सवी कार करते हो ?	జా న మే థ యూ అనే నీ వు , న ూ తన యా ద వని నీ చ టట పర భా రయ గా అ ంగ ీ కరి సతుననా వా ?
आ दिल ख न ना , तो हर वकत कया मुझे तुमहारी ही बातें सुन नी हों गी ?	ఆ ది ల ఖ ననా , నేను ఎపపుడూ ను వు చెపపే ది వి ంట ూ ఉండ ాలా ?
तुम उनहें घर दे ते हो और मुझे गु ला म की तरह रहना चाहिए !	వాళళ కి ఓ ఇ లలు ఇ సతే నేను నీ బా ని స లా పడు ండ ాలా !
तुम अब भी इसी तरह सो ते हो ?	నువవు ఇంకా అలా నే పడు కుంటా వా ?
- हम बात कर सकते हैं . . . - लड का : न वा ब हो मो है !	- మనం ఇది మాటలాడు కో వచచు - న వా బ ఒక హో మో !
आ जाओ . हो गया , हो गया . आ जाओ .	అయి పోయింది , నువవు వెళళ ో చచు .
- ता रा : कै सी हैं ? - अचछी हूँ .	- ఎలా ఉననారు ? - బా వు ననా ం
वो चा ची ने वो झ ुम के . . .	ఆ ంట ీ అడి గి న చె వి రి ం గు లు ఏ వి ?
अचछा है , तुमहें जलदी से समझ तो आ गया तुमहारे लिए अचछा कया है .	మంచిది . నీకు తవర గానే బు దధ ి వచచింది అంత క ననా ఏం కావాలి .
- रो ज - रो ज का ये . - अचछा , सर .	అ రే , రోజు రోజు ఈ నా ట కాల ే ంట రా బా బ ూ ?
तो पलीज ये समझ िए गा कि मैंने अपनी बहन की तरह आत मह तया नहीं की .	పలీజ నేను మా అ కక లా గా ఆ తమ హ తయ చేసుకో లే దని గురతు పెటటు కో ండి .
मुझे दूर रहना चाहिए था .	నేనే నీకు ద ూర ంగా ఉండ ాల సింది .
कुछ जयादा ही आगे बढ रहे हैं लोग .	వీ ళళు కొంచెం ఎ కకు వే ముందు కె ళ ి పో తుననారు .
- कर न : हे लो , गु ड म ॉर नि ंग . - हे लो , हे लो .	- హాయ , మార ని ంగ . - హాయ , హలో . హలో .
पलीज ?	పలీజ ?
मुझे लगता है इसे न शा दिया गया है .	తన కి మ తతు మంది చచి న టటు ననా రు .
हाँ , बै ट री बद ली कर लो .	ఆ , బ యా ట రీ మా రచ ండి .
तुमने कभी पा प सवी कार किया है ?	నువ వెపు డ ెనా క న ఫె షన చేసా వా ?
वो जो पार टी के ली डर हैं , उनके लिए . . .	పార టీ లీ డ ర ల కి ఇకకడ బాగా క న పడ ాలి
- मैं आप से ये पूछ रहा हूँ . . . - हाँ ?	- నేను మిమమలని అడి గే ది - అడ గ ండి ?
ये एक इं जी नि यर हैं और अब मेरा नाम न ूत न मै थ यू है .	అతను ఓ ఇం జ నీ ర ఇంకా ఇ పు డు నేను న ూ తన మే థ యూ ని .
ये इसके लिए बहुत बडा है .	ఇది తన కి చాలా పెదద ది .
इंसान के त ौर पर ?	ఒక వయకతి గా నా ?
मैंने तुमहारी जिंदगी त बा ह कर दी .	నీ జీవి తా నని నా శ నం చేసా ను .
मेरी बहुत ही खू बस ू रत बह ू और बे टे आ दिल को शादी की सा लग ि रह की बहुत - बहुत मु बार क बाद ,	నా అంద ాల కో డ లు ఇంకా నా కొ డు కు , ఆ ది ల కి , ఎ వె రీ , వె రీ హా పీ ఏ ని వర స రీ
बा रात वहाँ से आए गी , तो . . . तो न ूत न के मा मा और चा चा यहाँ बैठ ेंगे .	బా రాత ఇకకడ నుంచి వ సతుంది , సో న ూ తన అ ం కు లస ఇకకడ కూ రచు ంటా రు ,
हे लो . गु ड िया के हाथ में एक और गु ड िया .	హలో . ఒక బ ొ మమ చే తి లో ఇం కో బ ొ మమ .
मेरे मु ँ ह पर झूठ बोल ते रहे हो .	ఇ నని రోజు లు నాకు అబ దధ ాలు చెబు తుననావు .
लगता है मुझे थो डे आ राम की जरूरत है अब .	అంద ంగా ఉండ ాల ంటే వెళళి ని దర పో వాల ను కుంటా .
वो होना लि खा ही नहीं था .	అది జరగ ాలని రా సి లేదు .
हाँ , मुझे तो पसंद है .	ఆ , నా కె తే న చచా వు .
और चा हूँ गा कि कई ऐसे साल आ ते र हें .	ఇలా ంటి వి ఇం కె నన ో జ రు పు కో వాలని కో రు తుననాను .
ता जा खबर न ूत न याद व ने कॉ ले ज के परे मी से किया वि वाह	బ రే కి ంగ న యూ స : న ూ తన యా ద వ తన కాల ే జ స వీ ట హా ర టు ని పె ళ లి చేసు కు ంది .
एक गलत क दम उठा या , तो अग ला चु ना व भी भूल जा इए गा .	ఒకక తపప ట డుగు వే సతే మీ తర వా తి ఎ నని కలు కూడా ఓ డి పో తారు .
क बी र : हाँ , जी . आ ं टी , लें स पर .	- అవును మే డ మ . లె నస లోకి , ఆ ంట ీ . - ఓ కే .
- कया ? - न ूत न दी दी अपने कम रे में नहीं है .	- ఏంటి ? - న ూ తన అ కక తన గ ది లో లేదు .
