न व ंबर .	న వం బర .
अग ले चु ना व में आपको मेरा पूरा सम र थ न मिले गा , ग लो रि या .	తరు వా తి ఎ నని క లలో నీకు నా పూరతి మ దద తు ఉంటుంది , గ లో రి యా .
इस चिं गा री से बच कर रहना .	ఈ మ ంట లేని పొ గ ను త టటు కో .
म ॉ निका हे र रे रा को ढूँढ ो . वह करा कस की एक व की ल है .	మో ని కా హ ీ ర రె రని కను గొ ను . ఆమె క రా కస లో నయాయ వా ది .
इसका नाम मै कस श ै ं कल है .	అతని పేరు మా కస ష ెం కె ల .
इतने साल ों बाद भी . . .	ఇ న నే ళళ తరువాత కూడా . . .
मुझे यह फोन लेना होगा .	నేను ఈ కాల మాటలాడ ాలి .
ये तो बस कुछ बातें हैं . और भी बहुत कुछ है .	అవి కేవలం ముఖ య మెన వి . ఇంకా చాలా విషయ ాలు ననా యి .
- माफ करना . - शुकरिया .	- కషమించు . - ధనయవాదాలు .
कॉ ले ज जाने वाला होता .	కాల ే జీ కి వెళ తు ండ ే వాడు .
एक जरू री काम करना है .	ఒక ముఖ య మెన పని జరగ ాలి .
" ए परि य स " ? यह कया है ?	" ఎ పరి య సా " ? అంటే ఏంటి ?
यह ली जिए , मि सटर रा यन .	ఇది గో ండి , మిసటర రెన .
कया हमें देख कर लगता है कि हम गो रि ल ला यु द ध करने वाले लोग हैं ?	మేము గొ రి లలా యు దధ ాల కు మను ష ు లను సర ఫ రా చేసే వాళళ లా కనిపి సతుననా మా ?
सा व धा नी बर तने के लिए आपको दो ष नहीं द ूँगा ,	మీరు జా గర తత గా ఉండ డా నని నేను తపపు ప టట ను ,
से न यो रा बो ना ल डे , मैं जि म ग री यर हूँ , अ मरी की वि देश वि भाग से .	సె న యో రా బ ొ ండ ే ల , నేను యు . ఎ స . సట ే ట డి పార టు మె ంట నుండి జి మ గర ీ ర .
टॉ म कल ै न सी ज जै क रा यन	టా మ క లా నస ీ స జా క రెన
हाँ , पर उनहोंने उसकी पह रे दा री करने के लिए ह थ िया र ों के त स कर ों को काम पर कयों र खा ?	నిజ మే , కానీ దానని కా పా డ డానికి ఆ యు ధ ాల అ కర మ ర వా ణ ా దారు లని ఎందుకు నియ మి సతుననారు ?
जि म , कुछ देर के लिए हमें अके ला छोड दो गे ?	జి మ , మేము కా సత ఏ కా ంత ంగా మాటలాడు కో వచచా ?
नि को ल स ने अ मरी कि यों के बारे में कुछ कहा ?	ని కో లస అ మె రిక న ల గురించి ఏమెనా చెపపా డా ?
बिलकुल . जरूर कर ूँगा .	తపప కుండా ఉంటా ను సర .
यहाँ हूँ , मेरी जान !	ఇకకడ ఉననాను , బంగా రు !
ठीक है , सुनो , मुझे एक मदद चाहिए , ठीक है ?	సరే , వి ను , నాకు ఒక సహా యం చె య యి , సరేనా ?
तुम उनहें जानते हो ?	మీకు వాళళు తెలుసా ?
पर इस नाम से नहीं .	కానీ ఆ పేరు తో కాదు .
उनहें कया चाहिए था ?	అతనికి ఏం కావాల ంట ?
ल ंद न पुलिस . पलीज अपनी जगह बैठ े र हें .	ల ండ న పోలీ స . దయచేసి మీ సీ ట లలో నే ఉండ ండి .
आप यहीं रु किए , मैडम . मैं देख ता हूँ .	ఇకకడ ే ఉండ ండి , మే డం . నేను చూ సు కుంటా ను .
एक जर मन ना गर ि क जो ए ज वे यर में रह ती है .	ఎడ జ వే ర లో నివ సి సతునన జర మ నీ ప ౌ రు ర ాలు .
इसी वजह से तो मैं आपके पास आया हूँ .	అది తెలుసు కో వ డా ని కే మిమమలని కలి సింది .
पलीज , ऐसा मत करो .	దయచేసి ఇలా చేయ దదు .
- हैलो . - कैसे हो ?	- హే . - ఎలా ఉననావు ?
मैं सु बह जलदी उ ठ जाता हूँ . नौ से ना की पु रा नी आद त है .	నేను ఉద యా న నే లే సతాను . న ౌ కా ద ళ ంలో అయి న పా త అ ల వా టు .
यह एक सै टे ला इट से सं पर क करता है .	ఇది ఉ ప గర హా నికి అను సం ధా నం అవు తుంది .
वि देश में जान ले वा हम ला होने का यही तो फा य दा है .	వి దేశం లో దా దా పు హ తయ కు గురి కా వడం లో ని లా భ ాల లో ఇ దొ క టి .
मैंने कै ं प के पहले डि ब बे में ये त सवी र ें ली थीं .	ఇ వి శి బి రం లో ని మొదటి క ంట ె యి న ర లో నేను తీ సిన ఫో టో లు .
जिस की की मत करी ब 3 2 ला ख ड ॉलर है .	దాని ఖ రీ దు దా దా పు 3 2 లకష ల డ ాల రలు .
यू . ए स . कै पि ट ल व ॉ शि ंग टन , डी . सी .	యు . ఎ స . రా జ ధా ని వా షి ంగ టన , డి సి
ग लो रि या बो ना ल डे .	గ లో రి యా బ ొ ండ ే ల .
वह एक दम पागल है .	వాడు చెతత వెధవ .
लोग अचछी सं खया में होने चाहिए .	మనకు మంచి వి డు దల పర ణ ా ళ ి క కావాలి .
" अ मो निय म ना इट रे ट ई ं धन ते ल . "	" అమమ ో ని యం నె ట రే ట ఇం ధన చ ము రు . "
सर जि यो बो ना ल डे .	సే రి గో బ ొ ండ ే ల .
गु ड ना इट , माँ .	శు భ రాతరి , అమమా .
ही थ रो ह वाई अ ड डा ल ंद न , इ ंग लै ंड	హ ీ తర ూ విమా నా శ ర యం ల ండ న , ఇం గ లా ండ
वह आज 1 8 साल का हो गया होता .	తన కు ఈ రోజు కు 1 8 ఏ ళళు ని ండ ే వి .
उसका नाम जो सट वै न डर बिल है .	అతని పేరు యో సట వా న డ ర బి ల .
इन दोनों का आप स में कोई ता ल ल ु क नहीं है . तुम यह जानते हो .	ఒక దానికి ఇం కొ కదా ని తో సంబం ధం లేదు . నీ కా విషయం తెలుసు .
ल ंद न ? किस लिए ?	ల ండ నా ? ఎందుకు ?
हमें लगता है कि एक अ मरी की सा ंस द की हतया में उनका हाथ है .	ఒక యు ఎ స సె నె టర హ తయ లో వాళళ పర మే యం ఉ ందని అనుకుంటుననా ం .
कया सं बं ध है ?	ఆ సంబం ధం ఏంటి ?
उनके नाम के साथ चु ना व लड ना .	అతని పేరు తో పర చా రం చేయడం .
करा कस , मा रा सी बो और वै ले न स िया में हमारी स थि ति अचछी है .	క రా కస , మ రా కె బో , వాల ె న సి య ాల లో మనకు మంచి పటటు ఉంది .
आ राम से सो ना .	చ కక గా పడు కో .
सामने से ह टो .	ప కక కి జరుగు .
लूसी सट े बि न स	లూ సీ సట ె బ బి నస
पर तुमहें उनकी प तनी से बात करनी चाहिए .	కా కు ంటే , నువవు అతని భా రయ తో మాటలాడు .
नहीं , मैं यहाँ छु ट ट ियाँ मना ने आया हूँ .	లేదు నేను ఇకకడికి సె ల వు మీద వచచా ను .
वह वे ने जु ए ला वाली घट ना ?	వె నిజ ు ల ాలో జరిగి న సం ఘ ట నా ?
पर डर ती हूँ कि ऐसा किया तो शायद वह लौट कर न आए .	కానీ అలా చే సతే , తను తిరిగి రా డే మో నని భ యం వే సతుంది .
प ॉल , जरा आवा ज कम करो गे ?	పాల , స ౌ ండ కా సత త గ గి సతా వా ?
और यह देखो . ए फ बी आई को डि स के हि सा ब से ,	ఇంకా ఇది చూడు . ఎ ఫ బి ఐ కో డి స పర కా రం ,
कुछ पता चल ने पर तुमहें फोन कर ूँगा .	నా కే ద ెనా తెలియ గానే , నీకు కాల చేసతాను .
बिलकुल नहीं .	అస స లు కాదు .
सब एक कू ट बद ध ई - मे ल खा ते के ज रि ए किया गया था .	మొతత ం ఒక కో డ చేసిన ఈ - మె యి ల అ క ౌ ంట నుండి జరిగింది .
बा बा रू लॉ गि न	బ బా రూ లా గి న
मेरी बहन है .	నా చె ల లె లు .
मैं कया मदद कर सकता हूँ ?	మీకు ఏం సహా యం చేయ గలను ?
अ चा न क आपको मेरे पति में दिल च स पी कयों हो गई ?	మీకు నా భ ర త పె అ కస మా తతు గా ఆ స కతి ఎందుకు వచచింది ?
शायद मुझे कम रा साफ करवा देना चाहिए ,	బహుశా నేను ఇ దంతా శు భ రం చేయ ాల ే మో ,
ल ंद न ऑ फि स ने कया कहा ?	ల ండ న కార య ాల యం ఏమ ంటుంది ?
नया सं देश आर . टी . . .	కొతత స ందే శం ఆర . టి . . .
यह ख न न में इस ते माल होने वाला एक आ म वि स फो ट क है . और यह . . .	అది గ ను ల త వ వ క ంలో వా డే మా మూ లు పే లు డు ప దా రథ ం . ఇది . . .
मेरे सट े शन में ऐसा कुछ नहीं हो रहा	పర ె సి డె ంట రే యే స కు తెలి సే వి ధ ంగా
ग ृ ह म ंत री सर जि यो बो ना ल डे ने वे ने जु ए ला के ते ल सौ दे को म ं जू री दी	అంత రగ త వయ వ హా ర ాలు , నయాయ శా ఖ మ ంత రి సే రి గో చ ము రు ఒ పప ందా నని ధ ృ వీ కరి ంచారు
पता नहीं . अभी तक उनसे बात नहीं की .	నాకు తెలీదు . నేను ఇంకా అడ గ లేదు .
जी हाँ , सर .	అవును , సర .
वह ल ंद न में स थि त एक पी ए म सी है .	అది ల ండ న లో ఉనన పర ె వే ట సె నిక సం సథ .
करा कस में एक अ मरी की सा ंस द की हतया से है ,	ఒక యు . ఎ స . సె నె టర హ తయ కు పర తయ కష సంబం ధం ఉ ందని ,
उससे जयादा कुछ नहीं .	అంత కు మి ంచి ఏమీ చేయ ము .
म टे यो . . .	మే టి యో . . .
जो हमें ज ंग ल में देख ने की कष म ता दे ती है .	మనకు అడ వి ని పె నుండి చూ సే వీ లు ను కల పి సతుంది .
वह कहाँ है ?	అతను ఎకకడ ?
- मैं बाद में फोन कर ूँगा . - रा यन !	- నీకు మళళీ కాల చేసతాను . - రెన !
मेरे खया ल से तुमहें यह तो पता होगा कि एक वि धा य ी स हा य क	అంటే , మా మనిషి ఒక డు క న బడ కుండా పోయి న ఆ పరే షన పె నే ,
- पता नहीं . - पकका ?	- నాకు తెలీదు . - నిజ మా ?
आपने जिस तरह उसकी याद ों को जि ंदा र खा है , वह का बिल - ए - ता री फ है .	అతని ఙ ఞ ా ప కాల ని నువవు స జీ వ ంగా ఉ ంచు తునన తీ రు గొపప గా ఉంది .
यह तुमहें कहाँ से मिला ? जिस आदमी से तुमने यह चु रा या , वह कहाँ है ?	ఈ వ సతు వు లు ఎకకడ దొ రి కా యి ? నువవు ఇ వి ఎవరి నుండి దొ ం గి లి ంచా వో , అతను ఎకకడ ?
फिर रे य स ने वह ओह दा खा रि ज कर दिया . कयों ?	మరియు నయాయ శా ఖ కు ఆ ఖ రు మ ంత రి . ఎందుకు ?
बो ना ल डे नि वास करा कस , वे ने जु ए ला	బ ొ ండ ే ల ఇ లలు క రా కస , వె నిజ ు లా
कोई बात नहीं . उनहें आने दो .	ఫర లేదు . వాళళ ను లోప లకు రా నివ వు .
मै कस यहाँ आ चुका है .	మా కస ఇకకడ ే ఉననాడు .
यह तो ग ैर कान ू नी है , जे रे मी .	అది నిజంగా చ టట వి రు దధ ం , జె రె మీ .
यह कया है ?	ఇది ఏంటి ?
यह कया है ?	ఇది ఏంటి ?
- जै क रा यन का दिमाग . - झा ँ क ने के लिए अचछी जगह है ,	- జా క రెన తెలి వి . - స ంద ర శి ంచ డానికి మంచి సథ ల మే ,
ज ंग ल वाला द कष ि ण अफ री की दोसत याद है ?	అడ వి లో ద కషి ణ ఆ ఫ రి కా మి తరు డు గుర తుననా డా ?
जो मु सी ब त को बुला वा देने से कम नहीं है .	మనకు చె డు జరగ డానికి అది మంచి కారణ ం .
- हे भगवान . - कया पता चला ?	- ఓ రి దేవుడా . - ఏం కను క కుననా వు ?
मैं सी धे मु द दे पर आता हूँ .	నేను సూ టి గా విష యా నికి వ సతాను .
पर कोई जवाब देने से पहले मुझे सोच ने के लिए थोडा वकत चाहिए .	కానీ మీకు జ వా బు ఇవ వడానికి ముందు నేను ఆలోచి ంచుకో వాలి .
इन पे टि यों में अ मो निय म ना इट रे ट ई ं धन ते ल है .	ఇక , ఈ క రే ట లలో ఉనన ది అమమ ో ని యం నె ట రే ట ఇం ధ నం చ ము రు .
मा इ क , जरा इसे देखो .	మె క , ఒక సారి చూడు .
हाँ , सही कह रहे हो .	అవును , అది నిజ మే .
ए ज ें सी को औ प चा रिक आ वे द न भे जे बिना ?	అ ధి కా రిక ఇంట ర ఏ జె నస ీ అ భయ రథ న లే కుండా నా ?
पू छो , कया पूछ ना है .	మీ పర శ నలు అడ గ ండి .
आपके इस पर सता व से मेरा मान बढ ा है , रा ष टर पति जी .	మీ ఆ ఫర నాకు గ ౌ ర వ నీ య మెన ది , మిసటర పర ె సి డె ంట .
- वह एक फर जी कं प नी है . - यही तो इ रा दा था , है न ?	- అది ఒక ష ె ల కం పె నీ . - అంటే , ఉదదేశం అదే కదా .
उनहें ज ंग ल में ही द फ ना देना .	వాళళ ను అడ వి లో పా తి పెటటు .
अगर तुम सर कार पर इसके लिए मु क द मा कर स के तो . कया यह ऐसा कर सकता है ?	అది కూడా , మీరు దీని గురించి అసలు పర భు త వం పె దా వా వే య గ లి గి తే . తాను వే య వచచా ?
समझ सकता हूँ कि तुमहें विश ले ष क होना कयों पसंद है .	నీకు వి శ లే ష కు డి గా ఉండ డం ఎందుకు ఇష ట మో నాకు అరథం అయ యి ంది .
उसने कहा कि यह आपके लिए है .	ఇది నీ కోసం అని చెపపా డు .
माफ करना .	కషమించు .
हैलो , मि सटर ग री यर .	హలో , మిసటర గర ీ ర .
एडगर आ ंद रे रे य स .	ఎడ గర ఆ ండ రె స రే యే స .
जो आप क हें , रा ष टर पति जी .	ఏదెనా సరే , మిసటర పర ె సి డె ంట .
अगर तुम सी आई ए से कोई जानकारी नहीं माँ ग सकते ,	సరే , మనకు సీ ఐ ఏ నుండి సమా చా రం దొ ర కక పో తే ,
बात यह है कि करा कस के सट े शन ची फ	అంటే , ఇపపుడు ఇకకడ క రా కస లో సట ే షన ఛ ీ ఫ
सो ना , बॉ क सा इट , लो हे के अ य सक : वे ने जु ए ला में ख न न	బంగా రం , బా క సె ట , ఇ ను ప ధా తు వు : వె నిజ ు ల ాలో గ ను ల త వ వ క ాలు
सर जि यो एक ला जवाब इंसान था .	సే రి గో చాలా గొపప వయకతి .
बा बा रू में सवागत है अपना मै च देख ने के लिए सवा इ प करें	బ బా రూ కు సవా గ తం మీ మయా చ లు చూడ డానికి స వె ప చేయ ండి
ए परि य स वाले इस कै ं प की पह रे दा री कर रहे हैं .	ఎ పరి ఎ స ఈ శి బి రా నికి భ దర తను అ ంది సతుంది .
ऐसे माम लों में , हम बस उनहें मिल वा दे ते हैं ,	అ టు వ ంటి కేసు లలో , మేము పరి చ య ాలు చేసతా ం ,
वह बस छ ह साल का हुआ था जब हमने उसे खो दिया .	తను పోయి న పప డు కు సరి గగా ఆ రే ళళు ని ండా యి .
नि को ल स जानता है उसे घर पर राज नी ति की बातें नहीं करनी चाहिए .	ని కో లస కు ఇంట లో రా జ కీ య ాల గురించి చ ర చి ంచ కూడ దని తెలుసు .
मुझे वापस भेज रहे हैं .	ననను వెన కకి పం పి సతుననా డు .
सु ंदर सप ने देखना , ठीक है ?	చ కక టి కల లు కను , సరేనా ?
ल ंद न में सवागत है , मि सटर रा यन . आपका दिन अचछा बी ते .	ల ండ న కు సవా గ తం , మిసటర రెన . మీ రోజు బాగు ండ ాలి .
कया उनहोंने कभी पु ए र टो म रि पा ना के ज ंग लों में	పు ఎ ర తో మరి ప న అడ వు లలో ని గ ను ల త వ వ కం పరా జె క టు గురించి
मैं तो बस एक बि च ौ लिया था .	నేను మధయ వర తి ని మాతరమే .
मैंने लै ंग ली से उस तो हफ े का डी ए नए और परि ंट विश ले ष ण करवा या .	ఆ చినన ఙ ఞ ా పి కని లా ంగ లే కి ఇ చచి , డి ఎ న ఎ , వే లి ము దర లు వి శ లే షి ంచ మ ననాను .
मुझे पता है जब तुम न दी के रा स ते गए थे तो वहाँ कया हुआ था .	నువవు న ది ఎ గు వ కు వెళళి నపపుడు జరిగింది నాకు తెలుసు .
थोडा सा लो गी ? दे द ूँ ?	నీకు కా వ ాలా ? నేను తి ననా ?
उसने मुझे यह नहीं बताया .	అతను నాతో ఏమీ అన లేదు .
मेरे बचचे सो रहे हैं .	నా పిలల లు ని దర పో తుననారు .
तुम सी आई ए की ओर से यहाँ नहीं आए .	నువవు ఇకకడికి సీ ఐ ఏ తో రాల ే దా .
सही कहा .	నయాయ మే .
मैं चु ना व के बारे में बात करने नहीं आया .	నేను ఇకకడికి ఎ నని కల గురించి రాల ేదు .
हाँ , हमने पहले कभी इसके साथ काम किया है ,	అవును , ఇ త ని తో మేము గ తం లో పని చేసా ం ,
तुमहारे लिए नया काम है . हम मिल सकते हैं ? सट े क ए ंड कं प नी दो पह र के 1 2 ब जे ?	మీకు కొతత ఖ ా తా . మీరు కల వ గల రా ? సట ీ క & a m p ; కం . మ ధ యా హ నం 1 2 గంట లకు ?
मेरे सुरकष ित ई - मे ल में जानकारी भे जो	నా సు ర కషి త మె యి ల బా కస కు వి వర ాలు పం పి ంచండి
ठीक है , समझ गया .	సరే , అరథ మెంది .
वह तुमहारी ओर आ रहा है , म दर .	అతను మీ ది శ గా వ సతుననా డు , జె రె మీ .
अगर किसी भी चीज की जरूरत हो , तो फोन कर दी जिए गा .	మీకు ఏదెనా కావాల ంటే , మాకు ఒకక కాల చేయ ండి .
वह कोई राज ने ता नहीं थे .	ఆయన రా జ కీ య వే తత కాదు .
ताकि वे ने जु ए ला के सारे ख न न के काम ों की म ं जू री उसके द फ तर से हो कर गु ज रे , है न ?	వె నిజ ు ల ాలో ని ఏ గ ను ల త వ వ క పు ప నె నా ఇ త ని కార య ాల యం ద వా రా వెళల ాలి , కదా ?
देख रहा हूँ कि ख न न का द कष ि ण ची न सा गर के सै टे ला इट से कया वास ता है .	ద కషి ణ చె నా స ము ద రం లో ని ఉ ప గర హ ాల కు , గ ను ల త వ వ కా నికి సంబం ధం ఏంట ని వె తు కు తుననాను .
कया हुआ , माँ ?	అది ఏంటి , అమమా ?
वा दा करती हूँ कि जयादा दिन नहीं र हें गे .	నినను ఎకకువ కాల ం ఇ బబంది పెటట మని మాట ఇ సతుననాను .
उसे द बो च कर रख ो .	అత నని పటటు కో .
इस बात का मो रे नो से कया लेना - देना है ?	దీ న ంత టి కీ , మో రె నో కి సంబం ధం ఏంటి ?
मैंने सुना है कि उनहें भी रा ष टर पति रे य स जयादा पसंद नहीं थे .	అ యన కు కూడా పర ె సి డె ంట రే యే స అంటే ఇషటం లే దని వి ననాను .
गु ड ना इट , मेरी पर ी .	శు భ రాతరి , బంగా రు తల లి .
तुमहारी किसी भी बात पर यकीन कयों कर ूँ ?	నువవు చెపపే ఏ విష యా నన ెనా నేను ఎందుకు నమమ ాలి ?
से न यो र ग री यर आ गए हैं .	సె న యో ర గర ీ ర వచచా రు .
