नहीं .	లేదు .
वह हमारे पु रा ने वाले जि तना अचछा नहीं होगा , पर शायद वह पर या पत काम कर जाए .	అది నా పా త రే డి యో అంత బాగా పని చేయ కపో వచచు కానీ కొ ంత వర కూ బాగానే పని చేయ చచు .
कया हुआ , तुमहें हमारी इतनी याद आए गी ?	ఏంటి , నువవు మమ మ లని అంత గా మి స అవు తా వా ?
हाँ , हाँ , मुझे कुछ सुना ई दे रहा है .	అవును , అవును , నాకు ఏదో వి ని పి సతోంది .
बर लि न पर बार - बार किए जाने वाले हम लों से 1 00 व ें को काफी न ु क सान पहुँ चा था .	బె ర లి న మీద వ రు స దా డు ల ఫ లి తంగా 1 00 వ గర ూ పు లో చాలా మంది పరా ణ ాలు కో ల పోయా రు .
शायद , पर मुझे लग रहा है कि तुम ही सही थे . सुरकष ित रहना जयादा बेहतर है .	బహుశా , నువవు చెపపి ంది స రెన దే అనిపి సతోంది . కానీ మనం జా గర తత గా వయ వ హ రి ంచాలి .
ब रे मे न गए 1 8 विमान ों में से जि ंदा वापस लौट ने वाले वह इ कल ौ ते पायलट थे .	పరా ణ ాలు ద కకి ంచు కు ని బ రె మన నుండి తి రి గొ చచి న ఏ కె క పె లెట అత నే అని వి ననాను .
समझ गया . 2 5 3 पर मु ड रहा हूँ . ओ वर .	వి ననాను . 2 5 3 ది శ గా వెళ తుననాం . ఓ వర .
तुम फिर से मि शन पर जाना चाहते हो ?	మీకు మరి నని మి షన లు చే ప టట ాలని ఉందా ?
जन र ल ड ू लि टि ल ने ह वाई रण नी ति को पूरी तरह से बदल ने के आ देश दि ए हैं .	వె మా నిక యు దధ వయ ూ హ ాలను సమ ూ ల ంగా మార చి వే య ాలని జ న ర ల డ ూ లి టి ల ఆ దే శి ంచారు .
पकका ऊपर स थि ति काफी ख तर ना क होगी .	అకకడ వి ధ వం సం బాగానే జరుగు తు ండ చచు .
उसने अपना कर त वय पूरा कर लिया था .	అతను తన వి ధి ని తాను నిర వర తి ంచా డు .
- ग ले म नि ट ज को बुला ओ ! - अंदर जाओ !	- గ లె మని ట జ ని వె తు కు ! - లో నికి !
हम पा पि यों के लिए परा र थ ना करें , अभी और हमारी मौ त के इस पल में .	మ ాలా ంటి పా పు ల కోసం పరా రథ ి ంచండి , ఇపపుడు ఇంకా మేము మ రణ ి ంచే సమయం లో .
मुझे यहाँ एक मे डि क चाहिए , अभी !	ఒక వె దయ స హాయ కు డు కావాలి , వెంట నే !
तो फिर , शायद तुमहें अचछी संभा वना ओं वाली यो जना बना नी चाहिए .	అయితే , నువవు ఎకకువ అవకా శ ాలు ఉండే ప లా న ని సిదధ ం చేయడం మంచిది .
पहले कभी कुछ ऐसा नहीं हुआ था .	ఇలా ంటి ది గ తం లో ఎపపుడూ జరగ లేదు .
विमान सी धा ऊपर गया , ऊपर वि नया स में मौ जू द विमान ों की तरफ .	భా రీ సం ఖ య లో వచచి న శ తరు విమా నా ల వెపు నే రు గా దూ సు కు వెళలి ంది .
कया तुम धयान नहीं दे रहे हो ?	నువవు సరి గగా గ మని ంచడం లేదా ?
- तुमहें लगता है कि 1 00 वा ं उनके साथ है ? - जरूर होगा .	- ఆ దా డి చే సతునన ది 1 00 వ గర ూ ప అంటా వా ? - అదే అయి ఉండ చచు .
उप - शी र ष क अनु वाद क : म ून क लि ता	తెలు గు అను వాద ం : స తీ శ కు మార
यह अं दा जा लगा ने के लिए किसी ग ण ित ज ञ की जरूरत नहीं थी	ఒకటి అ ంచ నా వే య డానికి మనం గ ణి త శా స తర జ ఞ ు లే కా నవ సరం లేదు
उनहोंने है री को गोली मा री !	వాళలు హ యా రీ ని ష ూ ట చేశారు !
जयादा तर ों से जयादा समय जि ंदा रह ने की उममीद नहीं थी .	మ ాలో చాలా మంది ఎకకువ కాల ం ఇకకడ ఉండే పరిసథి తి లేదు .
का श मैं साफ मौ सम में पायलट ों को पर शि कष ण दे पा ता .	పె లెట ల కి ట రె ని ంగ ఇ చ చే అవకా శం వ సతే ఎందుకు కా ద ంటా ను .
न ॉर थ कं पा उ ंड में अ ंग रे ज ों ने तीन सु र ंग ें बना ई ं .	ఉ తత రం వెపు ఆ వర ణ లో బ రి టీ ష రలు మూ డు స ొ రం గ ాలు త వ వారు .
- जलदी ! - मेरे साथ चलो .	- తవర గా ! - నాతో పాటు రా .
समझ गया . विमान मेरा हुआ .	కా పీ . ఇక ఇది నా విమానం .
बस इसे शा ंत करना होगा .	ముందు అత డిని ఊ ర డి ంచాలి .
पू रे मि शन के द ौ रा न म सट ै ंग स के मार गर कष ण के साथ ,	మొతత ం మి షన కోసం మ సటా ంగ విమా నాలు వెంట రా వ డ ంతో ,
एक अचछी खबर है , लड कों .	కొ ంత సమా చా రం , కు ర రా ళ లూ .
इट ली में , म ों टे क सी नो में ब रि टि श से ना को एक बार फिर ख दे ड दिया गया ,	ఇ ట లీ లో , బ రి టీ ష సే న ల దా డిని మా ంటే కా సిన ో లో మ రో సారి తి పప ి కొ టట ా రు ,
दूसरे लोगों को चि ट ठ ियाँ मिल ती हैं . तुमहें चि ट ठ ियाँ मिल ती हैं .	మి గ తా వాళల ంద రికీ ఉ తత ర ాలు వ సతుననా యి . నీకు కూడా ఉ తత ర ాలు వ సతుననా యి .
कब जे वाले यू रो प से जि ंदा लौट ता है , तो उसे और मि श नों में जाने की अन ुम ति नहीं मिल ती है .	అందు లో ని సి బబంది ఆ కర మి త యూ ర ప ని దా టి వ సతే , వారి ని ఇక నుండి వే రే మి షన ల కి పం పి ంచ రు .
हमें एक डॉ क टर चाहिए !	మన కి ఒక డా క టర కావాలి !
हम जरूर निकल ेंगे . और तुमहारे इस रूप को जान ना दिल च सप अनु भ व होगा .	మనం బయట పడ తా ం . కానీ నీ కొతత వయకతి త వం తపప ని సరి గా తెలుసు కో వాలి .
मैं घर नहीं जा सकता .	నేను ఇంటికి వెళల లేను .
कया तुम आ लू छोड कर कुछ और खाना नहीं चाहते ?	ఆ లు గ డ డ లు కా కుండా ఇం కే మెనా తి నా లని ఉందా ?
मेरी माँ ने भे जी है .	ఇది మా అమమ రా సింది .
व रि ष ठ ऑ फि सर आए हैं .	మన అ ధి కా రి వచచా డు .
तुमने कर दिखा या , रो जी . हमने कर दिखा या .	నువవు సా ధి ంచా వు , రో సీ . మనం సా ధి ంచా ం .
यहाँ स टा लग ल ु फ ट I I I में केवल अ मरी की हैं , मे जर सि मो ले ट .	మూ డో సట ాల గ లు ఫ త లో అ మె రిక నలు మాతరమే ఉననారు , మే జర సి మొ లెట .
जर मन ल डा कू विमान ों से च ौ क न ना रहना . उनहें पता है कि हम कहाँ जा रहे हैं .	జర మన ఫె టర విమా నా ల మీద ద ృష టి పెటట ండి . మనం ఎ టు వెపు వెళ తుననా మో వాళల కి తెలుసు .
आपके अचछे बर ता व की स रा ह ना की जाए गी .	మీ సత పర వర త నని మేము చాలా అభి న ంది సతా ం .
फिर कोई रु का व ट आई ?	ఇంకా ఎదు రు చూడ ాలా ?
बॉ म बार डि यर , पायलट के लिए . तैयार हूँ .	పె లెట కి బం బా ర డి య ర స ందే శం . వి ననా ం .
वैसे , तुमहारा भी समय आए गा , कर ॉ ज .	కానీ , నీకు కూడా టె మ వ సతుంది , క రో జ .
शो ए न स और हे ल मि क .	ష ో నస ఇంకా హె ల మి క .
तो , अब तुमहें कया लगता है कि कया संभा वना एँ हैं ?	అయితే , ఇపపుడు మనం తపప ి ంచు కునే అవకా శ ాలు ఎలా ఉననాయి ?
इतनी दूर पू र व में दिन में छा पा ?	ఈ త ూర పు పరా ంత ంలో ప గ టి ప ూ ట దా డు లా ?
मे जर शो ए न स , तुमने बिलकुल सही कहा .	మే జర ష ో నస , మీరు సరి గగా చెపపా రు .
तुम फ लो रि डा भे जे जाने का अनु रो ध करो गे ? या टे क सा स ?	నువవు ఫ లో రి డా ని కో రు కుంటా వా ? టె క సా స అడుగు తా వా ?
- मैंने कहा , " ए , बै टी " . . . - फिर शुरू हो गया .	- నేను చెపపా ను , " హేయ , బె టట ీ " . . . - ఇది గో తీసుకో .
- ए , तुमने हमारे सै निक को चो ट पहुँ चा ई ? - वह अपने बल ॉ क से बाहर था .	- హేయ , మా వాడిని గా య పరి చా రా ? - అతను తన బ లా క దా టి బయట కి వచచా డు .
चिंता मत करो , हम वह बदल देंगे .	కంగా రు లేదు , మే మ అలా మార చేసతా ము .
छ ह मार च , 1 9 4 4 को ब लै क म ं डे के नाम से जाना गया	మార చి ఆర వ తే దీ , 1 9 4 4 బ లా క మ ండ ే గా పేరు తె చచు కు ంది
यह बढिया खबर है .	అది గొపప విషయం .
मैं थ क गया हूँ .	నేను అ ల సి పోయా ను .
जिस तरह तुम बेवकूफ मे ह न त कर रहे हो , यह वर क कै ं प जैसा दिख रहा है .	మీరు పడు తునన కష టం చూ సతు ంటే ఇది ఏదో పని శి బి రం లా కనిపి సతోంది .
बॉ म बार डि यर , पायलट के लिए . ल डा कू विमान , सामने ह ल का बा ई ं तरफ .	పె లెట కి బం బా ర డి య ర స ందే శం . ఎడ మ వెపు ఎ గు వ న ఫె టర విమా నాలు ఉననాయి .
मैं यह जान कर रात को कैसे च ै न से सो सकता हूँ कि मैं घर जा सक ूँगा	మి షన మధయ లో పె అ ధి కారు లు ఈ మి షన ల సం ఖ య ని పె ంచా రని తెలి సి కూడా
और वे दु श मन के इ ला के के काफी अंदर . . . मे जर जन र ल ओर ड वि ं गे ट के	మే జర జ న ర ల ఓ ర డే విన గే ట సా గి సతునన . . . షి ండి ట ద ండ యా తర తో చే రి
हमें जर मन ल ु फ ट व ॉ फ को पूरी तरह से त बा ह करना था .	మేము జర మన వె మా నిక సే నని పూరతి గా ద ె బబ తీ య ాలి .
वे चाहते हैं कि हम सभी वहाँ ऊपर मा रे जाएँ और किसी को कोई पर वाह नहीं है .	మన మ ంతా ఇకకడ ే చా వాలని వాళలు కో రు కుంటుననా రు , ఇంకా మన గురించి ఎవరూ ప టటి ంచుకో రు .
पकका मा इन र और किन से ला तु र ंत मा रे गए होंगे .	మెన ర ఇంకా కి న సె లలా అ కకడి కక క డే మ రణ ి ంచి ఉంటా రు .
हमारे ल डा कू विमान हमारे लिए रा सता बना एँगे .	మన ఫె టర విమా నాలు మన కి మా రగ ం కలి య ర చేసతుననా యి .
हम किस का इंतजार कर रहे हैं ?	మనం దే ని కోసం ఎదు రు చూ సతుననా ం ?
पर उसने अपना 2 5 वा ं मि शन पूरा कर लिया था .	కానీ అతను తన ఇ ర వె ఐ దో మి షన ని పూరతి చేశా డు .
हमें लगा था कि रे गे न सब र ग में	సా ర జె ంట లు క విన ఇంకా బె యి లీ
आ राम से . चलो .	మె లల గా . ఇది గో .
बी स मिनट बाद ?	ఇ ర వె నిమిష ాలా ?
2 4 मार च , 1 9 4 4	మార చి 2 4 , 1 9 4 4
समझ गया . पी - 5 1 ते जी से आगे बढ रहे हैं .	వి ననా ము . పి - 5 1 విమా నాలు వే గ ంగా వ సతుననా యి .
सुरकष ित उडा न भर ना , लड कों .	జా గర తత గా వెళల ండి , కు ర రా ళ లూ .
विमान में घ ा य ल मौ जू द हैं !	విమానం లో కష త గా తరు లు ఉననారు !
तुम यह जान ना चाहते हो कि मैं कहाँ थी ?	నేను ఎ కకడికి వెళ లా నో తెలుసు కో వాలని ఉందా ?
- धत तेरी की . - य ै ं की ज ने ड मा जि ओ का सौ दा कर दिया ?	- డా మి ట . - నీ పని యా ం కీ స జ టటు డి మా జి యో ని కొ నన టల యి ందా ?
सौ वा ं बॉ म ब गर ु प अपनी भ ू मि का नि भा ए गा .	1 00 వ బా ం బ గర ూ ప తన వం తు పా తర పో షి ంచింది .
यह बढिया है .	చాలా బాగుంది .
विमान बिलकुल ठीक है , सर .	ఈ విమానం ఏ వ న గా ఉంది , సర .
उसने कया कहा ?	ఆమె ఏం అ ంది ?
गर ि माम य ी मै री की ज य हो .	ద యా మ యి , మే రీ మా త కి వ ంద నం .
जब कि मि तर देश ों की से ना ए न जि ओ के त ट ों पर ही फ ँ सी हुई है .	కా గా మి తర దే శ ాల సె నిక ద ళ ాలు ఆ ం జి యో స ము దర తీ రం లో చి కకు బడి పోయా యి .
कमी नों ने पै रा श ू ट लेकर उ तर ने वाले हमारे सै नि कों पर हम ला किया , एक - एक करके .	పా రా చూ ట లతో దూ కి న మన సె ని కు లని ఆ చెతత వెధవ లు ఒకక ొ కక రి గా కాల చి చం పా రు .
ई ंट की बे ग म .	డె మ ండ క వీ న .
मैं . . . चि डी की अ ठ ठ ी .	నేను . . . క ళ ా వర ఎ నిమి ది .
तुमहारा मि शन ही इसे सं भ व बना ए गा .	మీ మి షన ఈ లకష యానని సు సా ధ యం చేసి ంది .
बर मा में जा पा नि यों से लड ना जा री रख रही हैं	బర మ ాలో జ ప నీ స సె న య ంతో యు దధ ా నని కొ న సా గి సతుననారు ,
हमें त भी भाग जाना चाहिए था जब वे उन अ ंग रे ज ों का पी छा कर रहे थे .	వాళలు బ రి టీ ష ఖ ె దీ లని వే టా డే సమయం లోనే మనం తపప ి ంచు కునే పరయత నం చేసే య ాలి .
हाँ . आपको और कर न ल को .	అవును . నువవు ఇంకా కల న ల .
और चा रा होंगे , बॉ म बर .	బా ం బర లని మనం ఎ ర వే య ాలి .
पायलट , बॉ म बार डि यर के लिए . ब म गि रा ने के लिए तैयार हो ?	బం బా ర డి య ర కి పె లెట స ందే శం . మీరు బా ం బు లు వే య డానికి సిదధ మా ?
सबसे जयादा घ ा य लों को परा थ मि क ता दो .	బాగా గా య పడి న వారి ని గుర తి ంచండి .
यहाँ से जि ंदा और सला मत निकल ने की संभा वना . . .	ఇ కకడి నుండి పరా ణ ాల తో బయట పడ ే అవకా శ ాలు . . .
वह यह ू दी नाम है , है न ?	అది యూ దు ల పేరు , కదా ?
ए , नौ सि ख िए !	హేయ , రూ కీ !
मैं कै प टन रॉ बर ट रो जे न थ ॉल हूँ . मैं 4 1 8 व ें में पायलट हूँ .	నేను కె ప టె న రా బర ట రో సె న థ ాల . 4 1 8 వ బ ృ ంద ంలో పె లెట ని .
वह कया था ?	అద ంతా ఏంటి ?
ल की सट रा इ क	ల కక ీ సటర యి క
नहीं . तुमहारी तरह मैं भी इस जगह को बर दा श त नहीं कर सकता .	లేదు . నాకు కూడా నీ లా గే ఈ పర దేశం లో ఉండ టం ఇషటం లేదు .
आज आपका ल कष य होगा . . .	ఈ రోజు మీ లకష యం . . .
मैंने सा ंड रा को फोन करने का फै सला लिया .	నేను శా ండ రా కి ఫోన చేయ ాలని నిరణ యి ంచు కుననాను .
यह टा वर के करी ब से गु जर ने का आ खि री मौ का है .	ట వర మీ దు గా వెళల డానికి ఇదే చి వరి అవకా శం .
ब रे मे न जाने से पहले मेरी आ खि री चि ट ठ ी में , मैंने उसे शादी का पर सता व दिया था .	బ రె మన దా డి కి ముందు నేను చి వరి గా ఉ తత రం రా శా ను . పె ళ లి గురించి అడి గా ను .
कोई अचछी खबर नहीं है .	ఒకక మంచి వార త లేదు .
- पकका बर लि न पर हम ला हो रहा है , है न ? - ए ए हम लों से सट ीक जगह का पता लगा ना मुशकिल है .	- ఇది బె ర లి న మీద దా డి కా వచచు , కదా ? - యా ంట ీ ఎ యి ర క రా ఫ ట ఫె ర ని కను క కో వడం కష టం .
- हाँ . - इसे घ ुम ा ओ .	- దానని తి పపు . - సరే .
खैर , ब धा ई हो , रो जी .	సరే , అభి న ంద నలు , రో సీ .
यो जना एँ बन रही हैं .	ప లా నలు త యా ర వు తుననా యి .
अरे , नहीं . तुम लोगों को इस बारे में कुछ पता है ?	ఓహ , బా బు . దీని గురించి మీకు ఏమెనా తెలుసా , మి తరు లా రా ?
हाँ , खैर , रा इ ख के सभी यु द ध कै दि यों के कै ं प ों को	అవును , కానీ , బె ర లి న లో పర సతు తం జరుగు తునన చ రచ ల పర కా రం
हाँ , और जब मैं बना ऊँगा , तो तुम मेरे साथ चलो गे ?	సరే , నేను ప థ కం సిదధ ం చేశా క , నువవు నాతో పాటు వ సతా వా ?
इ कट ठा करने की कोशिश कर ूँगा .	నేను ఏ వే ం సే కరి ంచ గల నో చూ సతాను .
हमें एक और सट रे चर चाहिए ! जलदी , जलदी !	మన కి ఇం కో సట రె చ ర కావాలి ! క దల ండి ! క దల ండి !
तुम निय म जानते हो .	మీకు డ రి ల తెలుసు కదా .
तीन ? हे भगवान , कैसे ?	మూ డా ? దేవుడా , ఎలా ?
उनकी कि सम त अचछी थी , कि एक निय म था कि अगर कोई दु र घट ना गर सत सै निक	వాళలు అద ృష ట వం తులు , మాకు ఒక నియ మ ం ఉంది , అదే మి ట ంటే ఏదెనా విమానం నే ల కూ లి
जैसे - जैसे हमारे मि शन बढ ते गए और जयादा ख तर ना क होते गए ,	మా మి షన ల సం ఖ య పె రిగి పోయి అవి మరి ంత పరా ణ ా ంత కంగా మా రి పో వ డ ంతో ,
मैं यह भी सोच रहा था कि शायद तुम मेरे बे सट मै न बन ो गे .	నువవు నా తో డి పె ళ లి కొ డు కు వి కా వాలని కూడా నేను ఆలోచి సతుననాను .
वैसे , हमें 3 5 0 व ें के लिए एक नया क मा ं डि ंग ऑ फि सर चाहिए .	3 5 0 వ బ ృ ంద ం కోసం మేము కొతత క మా ండి ంగ ఆ ఫీ సర ని నియ మి ంచుకో వచచు .
ती स सौ उन चा स व ें सक वा डर न का नया सी ओ .	3 4 9 వ స క వా డ ర న కి కొతత క మా ండి ంగ ఆ ఫీ సర ని .
पर उनहें हे ड फोन नहीं मिला .	కానీ వాళల కి హె డ ఫోన దొ రక లేదు .
न किसी आ देश की अ वह े ल ना करने द ें , न कोई . . .	మా ఆ దే శ ాలని తి రస కరి ంచ వ దద ని , లేదా భ విష యత తు లో . . .
कि रो जी और उसके दल के अपने 2 5 व ें मि शन से जि ंदा वापस लौट ने की	అదే మి ట ంటే రో సీ ఇంకా అతని సి బబంది తమ ఇ ర వె ఐ దో మి షన ని పూరతి చేసు కు ని
चिं डि ट अ भ िया न में शा मिल हो गई हैं .	శ తరు వు సరి హ దదు ల లోప లి కి జ ొ ర పడు తుననారు .
हमें कुछ मिला है !	మాకు ఏదో దొ రికి ంది !
खैर , तुमहारा कया ?	సరే , నీ సంగ తి ఏంటి ?
- काफी करी ब से आवा ज आई . - मदद करो !	- అది చాలా దగగర గా పే లి ంది . - కా పా డ ండి !
अंदर जाओ ! अंदर जाओ !	లోప లి కి ! లోప లి కి !
- तुमहें कुछ नहीं होगा . - उनसे कम से कम और तीन ला ने को क हो .	- నువవు తవర గా కో లు కుంటా వు . - ఇం కో మూ డు తీసుకు ర మమ ని వాళల కి చెపప ండి .
क मा ंड ें ट व ॉन लि ं डा इ ने र को उनके सभी कर त व यों से मु कत कर दिया गया है .	క మా ండ ర వా న లి ండ ె న ర ని అనని వి ధ ు ల నుండి తపప ి ంచడం జరుగు తోంది .
चल ते हुए बी मार हो कर अपने सब अ ंग ों के साथ म रो गे .	ఆ చెతత క ంచ ె దగగర కి వెళ లా వని కాల చి పడ ే సతారు .
आ जाओ , कि टी , कि टी , कि टी .	ఇది గో , పి లలి , పి లలి , పి లలి .
न यू ज का समय लग भ ग हो गया है .	వార తలు వచచే సమయం అయి ంది .
छ ह , सा त .	ఆ రు , ఏ డు .
- कैसा महसूस कर रहे हो ? - बस ठीक ही हूँ .	- నీకు ఇపపుడు ఎలా ఉంది ? - నేను బాగానే ఉననాను .
बैठ जाओ .	కూ రచ ో ండి .
तुम लोग बंद ू कों की चिंता करो , विमान की चिंता मैं कर ूँगा .	మీ కు ర రా ళలు గ నస సంగ తి చూ సుకో ండి , విమానం సంగ తి నేను చూ సు కుంటా ను .
समझ गया . मैं देख रहा हूँ कि पी - 5 1 मदद करने जा रहे हैं .	వి ననాను . పి - 5 1 సాయం చేయ డానికి రా వడం కనిపి సతోంది .
या किसी ने रो जी को देखा ?	లేదా రో సీ విమా నా నని చూశా రా ?
" तुमहें उन सी लि ंग को अपने पसंद ी दा र ंग में र ंग ना चाहिए ,	" నువవు ఆ సీ లి ంగ కి నీకు ఇష ట మెన రం గు లు వే యి ంచుకో ,
यह साफ हो गया था	ఒక విషయం సప షట మెంది
चि ट ठ ी मिलने के लिए , उसे भेज ने वाला भी कोई चाहिए .	మన కి ఉ తత రం రా వాల ంటే , అది రా య డానికి మన కి ఎవరెనా ఉండాలి .
वे केवल मेरे इस रूप को जान ेंगे . मेरे पु रा ने रूप को नहीं .	వాళల కి ఇ పపటి నేను మాతరమే పరి చ యం అవు తాను . నా గ తం వాళల కి తెలియదు .
फिर हमें बताया गया कि हम बर लि न पर हम ला करने वाले हैं .	ఆ తరువాత మేము బె ర లి న ని టా రగ ె ట చేయ ాలని చెపపా రు .
