रॉ बि न !	రా బి న !
शायद कोई सु पर ही रो हो .	అకకడ సూ ప ఉ ండి ఉంటా రు .
नहीं .	లేదు .
एक बात कहूँ ?	ఏంట ో తెలుసా ?
फ रे ड रिक व ॉ ट .	ఫ రె డ రిక వా ట .
स वय ं से वा वाली बकवास नहीं ,	మనం ష ే ర హో ల డ ర లకు తెలియ చేసే
सो ल जर बॉ य की तरह ही रो ज ,	సో ల జర బా య లాంటి హ ీ రో లు ,
सट ॉर म फर ंट या किसी और को लेकर ,	సటా ర మ ఫర ంట లేదా ఇం కే విషయం లో న ూ
तुमहें कैसे पता ?	నీకు ఎలా తెలుసు ?
रुको . जरा रु क जाओ .	ఆగు . ఒకక కష ణం ఆగు .
धत , ह यू ई , मुझे इतनी खुशी है कि तुमने . . .	అబబా , హ యూ య ీ , నాకు చాలా ఆన ంద ంగా ఉంది . . .
और तुम हमारी सबसे की म ती सम पत ति नहीं हो .	ఇంకా నువవు మా అత య ంత వి లు వెన ఆ స తి వి కా వు .
या फिर इसे आज रात फ े सब ु क पर डाल द ूँगी .	లేదా ఈ రాతరి నేను ఇది ఫ ే స బు క లో పె డ తాను .
चलो भी . हमें इसी चीज का तो इंतजार था .	ఏంటి ది . మనం దీని కోసం వే చి చూ సతుననా ము .
न की ब को खतम करने का काम पूरा किया है .	బ లా క నా ర నిర వ హి ంచి ందని ని వే ది ంచ గలను .
बहुत मजा आया , पर हमें काम पर जाना है .	ఇది సర దా గా ఉంది కానీ , మాకు పని ఉంది .
जि तना तुम उसे ग हरा ई में ध के ल ते रहो गे ,	నువవు ఆమె ను ఇ ందు లో ఎంత లో తు ది ంచి తే ,
अ मरी की लोग हमें अपनी फ ौ ज में रख ेंगे ,	మన లని సె న యం లో ఉండ ని చ చే ది అ మె రిక నలు ,
- व हीं पर मेरी भ ू मि का शुरू होती है .	- అందుకే నేను వచచా ను . - ఏం చేయ డానికి ?
स टा र ला इट , ऐसा कह ने के लिए शुकरिया .	సటా ర లెట , అది చెపపి న ందుకు ధనయవాదాలు .
हमारे पास काफी पै सा होगा . बात खतम .	మనకు సరి ప డా డబబు సమ కూ రు తుంది . అంతే .
कै र ल ने सच में मेरी मदद की थी , डी प .	కె రో ల నిజంగా నాకు స హాయ పడి ంది , డీ ప .
और अब , हमें आपके स हा रे की जरूरत है .	ఇ పపు డి క , మేము మీ మ దద తు తీసుకో వచచు .
- तुमहारी हा लत बहुत बु री लग रही है .	- దారు ణ ంగా కనిపి సతుననా వు . - తెలుసు .
नहीं , बिलकुल नहीं . इतना इ त रा ओ मत .	ఖచచితంగా లేదు . ఎకకువ గా ఊ హి ంచుకో కు .
हम पागल ों की तरह इ ध र - उ ध र द ौ ड ते हुए	మేము నువవు స ృష టి ంచిన సమసయ లు తీ ర చే
हाँ . ए लो वे रा वाला काफी अचछा है .	అలా గ లా గే . కల బ ంద , అది చాలా మంచిది .
- तुमने सि म कार ड तो ड दिया या . . .	- సి మ కార డు మార చా వా లేదా - మార చా ను .
कृपया स टा र ला इट का सवागत कीजिए .	దయచేసి సటా ర లెట కు సవా గ తం ప ల క ండి .
और वह व ंड र ब रे ड अ मे रिक न की तरह ,	అపపుడు ఆయన డి స నీ మరియు ఎ డి స న లా
ल हर ों में आता है , समझ रहे हो ?	అది అన ూ హ య ంగా జరిగింది , తెలుసా ?
ठीक है . हमारा क पता न कौन ब ने गा ?	సరే . మన కె ప టె న గా ఎవరు ఉంటా రు ?
सच में हमें बडी हि म मत दी है .	ఇ తను మాకు మూ ల స తం భ ంగా ఉననాడు .
हाँ , वहाँ इतना मजा नहीं आता .	అవును , అకకడ అంత సర దా గా ఉండ దు .
या फिर , हम भाग ना बंद कर द ें .	లేదా , బహుశా మనం పా రి పో లే మే మో .
गे को , व ॉ ट सम र टा इ म क लब हा उस का	గె కో , వా ట స మమ ర టె ం కల బ హ ౌ జ య ొ కక
हाँ , पर शायद कोई सुन रहा हो .	సరే , కానీ , ఎవరెనా వి ంటు ంటా రు .
हाँ , तुम भी अचछे लग रहे हो .	అవును , నువవు కూడా బాగు ననా వు .
वि लि य म बु चर ऐसा कयों करे गा ?	వి లి యం బు చ ర ఎందు క లా చేసతా డు ?
एक दम दार नया रूप दे रही है .	సి టి జ న సటా ర లెట లో అ ంది సతుంది .
तुम इन हें बता सकते हो , डी प .	నువవు ఆమె కు చెపప వచచు , డీ ప .
नी चा दिखा ने वाला न सही तो ,	సరే , ఇది ఉ ప నయా సం లా లే కపోతే ,
हमें इससे दम दार श बद चाहिए .	బ ల మెన ప దానని ఆ శి సతుననా ము .
तुमहारी आत मा आ स मान में है	అ కా శం మీ స పూరతి తో ని ండి ంది
और तुम एक दम अके ले होते हो .	మీరు చాలా ఒ ంట రి గా ఉంటా రు .
व ॉ ट की ओर से इस पत झ ड में .	ఈ శి శి రం లో వా ట అ ంది సతుంది .
अचछा , तो पूरी बात कया है ?	సరే , మరి పూరతి విషయం ఏంటి ?
सब ग ड ब ड हो चुका है , बचचे .	ఇ దంతా చాలా గ ంద రగ ో ళ ం , బా బు .
जो व ॉ ट की एक मु ला जि म थीं .	కారణ ంగా అస ంత ృ ప తి వల నే మో .
कि मैं तुमहें यहाँ ला या .	ని నని కకడికి తీసుకు రా వ డ మే .
- देखो , वह मेरा कं धा है .	- హే , అది నా భు జ ం . - ఏంటి ?
तो , तुमहें कया पसंद है ?	అయితే , నువవు ఏం చేసతా వు ?
या नी कि टे क - ना इट फि ल म के	దా న రథ ం టె క నె ట సి ని మా కి
ब डे साह ब , मि सटर एडगर ने ?	మిసటర ఎడ గర , పెదద మని షా ?
देख िए , मेरी एक बेटी है .	చూడ ండి , నా కొ క కూ తు రు ంది .
तुम यहाँ कया कर रहे हो ?	నువవు ఇకకడ ే ం చేసతుననా వు ?
यह अचछा त किया - कला म है .	అది మంచి ఆ క టటు కునే పద ం .
तुमहें टा ँ ग ें पसंद हैं ?	నువవు కా ళళు న రు కు తా వా ?
तुम कोई सि पा ही नहीं हो .	నువవు సె ని కు డి వి కాదు .
तुम बहुत ही , मतलब . . .	నువవు చాలా , అంటే . . .
न ज दी की ए टी ए म कहाँ है ?	దగగర లో ఏ టీ ఎ ం ఎ కక డు ంది ?
एक दम खु ल कर बताओ , डी प .	మన సు లో ది మాటలాడు , డీ ప .
तुम कोई जा सूस नहीं हो .	నువవు గ ూ ఢ చా రి వి కాదు .
फर ें ची ठीक कह रहा है .	ఫ రె ంచ ీ సరి గగా చెపపా డు .
मेरे पास कोई चा रा है ?	నాకు పర త యా మ నా య ము ందా ?
मेरे पास तो नहीं है .	ఎందుకంటే నా దగగర లేదు .
यह कोई मजाक ही होगा .	ఇది ఒక జో క అయి ఉండాలి .
मुझे उस वकत अ ह सा स हुआ	నాకు జ ఞ ా నో ద యం అయి న ది
- झा ग वाली पार टि यों से जिंदगी बदल जाए गी .	- ను రగ పార టీ లు జీవి తా నని మా రు సతా యి . - వెధవ .
- जिस चीज पर जी त हा सि ल की है , उसके चल ते .	- అంటే , నువవు ఎదు ర కొ నన దానికి . - ధనయవాదాలు .
तो तुम मुझे बताओ गी .	నువవు నాకు చెబు తా వు .
शु रु आती स पता हा ंत में दो सं खया से गि रा व ट .	పరా రం భ వా రా ంత ాలు రెండ ం కె లు పడి పో తా య ని .
मेरे ती र खतम हो गए .	నా బా ణ ాలు అయి పోయా యి .
तुमहें ला ना ही होगा .	నువవు తీసుకు రా వాలి .
ट रा ंस लू स ें ट की जगह .	ట రా నస లూ సె ంట సథా నం లో .
उसके अंदर सब झ ो ल है .	అది ఒక అంత రగ త కు టర .
और तुम , मेरे दोसत , तुम एक सच चे ही रो हो .	ఇంకా నువవు , నా మి తర మా , నిజ మెన హ ీ రో వి .
हो म लै ंड र , स टा र ला इट .	హో ం లా ండ ర , సటా ర లెట .
क मान में कुछ ही ती र रख े जा सकते हैं .	అమ ము ల పొ ది లో పరి మి త బా ణ ాల ే పొ ందు పర చ గల ం .
मैंने कभी नहीं कहा कि वे मेरे दोसत थे .	వాళళు నా సనే హి తు లని ఎపపుడూ చెపప లేదు .
तो , शायद मैं ली मार वि न नहीं बन सकता ,	అయితే , బహుశా నేను లీ మార విన కా కపో వచచు ,
पर हम कुछ नहीं हैं .	కానీ మనం ఏమీ కా ము .
तुम बडी म जे दार हो .	నువవు సర దా మనిషి వి .
तुमहें भरो सा है कि तुम यह कर पा ओ गी ?	నువవు ఇది చేయ గల వని నీకు నమమ కంగా ఉందా ?
कितनी अचछी है ना ?	అ మె ఉ తత ము ర ాలు కదా ?
कितनी अचछी है ना ?	అ మె ఉ తత ము ర ాలు కదా ?
मैं इसे जानती हूँ .	నాకు ఇ తను తెలుసు .
पर वि लि य म बु चर ने बिलकुल यही किया .	కానీ వి లి యం బు చ ర చేసి ంది సరి గగా అదే .
यह एक पह े ली ही है .	అది అ ం తు చి కక ని ది .
मुझे कुछ नहीं . . .	నాకు ఏమీ జరగ . . .
मुझसे झूठ मत क हो .	నాతో అబ దధ ం చెపప కు .
पीछे रहो वर ना ले जर चला द ूँगा , सा ले !	వె ను కకు ఉండ ండి లేదా లే జర వే సతాను !
कि बि ग गे म के साथ सो लेना चाहिए था .	బి గ గే మ తో సంబం ధం పెటటు కో వాల సింది .
ह यू ई , म दर स मिल क .	హ యూ య ీ , మ దర స మి ల క .
ह यू ई , मैं बस . . .	హ యూ య ీ , నేను . . .
बहुत अचछी बात है .	బాగుంది , మంచిది .
पता है , वह मेरे साथ सो ना चाहता था ?	అతను నాతో గ డ ప ాలను కుననా డు తెలుసా ?
नहीं , वहाँ अं धे रा है और ठ ंड है ,	లేదు , అకకడ చ ీ క టి గా చ లల గా ఉంటుంది ,
और आप कया इसकी चि कि त सक व ग ै रह हैं ?	నువవే ంటి , అతని థ ె ర పి సట ఏదెనా నా ?
बा कि यों को म ं जू री मैंने ही दी थी .	మి గి లి న వారి ని నేను అ మో ది ంచా ను .
हाँ . ई श वर उनकी आत मा को शा ं ति दे .	అవును . దేవు డు శా ంతి చే కూ రచ ాలి .
ट रा ंस लू स ें ट की जगह ले ने के लिए	ట రా నస లూ సె ంట సథా నం లో స రెన అ భయ రథ ి .
तुमहें समझ में आ गया कि मैं हूँ ?	అది నేనే నని నువవు చెపప గ లి గా వా ?
हमारे सामने है .	మన ముందు ఉంది .
हम व ॉ ट - कॉ न में पाँच बार मिले थे . मतलब . . .	మనం కలి శా ము , వా ట కా న లో ఐ దు సా ర లే మో . అంటే . . .
हो म लै ंड र , हैलो .	హో ం లా ండ ర , హాయ .
सु पर आत ंक वा दी .	ఒక సూ ప ఉ గర వా ది .
तो , सट ॉर म फर ंट .	సరే , సటా ర మ ఫర ంట .
क माल की बात है .	అదభు తంగా ఉంది .
शुकरिया , मैडम .	ధనయవాదాలు మే డ మ .
अचछा , ठीक है , अब हम कया करें ?	సరే , మంచిది , మనం ఏం చే దదాం ?
पता नहीं आप कया कह रहे हैं .	మీ రే ం మాటలాడు తుననా రో తెలియదు .
जि ल , इन से पू छो कि " सु पर बद मा श " के बारे में	జి ల , వాళళ ను " సూ పర వి ల న " ఎలా ఉ ందో అడుగు .
मुझे नहीं पता .	నాకు తెలియదు .
वह सब झूठ है .	అవ ననీ అబ దద ాల ే .
मुझे पकका पता है कि जिन हें कौ तु ह ल होगा ,	ఖచచితంగా ప త రి కలు తెలుసు కో వాలని అనుకుంటా యి .
मुझे नहीं पता .	నాకు తెలియదు .
आ स मान में कोई बैठ कर हमें नहीं देख रहा .	మన లని ఆ కా శం నుండి ఎవరూ గ మని ంచే వారు లే రు .
पर मैं यह उस ी के लिए कह रहा हूँ , बेटा .	కానీ నే ని ది ఆమె మంచి కి చెబు తుననాను , బా బు .
हमें हमारे ही रो बचा ते हैं	మనం మన హ ీ రో ల చే ర కషి ం ప బడ డా ము
हमें श ै ता नी ता कत से बचा या	మమ మ లని దు షట ల నుండి కా పా డు తూ
पर हमारे ही रो कभी नहीं मर ते	కానీ మన హ ీ రో లు చి రం జీ వు లు
उसके जैसा कमी ना म रे गा नहीं .	అతను చని పో యే ంత వెధవ కాదు .
ना . " अ मरी का को बचा ना " होगा .	లేదు . అది " అ మె రి కా ర కష ణ " .
मुझे नहीं लगता कि यह सच है .	చూడ ండి , నాకు ందని అనుకో ను .
तुम कया कह रहे हो ? हम जन म से ही ऐसे हैं .	ఏం మాటలాడు తుననావు ? మనం ఇలా నే పు టట ా ము .
पर , अपने सु पर ही रो से मिलने कभी नहीं आ ते .	కానీ మీ సూ పర హ ీ రో లను కల వ రు . కలు సతా రా ?
तुमहें बता ना होगा , ह यू ई .	నువవు వి వర ణ ఇవ వాలి , హ యూ య ీ .
वैसे , मैं झूठ नहीं कहूँ गा ,	అంటే , నేను అబ దధ ం చెపప ను ,
हाँ , मैं झूठ कह रही हूँ . मुझे माफ करना .	సరే , నేను అబ దధ ం ఆ డు తుననాను . కషమించు .
मार वि न मिल क , ह यू कै ं बे ल ,	మార విన మి ల క , హ యూ క యా ం ప బె ల ,
शायद मुझे एक ही रो मिला है .	నే న ొక హ ీ రో ను కను గొ ననాను .
अब मेरे पास बस यही बचा है .	నాకు ఇపపుడు ఉనన ద లలా ఇదే .
आ ख िर , आप एक सु पर ही रो कं प नी चला ते हैं	ఎంత ెనా , మీరు సూ పర హ ీ రో ల సం సథ న డు పు తారు ,
और मुझे यह बात पसंद नहीं	ఎ ఫ డీ ఏ కు కా ం ప ౌ ండ వీ గురించి
ह यू कै ं प बे ल ने ट रा ंस लू स ें ट को मा रा .	హ యూ య ీ క యా ం ప బె ల ట రా నస లూ సె ంట ను చం పే శా డు .
आप सभी का शुकरिया . बहुत मा य ने रख ता है .	అంద రికీ ధనయవాదాలు . ఇది ఎ ంతో గొపప ది .
और अब हम भी उस झ मे ले में फ ंस चु के हैं .	ఇపపుడు మనం అందు లో కూడా ఇ రు క కుననా ము .
मैं प न ना नंबर 1 3 4 पर हूँ .	నేను పే జీ 1 3 4 లో ఉననాను .
व ॉ ट बहुत ख तर ना क है , बस .	వా ట చాలా పరమా ద కా రి , అంతే .
ए लो वे रा वाला ला ना . और जलदी वापस आ ना .	అందు లో కల బ ంద కలు పు కు రా . వెంట నే రా .
मेरा कह ने का मतलब है कि यह ड रा वना है .	నా ఉద దే శ యం అది చాలా భ యా న కంగా ఉంది .
- यह आदमी कई लोगों को मार सकता . . .	- ఇ తను చాలా మంది ని చం ప వచచు - హ యూ య ీ . . .
उप शी र ष क 1 6 ,	ఉ ప శ ీ ర షి క 1 6 ,
गिर ो ह के सु पर आत ंक वा दी	కి రాత కంగా హ తయ చేయ బడ డా డు .
आँख ों से परे , दिमाग से परे कभी नहीं .	కను లకు దూ రం కా వచచు , మన స సు కు కాదు .
आँख ों से परे , दिमाग से परे कभी नहीं .	కను లకు దూ రం కా వచచు , మన స సు కు కాదు .
आँख ों से परे , दिमाग से परे कभी नहीं .	కను లకు దూ రం కా వచచు , మన స సు కు కాదు .
तुमने बर नर फोन का सि म कार ड तो ड दिया ?	వాడి పడ ే సే ఫోన , సి మ కార డు మార చా వా ?
तुम कह सकते हो कि मैं इसकी गु रू हूँ .	నువవు నేను అతని బో ధ కు ర ాలు అన వచచు .
रे नर का सिर फ ट गया है ,	రే న ర తన తల పే ల చేసు కు ంది ,
उसे न यू य ॉर क टा इ मस के ह वाले करेंगे ,	దానిని న యూ యా రక టె మస కు తీసు కొ చచి ,
बात कं पा उ ंड वी की है .	ఇది కా ం ప ౌ ండ వీ గురించి .
तुम लोग कहाँ रु के हो ?	మీ ర ంద రూ ఎకకడ ఉ ంటుననా రు ?
इस वकत वह जि म में है .	అతని పపుడు జి మ లో ఉననాడు .
हमारे मान नी य सं स था पक .	మన గ ౌ ర వ నీ య వయ వ సథా ప కులు .
शायद " मेरी प वि तर अग नि की ता कत से " ?	బహుశా " నా ప వి తర జ వ ాలా శ కతి తో ? "
उस ी से सु पर ही रो को शक ति मिल ती है .	ఇది సూ ప స కి వారి శ క తు లని సతుంది .
शुरू से ही	మొదటి ను ంచ ీ
मुझे त सवी र से निकाल नहीं सकते .	వాళళు ననను ఫో టో నుంచి తొ ల గి ంచ లే రు .
ए न से ल एड मस ?	ఆ నస ల ఆడ మస ?
स फा ई का ख र चा नहीं उठा ना चाहता .	శు భ ర త బి లలు లతో ఇ బబంది పడ ాలని లేదు .
मैं कुछ नहीं कर सकता . इसे अस पता ल ले जाओ .	నేనే ం చేయ లేను . అతని ని ఆ సు ప త రికి తీసు కె ళళ ండి .
तुमहें " अ मरी का को बचा ना " पसंद है ?	మీరు " అ మె రి కా ర కష ణ " ఇష ట పడ తా రా ?
एक और झूठ .	ఇం కో అబ దద ం .
एक सु पर आत ंक वा दी है ,	ఒక సూ ప ఉ గర వా ది ఉననాడు ,
ती ख ी मु र गी और ध नि ए वाला सै ंड वि च ?	కొ తతి మీ ర తో చు టటి న మస ాలా కో డి ?
मैडम , ए म . ए म . उनहें देख सकता है ?	మే డ మ , ఎ ం . ఎ ం . వారి ని చూడ వచచా ?
और मेरा मतलब , सब कुछ .	అంతా అంటే అంతా అని .
यह अचछा सवाल है , डी प .	అది మంచి పర శ న , డీ ప .
तुमने इसे फोन किया ?	నువవు అత నని పి లి చా వా ?
इस ने कया कहा ? कया हो रहा है ?	అతను ఏం చెపపా డు ? ఏం జరుగు తుంది ?
और लगा कि वह ना राज हो जाएगा .	ని రా శ చె ందు తా డని అను కునే దానని .
मैं इन लोगों के साथ हूँ , है ना ?	నేను అది చాలా చూశా ను , సరేనా ?
" तुम उन सु पर आत ंक वा दि यों को ढूँढ ना . . . "	" మీకు ఆ మ హా ఉ గర వా దు లు దొ రికి తే . . . "
वि प कष ी के अंदर घु से ही पडे थे .	నీ నాలు క చ ొ పప ి ంచిన టటు ననా వు .
तुमहारी ज मान त हो गई .	నీకు బె యి ల ఇ చచా రు .
कि वे दु आ कर रहे हैं कि तुम उसे फोन करो .	వాళళు నువ వది చేయ ాలని వే డు కుంటుననా రు .
शायद इस वकत भी उनकी नजर ें हम पर हों .	వాళళు ఇపపుడు కూడా మన లని గ మని సతూ ఉండ వచచు .
कयों ? वह तो कितना पया रा था .	ఎందుకు ? అతను చాలా బాగు ండ ే వాడు .
कोई नहीं .	ఎవరూ లే రు .
जिस की हम जब र द सत तरी के से नि ंदा करते हैं .	అది మనం సా ధయ మెన ంత తీ వర ంగా ఖ ండి సతా ము .
इसलिए , मैंने सोचा कि मैं ही आ जाता हूँ .	అందుకే , నేనే రా వాలని తెలుసు కుననాను .
अफ सो स , इस बात का सब ूत . . .	బా ధా కర ంగా , దానికి రు జు వు . . .
और बि ग गे म प ॉन श स पायलट था .	ఇంకా బి గ గే మ గా పా ంటి య స పె లెట .
जब पता होगा कि तुम मह फ ू ज हो , सो ल ूँगा .	నువవు సు ర కషి త మని తెలి శా క పడు కుంటా .
पलीज ! मेरे बचचे को एक माँ की जरूरत है !	ననను వదిలే య ! నా బి డ డ కు తల లి అవసరం !
इसलिए मैं तो चला .	అందుకే వెళ ు తుననాను .
" और हमें एक परिवार की तरह	" మనం ఒకటి గా ని ల వాలి " అననా డు .
यार , हम लोग कं पा उ ंड वी लेकर ,	కొ ంత కా ం ప ౌ ండ వీ తీసుకు ని ,
- तुम उससे मिल ना चाहते हो ?	- అతని ని కలు సతా వా ? - కలు సతాను !
और काफी कुछ करना चाहिए था	ఇంకా చాలా విషయ ాలు చేయ ాల సింది
यह तो कै र ल हैं . मेरी पु रा नी दोसत हैं .	ఆమె కె రో ల అంతే . మంచి సనే హి తు ర ాలు .
अ ल जा बडा नी , सी रि या	అ ల జ బ దని , సి రి యా
तुमहारी मौ जू द गी ने हम पर कृ पा की	నీ ఉ నికి మమ మ లని నిజంగా అ శ ీ ర వది ంచింది
- इं स टा ग राम पर मेरी जा सू सी कर रहे हो ?	- నా ఇ న సటా గరా ం చూ సతుననా వా ? - లేదు .
ई गल हूँ .	అది ఈ గి ల .
हे भगवान , शुकरिया !	అబబా , ధనయవాదాలు !
कै र ल , यह द डी प है .	కె రో ల , ఇ తను డీ ప .
वह एक पा क और परा ची न कला है .	అది ప వి తర మెన , పు రా తన క ళ .
हमें . . .	మనం . . .
स टा र ला इट ?	సటా ర లెట ?
पागल हो गए हो कया ?	నీ కే మ యి నా పి చచా ?
और शायद तुमने मुझे उसका ह ल बता दिया .	నే న ది మీరు నాకు అ ంది ంచా ర ను కుంటా .
इसलिए , रू ज वे लट ने उनहें माफ कर दिया ,	అందుకే , రూ జ వె ల ట అయ నని కషమి ంచా డు ,
ती र ों का मु का ब ला करने लग ते हैं .	టీ ఈ సీ - 9 ని బా ణ ాల తో నా ఎదు రి ంచే ది అని .
" हो म लै ंड र , " एक दम अ मरी की अं दा ज में .	" హో ం లా ండ ర " ఒక మంచి అ మె రిక న అని .
बी ट ल स में बरा यन ए पस टी न था .	బీ టి లస కు , బర యి న ఎ ప సట ీ న .
वह एक दम गा य ब हो गया है .	అతను పూరతి గా కను మ రు గ య యా డు .
जो भी हो , मुझे अब जाना है .	ఏ దే మ యి నా , నేను వెళళ ాలి .
मुझे पता है कि हमारा जन म कैसे होता है ,	మనం ఎలా పు టట ా మో నాకు తెలుసు , అది జీ స స కాదు .
" सत य में ज लो . "	" సత యం లో క ాలి పో . "
कहाँ जा रहे हो ?	ఎ కకడి కె ళ ు తుననావు ?
हमें यहाँ से निकल ना होगा . अभी .	మనం ఇకకడ నుండి వెళళి పో వాలి . వెంట నే .
यह तुमने बना या ?	ఇది నువవు చేశా వా ?
कयोंकि वह वही है .	అ మె అదే కాబటటి .
या फिर , ज ॉन कॉ नर ,	లేదా , జా న కా న ర ,
मुझे पता है किसी को खो ना कया होता है .	ఎవరి నె నా కో ల పో వడం ఎలా ఉ ంటు ందో నాకు తెలుసు .
सर व सम मत ठ ो स परति कर िया .	ఏ క గ రి వం , బ ల మెన పరతి సప ంద న .
तुमहारे लिए बहुत खुश हूँ . सच में .	నినను చూ సతు ంటే సంతోష ంగా ఉంది .
- देखो तो सही . से वे न की बडी ही रो बन गई हो .	- అబ బో . పె సథా యి సె వెన హ ీ రో . - ఇక ఆ పు .
स ें क ें ड ब ट ै लि यन के डै न और बाकी मरी न ,	డా న ఇంకా ఇ తర రెండ వ బె ట ాలి యన సా హ స నా వి కులు
- वैसे , मेरा नाम ह यू ई है .	- నా పేరు హ యూ య ీ . - ఆ నీ .
ट रा ंस लू स ें ट ने मुझसे कहा था . . .	ట రా నస లూ సె ంట నాతో అననా డు . . .
त व चा को नर म रख ता है . ठीक है .	చ ర మా నని మ ృ దు వు గా ఉ ంచు తుంది . సరే .
यार , तुम लोग जरा सुन तो . . .	అంటే , అందరూ , నేను చెపపే ది విన ండి
बस करो . छोड ो भी .	ఇక ఆ పు . సరే లే .
च लिए , इसे . . .	వెళళ ండి , ఆమె ను - -
फर ें ची , इस ने कया कहा ?	ఫ రె ంచ ీ , అతను ఏం చెపపా డు ?
नहीं , मैं पी ता नहीं . . .	లేదు , నేను తా గ ను . . .
तो , तुम कया करना चाहते हो , ह यू ई ?	అయితే , నీ వయ ూ హం ఏంటి , హ యూ య ీ ?
तुमने कभी यह सोचा है ?	అది ఎపపుడ ెనా ఆలోచి ంచా వా ?
कं पा उ ंड वी का जो गो प नी य फा र म ू ला है ,	అది మా కా ం ప ౌ ండ వీ కు ర హ సయ సూ తరం అవు తుంది ,
कोई उस पर नजर रख े हुए था	ఆమె ను ఎవరో గ మని ంచారు ,
तुमने यह कया पह न र खा है ?	నువవు ఏం వే సు కుననా వు ?
यह तो बडा ही श ै ता नी है .	అది అ తి పా శ వి క మెన ది .
यह खुश श ब री किस ने दी ?	శు భ వార త ఎవరు అ ంది ంచారు ?
पर चिंता मत करो . . .	కానీ కంగా రు పడ క ండి . . .
तुमहारे लिए सै नि टा इ जर ले ने जा रहा हूँ .	నేను నీకు ప యూ రె ల తీసుకు వ సతుననాను .
करि स हैं से न के साथ एक नजर करी ब से	కరి స హా న సె న తో స మీ ప వీ కష ణ నా ట క రూ పా ంత రం
- तुमहारा दिमाग कया बिलकुल ख रा ब हो गया ?	- నీకు పి చచా ? - మనం జా గర తత గా ఉననా ం .
किसी अ र ब को दिखा एँगे तो वह क हे गा ,	నా ఫో టో చూపి ంచి నా , అతను తిరిగి అంటా డు ,
अ ल वि दा , दोसत .	వీ డ కో లు , సోద రా .
मुशकिल है . बहुत मुशकिल है .	ఇది కష ట తర మెన ది . చాలా కష ట మెన ది .
अचछा . तो . . .	సరే . అయితే . . .
कई लोग गो लिया ँ चला रहे थे ,	ఎ ంతో మంది ష ూ టర లు , నేను వెళళ ా ను ,
आप मेरी त सवी र ले जाकर , स हा रा में	సహా రా మధయ లో ఒ ంట ె న డి పే నిర కష రా స యు డి కి
जहाँ उनहें हर वकत इंसान तैयार मिल ते थे	అకకడ ఆయన కా ం ప ౌ ండ వీ య ొ కక పరా రం భ పు న రా వ ృ త ాలను
