पलीज . पलीज .	పలీజ . పలీజ .
वह टे डी बे यर के ब गल में है , ठीक है ? मार था से मदद ले लेना .	టె డ డి బ ే ర ప కక నే ఉంది , సరేనా ? కావాల ంటే మార తా సహా యం తీసుకో .
मेरे जाने के बाद , मैं चाहती हूँ तुम रे न को पा लो .	నేను చని పోయి న తరవాత , నువవు రెన కష ే మ ం చూ సుకో వాలి .
बस करो . बहुत हो गया . तुम मेरे ऊपर एक टो प ला ज म लगा दो गे .	చి ంతి ంచ కు . ఇక చ ాలు . నీ దు రాత మ శ కతి నాకు అ ంటు కు ంటుంది .
ओह , खैर , फिर गु ड आ फ टर न ून .	ఓహ , సరే అయితే , ఇక ఉంటా ను .
यह अभी अपना रि टा यर में ट ले ले .	ఇ తను ఈ కష ణ మే రి టె ర అయి పో వాలి .
नहीं .	లేదు .
कया हो रहा है ?	ఏం జరుగు తోంది ?
- ना सु ध र ने ला य क - ना सु ध र ने ला य क	- వి మో చ న లే కుండా - వి మో చ న లే కుండా
- तुमहारे पास . . . - न ल सा जी है .	- మీ ఇంట లో . . . - నీ ళలు వ సతా యి .
हैलो ! तुम मुझे देख सकते हो !	హలో ! నేను నీకు కనిపి సతుననా !
नहीं . अरे , डे व , बस करो .	లేదు . హేయ , డే వ , వదిలే య .
- अरे , वहाँ देखो . - कया ?	- హేయ , ఇది చూడు . - ఏంటి ?
चलो भी !	తీసుకో !
श हर जग म गा रहा है टि म टि मा ती ब त ति यों से	మె రు సతునన కా ం తు లతో సి టీ వె లి గి పో తోంది
लेकिन मैं पयार में पड कर सब कुछ बि ख र ते देखना नहीं चाहती	కానీ ఈ యన కు పడి పోయి తరవాత మ నన సు వి రు చు కో వాలని నాకు లేదు
मुझे कितना प सी ना आ रहा है ?	నా చే తులు బాగా చ మ ట ప టట ా యా ?
जब मैं डे ट किया करता था हाथ पक ड ना बहुत आगे की बात होती थी	నేను డే టి ంగ చేసిన కాల ంలో చే తులు పటటు కో వడం చాలా పెదద విషయం
कया हो रहा है ?	ఏం జరుగు తోంది ?
मुझे कैसे पता होता कि वह ऐसा कुछ कर बैठ े गा ?	వాడు ఇలా ంటి పని చేసతా డని నా కె లా తెలు సతుంది ?
क लि ंट ब रि ग स	కలి ంట బ రి గ స
जानता हूँ . यह बस , मैं . . .	అవును . అదే ంట ంటే , నేను . . .
रुको , कया तुमने अपना भ वि ष य देखा ?	ఆగు , నువవు నీ భ విష యత తు ని చూ సా వా ?
तुमने बस कुछ सौ साल ों में डे टि ंग नहीं की है .	నువవు కొనని వ ంద ల ఏ ళలు గా డే టి ంగ చేయ లేదు అంతే .
हैलो , गु ड आ फ टर न ून , स जज नों .	హె య , ఇక ఉంటా ను , మి తరు లా రా .
वह कहाँ है ? चलो भी .	అది ఎకకడ ఉంది ? ప దా .
अ र . . . रे नी ?	ష . . . రె ననీ ?
नहीं .	లేదు .
तैयार हो जाओ .	సిదధ ంగా ఉ ండు .
मार ली ?	మార లె ?
नहीं .	లేదు .
अरे ! तुम कहाँ जा रहे हो ?	హేయ ! ఎ కకడికి వెళ తుననావు ?
मुझे वापस जाना होगा .	నేను వెన కకి వెళళ ాలి .
नहीं .	లేదు .
मेरा भाई .	నా సోద రా .
खैर , मैंने हर करि समस बि ता या है सही और गलत देख ने की कोशिश में	నేను పర తీ కరి సమ స రోజు ను మంచి చె డు లు బ ే రీ జు వే సు కు ంట ూ గ డి పా ను
लेकिन अब तुम जानते हो , ओह , अब तुम जानते हो	కానీ ఇపపుడు నీకు తెలుసు , ఓహ , ఇపపుడు తెలుసు
बस थोडी सी , बस थोडी सी , बस थोडी सी	కొంచ ె మెనా చె య , కొంచ ె మెనా కొంచ ె మెనా
क लि ंट .	కలి ంట .
क लि ंट !	కలి ంట !
नहीं .	లేదు .
अरे .	హేయ .
सब ठीक है . ड रो मत .	ఏం పర లేదు . భయ పడ కు .
यह आ म बात से थोडा ह ट कर है . मेरी बात सुनो .	కొంచెం వి ంత గా ఉండ ొ చచు . నేను చెపపే ది వి ను .
व रत मान	పర జె ంట
बू .	భ ూ .
खैर , इससे मुझे चो ट पहुँ ची .	ఆ బ బె , అలా అంటే బాధ గా ఉంది .
कोई बात नहीं . अरे , द ख ल देने के लिए माफ करना .	అదే ం పర లేదు . హె య , చెపప కుండా వచచి న ందుకు సారి .
- बढिया . शुकरिया . - हाँ . हाँ , जरूर .	- మంచిది . థాంక స . - అవును . సరే , ప దా .
हाँ . लेकिन रुको , देखो . ठीक यहाँ देखो .	అవును . కానీ ఆగు , ఇలా చూడు . ఇకకడ చూడు .
जलदी ही , दोसत ों यह बढ कर हो जाएँगे ह जार ों	తవర లోనే , మి తరు లా రా అనే క వే ల మంది కలు సతారు
श रा फ त - त - त - त - त	మంచి - చి - చి - చి
- सही कहा , मैं हि म मत करता हूँ - हाँ , हम हि म मत करते हैं	- అవును , నేను ధ ె ర యం చేయ గలను - అవును , మేము ధ ె ర యం చేయ గల ం
पता है , मेरे खया ल से तुम अंदर से चाहते थे वह तुमहें देख े , कयोंकि तुम उसे पसंद करते हो .	నీ మన సు లో ఆమె పె నీకు ఉనన ఇషటం కారణ ంగా , నువవు ఆమె కు కనిపి ంచ ాలని బ ల ంగా కో రు కొ ని ఉంటా వు .
मैं कि म बर ली के साथ तुमहारी मदद कर सकता हूँ . मतलब , तुम लोग अचछे से फ ल रट कर रहे थे .	కి మ బె ర లి విషయం లో నేను నీకు సహా యం చేయ గలను . అంటే , మీ రి దద రి మధయ ఆ క నె కష న నేను చూ సా .
सी ए नए न इस बारे में बात नहीं करे गा कि आपने कैसे शि कष क सं घ को मु सी ब त में डाल दिया .	మీరు టీ చ రస యూ ని యన కి కలి గి ంచిన న ష టం గురించి సి . ఎ న . ఎ న వారు మాటలాడ టం మా నే సతారు .
तुमहें लगता है मुझे कु त ू ह ल हो जाएगा कि उस दरवा जे के पीछे कया है ? मैं . . .	ఆ తలు పు వె నుక ఏ ము ందో తెలుసు కో వాలని ఆ స కతి తో వ సతాను అనుకుంటుననా వా ? నేను . . .
या हो सकता है कि मैं दुनिया की भ ला ई को अपनी वय क ति गत इ चछ ा से ऊपर रख ता हूँ .	బహుశా మా న వాళ ి శ రే య స సు కు బ దు లు నేను నా సవా ర ధా నికి పరా ముఖ యత ఇ చచి న టటు ఉననాను .
कहा जा रहा है कि अगर आपके पास अस ली पे ड है , तो आप आ लो च ना त म क फै शन पर सत हैं .	నిజ మెన చె టటు ను పెటటు కునే వారు , బాగా బ లి సి , ఇ తరు ల కష ే మా నని లె కక చేయ ని వార ంట .
तुमहारे परति द व ंद ी यह जानते हैं इसलिए उनके बकवास उ त पा द ते जी से बि क ते हैं	మీ పో టీ దారు లకు ఈ విషయం బాగా తెలుసు కాబటటి వారు అమమ క ాలు బాగా జ రు పు తుననారు
लेकिन साथ ही हम , दो , अ धी र हैं अचछा और बु द धि मान और सही महसूस करने के लिए	ఇక రెండు , మీ పరిసథి తి దయ నీ య ంగా ఉంది ఎలా గ ెనా పో టీ లో నె గ గ ాలని చూ సతుననారు
वह जी तना चाहती थी . और उसका मतलब है तुमहें कुछ क ठ ो र ह थ कं डे अपना ने होंगे .	అది పో టీ లో గె ల వాలి అను కు ంది . దా న రథ ం కొనని వె నను పో టు ద ె బబ లు తీ య ాల సి ందే .
मेरे खया ल से अगर तुम खु ले दिमाग से सुन लो और मुझे गर व करने दो , ठीक है ?	నువవు , కొంచెం పెదద మన సు చేసు కొ ని చెపపే ది వి ని నేను గర వ పడ ే లా చె య , సరేనా ?
लेकिन अगर तुम जी तना चाहते हो तो तुमहें इं सा नी पर व ृ त ति को समझ ना होगा	కానీ మీరు ఈ పో టీ లో గె ల వాలి అంటే మీరు మను ష ు ల తీ రు ను అరథం చేసుకో వాలి
नहीं . नहीं , मैं खुद को नहीं संभा लू ं गा , डै न , मैं तुमहें संभा लू ं गा .	కాదు , నేను ఎలా గె న బర త క డం కాదు , డా న , నీ కం పె నీ ని చం పే సి బర తు కు తాను .
पता है , मैं चाहता हूँ कि तुम मु ँ ह बंद करके मुझे अपना काम करने दो .	నాకు కేవలం నువవు నో రు మూ సు కొ ని , నా పని ననను చేయ నివ వడం కావాలి అంతే .
मैं तुमहें कार य कारी वी पी बना द ूँगा , तुमहारा वे त न दो गु ना कर द ूँगा ,	నేను నినను ఎ గ జి క యూ టి వ వి పి ని చేసతా , ఇకకడికి రె ండి ంత లు జీ తం ఇ సతా ,
कया तुमने उसे अपनी नि जी जिंदगी के बारे में बता ने की कोशिश की है ?	నీ వయకతి గ త జీవితం గురించి వాడి కి చెపప డానికి ఎపపుడ ెనా పరయతని ంచా వా ?
वह ना सु धा र ने यो ग य इसलिए नहीं है कयोंकि वह पि ल लों को मार ता है .	వాడు కు కక పిలల లని చం పే వాడు అనన కారణ ంగా వి మో చి ం ప సా ధ యం కాదు అన లేదు .
- वह रही . चलो चल कर उससे बात करें और . . . - अरे , नहीं . वह वही है .	- ఆమె అకకడ ఉంది . వెళలి ఆమె తో మాటలా డి . . . - ఓహ , లేదు . అది తా నే .
- किसी मु ज रि म को मु सी ब त से बचा ना - हम " अ करि समस कै र ल " की तरह हैं	- నా శ నం నుండి ఒక రి ని కా పా డు తుననాం - మేము కరి సమ స కే ర ల లాంటి వా రం
- बिलकुल . मुझे " कहीं " बहुत पसंद है . - हाँ , मुझे भी . हे भगवान .	- నిజంగా . " ఎ కకడి కె నా " వెళ దాం . - అవును , నాకు కూడా . ఓ రి , దేవుడా .
माफ कीजिए , श री म ती ब ला न स की . हम स ड क पर आगे खेल ने चले जाएँगे .	కషమి ంచండి , మి స బ లా ంక స కి . మేము వీ ధి చి వ రికి వెళలి ఆ దు కుంటా ం .
अरे , नहीं . नहीं . यहाँ किसी गा ने की कोई जरूरत नहीं है . नहीं .	ఓహ , వదదు . పలీజ . ఇపపుడు దాని గురించి పా ట పా డ ాల సిన పని లేదు .
ठीक है . मेरी बात सुनो . मैं जानता हूँ तुम कया कह ने वाले हो .	సరే . నేను చెపపే ది వి ను . నువవు ఏం చెపప బో తుననా వో నాకు తెలుసు .
खैर , मैं मान ता हूँ कि यहाँ का हमारा काम बहुत मह त व पू रण है .	అంటే , మేము ఇకకడ చేసే పని చాలా పరా ముఖ య మెన ది అని నా నమమ కం .
यार , वह इसके निय ं तर ण में नहीं है . निय म यह नहीं बना ता है .	ఒ రే య , ఈ విషయం లో ఈ యన ఏం చేయ లే డు . నియ మ ాలు పెటట ే ది ఈ యన కాదు .
जा म में अपने ग म ों को भ ु ला रहे हो तुम अस फ ल महसूस कर रहे हो	నువవు నీ మ ద యం మ తతు లో తూ లు తూ , చే త కా ని వాడి లా కు రచ ీ ని ఉండ గా
- " कया इस पु ष प हार में मैं . . . - ठीक है . और कोई सवाल नहीं .	- " ఈ పు ష ప గు చ ఛ ం నాకు చూడ డానికి . . . " - సరే . ఇక పర శ నలు ఆ పు .
अरे , नहीं . गा ने की कोई जरूरत नहीं है . अब चलो भी . चलो . . .	ఓహ , లేదు . ఇపపుడు పా డ ాల సిన పని లేదు . వెళ దాం ప దా . ప దా . . .
तुम उस दिन का करते हो इंतजार तुम तै या री करते हो पूरा साल	మేము ఆ రోజు కోసం ఎదు రు చూ సతు ంటా ము ఏ డా ది అంతా సిదధ మ వు తా ము
- रुको , तुम रि टा यर नहीं कर सकते . - अब , शा ंत हो जाओ , रू हों .	- ఆగు , నువవు రి టె ర అవ వ కూడదు . - లేదు , శా ంతి ంచండి , ఆ తమ లా రా .
तुमहें ऐसा कयों लगता है कि अब तुम बद ला व नहीं ला रहे हो ?	నువవు మార పు తీసుకు రాల ే కపో తుననా అని ఎందుకు అనుకుంటుననా వు ?
मैं तुम पर नजर रख रहा था और फिर उसने सी धे मेरी ओर देखा .	నేను నీ మీద క నను వే సి ఉ ంచా , కానీ అంత లో ఆమె ననను చూ సింది .
- कया बढिया है ? - यह अंदर की ह ल चल . इसे अपने अंदर फै ल ने दो .	- ఏంటి మంచిది ? - ఈ మా న సి క మ ధ నం . నీ లో దానిని ర గు లు కో నివ వు .
तुम उस दिन का करते हो इंतजार तुम तै या री करते हो पूरा साल	మేము ఆ రోజు కోసం ఎదు రు చూ సతు ంటా ము ఏ డా ది అంతా సిదధ మ వు తా ము
और ऐसे इसकी शु रु आत हुई . एक पू रे साल की रि सर च और तै या री .	ఇక పని మొద లె ంది . ఏ డా ది మొతత ం పరి శ ో ధి ంచి , సి దద పడ ను ననా ం .
कभी यह सोच ने रु का नहीं कि अपने पीछे कया बर बा दी छोड गया	నేను బర తి కి ఉండ గా చేసిన దారు ణ ాలను ఎపపుడూ ఆలోచి ంచుకో లేదు
- अभी आता हूँ . - तुम जानते हो मैंने नौ करी छोड दी , है ना ?	- వెంట నే వ సతా . - నేను పని మా నే సతుననా అని నీకు తెలుసు కదా ?
जाओ जाकर अपनी गल ति यों को सु धा रो और हमें ग ौर वा न वि त करो .	వెళలి మీ తపపు లను సరి ది దదు కొ ని , మేము గర వ పడ ే లా బర త క ండి .
- उसने कया कहा ? - लेकिन इस समय दुनिया जिस स थि ति में है ,	- ఆయన ఏమ ననా డు ? - కానీ పర సతు తం పరపంచ ం ఉనన సథి తి ని బటటి ,
फिर तुमहें कैसे पता मैं कितनी बु री हूँ या नहीं हूँ ?	సరే , నేను దారు ణ మెన దానిని అవు నో , కా దో నీ కె లా తెలుసు ?
- ठीक है , यह बहुत बुरा नाम है ! - यह बहुत सारे नाम हैं .	- సరే , పేరు బ ాల ేదు లే ! - బో లె డ నని పే రలు కలి పి చెపపా వు .
- जो करना चाहते हो बस कर दो . - ठीक है . बु ढ िया के बा ल .	- మీరు ఏం చేయ ాలను కు ంటే అది చేయ ొ చచు . - సరే . పీ చు మి ఠ ా యి .
ठीक है . 2 6 1 अभी चा लू हो रहा है . ऑ डियो , मुझे याद है .	సరే . 2 6 1 ప లే అవు తుంది . రి కార డి ంగ ఒకక టే అననా వు కదా .
क लि ंट , बस मुझे जाने दो . तुम यह देखना नहीं चा हो गे .	కలి ంట , ననను వెళ లని వ వు . ఈ పని జరగ డం నువవు చూడ కూడదు .
कया तुम बना ना चाहते हो एक ल हर ? ल हर , ल हर , ल हर , ल हर	నీకు మార పు తీసుకు రా వాలని ఉందా ? మార పు , మార పు , మార పు
जयादा तर लोग इतने जयादा डर जाते हैं कि बेवकू फा ना ,	సా ధా రణ ంగా జ నం ఇది చూ సి భయ ంతో ఏ వే వో పర శ నలు అడుగు తూ
तुमहें लगता है तुम उस बं दे से बेहतर स थि ति में हो ?	నువవు వాడి క ననా బాగా బర తు కు తుననాను అనుకుంటుననా వా ?
और फिर ला ख ों और अ र ब ों तक और यह कभी खतम नहीं होता	ఆ తరవాత లకష ల మంది , కో టల మంది ఆ సం ఖ య ఎ పపటి కి త గ గ దు
म ॉ म , कया मैं इसे बी मार बच चों को दा न कर सकती हूँ ?	అమమా , నేను దీని ని అ నా రో గ య ంగా ఉనన పిలల లకు ఇవవ నా ?
उसके बहुत पया रे स फ े द प ं जे हैं और . . . हे भगवान .	దాని పద ాలు తె లల గా భలే అంద ంగా . . . ఓ రి , దేవుడా .
" काम आ सा नी से हो जाएगा " कह ने पर कोई प छ ता वा है ?	" చి టి కె లో జ రి గే పని " అనన ందుకు నాకు బాధ వే సి ందా ?
यह वह सवाल है जो तुमहें रात ों में ज गा ए रख ता है .	నీకు రా తరు ళళు ని దర రా కుండా చే సతునన ఆ ఒకక పర శ న .
अरे . साथ ही , मैंने सोचा कि हम बन ने लगे थे . . .	హేయ . అంతే కాదు , నేను మనం ఇపపుడు ఒక రికి ఒక రం . . .
और मैं अंदर से नहीं मरी हूँ . वह आदमी आकर ष क है .	నేనే ం బ ొ మమ ని కాదు కదా . వాడు నిజంగా నే అంద గా డు .
