लूसी .	లూ సీ .
हम फि ल में बना ते हैं , चार ली .	మనం సి ని మ ాలు చేసతా ం , చా ర లీ .
पता है , विश व सत उ त तर दा य ित व कया है ?	వి శ వ స నీ య బాధ యత అంటే ఏమి టో తెలుసా ?
विश व सत उ त तर दा य ित व है नि वे श कों के लिए पै सा बना ना .	పెటటు బడి దారు లకు డబబు సం పా ద న దాని వి శ వ స నీ య బాధ యత .
वह पै सा कैसे बना ती है ?	దానికి డబబు సం పా ద నె లా ?
हाँ .	సరే .
देखो .	చూడు .
सच जान ो कि बार ब कहाँ काम करती है .	మీ ఆ వి డ చేసే పని పె నిజం తెలుసు కో .
उसके लिए .	ఆమె కోసం .
वॉल ट - टे क से हे न री स हा य क पर शि कष ण वाला .	వాల ట టె క శి కష ణ ా కార య కర మ ం నుంచి హె న రీ .
तो , हाँ , वॉल ट में कु त ते नहीं होंगे .	అందుకే , అవును , వాల ట లో కు కక లు ఉండ వు .
यही बात तो पया री लग ती है .	నీ లో నేను పరే మి ంచే ది అదే .
नहीं , यहाँ तो ग ू सी लि खा है .	లేదు , ఇ ందు లో గ ూ సీ అనే ఉంది .
{ \ an8 } फ यू जन को र	{ \ an8 } ఫ యూ జ న కోర
यह लो .	ఇది గో .
यू नि ट 4 2 8 .	యూ ని ట 4 2 8 .
यू नि ट 4 2 8	యూ ని ట 4 2 8
{ \ an8 } सन 2 1 8 9 नया कै लि फो र निया ग ण राज य बना	{ \ an8 } 2 1 8 9 న యూ క ాలి ఫో రని యా రి ప బ లి క స ృష టి
सत ह के लोगों की पर ं परा है .	ఇది ఉ పరి తల పరపంచ సం పర దా యం .
द ग वर मि ंट	ద గ వర మి ంట
त ला श है	కా వ లె ను
पता नहीं तुम कैसे चल - फिर ले ते हो .	నినను ఏ ది ఇంకా ఉ ంచు తో ందో తెలియదు .
वैसे , सो रे ल ,	సరే , స ొ ర రే ల ,
इतना ही .	అంత వర కే .
मेरे पिता का यर नहीं हैं .	మా నానన పి రికి పి ంద కాదు .
शे रि फ रे कस ,	ష ె రి ఫ రె కస ,
ह ॉ ली व ु ड फ ॉर ए वर	హ ాల ీ వు డ శా శ వ తం
याद करते हुए हम अ ती त को सामने ला ते हैं .	మాకు గురతు నన టలు గా గ తా నని తిరిగి తె సతా ం .
- ज वाला मु ख ी . . . - ज वाला मु ख ी . . .	- మ ంట ల రా ణి . . . - మ ంట ల రా ణి . . .
अगर तुम मुझसे किया वा दा तो ड ना चा हो और	నువవు మన ఒ పప ంద ం కా ద ను కు ని ఏదెనా మంచి ,
नहीं !	వదదు !
कयोंकि वॉल ट में हम समझ ते हैं कि हमें एक - दूसरे की जरूरत है .	ఎందుకంటే వాల ట లలో , అంద రికీ పర స పర అవసరం ఉ ంటు ందని గుర తి సతా ం .
हम साथ चल ेंगे . सिर ल ेंगे , और बर दर हु ड के पास ले जाएँगे .	కలిసి పర యా ణి దదాం , త లను తీసుకు ని , సో దర జా తి దగగర కు పో దాం .
माफ करना हे न री , पर मेरी बी वी शा म को काम का ज नहीं करती .	మన ని ంచు , హె న రీ , సా య ంత రాల లో మా ఆ వి డ పని ఫోన లు మాటలాడ దు .
अपनी परति स पर धा को खतम करने का बेह तरी न ह थ िया र कया है ?	ఎందుకంటే మీ పో టీ ని నా శ నం చేయ డానికి అ ంతి మ ఆ యు ధం ఏమి టి ?
{ \ an8 } बस आज ही किसी भी वॉल ट - टे क में घर ख री द ली जिए .	{ \ an8 } ఇ వాళ ే వాల ట టె క వాల ట లో ని వా సం కొ ను గో లు చేసి .
लोग सोच ते हैं पै मा ना मतलब बा जार में हि ससा बढ ा ना .	సథా యి అంటే గ లో బ ల మార కె ట వా టా పె ంచ డ మని అనుకుంటా రు .
हमें यहाँ आने दिया और हमारी मदद की इसका शुकरिया .	మమ మ లని అను మ తి ంచిన ందుకు , జా గర తత గా చూ సు కునన ందుకు .
अगर शा ं ति वार ता स फ ल हो जाए तो वॉल ट नहीं बि क ेंगे .	కానీ ఈ శా ంతి చ రచ లు సా గి తే వారు వాల ట లను అమమ లే రు .
ब ड आ स किन स . द कष ि ण ी कै लि फो र निया का काम देख ता हूँ .	బడ ఆ స కి నస . నేను చూ సే వి స దర న క ాలి ఫో రని యా ప ను లు .
मतलब , और कया करना होगा ? नी ली यू नि फ ॉर म व ग ै रह ?	ఇంకా మా కోసం ఏం ప థ కం చేశా వు ? నీ ల ం జ ం ప సూ ట లా ?
अगर मुझे नहीं पह न नी हो तो ? ह री पह न नी हो तो ?	నేను అది వే సుకో న ంటే ? నాకు ఆ కు ప చచ ది కావాల ంటే ?
बाहर ख डे हो कर शि का य त करने से कुछ नहीं होगा .	ప కక నుండి ఫి ర యా దు చేయడం ఎవ రికీ మే లు చేయ దు .
पर यहाँ वे अपने साथ बद बू दार खाना ला ते हैं ,	కానీ వాళలు ఇకకడ కు వా స న వచచే ఆ హా ర ంతో వ సతారు ,
- तुम शे डी सै ंड स की हो . - बहुत - से लोग हैं .	- మీరు ష ే డీ శా ండ స నుంచి . - మ ాలో చాలా మంది .
मुझे जयादा खु ले वि चार ों वाला नहीं मिले गा .	నా కంటే మన సు వి పప ి మాటలా డే వారు నీకు త గల రు .
- तुमहें किसी से मिल वा ना है . - अचछा , कौन ?	- నువవు ఒక రి ని తపప క కల వాలి . - సరే , ఎవరి ని ?
मेरी आवा ज के अधि कार उस घ ू म ते रो बो ट को दि ए	నా గొ ం తు హ కకు లను ఆ తి రి గే రో బో ట కి అమమ గా ,
- हमें ए ं टी बा यो टि क चाहिए . - जी , डॉ क टर .	- మనకు యా ంట ీ బ యా టి క అవసరం . - సరే , డా క టర .
हाँ , हमेशा वाली बात नहीं है . सही कहा .	హా , సా ధా రణ ంగా జరగ దు . నీ మాట ఒ పపు కుంటా .
ब ड आ स किन स ने रॉ ब - को से इन हें लिया है .	బడ ఆ స కి నస వాటి లె సె నస రా బ కో కు ఇ చచా డు .
{ \ an8 } ग ण राज य पू रे कै लि फो र निया की सबसे बडी आर थि क और रा जन ै ति क ता कत बना - 2 2 4 1	{ \ an8 } క ాలి ఫో రని య ాలో అ తి పెదద ఆ రథ ి క మరియు రా జ కీ య శ కతి గా మా రి న ఎ నస ీ ఆర - 2 2 4 1
आदमी और उसका कु त ता , वह फि ल म म सत है .	ఏ మయా న అ ండ హి స డా గ , అది మంచి సి ని మా .
तुम लोग तो आ इस करी म सो श ल के लिए आए हो ,	ఇక , మీ రం తా ఐ స క రీ మ సో ష ల కోసం వచచా రు ,
इस ग लिया रे का नाम है सा इ काम ो र सट री ट	ఇపపుడు , ఇకకడ ఈ కా రి డా ర సి క మో ర సట రీ ట ,
माफ करना . पता नहीं था . आप तो . . .	మన ని ంచాలి . తెలియదు . మీరు చాలా . . .
जब भी मैं अपने घर में घु सता हूँ ,	నా ఇంటి లోకి అడుగు పె టటి న పరతి సారి ,
- सही . - वॉल ट - टे क के पास पै सा है	- నిజం . - వాల ట టె క అన నీ స ొ ంత మెన
म ज दू री के क पड ों में अचछी लग ो गी .	ఆ డ రె స లలో నువవు భలే బాగు ంటా వు .
हर रात मैं बस पागल हो जाती थी .	నాకు పరతి రాతరి పిచచి గా ఉండే ది .
रो जाना मैं काम पर जाकर यही सोच ती हूँ कि किस तरह से मान व जा ति	పరతి రో జ ూ ఉద యో గా నికి వెళలి భ ూ మి పె 9 0 శా తం జీవి త ాలను తు డి చి పెటట ే
- हम शे डी सै ंड स वापस ला ते हैं . - हम शे डी सै ंड स वापस ला ते हैं .	- ష ే డీ శా ండ స ను తిరిగి తె సతా ం . - ష ే డీ శా ండ స ను తిరిగి తె సతా ం .
पर आप असल जिंदगी के ही रो हैं .	కానీ నిజ జీవితం లో మీ రే హ ీ రో లు .
उससे मुझे हमेशा आ श चर य होता है .	ననను ఆ శ చ రయ పర చ డం ఎ పపటి కీ ఆ ప వు .
छोड ो भी , तुमने इन हें देखा है .	అబబా , వీ టి ని చు టట ూ చూ సతు ంటా వు .
ह ॉ ली व ु ड फ ॉर ए वर - अं ति म सं स कार कब रि सता न - स मा धि - दा ह सं स कार	హ ాల ీ వు డ శా శ వ తం - అంత య కరి య ల గ ృ హం శ మ శా న వాటి క - సమా ధి - ద హ నం
रु किए . आपने कहा यहीं र हें गे ?	ఓ కష ణం . ఇకకడ ే ఉంటా మని అననా రా ?
सु नि ए . दि क कत तो नहीं अगर . . .	ఒక సారి ఆగు . ఏమీ అనుకో కు . . .
वह रो ल तुमने शान दार किया था .	ఆ పా తర దయ , గ ౌ ర వ ంతో పో షి ంచా వు .
ये लोग हम से कुछ छ ि पा रहे हैं .	ఈ జ నాలు మన నుంచి ఏదో దా చా రు .
ए ं करे ज में समझ ौ ता वार ता पर ी से ल पर ग ं भी र अ सर डाल रही है .	యా ంక రే జ లో చ రచ లు ము ంద సతు అమమ కాల పె తీ వర పర భా వం చూ పు తుననా యి .
जान बचा ने के लिए जो कुछ किया वह दिमाग में ता जा होता है .	బ త క డానికి చేయ వల సిన ప ను ల ననీ నీ మన స సు లో ఇంకా తా జా గా ఉంటా యి .
कू प , कि सा नों के पास ता कत है .	పె ం ప క ందా రు ల దే అ ధి కా రం , కూ ప .
- इसका कया मतलब था ? - वैसे ,	- అంటే మీ ఉద దే శ మే ంటి ? - సరే ,
स ह न करना होगा और उनहें " सत ही " नहीं कह सकते . बु री बात है .	వాళ లను భ రి ంచాలి , వాళ లను " పె వాళలు " అన కూడదు . అది దారు ణం .
हाँ , मैं ही हूँ . सट े ज और स करी न का सि ता रा , कू पर हा वर ड .	అవును , ఇది నేనే . కూ పర హా వర డ , నా ట క ాలు , సి ని మ ాల లో సటా రని .
{ \ an8 } अ नि श चि त भ वि ष य के लिए सुरकष ा में करा ं ति - वॉल ट - टे क	{ \ an8 } అని శ చి త భ విష యత తు కోసం వి ప ల వాత మ క భ దర త - వాల ట - టె క
इसे भगवान ने नहीं बना या , बल कि म ज दूर ों ने बना या है ,	సర వ శ కతి మ ం తు డె న దేవు డి చే స ృష టి ంచ బడ లేదు , కానీ ఓ మనిషి ,
मैं ऐसा बस दोसत ों और सु ंदर म हिला ओं के लिए करता हूँ	అలాగే . దీ నని స నని హి తులు , అంద మెన మ హి ళల కో స మే చేసతాను ,
तुम एक पर ो ड कट हो . मैं भी .	నువ వో ఉ త ప తతి . నే నో ఉ త ప తతి .
बेवकूफ ों के साथ गु जा रो गी ?	ఐ దు వర కు గ డ ప ాలని ఉందా . . .
चु ना व जी तना है , तो उनकी पर ं परा ओं का सम मान करना होगा ,	నువవు ఎ నని క కావాల ంటే , వాళల సం పర దా య ాలను గ ౌ ర వి ంచాలి ,
तुमहें छोड कर नहीं जा ऊँ गी .	నువవు లే కుండా నేను వెళ లను .
पर अस ली सवाल यह नहीं है .	నిజ ానికి పర శ న అది కాదు గా ?
- मैं बस . . . - च ली जाओ .	- నేను . . . - ఇక వెళలి పో .
आप लोगों को क वार ं टा इन में कुछ ही घं टे रहना होगा	మీరు ఎలా ంటి క ాలు ష యానని తీసుకు రాల ే దని నిర ధా రణ కోసం
वैसे भी , हमने सौ दा किया था कि सिर को साथ खो ज ेंगे .	మ రో వెపు , త లను కలిసి వె త కాల ని ఒ పప ంద ం చేసు కుననా ం .
नहीं , आज मैं आपको एक बेहद बडी , बेहद शान दार जगह के बारे में बता ने आया हूँ .	లేదు , ఈ రోజు , నేను మీకు వి శ ాల మెన , అదభు త మెన పర దేశం చూపి ంచ డానికి వచచా ను .
- हैलो . - और , जा ह िर है ,	- హలో . - ఇంకా , తపప కుండా ,
नहीं , टा इट स . मैं बात कर रही हूँ उसकी आँख ों की .	కాదు , టె ట స , నేను . . . తన క ంటి గురించి మాటలా డా ను .
मुझे बार ब पसंद है , समझ े ?	నాకు బా ర బ ఇష ట మే , సరేనా ?
बार ट ें डर , एक और मिले गा ?	బా ర టె ండ ర , మర ొక టి ఇ సతా వా ?
और दस साल ों की ल डा ई के बाद सर कार दि वा लिया है .	ప దే ళల యు దధ ం తరువాత , యూ ఎ స పర భు త వం గే లి అవు తుంది .
पर इन लोगों का मजाक उडा ओ तो उनहें बुरा लगता है .	వీ ళ లను కి ంచ పర చ కుండా దాని గురించి జో క చేయ లేవు .
से ना के ठ े के ले ते हैं .	అది ఓ డి ఫె నస కా ంట రా క టర .
मजाक कर रहे हो ? चार ली ?	నాతో పరా చి క మా ? చా ర లీ నా ?
इन सा नों को बचा ने का काम वॉल ट - टे क को दिया है .	మా నవ జా తి మను గ డ ను వాల ట టె కకు అవు ట సో రస చేసి ంది .
{ \ an8 } सन 2 1 9 8 शे डी सै ंड स वहाँ की राज धा नी बना	{ \ an8 } 2 1 9 8 ఎ నస ీ ఆర కు రా జ ధా ని గా మా రి న ష ే డీ శా ండ స
नया कै लि फो र निया ग ण राज य	న యూ క ాలి ఫో రని యా రి ప బ లి క
जब तक तुम चल ने ला य क नहीं होते , हम यहीं हैं .	ఇక నువవు పర యా ణం చేయ గ లి గే వర కూ మనం ఇ రు క కుననా ం .
अगर कि सान के पास शे रि फ से जयादा ता कत हो तो ?	ష ె రీ ఫ కంటే రా ంచ ర కి ఎకకువ శ కతి ఉంటే ఏమ వు తుంది ?
करा यो - टे क करा यो - प ॉ ड ला इ फ स पो रट सट े ट स : डो र में ट	కర యో - టె క కర యో - పా డ జీ వ న మ దద తు సథి తి : ని ద రా ణం
जो आपको हमारे शान दार ग ण राज य में मिल ती हैं .	మీరు ఆ శి ంచే అనని ఆ ధ ు నిక స ౌ కర య ాల తో ల భి సతుంది .
हाँ , मुझे भी पसंद है . कु त ता भी मेरा ही था .	అవును , అది నా కూ న చచి ంది . అది నా నిజ మెన కు కక .
हमें ऐसा करने की . . .	మేము అలా చేయ కూడదు . . .
तुम नहीं समझ े . हम इससे बेहतर नहीं कर सकते .	నీకు అరథం కాదు . మనం ఆ శి ంచ గ లి గే అత యు తత మ ం అదే .
रा ष टर पति वाली बात की .	బాగా గొపప నా య క త వం కదా .
वॉल ट - टे क के उ त सर जन सि सट म में जो ड रहे हैं .	వాటి ని వాల ట - టె క ఉద గా ర వయ వ సథ లతో కలు పు తుననాం .
तुम और माँ ग सकते हो ?	బహుశా మరి ంత అడ గ ాల ే మో ?
तुमहें पह ने हुए नहीं .	నినను కాదు , చూడ లేదు .
कु त ते माँ स खा ते हैं .	కు కక లు మా ం సం తి ంటా యి .
ओ वर सि यर ब ें जा मिन , ये हैं लूसी और टा इट स .	పర య వే కష కు డు బె ం జ మి న , ఈ మె లూ సీ , ఇ తను టె ట స .
पाँच साल के लिए ट रा य ल के त ौर पर र हें गे	వాల ట 4 కి చె ంది న ఐ దే ళల టర య లను చే ప టటి ంది ,
- मि . हा वर ड . - हैलो .	- మి . హా వర డ . - హలో .
हमारे तर ै मा सि क पर ो जे क शन रि लीज से पहले .	దా దా పు గా త రె మా సి క అ ంచ నా ల వి డు ద లకు ము ందే .
ब म के खत रे में तुमहें क पड ों की प डी है ?	బా ం బు లు పడు తు ంటే , దు సతు ల విషయం తెలియ ాలా ?
इसमें फ फ ूँ द लगी है .	పా డె పోయి న ది తె చచా ను .
मेरे ए ज ें ट को बस एक वह रो बो ट ही मिला .	నా ఏ జె ంట ని ఆ రో బో ట లలో ఒక దాని లో పడ ే శా రు .
मैं 1 1 साल की थी जब उनके साथ फि ली गई .	నాకు 1 1 ఏ ళలు , ఆమె తో కలిసి ఫి లీ కి వెళ లా .
तुमहारे कं धे में स डा हुआ दा ँ त फ ँ सा था .	నీ భు జ ంలో కు ళళ ి న మా నవ ద ంత ాలు ఉననాయి .
शुरू होने वाला है .	దా దా పు మొద ల వు తోంది .
तुम ग वर मि ंट के अ ध य कष से बात कर रहे हो .	నువవు మాటలా డే ది గ వర మి ంట పర ె సి డె ంట తో .
दरवा जा खु ला दिखा . चिंता हुई कि कोई बाहर न निकल गया हो .	తలు పు తె ర చి ఉండ డం చూశా ను . మీ లో ఒక రు బయటకు వచచా రని భయ పడ డా .
न म ू ना निय ं तर ण इ का ई	న మూ నా నియ ంత రణ యూ ని ట
मैं आप से बात कर रहा हूँ पूरी तरह रह ने ला य क म ॉ ड ल 9 6 , या नी जे क यू 1 1 6 4 से .	మీ తో ఇపపుడు పూరతి గా ని వా స యో గ య మెన మో డ ల 9 6 జే క యూ 1 1 6 4 లో నుండి మాటలాడు తుననాను .
और यहाँ पर है वॉल ट चार का तीन फु ट मो टा सी से का आ वर ण .	ఇపపుడు అకకడ ది వాల ట 4 కు మూ డు అడుగు ల మ ంద పా టి సీ సం కే సి ంగ .
सुना सु पर ड ु पर मार ट में त बा ही म चा ने वाला कोई भ ूत था .	ఆ సూ పర డ ూ పర మార ట ని ఇ బబంది పె టటి న ది జీ వ పి శా చని వి ననాను .
हाँ , पर रॉ ब - को ने सट ू डियो ख री द लिया .	నిజ మే , సట ూ డి యో ను రా బ - కో కొ నే సింది .
रू ज वे लट को कि ता ब पढ कर सुना रही है .	రూ జ వె ల ట కి " పర య రీ లో ఇ లలు " చ దు వు తోంది .
नहीं ! तुम पागल हो !	లేదు ! మీకు పిచచి !
सिरफ वै ज ञ ा नि कों की ली डर शि प वाले स मु दा य में र हें गे .	పూరతి గా శా స తర వే తత ల చే నిర వ హి ంచ బ డే సం ఘ ం ఇది న డు పు తుంది .
मैंने कभी कोई वि ज ञ ा प न नहीं किया है .	నేను గ తం లో ఎ నన డ ూ పర క ట నలు చేయ లేదు .
पता है तुमने कहा था चल ते रहना है ,	మీరు వెళ తా మని చెపపా వని నాకు తెలుసు ,
हम अ मी र हैं . वहाँ घर ख री द सकते हैं .	మనకు డబబు ంది . వాల ట లో డబబు కొ న గల ం .
ट ॉल हैं ड म ड ले क घ ो ड ों से बात करता था .	ట ాల హా ండ మ డ లేక గుర రాల తో మాటలాడ గల డు
मैं आपको मेरी न ई फि ल म के बारे में बता ने नहीं आया .	కానీ నా కొతత సి ని మా పె మాటలాడ టానికి ఇ వాళ నేను రాల ేదు .
जब आप अपने परि य लोगों से मिल कर घर लौट रहे होंगे .	ఇకకడ మీ 2 00 మంది పొ రుగు వారి లో ఎవరి నె నా ప ల కరి ంచ గల రు .
मैं एक यो द धा हूँ ,	నేను సె ని కు డిని ,
आपका दिन शु भ हो .	మంచి రోజు గ డ ప ండి .
और घर आती हूँ तो	నేను ఇంటికి వచచా క
तुम लोग पागल हो !	మీ అంద రికీ పిచచి !
नहीं , तुमने सही कहा था . जरा देखो .	కాదు , నీ మాట ే నిజం . ఇ దంతా చూడు .
तुमहारी बे कर स फी लड के खे त वाली बकवास सुन ती हूँ .	బ ే కర స ఫీ ల డ లో ని గ డ డి బీ డు లో ఉండ డం పె నాతో మాటలాడ తా వు .
हमारे घर पर है .	అది మన ఇంటి లోనే .
तुमने एक श रत तो पूरी कर दी है .	కానీ మీ రి దద రూ స గం దూ రం వచ చేశారు .
- वही तो . - ह ॉ ली व ु ड के कम यु नि सट .	- అవును . - చెతత హ ాల ీ వు డ రె డ లు .
तुम ठीक नहीं हो .	నువవు బా గో లేవు .
कुछ लोगों को होता है , मुझे नहीं .	అంటే , అది కొ ంద రి కే , నాకు కాదు .
नए परा यो ज क न ू का - को ला के वि ज ञ ा प न के बाद जा नि ए .	మా కొతత స పా న సర న ూ కా కో లా తో మాటలా డా క ఇ వీ వి వర ాలు .
तुम तो वॉल ट वाली हो . समझ ती हो .	నువవు వాల ట ను ంచే గా . అరథం చేసుకో .
ये लोग पागल हैं .	ఈ జ నా లకు పిచచి .
पर हमारा परिवार और 8 0 अन य लोग यहीं वॉल ट चार में	కానీ మా కుటుం బం ఇంకా 8 0 మంది వాల ంట ీ ర ల బ ృ ంద ం ,
मैं वे सट - टे क में दस साल काम करने के बाद क यू 3 में वॉल ट - टे क आया .	నేను వె సట - టె క లో 1 0 ఏ ళల పని తరవాత క యూ 3 లో వాల ట - టె కకి వచచా ను .
और मु र ग ियाँ पा ल ने में मदद करना .	కో ళల పె ం ప క ంలో నాకు సా య పడ తా వు .
इससे हमें वॉल ट में घर मिले गा .	అది వాల ట లలో చో టు ఖ ా యం చే సతుంది .
यार . तुम किसी प ं थ के लग ते हो .	ఊ రు కో , బా బ ూ . ఏదో కల ట లా చెపపా వు .
थोडा आ राम मिले तो अचछा ही है .	కొంచెం స ౌ కర యం పొ ంద డం తపపు కాదు .
{ \ an8 } 2 1 4 2 शे डी सै ंड स की स था प ना	{ \ an8 } 2 1 4 2 ష ే డీ శా ండ స సథా పి తం
दोसत , मुझे बस एक सवाल पूछ ना है .	నీకు ఓ పర శ న ఉంది , పా త మి తర మా .
{ \ an8 } तो दुनिया को आप जैसे लोगों की जरूरत होगी	{ \ an8 } పరపంచ కోసం మంచి రోజు లను నిర మి ంచ డానికి
कू पर हा वर ड की न ई फि ल म . . . आदमी और उसका कु त ता	కూ పర హా వర డ న టి ంచిన . . . ఏ మయా న అ ండ హి స డా గ
नहीं , नहीं है .	లేదు , అలా కాదు .
उनकी मी टि ंग व ग ै रह होती है . बर बाद माम ला है .	వాళ లకు సమా వే శ ాలు , పరతి దీ ఉననాయి . ఇది చెతత ష ో .
पया रा कु त ता है .	అది మంచి కు కక .
क ने कट हो रहा है	క నె క ట అవు తోంది
उ त तर में ल डा ई में हमने लोगों को मर ते देखा , यह बकवास है .	పర జ లు కలిసి చని పో వడం , ఉ తత రా న , ఆ సో ది అంత టి తో పో రా డ డం చూశా ం .
तुमहारा चार ली व हा इट ना इ फ भी .	నీ నే స తం చా ర లీ వె ట నె ఫ ను కూడా .
कौन . . . निय म कौन बना ता है ?	ఎవరు . . . ఈ ని బం ధన లు పె డ తారు ?
तुमने फ यू जन को र ढूँढ ही लिया .	నీకు మా ఫ యూ జ న కోర క న బడి ంది .
तुम जानते हो कि से पक ड ला ए हो ?	ఎవరి ని తె చచా రో మీకు తెలుసా ?
शे रि फ टर ॉ य की बंद ूक छ ी न लो .	ష ె రి ఫ ట రా య తు పా కులు తీ సే సుకో .
- कया ? - माफ करना . पयार करें ?	- ఏంటి ? - మన ని ంచు . శ ృ ంగా రం ?
- ठीक है . ग ै री , काम खतम हुआ न ? - जी , सर .	- అలాగే . గే రీ , నా ది అయి పోయింది గా ? - హా , సర .
नहीं , आप यहाँ जो कर रहे हैं , अचछा ही है .	లేదు , మీరు ఇకకడ చే సతునన పని మంచి ద నే అంటా ను .
सा रा श हर एक पल में बर बाद हो गया . वह . . .	త కష ణ మే మొతత ం న గర మ ంతా నా శ నం అయి ంది . అది . . .
कयोंकि इस चीज के बारे में पहली बार सुना .	ఎందుకంటే దీని గురించి మొదటి సారి గా వి ంటుననా .
यह एक वॉल ट है .	వాల ట లో ఉననా ం .
भ वि ष य के लिए .	భ విష యత తు కోసం .
भ वि ष य के लिए .	భ విష యత తు కోసం .
कै सी अजीब बात ?	ఏ వి ంత విషయం ?
पहले सोचा था .	అలా చేసే దానని .
- कौन बोल रहा है ? - हे न री .	- మీరు ఎవరు ? - నేను హె న రీ ని .
वॉल ट में कु त ते नहीं ला सकते .	అదే , వాల ట లలో కు కక లు ఉండ వు .
मैंने किसी ग री ब , बे चा रे , ग ै ंग से जु डे अ ंग ों के ध ं धे को त बा ह किया .	ఎందుకంటే ఓ పా ద , ర కష ణ లేని , ము ఠ ా తో సంబం ధం గల అ వయ వ వయా పా రం పా డు చేశా నని .
तो यही सवाल बच ता है कि कया तुम का यर हो ?	సరే , అయితే నా ఏ కె క పర శ న ఏంట ంటే , మరి నువవు ?
र च ना त म क पर य वे कष क अ शो क ब कष ी	కరి యే టి వ సూ పర వె జర శి రీ ష దర భా
- ज वाला मु ख ी , हमें याद है . - ज वाला मु ख ी , हमें याद है .	- మ ంట ల రా ణి , మాకు గుర తుంది . - మ ంట ల రా ణి , మాకు గుర తుంది .
तुम भी कभी मी टि ंग में आओ .	నువవు ఓ సమా వే శా నికి రా వాలి .
पर अब नहीं . अब नहीं रह ते .	సరే , ఇక పె ఉండ రు . ఆయన ఉండ రు .
कौन कह ता है ?	ఎవరు చెపపా రు ?
टा इट स , यह सुरकष ित जगह है	టె ట స , ఇది సు ర కషి త మెన చో టు ,
मतलब , उसकी आँख बीच में थी .	అంటే , అతని ది మధయ లో ఉంది .
जरा बा ई ं ओर .	కొంచెం ఎడ మ కు .
कू प , मुझे इसकी जरूरत है .	నాకు ఈ ఉద యో గం కావాలి , కూ ప .
जरा देखो तो .	నినను చూ సుకో .
तो लोगों का हम से भरो सा उ ठ जाएगा और फिर कया होगा ?	మే మి కకడ చేసే దాని పె జ నా లకు నమమ కం పో వచచు , మ రే ం చేయాలి ?
बन ही जाएगा .	నువవు ఉంటా వు .
वैसे भी आज कल ने त ृ त व की बात करें तो ,	సరే , ఈ రోజు లలో నా య క త వం విష యా నికి వ సతే ,
इसे बाहर ले जाकर कु त त ों को खिला दो .	వె ను కకు తీసు కె ళ లి కు కక లకు ఆ హా ర ంగా వె య .
जो मान व डी ए नए पर वि कि रण के अ सर के वि शे ष ज ञ हैं .	మా నవ డీ ఎ న ఏ పె రే డి యే షన పర భా వాల లో స పె ష లె జే షన చేశారు .
या शायद तुमहें अब भी उसकी त ला श है .	లేదా ఇంకా ఆమె కోసం వె తు కు తూ ఉననా వే మో .
मैंने नौ या दस लोगों को मा रा होगा .	నేను తొ మ మి ది , ప ది మంది ని చం పి ఉంటా ను .
