वाह .	వా వ .
हमारा इ रा दा उसे चो ट पहुँ चा ने का नहीं है . वह तो मैं घ ूँ सा मार कर ही कर सकती हूँ .	ఆ మనిషి ని గా య పర చ ాల నన ది మన ఉదదేశం కాదు . ఆ పని అయితే నేను నా పి డి కి లి తో నే చేయ గలను .
वह हमेशा बि न बचचे वाली को फोन करती है .	తను ఎపపుడూ పిలల లు క నని వారి కే చే సతుంది .
तुमहारे पास वह सब करने का समय होगा ? कयोंकि उस दिन काफी ह ं गा मा हो रहा होगा .	ఇ దంతా చేయ డానికి నీకు టె మ ఉ ంటు ందా ? ఎందుకంటే ఆ రోజు చాలా హ డా వు డి గా ఉండ బో తుంది .
वो यह . . . वो यह सवी कार नहीं कर पा या .	నేను . . . నేను దానిని త టటు కో లేక పోయా ను .
वा दा करो कि तुम उससे कभी नहीं मि लो गी .	అత డిని మళలీ కల వ నని నాకు పరమా ణం చేయి .
और नीचे वाले द राज में रख े वह प ॉ लि सी ?	ఆ డ రా అడుగు న ఉనన పాల సీ ల సంగ తి ఏంటి ?
नहीं , कोई बात नहीं . मैं ले आता हूँ .	లేదు , ఫర వాలేదు . నేను తీసుకు రా గలను .
हमने उस में काफी अचछे समय बि ता ए हैं .	మేము గ డి పి న కొనని మ ధ ు ర కష ణ ాలు అవి .
तो हमें काफी देर इंतजार करना होगा .	అలా అయితే మనం చాలా కాల ం వే చి ఉండాలి .
हाँ . कया मैं स वे ट बै ंड पह न कर आ ऊँ ?	సరే . నేను స వె ట బ యా ండ పెటటు కో వ ాలా ?
और तुमहारे डै ड ला पर वाह ड रा इ वर थे .	కానీ మీ నానన చాలా దు రు సు డ రె వ రు .
मैं इतनी बेवकूफ महसूस कर रही हूँ .	నేను ఒక పిచచి దానిని అనిపి సతోంది .
- कया उसके पे शा ब में पर ो टी न है ? - मैंने पे शा ब की जा ँच नहीं की है .	- తన మూ తరం లో పర ొ టీ న ఉందా ? - నేను ఇంకా తన మూ త రా నని పర ీ కషి ంచ లేదు .
- कया ? - " कभी पयार में मत पड ना . "	- ఏంటి ? - " పరే మ లో ఎపపుడూ పడ కు . "
मैं उन गो लि यों को फ री ज कर ूँगी .	ఈ చినన చెతత వాటి ని ఫ రీ జ చేసతాను .
तुम और मैं जे पी के पीछे जाएँगे .	నువవు , నేను జె పి ని అను సరి దదాం .
हाँ , मैं भूल गई थी कि तुमहें गो लिया ँ चला ना कितना पसंद है .	అవును , ఏదెనా ష ూ ట చేయడం అంటే నీకు ఎంత ఇష ట మో నేను మర చి పోయా ను .
मैं कोशिश कर रहा हूँ , थे रे सा .	నేను పరయతని సతుననాను , థ ె రె సా .
- हम अंदर आ सकते हैं ? - नहीं .	- మేము లోప లి కి రా వచచా ? - లేదు .
देखो , मैंने फोन किया कयोंकि तुमने गर ु प में जे पी के जन म दिन को लेकर जवाब नहीं दिया .	చూడు . నీకు ఎందుకు ఫోన చేశా న ంటే , జె పి పు టటి న రోజు గురించి గర ూ పు లో నువవు రి ప లె ఇవవ లేదు .
- अ ल वि दा . - कयों , बि बी ? बि बी !	- బె బె . - దే నికి , బీ బీ ? బీ బీ !
वैसे , ऐसी वि रा सत अ म ूल य हैं .	సరే , ఇ టు వ ంటి వార సత వం అ మూ ల యం .
हैलो . हैलो , मैं ग ै ब रि एल हूँ .	హాయ . హాయ , నా పేరు గా బ రి యే ల .
मैंने फो टो डि ली ट कर दी थी .	ఆ ఫో టో ని నేను డి లీ ట చేశా ను .
मैंने उनहें फोन किया . उ त सा ही खिला डी होने का ना ट क किया .	వాళల కి ఫోన చేశా ను . ఒక పిచచి ఔ త సా హి కు ర ాలి గా న టి ంచా ను .
उप - शी र ष क अनु वाद क : म ून क लि ता	తెలు గు అను వాద ం : స తీ శ కు మార
और मुझे सट ू डियो लौट ना है .	నేను నా సట ూ డి యో కి వెళల ాలి .
तुमहें पता है मुझे कया पसंद है . वह गलती कर दे गा . बुरा तो नहीं मान ो गे , जान ?	నేను ఏం తి ంటా నో నీకు తెలుసు . తను సరి గగా తే లే డు . నువవు ఏమీ అనుకో వు కదా , బు జ జీ ?
चलो डॉ न ल और जे पी को एक टी म में रख ें . जे पी को यह पसंद आए गा . लड के ब नाम लड किया ँ .	డో న ల ని జె పి జ టటు లో పె డ దాం . అబబా యి లతో అమమాయి లు ఢ ీ కొ టట డం అంటే జె పి కి ఇషటం .
र कत चा प थोडा कम हो गया है .	రక త పో టు కొ ద ది గా త గ గి ంది .
थोडा ? पर यह 1 2 0 से कम और 8 0 से जयादा होना चाहिए .	కొ ద ది గా నా ? కానీ అది 1 2 0 , 8 0 క ననా త కకువ ఉండాలి కదా .
शा ंत हो जाओ , शा ंत हो जाओ . दु र घट ना एँ घट जाती हैं .	శా ంత ంగా ఉ ండు , శా ంత ంగా ఉ ండు . పరమా ద ాలు జరుగు తు ంటా యి .
हम स पो र टी लोगों को नहीं .	మన లాంటి తా గు బో తు లకు కాదు .
उसे देखो . कमी ना कहीं का .	వాడిని చూడ ండి . చెతత వెధవ .
तो , अगर बात बाहर आई , तो हम उनकी गलत ियाँ छु पा ने के जु र म में जेल जाएँगे . . .	కాబటటి , ఈ విషయం బయటకు పొ కకి తే , నానన చేసిన చెతత కి మనం జె లు కు వెళ తా ం . . .
इसमें बस मु द रा मा य ने रख ती है . पक ड मा य ने रख ती है . सा ँ स मा य ने रख ती है .	ఇది అంతా ని ల బడ టం మీద నే ఆ ధా ర పడి ఉంటుంది . ఇంకా పటటు కో వడం . శ వా స తీసుకో వడం .
बी मा डे टा बे स - सा इन इन	పాల సీ ల డే టా బ ే స - సె న ఇ న
रा स ते में मत आओ , बै का .	దా రికి అడ డు రా కు , బె కా .
- माफ करना . हम . . . - मुझे पता है तुम कौन हो .	- కషమి ంచాలి . మేము . . . - మీరు ఎవరో నాకు తెలుసు .
जैसा कि गरेस अपने सप ं ज के क के बारे में कह ती है , " जब तक यह ढ ह नहीं जाता तब तक परि पू रण है . "	కానీ , తన స పా ం జ కే క గురించి గరేస ఏం చెబు తు ంద ంటే , " అది కూ లి పో యే వర కూ చ కక గా ఉంటుంది " అని .
हमारे पास दो हफ ते हैं . तुम वह निकाल स को गी ?	మన కి రెండు వార ాలు ఉంది . వాటి ని సం పా ది ంచ గల వా ?
मुझे यह वाली पसंद है .	నాకు ఇది చాలా న చచి ంది .
कया तुमहारे पास मे ल खा ने वाले रि सट बै ंड हैं ?	మరి , నీ దగగర మయా చి ంగ రి సట బ యా ండ లు ఉననా యా ?
जानती हूँ , जानती हूँ .	నాకు తెలుసు , తెలుసు .
यहाँ आओ . मुझे पता है .	ఇలా రా . నాకు తెలుసు .
हम उसे ऑ स कर के ब गल में द फ ना एँगे . ठीक है ?	మనం దీని ని ఆ స కర ప కక నే ప ూ డ చి పె డ దాం , సరేనా ?
9 3 7 मी ल 0 3 5 . 9 2 4 . 5	9 3 7 మె లస 0 3 5 . 9 2 4 . 5
सुनो , आज - कल कार ें काफी सुरकष ित होती हैं .	వి ను , కార లు ఈ మధయ కాల ంలో చాలా సు ర కషి త మెన వి .
कल कोशिश करना , मै मी .	రే పు పరయతని ంచు , మా మీ .
नहीं , मेरी आँख ों से भी तर ंग ें निकल ती हैं .	లేదు , నేను కూడా క ళల తో ని పపు లు చి మమ గలను .
कया हो रहा है , मै ट ?	ఏం జరుగు తోంది , మయా ట ?
तुमने ऐसा कयों किया ?	ఎందు కని ఇలా చేశా వు ?
और मेरे परिवार के माम ले में , कुछ भी . . .	నా కుటుం బా నికి , ఏ దీ అ ంగ ీ కా రం కాదు . . .
- शा ंत रहो . शा ंत रहो . - बस हाथ अपने ब गल में रख ने की कोशिश करो .	- శా ంత ంగా ఉ ండు , శా ంత ంగా ఉ ండు . - నీ చేయి నీ ప కక నే ఉ ంచు చ ాలు .
मुझे बस अपनी नि जी और काम का जी जिंदगी को अलग रख ना पसंद है .	నా వయకతి గ త జీవితం , వ ృ తతి జీవితం వే రు వే రు గా ఉ ంచడం నాకు ఇషటం .
जिस लड के को मैंने मा रा , वह बेवकूफ है .	నేను కొ టటి న ఆ అబబా యి తెలి వి త కకువ దద ద మమ .
यह आ सान नहीं होगा .	అది అంత తే లి క కాదు .
वै सा ही जैसा तुमने पिछ ले साल . . . र ै स बे री डाल कर बना या था ,	కింద టి ఏ డా ది నువవు రా స బె రీ స తో . . . చేసిన ది నాకు ఇషటం ,
- कया ? - यह कै र न है .	- ఏంటి ? - అతను క లా ర న .
वैसे , मैं अ भ या स नहीं कर पा ई हूँ , कयोंकि मैं इसे घर पर नहीं निकाल सकती .	సరే , నేను దీని ని ఇంటి బయట కి తీసుకు రాల ే ను కాబటటి ఇంత వర కూ సా ధన చేయ లేక పోయా ను .
हाँ , नो रा बच चों की देख भा ल कर ले गी . तो अ र सला आ स के गी .	అవును , పిలల ల ంద రి నీ నో రా చూ సుకో గల దు . ఖ ా ళ ీ చేసుకో ఉ ర సు లా .
पर तुमहें कैसे पता वे कै सी गो लिया ँ इस ते माल करते हैं ?	కానీ వాళలు ఎలా ంటి తూ ట ాలు ఉ ప యో గి సతా రో నీ కె లా తెలు సతుంది ?
अग ली बार मिल ेंगे .	మళలీ సారి కలు సతాను .
जै र लड को च ॉ क ले ट बेहद पसंद है , और तुम सबसे बेह तरी न च ॉ क ले ट के क बना ती हो .	జె రాల డ కి చా కొ లే ట అంటే ఇషటం , నువవు చా కొ లే ట కే కస చాలా బాగా చేసతా వు .
- कार रो को ! कार रो को ! - नहीं . छोड ो .	- కారు ఆ పు ! కారు ఆ పు ! - లేదు . వదిలే య .
- ए , ब ला न ड . कया कर रही हो ? - बस कुछ यो जना बना रही हूँ .	- హేయ , బ లా న డ . ఏం చేసతుననా వు ? - ఊ రి కే ఆలోచి సతుననాను .
मेरा घर पु रा व सत ु ओं से भ रा पु रा ना पा रि वा रिक घर है .	మా చ కక ని కుటుం బం ఇంటి లో చాలా పు రా తన వ సతు వు లు ఉననాయి .
नहीं . रुको , मै ट .	వదదు . ఉ ండు , మయా ట .
मैं बस . . . मैं बस इतनी थ क गई हूँ .	నేను కేవలం . . . చాలా అ ల సి పోయా ను .
वि त ती य नि दे शक अपने जन म दिन पर छु ट टी नहीं ले ता है .	ఒక ఫ ెనా న షి య ల డె రె క టర తన పు టటి న రోజు న సె ల వు తీసుకో డు .
तुमहें अचछा लगा ?	నీకు ఇది న చచి ందా ?
मुझे म हिला एँ पसंद नहीं हैं , इ वा .	నేను ఆడ వాళల తో సం భ ో గం చేయ లేను , ఈ వా .
तुमहें मुझे इ शा रा करना चाहिए था .	నాకు ఏదెనా సం కే త మో ఏదో ఇవ వాల సింది .
अ र सला कह ती है कि का श बे न ने उसे उसके बेह तरी न रूप में देखा होता .	తన స రెన య వ వ నం లో బె న గ నుక త నని కలిసి ఉంటే బాగు ండ ే దని ఉ ర సు లా అ ంట ో ంది .
ग ना श . जै र लड को ग ना श बेहद पसंद है .	గ నా ష . జె రాల డ కి గ నా ష అంటే ఇషటం .
तो , टी म ए में जे पी , डॉ न ल , अ र सला और गरेस होंगे .	కాబటటి , ఏ జ టటు లో జె పి , డో న ల , ఉ ర సు లా , గరేస ఉంటా రు .
खैर , हम सब इंसान ही हैं , है न ?	ఏ ది ఏమెనా , మన మ ంతా మను ష ు ల మే , కదా ?
मुझे यह खा ते जलदी नि प टा ने हैं .	నేను లే చి ఈ అ క ౌ ంట స సంగ తి చూడ ాలి .
कयोंकि यह एक लि फा फ े के पीछे 2 2 बार लि खा हुआ था .	ఎందుకంటే అది ఎ న వల ప వె నుక 2 2 సా రలు రా సి ఉంది .
री टा - सट ै न ली - ए लि जा बे थ - रॉ जर - अ नी टा - ए मिली	రీ టా - సటా న లీ - ఎ లి జ బె త రో జర - అని తా - ఎ మి లీ
- मैं कया कह रही थी ? - ज ॉन प ॉल .	- నేను ఏం చెబు తుననాను ? - జా న పాల .
जानते हो मुझे यह कैसे पता है ?	నాకు ఆ విషయం ఎలా తెలు సో తెలుసా ?
मैं तुमहारा पो ल इस ते माल कर ूँगी .	నేను నీ స తం భా నని ఉ ప యో గి సతాను .
हि लो मत . शा ंत रह ने की कोशिश करो , दोसत . शा बा श . बस ले टे रहो .	క దల దదు . అలాగే ఉ ండు , మి తర మా . అంతే . ఇలా గే వె లల కి లా పడు కు ని ఉ ండు .
कया कला फि न भाई वापस लौट ेंगे ?	ఆ ఆ క తా యి కు ర రా ళలు మళలీ వ సతా రా ?
माफ करना , डै ड .	మన ని ంచు , త ండ రీ .
ना वि क का वा दा .	నా వి కు డి ర హ స యం .
मेरा मतलब , मुझे सुरकष ा का पूरा खया ल है , समझ ी ?	నా ఉదదేశం , నేను కష ే మ ంగా న డు పు తాను , తెలుసా ?
- नहीं , धनयवाद . - नहीं , जयादा जलदी हो गया ? अपने क दम गि नो .	- లేదు , ధనయవాదాలు . - లేదు , ఇంత పొ దదు న నే ? అడుగు లు లె కక పెటటు కో .
- कार रो को ! - नहीं , रुको ! रुको !	- కారు ఆ పు ! - లేదు , ఆ పు ! ఆగు !
मुझे लगा था मैं ना च सक ूँगी .	నేను డా నస చేయ గలను అను కుననాను .
तुम हरा काम है गोली खा ए बिना बा धा को रस के	అడ డం కు ల దా రి లో ఒక వెపు నుండి మర ొక వెపు వర కూ
और मैंने कहा , " जब वह चि ल ला कर रु क ने को कह रही थी , तो तुमहें रु क जाना चाहिए था . "	అపపుడు నేను చెపపా ను , " ఆమె నీ మీద అ రి చి ంద ీ అంటే , అది నీకు పరమా ద సం కే తంగా భా వి ంచు " అని .
मैं मै ट हूँ और यह थ ॉ मस है .	నా పేరు మయా ట ఇంకా ఇ తను థా మస .
- ब ला . मुझे माफ कर दो . - नहीं !	- బ లా . ననను మన ని ంచు . - లేదు !
भगवान , रु बे न !	దేవుడా , రూ బె న !
कोई बात नहीं .	మ రే ం ఫర వాలేదు .
हम यह स का रात म क पे र ें टि ंग को रस कर रहे हैं .	మనం పా జి టి వ పే రె ంటి ంగ కోర సు చేసతుననా ం .
- नो रा से पूछ लो . - तुमने नो रा को बता दिया ?	- నో రా ని అడ గ ండి . - నువవు నో రా కి చెపపా వా ?
मैं गलती कर रही हूँ , इ वा .	నేను వె ను కం జ లో ఉననాను , ఈ వా .
- कया हुआ ? - ची खो मत , मै मी .	- ఏం జరిగింది ? - అర వ కు , మా మీ .
और मेरे साथ बच चों सा बर ता व करने के ब जा य , अगर तुमने मुझे बताया होता ,	ననను ఒక పిలల వాడి లా చూడ టానికి బ దు లు ఈ విషయం అ పపుడే నాతో చె బి తే ,
" टॉ म , मुझे खे द है कि मैं ऐसे जा रहा हूँ .	" టా మ , ఇలా వది లి వెళ తునన ందుకు కషమించు .
ठीक है . चलो इस पर बाद में बात करेंगे .	సరే . కానీ , ఇ పపటి కి మనం దీని తో వదిలే దదాం .
मैं पयार में नहीं हूँ , समझ े ? मुझे कभी पयार नहीं होगा .	నేను పడ లేదు , సరేనా ? ఆ తలు పు ఎపపుడ ో మూ సు కు పోయింది .
हम काफी समय ले चु के हैं .	మనం ఎకకువ సమయం తీసు కుననా ం .
- मैं बडी हूँ . जयादा शक ति शा ली हूँ . - में ढ क को कैसे ड ु बो ते हैं ?	- నేను పెదద దానని . నీ క ననా బ ల వం తు ర ాలి ని . - క పప ని ఎవరెనా ఎలా ము ంచ గల రు ?
कोई भी बहन स पो र टी नहीं है .	ఆట లా డే వాళలు ఎవ వర ూ లే రు .
शायद एक आँख वाली माँ हो .	బహుశా ఒక క నను లేని తల లి వి .
तुम रा नी हो .	నువవు రా ణి వి .
नहीं , नहीं , नहीं , नहीं , नहीं , नहीं . भगवान . नहीं . समस या मुझ में है .	లేదు , లేదు , లేదు , లేదు , లేదు , లేదు . దేవుడా . లేదు . తపపు నా దే .
भा गो . तुम छु प नहीं सकती .	పరి గె తతు . నువవు దా క కో లేవు .
कयोंकि वे हमेशा किसी न किसी चीज को लेकर चि ल ला ती रह ती हैं . "	ఎందుకంటే వాళలు ఏదో విషయం గురించి ఎపపుడూ అ రు సతు నే ఉంటా రు " అననా డు .
अरे , हाँ . हाँ . उसने कहा , " तुमहें पता है वह कै सी है .	అవును . అవును . తను అననా డు , " ఆమె ఎలా ంటి దో తెలుసా .
क सम से , मुझे पता नहीं था वह कौन है .	అతను ఎవరో నాకు తెలియదు , పరమా ణ పూర వ కంగా .
