पै निक	పా నిక
कयोंकि मैंने पै निक खे ला .	అందుకే నేను పా నిక ఆ డా ను .
उसने हमारा धयान पिछ ले साल के खेल पर लगा या , पता नहीं और कया छु पा ता रहा .	మన లని గ త ఏ డా ది ఆట మీద ద ృష టి పెటట ే లా చేశా డు , ఇం కే ం దా సతుననా డో తెలియదు .
डे ना ने कहा कि रे और डॉज ने को र टे ज को रो क ने का प ला न बना या था .	రే , డా డజ లు కోర టె జ ను ఆ పే ందుకు ఏదో ఆలోచి సతుననా రని డే నా చెపపి ంది .
डॉज ने कहा कि वह आज रात रे से मिल कर बात करे गा कि कया करना है .	డా డజ ఈ రాతరి విషయ ాలను కను గొ నే ందుకు రే ను కల వ బో తునన టటు చెపపా డు .
तुमने हमें जो सब ूत दिया , उससे मेरे परिवार को थोडी शा ं ति मिली .	నువవు మాకు ఇ చచి న సా కష య ాల తో మా కుటుం బా నికి పర శా ంత త దొ రికి ంది .
लू क ने मुझे इस सब से दूर र खा . बो ला कि वह इतना ही कर सकता था .	లూ క తన వయా పా రా నికి ననను ద ూర ంగా ఉ ంచా డు . తను అదే చేయ గల న ననా డు .
- तुम सू र मा हो , हेदर . पता है ? - मैं बस लि ली के लिए कर रही थी .	- నువవు హ ీ రో వి , హే థర . నీ క ది తెలుసా ? - నే న ది లి ల లీ కోసం చేశా ను .
- को र टे ज को बताया कि हम कहाँ जा रहे थे ? - बेवकूफ हूँ कया ?	- కోర టె జ కు మనం వెళళ ే చో టు చెపపా వా ? - నేను అంత పి చచ ో డి నా ?
अगर को र टे ज जैसे लोग ऐसे भ यान क काम करके बच सकते हैं ,	కోర టె జ లాంటి వాళళు దారు ణ మెన ప ను లు చేసి తపప ి ంచు కు ంటే ,
अलग हो जाते हैं . एक समय पर दो नो को पक ड नहीं पा एँगे .	మనం వి డి పో దాం . వాళళు మని దద రి నీ ఒక ే సారి పటటు కో లే రు .
- वह कया . . . - मर चुका है . हमें यहाँ से निकल ना होगा .	- అతను . . . - చని పోయా డు . మనం ఇ కకడి నుండి వెళళి పో వాలి .
मैं होती तो न ले ती . कहानी में शायद तुमहें मार डा ले .	నేను నీ లా ఉంటే కా ను . తన నవ లలో నినను చం పే సి ఉండే ది .
तुम और तुमहारी बहन लि ली कब से इस घर में रह रहे हो ?	ఈ ఇంట లో నువ వ ూ , మీ చె లలి ఎంత కాల ం నుండి ఉ ంటుననా రు ?
- डॉज गाडी में नहीं था ! - हे भगवान , वह डॉज है कया ?	- డా డజ ఆ కారు లో లే డు ! - అయ యో దేవుడా , అతను డా డజ యే నా ?
- पर यह सोच ने दे सकता हूँ कि वह जी ते गा . - पर . . .	- కానీ అతను గె లు సతా డని అనుకో ని సతాను . - కానీ . . .
- मुझे माफ कर दी जिए , ऐ न . - तुम पै निक खेल रही हो ?	- ననను కషమి ంచండి . ఆన . - నువవు పా నిక ఆ డు తుననా వా ?
बो ला कि वह जिस मु सी ब त में है , उससे निका ले गा .	తను ఇ రు కకు నన సమసయ నుండి అతను బయట పడ ే సతా న ననా డు .
वर ना दूसरे जज को लगता मैं तुमहें जि ता रही थी .	మ రో నయాయ నిరణ ే త నినను గె లి పి సతుననా నను కుంటా రు .
अगर मैंने यहाँ से निकल ने के लिए पै निक खे ला ?	నే ని కకడ నుండి వెళళి పో యే ందుకు పా నిక ఆ డి ఉంటే ?
डॉज आ गया . वह शु रु आत के फा ट क पर आकर रु का है .	డా డజ వచ చేశా డు . అతను పరా రం భ గే టు దగగర ఆ పా డు .
उसके खिला फ जाने के लिए तुमहारी गाडी चाहिए .	అతనికి ఎదు రు గా వెళళ ే ందుకు , నీ టర క కావాలి .
आज रात सभी दर श कों को जलदी से याद दि ला द ें ,	ఈ రాతరి చూ సతునన అంద రికీ ఒకటి గురతు చేయాలి ,
- रे को पता है ? - उसकी गाडी अभी भी यहीं है .	- రే కు తెలుసా ? - అతని టర క ఇంకా ఇకకడ ే ఉంది .
सिरफ तुमहारे परिवार के साथ गलत नहीं हुआ .	ఈ ఊ రి లో విష ా ద ం నీ కుటుం బం ఒకక రి కే కాదు .
को र टे ज ने कहा हतया के लिए फ ँ स सकता है .	తను హ తయ కు అ రె సట కా గల డని కోర టె జ చెపపా డు .
मुझे हमेशा लगा कि हर बात की वजह पता थी .	నేను అన నీ తెలుసు కో గల నని అను కునే దానిని .
खुश कि सम ती से , वह कहीं भी मिल जाता है .	అద ృష ట వ శా తతు , అది ఎకకడ ెనా కను గొ న వచచు .
कोई नहीं जानता कि पै निक किस ने बना या .	పా నిక ఎవరు కను గొ ననా రో ఎవ రికీ తెలియదు .
बात यह है कि दो दिन बाद जा रहा हूँ .	ఎందుకంటే నేను రెండు రోజు లలో వెళ తాను .
वह अपनी खुद की पर छा ई से बच सकती है .	తన నీ డ నుండి తపప ి ంచుకో వచచ ని అను కు ంది .
जिन के जवाब में मुझे झूठ कहना पडे गा .	వాటి కి నేను అబ దధ పు జ వా బు లు ఇవ వాలి .
हाँ , दूर किसी श हर को लेकर एक का ल प निक उप नया स जहाँ कुछ कि शो र गर मि यों में	అవును , పూరతి గా కాల పని క న వల , అందు లో ఎవరూ లేని చో ట కొ ంద రు యు వ తీ యు వ కులు
शायद मेरे पास कोई और चा रा भी नहीं .	నాకు మ రో దా రి ఉ ందని నేను అనుకో ను .
तुमहारी बहन को लेकर अफ सो स है , पर मेरे भाई ने उस पर गाडी नहीं च ढ ा ई .	మీ సోద రికి జరిగి న దానికి బాధ గా ఉంది , కానీ తన ను గు ద ది ంది మా అనన కాదు .
हेदर भा ला मु का ब ले पर है . आओ चल ें .	హే థర జ ౌ సట దగగర ఉంది . వెళ దాం పద ండి .
र च ना त म क पर य वे कष क र वी न दर श ं कर शु कल	కరి యే టి వ సూ పర వె జర రా జే శ వర రా వు వల వల
ला इ ब रे री की त सवी र ें याद से लेना .	లె బర రీ లో ఫో టో లు తీ య డం గురతు ంచుకో .
दे वि यो और स ज जन ो , लड को और लड कि यो , फा इन ल परति यो गि ता में सवागत है !	సో దర సోద రీ మ ణ ు లా రా , అమమాయి లు మరియు అబబా యి లు , చి వరి స వ ాలు కు సవా గ తం !
डि क की में मरी हुई लडकी मिली थी .	డి కక ీ లో ఒక మ మా యి శ వం కనిపి ంచింది .
तुम को र टे ज को जी तने नहीं दो गे न ?	నువవు కోర టె జ ను గె లవ నివ వ వు , కదా ?
- तो , उसे जी तने द ें ? - नहीं , हेदर , हमें उसे जी तने देना होगा .	- అయితే , మనం అత నని గె లవ నివ వ ాలా ? - లేదు , హే థర , గె లవ నివ వాల సి ందే .
मुझे जि मी के अ ला वा और कोई नाम	జి మ మీ కా కుండా ఆ చ ీ టీ లు ఇం కె వ రు
हम दोनों यह मान ेंगे कि इस गर मी के मौ सम में काफी तक ली फ रही .	ఈ వే స వి ఇకకడ చాలా సమసయ లు ఉననా య ని నువవు , నేను ఒ పపు కో వాల సి ందే .
पर तुमहारी बहन लि ली अभी छो टी है , और बचचे ना जु क होते हैं .	కానీ నీ చె ల లె లు , లి ల లీ , తను చినన పిలల , చినన పిలల లు బ ల హ ీ ను లు .
तुमहें लगता है किसी को अपने भाई की खो प डी फो ड कर जाने द ूँगा ?	మా అనన తల ప గల గొ టటి న వాళళ ను ఊ రి కే వదిలే సతా నని అను కుననా వా ?
अचछा . मतलब अपनी श रत ें जी तने के लिए को र टे ज कुछ भी करे गा .	సరే . అంటే కోర టె జ తన ప ందే లు గె లి చే ందుకు ఏమెనా చేసతా డ నన మాట .
- सिरफ 3 0 , 00 0 कि मी च ली है . - जरूर . जरा देख कर बता ती हूँ .	- అది 2 0 , 00 0 మె ళళు మాతరమే తిరిగి ంది . - తపప కుండా . చెప తాను .
अरे , इस क श ती पर सिरफ तुमहारे परिवार के साथ गलत नहीं हुआ .	ఛ , విష ా ద ం జరిగి న కుటుం బం ఈ పడ వ లో కూడా నీ ఒ కకడి దే కాదు .
हैलो . जी त कर अचछी लग रही हो .	హే , గె లి చి న నీ రూ పం బాగుంది .
रे , तुमहारी गाडी में ब म है .	రే , బా ం బు నీ టర కకు లో ఉంది .
तुम लोगों की बहुत याद आए गी .	నాకు మీరు చాలా గుర తొ సతారు .
और ढ े र सारे सवाल पूछ ेंगे कि शे र बाहर कैसे निकल गया ,	పు లి ఎలా తపప ి ంచు కు ందో అని ననను చాలా పర శ నలు ఆడ గ టానికి .
फोन , पलीज . एक तुमहारे लिए . त सवी र ें या वी डियो नहीं .	ఫోన లు ఇ చ చేయ ండి . నీకు ఒకటి . ఫో టో లు , వీ డి యో లు తీ య క ండి .
चिंता करने का कया फा य दा ?	ప టటి ంచుకో వడం లో అరథం ఏంటి ?
खेल को मा त देने के लिए आप खुद चु नौ टी त य करते हैं .	ఆట ను ఓ డి ంచ టానికి , మీ స వాళళ ను మీరు ఏ ర పర చు కో వాలి .
तुमहें खो ज ते हुए जब मैं	నేను లూ క పడ వ లో ఉనన పపుడు ,
उनहोंने तुमहें दिया था ?	నీకు ఇది ఇ చచి ంది అత నే నా ?
हर जवाब के दस क दम , हाँ ?	ఒక కో జ వా బు కు ప ది అడ గు లా ?
किसी लडकी के साथ तुमहें लगता है कि उ ड रहे हो .	కొనని అంద మెన వి మీరు తే లి పో తునన భా వ న కలి గి సతా యి .
- तुमने लि ली को पै निक के बारे में बताया ? - नहीं .	- లి ల లీ కి పా నిక గురించి నువవు చెపపా వా ? - లేదు .
को र टे ज झूठ बोल रहा था .	కోర టె జ అబ దధ మా డు తుననా డు .
हाँ , हम बदल चु के होंगे . पर तब भी हम ही होंगे .	అవును , మనం వే రు గా ఉంటా ం . కానీ ఒకటి గా ఉంటా ం .
माफ कीजिए . बार बंद है .	కషమి ంచాలి . మూ సి వే శా ం .
वह कया कहना चाहता है ?	ఏం చెపప ాలను కుంటుననా డు ?
चलो , नै ट . तुम कहाँ हो ?	అబబా , నా ట . ఎ కక డు ననా వ ?
उसके बाद ब म फ ट जाएगा .	పా పం 2 0 నిమిష ాల ే ఉంది .
आज रात की चु नौ ती में वि जे ता को सब मिले गा .	ఈ రాతరి స వ ాలు ఏంట ంటే వి జే త అంతా తీసు కుంటా డు .
मैं मे ल नी को र टे ज हूँ .	నేను మె లని కోర టె జ ను .
मैं तुमहें जानती हूँ .	మీ రె వర ో నాకు తెలుసు .
उस ी ने बंद ूक बद ली थी .	తు పా కీ మార చి ంది త నే .
हे भगवान . मैं जी त गई ?	అబబా . నేను గె లి చా నా ?
मु का ब ला करने का अधि कार खो देने के चल ते ,	రా కుండా పో టీ పడ ే హ కకు ను కో ల పోయి న ందుకు గా ను ,
अगर कभी प श चि म की तरफ आए , तो मेरा नंबर है .	ఎపపుడ ెనా ఇకకడికి వ సతే , నా నం బ రు ఉంది గా .
उसके लिए जी तना जरू री है . मैंने कुछ सोचा है ताकि वह न जी ते .	అతను గె ల వాల ను కుంటుననా డు . అతను గె లవ కుండా ఉండే ందుకు నా దో ఆలోచ న .
हमें पता लगा ना होगा .	సరే , మనం కను గొ నా లి .
- हैलो . . . - यहाँ आओ .	- నేను . . . - ఇలా రా .
रुको . कल भा ला मु का ब ला है . तुम कया करो गे ?	ఆగు . రే పే జ ౌ సట . నువవు ఏం చేయ బో తుననావు ?
- हैलो , ऐ श ली ! - हैलो .	- హే , అది గో ఆమె ! - హే .
अग ले साल के लिए किसी को नहीं चु नो गी न ?	నువవు వచచే ఏ డా ది కి ఎవరి నీ ఎ ంచుకో వు , కదా ?
तो यह मेरी वय क ति गत चु नौ ती को लेकर था .	అయితే ఇది నా వయకతి గ త స వ ాలు గురి ంచ నన మాట .
- डॉज , यह . . . बहुत अचछी बात है . - हाँ .	- డా డజ , అది . . . అది అదభు త మెన ది . - అవును .
कि जी त उस ी की होगी .	అలా నే అనిపి సతుంది .
जैसा डॉ क टर ने बताया , बडा हि म मत वाला है .	డా క టర చెపపి న టటు గా , తను అస లెన యో ధ ు డు .
पता है किस बात का सबसे जयादा डर है ?	నాకు చాలా భ యం కలి గి ంచే ది ఏంట ో తెలుసా ?
" जाएँगे कि तुमने बचचे को मार डा ला . "	" నీ పా పా యి ని చం పా వని తెలు సతుంది . "
नै ट ली ने मुझे पुलिस की रि पो रट दिखा ई .	నా ట లీ పోలీసు ని వే ది కలు చూపి ంచింది .
ऐ न को पता नहीं था कितना समय लगे गा .	ఆన కు తను ఎ ననా ళళ కు వెళ ు తు ందో తెలియదు .
कयों ? मु का ब ले में उससे जा ट करा ओ गे ?	ఎందుకు ? జ ౌ సట లో అతని మీద కు న డు పు తా వా ?
हम बदल चु के होंगे .	మనం వే రు గా ఉంటా ం .
इस समय वह मु का ब ले की ओर जा रहा होगा .	పర సతు తం , అతను జ ౌ సట కు వెళళ ు తు ంటా డు .
पर वह अपनी पर छा ई से बच नहीं सकती थी .	కానీ తన నీ డ ను తపప ి ంచుకో లేక పోయింది .
हेदर के बारे में कया जान ना चाहते हो ?	మీరు హే థర గురించి ఏం తెలుసు కో వాలి ?
पर उस ी द ौ रा न गाडी की चो री के लिए , लू क पक डा गया था .	సు మా రు అదే సమయం లో , లూ క ఒక కారు దొ ం గి లి సతూ పటటు బడ డా డు .
और उसे पता चल गया था कि उसके पिता	వాళళ నానన ఆ బీ ని ఆట నుండి తపపు కో వాలని
किसी लडकी का चे हरा पया रा होता है .	కొనని అంద మెన వి చూడ టానికి బాగు ంటా యి .
मुझे डर है कि तुमसे पयार हो रहा है .	నేను నీ పరే మ లో పడి పో తుననా నని భ యం .
इसलिए लडकी रु की और उससे नजर ें मिला ने के लिए मु डी .	చి వర కు ఆమె దానిని కలి సే ందుకు ఆ గి , వె ను కకు తిరిగి ంది .
अब नहीं खेल रही .	ఇక మీద ట ఆడ డం లేదు .
तो , तुम यहाँ माफ ी के लिए आई हो ?	అయితే , కష మా ప ణ ల కోసం వచచా ర ను కుంటా ?
आपको दु ख ी भी करे , उसके लिए कोई श बद होना चाहिए .	అది నినను సంతోష పె డు తుంది అలాగే బాధ పె డు తుంది కూడా .
मैं संभाल ल ूँगा .	నేను చూ సు కుంటా .
तुमहें लगता है खेल में हार कर उसे जी तने द ूँगा ?	నేను నా ఆట ను పా డు చేసు కు ని అతను గె లి చే లా చేయ ాలా ?
अचछा , दो स तो . आप सभी शो की उममीद लगा ए बैठ े थे ,	సరే . నాకు తెలుసు మీ ర ంద రూ పర దర శ న కోసం చూ సతుననారు ,
तो कुछ भी करने का कया फा य दा है ?	ఇంకా ఇవ ననీ చేయడం లో అరథం ఏంటి ?
शायद उसके पास कोई चा रा नहीं था .	బహుశా అతనికి మ రో దా రి లే దే మో .
टे कस स में दूर किसी जगह पर भी .	ఎవరు లేని చో టు , టె క సా స లో అయి నా .
तुमहें शुकरिया कहना चाहता था .	నీకు క ృ త జ ఞ తలు తెలు ప ాలను కుననాను .
मुझे आज पता चला कि को र टे ज श रत ें लगा रहा था .	కోర టె జ ప ందే లు కా సతునన టటు నాకు ఈ రో జే తెలి సింది .
- आज रात इसे खतम करने का मौ का है . - कया मतलब ?	- మన క ది ము గి ంచే ందుకు ఈ రాత రే అవకా శం . - అంటే ఏంటి ?
" कल सभी जान जाएँगे कि तुम रख ै ल हो . अगर तुमने न छो डा तो वे जान	" రే పు , నువవు వయ భి చా రి వని అంద రికీ తెలు సతుంది . తొ ల గ పో కపోతే ,
- मैंने कुछ छा न बी न की . - अचछा .	- నేను కొ ంత పరి శ ో ధి ంచా ను . - సరే .
वह सा रा इ ल जा म लू क पर लगा ए गा .	ని ంద లూ క పె వే య ాలని అను కుననా డు .
यह एक सं देश है .	ఇది ఒక స ందే శం .
कया मतलब , " जी त सकती हूँ " ? उनहोंने तुमहें वह चि ट ठ ी कब दी ?	" ననను గె లి పి ంచడం " అంటే ఏంటి ? అతను నీకు ఆ చ ీ టీ ఎ పపుడు ఇ చచా డు ?
अचछा होगा अगर तै या री न रख ूँ .	పర ణ ా ళ ి క లే కపో వడం బాగు ంటు ందే మో .
शुकरिया , पर कोई तक ली फ नहीं .	ధనయవాదాలు , కానీ ఏ సమ స యా లేదు .
वह को र टे ज को जी तने नहीं दे गा ,	తను కోర టె జ ను గె లవ నీ యన ననా డు ,
लि ली ! मुझे तुमसे बात करनी है .	లి ల లీ ! నేను నీ తో మాటలాడ ాలి .
- कुछ भी क हो , ठीक है ? - अचछा .	- ఏదో ఒకటి చెపపు , సరేనా ? - సరే .
कि आगे का कभी सोचा ही नहीं .	తరువాత ఏం చేయ ాలో ఆలోచి ంచ లేదు .
पकका आज रात नहीं चल ना चाहती ?	ఖచచితంగా నువ వీ రాతరి రా వా ?
ठीक है . क श ती वाले अ ड डे पर . रात 9 : 00 ब जे .	మంచిది . బో ట యా ర డ దగగర కు రాతరి 9 గంట లకు .
जो खू बस ू रत हो , पर जो खुश करने के साथ - साथ ,	అంద మెన ది అని చెపపే ందుకు ఒక పద ం ఉండాలి ,
वह डॉज पर श रत लगा रहा था ?	అతను డా డజ మీద ప ంద ెం కా శా డా ?
रात को एक साथ सो ने से पहले .	ఫ రెండ ఇంటికి వెళళి నపపుడు .
इस गर मी के मौ सम के बाद . . .	అంటే , ఈ వే స వి తరువాత . . .
जज - शे रि फ रि ली फ ए सो स िए शन दा न की स रा ह ना !	జ డజ - ష ె రీ ఫ రీ లీ ఫ వి రా ళ ానికి అభి న ంద న !
ट रे न वाले पु ल पर तुमहारा वह वी डियो देखा .	నేను రె లు వ ంత ె న పె న నీ వీ డి యో చూశా ను .
आ धे घं टे में को र टे ज मेरी गाडी लेकर मु का ब ले में जाएगा .	కోర టె జ అ రగ ంట లో నా కారు తీసు కె ళళ ి , జ ౌ సట కు వెళ తా డు .
- कया मतलब ? - लू क डॉज को मुझसे आगे कभी नहीं जाने दे गा .	- అంటే ఏంటి ? - డా డజ నా పె గె లి చే ందుకు లూ క స హాయ పడ డు .
जे सि का हो न ?	జె స సి కా , కదా ?
और फिर , अगर वही अ ंत हो तो ?	ఇంకా , అదే ము గి ంపు అయితే ?
- तुम उसे वह र कम जी तने दो गे ? - नहीं , जी तने नहीं द ूँगा ,	- నువవు అతని ని ఆ డబ బ ంతా గె ల వని సతా వా ? - గె లవ నివ వ ను ,
हम झ ी ल के बीच में क श ती पर हैं , इसलिए मुझे तो लगता है	పడ వ లో మనం చె రు వు మధయ లో ఉ ండి , అత నని గె లి పి సతు ంటే ,
वी डियो तुमहारी स हे ली - नै ट	వీ డి యో జ త పరి చా ను నీ - నా ట
चलो भी , रे . सब जानते हैं कि तुमहारे बीच कुछ हुआ .	ఊ రు కో , రే , ఈ వే స వి లో తన తో జ త క టట ా వని అంద రికీ తెలుసు .
कया हुआ , लै ंग ली ? कया बात थी जो फोन पर नहीं बता पा ई ?	ఇదే ంటి , లా ంగ లీ ? నువవు నాకు ఫోన లో చెపప లేని దే ంటి ?
सच में नहीं पता कि उससे किस ने कहा . . .	తన కు అది ఎలా తెలి సి ందో తెలియదు . . .
मैं होती तो तुमहारी कहानी बदल दे ती .	సరే , నేను నీ క థ ను మా రచ డం మొద లు పె డ తాను .
हमें त य करना होगा कि कौन सी ल डा ई लड ें .	మన పో రా ట ాలు మన మే ఎ ంచు కుంటా మను కుంటా .
- मुझे जाना है . मेरे पापा . . . - हाँ .	- నేను వెళళ ాలి . మా నానన . . . - అవు న వు ను .
वह हमें ध ो खा दे रहा है .	డే నా , తను వాడు కుంటుననా డు .
अभी भी एल ए जाना चाहती हो ?	ఎ ల ఏ వెళళ ాలను కుంటుననా వా ?
लू क की ना व पर गई , तो श रत वाली पर च ियाँ मिली ं .	నీ కోసం వె తు కు తు ంటే నాకు ప ందే ల చ ీ టీ లు కనిపి ంచా యి .
अगर कुछ हुआ होता , तो वह फोन करता .	ఏదెనా జరిగి ఉంటే , ఫోన చేసి ఉండే వాడు .
इस ने मुझे उ ँ ग ली दिखा ई .	తను నాకు వే లు చూపి ంచా డు .
मैं ह ॉल हूँ .	నేను హ ాలను .
- संभाल ने वाले ने कहा कि चो री हो गए . - हाँ . अजीब सा लग रहा है .	- బ యా గ మయా న అంతా పోయి ంద ననా డు గా ? - తెలుసు . నాకు భయ ంగా ఉంది .
तुम सब अपना खया ल रख ना . शे र खु ले में घ ू म रहा है .	మీరు జా గర తత గా ఉండ ండి . పు లి బయట తి రుగు తుంది .
कि हम जहाँ जा रहे हैं , वहाँ एक बंद ग ली है .	అది మేము చే రు కునే ది వే రే దా రి లేని ము గి ంపు కని .
हर रो ज वी डियो क ॉल करना .	పరతి రోజు ఫ ే సట ెం చె య .
इसलिए पै निक स ड क पर खतम होता है .	అందుకే పా నిక రో డ డు మీద ము గు సతుంది .
- सब ूत के बिना . . . - पर सब ूत है .	- ఏ ఆ ధా రం లే కుండా . . . - ఆ ధా రం ఉంది .
मैंने सुना कि चा इ लड पर ो टे क टि व सर वि से ज वाले तुम लोगों से मिलने आए थे .	నినను శి శు సం ర కష ణ సే వా వాళళు కొనని సా రలు వచచి కలి శా రని వి ననాను .
चलो भी . वे कहाँ हैं ?	అబబా . అవి ఎకకడ ఉననాయి ?
शायद वह लू क के साथ हो .	అతను లూ క తో ఉననా డే మో .
इस ने मुझे उ ँ ग ली दिखा ई .	నాకు వే లు చూపి ంచా డు .
ऐसा है कि तुम शे रि फ का इ कल ौ ता राज नहीं .	చూ సతు ంటే , ష ె రీ ఫ ర హ స యం నీ దొ కక టే కాదు లా ఉంది .
- डॉज कहाँ है ? - मुझे . . . मुझे नहीं पता .	- డా డజ ఎకకడ ఉననాడు ? - నాకు . . . నాకు తెలియదు .
मैंने कभी नहीं सोचा था कि रे ह ॉल नहीं आए गा .	రే హ ాల రా కుండా ఉంటా డని ఎ నన డ ూ అనుకో లేదు .
उनहोंने क सम ली थी कि न बता ऊँ .	చెపప కుండా పరమా ణం చేయి ంచు కుననా డు .
चु नौ ती , यह देखना कि गाडी का सट ि य रि ंग तुम नहीं घ ुम ा ते .	స వ ాలు ఏంట ంటే , మీరు ప కక కు తపపు కో కుండా చూ సుకో వాలి .
रू सी रू ले ट का खेल खेल ते हुए , जि मी ने खुद को मार डा ला .	జి మ మీ ర ష యన రో లెట ఆట ఆ డు తూ తన ను తాను చం పు కుననా డు .
एक स ड क , एक ग ली , और दोनों की घ बरा ह ट बढ ा ने के लिए आ धा मी ल का स फर .	ఆ ందో ళ న కు గురి చేసే ఒక ే రో డ డు , ఒక ే మా రగ ం ఇంకా చె రో అర మె లు .
नहीं . तुम मुझे अपनी गाडी की चा बी दो गे .	లే ము . నువవు నాకు నీ కారు తా ళ ాలు ఇ సతుననా వు .
उसे मेरे बिना नी ंद नहीं आती .	నేను ప కక న లే కుండా తను ని దర పో దు .
- का श रे थोडा जलदी करे . - हाँ .	- రే తవర గా వ సతే బాగు ండు . - అవును .
और जब समझ में आ जाएगा , उससे नजर ें मिला ना ,	నీకు అది తెలి శా క , దాని క ళళ లలో కి చూడు ,
मैंने बताया था , याद है ? बस घर की देख भा ल कर रहे हैं .	చెపపా ను గా , గురతు ందా ? మేము ఇ లలు చూ సు కుంటుననా ము .
एक को मु ड ना होगा , वर ना दो नो को खेल से जयादा हार ना होगा .	అందు లో ఒక రు తపపు కో వాలి , లేదా ఇదద రూ ఆట తో పాటు మరి నని కో ల పో వాలి .
तो हम बरा ब री पर हैं .	మనం సమా న ంగా ఉననా ం .
तुमहें किसी और से भी न फ रत करनी होगी .	నువవు ద వే షి ంచే ందుకు మర ొ కరి ని చూ సుకో వాలి .
- बि श प ने बताया कि तुम वहाँ हो . - कया ?	- నువ వ కకడికి వచచా వని బి ష ప చెపపా డు . - ఏంటి ?
कयोंकि पल भर के लिए ,	ఎందుకంటే ఒకక కష ణం ,
अफ सो स उसे अपनी जी त का मजा ले ने के लिए सिरफ 2 0 मिनट मिल ेंगे ,	ఆ బా ం బు పే లే ందుకు ముందు అతను పొ ందే వి జ యా నం దానికి ఇంకా
नहीं , जानकारी के लिए मे हर बा नी . बहुत - बहुत शुकरिया .	లేదు , సమా చా రా నికి అభి న ంద నలు . చాలా ధనయవాదాలు .
