पै निक	పా నిక
टा य ल र य ंग की कया संभा वना है ?	మరి టె ల ర యం గ కు అవకా శ ాలు ఎంత ?
फा र मा .	ఫా ర మా .
भूल भ ु लै या हैं और बं जर भ ू मि में गिर ना है .	చ కర వయ ూ హ ాలు , ఇంకా అడ వి లో వదిలే య డం ఉంటా యి .
आ सान है .	సు ల భ ంగా .
सि वा य डॉज मे सन के , जि से 2 5 अं क फा लत ू मिले हैं .	కానీ డా డజ మే స న కు తపప , అతనికి అద న ంగా 2 5 వ సతా యి .
आप जि तने धी मे होंगे , आपके उ तने अं क घट ेंगे .	ఎంత నె మమ ది గా వెళ ి తే , అనని పా యి ంట లు పో తా యి .
- ड रू सै ंट िया गो ! - सै ंट िया गो .	- డ రూ శా ంటి యా గో ! - శా ంటి యా గో .
सा ला .	అబబా .
बस धयान रख ना , ठीक है ?	జా గర తత గా ఉ ండు , సరేనా ?
धत तेरी .	అబబా . ఛ .
पाँच से क ंड !	ఐ దు సె క నలు !
नहीं .	వదదు .
ओ ए , नि ल ,	ఏ య , ని ల ,
- वह कया कह रहा है ? - चलो , हेदर .	- అతను ఏం అ ంటుననా డు ? - రా , హే థర .
उल टी करने ही वाली थी .	వా ంతి వచచి న ంత ప నె ంది .
हमें तो लगा कि तुम गए काम से .	ని నన కకడ కో ల పోయా మ నే అను కుననా ం .
गु ड ना इट भी नहीं क हो गे ?	క నీ సం శు భ రాతరి తెలు ప వా ?
हेदर !	హే థర !
उसकी जरूरत नहीं . ठीक है .	అవసరం లేదు . బాగానే ఉంది .
- शुकरिया , डॉ क टर . - हाँ .	- ధనయవాదాలు , డా క టర . - ఆ .
मे ल नी !	మె లని !
मे ल नी .	మె లని .
कै र मे ल . . .	కార మె ల . . .
मे ल नी .	మె లని .
मे ल .	మె ల .
चलो . इसे फ ें क दे ता हूँ .	రా . ఇది పా రే సతాను ఇవ వు .
तुम बाहर जाओ गी तो अचछा रहे गा .	బయటకు వెళ ి తే నీకు బాగు ంటుంది .
ठीक है .	మంచిది .
उनहें लगा मु फ त का टॉ य ले ट पे पर और खा ने के बद ले मैं उनकी दे न दार हूँ .	తను ఇ చ చే టా యి లెట పే పర ఇంకా తి ండి కి నేను రు ణ పడ డా నని అను కు ంటు ందే మో .
पता है तुम श हर में नए हो , तुमने खेल के बारे में शायद सुना होगा ,	నువ వీ ఊ రికి కొతత గా వచచి న వాడి వని తెలుసు , ఆట గురించి వి నే ఉంటా వు ,
पर अगर हम साथ मिल कर खेल ें , तो एक की जी त मतलब दोनों की जी त होगी .	కానీ మనం కలిసి పని చేసతా ం , మన లో ఎవరు గె లి సి నా ఇదద రూ గె లి చి న టటే .
निय म याद रख ना . गा ली देना , थ ूक ना , मार ना या रो ना मना है .	నియ మ ాలు గుర తుననా యి గా . తి టట డం , ఊ య డం , కొ టట డం , ఏ డ వడం వదదు .
अब जज लोग हमें जानते हैं , तो कया हम पर नजर रख े होंगे ?	మనం ఎవరో నయాయ నిరణ ే త లకు తెలుసు , మన లని గ మని సతు ంటా ర ంటా వా ?
मेरा इ रा दा झूठ कह ने का नहीं था . न ही कू द ने का था .	నేను అబ దధ ం చెపప ాలను కో లేదు . అసలు దూ కాల నే అనుకో లేదు .
हेदर , तुमहारा समय शुरू होता है , तीन , दो , एक . . .	హే థర , నీ సమయం మొద ల వు తుంది , మూ డు , రెండు , ఒకటి . . .
कुछ बच चों को पक डा है जो कल रात पै निक खेल रहे थे .	ని నన రాతరి కొ ంత మంది ని పా నిక ఆ డు తు ండ గా పటటు కుననా ం .
पर आप यहाँ मेरे बारे में बात करने नहीं आई ं हैं .	కానీ మీరు ఇకకడ కు నా గురించి మాటలాడ టానికి రాల ేదు .
- अ भ ि न य कला स भी है . - अभी गरे जु ए शन पूरा किया है .	- వాటి లో న టన నే ర పు తారు . - నా డి గర ీ ఇ పపుడే అయి ంది .
लै ंग ली की मदद से , उस ी को हम हि रा सत में रख पा ए .	ఆమె ను మాతరమే పటటు కో గ లి గా ము , లా ంగ లీ కి ధనయవాదాలు .
कयोंकि मेरे बच त खा ते में 1 7 . 2 6 ड ॉलर ब चे हैं .	ఎందుకంటే నా సే వి ంగ స ఖ ా త ాలో 1 7 . 2 6 డ ాల రలు ననా యి .
चु नौ ती नंबर दो , व ॉ क द प लै ंक में आपका सवागत है .	స వ ాలు నం బ రు రెండు కు సవా గ తం , అది చె కక పె న డ వడం .
देखो , हेदर , मैंने ला इ ब रे री में जो कहा था . . .	చూడు , హే థర , నేను నీ తో లె బర రీ దగగర అనన ది . . .
उनसे शुरू करते हैं जिन की जी तने की संभा वना है .	గె లు సతా రని అను కునన ఆట గా ళళ నుండి మొద లు పె డ దాం .
- मेरी कि सम त अचछी है . - जयादा क सा लगे तो बता ना .	- అద ృష ట వం తు ర ాలి ని . - బాగా బి గు తు గా ఉంటే చెపపు .
समझ ा . दवा ओं की दु कान पर ही काम करना चाहती हो .	అరథ మ యి ంది . నీకు ఫా ర మ సీ లోనే పని చేయ ాలని ఉంది .
अगर कोई काम हो तो , अपना रे ज यू मे छोड सकती हो .	ఏ మెన ఖ ా ళ ీ లు ఉంటే చెబు తాను , నీ రె స యూ మే ఇవ వు .
- तुमसे मु का ब ला नहीं करना चाहती थी . - पता है .	- నీ తో పో టీ పడ ాలని ఎపపుడూ అనుకో లేదు . - తెలుసు .
ड रू , तुमहारा समय शुरू होता है , तीन , दो , एक .	డ రూ , నీ సమయం మొద ల వు తుంది , మూ డు , రెండు , ఒకటి .
तो , हमें पता है कि अग ली चु नौ ती कहाँ होगी .	అయితే , తరు వా తి స వ ాలు ఎకకడ ో మనకు తెలి సింది .
- वह बात करने को तैयार है . - कौन सै रा मिल र ?	- ఆమె మాటలాడ టానికి సిదధ ం . - సా రా మి లల ర ఎవరు ?
- यह भी कि ह द से जयादा . . . - अस ली बात करो .	- అది చాలా క ఠ ి న మెన దని . . . - సూ టి గా చెపపు .
और गर मि या ँ शुरू हो चु की हैं , और , अफ सो स ,	వే స వి కాల ం మొద ల యి ంది , ఇంకా దు ర ద ృష ట వ శా తతు ,
पता होना चाहिए था कि बेव ज ह नहीं करो गी .	ఏదో కారణ ం ఉ ండు ంటు ందని తెలుసు కో వాల సింది .
वही हमेशा वाली बात . आ धे अ कष र गिर भी गए .	వి చి తరం . స గం అ కష ర ాలు ఇ పపటి కే తీ సే శా రు .
ये बचचे घ ू म - घ ू म कर सु रा ग ढूँढ रहे हैं ?	ఈ పిలల లు సం కే త ాల కోసం అంతా తి రుగు తా రా ?
मुझे छोड , कु त िया . मैंने कुछ नहीं किया .	ననను వ దు లు , పిచచి దా నా . నేనే ం చేయ లేదు .
- मेरा इ रा दा . . . - नहीं , कोई बात नहीं .	- నా ఉద దే శ యం అది కాదు . . . - లేదు , చూడు .
और पसंद की चु नौ ती से छु ट का रा मिले गा .	కో రు కునన స వ ాలు నుండి తపపు కునే అవకా శం .
मेरा यह मतलब नहीं था कि पै निक नहीं जी त सकती . मैं आ मत ौर पर कह रहा था .	నా ఉద దే శ యం పర త యే కి ంచి నువవు పా నిక గె లవ లే వని కాదు . మా మూ లు గా అననా ను .
र च ना त म क पर य वे कष क र वी न दर श ं कर शु कल	కరి యే టి వ సూ పర వె జర రా జే శ వర రా వు వల వల
बीच के अ कष र ों से एक श बद बन ता है .	ఆ పోయి న అ కష రాల తో ఏదో పద ం వ సతుంది .
च ू हों से कितना कि रा या ले ते होंगे ?	వాళళు ఎ లు క లకు ఎంత అ దద ె కు ఇ చచా రు ?
हर खिला डी कुछ न कुछ छु पा ता है .	పరతి ప లే య ర ఏదో ఒకటి దా సతు ంటా రు .
- मि स नि ल ! - पीछे आओ ! अचछा , चलो .	- మి స ని ల ! - వె ను కకు రా ! సరే , పద .
जज लोग खेल की तै या री करते हैं ?	నయాయ నిరణ ే తలు ఆట ను ప లా న చేసతా రా ?
नहीं , ऐसा तो नहीं है . बस . . .	లేదు , నిజ ానికి లేదు . నేను . . .
ट ै को बे ल में स हा य क मै ने जर हूँ .	టా కో బె లలో అ సి సట ె ంట మే నే జర ను .
वह तुमहारी पक की दोसत थी , है न ?	ఆమె నీ పరా ణ సనే హి తు ర ాలు , కదా ?
- कितना रू मा नी है . - आज रात . . .	- పర ణ య భా వ న . - లేదు , రాతరి . . .
सट ै न , सट ै न ली , सट ै न टन , सट ै न सन और सट ै नर का नंबर और पता निका ले .	ఊ రి లో పరతి సటా న , సటా న లీ , సటా ంట న , సటా నస న ఇంకా సటా న ర పే ర ల వి .
फिर तो वह तुमहारी पसंद का हुआ .	అయితే నీకు న చచి ఉంటా డ ను కుంటా .
- हर साल . - तुमसे पयार है , जान .	- పరతి ఏ డా ది . - ఐ లవ యూ , బంగా రం .
चार ों तरफ से मिल ती हैं . मु फ त में मेरी गो दी में बैठ ती हैं .	నాకు పరే య సు లు అంత టా దొ రు కు తారు . ఉ చి తంగా నా ఒ ళళ ో కూ రచు ంటా రు .
तो , गरे जु ए शन पूरा हो चुका है	అయితే , గరా డ యు యే షన అయి పోయింది ,
पता यह करना है शुरू कब होगी .	మనం పరా రం భ సమయం తెలుసు కో వాలి .
लोग वहाँ दो स ती करने जाते हैं .	జ నం అకకడ ే గా అంద రి నీ కలి సే ది .
सत रह साल के , नौ जवा न और पयार में थे , कॉ ले ज जाने वाले थे .	ప ది హే డే ళళ , యు వ తీ యు వ కులు , పరే మ లో ఉననారు , కాల ే జీ కి వెళళ ా రు .
सोच ते हो मैं जी त नहीं सकती .	గె లవ లే నని అనుకుంటుననా వు . . .
रे ज यू मे की कॉ पी बना ने के बाद मुझे लि ं कस पर छोड दो गे ?	నా రె స యూ మే కా పీ లు తీసు కుననా క , లి ంక స దగగర వది లి పె డ తా వా ?
देखो , पै निक बकवास है , हेदर .	చూడు , పా నిక ఒక చెతత , హే థర .
पर , अगर और कुछ पता चले तो ,	సరే , నీకు ఇం కే మెనా తెలి సతే ,
मार च में आपके दोसत ों से कहा था कि मुझे कुछ नहीं कहना .	మార చి లో మీ సనే హి తు లకు , చెపపే ందుకు ఏం లే దని చెపపా ను .
ह वाई अ ड डे पर काम करती हूँ .	విమా నా శ ర యం లో పని చేసతాను .
तुम मुझे अचछे लगे . सच में .	నాకు నువవు న చచా వు . అవును .
अगर तुम खेल खे लो गी तो नौ करी ढूँढ ने का कया फा य दा ?	నువవు ఆట ఆడ ాలను కునన పపుడు ఉద యో గం కోసం చూడ డం దే నికి ?
मैं इसे हाँ समझ ले ती हूँ .	అది అవు నని భా వి సతుననాను .
फिर भी य ंग 5 0 - 5 0 लगता है .	నేను యం గ కు 5 0 - 5 0 ఇ సతాను .
और एक - दूसरे का आ कल न करने .	అభి పరా య ాలు ఏ ర పర చు కునే ది .
तक ली फ या तना व में , शा री रिक ता कत वाली चु नौ त ियाँ .	న ొ పప ి లేదా ఒ తతి డి తో కూ డు కునన శా రీ రక ద ృ ఢ త వ స వాళళు .
उसने मेरे फोन का जवाब नहीं दिया . दो दिन हो गए .	తను నా ఫోన ఏ దీ ఎ తత డం లేదు . రెండు రోజు లు అయ యి ంది .
- समझ दार इंसान . - धयान से .	- తెలి వెన వాళళు . - జా గర తత .
डॉज मे सन . रह स य म य इ ति हा स ,	డా డజ మే స న . ర హ సయ మెన గ తం ,
जब मैं ज ं प से कू दा , तब मैं 2 5 अं कों के यो ग य था .	నేను జ ం ప లో 2 5 పా యి ంట లు గె లి చి న పపుడే అర హు డిని .
फिर हम पैसे बा ँ ट ल ेंगे .	డబబు ఇదద రం ప ంచు కు ందా ం .
मैं काम पर जा रहा हूँ .	నేను ప నికి వెళ ు తుననాను .
कहीं दिख नहीं रहा . शायद उसने चि ह न नहीं देखा .	నాకు అతను కనిపి ంచడం లేదు . సం కే తం చూ సుకో లే దే మో .
वहाँ तक , पापा . वहाँ तक .	ద ూర ంగా వెళళ ండి . నా ననా .
- पर बो अपनी शि फ ट के बाद हमें ले ने आए गा . - बा य .	- బో తన షి ఫ ట అయ యా క మన లని తీసు కె ళ ు తుంది . - బె .
आप बेवकू फी भ रे फै स ले ले ते हैं या समझ दा री भ रे .	పిచచి లేదా మంచి అవకా శ ాలను ఎ ం పి క చేసుకో వచచు .
ऐ बी कला र क ने लिया था .	కానీ ఆ బీ క లా రక ఆ డి ంది .
सब कुछ सा मान य लगता है .	అంతా మా మూ లు గానే ఉంది .
वह दु ससा ह सी है , नि डर है , दर द से नहीं डर ता .	నిర లకష య ంగా , నిర భయ ంగా ఉంటా డు , న ొ పప ి కి భయ పడ డు .
वह अभी भी रे स में है ! डॉज अभी भी खेल में है !	రే సు లో ఉననాడు ! డా డజ మే స న ఇంకా ఆట లో ఉననాడు !
- कम से कम वे कोशिश कर रहे हैं . . . - जज लोग ?	- వాళళు పరయతని సతుననారు . . . - నయాయ నిరణ ే త లా ?
वह आ गया . शायद मुझे जाकर हैलो कहना चाहिए .	అతను వచచా డు . బహుశా నేను వెళళి ప ల కరి ంచ ాల ే మో .
तुम इतनी समझ दार हो कि उस में नहीं पड ो गी न ?	నువవు అందు లో పాల గొ నే ంత తెలి వెన దాని వి , కదా ?
अरे , मैंने पक ड लिया .	హే , నేను పటటు కుంటా ను .
हैलो . मा य रा कै ं प बे ल ?	హాయ . మె రా క యా ం ప బె ల వా ?
व हीं तो देख सकते हैं .	చూ సే ందుకు ఉనన ది అదే .
- ए , तुम ठीक हो ? - हाँ .	- బాగానే ఉననా వా ? - హా .
के ट लि न मिल र याद है ? सै रा उसकी छो टी बहन है .	కే ట లి న మి లల ర గురతు ందా ? సా రా ఆమె చె ల లె లు .
- बस सा ँ स लो . चलो . - खतम हो जाए तो बता ना .	- ఊ పి రి తీసుకో . వెళళ ు . - అది ము గి శా క చెపపు .
जन म दिन की मु बार क बाद देना चाहता हूँ . . .	పు టటి న రోజు శు భా కా ం కష లు తె ల ప ాలి చాలా . . .
जी - आर - ए - ए न - ए - आर - वाई .	జీ - ఆర - ఏ - ఎ న - ఏ - ఆర - వె .
- अरे , बा प रे . - अचछा .	- అయ యో దేవుడా . - సరే .
वह खेल भी जि से बचचे " पै निक " कहते हैं .	పిలల లు " పా నిక " అని పి లి చే ఆట మొద ల యి ంది .
मुझे एक फोन कर दो गी ? बडी मे हर बा नी होगी .	నాకు ఫోన చేసతా వా ? అ ందుకు సంతో షి సతాను .
ब की ज में कोशिश की ?	బ కీ స లో పరయతని ంచా వా ?
मेरी तरफ मत देखो . मुझे सा थी नहीं बन ना .	నా వెపు చూడ కు . నేను స హాయ కు డి గా ఉండ ను .
और रे ह ॉल ने 1 7 से क ंड में पार कर लिया ,	ఇంకా రే హ ాల దానని 1 7 సె క న లలో దా టా డు ,
मुझे शु भ काम ना एँ दो .	మంచి జరగ ాలను కో ండి .
रुको . नहीं , हमें जो ड ना होगा . यह 1 4 है .	ఆగు . లేదు , మనం కలి పే సతుననా ం . ఇది 1 4 .
रात भर न ं गा ना च करना है तो स कार ले ट स में बुला रहे हैं .	న డ డి చూపి సతూ కూ రచ ో వాల ను ంటే , స కార లెట కల బ లో ఉద యో గ ాలు ననా యి .
तो , बो और तुमहारी माँ फिर से साथ हैं ?	అయితే , బో ఇంకా మీ అమమ మళళీ కలి శా రా ?
अब वे मर चु के हैं .	ఇపపుడు చని పోయా రు .
मैंने सुना कि तुम काम माँ ग रही थी ?	అకకడ ఉద యో గం కోసం అడుగు తు ంటే వి ననాను ?
साथ में सो ओ गी कया ?	మీరు కలిసి పోయా రా ?
आज मेरी छु ट टी है .	ఈ రోజు నాకు సె ల వు .
उसकी बात नहीं की .	తన గురించి అన లేదు .
अचछा , दा ँ त दिखा ओ . र कू न की तरह नहीं , जि मी . मु स कु रा ओ .	సరే , నీ ప ళళు చూపి ంచు . చె వు ల పి లలి లా కాదు , జి మ మీ . నవ వు .
वह क बा य ली ट ै ट ू कम जो री की नि शा नी है .	ఆ గి రి జ న ప చచ బ ొ టటు బ ల హ ీ న త కు చి హ నం .
- को र टे ज ! ग ों जा ले स ! शा वे ज ! - धत तेरी .	- కోర టె జ ! గం జ ాల ె స ! చ వే జ ! - అయ యో , ఛ .
- तुमसे पयार है . - हे भगवान . छोड ो भी .	- మాకు నువవు ంటే ఇషటం . - అబబా . రండి .
हा ल में , गरे न री में कोई सं दे ह जन क ग ति वि धि देख ी गई ?	ఈ మధయ ధా నయా గా రం దగగర ఏదెనా అను మా నా స పద ంగా కనిపి ంచి ందా ?
- तो मुझे छोड देना चाहिए ? - खिला डी ऐसा करते रह ते हैं .	- నేను వదిలే య ాలి అ ంటుననా వా ? - ఆట గా ళళు అలా చేసతా రు .
जिस ने भी आ ति श बा जी की , वे चाहते थे कि हम बेवकूफ ों की तरह ढूँढ ते र हें .	ఎవర ె తే ఆ బా ణ స ంచా కాల చా రో , వాళళు మన లని దా రి తపప ి ంచ ాలని అను కుననా రు .
और वह बडी म सत है .	ఆమె చాలా మంచిది .
मैं खया ल रख ूँगा .	సు నని తంగా ఉంటా ను .
शु रु आत का समय है .	ఇది పరా రం భ సమయం .
उसका भाई ह ंट उसे तैयार कर रहा है .	ఆమె సోద రు డు హ ంట ఆమె కు శి కష కు డు .
मुझे पता था तुम बेवकूफ हो , पर तुमहारी इस बात से सब साफ हो गया .	నువవు మూ ర ఖ ు డి వని తెలుసు , కానీ నువ వి పపుడు అనన ది అది ఎ తతి చూ పు తుంది .
ए , आ राम से ! यह कोई मजाक है कया ?	హే , శా ంతి ంచండి ! ఇపపుడు పరా చి క ాలా ?
आ मत ौर पर , चु नौ त ियाँ अलग - अलग श रे ण ि यों में आती हैं .	స వాళళు సా ధా రణ ంగా కొనని వి భి నన వర గ ాలు గా ఉంటా యి .
पिछ ले साल , इस श हर ने हम से हमारे दो बचचे छ ी न लिए ,	గ త ఏ డా ది , ఈ ఊ రు మన పిలల లు ఇదద రి ని మి ం గే సింది ,
ए , मैं ही कयों ?	హే , నేను ఎందుకు ?
माँ ने मेरे सक ूल के पैसे ले लिए .	మా అమమ నా స కూ ల డబబు తీసుకు ంది .
सा र ज ें ट लै ंग ली . मैं अंदर आ जा ऊँ ?	సా ర టె ంట లా ంగ లీ . లోప లకు రా వచచా ?
शुकरिया , मा य रा .	ధనయవాదాలు , మె రా .
कहाँ घ ू म ते हैं .	ఇంకా గ డి పే చో టు .
छोड िए भी , पापा .	ఊ రు కో ండి , నా ననా .
उसे पूछ ता छ वाले कम रे में बि ठा ओ . मैं संभाल ल ूँगा .	ఆమె ను ఇంట రా గే షన గ ది లో ఉ ంచు . నేను చూ సు కుంటా ను .
- . . . आपके पयार ने मै करो नी सला द बना या . - यह रही . यह रही ऐ बी .	- . . . మా క రో నీ స లా డ చేసి ంది మీ పరి య మెన ది . - అది గో వచ చేసి ంది . ఆ బీ .
शा मिल होने के लिए , सभी को 1 00 अं क मिल ते हैं ,	పో టీ దారు ల ంద రికీ చే రి న ందుకు 1 00 పా యి ంట లు వ సతా యి ,
यह बाहर है , यार . घ ों घ े भी इससे ते ज चल ते हैं .	ఆమె తొ ల గి పో తుంది . న తత లు అంత కంటే వే గ ంగా వెళ తా యి .
और बहुत कम जी तने के यो ग य हैं .	అందు లో కొ ంద రే వి జ యా నికి అర హు లు .
ये बचचे ल क ड ब ग घ ों की तरह एक - दूसरे को बचा ते हैं ,	ఈ పిలల లు , ఒక రి న ొక రు హ ెనా లలా గా కా పా డు కుంటా రు
हर खिला डी की एक कहानी होती है .	ఆ డే పరతి వా రికి ఓ క థ ఉంటుంది .
- उससे फिर बात करते हैं . - अचछा .	- ఆమె తో మళలీ మాటలాడ దాం . - సరే .
मुझे नहीं करना .	నేను పాల గొ నను .
तुम कर सकती हो !	నువవు చేయ గల వు !
हम सब किसी बात से डर ते हैं .	మన ంద రం ఏదో ఒక దానికి భయ పడ తా ం .
और किसी को की मत चुका नी पडे गी .	ఎవరో ఒక రు మూ ల యం చె లలి ంచాలి .
सभी अपनी - अपनी जगह पर ख डे रहो .	ఎకకడ ఉనన వాళళు అకకడ ే ఉండ ండి .
अब , एक बात तो साफ है . यह खेल सु वय व स थि त है .	ఇక , ఒకటి మా తరం సప ష టం . ఈ ఆట ఏ ర పర చ బడి ంది .
तो , यह कया है ? किसी चीज की त ला श हो रही है ?	అయితే , ఇది ఏంటి ? వ సతు వు లను పో గు చేసే ఆట ?
जरा ढ ो ल ब जा इए .	ఢ ం కా వా యి ంచు .
डॉज मा ह िर है !	డా డజ ని పు ణ ు డు !
मुझे माफ करना .	ననను కషమించు .
श रत लगा कर कह ती हूँ कि आज रात की चु नौ ती एक च ौ रा हा होगा .	ఈ రాతరి స వ ాలు దా ట డం ఉ ంటు ందని ఎంత ెనా ప ంద ెం కా సతాను .
सै रा मिल र अभी भी यहीं है .	సా రా మి లల ర ఇంకా ఇకకడ ే ఉంది .
पूरी सा त वी ं कला स में यहाँ च ढ कर पर जी वि यों के रे डियो सि ग न ल ढूँढ ते थे .	ఏ డో తర గ తి మొతత ం గర హా ంత ర రే డి యో సి గ న ళల కోసం ఆ కా శ మ ంతా గ ాలి ంచా ము .
गरे जु ए ट होने वाले सभी सी नि यर हि ससा ले सकते हैं , है न ?	డి గర ీ సీ నియ రలు అందరూ ఆ ఆట ఆడ టానికి అర హు లు , అవునా ?
श ै ता न के पास .	సె తాను ప కక న .
- तुमहें बता नहीं सकता . - उ तना ड रा वना है ?	- నీకు అది చెపప లేను . - అంత భ యం కర మెన దా ?
ल क ड ब ग घ े , ज ॉन .	హ ెనా లు , జా న .
- खू बस ू रत . - बहुत खू बस ू रत .	- అంద మెన ది . - చాలా అంద మెన ది .
उसे जानता हूँ . ऐ बी की पक की दोसत थी .	నాకు మె రా తెలుసు . ఆమె ఆ బీ సనే హి తు ర ాలు .
रे ह ॉल . हर किसी को इसी से उममीद है .	రే హ ాల . అందరూ అతని పె ప ంద ెం కా సతుననారు .
यह आ मत ौर पर अ जन बि यों से दो स ती नहीं करता . तुमहें कु त ते पसंद हैं .	అ పరి చి తు లతో అది అంత సనే హ ంగా ఉండ దు . కు కక లు నినను మె చచు తా యి .
तुमने तो ह द ही कर डा ली .	నువవు నిజంగా మి ంచి పోయా వు .
यहाँ से न निकल पा ने का .	ఇకకడ నుండి బయట పడ లే నే మో నని .
न बता ने की क सम खा ई थी .	ఎవ రికీ చెపప నని ఒ టటే శా ను .
अचछा . लड कों और लड कि यों , बं दे और बं दि यों , रे ,	సరే . అబబా యి లు మరియు అమమాయి లు , పా ప లు , బా బు లు , రే ,
आज रात , घ टा व से अं कों का हि सा ब होगा .	ఈ రాతరి , పా యి ంట ల తీ సి వే త ఉంటుంది .
अरे , सा ला , रे ! मैंने त ख ता नहीं तो डा !	పో రా , రే ! నేను చె కక వి రగ గొ టట లేదు !
हाँ ! तो रो मन लोग सं खया ओं के लिए अ कष र ों का इस ते माल करते हैं .	అవును ! అయితే రో మన లు సం ఖ యా వయ వ సథ కు అ కష ర ాలు ఉ ప యో గి ంచారు .
बेवकू फी वाले फै स लों की यही तो बात है , उ नहीं में मजा आता है .	మూ ర ఖ పు నిరణ య ాల విషయం లో అంతే , అవి ఎపపుడూ సర దా గా ఉంటా యి .
जब वहाँ गई , तो मुझे लगा करना ही है .	అకకడ పె కి ఎ క కా క , దూ కాల ను కుననాను .
पर फोन पर काफी परे शान लग रही थी .	కానీ ఆమె ఆ కాల స తో కల త చె ంది న టటు ంది .
बकवास है , और ख तर ना क है , और पिछ ले साल दो बचचे मा रे गए .	అది చెతత ది , పరమా ద కర మెన ది , గ త ఏ డా ది ఇదద రు పిలల లు చని పోయా రు .
इसे हमने बना या , हम चला ते हैं , और हम इसे राज रख ते हैं .	అది మేము త యా రు చేసి , మే మే న డు పు తా ం , దానని ర హ సయ ంగా ఉ ంచు తా ము .
- अलग कर दी जाओ गी . . . - तुमहें यही लगता है ?	- నినను ప కక న పెటట ే సతారు . . . - అలా అనుకుంటుననా వా ?
नीचे रहो . दा हि ना हाथ .	కింద కు ఉ ండు . కు డి చేయి .
- ठीक हो ? - हाँ , ठीक हूँ .	- సరేనా ? - బాగానే ఉంది .
इस ने उसे हाथ में बी यर लिए और च रस लिए पक डा .	చే తి లో బీ రు ఇంకా 1 0 డ ాల ర ల గం జా యి తో పటటు కుననా ం .
टे कस स के म हा न राज य में .	గొపప టె క సా స రా షట రం లో .
वि लि य मस , शायद मुझे कुछ पता चला है .	వి లి య మస , నాకు ఒకటి కనిపి ంచింది .
हैलो , पापा .	హే , నా ననా .
कि रा या फिर से बाकी है ?	మళళీ అ దద ె బా కీ ఉందా ?
अरे , रि ग ली .	ఓహ , రి గ లీ .
- करना चा होगी ? - सच में ?	- చేసతా వా ? - నిజంగా నా ?
कॉ नर ै ड स पर लॉ क फ लो रि डा चला गया .	క న రా డ స పర లా క ఫ లో రి డా వెళళి పోయా డు .
वे आगे और बेवकू फी भ रे फै स ले करते चले गए .	వాళళ ని ం కా మూ ర ఖ ు లను చేసే అవకా శ ాలు కల పి ంచింది .
आ खि री , पर दम दार खिला डी , नया बच चा .	చి వర దానికి ముందు , కొతత అబబా యి .
- रुको , डि गि न स . - चलो !	- ఆగు , డి గ గి నస . - వెళళ ు !
त ंद ू री खाना बना ने में मा ह िर होना एक बात है और नि र दे शक होना दूस री .	నా లో మంచి విషయం బా ర బె క యూ బాగా చేయడం , బా ర బె క యూ లో ని పు ణ ు డిని .
