गरेस	గరేస
और तुम सब कब बस करो गी ?	నువవు ఎ పపుడు ఆ పు తా వు ?
उसे पता है हम इसलिए उसे नहीं . . . वह बस उसे निय ंत रि त कर रहा है .	మనం అందు కోసం అన ము అని తన కి తెలుసు . . . అతను ఆమె ని క బ ళ ి ంచే సతుననా డు .
- घ ूँ सा मार ने की सोच ती हूँ - हे भगवान , बि बी .	- అ పపుడ పపుడు నాకు అనిపి సతుంది . - దేవుడా , బీ బీ .
कोई अ ंत ये ष टि में आने की पु ष टि नहीं दे ता है .	అంత య కరి య లకు వ సతా మని ఎవ వర ూ సప ంది ంచడం లేదు .
उसे तुमहारी जरूरत है .	తన కి నీ సహా యం అవసరం .
हम ज ॉन प ॉल की जी वन बी मा प ॉ लि सी के धा र क हैं	జా న పాల జీవి త బీ మా పాల సీ మా సం సథ లో ఉంది .
वह बी मा कं प नी से है . वह बस एक कमी ना है .	వాడు బీ మా పిలల గా డు . వ టటి ప నికి మ ాలి న వాడు .
- मैं तुमहें कुछ करने को नहीं कह रही हूँ , गरेस . - कह रही हो .	- నువవు ఏం చేయ ాలో నేను చెపప ను , గరేస . - కానీ , నువవు చెబు తుననావు .
मेरा मतलब , वे ट ू टी हुई वि ंड स करी न के लिए दा वा नहीं कर रहे हैं .	నా ఉదదేశం , వాళలు కారు అ దద ాలు బ దద ల య యా య ని క లె యి మ చేయడం లేదు .
अ र सला , तुम अंदर हो ?	ఉ ర సు లా , లోప ల ఉననా వా ?
यह बेहद सु ंदर है न ?	ఇది అంద ంగా ఉంది కదా ?
- कया कर रहे हो ? - मैं फो लड र ले रहा हूँ .	- ఏం చేసతుననా వు ? - ఆ ఫో ల డ ర అ ందుకు ంటుననా ను .
ज ॉन प ॉल के श रा ब से पर हे ज के सम मान में .	జా న పాల హు ందా త నా నికి గ ౌ ర వ ంగా జరుగు తోంది .
- बे स गि टा र . - भगवान .	- బా స గి టా ర . - దేవుడా .
- शा बा श , जान . - यह शान दार है . बढिया है .	- శ భా ష , బంగా రం . - అది అదభు తం . గొపప విషయం .
जिस रात तुमहारे पति म रे , तुम कहाँ थी ?	మీ భ ర త మ రణ ి ంచిన రాతరి మీరు ఎకకడ ఉననారు ?
बुरा न मान ना , नो रा .	ఏమీ అనుకో కు , నో రా .
- डॉ न ल , चलो दा ँ व लगा एँ कि वह किस के साथ है . - हैलो , लड कि यों !	- డో న ల . ఆమె ఎవరి తో ఉ ందో తవర గా కని పెటటు . - హలో , అమమాయి లూ !
- म ॉ ली , यहाँ ! - रुको .	- మో లీ , ఇకకడ ! - ఆ పు .
हमें बस नि रि कष ण करना है और सुन ना है .	మనం చేయ వల సి ంద లలా గ మని ంచడం ఇంకా విన డ మే .
मैं बे स ब जाता हूँ .	నేను బా స వా యి సతాను .
यहाँ म हिला मु क ति दिख रही है . टे बल की मु ख िया . दोनों छो र पर म हिला एँ बैठ ी हैं .	మ హి ళల వి ము కతి ఉద య మ ం అకకడ న డు సతోంది . టే బు ల కి రెండు ప కక లా మ హి ళ ా నా య కులు .
ऐसा लगता है उनहें मे क अप लगा या गया है .	తను మే క ప వే సు కునన టలు కనిపి సతుననా డు .
मैं ब ला न ड को उसकी ध ु त माँ के साथ तै र ने जाने नहीं द ूँगा .	తా గి న తల లి తో బ లా న డ ని స ము ద రం లో ఈ త కోసం నేను పం ప లేను .
देखो उनहें , डॉ न ल .	వాళ లని చూడు , డో న ల .
- ए ! - शा बा श , बै का !	- హేయ ! - శ భా ష , బె కా !
मुझे बेहद खे द है .	నా పర గా ఢ సా ను భ ూ తి .
- वह मेरा स कार फ है , बै का . - जानती हूँ .	- అది నా స కార ఫ , బె కా . - నాకు తెలుసు .
तो फिर , मेरे लिए ख री द सकते हो ? मेरे पैसे खतम हो गए .	సరే , అయితే నాకు ఒక డ రి ంక కొ ని సతా వా ? నా దగగర డబబు ల లేవు .
- नहीं , इसकी जरूरत नहीं है . सच में . - अरे , नहीं . चलो भी . मैं अचछी हूँ .	- లేదు , అవసరం లేదు . నిజంగా చెప తుననా . - ఓహ , లేదు . ఇలా చూడు . నేను బాగు ననాను .
- अरे , नहीं . तो , तुम अके ले लं च करो गे , या . . . - नहीं , नहीं . . . नहीं .	- ఓహ , లేదు . నువవు , స వయ ంగా వ ండు కుంటుననా వా , లేక . . . - వదదు , మన కొ దదు , వదదు .
- हाँ . मैं संभाल ल ूँगा . - सि वा ए उसके .	- సరే . నేను అ ందుకు ననాను . - అది తపప .
खैर , मैं तुमहें अके ला छोड दे ता हूँ .	సరే , ఇక మీ నుండి సె ల వు తీసు కుంటా .
मैं अपने भाई के साथ काम करता हूँ .	అంటే , నా అనన యయ తో కలిసి పని చేసతాను .
मैं अपने दोसत ों से कहूँ गी कि वह नी ंद में ही चल ब से .	అతను ని దర లోనే చని పోయా డని నా సనే హి తు లకు చెబు తాను .
तो तुमहें कैसे पता चले गा कि कितना खाना बना ना है ?	ఎంత మంది కి భ ో జ నాలు త యా రు చేయ ాలో నీకు ఎలా తెలు సతుంది ?
तुम एक बेहद पया रे बीच ब ॉल जै सी हो .	నువవు చ కక ని బీ చ బం తి లా గా ఉననావు .
यह तुमहारे लिए है . हम सब की तरफ से .	ఇది నీ కోసం . ఇది మా అంద రి తర పు న .
किस ने क वर च ढ ा या ?	ఇది ఎవరు చు టట ా రు ?
इसका कया मतलब है ?	నీ ఉదదేశం ఏమి టి ?
कयों ? वह पुलिस वाला नहीं है . बस बी मा कं प नी से है .	ఎందుకు ? వాడు ఏమీ పోలీసు కాదు కదా . మా మూ లు బీ మా వెధవ .
- माफ करना . - गरेस !	- కషమించు . - గరేస !
हमारे पास उनकी बस यही चीज है . हम इसे कयों बे च ेंगे ?	వాళలు మాకు ఇదే మి గి ల చా రు . మేము ఎందుకు అమ ము తా ము ?
अपने नाम की खा त िर , मुझे सही रा ह पर ले जाते हैं .	ఆయన తన కీ ర తి అను సరి ంచి ననను స న మా రగ ము లో న డి పి సతా డు .
- हैलो . - मैं अन ुम ा न नहीं लगा पा ता .	- హాయ . - నేను ఇది ఊ హి ంచ లే కపో వచచు .
तुम हर करि समस पर तै र ने जाती हो ?	పరతి కరి సమ స కి మీరు ఈ త కి వెళ తా రా ?
अ का उ ंट ें ट के वे त न को देखा जाए तो .	ఒక అ క ౌ ంట ె ంట జీ తా నికి ఇది ఎకకువ .
पर तुम कै सी हो ?	కానీ ఎలా ఉననావు ?
- सभी सुनो , यह फर ै ंक है . - हैलो .	- అందరూ విన ండి , ఇ తను ఫ రా ంక . - హాయ .
उ चि त ड रि ंक पी ने .	మంచి మ ందు కోసం .
काफी शान दार है .	చాలా చ కక గా ఉంది .
सब ठीक हो जाएगा . चिंता मत करो .	అంతా బాగానే ఉంటుంది . కంగా రు పడ కు .
हाँ , तब तक उसकी जिंदगी का सबसे बेह तरी न हि ससा बी त चुका होगा .	అవును , కానీ అ పపటి కి జీవితం లో ఆ నం దా నన ంతా అ పపటి కి తను కో ల పో తుంది .
मैं बस जयादा ही चिंता करता हूँ .	నేను చాలా ఎకకువ ఆ ందో ళ న పడ తాను .
मैं अभी - अभी उन सबसे मिला . वे काफी रो च क हैं .	వాళల ంద రి నీ కలు సు కుననా అనుకుంటా . చ కక ని కుటుం బం .
तुमने उसे देखा ?	అత డిని చూశా వా ?
मेरे लिए कोई सर परा इ ज लेकर आ ना .	తిరిగి వచచి ననను ఆ శ చ రయ ప రు చు .
कृपया , मेरे लिए फ ल श कर दो गी ?	నా బ దు లు దయచేసి నీ ళలు కొ డ తా వా ?
- मैं ठीक हूँ , सच में . - नहीं .	- నేను నిజంగా బాగు ననాను . - లేదు .
गरेस नहीं आ सकती . माफ करना एक स	గరేస నా వలల కాదు . కషమి ంచాలి .
वह मर चुका है .	అతను చని పోయా డు .
तो आ मत ौर पर दो ष ी अ ंत ये ष टि में जरूर आता है .	నే రం చేసిన వారు సా ధా రణ ంగా అంత య కరి య లకు వ సతారు .
ठीक है , को ल म बो .	అలాగే , కొ ల ం బో .
हाँ . समय प ं ख लगा कर उ ड जाता है .	అవును . కాల ం గ డి చి పో తు ంటుంది .
ब रे ड प ंद रह मिनट बाद बाहर निकाल ना . वैसे भी उसे पक ने में एक घं टा लगे गा .	ఆ బ రె డ ని ప ది హే ను నిమిష ాల తరువాత తీ సే యి . దానిని గంట సే పు అలా ఉ ంచే య ాల సి ందే .
हम तुमहारे लिए बेहद खुश हैं . अगर कोई भी जरूरत हो , तो बता ना .	నీ విషయం లో మేము సంతో షి సతుననా ం . నీకు ఏం కా వ ాలా ననా అడుగు .
कया इसका मतलब है कि मैं सं दि ग ध हूँ ? कया मैं सं दि ग ध हूँ ?	దాని ఉదదేశం నేను అను మా ని తు ర ాలి ని అ నా ? నేను అను మా ని తు ర ాలి నా ?
चु प रहो . तुम यह पढ चु की हो ?	నో రు మూ యి . నువవు ఇది చ ది వా వా ?
लग भ ग मार डाल ने की भर पा ई कर ूँ ?	నినను దా దా పు చం ప బో యా ను కదా ?
तुम गाडी नहीं चला सकती . तुमने बडा गि ला स पी या था . . . तुम मजाक कर रही हो ?	నువవు డ రె వ చేయ కూడదు . నువవు పెదద గ లా సు లో . . . నీకు పరా చి క ాలు గా ఉందా ?
तुम भ द दे दिख रहे हो . पी ले पड गए हो और प सी ने से तर हो .	నువవు ఘ ో ర ంగా ఉననావు . మొ హం ప ాలి పోయి , ఒ ళల ంతా చె మ టలు ప టట ా యి .
उसे पता ही नहीं वह कया कर रहा है , और वह बेहद आ ल सी है .	వాడు ఏం చేసతుననా డో వాడి కి తెలియదు , పె గా వాడు బ దధ క పు వెధవ .
छ ह म ही ने पहले	ఆ రు నె లల కింద ట
इससे एक अचछा ऐ पि टा इ जर ब ने गा .	ఇది కూడా చ కక గా తో డ వు తుంది .
बात बस एक करि समस की नहीं है .	ఈ ఒకక కరి సమ స గురించి కాదు .
कुछ समय से तुमहारी कि सम त काफी बु री रही है .	ఈ మధయ మీకు అదభు త మెన అద ృష టం కలి స ొ చచి ంది .
कोई बात नहीं .	కంగా రు పడ క ండి .
इसलिए , अब यह हमारी समस या है .	అయితే , ఇది ఇపపుడు మన సమసయ .
- हाँ . - और गर म पा नी की बो त लें भी ले लो .	- అలాగే . - ఇంకా వే డి నీ ళల బా టి లస తీసుకో ండి .
ठीक है . यह अचछा वि चार है .	అలాగే . సరే , అది మంచి ఆలోచ న .
- तुमहारे वाले की तरह . - हाँ .	- నీ దు సతు లు లాంటి వి . - హా .
और ज ॉन प ॉल का बॉ स भी , बेशक .	ఇంకా జా న పాల య జ మా ని కూడా .
बस . . . यह बस स फ े द वा इन है .	అది . . . కేవలం తె లల వె ను .
