सा ला !	అబబా !
मुझे लगता है यह हम दोनों को पता है	అది సా ధ యం కా దని మన ఇదద రికీ తెలుసు .
मैं इसे रख सकती हूँ ?	నేను ఇది ఉ ంచుకో వచచా ?
हाँ .	సరే .
और ध ड दूसरे कम रे में मिला .	మొ ండ ెం మ రో గ ది లో దొ రి కా యి .
हो म लै ंड र ?	హో ం లా ండ ర ?
तो मेरे भी जयादा दोसत नहीं थे .	నా కూ ఎకకువ మంది సనే హి తులు లే రు .
इसे सा झा कर सकते हैं .	అది కలిసి ప ంచుకో వచచు .
फिर तो हमारी वा ट लग गई समझ ो .	మనం సరి గగా బాగా చి కకు కుంటా ం .
तुम ठीक तो हो ?	బాగానే ఉననా వా ?
कि मि को !	కి మి కో !
कि मि को !	కి మి కో !
हो म लै ंड र ?	హో ం లా ండ ర ?
हाँ .	సరే .
मुझे उस को ढूँढ ना होगा .	నేను ఆమె ను కని పెటట ాలి .
उस आत ंक वा दी को मै लो री के ह वाले किया	నేను మె ల రీ కోసం ఉ గర వా ది ని కను గొ ంటే ,
पि पि ला ंग सट ॉ कि ंग . वह नौ साल की लडकी है .	పి పప ీ లా ంగ సటా కి ంగ . తను తొ మ మి దే ళళ అమమాయి .
खा ने वाली टो करी शायद तुम हीं ने भे जी थी ?	నువవు ఆ ప ూ లతో ప ళళ బు టట పం పి ంచా వ ను కుంటా ?
आज मेरा काफी रि सा व हो रहा है . यह . . .	నాకు అ ధి క రు తు స రా వం అవు తుంది . అది . . .
या फिर तुमने उसका जि कर ही नहीं किया .	లేదా బహుశా నువ వా సంగ తి వి వరి ంచ లే దే మో .
इसे तो ते ज ग ें द फ ें क नी तक नहीं आती .	వాడు క నీ సం బం తి ని వే గ ంగా న ూ వి సర లే డు .
आज हम सू जन रे नर को अ ल वि दा कहते हैं ,	ఈ రోజు సు స న రే న ర కు వీ డ కో లు ప లు కు దాం ,
कि उसने मेरी बी वी के साथ कया किया .	బాధ పెటట ాలని భా వి ంచా డని అనుకుంటుననా .
हाँ , कर सकते हो ! तुम मेरे बे टे हो .	నువవు చేయ గల వు ! నువవు నా కొ డు కు వి .
तुमने तो अपना सू ट खो ला भी नहीं था .	నువవు ఎపపుడూ నీ సూ ట జి ప తె ర వ లేదు .
माफ करना . अब जब उसे पता चल गया है ,	కషమించు . ఇక అతనికి తెలుసు కాబటటి ,
मुझे तो यह दु र घट ना जैसा नहीं लगता .	అది పరమా ద ం లా నాకు అనిపి ంచడం లేదు .
शा इ नि ंग ला इट अन या य के साथ लड ता है .	ష ె ని ంగ లెట అన యా యానని ఎ ది రి సతుంది .
सन ' 5 6 वर लड सी री ज की एक ग ें द थी .	1 9 5 6 పరపంచ సీ రీ స లో ఆ డి న బ ాల ఉంది .
नहीं , बु चर ! नहीं ! आ राम से , बु चर .	వదదు , బు చ ర ! వదదు ! శా ంతి ంచు , బు చ ర .
बु क ऑ फ रे वे ले शन में से पढ ते हुए ,	పర క టన గ రం థ ం నుండి చ దు వు తుననాను ,
छोड ो भी , तुमहें कया फर क पडता है	నేనే ం అనుకుంటుననా నో నీకు ఎందుకు ?
तो , तुमने उसका जि कर किस से किया ?	అయితే , ఆ విషయం ఎవ రికి చెపపా వు ?
तुमहें करि स टा ल नहीं पी नी चाहिए ?	కరి సట ల తా గి ఉండ ాల సింది కా దే మో ?
वह यही कह ने की कोशिश कर रही थी .	ఆమె నాకు అదే చెపప ాలని చూ సింది .
जो कहा , उस ी को क हो पर अ ंत में	అది మళళీ చెబు తా రా , కానీ చి వర కు
वैसे , शायद यह बात गलत नहीं है .	అంటే , అది తపపు కాదు అనుకుంటా .
तुमहें बस वह दिखा ई नहीं दे ता	నేను చూ సే ది నువవు చూడ వు అంతే .
शायद मुझे लगता है कि व ॉ ट . . .	బహుశా నేను అనుకో వడం వా ట . . .
बु चर , रुको . यह उसका भाई है .	బు చ ర , ఆగు . అతను ఆమె సోద రు డు .
लड किया ँ काम पूरा करती हैं .	అమమాయి లు అది పూరతి చేసతా రు .
अचछा . अचछी बात है . ब धा ई हो .	సరే . మంచిది . శు భా భి న ంద నలు .
ऐसा सौ दा जो आज भी कार गर है	ఆ ఒ పప ంద ం ఒక స వే చ ఛ ా ప కషి లా
नहीं . मैं ऐसा नहीं कह रहा .	లేదు . నేను అలా అన డం లేదు .
जब हो म लै ंड र को पता चला था	నువవు హ యూ య ీ ని కలు సతుననా వని
लड किया ँ काम पूरा करती हैं	అమమాయి లు ఇది పూరతి చేశారు
यार , हमें बात करनी होगी .	సోద రా , మనం మాటలాడు కో వాలి .
मै लि सा डे बरा ओ स की याद है ?	మె లీ స సా డబ రో స కీ గురతు ందా ?
- मुझे भी ऐसा ही लगता है .	- నా దీ అదే భా వ న . - లె గ వదదు .
अचछा , बेटा . हम पहुँच गए .	సరే , బా బు . ఇది గో వచ చేశా ం .
मैं कुछ बात कर सकती हूँ ?	నేను ఒక సారి మాటలాడ వచచా ?
तुम मुझे फोन कर सकते हो .	నువవు నాకు ఫోన చేయ వచచు .
नहीं . पि पि ला ंग सट ॉ कि ंग .	కాదు . పి పప ీ లా ంగ సటా కి ంగ .
तुम यहाँ कया कर रही हो ?	నువ వి కకడ ే ం చేసతుననా వు ?
रुको , तुम पि यो गे नहीं ?	ఆగు , నువవు ఏమీ తా గ వా ?
के ए म ए फ टी . ड बल यू डी सी ए स .	కే ఎ ం ఎ ఫ టి . డబ ల యూ డీ సీ ఎ స
मेरे साथ खेल मत खे लो .	ననను గ ంద రగ ో ళ ం చేయ ొ దదు .
मेरे पिता थे ही नहीं .	నాకు ఎపపుడూ నానన లే డు .
नहीं , यह बात सच नहीं .	లేదు , అది నిజం కాదు .
वह हमारी मदद करें गी .	మన కా మె సాయం చే సతుంది .
मैं कहीं नहीं जा ऊँगा .	నేను ఎ కకడి కీ వెళళ ను .
मैं मदद माँ ग रहा हूँ .	నేను వే డు కుంటుననా ను .
बहुत अचछे , मेरी जान .	సరే , అభి న ంద నలు , పరే మ .
तुम इतने खू बस ू रत हो	నువవు చాలా అంద గా డి వి
तुम इतने खू बस ू रत हो	నువవు చాలా అంద గా డి వి
तुम इतने खू बस ू रत हो	నువవు చాలా అంద గా డి వి
ऐसा लगा कि तुमने अपने जू ते में कुछ डा ला .	నువవు ఏదో బ ూ ట లో పె టటి న టటు అనిపి ంచింది .
तुम हमें और चु प नहीं करा सकते , के वि न .	ఇక మీద ట నువవు మా నో రు మూ యి ంచ లేవు , కె విన .
अरे , बा प रे , तुम लोग तो कि सम त वाले हो	దేవుడా , నేను రా వడం మీ వెధ వల అద ృష టం కదా ?
अचछा . बै क ग रा उ ंड फिर से री से ट करते हुए .	సరే . ఒక రి చో టు ను తిరిగి సర దు తుననా ము .
तुम कया कह रही हो ?	నువవే ం చెబు తుననావు ?
तुम मुझे अभी यह सब कयों बता रही हो ?	నువ వి ది నా కి పపుడు ఎందుకు చెబు తుననావు ?
बु चर , अगर तुम . . .	బు చ ర , ఒక వే ళ నువవు
ताकि हम अपने अस ली काम पर लग सक ें .	అపపుడు మనం మన అస లెన పని చేసుకో వచచు .
मुझे तुमसे और कोई बात नहीं करनी .	నేను మీకు చెపప ాల సింది ఇం కే మీ లేదు .
शायद . इसके बद ले में मुझे कया दो गी ?	ఉ ంచుకో వచచే మో . బ దు లు గా ఏం ఇ సతా వు ?
तुमहारा सवागत है .	నీ కోసం ఎ లల పపుడు .
कि द से वे न में दोबारा जगह मिले गी ?	సవా గ తి ంచ ాలని ఎలా అనుకుంటుననా వు ?
कया ? मैं यह बिलकुल भी नहीं . . .	ఏంటి ? నేను అసలు అలా ంటి దానని కాదు
लो , तुमहारे लिए न म ू ना ला या हूँ .	ఇది గో , నేను నీ కోసం న మూ నా తె చచా ను .
सट ॉर म फर ंट , इ ध र !	సటా ర మ ఫర ంట , ఇకకడ !
और न ही माँ थीं .	లేదా అమమా లేదు .
नहीं हो नी चाहिए .	అది న ొ పప ి భా వ న .
कया ? व ॉ ट कया है ?	ఏంటి ? వా ట ఏంటి ?
मैंने ही तुमहें यह सि खा या था .	వా సత వా నికి ఇది నేను నే ర పి ంచా ను .
जो कुछ उसने मुझसे करवा या . . .	అతను నా చే త చేయి ంచిన ప ను లు . . .
उस रात जब तुम गा य ब हो गई . . .	నువవు ఆ రాతరి మా య మ యి నపపుడు . . .
अचछा . शुकरिया .	సరే , ధనయవాదాలు .
अ मरी का को बचा ना	అ మె రి కా కు ర కష ణ
मुझे माफ करना .	ననను కషమి ంచండి .
कया ? कुछ नहीं .	ఏంటి ? ఏమీ లేదు .
मैंने उसे जो कुछ करते देखा है ,	నేను చూ సిన అతను చేసిన ప ను లు ,
रुको , नहीं थे ?	ఆగు , నీకు లే రా ?
हाँ . ग ण ित , हाँ . माफ करना , मैं भूल गया था .	సరే . గ ణి తం . అవును . ననను కషమించు , మర చి పోయా ను .
सट ॉर म फर ंट , जरा अपना दम दिखा ओ .	సటా ర మ ఫర ంట , నీ శ కతి చూపి ంచు .
मैं बो र हो कर आगे नहीं बढ ूँगा .	నేను వి సు గు చె ంది వెళళి పో ను .
तुम हमारे साथ खेल खेल रहे हो ?	నువవు మా తో హా సయ మా డు తుననా వా ?
कि पू रे का पूरा सक ूल , बच चों स मे त ढ ह गया ?	ఒక స కూ ల మొతత ం అందు లో పిలల లతో నే ల మ టట ం అయి నా ?
मुझे माफ करना .	ననను కషమించు .
पलीज , शा ंत हो जा इए . फिर से शुरू करेंगे .	దయచేసి ని శ శ బ ద ం . మళళీ పరా రం భ ం . ఘ ంట మో గ గానే .
मुझे यह पु त ला और कहाँ मिल ता ?	ఈ బ ొ మమ ను ఇం కె కకడ పొ ంద గలను ?
माफ करना , ए शी .	కషమించు , ఆ ష ీ .
शुकरिया . बा य .	ధనయవాదాలు . బె .
सच तो यह है कि	నిజం ఏమి ట ంటే ,
उसके साथ एक छो टा सा लड का था ,	ఆమె తో ఒక చినన బా బు ఉననాడు ,
और तुम अपनी बे टि यों के पास वापस जा पा ओ गे .	నినను నీ భా ర యా బి డ డ ల చె ంత కు చే రు సతుంది .
ए . मुझे बाहर निका लो , यार .	హే . హే . ననను బయటకు రా నివ వు .
- तुमहारा फिर से सवागत है .	- తిరిగి సవా గ తం . - ధనయవాదాలు .
अगर यह सच है , तो फिर हम दोनों श ै ता न हैं .	అదే నిజ మ యి తే , ఇపపుడు మని దద రం దు ష టు ల ం .
किसी और को ? कोई गर ल फर ें ड या फिर . . .	ఇం కె వరి కె నా ? ఎవరెనా గర ల ఫ రెండ , లేదా . . .
उस जै सी लडकी के साथ तुम खुश रह सकते थे .	అలా ంటి అమమాయి తో సంతోష ంగా ఉండే వాడి వి .
हम भगवान हैं .	మనం దేవు ళళ ం .
शा इ नि ंग ला इट लि ब रे शन आर मी ?	ష ె ని ంగ లెట లి బ రే షన ఆర మీ ?
ठीक है . कोशिश करके देख लो .	కా నివ వు . పరయతని ంచి చూడు .
और इसमें मुझे तुमहारी मदद की जरूरत है .	అది చేయ డానికి నాకు మీ సహా యం కావాలి .
यह तुमहारे पास कयों है ?	దీని తో నువవే ం చేసతుననా వు ?
वैसे तो , मैंने इसे वापस बुला या है .	నిజ ానికి , నేను అతని ని ర మమ ని పి లి చా ను .
य ी शु के नाम में . आ मी न .	దేవు ని సతు తి ంచు డి . ఆమె న .
रे नर को ब डे अचछे लग ते .	రే న ర కు అది న చచి ఉంటుంది .
समझ रही हो ?	నీకు తెలుసా ?
और रात भर , वह मुझसे बातें करता रहा .	నాతో రాత రం తా మాటలాడు తూ నే ఉననాడు .
कि खुद के परिवार से मिलने से जयादा ,	ఆమె కుటుం బం ఎకకువ ని చెబు తుననా రా ?
शा इ नि ंग ला इट ने मुझे यहाँ भे जा है .	ష ె ని ంగ లెట ననను ఇకకడ కు పం పి ంది .
उनहोंने हमारे माँ - बा प को मार डा ला !	వాళళు మన తల లి ద ండ రు లను చం పే శా రు !
या फिर हम घर जा सकते हैं . वापस अपने गा ँ व .	లేదా మనం ఇంటికి వెళళి పో వచచు . తిరిగి మన ఊ రికి .
अचछा , रा यन ,	సరే , రా యన ,
यही वह पल है . लड किया ँ काम पूरा करती हैं !	ఇది ఆ తరు ణం . అమమాయి లు అది చేయాలి ! నువవు . . .
हैलो , गरेस .	హలో , గరేస .
अचछा . हाँ .	సరే . అవును .
अभी कर न ल के साथ मेरी मु ला का त हुई .	కల న లను ఇ పపుడే కలిసి వ సతుననాను .
हैलो , रा यन . कैसे हो ?	హాయ , రా యన . ఎలా ఉననావు ?
गाडी में जाकर बैठ िए .	వెళళి కారు లో కూ రచ ో ండి .
मैं तुमहारी ना राज गी समझ सकता हूँ .	ఇది ని రా శ కలి గి ంచి ందని తెలుసు .
बाकी सब , मेरे साथ चलो .	త కకి న వారు నాతో రండి .
जब तुम . . .	నువవు . . .
अ मरी की लोग .	అ మె రిక నలు .
ह ल का सा फर क है , पर है तो सही .	సూ కష మ మెన దే కానీ ముఖ య మెన వయ త యా సం .
अगर तुमने यह किया तो ,	ఒక వే ళ నువ వ లా చే సతే ,
मेरा पिछ वा डा साफ दिखा ई दे ता है .	నా న డు ము పరతి మ డ తను చూడ గల రు .
अरे , रा यन , चलो . ग ण ित का वकत हो गया , बेटा .	హే , రా యన , ఇక రా . గ ణి తం చేయ ాల సిన సమయం .
कयोंकि फिर तो अब तक मैं मर चु की होती .	అలా అయితే ఇ పపటి కే నేను చని పోయి ఉండే దానని .
मुझ पर जो बी ती है ,	నేను ఎదు ర కునన దానికి
खू बस ू रत हो	అంద గా డి వి
कि से . . . कि से इतने पयार से	ఎవ రికి . . . ఆ శ ృ ంగా ర స ందే శ ాలు ?
फिर तो , यह अचछी बात है कि मैं यहाँ हूँ .	అయితే , నేను ఇకకడ కు రా వడం మంచి ద ె ంది .
छोड िए भी , गरेस . आपको सच में लगता है	ఊ రు కో , గరేస . నే న ది చేశా నని నమ ము తుననా వా ?
और उनहें पता था कि वह तुम पर अ सर दार थी ,	అది నీ పె పని చేసి ందని వాళళ కు తెలుసు ,
चु प हो जाओ , घट िया कहीं के .	నో రు మూ సుకో ండి , ద రి దర పు మొ హ ాలు .
हे भगवान . माफ करना .	అయ యో , ఛ . కషమించు .
हम सु पर आत ंक वा दी को उनके ह वाले करेंगे ,	మనం ఆమె కు సూ ప ఉ గర వా ది ని ప టటి సతా ము ,
अब गा ँ व नहीं रहा .	అకకడ ఇక ఊ రే మీ లేదు .
कोई . . . कोई भी जवाब सही या गलत नहीं होता .	లేదు . . . తపపు లేదా ఒ పపు జ వా బు లాంటి ది ఏం లేదు .
जो हो म लै ंड र का हम श कल लगा .	హో ం లా ండ ర నో ట లో ంచి ఊ డి పడ డా డు .
मुझे तुमहें ढूँढ ना चाहिए था .	నేను నినను కను గొ నా ల సింది .
अचछा , लड कि यो , आज बहुत बडा दिन है .	సరే , అమమాయి లు , మన ము ఈ రోజు చాలా బి జీ .
मतलब , व ॉ ट इस बात को द बा कर खुश है , पर . . .	వా ట అది క పప ి పు చ చే ందుకు సిదధ ంగా ఉంది , కానీ . . .
मेरे लिए	నాకు మ టు కు
- तुमने कोई मा इ करो फोन व ग ै रह लगा या हुआ है ?	- నువవు మె క రో ఫోన లాంటి ది పెటటు కుననా వా ? - అదే ంటి
तुम मुझे नहीं जानती . मैं बि का ऊ नहीं हूँ .	నీకు నేను తెలియదు . నేను అమ ము డు పో యే దానని కాదు .
आ राम से !	శా ంతి ంచు !
आ राम से .	నె మమ ది గా .
तुम ठीक कहते हो . मुझे माफ करना .	నువవు సరి గగా చెపపా వు . ననను కషమించు .
कयोंकि तुम वही करते हो .	ఎందుకంటే నువవు చేసే ది అదే .
धत तेरी ! डॉ . पार क ! अभी !	అబబా , ఛ ! డా . పార క ! ఇ పపుడే !
कया तुम मुझसे यह कह रहे हो	మీ కుటుం బా నని కల వడం కంటే
मैं आपको सच बात बता ता हूँ , ठीक है ?	నీ తో నిజ ా యి తీ గా ఉంటా ను , సరేనా ?
उनहोंने मुझे . . .	వాళళు ననను . . .
- किसी सं पर क सू तर से मिलने जा रहा हूँ .	- పరి చ య సతు లను కల వడానికి వెళ ు తుననాను . - ఎవరు ?
हाँ , फिर भी डॉ क टर से मिल ना चाहती हूँ .	సరే , అయి నా నేను డా క టర ను కల వాల ను కుంటుననా ను .
शायद दा दा जी और दा दी अभी भी जि ंदा हों .	బహుశా అమమ మ మా తా త యయ లు ఇంకా బర తి కే ఉననా రే మో .
मुझे बाहर निका लो ! ई गल !	ననను బయటకు రా నివ వు ! ఈ గి ల !
जरा देखो . ठीक से देखो .	ఒక సారి చూడు . నిజంగా చూడు .
पर कि मि को हम में से एक है .	కానీ కి మి కొ మన లో ఒక రు .
हमें प लट कर मु का ब ला करना होगा .	మనం తిరిగి పో రా డ ాలి . నాతో పో రా డు !
लड किया ँ बेहतर ही रो होती हैं कया ?	అమమాయి లు మంచి హ ీ రో లు కా గల రా ?
लड किया ँ बेहतर ही रो होती हैं कया ?	అమమాయి లు మంచి హ ీ రో లు కా గల రా ?
बिलकुल .	పూరతి గా .
दरवा जा खो लो . अब दरवा जा खो लो !	తలు పు తె రు వు . చెతత తలు పు తె రు వు !
तुम किसी को कुछ नहीं बताओ गे .	నువవు ఎవ రికీ ఏమీ చెపప బో వడం లేదు .
उस हि सा ब से , तुमहें मुझ को भ गा देना चाहिए ,	మీకు ననను వెళళి పొ మమ నే హ కకు ఉంది , అయి నా గా నీ . . .
आपको यह नहीं पता . नहीं पता .	అది మీకు తెలియదు . మీకు తెలియదు .
अचछा , वाह . अचछी बात है .	అవునా . చాలా బాగుంది .
अके ली घर में रह ती थी ? पा लत ू बंद र ?	ఒ ంట రి గా ఒక ఇంట లో ఉండే ది ? పె ంపు డు కో తి ?
कयोंकि तुमहारा उससे टा ँ का भ ि डा हुआ है .	నువవు ఆమె ను ఇష ట పడు తుననావు కాబటటి .
तुम यहाँ कया कर रहे हो ? निक लो यहाँ से !	నువవు ఇకకడ ే ం చేసతుననా వు ? వెళళి పో !
जो इस कमी ने सु पर आत ंक वा दी को ढूँढ ने में	ఈ వెధవ సూ ప ఉ గర వా ది ని కను గొ న డం లో స హాయ పడ ే వాళళు .
ओह , यह मेरा है .	ఓహ , అది నా ది .
देखो , रा यन , कभी - कभी बहुत मुशकिल होता है	చూడు , కొనని సా రలు , అది కష ట తర ంగా ఉంటుంది , రా యన ,
मुझे माफ कर दो .	ననను కషమించు .
तक ली फ हुई थी ?	అది బా ధి ంచి ందా ?
मुझे माफ कर दो .	ననను కషమించు .
तुम भी मेरे साथ ही ड ू बो गी .	నాతో నినను కూడా నా శ నం చేసతాను ,
तुमहें सू जन की कभी कोई पर वाह नहीं थी .	నువ వె పపుడ ూ సూ స నను ప టటి ంచుకో లేదు .
तुमहारा मन पसंद है . मैं अभी आई , ठीक है ?	అది నీ కి షట మెన ది . ఒకక నిమిష ంలో వ సతాను , సరేనా ?
मुझे बाहर निका लो , यार !	ననను బయటకు రా నివ వు !
कार या त म क रूप से अस ति त वही न है .	కరి యా తమ కంగా ఉ నికి లో లేదు .
नहीं , डी प , यह स फर तुमहारा है .	లేదు , డీ ప , ఇది నీ పర యా ణం .
तुमने बहुत अचछा काम किया .	అనుకుంటుననా రని నీకు తెలియ ాలి .
नहीं , मतलब , मैं तुमसे स हम त हूँ .	లేదు , నువవు చెపపి న దానికి స మమ తి సతాను .
मुझसे कहा गया था कि मुझे दोबारा	నేను అతని ని ఇక తిరిగి ఎపపుడూ చూడ నని ,
जो अन या य का साम ना नहीं कर पा ते ,	వారు మ ౌ న ంగా జ నా నికి అ ండ గా ని లు సతారు .
हाँ , अग ली बार पक ड ल ूँगा .	అవును , తరువాత ది పటటు కుంటా ను .
अ द भ ु त .	అదభు తం .
बिलकुल नहीं .	ఖచచితంగా వదదు .
जरा बताओ कि लड कि यों के लिए यह आ जा दी ,	ఈ అమమాయి శ కతి ని పొ ంద డం ఎంత సర దా నో చెపప ండి .
" भा ड में जाए , मुझे यह चाहिए . "	" అది వదిలే య , నాకు అది కావాల సి ందే . "
हाँ , फर ें ची .	అవును , ఫ రె ంచ ీ .
तुम मुझे कुछ खिला ने के लिए ले जा सकती हो .	ననను డి నన ర కు బయటకు తీసు కె ళళ ని సతాను .
कयोंकि हम वही तो हैं , रा यन .	ఎందుకంటే మనం అదే , రా యన .
तुम अभी भी मेरे भाई हो .	అయి నా నువ వి ం కా నా తమ ము డి వే .
यहाँ . एक नजर इ ध र भी देखो . खू बस ू रत !	ఇ టు . మమ మ లని ఒక ఫో టో తీసుకో నివ వు . మన ో హ రి !
मुझे भी परिवार के काम से जाना है .	నా దీ కుటుం బ అత య వ సర పరిసథి తి .
हैलो ! ए - ट रे न पहुँच गया ! कया हा ल - चा ल है ?	హే ! ఇది గో ండి వచ చేశా డు ఏ ట రె యి న ! ఏంటి వి శ ే ష ాలు ?
मैं आप से वापस आने को नहीं कह रहा ,	నేను నినను పూరతి గా అందు లో చే ర మన డం లేదు ,
पुलिस हमारा पी छा करना बंद कर दे गी	పోలీసు లు మన లని పర ీ శ ీ లి ంచ కుండా చే సతుంది ,
और भगवान को	ఇంకా దేవు ళళ కు
और अब , तुम और मैं . . .	ఇక ఇపపుడు , నువ వ ూ నే న ూ . . .
कि उसे बे सब ॉल के खेल पर जाना है ,	రా యన బ ే స బ ాల ఆట కు వెళళ ాల ంటే ?
आपको हमारी हि फा ज त करनी होगी . आपको . . .	మీరు మమ మ లని ర కషి ంచాలి . మీరు . . .
तुम गलत समझ रही हो .	నువవు పొ ర బడ డా వు .
तुमहें मार डाल ूँगा .	నినను చం పే సతాను .
सुनो , मैं बस इतना कहना चाहती थी	హే , నేను ఇది చెపపి తీ ర ాలి ,
बद मा श बन ना है तो बन ो , जो मन चाह े करो ,	ద వే ష ప ూ రి తంగా ఉండ ాలను కు ంటే ఉ ండు ,
उन में से एक ने तो ह ड डी भी तो ड दी थी .	నిజ ానికి అందు లో ఒకటి ఎ ము కను ము కక లు చేసి ంది .
मुझे कुछ समझ नहीं आ रहा .	నాకు అరథం కా వడం లేదు .
सबसे पहले यहाँ पर देख िए , ड बल यू ए फ ए के .	ఇకకడ ే మొద ట చూడ ండి , డబ ల యూ ఎ ఫ ఏ కే .
एक दिन जब रा यन क हे गा	ఏం జరుగు తుంది , ఏదో రోజు ,
बे क का जि ंदा है .	బె క కా బర తి కే ఉంది .
हाँ , अचछा . अचछी बात है .	సరే , అలాగే . మంచిది .
मर जाने का मन किया .	నేను చని పో దా మను కుననాను .
अचछा , आज तक का सबसे बडा सु पर ही रो कौन है ?	సరే , ఎ పపటి కీ ఎవరు గొపప సూ పర హ ీ రో ?
मुझ पर छोड दी जिए .	అది నా కొ ది లే య .
हमें कैसे पता कि तुम सच कह रहे हो ?	నువవు చెపపే ది నిజం అని ఏంటి ?
व ॉ ट का तुमसे बडा न ुम ा इं दा तो	నువవు మొతత ం వా ట పరతి ని ధి లా ఉననావు .
अगर आत ंक वा दी पर इसका अ सर न हुआ तो ?	ఇది ఉ గర వా ది మీద పని చేయ కపోతే ?
यह हो कया रहा है ?	ఏం జరుగు తోంది ?
देखो , मैं बहुत ही पयार से कह रही हूँ ,	చూడు , నేను సా ధయ మెన ంత మంచి గా చెబు తుననాను , కానీ
मैं तुमहारी माँ को फोन कर ूँ ?	మీ అమమ కు ఫోన చేయ మ ంటా వా ?
. . . वि लि य म बु चर के लिए , अलग - अलग राज यों में	. . . బహు ళ రా ష టర అన వే ష ణ పరా రం భి ంచారు ,
बे क का , हमारे बीच त य हुआ था .	బె క కా , మనం ఒక ఒ పప ంద ం చేసు కుననా ము .
और उसे वहाँ से बाहर निकाल ना होगा .	అకకడ నుండి ఆమె ను బయట పడ ే య ాలి .
ऐसा कयों ?	అలా ఎందుకు ?
कया लगता है , उसे कैसा लगे गा	నువవు వాడి తో జీవి తా ంత ం
सं वाद अनु वाद क पर वी न कौ र शो म	స బ టె టి ల అను వాద కర త సమ త
दो दिन बाद , उसके द फ तर में आ ग लग गई .	రెండు రోజు లకు , అతని ఆ ఫీ సు లో మ ంట ల ంటు కుననా యి .
तुम ब जाते हो ?	నువవు వా యి సతా వా ?
तुम वह सब हो जिस की मुझे जरूरत है	నాకు కావాల సిన ది అంతా నువవే
तुम वह सब हो जिस की मुझे जरूरत है	నాకు కావాల సిన ది అంతా నువవే
तुम मेरे घर से द फा हो जाओ .	నువవు నా ఇంటి నుండి బయటకు న డ వాలి .
मैं कोई दूस रा रा सता निकाल ल ूँगा .	నేను మ రో మా రగ ం కను గొ ంటా ను .
इसलिए वे समझ गए कि मुझ पर भी अ सर करे गी .	అందుకే అది నా పె నా పని చే సతు ందని వాళళు కను గొ ననా రు .
मैं हर रात उसके लिए परा र थ ना करती हूँ .	పరతి రాతరి ఆయన కోసం పరా రథ ి సతాను .
मैं ऐसा नहीं कर सकता .	నేను అది చేయ లేను .
बस उसे भ ड का ना मत .	అతని ని శా ంత ంగా ఉండ నీ .
आप अके ले रह जाते हैं .	అది వే రు గా ఉండ డం .
तुमने ठीक कहा था .	నువవు సరి గగా చెపపా వు .
तुमहारी गलती नहीं है .	అది నీ తపపు కాదు .
तुमहारी गलती नहीं है .	అది నీ తపపు కాదు .
उसे तक ली फ हुई थी ?	ఆమె బాధ అను భ వి ంచి ందా ?
तुमहें पयार का ह क है .	నీకు పరే మ పొ ందే అర హ త ఉంది .
मुझे अपना हाथ पक डा ओ . अचछा .	నీ చేయి అ ంది ంచు . సరే .
कयोंकि वह मुझ पर ह ँ सी थी .	ఎందుకంటే ఆమె ననను పరి హ సి ంచింది .
वह चीज जिस के बिना जि ंदा नहीं रह सकता ?	ననను నేను అది లే కుండా ఊ హి ంచుకో లేని ది ? నా పరతి భ
पे न ? कुछ भी .	పె న ? ఏదెనా సరే .
पी ला	య ె లలో
