पै ट !	పా ట !
सर , मु सत फा डे मि र कम रा सं खया चार में है .	సర , మొ సతా ఫా డె మీ ర నా ల గ వ గ ది లో ఉననాడు .
उसने पू रे इं टर ने ट पर इसे रि लीज कर दिया .	తను దీ నన ంత టి నీ ఇంట ర నె ట లో పెటట ే సింది .
- यह कया है ? - इसे हि ं सा करके ख री द दा री करना कहते हैं .	- ఏంటి ది ? - హి ం స ను ఉ ప యో గి ంచి దు కా ణ ాల లో దో చు కో వడం అంటా రు .
और सी पी ए स चाहता है कि उनहें बिना मे ह न त किए सब कुछ मिले .	మ రో వెపు సి పి ఎ స కి ఏ మో అంతా వ డ డి ంచిన వి సత రి లా కావాలి .
यह केवल तुम जानते हो . शायद , केवल तुम और तुमहारे डै ड ?	అది మీకు మాతరమే తెలుసు . మీ కూ , మీ నానన గా రికి మాతరమే ఏ మో ?
- ट मा टर मत डाल ना . - ट मा टर न डाल ूँ ?	- ట ొ మాట ో లు వే య వదదు . - ట ొ మాట ో లు వ ద దా ?
नहीं . बिलकुल नहीं .	వదదు . అస స లు వదదు .
वह करी बी माम ला था .	కొంచ ె ంలో పోయింది .
तुमहें भ ू ख लगी है ?	నీకు ఆ కలి గా ఉందా ?
मेरे मु व क किल के वि रु द ध घ रे लू हि ं सा	గ ృ హ హి ం స జరిగి న టటు ఏ రి కార డు లూ లేవు ,
सर , अंदर जाने से पहले , मैंने कार डो ना से बात की थी .	సర , మనం లోప లి కి వెళ లే ముందు నేను కార డో నాతో మాటలా డా ను .
- क ंट रो ल अ ल फा बरा वो एक के लिए . - धत . मुझे मिनट दो !	- క ంట రో ల నుండి ఆ ల ఫా బ రా వో వ న కి . - అబబా . ఆ గె హే నువవు !
और उसे देख िए , उसकी जिंदगी को देख िए .	త నని చూడ ండి , తన జీవి తా నని చూడ ండి .
इस बारे में सोच ो .	ఒక సారి ఆలోచి ంచు .
इन चीज ों को लेकर जो तुम कहते हो .	నువవు అనే కొనని మాట లు ఉననాయి చూడు !
यह ली जिए . देख िए .	ఇ దు గో ండి . చూడ ండి .
ए र ॉल , मेरा बेटा ,	నా కొ డు కు , ఎ ర ర ొ ల ,
मुझे याद नहीं है .	నాకు గురతు లేదు .
पर पै ट रिक ने मुझे यह नहीं बताया .	కానీ పా ట రిక నాకు అలా ఏమీ చెపప లేదు .
हम यहाँ ड यू टी पर नहीं हैं , इसलिए कृपया , ई श वर को इसमें मत घ सी टो .	మనం ఇకకడ డ యూ టీ లో భా గ ంగా లే ము . కాబటటి దేవు డిని మధయ లోకి తీసుకు రా వదదు .
इसका यह मतलब नहीं कि उसने उसे छु रा घ ों पा , है न ?	ఆ ఒకక దానని బ టటే అత నే ఆమె ని పొ డి చా డని చెపప లే ం కదా ?
तो तुमहें दि खे गा कि तुम एक क ठ ि न स थि ति में फ ँ से हो .	మీరు చాలా కలి షట పరిసథి తి లో ఉననా రని అరథ మ వు తుంది .
बढिया है . सुन कर खुशी हुई . " वह मैं नहीं था . मैं चो र नहीं हूँ . "	హ మమ యయ . ఈ మాట వి ననా క హా యి గా ఉంది . " నేను కాదు . నేనే మీ దొ ంగ ని కాదు . "
और फिर , उसके तीन हफ ते बाद . . .	అది జరిగి న మూ డు వా రాల తరవాత . . .
तो फिर , तुमहें वह पसंद है , ली सा ?	అయితే , నీకు అది న చచి ందా , లీ సా ?
नौ बार उसे रो क कर उसकी त ला शी ली गई थी . नौ बार .	అత డిని తొ మ మి ది సా రలు ఆ పి , వె తి కారు . తొ మ మి ది సా రలు .
मैं उस ी आदमी से मिला था . मैंने उस ी से बात की थी .	కానీ అత డి నే నేను కలి శా ను . అతని తో నే మాటలా డా ను .
यह करना बंद करो .	అలా మాటలాడ క ండి .
तुमहें उसे खाना खिला ना होगा . और तुम उसके लिए जि म मे दार हो . है न ?	నువవే దానికి ఆ హా రం పెటట ాలి . దాని బాధ యత అంతా నీ దే . అరథ మె ందా ?
तुम जो भी फै सला लो . बस इतना ही .	నిరణ యం నీ చే తు లలో ఉంది . అంతే .
च ौ बी स घं टे पहले जैसा था , उससे काफी बेहतर है . उसे हो श आ गया है .	ఇ ర వె నాలు గు గంట ల ముందు కంటే ఇపపుడు పర వాలేదు . సప ృ హ వచచింది .
हाँ . मैं उसे खुश नहीं कहूँ गा .	హా . సంతోష ంగా ఉ ందని నేను అ నను లే .
हाँ , मैं . . . हाँ , मैं अभी उसे ही देख रहा हूँ .	హా , నేను . . . నేను ఇపపుడు దా న నే చూ సతుననాను .
अ ँ ग ूठ ी कहाँ है ?	మరి ఉ ంగ రం ఏ ది ?
मुझे मेरा फोन नहीं मिल रहा है . मुझे बस फ लै ट में ढूँढ ना होगा .	నా ఫోన కనిపి ంచ ట లేదు . ఫ లా టు లో మర చి పోయా నే మో చూ ద దా మని వచచా .
शा बा श . धनयवाद .	హ మమ యయ . థ యా ంక యూ .
तुमने उसके ग ले में छु रा घ ों पा ?	క తతి తో ఆమె గొ ం తు లో పొ డి చా రా ?
गवा ही , ब यान चाहिए कि ए र ॉल उस फ लै ट में था .	ఆ వయకతి నుండి నాకు సా కషి వా ంగ మూ ల ం తీసుకో ండి .
चलो पता करें , पूछ ता छ करें अगर किसी को भी फ लै ट से निकल ते देखा गया है .	ట రే స చేయ ండి , ఆ ఫ లా ట బయటకు ఎవరెనా వచచి న టటు తెలి సతే , వాళ లని ఇంట ర వయ ూ చేయ ండి .
शायद कई रात ों में से एक का .	అలా ంటి వి చాలా నే జరిగి ఉంటా యి .
मैं आ लो च ना नहीं कर रहा हूँ .	నేనే మీ మిమమలని వి మర శి ంచ ట లేదు .
- ठीक है , चलो चल ें . - ठीक है .	- సరే . వెళ దాం పద ండి . - సరే .
कोई भी तुमहें वह याद मि टा ना चाह ने के लिए दो ष नहीं दे सकता .	ఆ జ ఞ ా ప కా నని నువవు దూ రం చేసుకో వాల ను కో వడం లో ఏ తపప ూ లేదు .
वह चीजें जो बस समझ ी जाती हैं .	అవి మన కి అరథ మె పో తా యి , అంతే .
- सामने देख ते रहो , मेरी तरफ . - पै ट . चलो भी .	- ము ందుకు నన నే చూ సతూ ఉండ ండి . - పా ట . లే య .
उन सभी को बुरा इंसान बना द ें . यही सं देश है ?	అంద రి నీ చె డ డ వారి గా చూ ప ాలి . అదే నా స ందే శం ?
हाँ . उसके पू रे श री र पर पी डि त का ख ून लगा था .	అవును . అతని మీద చని పోయి న మ హి ళ రక తం ఉంది .
- कु त ता ? - हाँ , इससे सब ठीक हो जाएगा , है न ?	- కు కక నా ? - హా , దాని తో తను బా గె పో యే టట టు !
मेरी तरफ देखो . सामने देखो .	ననను చూడ ండి . ము ందుకు చూడ ండి .
- मेरी तरफ देखो . - पै ट , उ ठ ो .	- ననను చూడ ండి . - పా ట , లే య .
- पै टी ! - इसे ह थ क ड ियाँ लगा ओ .	- ప యా టీ ! - సం కె ళలు వే య ండి .
- हाँ . - " मु सत फा डे मि र " नाम क एक आदमी से .	- మాటలా డా ను . - " మొ సతా ఫా డె మీ ర " అనే వయకతి తో .
मु सत फा डे मि र .	మొ సతా ఫా డె మీ ర .
कोई बात नहीं ,	ఏం పర వాలేదు లే ,
लगता है वह दरवा जा तो ड कर अंदर घु स ने की कोशिश कर रहा है !	అతను తలు పు ను బ దద లు కొ టట డానికి పరయతని సతునన టటు ననా డు !
तो फिर , बढिया है , समय बी त रहा है . हमारे पास करी ब सा त घं टे हैं .	సూ పర , అయితే సమయం మి ంచి పో తోంది . మన కి ఇంకా ఏ డు గంట ల సమయం మాతరమే ఉంది .
अब तुम " कु त त ों की भा ष ा " बोल ने लगी हो ?	ఇపపుడు " కు కక భా ష " మాటలాడు తుననావు అనన మాట .
- हाँ . - इ वे ट तुमहें दरवा जे तक छोड आए गी .	- హా . - ఇ వె ట మీ ఇంటి దా కా ది ంపు తుంది .
तुम बस उसके डै ड थे , ए ह ? वही , सा मान य डै ड .	మీరు అతనికి నానన అనన మాట . మా మూ లు నానన .
- मैं रि पो रट देख सकता हूँ ? - हाँ , बेशक .	- ఆ రి పో ర ట నేను చూడ వచచా ? - తపప కుండా .
हैलो , पै ट रिक .	హాయ , పా ట రిక .
एक रात को . . . उनके बीच झ ग डा हुआ था .	ఒక రోజు రాతరి వే ళ . . . ఇదద రూ గొ డ వ పడ డా రు .
पड ो सि यों ने पुलिस को कोई ह ं गा मा होने की सू च ना दी थी .	ఏదో గొ డ వ జరుగు తో ందని పొ రుగు వారు మాకు కాల చేశారు .
तुमहारे सा झा आ वास , 6 1 6 मै नि न घ म फ लै ट स में ला श पा ई गई	మీ రి దద రూ ఉండే ని వా సం అయి న 6 1 6 , మా ని ంగ మ ఫ లా ట స లో
- वह मैं नहीं था ! - मुझे लगा था तुमहें याद नहीं है .	- కానీ అది నేను కాదు ! - మీకు గురతు లేదు అననా రే .
मुझे बस लगा कि शायद तुमहें पै ट रिक की फि कर होगी .	పా ట రిక విషయం లో నువవు ఆ ందో ళ న గా ఉననా వే మో అనిపి ంచింది .
तुमहारा व की ल तुमहारे साथ होगा . हर समय .	మీ లా య రు ఆ సమ య మ ంతా మీ ప కక నే ఉంటా రు .
साफ है कि उसे अ श वे त पु रु ष पसंद थे .	తన కి న లల వాళల ంటే ఇష ట మని తెలి సి పో తోంది .
तो , शुरू करने से पहले मेरे मु व क किल ने	వి చా రణ పరా రం భి ంచే ముందు , నా కల యి ంట
तो , मैंने सब ूत देख े , ऐसा नहीं है कि तुमहें किसी और की रा य की जरूरत है . . .	నేను కూడా ఆ ధా ర ాలని పరి శ ీ లి ంచా ను , నీకు నా అభి పరా యం చెపప ాలని కాదు . . .
- ना ई की दु कान वाला आदमी . - हाँ , हमने श री डे मि र से बात की थी .	- బా ర బర షా పు లో ని వయకతి ని . - హా , మిసటర డె మీ ర తో మాటలా డా ం .
छे द में से .	రం ధ రం గు ండా .
हाँ . वह ठीक हो रहा है .	హా . అతను కో లు కుంటుననా డు .
यह सब उसके लिए बेहद मा य ने रख ता होगा .	ఇ దంతా తన కి చాలా ముఖ యం అయ యు ంటుంది .
मैंने तुमहें अपने दिल की बात बता ई	నా మన స సు లో ఉనన దంతా మీ తో ప ంచు కుననాను ,
आपने कल भी यही कहा था . और पर स ों भी .	ని నన కూడా అదే అననా వు . మొ నన కూడా .
- बहुत - बहुत धनयवाद . - कोई बात नहीं .	- చాలా చాలా థ యా ంక స . - ఏం పర లేదు .
ठीक है , तुम जा सकते हो .	ఇక నువవు బయ లు దే ర వచచు .
- बस बोल ना चाहता था कि अगर तुमहें कुछ चाहिए . . . - ऑ म ले ट ?	- ఇం కో విషయం ఏంట ంటే , నీ కే మెనా కావాల ంటే . . . - ఆ మ లెట ?
और तुमहें मेरी गर ल फर ें ड की कोई पर वाह नहीं है , है न ? है न ?	చని పోయి న నా ల వర గురించి మీకు ఏ బా ధా లేదు ? నిజ మే కదా ?
हाँ , उनहोंने कहा था कि अ क सर रात को , आपके बीच , पिता और बे टे के बीच झ ग डे होते थे .	హా , చాలా వర కు రా తరు ళలు , మీ త ండ రీ కొ డు కు ల మధయ గొ డ వ లు జరుగు తు ంటా యి అననా రు .
- धनयवाद , जान . - मुझे डी सी आई है गर टी से बात करनी है .	- థ యా ంక స , బంగా రం . - నేను డీ సీ ఐ హె గర టీ కోసం కాల చేసతుననా .
काम ढूँढ ने ?	పని కో సమా ?
ठीक है . तो कहाँ काम ढूँढ ने गए थे ?	సరే . పని కోసం ఎ కకడికి వెళ లా రు ?
मुझे पता है कि उसे ठीक होने में समय लगे गा पर	ఇది తొ ంద ర పాటు చ రయ అని నాకు తెలుసు , కానీ ,
मैं बता रहा हूँ , हम इस यु द ध में हार रहे हैं .	చెప తుననా కదా , మనం ఈ యు దధ ంలో ఓ డి పో తుననాం .
एक स - रे करवा ने के गया रह दिन बाद ही वह चल ब सी .	ఎ కస - రే తీ సిన పద కొ ండు రోజు ల కే చని పోయింది .
तुम लोग भी .	మీరు ననా రే !
मुझे आप पर विश वास है . यह क ठ ि न है .	నేను నమ ము తుననాను లే . అది కష ట మే .
- मार को , कार ब गल में ले आओ . - हाँ ? जरूर .	- మార కో , కారు ను ప కక కు తీసుకు రా . - హా ? అలాగే .
- रॉ स . - तुम ठीक हो ?	- రా స . - ఏ మెంది , గు రూ ?
मुझे सु ंदर भा वना ओं के बारे में कुछ पता नहीं होगा , है न ?	నాకు అలా ంటి కష ణ ాల గురించి తెలి సే అవకా శ మే లేదు కదా ?
भगवान . देखो कितनी बा रिश हो रही है . थोडी देर यहीं रुको .	అబబా . ఇంత వర ష ం పడు తో ందే . ఒకక నిమిష ం ఆగు దాం , గు రూ .
मेरी गर ल फर ें ड मर गई है ! और जिस ने भी यह किया , वह बाहर घ ू म रहा है !	నా ల వర చని పోయింది . అ దీ గా క హ తయ చేసిన వాడు బయట తి రుగు తుననా డు !
ला इट ें ज ला ने में मेरी मदद करो गे ?	వచచి లె టలు వే య డం లో సా య పడ తా రా ?
जयादा देर नहीं लगे गी .	ఇంకా సే ప ట లో వచ చేసతా .
मैं कोई चो र नहीं हूँ .	నేనే మీ దొ ంగ ను కాదు .
डै डी ? डै ड ? ए र ॉल ? कया वह तुमहारे बारे में पूछ रहा है ?	నా ననా ? ఎ ర ర ొ ల ? మిమమలని అడి గా డా అని అడుగు తుననా రా ?
साथ ही श री मै थि स का यह भी कहना है कि मि स बर ौ ज की हतया का	మి స బర రో స ఏ సమయం లో అయితే హ తయ కు గుర య యా రో , ఆ సమయం లో మిసటర మయా థ ి స
उसे एक उ दा हर ण के रूप में पे श करने का .	ఇ త డిని ఉ దా హ రణ గా చూపి ంచ ాలని అనుకుంటుననా రు .
- और रात को , वह ची ख ें . . . - तुमहें कया चाहिए ?	- రాతరి గ టటి గా కే కలు పెటట ే ది . . . - ఏం కావాలి మీకు ?
रात दर रात दर रात .	పర తీ రాతరి అదే తం తు .
यह हो सकता है कि उसने उसे अपनी बा ँ हों में लिया हो .	ఆమె ని తన చే తు లలో కి తీసు కొ ని కూడా ఉండ వచచు కదా .
और कया किसी ने तुमहें देखा था ?	అకకడ మీరు ఎవరి నె నా కలి శా రా ?
श री मै थि स नहीं आए ?	మిసటర మయా థ ి స రాల ే దా ?
तो , तुमहें याद है ?	అంటే , మీకు గురతు ందా ?
कोई नहीं ?	ఎవరూ లే రా ?
तो , हम कया करेंगे ?	ఇపపుడు మన మే ం చే దదాం ?
मुझे तुम पर विश वास है . मुझे विश वास है कि तुमहें याद नहीं है .	నేను మిమమలని నమ ము తుననాను . మీకు గురతు లే దని నమ ము తుననాను .
मैं अंदर आया और मैंने देखा वह किस हा ल में थी .	నేను లోప లి కి రా గానే , తన సథి తి ని చూ సి చ లి ంచి పోయా ను .
यह कर ूर ता है . तुम ऐसे ही हो . तुम यही करते हो .	ఇది చాలా దారు ణం . మీ తీ రే ఇంత . మీరు చేసే ప ను లే ఇ వి .
- तुमने उससे बात की ? - हाँ .	- వాడి తో మీరు మాటలా డా రా ? - హా .
मैंने ए डा ले इ ड बर ौ ज की हतया की .	నేనే అడి లె డ బ రో స ని చం పా ను .
बे टे का व हीं फ लै ट में होना , घट ना स थ ल से भाग जाना ,	నే రం జరుగు తునన పపుడు అబబా యి ఫ లా టు లోనే ఉననాడు ,
दु कान की खि ड की की च ौ डा ई जि तना . बस .	దు కా ణం కి టి కీ త ాల ూ కు వె డ ల పు అది . అంతే .
वह बस यही चाहती थी कि तुम खुश रहो .	నువవు సంతోష ంగా ఉండ ట మే తన కి కావాల సింది .
आपने कहा था . . . वा दा किया था कि आप मार से ला से ऑ म ले ट के बारे में बात करेंगे .	నువవు . . . నువవు ఆ మ లెట విషయం లో మార సె లలా తో మాటలాడ తా నని మా టి చచా వు కదా .
जब कर सकते हो , करो .	చే తన ె న ంత చేసతా రు .
- है न ? - ठीक है , चलो भी . चलो . . .	- అది నిజ మే కదా ? - సరే , పద ండి . ఇక . . .
हैलो . यह पै ट रिक है .	హలో . ఇ తను పా ట రిక .
