- रा यन !	- రా యన !
पलीज . माँ , मुझे माफ कर दो .	వదదు . అమమా , ననను కషమించు .
और तुम यहाँ कया कर रही हो ?	నువవు ఇకకడ ఏం చేసతుననా వు ?
वर ना मैं इसे निकाल द ूँगी .	లే ద ంటే ఇది వి డు దల చేసతాను .
तुम फिर से शा मिल हो गए हो .	నువవు తిరిగి చే రు తుననావు .
कयोंकि आपने कहा था कि मुझे	ఎందుకంటే మీరు ననను తిరిగి
हाँ , कोई बात नहीं . तो . . .	అవును , ఫర వాలేదు . మనం . . .
दिन - ब - दिन बढ ती जा रही है .	రోజు రోజు కూ పె రిగి పో వచచు .
हैलो वी न पर , बहुत ही अचछी	ఆమె హ ాలో వీ న కోసం అదభు త మెన
मुझे नहीं पता . यहीं रहो .	నాకు తెలియదు . ఇకకడ ే ఉ ండు .
मुझे तुमसे कुछ पूछ ना है .	నేను నినను ఒకటి అడ గ ాలి .
चिंता मत करो , काम होगा .	కంగా రు పడ కు , పని చే సతుంది .
अचछा . यह तो पागल प न है .	సరే , ఇది చాలా పిచచి త నం .
हमें और सु पर ही रो चाहिए !	చాలా మంది సూ ప లు కావాలి !
" सुन न " ? हाँ ? माफ करना ,	" బి గు సు కు పో వ డ మా " ? ఏంటి ?
तुम इन हें नहीं रो को गे .	నువవు వాళళ ను వెళళ నివ వు .
अगर फिर से ऐसा हुआ तो ?	అది మళళీ జరిగి తే ఎలా ?
व ॉ ट स ॉ निक य ं तर मै ने जर	వా ట సో నిక డి వె జ మే నే జర
इस जिंदगी में तो नहीं .	నీ పరా ణం పోయి నా రా డు .
से वे न के ली डर के ना ते ,	ఇంకా సె వెన నా య కు డి గా ,
मुझे बहुत अफ सो स हुआ .	నాకు చాలా బాధ గా ఉంది .
- यह तुमहें कहाँ मिली ?	- ఇది ఎకకడ దొ రికి ంది ?
रा यन उनके किसी भी सो श ल मी ड िया पर नहीं है ,	రా యన వాళళ సా మా జి క మా ధయ మ ాలు వే టి లో లే డు ,
ऐसे करो ड ों लोग हैं ,	రెండు లకష ల కో టల మంది ,
बि ली . वे उसे ले गए .	బి ల లీ , బి ల లీ , బి ల లీ .
मुझे अपनी माँ चाहिए .	నాకు మా అమమ కావాలి .
ओ कल हो मा , ऑ रे ग न . . .	ఒక ల హా మా , ఓ రె గా న . . .
मैं तुमहें सि खा ऊँगा .	నేను నీకు నే ర పి సతా .
तुमहें ना च ना आता है ?	నువవు డా నస చేసతా వా ?
माँ , मुझे माफ कर दो .	అమమా , ననను కషమించు .
पर उस वकत , जान की हि फा ज त के लिए शा ं ति	గురతు ంచుకో ండి , ఆ కష ణ ంలో బర తి కు ండ డానికి ,
बॉ ब , इससे पहले कि वह कोई फै सला करें ,	బా బ , అతను ఏదెనా నిరణ యం తీసుకు నే ముందు ,
का श कि मैंने वो गल बा म को मार डा ला होता .	నేను వో గె ల బా మను చం ప ాలని కో రు కుననాను .
तो , यह सब बे कार है ?	అయితే అవకా శం లేదా ?
ना राज लोगों को कं पा उ ंड वी की जरूरत है .	రె చచి పోయి న వా రికి కా ం ప ౌ ండ వీ కావాలి .
मि सटर बु चर , इ ति हा स में ऐसा कब हुआ है	బు చ ర , చ రి తర లో , ఎపపుడ ెనా ఏదెనా మా రి ందా ?
उ त तरी ड को टा , ओ हा यो ,	నా ర త డ కో టా , ఒ హా యో ,
पर मैं एक मर द हूँ ,	కానీ నేను మ గ వాడిని ,
बस . कोशिश करते रहो .	అంతే . వెళ ు తూ ఉ ండు .
पर अगर बि ली बु चर सही काम कर सकता है ,	కానీ బి ల లీ బు చ ర స రెన పని చేయ గ లి నపపుడు ,
अचछा , तो तुमने यह सब नहीं किया . . .	సరే , అయితే నువవు ఇది చేయ లే ద నన మాట . . .
तुम कया इस सा ले को बचा ते - बचा ते . . .	ఏంటి , నినను నువవు పే ల చేసు కుంటా వా . . .
एक गिर वी दु कान के	తా క టటు దు కా ణం కింద
डि पार ट में ट ऑ फ हो म लै ंड सि क यू रि टी ने	హో ం లా ండ సె క యూ రి టీ వి భా గం భా రీ ఉ గర వాద
मेरी माँ मरी नहीं .	మా అమమ చని పో లేదు .
तो और कया लगता है ?	దానిని ఏం అంటా వు ?
पता नहीं मैं इस श बद का सही इस ते माल	నేను ఆ పద ం సరి గా వా డా నో లే దో తెలియదు .
तुमहारे कह ने पर हम झूठ बोल ना , जा सू सी	నువవు మమ మ లని నీ కోసం అబ దధ మా డ మ ననా వు ,
कभी - कभी इससे आप ऐसे किसी के बारे में	అంటే , కొనని సా రలు నీకు న చచ ని వారి ని
जो कि व ॉ ट इं टर नै शन ल के सं स था पक थे .	అతను , అవును , వా ట ఇంట ర నే షన ల సథా ప కు డు .
वे सब झूठ नहीं है .	అవి అబ దధ ాలు కా వు .
उसकी गलती नहीं है .	అది తన తపపు కాదు .
जै सी तुमहारी मर जी .	నువ వె లా అంటే అలా .
किसी ने वहाँ जाकर	ఎవరో సటా ర మ ఫర ంట మీద
- जल द मु ला का त होगी .	- తవర లోనే కలు దదాం .
कयोंकि मुझे दोबारा शा मिल होना है ,	ఎందుకంటే నాకు తిరిగి పర వే శం కావాలి ,
तुमहारा टी चर बहुत अचछा था , है ना ?	అంటే , నీకు మంచి టీ చ ర ఉండే వాడు , కదా ?
कुछ दर शक इससे परे शा नी हो सकते हैं .	కొ ంత మంది పరే కష కులు కల త చె ంద వచచు .
माफ करना , का श मैं भी यह कह पा ती .	కషమి ంచండి , నాకు అదే చెపప ాలని ఉంది .
तुमहें वह सब करने की जरूरत नहीं .	సరే , నువవు ఇవ ననీ ఎదు ర కో నవ సరం లేదు .
लड का मिल गया कया ?	అబబా యి దొ రి కా డా ?
हम आपके ही रो हैं .	మేము మీ హ ీ రో ల ము .
नया य हो कर रहे गा .	నయా యం జరుగు తుంది .
आप से मिल कर हमेशा खुशी होती है , सर .	ఎపపుడూ మిమమలని చూడ టం సంతోష ం , సర .
भा ड में जाए ठ ं डा .	ఫ రె స కా ను వదిలే య .
र च ना त म क पर य वे कष क	కరి యే టి వ సూ పర వె జర
जिस में गो बल स और गो रि ंग शा मिल हैं .	ఫో టో లు ధ రు వీ కరి ంచ బడి న వి ఉననాయి .
उनहें पता है कि तुम यहाँ आए हो ?	వాళళ కు నువ వి కకడ కు వచచా వని తెలుసా ?
कर िया कर म पर मौ जू द होने वाला हूँ ,	స మార క స భ లో నేను ని ల బడి ఉంటా ను ,
बिलकुल होती है .	అవును పె డు తుంది .
तुम स टा र ला इट का पी छा नहीं करो गे .	నువవు సటా ర లెట ను వే టా డ డం మా నే య .
और मुझे लगता है	బహుశా నేను అకకడ ే
वि क टो रि या न यू मन	వి క టో రి యా న యూ మెన
कि उसे उसके बे टे तक पहुँ चा द ूँ ,	తన కొ డు కు తో కల ప మని వే డు కు ంటే ?
कुछ नहीं होगा . कं पा उ ंड वी को	ఇది ఫ లి తా నని ఇవవ దు . కా ం ప ౌ ండ వీ
वह लड का ही हो म लै ंड र के खिला फ	ఆ అబబా యి హో ం లా ండ ర కు వయ తి రే కంగా
पर मैं किसी से न फ रत नहीं करता .	కానీ నాకు ఎవర ననా ద వే ష ం లేదు .
पर . . . हम ऐसा नहीं कर सकते .	కానీ . . . అది మనం భ రి ంచ లేని ది .
मुझे आँख ों की रो श नी जाते देख	మనిషి లో జీ వం పో వడం చూడ టం ఇషటం .
और अगर रो का तो ?	వెళళ నివ వ కపోతే ?
यह आत मह तया है .	అది అత మా హు తే .
जहाँ तक मुझे पता है , तुम 5 7 के तो नहीं हो .	నాకు తెలి సిన ంత వర కు , నీకు 5 7 ఏ ళళు కాదు .
- और हमें . . .	- ఇంకా మనం . . .
उससे भी अ विश व स नी य बात यह है ,	ఇంకా అస స లు నమమ శ క యం కా ని ది ,
रा यन , यहाँ आओ .	రా యన , ఇలా రా .
यहाँ आओ , रा यन .	ఇలా రా , రా యన .
कमी नी कहीं की .	ద రి దర పు ముఖ ం .
मैं उसे ध ो खा कयों देने लगा ?	అతని ని ఎందుకు మో స గి సతాను ?
वहाँ . . . बहुत से लोग थे .	అకకడ . . . చాలా మంది ఉననారు .
तुमहें धी र ज रख ना होगा , डी प .	నువవు స హ న ంతో ఉండాలి , డీ ప .
- हमारी नजर में तो नहीं है .	- మనకు తెలి సిన ఎవరూ లే రు .
हमने व ॉ ट को सही तरी के से	ఇ పపటి కే వా ట ను స రెన మా రగ ంలో
और इस वकत , मुझे उसे खुश करके रख ना होगा .	ఆ సమయం లో , నేను ఆమె ను ఆ పాల సి వచచింది .
मैंने जो कुछ कहा , उसके बाद	నేను అనన దాని తరువాత నాకు
कोई गो रा होता तो ऐसा करता .	అది తె లల జా తి వారి స ౌ ఖ యం .
उ ड कर चला गया .	ఎ గి రి పోయా ను .
बडा पया रा है .	ఇది బాగుంది .
माफ कर दी जिए . मेरा वह इ रा दा नहीं था .	ననను కషమించు . నే న లా చెపప ాలని అనుకో లేదు .
- तुम ठीक हो ?	- బా నే ఉననా వా ?
- देखो तो सही .	- నినను చూడు .
ह यू कै म प बे ल .	హ యూ క యా ం ప బె ల .
उनहोंने मुझे आई - 9 में 8 0 मी ल दूर पा या ,	ననను ఐ - 9 కి 8 0 మె ళళ కింద కను గొ ననా రు ,
बचचे को वापस ला ना तुमहारा काम नहीं है .	బా బు ను తిరిగి తే వడం మీ పో రా టం కాదు .
देखो , बे क का , तुम हमारे साथ नहीं चलो गी .	చూడు , బె క కా , నువవు మా తో రా వడం లేదు .
यह नि ष ठ ु र होना नहीं है ,	అది కని క రం లే కపో వడం కాదు .
मैं लड के को हो म लै ंड र से	ఆ అబబా యి ని హో ం లా ండ ర నుండి
वे उसे ले जाने वाले थे ,	వాళళు వాడిని తీసు కె ళ తారు ,
तुमहें यकीन है कि तुमहारे टा वर में	ట వర లోకి తిరిగి వెళళ టం నీకు సు ర కషి త మా ?
नि यु क ति पर ब धा ई हो , का ँ गरेस स दस या .	నియ మ కా నికి శు భా కా ం కష లు , కా ంగ రె స మ హి ళ .
फ रे ड रिक के पास हर चीज का इ ला ज था .	ఫ రె డ రిక దగగర అనని టి కీ పరి ష కా రం ఉంది .
- सब को मार डाल ें , भगवान समझ ले गा ?	- వాళళ ని చం పే సతే , దేవు డే చూ సు కుంటా డా ?
अपने इस हि ज डा को लेकर ,	నీ సు కు మా రు డిని తీసుకు ని
पर घर पर , जब मैं " न फ रत " कह ता हूँ , तो	కానీ నేను ఇంట లో నాకు " న చచ దు " అంటే
मैं एल जि यर स में जो पार ट ियाँ रख ता था ,	నేను అ ల జీ రస లో రే వ పార టీ లో ఏ ర పా టలు
ए म ए म तुमहें	ఎ ం ఎ ం మిమమలని
वे उन पर भरो सा करते हैं .	వాళళు దానిని నమ ము తారు .
चलो . आर पी जी !	రా . ఆర పీ జీ !
समझ रहे हो ?	నీకు తెలుసా ?
मुझसे यह और नहीं होगा .	అది ఇక మీద ట నేను చేయ లేను .
व ॉ ट ने पू रे देश पर हम ला किया , ह यू ई .	వా ట దేశం పె న దా డి చేసి ంది , హ యూ య ీ .
मान ो कोई बंद प डा अ ला र म ब ज उठा हो	నేను ఏదో ని శ శ బ ధ అలా రం లా ఉండే వాడిని ,
झ ट का लग ते ही , आर पी जी से	ఆర పీ జీ అయ స కా ంత పర కం ప న
नहीं , मैंने कोशिश की .	లేదు , నేను పరయతని ంచా ను .
अचछा , तो जलदी करते हैं .	సరే , తవర గా కా నివ వ ండి .
अचछा , हाँ .	సరే , ఇది గో .
मुझे माफ करना , ठीक है ?	ననను కషమించు , సరేనా ?
- कुछ नहीं .	- ఏం కాల ేదు .
पर वही तो अस ली बात है .	కానీ విషయం అంతా అదే .
तुम मुझे बता दो कि वह कहाँ है ,	అతను ఎ కక డు ననా డో నువవు నాకు చెపపు ,
तुम दुनिया के सबसे ता कत वर आदमी हो	నువవు పరపంచ ంలో నే శ కతి మ ం తు డి వి ,
यहाँ कोई गो ल क नहीं है ,	ఇకకడ స వే ర జా ర ఉండ దు ,
कया बात है ? कया हुआ ?	ఏం జరుగు తోంది ? ఏ మెంది ?
माँ , पलीज .	అమమా , పలీజ .
उसने यह बहुत पहले मुझे दिया था	ఆమె నాకు ఇది చాలా కాల ం కరి తం ఇ చచి ,
- हमें और कं पा उ ंड वी की जरूरत है .	- మనకు చాలా కా ం ప ౌ ండ వీ కావాలి .
व ॉ ट के खिला फ , हो म लै ंड र के खिला फ ,	వా ట కు వయ తి రే కంగా , హో ం లా ండ ర కు ,
अगर मैं गवा ही द ूँ तो ?	నేను సా కష యం చె బి తే ?
- पर यह वजह नहीं है .	- కానీ కారణ ం అది కాదు .
तुम मजाक कर रहे हो !	నాతో హా సయ మా డు తుననావు !
पकका इससे काम होगा ?	ఇది పని చే సతు ంద ంటా వా ?
कौन सा सच ? सच कया है ?	ఏ నిజం ? నిజం ఏమి టి ?
तुमने टा वर में मुझे कयों बचा या ?	నన నె ందుకు ట వర దగగర కా పా డా వు ?
फिर मुझे प को डे व ग ै रह नहीं खा ने ,	అయితే నేను అ పె టె జర లను తి నను ,
अपने भाई की आत मा की क सम खा ओ .	నీ తమ ము డి ఆ తమ మీద పరమా ణం చె య యి .
ठीक है ? तो , वह कोशिश करके देखो .	సరేనా ? అయితే , అది పరయతని ంచు .
किसी ने चो र को आ ते या जाते नहीं देखा .	ఎవరూ దొ ంగ రా వడం కానీ వెళళ డం కానీ చూడ లేదు .
सभी दरवा जे - खि ड किया ँ बंद कर लो .	తలు పు లు , కి టి కీ లు మూ సే య ండి .
हैलो , कया चल रहा है ?	హే , ఏం జరుగు తుంది ?
अधि कारी अभी भी उस मु ज रि म का पता लगा ने की	అ ధి కారు లు కా పి టల పె దా డి చేసిన వారి ని
व ॉ शि ंग टन में , सभी सर कारी इ मा रत ों को . . .	వా షి ంగ టన లో , అనని పర భు త వ భ వం తులు . . .
कया कहते हो , पापा ?	నువవు ఏమ ంటా వు నా ననా ?
मैं कुछ कर सकता हूँ .	అది పరి ష కరి ంచ గలను .
थोडा सा और , तुम कर सकते हो .	ఇం కొంచెం , ఇం కొంచెం , వచ చేసి ంది ,
हमारी च म डी के र ंग की वजह से	వాళళు మన లని ఈ చ ర మ రం గు కారణ ంగా
जरा रुको , मेरे दोसत !	ఒక నిమిష ం , మి తర మా !
वह कौन है ?	అది ఎవరు ?
कोई हमारी मदद करो !	ఎవరెనా సహా యం చేయ ండి !
शा ं ति रख ो .	శా ంతి ంచు .
आप मुझे कोई नौ करी दे सकती हैं .	మీరు నాకు ఒక ఉద యో గం ఇవవ ండి .
तो तुमहारे बच ने के आ सा र बहुत बढ जाएँगे ,	మీరు మీ మను గ డ అవకా శ ాలు పె ంచుకో వచచు ,
तुमने सुना मै लो री ने कया कहा ,	మ ాలో రీ చెపపి ంది వి ననా వు గా ,
ह यू ई , तुमहारी जान जा सकती थी .	హ యూ య ీ , నినను చం పే సే వాళళు .
फो रट बर ै ग का परि सर याद है ?	ఫో ర ట బ రా గ దగగర రే ం జ గురతు ందా ?
तुमहारे बिना मैं नहीं जा ऊँ गी .	నేను నువవు లే కుండా వెళళ ను .
मैं तुमहें ध ो खा देने वाला था .	నేను నినను మో సం చేయ బో యా ను .
स ज जन ो , आने के लिए शुकरिया .	అంద రికీ వచచి న ందుకు ధనయవాదాలు .
मैं जिस तरह से तुमहारे साथ पे श आई ,	అంటే , నేను నీ తో పర వర తి ంచిన దాని తరువాత
मेरी मदद करो . . .	నాకు సహా యం చె య . . .
रॉ चे सटर की किसी कु ट िया में उसे र खा है .	వాళళు రో చె సటర లో త నని నిర బం ధి ంచారు .
धत तेरी ! बा य , सा ले !	సరే , అబబా ! గు డ బె !
इसलिए मैं मदद कर रही हूँ .	అందుకే నేను సాయం చేసతుననా ను .
तुमने मै से ज करके गलती की .	నువవు స ందే శం పం ప డం పిచచి త నం .
और सी धे मु द दे पर आ ते हैं .	మనం సూ టి గా విష యా నికి వ ద దా ము .
कयोंकि तुमहें उस कमी नी से	ఎందుకంటే ఆ పిచచి ముఖ ంది నినను
मैं प लट कर जवाब नहीं दे सकता .	పిచచి వాడి లా వి రు చు కు పడ ను .
बाकी का काम मैं संभाल ल ूँगा .	మి గ తా ది నేను చూ సు కుంటా ను .
बु चर , यह सब तो नहीं सोचा था .	బు చ ర , ఇది పర ణ ా ళ ి క లో లేదు .
तुम इसके जैसे नहीं हो , रा यन .	నువవు ఆమె లా గా కాదు , రా యన .
पर वे लोगों को न ु क सान पहुँ चा रहे हैं .	కానీ వాళళు జ నా నని గా య ప రు సతుననారు .
इन दि नों चर च को कितना कमी शन मिल ता है ?	ఈ మధయ చ ర చి కి ఎంత క మీ షన అందు తుంది ?
अब , अगर वे दोनों माँ - बा प की जि म मे दा री	వాళళు వార డ మరియు బీ వ తల లి ద ండ రు లలా
कर - मु कत दर जा दि ला ने के लिए तैयार हैं .	మీరు చ ర చి ప నను మి న హా యి ంపు సథి తి ని
और सु पर ही रो चाहिए !	చాలా మంది సూ ప లు !
अपने वि चार पे श कर ूं गा और	అ మె రి కా భ దర త కోసం పరా రథ నలు ,
बा प रे , तुम . . .	దేవుడా , నువవు . . .
मि सटर बु चर , हमें आपकी जरूरत है . अभी !	మిసటర బు చ ర , మీరు రా వాలి . ఇ పపుడే !
ए , रा यन .	హే , రా యన .
तो हफ ों का सि ल सि ला कभी रु क ता ही नहीं .	బహు మ తులు ఇ సతూ నే ఉంటా రు , ఎ పపటి కీ .
सट ॉर म फर ंट लोगों को	సటా ర మ ఫర ంట జ నా నని
पर , पापा , मैं ऐसा नहीं हूँ .	కానీ , నా ననా , నేను ఉండ ను .
तुमने किया ? यार !	అది నువ వా ? మి తర మా !
- आ ख िर कार .	- చి వర కు .
मैं पागल नहीं हूँ .	నాకు పిచచి కాదు .
मुझे डर लग रहा है .	నాకు భయ ంగా ఉంది .
मैंने सट ै न एडगर से एक वा दा किया था .	సటా న ఎడ గర తో ఒ పప ంద ం చేసు కుననాను .
तो फिर छोड कयों नहीं दिया ?	కానీ ఎందుకు వదిలే య లేదు ?
जब क ले क टि व नया - नया बना था .	క లె క టి వ పరా రం భ రోజు లలో .
मैं उनहें फोन कर सकता हूँ ?	నేను ఆమె కు ఫోన చేయ వచచా ?
डॉ ना ने मेरे लिए ख री दा .	ఇది నా కోసం తీసుకు ని ఉండ దు .
न यू य ॉर क , उ त तरी कै रो ला इ ना ,	న యూ యా రక , నా ర త కార ొ లీ నా ,
मैंने अपना बै ंक का खा ता	నా ఖ త ాలు మొతత ం వ రా సి చచా ను .
और ए - ट रे न का कया ?	ఏ ట రె యి న సంగ తి ?
शुकरिया , एल वि न .	ధనయవాదాలు , ఆ ల విన .
कयोंकि तुम एक नि ष ठ ु र कमी ने हो .	ఎందుకంటే నువవు కని క రం లేని వెధవ వి .
वह मुझ पर छोड दो .	అది నా వయ వ హా రం .
और तुम कभी उससे नहीं मिल पा ती .	నువవు వాడిని మళళీ ఇం కె పపుడ ూ చూడ వు .
भा ड में जा , सा ली !	పో వే , చెతత ముఖ ం !
- आपने जो जानकारी माँ गी थी , यह रही .	- ఇది గో ండి మీరు అడి గి న పరి శ ీ ల న .
गलत मत समझ िए गा ,	తపపు గా అనుకో క ండి ,
मैं एक से ल फी ले सकती हूँ ?	నేను సె ల ఫీ తీసుకో వచచా ?
अब हि सा ब बरा बर हुआ , सा ले .	మనం ఇపపుడు సమా నమ య యా ము .
पर तुम यह कयों कर रहे हो ?	ఇది ఎందుకు చేసతుననా వు ?
पर हमें इस परि स थि ति का	కానీ మనం పరిసథి తు లను బటటి
किसी घट िया और त से शादी की	దారు ణ ంగా ఆ కర షి ంచే ఎవరో
कब से शुरू कर सकते हो ?	ఎ పపటి నుంచి మొద లు పె డ తా వు ?
तुम खुद से ग ृ ह कार य कर रहे हो ?	నీకు నువవు హో ం వర క ఇ చచు కుంటుననా వా ?
रा यन को हो म लै ंड र से बचा ने का .	ర కషి ంచ డానికి అద ొక టే మా రగ ం అంటా వు .
वह . . . तुमहारे लिए बहुत अचछा है .	అతను . . . అతను నీకు త గి న వాడు .
तुम कया करो गे ?	మీరు ఏం చేసతా రు ?
वैसे , मैं तुमसे स हम त हूँ	నీ తో అ ంగ ీ కరి సతుననాను ,
हमेशा रो ड र नर का पी छा करता है , लं बा - च ौ डा	ఎపపుడూ వి సత ృ త మెన పర ణ ా ళ ి క తో రో డ ర నన ర
भा गे हुए अ परा धि यों की बात पर	పరా రీ లో దో ష ు లకు వి శ వ స నీ యత ఉండ దు .
वे तुमहारे साथ कुछ करने वाले थे .	వాళళు నీకు హా ని తల పెటట ే వారు .
