मा घ रा !	మా గరా !
को फु न .	కొ ఫ ూ న .
जे र ला म रे ल के बच चों ,	జె ర లా మ రె ల పిలల లా రా ,
लड के .	బా బ ూ .
ह नि वा , को फु न ,	హ నీ వా , కొ ఫ ూ న ,
यह सच नहीं है . ह नि वा , उनहें बताओ कि यह सच नहीं है .	అది నిజం కాదు . హ నీ వా , అది నిజం కా దని అతనికి చెపపు .
यह सच है , को फु न .	అదే నిజం , కొ ఫ ూ న .
न व यु व क .	కు ర రా డా .
ठीक है .	సరే మరి .
नहीं .	లేదు .
ओह , हाँ .	అవును గా .
मैं से ना को आगे बढ ा रहा हूँ . मैं तुमहें पीछे नहीं छोड सकता .	నేను సె నయా నని క ది లి సతుననాను . నినను ఒ ంట రి గా వదిలే సి వెళళ లేను .
आप उस पु ल के ऊपर से ज ञ ा नो द य स भा में जा सकते हैं .	ఆ వ ంత ె న గు ండా మీరు జ ఞ ా నో దయ ని వా సా నికి చే రు కో వచచు .
नौ कर ों को , कयोंकि तुमहें उनकी ग ं ध पसंद नहीं थी .	తమ శ రీ ర వా స న న చచ లే దని పని వారి ని చం పా వని వి ననాను .
एक पिता अपने बच चों की सुरकष ा के लिए यही करता है .	తన పిలల లని కా పా డు కో వ టానికి ఒక త ండ రి చేసే ది అదే .
जब तक तुमहारी फिर ौ ती का भ ु ग ता न नहीं हो जाता ,	నినను వి డి పి ంచ డానికి అవ సర మెన డబబు లు అంద ే వర కూ ,
एक बात सप ष ट कर द ूँ , वे पु रु ष का यर होते हैं .	సప షట ంగా చెపప ాల ంటే , అలా ంటి వాళళు పి రికి ప ంద లు .
मुझे लगता है , एक लं बे समय में पहली बार . . .	నా ఉదదేశం లో , చాలా కాల ం తరవాత తొ లి సారి గా . . .
एक ही आदमी को यह करना चाहिए , एक - एक कर के .	ఒకక ొ కక ొ డి పని పడు తూ , ఆ పని ని ఒ కకడ ే చేయాలి .
कया ज ञ ा नो द य स भा में एक म रह म लगा ने वाला है ?	ఆ జ ఞ ా నో దయ ని వా సం లో ఎవరెనా వె ద యు లు ఉననా రా ?
हाँ , म हा रा नी जी . मेरे साथ चार आदमी हैं .	అవును , మ హా రా ణి . నా కరి ంద నలు గు రు ఉననారు .
वह अ नि श चि त भ वि ष य का साम ना कर रही है . . .	తన ముందు ఒక అ గ మ య గో చ ర భ విష యత తు ఉంది . . .
पह रे दार ों ने किस तरह के जू ते पह ने हैं ?	కా ప లా దారు లు ఎలా ంటి బ ూ టలు ధ రి ంచి ఉననారు ?
वह उसे दूसरे क बी ले में ले जा सकते हैं .	ఆమె ని అతను వే రే తె గ వ దద కి తీసు కె ళళ గల డు .
उनहें उनके ने ता के सामने ले जा या गया .	ఆ వి డని వాళళ నా య కు డి వ దద కు తీసు కె ళళ ా రు .
वह मेरी माँ है . तुमहें पता है , है न ?	తను నా తల లి . ఆ విషయం నీకు తెలుసు కదా ?
तुमने यु वा यु व ति यों की जु बा न का ट दी	త గి న ంత తవర గా నినను మె పప ి ంచ లేక పోయా రని
मैं बहुत छो टी थी जब मेरी माँ की म ृ त यु हुई , लेकिन तब भी मैं यह जानती थी .	మా అమమ నేను చాలా చినన గా ఉనన పపుడే చని పోయింది , అయి నా కానీ నా క ది తెలుసు .
जिस दिन तुम पै दा हुए थे , मैं तुमहारी रकष ा के लिए एक दी वार बन कर ख डा था ,	మీరు జ న మి ంచిన రోజు న , మిమమలని కా పా డ టానికి ఒక గో డ మీద ని ల చ ొ ని పో రా డా ను ,
- कया तुमहें मेरी बात समझ आई ? - हाँ .	- నేను చెపపి ంది అరథ మె ందా ? - అరథ మెంది .
रा नी का अप हर ण कोई कैसे कर सकता है ?	మ హా రా ణి ని ఎవరెనా ఎలా అ ప హ రి ంచ గల రు ?
तो तुम सिरफ आ राम कयों नहीं करती ?	అందు కని కా సత శా ంత ంగా ఉండ వచచు కదా ?
जब आपका काम मह त व पू रण होता है और आपको आ ग ंत ु क नहीं चाहिए होते हैं .	ఇంకా నీకు ఇ తరు ల జో క యం వదదు అని అను కునన పపుడు ఇలా ంటి దే జరుగు తు ందే మో .
अगर तुमने कोई सं के त नहीं दिया तो ?	ఒక వే ళ మీరు ఏ సం కే తా నని ఇవవ కు ంటే ?
इस त थ य को अलग रख ो कि उसने अपने बचचे को गा ली खा ने के लिए छोड दिया	తన కొ డు కు ని వదిలే సి అత డిని ఒక న ర రూ ప రా కష సు డి గా మార చి న విష యానని
रा नी बन ने पर यह सब होता ही है .	సి ం హా స నం అననా క శ తరు వు లు ఉంటా రు .
तुम सब कुछ ज ला कर रा ख न कर देना	అపపుడు ఈ చో టి నం తా త గల బె టటే య ండి ,
केवल कुछ चीजें हैं जिन हें हमें पहले ह ल करने की आ व श य क ता है .	కానీ అంత కు ముందు కొనని విషయ ాలను మనం మాటలా డి పరి ష కరి ంచుకో వాలి .
कृपया जान ो , हा ला ं कि मैंने उन कहा नि यों को मन ो र ं ज क पा या . . .	దయచేసి తెలుసు కో , నాకు ఆ క థ ల ననీ బాగా వి నో దానని అ ంది ంచి నా . . .
- ह नि वा , नहीं ! - मार ना बंद करो !	- హ నీ వా , వదదు ! - శ ర సం ధా నం ఆ ప ండి !
मुझे लगता है कि इसी लिए वह कभी भी खुद उसे दूर नहीं कर स के	అందుకే ఆమె కి అనని ంటి క ననా ఎకకువ న చచి న విష యా నికి వచచి నపపుడు ,
मैं बता नहीं सकता मुझे रा ह त मिली है या मैं उममीद कर रहा था हमें यह कभी नहीं मिले गा .	ఇది చూ సి ఆన ంద పడ ాలో లేక ఇది అసలు క న బడ దు అని ఆ శి ంచిన ందుకు బాధ పడ ాలో అరథం కా వడం లేదు .
तुमने खुद को गर वि त किया है .	నినను చూ సి నువవే గర వ పడ ాలి .
पर वे श करो , और दिख जाओ गे . "	పర వే శి ంచా ర ంటే , చూడ బడ తారు . "
अब हम आ रहे हैं , हम दोनों .	మేము వ సతుననా ం , ఇదద ర మూ కూడా .
और तुम इस न ई दुनिया का नि र मा ण देख ने वा लों और द ृ ष टि ही न दोनों के लिए बना रहे हो .	మీరు ఈ కొతత పరప ంచా నని , చూ పు నన వా రికీ , అలాగే చూ పు లేని వా రికి కూడా నిర మి ంచాలి .
पर वे श करो , और दिख जाओ गे .	పర వే శి ంచా ర ంటే , చూడ బడ తారు .
पिता जी , आप मेरे पिता हैं .	నా ననా , నువవే నా త ండ రి వి .
कम से कम हम जानते हैं हम सही रा स ते पर जा रहे हैं .	క నీ సం మనం స రెన ది శ లోనే వెళ తుననా మన ెనా తెలి సింది .
मेरा इसे जान ना आ व श य क है .	నేను తెలుసు కొ ని తీ ర ాలి .
हम पीछे नहीं ह ट रहे हैं .	మనం వెన కకి వెళళ డం లేదు .
तुम दोनों , धयान से सुनो .	ఇదద రూ , జా గర తత గా విన ండి .
यह वि शे ष रूप से कर ूर महसूस होता था कि हर बार मेरी बहन पास थी . . .	మా అ కక నా దగగర ఉనన పర తీ సారి నా కే దో ఒక ర మెన గ గుర పాటు భా వ న కలి గే ది . . .
और तुमहारी तरह , मुझे यकीन है कि वह जान जाए गी कि वह अके ली नहीं है .	ఇంకా నువవు చేసిన టలు గానే , తను కూడా ఒ ంట రి కా దని తన కి తెలి సే లా చేసతాను .
अन गि न त परति द व ंद वि ता , शि का य त ें और परति शो ध .	లె కక లే నన ని వె ర ాలు , వే ద నలు మరియు పర తీ కార ాలు .
लेकिन वह उस अं धे रे की च पे ट में नहीं आया है .	కానీ అదే దు షట పర భా వా నికి అతను లో ను కాల ేదు .
पै रिस , मुझे नहीं पता .	ప యా రి స , నాకు తెలీదు .
मैं उसके साथ र हूँ गी .	నేను అతని తో నే ఉంటా ను .
उसका जन म सि द ध अधि कार .	తన జ నన హ కకు విషయం లో .
तुमहें कया लगता है हम किस ओर जा रहे हैं ?	మనం ఎ కకడికి వెళ తుననా మని అనుకుంటుననా వు ?
कया खबर है , म हा रा नी ?	ఏ సమా చా రం , మ హా రా ణ ీ ?
मैं और तुम उनसे अलग दुनिया में रह ते हैं .	మని దద రి పరపంచ ం వే రు , అతని పరపంచ ం వే రు .
हाँ , उसने बताया था .	అవును , త నే చెపపి ంది .
यह उस पल ही सप ष ट हो गया था जब उसे तुमहारे पास ला या गया था .	అత డిని నీ ము ందుకు తె చచి న పపుడే నా కా విషయం తెలి సి పోయింది .
तुम कया कह रही हो ? हम उसे यहाँ नहीं छोड रहे हैं , ह नि वा .	నువవే ం మాటలాడు తుననావు ? మనం త నని ఇకకడ వది లి వెళళ లే ం , హ నీ వా .
वह पागल हो गया है .	అతనికి మ తి తపప ి ంది .
मुझे पता है कि आपकी बहन किस के पास है .	నీ సోద రి ఎవరి దగ గ రు ందో నాకు తెలుసు .
मुझे खे द है कि तुमहारे साथ ऐसा हुआ .	మీకు జరిగి న దానికి నేను చి ంతి సతుననాను .
मेरे बच चों , मैं सब की तरह अं धा हूँ .	పిలల లా రా , అంద రి లా గా నేను గు డ డి వాడి నే .
मैं तुमहें देखना कभी बंद नहीं कर ूँगा .	అంతే గా క మీ ఇదద రి నీ చూడ టం నేను ఆ ప ను .
विश वास करने से डर लगता था कि मैं बच गया और यह सच था .	నేను నిజంగా తపప ి ంచు కుననా నని , అది నిజ మే నని నమమ ాల ంటే భ యం .
घं टी ब ज ती है तो हमें कैसे पता चले गा कि तुम भाग ने की कोशिश नहीं कर रही हो ?	గంట మ రో గి తే నే కదా , నువవు పా రి పో వడానికి పరయతని సతుననా వని మాకు తెలి సే ది ?
हाँ , मै म , बिलकुल .	బాగా తెలుసు , మే డ మ .
वह करो ध और मैं कितना वि ना श कारी था ?	ఎంత క రో ధ ంతో , ఎంత పర ళ య భ ీ కర ంగా ఉననా నో ?
मैं यह कभी नहीं मान ना चाहता था , लेकिन पै रिस सही है .	దీ నని అసలు నమమ ాలని నాకు లేదు , కానీ ప యా రి స అనన ది నిజ మే .
और वह देख सकता है .	అతనికి చూ పు ఉంది .
शा सन करने के लिए सि ं हा सन पर के न न हुआ , तो वे फिर से वापस आ जाएँगे .	సి ం హా స నం మీద కే న వం శ సథ ు లు లే కపోతే , మర లా ఆ పరిసథి తు లే పు న రా వ ృ తత మ వు తా యి .
वे मेरा जी वन हैं .	వాళళ ే నా జీవితం .
अपनी बहन को देखो .	నీ సోద రి ని చూడు .
हमेशा , छो टी बहन .	ఎ పపటి కీ , చె ల లె లా .
