हाँ .	సరే .
यह मत सोच ना कि मैं इसे लेकर ना राज हूँ .	ఆ విషయం లో నేను బాధ పడు తుననాను అనుకో వదదు .
मे जर ? कर न ल हार डि ंग आपको बुला रहे हैं .	మే జర ? కల న ల హా ర డి ంగ మీ కోసం చూ సతుననారు .
कर ॉ ज , हार डि ंग तुमसे मिल ना चाहते हैं .	క రో జ , హా ర డి ంగ నినను చూడ ాలి అ ంటుననా డు .
हमारे साथ 9 5 व ें नीचे उडा न भर ते हुए ने त ृ त व करे गा और 3 9 0 व ें ऊँ चा ई पर रहे गा .	ది గు వ న 9 5 వ బ ృ ంద ం మన కి సా రథ యం వ హి సతుంది , అలాగే ఎ గు వ న 3 9 0 వ బ ృ ంద ం ఉంటుంది .
ज ॉर ज , चलो भी , कम ब खत ! वह मर चुका है !	జా ర జ , ఇం క పద , డా మి ట ! అతను చని పోయా డు !
मैंने अभी - अभी कहा कि ची थ डे उ ड गए .	ఆ విమానం పే లి పోయి ందని చెపపా ను కదా .
यह तब तक खतम नहीं होगा जब तक हम उनहें ग ं भी र कष ति नहीं पहुँ चा एँगे .	కానీ , వాళల కి న ష టం కలి గే లా మనం దా డి చేయ కపోతే ఈ యు దధ ానికి అంత ం ఉండ దు .
जिस दिन से मैं 1 00 व ें में शा मिल हुआ था , बक क ले वे न हमारे ली डर थे .	నేను 1 00 వ గర ూ ప లో చే రి న రోజు నుంచి , బ క క లె వెన మా నా య కు డి గా ఉననాడు .
बा ई ं तरफ सा री बंद ूक ें तैयार रख ो .	ఎడ మ వెపు గ నస అన నీ సిదధ ంగా ఉ ంచండి .
तुम यह पहले से जानती हो , पर तुमहारा पति मेरा सबसे अचछा दोसत था .	నీకు ఇ పపటి కే ఈ విషయం తెలుసు , కానీ నీ భ ర త నాకు ఎ పపటి కీ బె సట ఫ రెండ .
- कया हमें गोली लगी है ? - है री !	- మన మీద దా డి జరిగి ందా ? - హ యా రీ !
अनु रकष क विमान ों का ई ं धन खतम हो गया है . वे वापस लौट रहे हैं .	ఎ స కార ట విమా నా లలో ఇం ధ నం అయి పోయింది . అవి తిరిగి వెళలి పో తుననా యి .
हे भगवान , वह ब ले क ली का दल है .	దేవుడా , బ లేక లీ సి బబంది వచచా రు .
" ऑ - आर - गो " ? उसका कया मतलब है ?	" ఆ వ ఆర గో " ? దాని అరథం ఏంటి ?
यह मेरा विमान है ! तुम कू दो !	ఇది నా విమానం ! నువవే దూ కు !
उप - शी र ष क अनु वाद क : म ून क लि ता	తెలు గు అను వాద ం : స తీ శ కు మార
हमने कभी श हर के इतने करी ब किसी ल कष य पर हम ला नहीं . . .	ఒక న గరా నికి ఇంత దగగర గా మనం ఎపపుడూ దా డి చేయ లేదు . . .
तुमने . . . तुमने . . . माफ करना , तुमने कया किया ?	నువవు ఏంటి . . . నువవు . . . సా రీ , నువవు ఏం చేశా వు ?
- पर तुमने चि ट ठ ी भे जी तो नहीं न ? - नहीं , नहीं .	- కొ ం ప దీ సి ఆమె కి అది పం ప లేదు , కదా ? - లేదు , లేదు .
चलो इस विमान से निकल ें !	ఈ విమానం నుండి బయట పడ దాం !
तो , 2 3 0 8 3 0 , ब रे डी . और 3 0 7 2 5 , वह कर ु क श ै ंक को दो .	2 3 0 8 3 0 , బ రా డీ . 3 0 7 2 5 , దానని క రూ కష ా ంక కి ఇవ వు .
वे ली ड में मौ जू द कर ु क श ै ंक के पीछे जा रहे हैं .	లీ డ లో ఉనన క రూ కష ా ంక విమానం వెపు దూ సు కొ సతుననారు .
- मैंने तुमहें कभी बताया मुझे इन हम लों से न फ रत है ? - आज नहीं बताया .	- ఈ శ తరు వు లని ఎంత ద వే షి సతా నో ఎపపుడ ెనా మీకు చెపపా నా ? - ఈ రోజు చెపప లేదు .
ए एड ो ल फ - भा ड में जाओ तुमहारा दोसत बक क ले वे न	హేయ అడ ాల ఫ - నీ అ ం తు చూ సతా నీ మి తరు డు బ క క లె వెన
- वह हमारे विमान ों में से एक है . - वह कौन है ?	- అది మన విమా నా లలో ఒకటి . - అది ఎవరి విమానం ?
जैसे ही उनहें हमारी जगह ले ने वाले मिल जाएँगे , वे हमें बदल देंगे .	వే రే మను ష ు లు దొ రక గానే మమ మ లని తపప ి ంచి మా సథా నా లని భ ర తీ చేయ బో తుననారు .
मैं जी प में आ जा ऊँगा .	నేను జీ ప లో అ ందుకు ంటా .
सप ें स तुमहें नै वि गे शन के फी लड आ देश दे दे गा .	నా వి గే షన ఫీ ల డ ఆ దే శ ాలని నీకు స పె నస ఇ సతా డు .
अचछी खबर यह है कि यह काफी छो टी उडा न होगी . मु ं सटर काफी पास है .	మంచి వార త ఏమి ట ంటే ఇది త కకువ ద ూర మే . ము ం సటర మన కి చాలా దగగర గా ఉంది .
हाँ , और कल सो म वार है .	అవును , రే పు సో మ వా రం .
हे भगवान , च ौ था इं जन त बा ह हो गया ! अब हमारे पास बस एक इं जन है .	దేవుడా , నాలు గో ఇం జ న ఆ గి పోయింది ! మన కి ఒకక ఇం జ న మాతరమే మి గి లి ంది .
भ ले ही वह इतना वि न मर था कि उसने यह कभी खुद सवी कार नहीं किया .	అయి నా కూడా అతను ఆ విష యానని ఒ పపు కో వడానికి చాలా మొ హ మాట పడు తు ంటా డు .
- चि ड िया घर में सवागत है , कै प टन . - धनयवाद .	- మ ం కీ హ ౌ స కి సవా గ తం , కె ప టె న . - థాంక యూ .
तुमहें पता है मेरा दल कहाँ उ तर रहा है ?	నా గర ూ ప ఎకకడ ల యా ండ అవు తు ందో మీకు తెలుసా ?
मैंने उनहें देखा था .	నేను వాళ లని చూశా ను .
हम सभी को मे जर क ले वे न की कमी ख ले गी , सर .	మన మ ంతా మే జర క లె వెన ని మి స అవు తా ం , సర .
मैं तुमहें रह ने के लिए अलग जगह द ूँगा .	నీకు కొతత వ స తి ని నేను ఏ ర పాటు చేయి సతాను .
तो , हम ड यू टी ऑ फि सर से शु रु आत करेंगे .	అయితే , మనం డ యూ టీ ఆ ఫీ సర తో మొద లు పె డ దాం .
ठीक है . 0 5 7 डि ग री मो ड रहा हूँ . ओ वर .	వి ననా ం . 0 5 7 డి గర ీ ల కి మళ లు తుననాం . ఓ వర .
बॉ म ब सा इट न ष ट कर दो ! उसे गोली मर दो !	బా ం బ సె ట ని ధ వం సం చేయ ండి ! ష ూ ట చేయ ండి !
चिंता मत करो , मैं उनसे बात कर ल ूँगा .	కంగా రు పడ కు . నేను ఆమె తో మాటలాడ తాను .
कम ब खत काफी जयादा .	చాలా ఎకకువ తా గా ను .
कल ै न टन मर चुका है .	క లా ంట న చని పోయా డు .
पे ट रो स , चलो चल ें !	పె ట రో స , వెళ దాం పద !
वे सट फा लिया , जर म नी	వె సట ఫ ాలి యా , జర మ నీ
तुमहारे पहले तीन दि नों में तीन मि शन .	మా మొదటి మూ డు రోజు లలో మూ డు మి షన లు .
हे भगवान , तुमने फोन कयों नहीं किया ?	దేవుడా , నువవు ఎందుకు ఫోన చేయ లేదు ?
बक को हमेशा से उस जै के ट से न फ रत थी .	ఆ జా కె ట అంటే బ క కి ఎపపుడూ చి రా కే .
- हमें जै के ट बदल नी हों गी . - कया ?	- మనం జా కె టలు మా రచు కో వాలి . - ఏంటి ?
ठीक है , ड टे रहो .	సరే , వే చి ఉండ ండి .
मैं नहीं जा ऊँगा .	నేను ఆ పని చేయ ను .
- है री कर ॉ सब ी . . . - सी धा ट क कर .	- హ యా రీ క రో స బీ . . . - మన ఎదు రు గా .
पायलट , नै वि गे टर के लिए . ठीक है .	నా వి గే టర కి పె లెట స ందే శం . వి ననా ం .
ठीक है , कौन पी ए गा ? मैं ख री द रहा हूँ . कर ै ंक भी .	సరే , ఎవరు తా గు తారు ? డబబు నేను ఇ సతాను . క రా ంక కూడా .
मौ सम की रि पो रट .	వా తా వర ణ ని వే ది క .
- मैं ? - हाँ , वह ख री दे गा . चलो .	- నే నా ? - అవును , తను కూడా . రండి .
हम तुमहें घर ले जाएँगे , लॉ रे न .	నినను ఇంటికి పం పి సతుననా ం , లో రెన .
नै वि गे टर , पायलट के लिए , मे जर इ ग न ते जी से नीचे गिर रहे हैं .	పె లెట కి నా వి గే టర స ందే శం , మే జర ఈ గ న విమానం వే గ ంగా నే ల కూ లు తోంది .
किसी मै के निक ने छे द गि ने थे .	ఒక మె కా నిక వాటి ని లె కక పెటటా డు .
टॉ प ट रे ट , बॉ म बार डि यर के लिए .	బం బా ర డి య ర కి ఎ గు వ గ నన ర స ందే శం .
- माफ कीजिए , सर . मुझे बताया गया था कि आपका विमान . . . - उसे कुछ नहीं हुआ .	- సా రీ , సర . మీ విమానం ద ె బబ తి ందని చెపపా రు . . . - కానీ , అదే మీ జరగ లేదు .
वैसे , मैं चा हूँ गा कि जर मन बे श रत आत म सम र प ण करें , पर इससे काम हो जाएगा .	కానీ , ఆ జర మన లు బ ే ష ర తు గా ల ొ ం గి పో వాలని కో రు కుంటా ను , కానీ ఇలా గ యి నా ఫర వాలేదు .
दो इं जन ध व सत हो चु के थे , पू रे ढ ा ं चे में छे द ही छे द थे .	రెండు ఇం జ న లని ష ూ ట చేశారు , మా ఫ యూ స లే జ ని ండా చి లలు లు పడ డా యి .
मैंने जी न को चि ट ठ ी लि ख ी थी .	తెలుసా , నేను జీ న కి లే ఖ రా శా .
मैं पहले तुमहारे पै र उठा ऊँगा .	ముందు మీ కా ళలు అ ందుకు ంటా ను .
वे मुझे फिर से जब र दस ती नहीं भेज सकते . मैं नहीं जा ऊँगा .	ననను మళలీ విమానం లోకి వాళలు పం పి ంచ లే రు . నేను చచ చి నా వెళ లను .
आज हम जिन लोगों पर ब म गि रा ने वाले हैं , उन में से किसी ने बक को नहीं मा रा .	ఈ రోజు మనం దా డి చేయ బో యే వారి లో ఒకక రు కూడా బ క విమా నా నని నే ల కూ ల చ లేదు .
यह कम ब खत च मत कार था कि यह आदमी , ए व रे ट ब ले क ली , विमान को उ तार भी स का .	ఆ విమా నా నని ఈ మనిషి , ఏ వర ె ట బ లేక లీ , నే ల మీద కి ది ంచ గల గ డం అనే ది ఒక అదభు తం .
ह द है , कर ै ंक .	దేవుడా , క రా ంక .
- मेरा पै र ! - मैं आ रहा हूँ !	- నా క ాలు ! - నేను వ సతుననా !
टे ल 2 3 2 3 7 . सला इट ली ड ें जर स .	టె యి ల 2 3 2 3 7 . స ల యి ట లీ డే ం జర స .
कि बस कि सम त नहीं हो सकती .	కాబటటి వాటి ని అద ృష టం అంటా ం .
हाँ , दिख रहा है . लगता है च ौ था इं जन ख रा ब हो गया है .	అవును , నిర ధా రి సతుననా ం . దాని నాలు గో ఇం జ న పా డె న టలు ఉంది .
ब ॉल ट रे ट , दल के लिए . ज मी न से हम ला , नीचे ह ल का दा ई ं तरफ .	క రూ తో ది గు వ గ నన ర . శ తరు విమా నాలు , కు డి వెపు ది గు వ న .
हमारे लड के कहाँ हैं , चि क ?	మన సె ని కులు ఏ మె పోయా రు , చి క ?
टे ल 2 3 2 2 9 . पै स डी ना नी ना .	టె యి ల 2 3 2 2 9 . పా స డీ నా నీ నా .
उनके उडा न भर ने के बाद , मैं कुछ नहीं कर सकता था .	విమానం గ ాలి లోకి ఎ గి రా క , నేను చేయ గ లి గి ంది ఏమీ ఉండ దు .
मैं आपको छोड आ ऊँ , मे जर ?	మిమమలని ది ం ప మ ంటా రా , మే జర ?
शा ंत रहो . धयान से सुनो .	ని శ శ బ ద ంగా ఉండ ండి . విన ండి .
हाँ , हम जि तना हो स के , उ तनी ते जी से जा रहे हैं .	అవును , మనం సా ధయ మెన ంత వే గ ంగా విమా నా నని న డు పు తుననాం .
मुझे छु डा ओ ! मुझे छु डा ओ !	ననను లా గ ండి ! ననను లా గ ండి !
मुझे वे सुना ई दे रहे हैं .	నాకు శ బ ద ం వి ని పి సతోంది .
ब बल स , वह पिछ ले हफ ते मा रा गया . वह मेरी गलती थी .	బ బు లస , కింద టి వా రం అతను చని పోయా డు . అది నా పొ ర పాటు .
हे भगवान , हमें लगा था कि तुम मा रे गए .	దేవుడా , నువవు చని పోయా వు అను కుననా ం .
- ब बल स . . . कैसे हो , दोसत ? - कया यह सच में तुम हो , कर ॉ ज ?	- బ బు లస . . . ఎలా ఉననావు , మి తర మా ? - నిజంగా నువవే చేశా వా , క రో జ ?
मैं सु नि श चि त करना चाहता था कि सारे नै वि गे टर ों के पास जरूरत की सा री चीजें हों .	అంటే , నా వి గే టర లు అంద రికీ వాళల కి కావాల సిన వి అ ంది ంచే లా దగ గ రు ండి చూ సుకో వాలి అను కుననాను .
है री , नहीं .	హ యా రీ , లేదు .
पह ला इं जन बंद हो गया है .	మొదటి ఇం జ న ఆ గి పోయింది .
सी धे सामने को 1 2 : 00 कहते हैं . तो , पीछे का मतलब है . . .	సరి గగా నె తతి మీద ఉంటే ప నన ె ండు గంట లు . మరి , మీ వె నుక ఉంటే . . .
इ ग न का कया ?	ఈ గ న ఏమ య యా డు ?
पायलट , दल के लिए , कया किसी को 1 00 व ें के कोई और विमान दिख रहे हैं ?	సి బబంది కి పె ల ట స ందే శం , 1 00 వ గర ూ పు లో మి గ తా విమా నాలు ఏమెనా కనిపి సతుననా యా ?
त ट तक पहुँच ने से पहले , हमारे और 9 5 व ें के बीच की	తీ రం చే రు కునే వర కూ మన కీ , 9 5 వ విమా నా ని కీ మధయ
शायद उनहोंने अपना फै सला ले लिया .	బహుశా వాళలు నిరణ యం తీసుకు ని ఉంటా రు .
कल र क को बता इए कि आपको कया चाहिए .	మీకు ఏ వే ం కావాల ో గు మా సతా కి చెపప ండి .
शायद किसी को गि न ती नहीं आती है . विमान से कोई नहीं कू दा था .	వాళలు సరి గగా లె కక పెటట లే ద ను కుంటా . మ ాలో ఎవరూ చని పో లేదు .
वह बस सु नि श चि त कर रहा है कि तुम मेरा विमान उ ड वा न दो .	నా విమా నా నని నువవు నే ల కూ ల చ కుండా చూ సుకో వాలి అను కు ని ఉంటా డు .
मौ सम साफ हो जाना चाहिए .	అంతా కలి య ర అయి పో వచచు .
तुमहें कोई मदद चाहिए ?	మీకు ఏమెనా సాయం కా వ ాలా ?
. . . ए ट थ ए यर फो रस का सबसे म हा न नै वि गे टर , वह रहा वहाँ , दे वि यों .	. . . ఎ యి త ఎ యి ర ఫో రస లో చాలా గొపప నా వి గే టర , అది గో అకకడ ఉననాడు , లే డీ స .
मुझे पै रा श ू ट नहीं दि खे .	నాకు ఏమీ కనిపి ంచ లేదు .
समझ गया , विमान 0 8 7 . ए म बु लें स भेज रहा हूँ .	వి ననా ము , విమానం 0 8 7 . అ ం బు లె నస ని పం పి సతుననా ం .
- मैंने यह पहले कभी नहीं सुना . कभी नहीं . - सच में ?	- ఇంత కు ముందు ఎపపుడూ నేను అది విన లేదు . ఎపపుడూ . - నిజంగా ?
ह द है . कोई बात नहीं .	దేవుడా . మ రే ం ఫర వాలేదు .
हम ठीक उस समय हम ला करेंगे जब सब परा र थ ना करके निकल रहे होंगे .	అందరూ పరా రథ నలు ము గి ంచు కు ని బయట కి వచచే సమయం లో మనం దా డి చేయ బో తుననాం .
यह यु द ध है .	ఇది యు దధ ం .
" जी , सर . "	" సరే , సర . "
" शी ज ग ॉ ना "	" ష ీ స గో ననా "
वह इंतजार .	ఎదు రు చూడ టం .
है म बो न काफी घ ा य ल है .	హా ం బో న బాగా గా య పడ డా డు .
बॉ म बार डि यर , पायलट के लिए . अभी ?	పె ల ట కి బం బా ర డి య ర స ందే శం . ఇ పపు డా ?
मैं 1 00 व ें का सी ओ बोल रहा हूँ .	నేను 1 00 వ గర ూ ప క మా ండి ంగ ఆ ఫీ సర ని .
ठीक है . बिलकुल यहीं , बिलकुल यहीं .	సరే . సరి గగా ఇకకడ , సరి గగా ఇకకడ .
वैसे , तुमने आ यु ध वि भाग को ब म लो ड का वि वर ण पहुँ चा दिया ?	సరే , బా ం బ లో డ వి వర ాలని ఆర డి నె నస వాళల కి పం పి ంచా రా ?
यह सही नहीं है . आज र वि वार है .	ఇది స రెన ది కాదు . ఈ రోజు ఆ ది వా రం .
ह द है , ब रे डी , मैं तुमहारा व रि ष ठ अधि कारी हूँ . अब कू दो !	డా మి ట , బ రా డీ , నేను సీ నియ ర ఆ ఫీ సర ని . వెంట నే దూ కు !
ए , तुमने मेरा लॉ कर भेज तो नहीं दिया न ?	హేయ , నా లా కర ని ఇ పపటి కే తర లి ంచే శా రా , ఏంటి ?
हम अभी - अभी दो दि नों में दो मि शन पर गए .	మనం రెండు రోజు లలో రెండు మి షన లు నిర వ హి ంచా ం .
टे ल 2 3 5 3 4 . ओ लड डै ड .	టె యి ల 2 3 5 3 4 . ఓ ల డ డా డ .
- मे जर ? - क लि फ ट ! कया हमारे पास 2 3 0 7 5 8 है ?	- మే జర ? - కలి ఫ ట ! మన దగగర 2 3 0 7 5 8 ఉందా ?
सट े ब ला इ जर पूरी तरह त बा ह हो चुका था . हम पह िए उ तार न स के .	సట ె బి లె జర పూరతి గా తు నా తు న కల యి పోయింది . చ కర ాలు కి ంది కి ది గ లేదు .
मैंने सब संभाल लिया है . उनके पास सा री जरू री जानकारी है .	ఆ ఏ ర పా టలు అన నీ పూర తయ యా యి . వాళల కి కావాల సిన వ ననీ సిదధ ంగా ఉననాయి .
मुझे एक ड रि ंक चाहिए .	నేను డ రి ంక తా గ ాలి .
और कर ै ंक ?	మరి క రా ంక ?
टे ल 2 3 4 3 3 . लि यो ना .	టె యి ల 2 3 4 3 3 . లి యో నా .
पया री जी न ,	డి య ర జీ న ,
पया री जी न ,	డి య ర జీ న ,
हमें अभी यहाँ से निकल ना होगा . चलो चल ें !	మనం ఇకకడ నుండి బయట పడ ాలి . వెళ దాం పద !
वह ए चि न सन के दल के साथ है .	అందు లో అ చి నస న సి బబంది ఉననారు .
अभी जाता हूँ , मे जर .	వెళ తుననాను , మే జర .
वह हमारा नहीं है .	అది మన విమానం కాదు .
तुम बेहद बु रे दिख रहे हो .	నువవు నీ రస ంగా కనిపి సతుననా వు .
चलो चल ें ! हमें तु र ंत यहाँ से निकल ना होगा !	వెళ దాం పద ండి ! మనం వెంట నే ఇ కకడి నుండి బయట పడ ాలి !
पता चला तुमहारे विमान से चार पै रा श ू ट निकल ते देख े गए थे .	మీ విమానం నుండి నాలు గు పా రా చూ టలు చూశా మని చెపపా రు .
- ठीक है , ब बस . - एक तुमहारे लिए ?	- ఫర వాలేదు , బబ స . - నీకు కూడా కా వ ాలా ?
ए , वह इ ग न है . वह इतनी जलदी कैसे लौट आया ?	హేయ , తను ఈ గ న . ఇంత తొ ంద ర గా వచచి ఏం చేసతుననా డు ?
चलो . मुझे अपनी जै के ट दो .	ఇలా రా . నీ జా కె ట నాకు ఇవ వు .
ल डा कू विमान , सी धे सामने . कम ब खत कई सौ की ता दा द में होंगे .	ఫె టర విమా నాలు , మన పె నే ఉననాయి . ఆ చెతత వెధవ లు వ ంద ల సం ఖ య లో ఉండ చచు .
अरे , धत !	ఓహ , చెతత !
बाकी सभी कहाँ हैं ?	అందరూ ఏ మె పోయా రు ?
पीछे ह ल का बा ई ं तरफ , ऊँ चा ई पर और भी कमी ने हैं .	ఎకకువ మంది వెధవ లు ఎడ మ వెపు ది గు వ న ఉననారు .
नहीं , सर . कोई पै रा श ू ट नहीं दिखा .	లేదు , సర . పా రా చూ టలు ఏమీ కనిపి ంచ లేదు .
हम एक मि शन पर मु ं सटर गए थे .	ము ం సటర కి మి షన వెళలి ంది .
कया उनहें सक वा डर नों को बा री - बा री से नहीं भेज ना चाहिए ?	వాళలు స క వా డ ర న లని మార చి మార చి వి ని యో గి ంచాలి కదా ?
लगता है वे विमान से कू द ने की तै या री कर रहे हैं .	వాళలు విమా నా నని వి డి చి పెటట డానికి సిదధ మ వు తునన టలు ననా రు .
वहाँ नीचे कया हो रहा है ? हमें ब म गि रा ने हैं .	కింద ఏం జరుగు తోంది ? మనం బా ం బు లు వ దల ాలి .
कै प टन , इसे ए स - 2 के पास ले जा इए .	కె ప టె న , మీరు ఎ స - 2 విమానం తీసుకో ండి .
शायद मैं अपने प द से ह टा दिया जा ऊँगा . कार टर भी .	తొ ల గి ంచే వారి జా బి త ాలో నేను కూడా ఉననాను . కార టర కూడా .
हम ल कष य तक पहुँच सकते हैं .	మనం లకష యానని చే రు కో గల ం .
विमान छोड ने का अ ला र म ब जाओ !	ని ష కర మ ణ బె ల ని న ొ కక ండి !
- मदद करो ! मदद करो , मेरा हार ने स फ ँ स गया है ! - है म बो न !	- సాయం చేయ ండి ! సాయం చేయ ండి , నా ప టట ీ ఇ రు కకు పోయింది ! - హా ం బో న !
यह अचछा वि चार है .	అది మంచి ఐ డి యా .
कल ै न टन . . . उसका चे हरा उ ड गया .	క లా ంట న . . . అతని ముఖ ం క ాలి పోయింది .
मुझे गोली लगी है !	నేను గా య పడ డా ను !
हमें है री को नीचे उ तार ना होगा .	మనం హ యా రీ ని కి ంది కి తీసుకు వెళల ాలి .
ड टे रहो , लड कों .	ఆ గ ండి , మి తరు లా రా .
ली ड पायलट , नै वि गे टर के लिए , इसे एक और या ंत रि की ख रा बी के रूप में नो ट करो गे ?	నా వి గే టర కి లీ డ పె లెట స ందే శం , ఇది మర ొక మె కా ని కల లోప ంగా లా గ బు క లో న మో దు చేయి , సరేనా ?
आर ए ए फ बे स में फोन ही नहीं था .	ఆర . ఎ . ఎ ఫ . సథా వ రం లో టె లి ఫోన లేదు .
ली ड पायलट , टे ल के लिए , तुमहें दिख रहा है कि फ लै न ग न के विमान को कया हुआ है ?	వె నుక భా గా నికి లీ డ పె లెట స ందే శం , ఫ లా న గ న విమా నా నికి ఏ మె ందో చూశా రా ?
ऑ क सी जन का कया ? तुम वहाँ पीछे ठीक हो ?	ఆ క సి జ న సంగ తి ఏంటి ? అకకడ నీకు బాగానే ఉందా ?
ज मी न से हम ला , दा ई ं तरफ . बिलकुल पीछे .	శ తరు విమా నాలు , పూరతి గా కు డి వెపు . ది గు వ న .
ठीक है . कर ु क श ै ंक उनकी जगह ले रहा है .	వి ననా ం . క రూ కష ా ంక లీ డ సథా నం లోకి వ సతుననా డు .
हमारी तरफ रॉ के ट आ रहे हैं . बा ई ं तरफ .	రా కె టలు దూ సు కొ సతుననా యి . కు డి వెపు ఒ రగ ాలి .
टे ल . हमने एक और खो दिया ! नीचे उडा न भर ने वाला आ खि री विमान !	వె నుక భా గం . మనం ఇం కో విమా నా నని కో ల పోయా ం ! ది గు వ విమా నా లలో చి వరి ది !
और बेशक , मैं नहीं चाहता कि मेरी माँ उनकी गि न ती करें , ह ँ ?	వాటి ని మా అమమ లె కక పెటట కుండా నేను చూ సుకో వాలి , కదా ?
तुमहें अपनी जी प मिले गी . यह इस प द के फा य द ों में से एक है .	మీకు స ొ ంత ంగా ఒక జీ ప ఉంటుంది . ఈ పద వి కి ఇది న జ రా నా .
जी , सर .	సరే . సర .
समझ गया .	వి ననా ం .
ठीक है .	వి ననాను .
अ मरी की !	అ మె రిక న !
अ मरी की ?	అ మె రిక న ?
इतने क ंड ो म हैं कि मैं गि न भी नहीं सकता .	నేను లె కక పెటట లే నన ని క ండ ో మస ఉననాయి .
हम सोच ते थे कि वह अ जे य हैं .	అత డు ఓ డి పో వడం అ సా ధ యం అను కుననా ం .
जाकर सो कयों नहीं जाते ?	వెళలి పడు కో వచచు కదా ?
