इट ली .	ఇ ట లీ .
आपको हमें बता देना चाहिए , ए ले न . आप गिर फ तार होने से बच जाएँ गी .	మీరు మాకు చెపప డం మంచిది , ఎ లెన . మీరు అ రె సట ు కా కుండా చూ సుకో ండి .
बैठ जा इए .	కూ రచ ో ండి .
लेकिन जैसा कि आप देख सकते हैं , विमान ग यो र जाने के रा स ते पर है .	కానీ మీరు చూ సతే , ఆ విమానం గ యే య ర వెపు పర యా ణి స తో ందని తెలు సతుంది .
और उनहें हा इ जै क के बारे में मा लू म है ?	వాళల కి ఈ విమానం హె జా క అయి న టలు తెలుసా ?
चलो , काम पूरा करते हैं !	పని పూరతి చే దదాం పద ండి !
सट ु अ रट !	సట ు వర ట !
कि ंग डम 2 - 9 . . .	కి ంగ డ మ 2 - 9 . . .
अन ुम ति मिली ?	ది గు తుననా మా ?
जो कोई भी नीचे होगा , वह कुछ नहीं कर पा ए गा .	ఆ కింద ఎవరు ఉననా , వాళలు మన లని ఏమీ చేయ లే రు .
सै म ने ल सन .	సా మ నె లస న .
पलीज .	పలీజ .
ओह , नहीं .	ఓహ , చెతత .
ए ले न , नहीं !	ఎ లెన , వదదు !
हमें उ ड ते रहना होगा .	మన పర యా ణం కొ న సా గ ాలి .
और अब वह एक पे न के ज रि ए सा ँ स ें ले रहा है और जयादा देर वह यह नहीं कर पा ए गा .	కానీ ఇపపుడు తను పె నను గొ టట ం ద వా రా ఊ పి రి తీసు కుంటుననా డు , అది ఎకకువ సే పు కష టం .
विमान के नीचे ना उ तर ने के बाद बु डा पे सट ने उनसे सं पर क करने की कोशिश की है ,	ల యా ండి ంగ ఆ గి పోయా క బు డా పె సట . . . . . . విమా నా నని సం పర ది ంచ ాలని పరయతని ంచింది ,
- हम उसे कहाँ ले जा रहे हैं ? - ए रि का , नौ सि खि यों जै सी बातें मत करो .	- ఆమె ని ఎ కకడికి తీసుకు వెళ తుననాం ? - ఎ రి కా , మ రీ అంత అ మా య కంగా అడ గ కు .
- तुमने सुना उसने कया कहा . - वह एक ब ॉल पे न के ज रि ए सा ँ स ले रहा है .	- డా క టర మాట వి ననా వు కదా . - పె నను గొ టట ం ద వా రా గ ాలి పీ లు సతుననా డు .
विमान नीचे जरूर उ तर ने वाला है , लेकिन सिरफ चि कि त सी य कारण ों से .	విమానం ల యా ండ అవు తుంది కానీ అది కేవలం వె దయ సహా యం కోసం మాతరమే .
ठीक है . जब भी तुमहें सही लगे , सी धे अंदर चले जाना . समझ गए ?	సరే . మీరు రె డీ అయ యా క , నే రు గా ఆ ఇంట లోకి జ ొ ర బడ ండి . అరథ మె ందా ?
वे हमें , हमारे परिवार ों को , तुमहारे परिवार को मार देंगे .	వాళలు మన లని చం పే సతారు , మన కుటుం బ ాల నీ , నీ కుటుం బా నని కూడా .
एक हा इ जै क किए गए विमान को अपने यहाँ कौन उ तार ना चाह े गा ?	హె జా క అయి న విమానం తమ ఎ యి ర పో ర ట కి రా వడం ఎవరూ ఇష ట పడ రు .
दे वि यों और स जज नों , पलीज अपनी कु र सी की पे टी बा ं धे रख ें .	లే డీ స అ ండ జె ంటి ల మెన , మీ సీ ట బె ల టు లు పెటటు కు ని ఉండ ండి .
हम आपको लि फा फा देने वाले आदमी की त सवी र ों के लिए	మేము వె ట హ ాల సి సి టీ వీ ఫ ు టే జ కూడా చె క చేసతుననా ం
दु ब ई का एक ह वाई या ता या त निय ं तर क उसे ढूँढ ने उसके घर गया था . उसकी ला श भी मिली है .	ఆమె కోసం వె తు కు తూ దు బా య ఎ యి ర ట రా ఫి క క ంట రో ల ర వెళ లా డు . అతను కూడా హ తయ కు గుర య యా డు .
- हाँ . - दोसत ों , हम अभी भी रो मा निया के ऊपर हैं .	- అవును . - మనం , ఇంకా ర ొ మే ని యా పరి ధి లోనే ఉననా ం .
तो , अगर हमें यह करना है , तो अभी करना होगा .	అందు వలల , మనం ఏదెనా చేయ ాల ంటే , ఇ పపుడే చేయాలి .
आप लू इस और सट ु अ रट ए टर टन की माँ हैं , हाँ ?	మీరు లూ యి స ఇంకా సట ు వర ట అ టె ర టన అమమ , అవునా ?
हमने कुछ नहीं किया . पे न उसके हाथ में है .	మేము ఏమీ చేయ లేదు . అది అతని చే తి లోనే ఉంది .
यही मै से ज है . एक घं टे से भी कम . यह . . .	అదే మె సే జ . గంట క ననా త కకువ సమయం . అది . . .
हाँ . हाँ , और हमने इस बात की पु ष टि की है .	తెలుసు . అవును , మేము నిర ధా రణ చేసు కుననా ం .
हमने हमेशा यही रा सता अपना या है , है ना ?	మనం ఎపపుడూ పా టి ంచే వి ధా నం అదే , అవునా ?
वह मर ने वाला है . अगर अभी नहीं , तो ल ंद न पहुँच ने से पहले तो नि श चि त त ौर पर .	అతను చా వు బ తు కు ల మధయ ఉననాడు . ఇపపుడు కా క పోయి నా , ల ండ న చే రే లో గా చని పో వచచు .
या फिर आपको आत ंक वाद अधि निय म के से क शन 4 1 के अं तर गत गिर फ तार कर लिया जाएगा .	లేదా టె ర ర రి జ మ చ టట ం సె కష న 4 1 కింద మిమమలని అ దు పు లోకి తీసుకో వల సి వ సతుంది .
हाँ . लेकिन ये सिरफ डर ग स का ध ं धा नहीं करते .	అవును . కానీ అది కేవలం డ రగ స వయా పార మే కాదు .
कया कहा तुमने , दोसत ? दोबारा कहना .	ఏంటి అననా వు , మి తర మా ? మళలీ చెపపు .
यह विमान को ऐसे नहीं उ तार सकता .	విమా నా నని అతను కి ంది కి ది ంచ లే డు .
इस वकत इसकी हा लत स थ िर है और इसके अ ला वा मैं और कुछ नहीं कह सकता .	ఇ పపటి కి అతని ఆ రో గ యం ని ల క డ గా ఉంది , కానీ నేను అంత వర కే చెపప గలను .
ये कोई वि तर क या त स कर नहीं हैं .	వాళలు డీ ల రలు లేదా సమ గల రలు కారు .
यह न ली , जो तुमने लगा ई है , यह इसे जि ंदा नहीं रख पा ए गी , है ना ?	అతనికి ఊ పి రి అ ంది సతునన ట యూ బు , అది ఎకకువ సే పు ఉండ దు , అవునా ?
हम अपना फै सला बता ने वाले हैं .	మా నిరణ యం మరి కా సే ప ట లో చెబు తా ం .
मुझे लगता है तुम गलत घर पर आ गए हो , दोसत .	నువవు పొ ర పాటు న వే రే ఇంటికి వచచా వు , బు జ జీ .
मु द दे की बात यह है कि हम उनके सामने म जब ूर नहीं दिख सकते .	ఇకకడ విషయం ఏమి ట ంటే , మన లని బ లా క మె యి ల చేసే అవకా శం ఇవవ కూడదు .
- अब विमान नहीं रु के गा . - हाँ .	- మనం ఏ దీ ఆ ప డం లేదు . - అవును .
नहीं , एक इंसान के लिए नहीं .	లేదు , ఒకక మనిషి కోసం ఆ ప లే ము .
आप विमान नीचे उ तार सकते हैं .	మీరు ది గ డానికి అను మ తి ఉంది .
डॉ क टर ने मुझसे यही कहा था .	డా క టర నాకు ఆ విషయం చెపపా డు .
सच यह है कि उसके फ े फ डे पूरी तरह से काम नहीं कर रहे हैं	వా సత వం ఏమి ట ంటే , తన ఊ పి రి తి తతు లలో గ ాలి ఇ రు కకు పోయింది ,
चलो , उससे पूछ ते हैं , कयों ?	అతని నే అడుగు దాం , అడుగు దా మా ?
इन का काम इसका ने ट वर क चला ना है . ऐसे समझ ो कि ये प ट रि या ँ बना ते हैं , ट रे न नहीं चला ते .	వాళలు చేసే పని ఏమి ట ంటే , నె ట వర క ని నిర వ హి ంచడం . ట రా కులు వే య డం , రె ళలు న డ ప డం కాదు .
इसका फै सला यह नहीं कर सकता .	నిరణ యి ంచ ాల సింది అతను కాదు .
स थि ति ज स की त स ब नी हुई है .	పరిసథి తి ఇంకా అలాగే ఉంది .
आप बता सकते हैं अगर यह आपकी जानकारी से मे ल खा ता है .	మీ సమసయ తో దీ నికి ఏమెనా సంబం ధం ఉ ందని పి సతే చెపప ండి .
पे न कहाँ है ? पे न कहाँ चला गया ? कया किया है तुमने ?	ఆ పె న . ఆ పె న ఎ కకడికి పోయింది ? నువవు ఎంత పని చేశా వు ?
और स करी न वापस चा लू करनी हों गी , बस एक मिनट के लिए , ताकि मैं न क शा देख सक ूँ .	మనం మళలీ స క రీ నస అన నీ ఆన చేయాలి , ఒక నిమిష ం సే పు , అ పపుడే నేను మయా ప ని చూడ గలను .
मतलब , हो सकता है ना भी हों . हो सकता है वह बस उस बं दे की माँ को जानता हो .	అంటే , వాళలు స ొ ంత అనన ద మ ము లు కా కపో వచచు . ఆ చినన వాడి తల లి అతనికి తెలి సి ఉండ చచు .
मुझे ता जा जानकारी चाहिए .	నాకు తా జా సమా చా రం కావాలి .
और अगर इसमें कुछ ग ड ब ड हो गई , तो वे तुमहारे पू रे परिवार का वही अं जा म करेंगे .	మనం ఈ పని సరి గగా చేయ కపోతే , వాళలు నీ కుటుం బా నని , మొతత ం అంద రి నీ చం పే సతారు .
ह ं गे रि या ई भा ष ा में , " हमें चि कि त सी य मदद चाहिए . "	హం గే రీ భా ష లో , " మాకు వె దయ సహా యం కావాలి " అని చెపపు .
इस बार बिना ला ग - ल पे ट के .	ఈ సారి మంచి మాట లు ఉండ వు .
हमें चि कि त सी य मदद चाहिए .	మాకు వె దయ సహా యం కావాలి .
हमें चि कि त सी य मदद चाहिए .	మాకు వె దయ సహా యం కావాలి .
कया मैं एक टि श ू ले आ ऊँ ?	నే న ొక టి ష యూ తె చచు కో వచచా ?
उसने खुद अपनी जान ली है .	త నే స వయ ంగా చేసు కుననా డు .
विमान को नीचे मत उ ता रो .	ల యా ండి ంగ పర కరి య ని ఆ ప ండి .
पहले हमें अपने ब डे अफ सर ों से बात करनी होगी .	మా ఉనన త అ ధి కారు లతో మాటలా డి కానీ ఏమీ చెపప లే ము .
वापस अपनी सी ट पर बैठ ो .	వెళలి నీ సీ ట లో కూ రచ ో .
यह उसकी माँ का घर है . इसकी त ला शी लो . जो भी म ुम किन है , पता लगा ओ .	అతని తల లి ఉనన ఇ లలు . దానని వె త క ండి . మీకు ఏం తెలి సతే అది సే కరి ంచండి .
इन लोगों को जेल से रि हा करने के लिए आपके पास	ఆ విమానం ల ండ న చే రు కునే వర కూ మీకు సమయం ఉంది
इसके पास कितना समय है ?	అతనికి ఎంత సమయం ఉంది ?
आई एल ए स सं वे द न शी ल कष े तर	ఐ ఎ ల ఎ స సమ స యా తమ క పర దేశం
यही होता है जब आप उनकी बातें मान ले ते हैं .	వాళలు అడి గి న ది చే సతే చి వ రికి ఇదే జరుగు తుంది .
और अगर आप ली ड स के फै न नहीं हैं ,	మనం లీ డ స జ టటు కి అభి మా ని కా కపోతే ,
जिन लोगों के लिए हम काम करते हैं , उनहोंने इसके पिता को मर वा या था .	మేము ఎవరి దగగర పని చేసతా మో , వాళళు అతని త ండ రి ని అలాగే చం పే శా రు .
जिस ने के ए 2 9 में च ढ ने वाले बि ज ने स कला स के या त रि यों को चे क किया था ,	కె ఎ 2 9 పర యా ణి కు ల బి జి నె స క లా స పర యా ణి కు లను త ని ఖ ీ చేసిన ఒక ఉద యో గి
अचछा . इसके साथ रहना .	సరే . ఇ త ని దగ గరే ఉ ండు .
ए ना को वै कस फर सट ऑ फि सर	ఆ నా కో వా కస ఫ సట ఆ ఫీ సర
हम वही करेंगे जो हमने कहा था . बात खतम .	మనం ఏం చేయ ాలని చెపపా రో అదే చేసతా ం . అంతే .
हम नीचे उ तर रहे हैं .	కి ంది కి ది గు తుననాం .
तुमहें यह विमान नीचे उ तार लेना चाहिए .	మీరు ఈ విమా నా నని ల యా ండ చేయాలి అనుకుంటా .
लेकिन कयों ? हमने लोग बं ध क बना ए हुए हैं .	దే నికి , అయితే ? మన దగగర బ ంద ీ లు ఉననారు .
जिस के बारे में तुम कुछ नहीं जानते और जिस में कुछ भी गलत हो सकता है .	దాని గురించి నీకు ఏ మా తరం అవ గా హ న లేదు , అపపుడు కూడా ఏదెనా న ష టం జరగ చచు .
तुमहें किस ने बताया ?	నీకు ఎవరు చెపపా రు ?
उसने ऐसा ही कहा था .	అతను చెపపి ంది అదే .
तुमहें यह कैसे पता ?	అది నీ కె లా తెలుసు ?
इसलिए उनके लिए और आपके लिए , मैं इस बात की पु ष टि करती हूँ कि विमान की समस या ह ल हो चु की है ,	కాబటటి వాళల కోసం , మీ కోసం నేను నిర ధా రి ంచే ది ఏమి ట ంటే , విమానం లో ఏ ర పడి న పరిసథి తి పరి ష కా రం అయి ంది ,
मेरे खया ल से आप जानती हैं , ए ले न , कि हम यहाँ कयों आए हैं .	మేము ఇకకడికి ఎందుకు వచచా మో మీకు తెలి సే ఉంటుంది , ఎ లెన .
पता नहीं मैंने फु ट ब ॉल कयों कहा . मैं खुद फु ट ब ॉल के बारे में कुछ नहीं जानता .	నేను ఫ ు ట బ ాల అని ఎందుకు అననా నో తెలియదు . నాకు దాని గురించి ఏమీ తెలియదు .
कया यह आ परा धि क स ंग ठ न अपनी ध म की पर काम भी कर सकता है ?	ఈ నే ర గా ళల గర ూ పు ఈ హె జా క బె ది రి ంపు ని అమ లు చేయ గ లు గు తు ందా ?
और इन दोनों को 3 5 साल की जेल हुई . साथ ही , ये दोनों बेहद नि र द य ी इंसान हैं .	ఇంకా ఈ ఇదద రికీ 3 5 ఏ ళల జె లు శి కష పడి ంది . వాళ లి దద రూ కర డు గ టటి న నే ర గా ళలు .
शुकरिया , बु डा पे सट .	థాంక యూ , బు డా పె సట .
तुम दोबारा उडा न भर सकते हो और इस हा इ जै क को जा री रख सकते हो ,	మీరు కొ ద ది సే పు వి రా మ ం తీసుకు ని మళలీ మీ పని మీరు కొ న సా గి ంచ చచు ,
पहले ए फ पी सी सी से बात करवा ओ , पलीज .	ముందు ఎ ఫ . పి . సి . సి . తో మాటలాడ దాం .
कयोंकि अगर वे सो श ल मी ड िया पर होंगे , तो उनसे इन लोगों की पह चा न और म ं शा पता चल सकती है .	ఎందుకంటే వాళలు గ నుక సో ష ల మీ డి య ాలో ఉంటే , వాళల అసలు స వర ూ ప ాలు , ఉద దే శ ాలు బయట పె డ తారు .
- अचछा ? तुमने यह कहाँ से सुन लिया ? - वह तो यह करना भी नहीं चाहता है .	- అవునా ? అది నీకు ఎలా తెలి సింది ? - అతనికి ఈ పని చేయడం ఇషటం లేదు .
- विमान दोबारा उडा न भर सकता है . - नहीं भर सकता , वे हमें रो क सकते हैं .	- మనం మళలీ టే కా ఫ కావాలి . - మనం అది చేయ లే ం , వాళలు మన లని ఆ పే య చచు .
इस देश का एक ल म बा इ ति हा स रहा है	ఈ దేశం లో ఒక సు దీ ర ఘ మెన చ రి తర ఉంది ,
अपनी स थि ति की पु ष टि करें , पलीज .	మీ పరిసథి తి ని నిర ధా రి ంచండి , పలీజ .
हो सकता है उसका इस सबसे कोई लेना - देना ना हो , लेकिन वह उसके बारे में हमें बता ना चाहते हैं ,	ఈ వయ వ హా ర ంతో దానికి సంబం ధం ఉండ కపో వచచు , కానీ ఆయన దానని మన తో ష ే ర చేసుకో వాలని అను కుననా రు ,
यह काफी छो टा है , तो पहले मैं इसे पढ दे ता हूँ .	ఇది కలు ప తంగా నే ఉంది , కాబటటి నేను మొద ట చ దు వు తాను .
वह कुछ नहीं था .	మా మధయ ఏమీ లేదు .
उसने तुमहें अभी तक कया बताया है ?	ఆమె నీకు ఖచచితంగా ఏం చెపపి ంది ?
नहीं . उसने कहा , " मैंने माँ को फोन किया था . "	లేదు . అతను అననా డు , " నేను అమమ కి ఫోన చేశా ను " అని .
मैं दो हरा ती हूँ , विमान सिरफ चि कि त सी य कारण ों से रो का जा रहा है .	మళలీ చెబు తుననాను , వె దయ అవ సర ాల కోసం మాతరమే విమానం ఆగు తుంది .
बु डा पे सट , हम 1 0 , 00 0 फु ट की ऊँ चा ई पर हैं . हम नीचे उ तर ना शुरू कर रहे हैं .	బు డా పె సట , మేము ప ది వే ల అడుగు ల ఎ తతు లో ఉననా ం . మా చి వరి అ వర ో హ ణ ని మొద లు పె డు తుననాం .
तुम ली ड स से नहीं हो ना ? तुमहारी बात ों से तुम ल ंद न के लग ते हो .	నీ స వ సథ ల ం లీ డ స కాదు , కదా ? నీ భా ష ల ండ న వా సి మా ది రి గా ఉంది .
कया हुआ , दोसत ?	అది ఎవరు , బా బు ?
किसी को भेज कर उसे मर वा दिया .	అతని ఒ ంట లోకి బు లెట ని ది ంచారు .
ताकि मैं देख सक ूँ कि हमें किस ह वाई अ ड डे से गु जा रिश करनी है .	అ పపుడే , మనం ఏ ఎ యి ర పో ర ట ది గు తా మో చూ సి వాళ లని ఒ పప ి ంచాలి .
ज . . . जरूरत है , कयोंकि अप हर ण करता ह ं गे रि या ई नहीं बोल ते हैं .	నాకు . . . మన కి అవసరం , ఎందుకంటే హె జా కర లు ఆ భా ష మాటలాడ రు .
नी ल , हम तुमहें फोन कर रहे थे .	నీ ల , నీ కోసం కాల చేసతుననా ం .
लेकिन उसे इ ला ज की जरूरत है .	కానీ అతనికి వె దయ చి కి త స అవసరం .
वह मेरा भाई है . तुमहारा सा थी .	వాడు నా తమ ము డు . నీ స హ చ రు డు .
कि ंग डम 2 - 9 , हमें आपके खिला फ एक चे ता व नी सं के त दिया गया है .	కి ంగ డ మ 2 - 9 , మీ విమానం పె న పర సతు తం పరమా ద హె చచ రిక ఉంది .
कया ये आत . . .	ఇ వి ఏంటి . . .
इसलिए , ऐसा लग रहा है कि म ुम किन है वे विमान को उ तर ने द ें .	కాబటటి , ఏదెనా అవకా శం దొ రక చచు అని ఇకకడ అనుకుంటుననా రు .
तुम खुद उससे पूछ लो , पलीज .	కావాల ంటే అత డి నే అడుగు , పలీజ .
- अचछा . मुझे यह दिया गया है . - माफ करना .	- సరే . నాకు ఇది అ ంది ంచారు . - ఎ కస క యూ జ మీ .
नहीं तो , सब खतम हो जाएगा .	లే కపోతే , మా పని అయి పో తుంది .
- किस ने कहा वह मेरा भाई है ? - वह तुमहें नि रा श नहीं करना चाहता .	- నా తమ ము డని నీకు ఎవరు చెపపా రు ? - నినను ని రా శ పర చ డం తన కి ఇషటం లేదు .
तो अगर तुम ह ं गे रि या ई भा ष ा में उन तक एक मै से ज पहुँ चा दो , तो यह सब खतम हो सकता है .	కాబటటి హం గే రీ లో వాళల కి మన పరిసథి తి చెపప గ లి గి తే , ఈ గొ డ వ కి పరి ష కా రం ఉంటుంది .
जिस भी दरवा जे पर चि कि त सक बुला ए जाते हैं ,	మె డి కల సి బబంది ఏ ద వా రం గు ండా వెళ తా రో ,
हाँ . नहीं , नहीं . विमान को नीचे मत उ ता रो .	అవును . లేదు , లేదు . ల యా ండి ంగ ని ఆ ప ండి .
ह ं गे रि या ई ह वाई या ता या त निय ं तर क अ ंग रे जी बोल ते हैं .	హం గే రీ ఎ యి ర ట రా ఫి క క ంట రో ల వాళలు ఇం గ లీ ష లో మాటలాడ గల రు .
ठीक है . अचछा .	సరే . మంచిది .
जाओ , कल आ ना .	మళలీ రే పు రా .
यहाँ कोई वि कल प नहीं हैं .	మన కి ఎలా ంటి అవకా శ ాలు లేవు .
मेरी मदद करो .	సాయం చేయ ండి .
बोल कर दिखा ओ .	ఆ మాట ే చెపపు .
और आगे के नि र देश ों का इंतजार करेंगे .	ఇంకా మేము ఇ చ చే ఆ దే శ ాల కోసం వే చి ఉండ ండి .
अपने घर में म ृ त पा ई गई है .	ఆమె ఇంట లో హ తయ కు గు రె ంది .
और हम वही करते हैं जो वे चाहते हैं , हमेशा . हमें करना ही पडता है .	వాళలు ఏం చె బి తే మేము అదే చేసతా ం . ఎపపుడూ , మేము అలాగే చేయాలి .
हमें जो काम सौ ं पा गया है , हमें वह काम पूरा करना है .	మన కి ఒక పని అ పప గి ంచారు . మనం ఆ పని పూరతి చేసతా ం .
उनहोंने अभी फै सला नहीं किया है .	వాళలు పర సతు తం చ రచ లు జ రు పు తుననారు .
हमें विमान को उ तर ने से रो क ना होगा .	మనం దీ నని ఆ ప ాలి , ఆ ల యా ండి ంగ ని ఆ ప ాలి .
द ची प सा इ ड फर म , जिस के सर ग ना हैं एडगर य ै न सन , बा एँ ,	ఒక చ ీ ప సె డ సం సథ కి , ఎడ మ వెపు ఉనన ఎడ గర జా న సె న ,
हा इ जै क अभी भी जा री है .	హె జా క ఇంకా కొ న సా గు తోంది .
ए ले न ए टर टन ?	ఎ లెన అ టె ర టన ?
और अपनी सी ट ों को बिलकुल सी धा कर द ें .	మీ సీ ట ని తిరిగి ని టా రు గా ఉ ంచండి .
आप मुझे बता एँ गी कि वे किस के साथ काम कर रहे हैं ?	వాళలు ఎవరి తో కలిసి పని చేసతుననా రో చెబు తా రా ?
शायद विमान को उ तार ने का अनु रो ध किया गया है .	విమానం ల యా ండి ంగ కోసం వాళలు పర మి షన అడుగు తుననారు .
आज से पहले कभी इतने सारे यू के ना गर ि कों को बं ध क नहीं बना या गया है	సరే , గ తం లో ఎపపుడూ ఇంత మంది బ రి టీ ష ప ౌ రు లను బ ంద ీ లు గా చేసు కునన దా ఖ లా లేదు ,
हम समझ ते हैं कि अप हर ण करता विमान को दोबारा यहाँ से ले जाना चा हें गे ?	హె జా కర లు మళలీ టే కా ఫ కా వడానికి పరయతని సతుననా రని మాకు తెలు సతోంది , నిజ మే నా ?
मुझे समझ नहीं आ रहा है .	నాకు అరథం కా వడం లేదు .
देख िए , यही तो बात है .	చూడ ండి , ఇది అసలు విషయం .
कया तुम मजाक कर रही हो ?	నువవు జో క చేసతుననా వా ?
उ ठ ो , दोसत .	చూడు , బా బు .
माँ , देखो .	అమమా , చూడు .
सभी या तरी सुरकष ित हैं . लेकिन अब हमें आपके स ह यो ग की जरूरत है .	పర యా ణి కులు అందరూ కష ే మ ంగా ఉననారు . కానీ మాకు ఇపపుడు మీ స హ కా రం అవసరం .
वह कहाँ है ?	ఎకకడ ఉంది ?
विमान पर कुछ दु र घट ना ओं की खबर है ,	విమానం లో గా య పడి న వాళలు ఉననారు ,
मेरे खया ल से विमान के सभी लोगों को यह सुन कर खुशी होगी .	ఈ విషయం వి ని విమానం లో అందరూ సంతోష పడ తారు అనుకుంటా .
- मेरे परिवार को कयों ? - जो या तरी हमारे लिए समस या पै दा करे , उसके परिवार को .	- నా కుటుం బం దే నికి ? - ఏ పర యా ణి కు డ ెనా సమసయ లు స ృష టి సతే , మేము చెపప ాలి .
यह एक आ परा धि क स ंग ठ न है . एक पे शे वर आ परा धि क स ंग ठ न .	వాళలు ఒక వయ వ సథ ీ క ృ త నే ర గా ళల ము ఠ ా . చాలా సమ రథ త ఉనన వాళలు .
अचछा , हमें यह जानकारी दू सर ों के ज रि ए मिल रही है ,	పర సతు తా నికి , ఇ దంతా వే రే వాళల ద వా రా తెలు సతునన సమా చా రం ,
मैंने एक फोन किया था .	నేను ఒక ఫోన చేశా ను .
हमें सिरफ पूछ ना है .	మనం అడుగు తుననాం అంతే .
य ौ न व या पार , ह थ िया र ,	సె కస వర కర లు , ఆ యు ధ ాలు ,
मुझे एक लि फा फा दिया गया है जिस पर लि खा है " माँ ग ें . "	నా చే తి కి " డి మా ండ లు " అని రా సిన ఒక ఎ న వల ప ఇ చచా రు .
मेरी बात धयान से सु नि ए . हमारे पास जयादा समय नहीं है .	నా మాట లు జా గర తత గా విన ండి . మన కి ఎకకువ సమయం లేదు .
कोई भी चा ला की करने की कोशिश मत करना . तुमहारी वजह से लोग अपनी जान ग ँ वा बैठ ेंगे .	తెలి వి గా ఏదెనా చేయ ాలని పరయతని ంచ కు . జ నం చని పో వడానికి నువవు కారణ ం అవు తా వు .
और मेरा विश वास करो , ए ले न , जेल कोई अचछी जगह नहीं है .	ననను నమమ ండి , ఎ లెన , అకకడ మీరు సంతోష ంగా ఉండ లే రు .
और वह पे न उसे ल ंद न पहुँच ने तक जि ंदा नहीं रख पा ए गा . सच यही है .	ఆ పె నను గొ టట ంతో శ వా స పర యా ణం అ యయ ే వర కూ ఉండ దు . అది వా సత వం .
अपना मै से ज छोड ें और मैं आपको वापस फोन कर ूँगा .	మీ మె సే జ చెపప ండి , నేను తిరిగి ఫోన చేసతాను .
पी ए म क ॉल पर आने के लिए तैयार हैं .	పర ధా నమ ంత రి ఫో ను కి అందు బా టు లో ఉననారు .
- डॉ क टर ने कहा उसकी हा लत स थ िर है . - सोच कर देखो .	- బాగానే ఉననా డని డా క టర చెపపా డు . - ఒక సారి ఆలోచి ంచు .
और फिर उनहें पा नी में घ ो ल ना है , हाँ ?	వాటి ని కొ ద ది గా నీ ళ లలో కర గ పెటట గల మా , చూడు ?
लेकिन अब हमें तु र ंत चि कि त सी य मदद की जरूरत है .	కానీ మాకు ఇపపుడు చాలా అర జె ంట గా వె దయ సహా యం కావాలి .
- मुझे आपको कुछ दिखा ना है . - अभी रुको .	- మీరు ఇది చూడ ాలి . - నువవు కా సే పు ఆ గ ాలి .
- ए . . . ए फ . . . टी . - वापस अपनी सी ट पर .	- ఎ . ఎ ఫ . టి . - వెళలి నీ సీ ట లో కూ రచ ో .
ऐसा नहीं है कि इससे हमारे फै स लों पर अ सर पडे गा .	అది మన లని మరి ంత కంగా రు పె డు తో ంద నో మర ొక టో చెపప ను .
व हा इट ह ॉल के सी सी टी वी भी चे क कर रहे हैं .	మీకు ఎ న వల ప ఇ చచి న వయకతి ద ృ శ య ాల కోసం .
इस . . . इस विमान का उ तर ना निय त नहीं था !	ఇది . . . ఇది ము ంద సతు సమా చా రం లేని ల యా ండి ంగ !
मैंने तुमसे पूछ ा ?	నేను నినను అడి గా నా ?
यह चाहती हैं कि वे ऐसा ना कर पा एँ .	మీరు కో రు కో వడం లే దని మాకు అరథ మ వు తోంది .
